If ^cs+cnd+++=IF
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
half ^abn++++=half
past ^jjb++++=past
eight ^cd++++=eight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
out ^rp+pl+++=out
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
shutting ^vbg+++xvbg+=shutting
the ^ati++++=the
door ^nn++++=door
quietly ^rb++++=quietly
after ^in++++=after
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
to ^to++++=to
gloat ^vbi++++=gloat
over ^rp++++=over
her ^pp3o+pp3+++=her
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
supposed ^vbd+vprv++xvbnx+=supposed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rolled ^vbd+++xvbnx+=rolled
over ^in++++=over
in ^in++++=in
the ^ati++++=the
big ^jj+atrb+++=big
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
heart ^nn++++=heart
still ^rb+atrb+++=still
beating ^jj+++xvbg+=beating
in ^in++++=in
quick ^jj+atrb+++=quick,
, ^zz++++=EXTRAWORD
dull ^jj+atrb+++=dull
throbs ^nns+++??+=throbs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
every ^at++++=every
throb ^nn++++=throb
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
his ^pp$+pp3+++=his
energy ^nn++++=energy
escaping ^vwbg+++xvbg+=escaping
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
his ^pp$+pp3+++=his
inspiration ^nn+nom+++=inspiration
for ^in++++=for
the ^ati++++=the
day ^nn++++=day
stifling ^jj++++=stifling
under ^in++++=under
those ^dt+dem+++=those
thudding ^jj+atrb+++=thudding
blows ^nns++++=blows.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
a ^at++++=a
malicious ^jj+atrb+++=malicious
delight ^nn++++=delight
in ^in++++=in
making ^xvbg+++xvbg+=making
life ^nn++++=life
more ^rbr++++=more
difficult ^jj++++=difficult
for ^in++++=for
him ^pp3o+pp3+++=him
than ^in++++=than
Heaven ^nn++++=Heaven
knows ^vbz+vprv+tht0++=knows
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
by ^in++++=by
denying ^xvbg+++xvbg+=denying
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
rights ^nns++++=rights
as ^in++++=as
an ^at++++=an
artist ^nn++++=artist,
, ^zz++++=EXTRAWORD
by ^in++++=by
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
drag ^vbi++++=drag
him ^pp3o+pp3+++=him
down ^rp++++=down
to ^in++++=to
her ^pp$+pp3+++=her
level ^nn++++=level.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
hell ^nn++++=hell
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
want ^vb++++=want?
? ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Hadn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
three ^cd++++=three
times ^nns++++=times
as ^ql++++=as
many ^ap++++=many
pupils ^nns++++=pupils
now ^rn+tm+++=now
as ^ql++++=as
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
first ^od++++=first
married ^vbd+++xvbn+=married,
, ^zz++++=EXTRAWORD
earned ^j+++xvbn+=earned
three ^cd++++=three
times ^nns++++=times
as ^ql++++=as
much ^ap++++=much,
, ^zz++++=EXTRAWORD
paid ^j+++xvbn+=paid
for ^in++++=for
every ^at++++=every
stick ^nn++++=stick
and ^cc++++=and
stone ^nn++++=stone
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
possessed ^vbd+++xvbnx+=possessed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
shell ^vbi++++=shell
out ^rb+phrv+++=out
for ^in+ppvb+++=for
Adrian ^np++++=Adrian's
's ^$++++=EXTRAWORD
kindergarten ^vb+++xvbn+=kindergarten?
? ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
And ^cc+cls+++=And
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
ever ^rb++++=ever
reproached ^vbd+++xvbn+=reproached
her ^pp$+pp3+++=her
for ^in++++=for
not ^xnot++not++=not
having ^vbg+hvg++xvbg+=having
a ^at++++=a
penny ^nn++++=penny
to ^in++++=to
her ^pp$+pp3+++=her
name ^nn++++=name?
? ^zz++++=EXTRAWORD
Never ^rb++++=Never
a ^at++++=a
word ^nn++++=word
never ^rb++++=never
a ^at++++=a
sign ^nn++++=sign!
! ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
once ^rb+tm+++=once
you ^pp2+pp2+++=you
married ^vbd+++xvbn+=married
a ^at++++=a
woman ^nn++++=woman
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
insatiable ^jj++++=insatiable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
truth ^nn++++=truth
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
fatal ^jj+pred+++=fatal
for ^in++++=for
an ^at++++=an
artist ^nn++++=artist
than ^in++++=than
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
well ^rb++++=well
over ^rp++++=over
forty ^cd++++=forty.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
Why ^wrb+who+whq++=Why
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua+tht0+xvbnx+=asked
himself ^ppl+pp3+++=himself
this ^dt+dem+++=this
question ^nn+nom+++=question
on ^in++++=on
an ^at++++=an
average ^nn++++=average
about ^in++++=about
three ^cd++++=three
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
never ^rb++++=never
could ^md+pos+++=could
answer ^vb++++=answer
it ^pp3+it+++=it
satisfactorily ^rb++++=satisfactorily.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
him ^pp3o+pp3+++=him
at ^in++++=at
a ^at++++=a
weak ^jj+atrb+++=weak
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
first ^od++++=first
plunge ^vb++++=plunge
into ^in++++=into
reality ^nn+nom+++=reality
had ^vbd+hvd+aux++=had
bewildered ^vprf+++xvbnx+=bewildered
and ^cc+phrs+++=and
overwhelmed ^xvbn+++xvbn+=overwhelmed
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
pathetic ^jj+atrb+++=pathetic,
, ^zz++++=EXTRAWORD
youthful ^jj+atrb+++=youthful
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
half ^abn++++=half
child ^nn++++=child,
, ^zz++++=EXTRAWORD
half ^abn++++=half
wild ^jj+atrb+++=wild
untamed ^jj+atrb+++=untamed
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
totally ^rb+amp+++=totally
incompetent ^jj++++=incompetent
to ^to++++=to
cope ^vbi++++=cope
with ^in++++=with
bills ^nns++++=bills
and ^cc++++=and
creditors ^nns++++=creditors
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
sordid ^jj+atrb+++=sordid
details ^nns++++=details
of ^in++++=of
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
her ^pp$+pp3+++=her
best ^jjt++++=best
to ^to+jcmp+++=to
clip ^vb++++=clip
his ^pp$+pp3+++=his
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
any ^dti++++=any
satisfaction ^nn+nom+++=satisfaction
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
could ^md+pos+++=could
congratulate ^nn+nom+++=congratulate
herself ^ppl+pp3+++=herself
on ^in++++=on
the ^ati++++=the
success ^nns+nom+++=success
of ^in++++=of
this ^dt+dem+++=this
early ^jj+atrb+++=early
morning ^nn++++=morning
trick ^nn++++=trick.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
wake ^vb++++=wake
exquisitely ^rb+cnj+++=exquisitely,
, ^zz++++=EXTRAWORD
reluctantly ^rb+cnj+++=reluctantly,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
slipping ^vbg+++xvbg+=slipping
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
warm ^jj+atrb+++=warm
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
imagine ^vbi+vprv+++=imagine
a ^at++++=a
series ^nn++++=series
of ^in++++=of
enchanting ^jj+atrb+++=enchanting
scenes ^nns++++=scenes
which ^whp+rel+subj++=which
ended ^vbd+++xvbn+=ended
with ^in++++=with
his ^pp$+pp3+++=his
latest ^jjt++++=latest,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
charming ^jj+atrb++xvbg+=charming
pupil ^nn++++=pupil
putting ^vwbg+++xvbg+=putting
her ^pp3o+pp3+++=her
bare ^jj+atrb+++=bare,
, ^zz++++=EXTRAWORD
scented ^jj+atrb++xvbn+=scented
arms ^nns++++=arms
around ^in++++=around
his ^pp$+pp3+++=his
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
covering ^nvbg+++xvbg+=covering
him ^pp3o+pp3+++=him
with ^in++++=with
her ^pp$+pp3+++=her
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
perfumed ^jj+atrb++xvbn+=perfumed
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
" ^zz++++="Awake,
awake ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
love ^nn++++=love!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
As ^ql++++=As
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
daily ^jj+atrb+++=daily
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
bath ^nn++++=bath
water ^nn++++=water
ran ^vbd+++xvbn+=ran,
, ^zz++++=EXTRAWORD
Reginald ^np++++=Reginald
Peacock ^nn++++=Peacock
tried ^vbd+++xvbn+=tried
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
her ^pp3o+pp3+++=her
mother ^npt++++=mother
tends ^vbz++++=tends
her ^pp$+pp3+++=her
before ^in++++=before
the ^ati++++=the
laughing ^jj+atrb++xvbg+=laughing
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
Looping ^jj++++=Looping
up ^rp++++=up
her ^pp$+pp3+++=her
laces ^nns++++=laces,
, ^zz++++=EXTRAWORD
tying ^vbg+++xvbg+=tying
up ^rp++++=up
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang,
, ^zz++++=EXTRAWORD
softly ^rb++++=softly
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
nursing ^nn++++=nursing
his ^pp$+pp3+++=his
voice ^nn++++=voice
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
third ^nn++++=third
line ^nn++++=line:
: ^zz++++=EXTRAWORD
Often ^rb++++=Often
she ^pp3a+pp3+++=she
thinks ^vbz+vprv+++=thinks,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
this ^dt+dem+++=this
wild ^jj+atrb+++=wild
thing ^nn++++=thing
wedded ^vbd+++xvbn+=wedded
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
and ^cc+cls+++=and
upon ^in++++=upon
the ^ati++++=the
word ^nn++++=word
" ^zz++++="wedded"
wedded ^xvbn+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
burst ^vbd+++xvbnx+=burst
into ^in+ppvb+++=into
such ^abl++++=such
a ^at++++=a
shout ^nn++++=shout
of ^in++++=of
triumph ^nn++++=triumph
that ^tht+rel+obj++=that
the ^ati++++=the
tooth ^nn++++=tooth-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
bathroom ^nn++++=bathroom
shelf ^nn++++=shelf
trembled ^vbd+++xvbn+=trembled
and ^cc++++=and
even ^rb++++=even
the ^ati++++=the
bath ^nn++++=bath
tap ^nn++++=tap
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
gush ^vbi++++=gush
stormy ^jj+atrb+++=stormy
applause ^nn++++=applause.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
wrong ^jj++++=wrong
with ^in++++=with
his ^pp$+pp3+++=his
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
leaping ^vbg+++xvbg+=leaping
into ^in++++=into
the ^ati++++=the
bath ^nn++++=bath
and ^cc++++=and
soaping ^nvbg+++xvbg+=soaping
his ^pp$+pp3+++=his
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
pink ^jj+atrb+++=pink
body ^nn++++=body
all ^abn++++=all
over ^in++++=over
with ^in++++=with
a ^at++++=a
loofah ^nn++++=loofah
shaped ^vbd+++xvbn+=shaped
like ^in++++=like
a ^at++++=a
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
fill ^vb++++=fill
Covent ^np++++=Covent
Garden ^nn++++=Garden
with ^in++++=with
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
" ^zz++++="Wedded,"
wedded ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
seizing ^vbg+++xvbg+=seizing
the ^ati++++=the
towel ^nn++++=towel
with ^in++++=with
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
operatic ^jj+atrb+++=operatic
gesture ^nn++++=gesture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
singing ^xvbg+++xvbg+=singing
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
rubbed ^vbd+++xvbnx+=rubbed
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
Lohengrin ^np+++??+=Lohengrin
tipped ^vwbn+++xvbn+=tipped
out ^rp+pl+++=out
by ^in++++=by
an ^at++++=an
unwary ^jj+atrb+++=unwary
Swan ^nn++++=Swan
and ^cc++++=and
drying ^nvbg+++xvbg+=drying
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
haste ^nn++++=haste
before ^cs+sub+++=before
that ^dt+dem+++=that
tiresome ^jj+atrb+++=tiresome
Elsa ^np++++=Elsa
came ^vbd+++xvbn+=came
along ^in++++=along
along ^in+strn+++=along
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
Back ^jjb++++=Back
in ^in++++=in
his ^pp$+pp3+++=his
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pulled ^vbd+++xvbnx+=pulled
the ^ati++++=the
blind ^jj++++=blind
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
jerk ^vb++++=jerk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
standing ^nvbg+++xvbg+=standing
upon ^in++++=upon
the ^ati++++=the
pale ^nn++++=pale
square ^nn++++=square
of ^in++++=of
sunlight ^nn++++=sunlight
that ^tht+rel+++=that
lay ^jjb+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
carpet ^nn++++=carpet
like ^in++++=like
a ^at++++=a
sheet ^nn++++=sheet
of ^in++++=of
cream ^nn++++=cream
blotting ^nn++++=blotting-paper,
- ^zz++++=EXTRAWORD
paper ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
do ^vbi++++=do
his ^pp$+pp3+++=his
exercises ^nns++++=exercises
deep ^jj+atrb+++=deep
breathing ^nvbg+++xvbg+=breathing,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
forward ^rb++++=forward
and ^cc++++=and
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
squatting ^jj+++xvbg+=squatting
like ^in++++=like
a ^at++++=a
frog ^nn+++??+=frog
and ^cc++++=and
shooting ^nvbg+++xvbg+=shooting
out ^rp+pl+++=out
his ^pp$+pp3+++=his
legs ^nns++++=legs
for ^in++++=for
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
thing ^nn++++=thing
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
horror ^nn++++=horror
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
of ^in++++=of
getting ^xvbg+++xvbg+=getting
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men
in ^in++++=in
his ^pp$+pp3+++=his
profession ^nn++++=profession
had ^vb+hv+vrb++=had
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
tendency ^nn++++=tendency
that ^tht+rel+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
it ^pp3+it+++=it
at ^rb++++=at
present ^vb++++=present.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
decided ^vbd+vprv++xvbnx+=decided,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
right ^jj++++=right,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
in ^in++++=in
good ^jj+atrb+++=good
proportion ^nn+nom+++=proportion.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
help ^vb++++=help
a ^at++++=a
thrill ^nn++++=thrill
of ^in++++=of
satisfaction ^nn+nom+++=satisfaction
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
a ^at++++=a
morning ^nn++++=morning
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
grey ^np++++=grey
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
grey ^np++++=grey
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
black ^jj+atrb+++=black
tie ^nn++++=tie
with ^in++++=with
a ^at++++=a
silver ^nn++++=silver
thread ^nn++++=thread
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
vain ^jj+pred+++=vain
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
vain ^jj+atrb+++=vain
men ^nns++++=men
no ^at++++=no;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
himself ^ppl+pp3+++=himself
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
thrill ^nn++++=thrill
of ^in++++=of
purely ^rb++++=purely
artistic ^jj+atrb+++=artistic
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
" ^zz++++="Voil
voil ^nn+++??+=EXTRAWORD
tout ^&fw++++=tout!
! ^zz++++=EXTRAWORD
" ^zz++++="
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
his ^pp$+pp3+++=his
hand ^nn++++=hand
over ^in++++=over
his ^pp$+pp3+++=his
sleek ^jj+atrb+++=sleek
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
little ^ap++++=little,
, ^zz++++=EXTRAWORD
easy ^jj+atrb+++=easy
French ^jj+atrb+++=French
phrase ^nn++++=phrase
blown ^vbd+++xvbn+=blown
so ^pn++++=so
lightly ^rb++++=lightly
from ^in++++=from
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
whiff ^nn++++=whiff
