July ^nr++++=JULY
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
of ^in++++=of
enchantments ^nns+nom+++=enchantments,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
victims ^nns++++=victims
were ^vbd+bed+aux++=were
plunged ^vpsv++agls+xvbnx+=plunged
into ^in++++=into
a ^at++++=a
deep ^jj+atrb+++=deep
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
to ^to++++=to
wake ^vbi++++=wake,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years,
, ^zz++++=EXTRAWORD
as ^ql++++=as
fresh ^jj++++=fresh
as ^in++++=as
ever ^rb++++=ever:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
of ^in++++=of
the ^ati++++=the
Seven ^cd++++=Seven
Sleepers ^nns+nom+++=Sleepers--thus
-- ^--+clp+++=EXTRAWORD
thus ^rb+cnj+++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
immortal ^jj+pred+++=immortal
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
so ^ql++++=so
burthensome ^vb+++??+=burthensome:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh!
! ^zz++++=EXTRAWORD
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
never ^rb++++=never-ending
- ^zz++++=EXTRAWORD
ending ^vbg+++xvbg+=EXTRAWORD
time ^nn++++=time--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
tedious ^jj+atrb+++=tedious
passage ^nn+nom+++=passage
of ^in++++=of
the ^ati++++=the
still ^rb++++=still-succeeding
- ^zz++++=EXTRAWORD
succeeding ^jj+atrb++xvbg+=EXTRAWORD
hours ^nns++++=hours!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
happy ^jj++++=happy
was ^vbd+bedz+aux++=was
the ^ati++++=the
fabled ^vwbn+++xvbn+=fabled
Nourjahad! ^np+++??+=Nourjahad!----But
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
task ^nn++++=task.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
world ^nn++++=world
has ^vbz+hvz+aux++=has
heard ^vprf+++xvbnx+=heard
of ^in++++=of
Cornelius ^np+++??+=Cornelius
Agrippa ^np+++??+=Agrippa.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
memory ^nn++++=memory
is ^vbz+bez+vrb++=is
as ^ql++++=as
immortal ^jj++++=immortal
as ^ql++++=as
his ^pp$+pp3+++=his
arts ^nns++++=arts
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
world ^nn++++=world
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
heard ^vprf+++xvbnx+=heard
of ^in++++=of
his ^pp$+pp3+++=his
scholar ^nn++++=scholar,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
unawares ^rb+cnj+++=unawares,
, ^zz++++=EXTRAWORD
raised ^j+++xvbn+=raised
the ^ati++++=the
foul ^jj+atrb+++=foul
fiend ^nn++++=fiend
during ^in++++=during
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
absence ^nn+nom+++=absence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
destroyed ^vpsv++by+xvbnx+=destroyed
by ^in++++=by
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
report ^nn++++=report,
, ^zz++++=EXTRAWORD
true ^jj++++=true
or ^cc+phrs+++=or
false ^jj++++=false,
, ^zz++++=EXTRAWORD
of ^in++++=of
this ^dt+dem+++=this
accident ^nn++++=accident,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
attended ^vpsv++agls+xvbnx+=attended
with ^in++++=with
many ^ap++++=many
inconveniences ^nns+nom+++=inconveniences
to ^in++++=to
the ^ati++++=the
renowned ^jj+atrb+++=renowned
philosopher ^nn+nom+++=philosopher.
. ^zz++++=EXTRAWORD
All ^abn++++=All
his ^pp$+pp3+++=his
scholars ^nns++++=scholars
at ^rb++++=at
once ^rb"+tm+++=once
deserted ^jj+++xvbn+=deserted
him ^pp3o+pp3+++=him--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
servants ^nns+nom+++=servants
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
one ^cd1++++=one
near ^rb++++=near
him ^pp3o+pp3+++=him
to ^to++++=to
put ^vbi++++=put
coals ^nns++++=coals
on ^in++++=on
his ^pp$+pp3+++=his
ever ^rb++++=ever-burning
- ^zz++++=EXTRAWORD
burning ^jj+atrb++xvbg+=EXTRAWORD
fires ^nns++++=fires
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^to++++=to
attend ^vbi++++=attend
to ^in++++=to
the ^ati++++=the
changeful ^jj+atrb+++=changeful
colours ^nns++++=colours
of ^in++++=of
his ^pp$+pp3+++=his
medicines ^nns++++=medicines
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
studied ^vbd+++xvbnx+=studied.
. ^zz++++=EXTRAWORD
Experiment ^nn+nom+++=Experiment
after ^cs+sub+++=after
experiment ^nn+nom+++=experiment
failed ^vbd+++xvbn+=failed,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
one ^cd1++++=one
pair ^nn++++=pair
of ^in++++=of
hands ^nns++++=hands
was ^vbd+bedz+vrb++=was
insufficient ^jj+pred+++=insufficient
to ^to+jcmp+++=to
complete ^vbi++++=complete
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
the ^ati++++=the
dark ^jj+atrb+++=dark
spirits ^nns++++=spirits
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him
for ^in++++=for
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
retain ^vb++++=retain
a ^at++++=a
single ^jj+atrb+++=single
mortal ^nn++++=mortal
in ^in++++=in
his ^pp$+pp3+++=his
service ^nn++++=service.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
very ^ql+amp+++=very
young ^jj++++=young--very
-- ^--+clp+++=EXTRAWORD
very ^ql+amp+++=EXTRAWORD
poor ^jj++++=poor--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
very ^ql+amp+++=very
much ^ap++++=much.
. ^zz++++=EXTRAWORD
in ^in++++=in
love ^nn++++=love.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
for ^in++++=for
about ^in++++=about
a ^at++++=a
year ^nn++++=year
the ^ati++++=the
pupil ^nn++++=pupil
of ^in++++=of
Cornelius ^np+++??+=Cornelius,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
absent ^jj+pred+++=absent
when ^wrb+who+++=when
this ^dt+dem+++=this
accident ^nn++++=accident
took ^vbd+++xvbn+=took
place ^nn++++=place.
. ^zz++++=EXTRAWORD
On ^in++++=On
my ^pp$+pp1+++=my
return ^nn++++=return,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friends ^nns++++=friends
implored ^vbd+++xvbn+=implored
me ^pp1o+pp1+++=me
not ^xnot++not++=not
to ^to++++=to
return ^vbi++++=return
to ^in++++=to
the ^ati++++=the
alchymist ^nn+nom+++=alchymist's
's ^$++++=EXTRAWORD
abode ^nn++++=abode.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trembled ^vbd+++xvbnx+=trembled
as ^ql++++=as
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
to ^in++++=to
the ^ati++++=the
dire ^jjb+atrb+++=dire
tale ^nn++++=tale
they ^pp3a+pp3+++=they
told ^vbd+vpub++xvbnx+=told;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
required ^vbd+++xvbnx+=required
no ^at++++=no
second ^od++++=second
warning ^nn++++=warning;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Cornelius ^np+++??+=Cornelius
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
offered ^vbd+++xvbn+=offered
me ^pp1o+pp1+++=me
a ^at++++=a
purse ^nn++++=purse
of ^in++++=of
gold ^nn++++=gold
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
would ^md+prd+++=would
remain ^vb++++=remain
under ^in++++=under
his ^pp$+pp3+++=his
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
as ^cs+sub+++=as
if ^cs+cnd+++=if
Satan ^np++++=Satan
himself ^ppl+pp3+++=himself
tempted ^vbd+++xvbn+=tempted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
teeth ^nns++++=teeth
chattered ^vbd+++xvbn+=chattered--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
hair ^nn++++=hair
stood ^vbd+++xvbn+=stood
on ^in++++=on
end: ^nn+++??+=end:--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
ran ^vbd+++xvbnx+=ran
off ^rb+phrv+++=off
as ^ql++++=as
fast ^jj++++=fast
as ^ql++++=as
my ^pp$+pp1+++=my
trembling ^jj+atrb++xvbg+=trembling
knees ^nns++++=knees
would ^md+prd+++=would
permit ^vb++++=permit.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
failing ^jj+atrb++xvbg+=failing
steps ^nns++++=steps
were ^vbd+bed+aux++=were
directed ^vpsv++agls+xvbnx+=directed
whither ^jjr++++=whither
for ^in++++=for
two ^cd++++=two
years ^nns++++=years
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
every ^at++++=every
evening ^nn++++=evening
been ^vprf+ben+vrb+xvbn+=been
attracted, ^nn+++??+=attracted,--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
gently ^rb++++=gently
bubbling ^xvbg+++xvbg+=bubbling
spring ^vb++++=spring
of ^in++++=of
pure ^jj+atrb+++=pure
living ^jj+atrb++xvbg+=living
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
which ^whp+rel+pied++=which
lingered ^vbd+++xvbn+=lingered
a ^at++++=a
dark ^jj++++=dark-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
beaming ^jj+atrb++xvbg+=beaming
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
on ^in++++=on
the ^ati++++=the
path ^nn++++=path
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
accustomed ^vpsv++agls+xvbnx+=accustomed
each ^dt++++=each
night ^nn++++=night
to ^to++++=to
tread ^vbi++++=tread.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
remember ^nn+nom+++=remember
the ^ati++++=the
hour ^nn++++=hour
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
love ^vb++++=love
Bertha ^np+++??+=Bertha;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
neighbours ^nns++++=neighbours
and ^cc++++=and
playmates ^nns+nom+++=playmates
from ^in++++=from
infancy ^nn++++=infancy--her
-- ^--+clp+++=EXTRAWORD
her ^pp$+pp3+++=EXTRAWORD
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
like ^in++++=like
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
of ^in++++=of
humble ^jj+atrb+++=humble
life ^nn++++=life,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
respectable ^jj++++=respectable--our
-- ^--+clp+++=EXTRAWORD
our ^pp$+pp1+++=EXTRAWORD
attachment ^nn+nom+++=attachment
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
source ^nn++++=source
of ^in++++=of
pleasure ^nn++++=pleasure
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
evil ^jj+atrb+++=evil
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
a ^at++++=a
malignant ^jj+atrb+++=malignant
fever ^nn++++=fever
carried ^vbd+++xvbn+=carried
off ^rb+phrv+++=off
both ^abx++++=both
her ^pp3o+pp3+++=her
father ^npt++++=father
and ^cc++++=and
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bertha ^np+++??+=Bertha
became ^vbd+++xvbn+=became
an ^at++++=an
orphan ^nn++++=orphan.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
a ^at++++=a
home ^nr++++=home
beneath ^in+pl+++=beneath
my ^pp$+pp1+++=my
paternal ^jj+atrb+++=paternal
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
unfortunately ^rb+cnj+++=unfortunately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
lady ^nn++++=lady
of ^in++++=of
the ^ati++++=the
near ^rb++++=near
castle ^npl++++=castle,
, ^zz++++=EXTRAWORD
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
childless ^jj++++=childless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
solitary ^jj++++=solitary,
, ^zz++++=EXTRAWORD
declared ^j+++xvbn+=declared
her ^pp3o+pp3+++=her
intention ^nn+nom+++=intention
to ^to+ncmp+++=to
adopt ^vbi++++=adopt
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Henceforth ^rb++++=Henceforth
Bertha ^np+++??+=Bertha
was ^vbd+bedz+vrb++=was
clad ^jj+pred+++=clad
in ^in++++=in
silk ^nn++++=silk--inhabited
-- ^--+clp+++=EXTRAWORD
inhabited ^j+++xvbn+=EXTRAWORD
a ^at++++=a
marble ^nn++++=marble
palace ^npl++++=palace--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
was ^vbd+bedz+aux++=was
looked ^vpsv++agls+xvbnx+=looked
on ^in++++=on
as ^ql++++=as
being ^jj+++xvbg+=being
highly ^rb+amp+++=highly
favoured ^vpsv++by+xvbn+=favoured
by ^in++++=by
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
situation ^nn+nom+++=situation
among ^in++++=among
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
associates ^nns+nom+++=associates,
, ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha
remained ^vbd+++xvbn+=remained
true ^jj++++=true
to ^in++++=to
the ^ati++++=the
friend ^nn++++=friend
of ^in++++=of
her ^pp$+pp3+++=her
humbler ^jjr+atrb+++=humbler
days ^nns++++=days;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
often ^rb++++=often
visited ^vbd+++xvbn+=visited
the ^ati++++=the
cottage ^nn+nom+++=cottage
of ^in++++=of
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
forbidden ^vb+++xvbn+=forbidden
to ^to+vcmp+++=to
go ^vbi++++=go
thither ^rb+cnj+++=thither,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
stray ^vb++++=stray
towards ^in++++=towards
the ^ati++++=the
neighbouring ^jj+atrb+++=neighbouring
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meet ^vb++++=meet
me ^pp1o+pp1+++=me
beside ^in+pl+++=beside
its ^pp$+it+++=its
shady ^jj+atrb+++=shady
fountain ^nn++++=fountain.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
often ^rb++++=often
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
owed ^vbd+++xvbnx+=owed
no ^at++++=no
duty ^nn++++=duty
to ^to+ncmp+++=to
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
protectress ^nns+nom+++=protectress
equal ^jj++++=equal
in ^in++++=in
sanctity ^nn+nom+++=sanctity
to ^in++++=to
that ^dt+pdem+++=that
which ^whp+rel+obj++=which
bound ^jj+++xvbn+=bound
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
still ^rb++++=still
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
too ^ql++++=too
poor ^jj++++=poor
to ^to++++=to
marry ^vbi++++=marry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
grew ^vbd+++xvbnx+=grew
weary ^jj++++=weary
of ^in++++=of
being ^nn+nn+aux++=being
tormented ^vbd+++xvbn+=tormented
on ^in++++=on
my ^pp$+pp1+++=my
account ^nn++++=account.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
haughty ^jj++++=haughty
but ^cc++++=but
an ^at++++=an
impatient ^jj+atrb+++=impatient
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grew ^vbd+++xvbn+=grew
angry ^jj++++=angry
at ^in++++=at
the ^ati++++=the
obstacles ^nns++++=obstacles
that ^tht+rel+subj++=that
prevented ^vprf+++xvbn+=prevented
our ^pp$+pp1+++=our
union ^nn++++=union.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
met ^vbd+++xvbn+=met
now ^rn+tm+++=now
after ^in++++=after
an ^at++++=an
absence ^nn+nom+++=absence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sorely ^rb++splt++=sorely
beset ^vpsv++agls+xvbn+=beset
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
complained ^vbd+vpub++xvbnx+=complained
bitterly ^rb+cnj+++=bitterly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
reproached ^vbd+++xvbn+=reproached
me ^pp1o+pp1+++=me
for ^in++++=for
being ^xvbg+++xvbg+=being
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied
hastily, ^nn+++??+=hastily,-"I
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
honest ^jj+pred+++=honest,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
poor! ^nn+++??+=poor!--were
-- ^--+clp+++=EXTRAWORD
were ^vbd+bed+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
soon ^rb+tm+splt++=soon
become ^vb++++=become
rich ^jj++++=rich!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
exclamation ^nn+nom+++=exclamation
produced ^vbd+++xvbn+=produced
a ^at++++=a
thousand ^cd++++=thousand
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feared ^vbd+vprv++xvbnx+=feared
to ^in++++=to
shock ^nn++++=shock
her ^pp$+pp3+++=her
by ^in++++=by
owning ^xvbg+++xvbg+=owning
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
drew ^vbd+++xvbnx+=drew
it ^pp3+it+++=it
from ^in++++=from
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
casting ^vbg+++xvbg+=casting
a ^at++++=a
look ^nn++++=look
of ^in++++=of
disdain ^nn++++=disdain
on ^in++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said-"You
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
love ^vb++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
fear ^vb++++=fear
to ^to++++=to
face ^vbi++++=face
the ^ati++++=the
Devil ^nn++++=Devil
for ^in++++=for
my ^pp$+pp1+++=my
sake ^nn++++=sake!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
protested ^vbd+vpub++xvbnx+=protested
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
dreaded ^vprf+++xvbnx+=dreaded
to ^to+vcmp+++=to
offend ^vbi++++=offend
her; ^nn+++??+=her;--while
