Of ^in++++=Of
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
either ^dtx++++=either
go ^vb++++=go
mad ^jj++++=mad
from ^in++++=from
the ^ati++++=the
revelation ^nn+nom+++=revelation
or ^cc++++=or
flee ^vb++++=flee
from ^in++++=from
the ^ati++++=the
deadly ^rb++++=deadly
light ^jj++++=light
into ^in++++=into
the ^ati++++=the
peace ^nn++++=peace
and ^cc++++=and
safety ^nn++++=safety
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
dark ^jj+atrb+++=dark
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Theosophists ^nns+nom++??+=Theosophists
have ^vb+hv+aux++=have
guessed ^vprf+++xvbnx+=guessed
at ^rb++++=at
the ^ati++++=the
awesome ^jj+atrb+++=awesome
grandeur ^nn++++=grandeur
of ^in++++=of
the ^ati++++=the
cosmic ^jj+atrb+++=cosmic
cycle ^nn++++=cycle
wherein ^wrb+who+++=wherein
our ^pp$+pp1+++=our
world ^nn++++=world
and ^cc++++=and
human ^jj+atrb+++=human
race ^nn++++=race
form ^nn++++=form
transient ^jj+atrb+++=transient
incidents ^nns++++=incidents.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+aux++=have
hinted ^vprf+++xvbnx+=hinted
at ^rb++++=at
strange ^jj+atrb+++=strange
survival ^nn+nom+++=survival
in ^in++++=in
terms ^nns++++=terms
which ^whp+rel+subj++=which
would ^md+prd+++=would
freeze ^vb++++=freeze
the ^ati++++=the
blood ^nn++++=blood
if ^cs+cnd+++=if
not ^xnot++not++=not
masked ^vpsv++by+xvbn+=masked
by ^in++++=by
a ^at++++=a
bland ^jj+atrb+++=bland
optimism ^nn+nom+++=optimism.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
from ^in++++=from
them ^pp3o+pp3+++=them
that ^dt+dem+++=that
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
the ^ati++++=the
single ^jj+atrb+++=single
glimpse ^nn++++=glimpse
of ^in++++=of
forbidden ^xvbn+++xvbn+=forbidden
aeons ^nns+++??+=aeons
which ^whp+rel+obj++=which
chills ^nns+++??+=chills
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it
and ^cc++++=and
maddens ^nns+++??+=maddens
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
dream ^nn++++=dream
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
glimpse ^nn++++=glimpse,
, ^zz++++=EXTRAWORD
like ^in++++=like
all ^abn++++=all
dread ^nn++++=dread
glimpses ^nns++++=glimpses
of ^in++++=of
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
flashed ^j+++xvbn+=flashed
out ^rp+pl+++=out
from ^in++++=from
an ^at++++=an
accidental ^nn++++=accidental
piecing ^vwbg+++xvbg+=piecing
together ^nn+nom+++=together
of ^in++++=of
separated ^xvbn+++xvbn+=separated
things ^nns++++=things
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
an ^at++++=an
old ^jj+atrb+++=old
newspaper ^nn+nom+++=newspaper
item ^nn++++=item
and ^cc++++=and
the ^ati++++=the
notes ^nns++++=notes
of ^in++++=of
a ^at++++=a
dead ^jj+atrb+++=dead
professor ^nn++++=professor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^vb++++=hope
that ^tht+vcmp+++=that
no ^at++++=no
one ^cd1++++=one
else ^rb+cnj+++=else
will ^md+prd+++=will
accomplish ^vb++++=accomplish
this ^dt+dem+++=this
piecing ^jj+++xvbg+=piecing
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
certainly ^rb+cnj+++=certainly,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
live ^vb++++=live,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
knowingly ^rb++++=knowingly
supply ^vb++++=supply
a ^at++++=a
link ^nn++++=link
in ^in++++=in
so ^rb+emph+++=so
hideous ^jj++++=hideous
a ^at++++=a
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
the ^ati++++=the
professor ^nn++++=professor,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
intended ^vpbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
keep ^vbi++++=keep
silent ^jj++++=silent
regarding ^in++++=regarding
the ^ati++++=the
part ^nn++++=part
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
destroyed ^vprf+++xvbnx+=destroyed
his ^pp$+pp3+++=his
notes ^nns++++=notes
had ^vb+hv+vrb++=had
not ^xnot++not++=not
sudden ^jj+atrb+++=sudden
death ^nn++++=death
seized ^vbd+++xvbn+=seized
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
thing ^nn++++=thing
began ^vbd+++xvbn+=began
in ^in++++=in
the ^ati++++=the
winter ^nn++++=winter
of ^in++++=of
1926 ^cd+date+++=1926-27
- ^zz++++=EXTRAWORD
27 ^cd++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
my ^pp$+pp1+++=my
great ^jj++++=great-uncle,
- ^zz++++=EXTRAWORD
uncle ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
George ^np++++=George
Gammell ^np+++??+=Gammell
Angell ^np+++??+=Angell,
, ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Emeritus ^np+++??+=Emeritus
of ^in++++=of
Semitic ^np+++??+=Semitic
Languages ^nns+nom+++=Languages
in ^in++++=in
Brown ^jj+atrb+++=Brown
University ^npl+nom+++=University,
, ^zz++++=EXTRAWORD
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
Rhode ^np+++??+=Rhode
Island ^nn++++=Island.
. ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Angell ^np+++??+=Angell
was ^vbd+bedz+aux++=was
widely ^rb++splt++=widely
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
an ^at++++=an
authority ^nn+nom+++=authority
on ^in++++=on
ancient ^jj+atrb+++=ancient
inscriptions ^nns+nom+++=inscriptions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
frequently ^rb++splt++=frequently
been ^vprf+ben+aux+xvbnx+=been
resorted ^vpsv++agls+xvbnx+=resorted
to ^in++++=to
by ^in++++=by
the ^ati++++=the
heads ^nns++++=heads
of ^in++++=of
prominent ^jj+atrb+++=prominent
museums ^nns++++=museums;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
his ^pp$+pp3+++=his
passing ^vbg+++xvbg+=passing
at ^rb++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
ninety ^cd++++=ninety-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
recalled ^vpsv++by+xvbnx+=recalled
by ^in++++=by
many ^ap++++=many.
. ^zz++++=EXTRAWORD
Locally ^rb+cnj+++=Locally,
, ^zz++++=EXTRAWORD
interest ^nn++++=interest
was ^vbd+bedz+aux++=was
intensified ^vpsv++by+xvbnx+=intensified
by ^in++++=by
the ^ati++++=the
obscurity ^nn+nom+++=obscurity
of ^in++++=of
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
death ^nn++++=death.
. ^zz++++=EXTRAWORD
The ^ati++++=The
professor ^npt++++=professor
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
stricken ^jj++++=stricken
whilst ^cs+sub+++=whilst
returning ^jj+++xvbg+=returning
from ^in++++=from
the ^ati++++=the
Newport ^np++++=Newport
boat ^nn++++=boat;
; ^zz++++=EXTRAWORD
falling ^nvbg+++xvbg+=falling
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
witnesses ^nns+nom+++=witnesses
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
having ^nn+nn+aux++=having
been ^vprf+ben+aux+xvbn+=been
jostled ^vpsv++by+xvbnx+=jostled
by ^in++++=by
a ^at++++=a
nautical ^jj++++=nautical-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
negro ^nn++++=negro
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
queer ^jj+atrb+++=queer
dark ^jj+atrb+++=dark
courts ^nns++++=courts
on ^in++++=on
the ^ati++++=the
precipitous ^jj+atrb+++=precipitous
hillside ^nn++++=hillside
which ^whp+rel+subj++=which
formed ^vprf+++xvbn+=formed
a ^at++++=a
short ^nn++++=short
cut ^vbd+++xvbn+=cut
from ^in++++=from
the ^ati++++=the
waterfront ^nn++++=waterfront
to ^in++++=to
the ^ati++++=the
deceased ^jj+atrb+++=deceased's
's ^vbz+bez+vrb++0=EXTRAWORD
home ^nr++++=home
in ^in++++=in
Williams ^np++++=Williams
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
Physicians ^nns++++=Physicians
were ^vbd+bed+vrb++=were
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
any ^dti++++=any
visible ^jj+atrb+++=visible
disorder ^nn+nom+++=disorder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
concluded ^vpsv++agls+xvbn+=concluded
after ^cs+sub+++=after
perplexed ^nn++++=perplexed
debate ^vb++++=debate
that ^dt+dem+++=that
some ^dti++++=some
obscure ^jj+atrb+++=obscure
lesion ^nn+++??+=lesion
of ^in++++=of
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
induced ^xvbn+++xvbn+=induced
by ^in++++=by
the ^ati++++=the
brisk ^jj+atrb+++=brisk
ascent ^nn++++=ascent
of ^in++++=of
so ^rb+emph+++=so
steep ^jj++++=steep
a ^at++++=a
hill ^nn++++=hill
by ^in++++=by
so ^rb+emph+++=so
elderly ^jj++++=elderly
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
responsible ^jj+pred+++=responsible
for ^in++++=for
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
no ^at++++=no
reason ^nn++++=reason
to ^to++++=to
dissent ^vbi++++=dissent
from ^in++++=from
this ^dt+dem+++=this
dictum ^nn++++=dictum,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
latterly ^rb++++=latterly
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
wonder ^vbi++++=wonder
and ^cc++++=and
more ^ql++++=more
than ^cs+sub+++=than
wonder ^vb++++=wonder.
. ^zz++++=EXTRAWORD
As ^ql++++=As
my ^pp$+pp1+++=my
great-uncle ^nn+++??+=great-uncle's
's ^$++++=EXTRAWORD
heir ^nn++++=heir
and ^cc++++=and
executor ^nn++++=executor,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died
a ^at++++=a
childless ^jj+atrb+++=childless
widower ^nn++++=widower,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
go ^vbi++++=go
over ^in++++=over
his ^pp$+pp3+++=his
papers ^nns++++=papers
with ^in++++=with
some ^dti++++=some
thoroughness ^nns+nom+++=thoroughness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
that ^dt+dem+++=that
purpose ^nn++++=purpose
moved ^vbd+++xvbn+=moved
his ^pp$+pp3+++=his
entire ^jjb++++=entire
set ^vbd+++xvbn+=set
of ^in++++=of
files ^nns++++=files
and ^cc++++=and
boxes ^nns++++=boxes
to ^in++++=to
my ^pp$+pp1+++=my
quarters ^nns+nom+++=quarters
in ^in++++=in
Boston ^np++++=Boston.
. ^zz++++=EXTRAWORD
Much ^ap++++=Much
of ^in++++=of
the ^ati++++=the
material ^nn++++=material
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
correlated ^vbd+++xvbnx+=correlated
will ^md+prd+++=will
be ^vb+be+aux++=be
later ^rbr+tm+splt++=later
published ^vpsv++by+xvbnx+=published
by ^in++++=by
the ^ati++++=the
American ^jj+atrb+++=American
Archaeological ^jj+atrb+++=Archaeological
Society ^nn++++=Society,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
box ^nn++++=box
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
exceedingly ^rb++++=exceedingly
puzzling ^jj+++xvbg+=puzzling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
much ^ap++++=much
averse ^jj++++=averse
from ^in++++=from
showing ^xvbg+++xvbg+=showing
to ^in++++=to
other ^ap++++=other
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
locked ^vpsv++agls+xvbnx+=locked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
find ^vb+vprv+++=find
the ^ati++++=the
key ^jjb++++=key
till ^cs+sub+++=till
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
me ^pp1o+pp1+++=me
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
personal ^jj+atrb+++=personal
ring ^nn++++=ring
which ^whp+rel+obj++=which
the ^ati++++=the
professor ^npt++++=professor
carried ^vbd+++xvbn+=carried
always ^rb++++=always
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
succeeded ^vbd+++xvbnx+=succeeded
in ^in++++=in
opening ^xvbg+++xvbg+=opening
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
so ^ql+emph+++=so
seemed ^jj+++xvbn+=seemed
only ^rb+down+++=only
to ^to++++=to
be ^vbi+vbi+aux++=be
confronted ^vpsv++by+xvbnx+=confronted
by ^in++++=by
a ^at++++=a
greater ^jjr++++=greater
and ^cc++++=and
more ^rbr++++=more
closely ^rb++++=closely
locked ^jj+atrb++xvbn+=locked
barrier ^nn++++=barrier.
. ^zz++++=EXTRAWORD
For ^in++++=For
what ^wdt+who+whq++=what
could ^md+pos+++=could
be ^vb+be+vrb++=be
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
the ^ati++++=the
queer ^jj+atrb+++=queer
clay ^nn++++=clay
bas ^nns+++??+=bas-relief
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
disjointed ^jj+atrb+++=disjointed
jottings ^nns+++??+=jottings,
, ^zz++++=EXTRAWORD
ramblings ^nns+nom+++=ramblings
and ^cc++++=and
cuttings ^nns++++=cuttings
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found?
? ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
my ^pp$+pp1+++=my
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
latter ^ap++++=latter
years ^nns++++=years,
, ^zz++++=EXTRAWORD
become ^vb++++=become
credulous ^jj++++=credulous
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
superficial ^jj++++=superficial
impostures ^vbz+++??+=impostures?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
resolved ^vbd+vsua++xvbnx+=resolved
to ^to+vcmp+++=to
search ^vbi++++=search
out ^rp+pl+++=out
the ^ati++++=the
eccentric ^jj+atrb+++=eccentric
sculptor ^nn++++=sculptor
responsible ^jj++++=responsible
for ^in++++=for
this ^dt+dem+++=this
apparent ^jj+atrb+++=apparent
disturbance ^nn+nom+++=disturbance
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
peace ^nn++++=peace
of ^in++++=of
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bas ^nns+++??+=bas-relief
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
rough ^jj+atrb+++=rough
rectangle ^nn++++=rectangle
less ^rbr++++=less
than ^in++++=than
an ^at++++=an
inch ^nn++++=inch
thick ^jj++++=thick
and ^cc++++=and
about ^in++++=about
five ^cd++++=five
by ^in++++=by
six ^cd++++=six
inches ^nns++++=inches
in ^in++++=in
area ^nn++++=area;
; ^zz++++=EXTRAWORD
obviously ^rb+amp+++=obviously
of ^in++++=of
modern ^jj+atrb+++=modern
origin ^nn++++=origin.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
designs ^nns++++=designs,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
far ^rb+pl+++=far
from ^rb"++++=from
modern ^jj++++=modern
in ^in++++=in
atmosphere ^nn++++=atmosphere
and ^cc++++=and
suggestion ^nn+nom+++=suggestion;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
vagaries ^nns++++=vagaries
of ^in++++=of
cubism ^nn++++=cubism
and ^cc++++=and
futurism ^nn+nom+++=futurism
are ^vb+ber+vrb++=are
many ^ap++++=many
and ^cc++++=and
wild ^jj++++=wild,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
often ^rb++++=often
reproduce ^vb++++=reproduce
that ^cs+sub+++=that
cryptic ^jj+atrb+++=cryptic
regularity ^nn+nom+++=regularity
which ^whp+rel+obj++=which
lurks ^nns+++??+=lurks
in ^in++++=in
prehistoric ^jj+atrb+++=prehistoric
writing ^nvbg+++xvbg+=writing.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
writing ^nvbg+++xvbg+=writing
of ^in++++=of
some ^dti++++=some
kind ^nn++++=kind
the ^ati++++=the
bulk ^nn++++=bulk
of ^in++++=of
these ^dt+dem+++=these
designs ^nns++++=designs
seemed ^vbd+seem++xvbn+=seemed
certainly ^rb++++=certainly
to ^to++++=to
be ^vbi++vrb++=be;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
my ^pp$+pp1+++=my
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
much ^ap++++=much
familiarity ^nn+nom+++=familiarity
with ^in++++=with
the ^ati++++=the
papers ^nns++++=papers
and ^cc++++=and
collections ^nns+nom+++=collections
of ^in++++=of
my ^pp$+pp1+++=my
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
failed ^j+++xvbn+=failed
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
to ^to++++=to
identify ^vbi++++=identify
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
species ^nns++++=species,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
hint ^nn++++=hint
at ^in++++=at
its ^pp$+it+++=its
remotest ^jjt+atrb+++=remotest
affiliations ^nns+nom+++=affiliations.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
these ^dt+dem+++=these
apparent ^jj+atrb+++=apparent
hieroglyphics ^nns++++=hieroglyphics
was ^vbd+bedz+vrb++=was
a ^at++++=a
figure ^nn++++=figure
of ^in++++=of
evidently ^rb++++=evidently
pictorial ^jj++++=pictorial
intent ^jj++++=intent,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
its ^pp$+it+++=its
impressionistic ^jj+atrb+++=impressionistic
execution ^nn+nom+++=execution
forbade ^vbd+++xvbn+=forbade
a ^at++++=a
very ^ql+amp+++=very
clear ^vb++++=clear
idea ^nn++++=idea
of ^in++++=of
its ^pp$+it+++=its
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
monster ^nn+nom+++=monster,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
symbol ^nn++++=symbol
representing ^vwbg+++xvbg+=representing
a ^at++++=a
monster ^nn+nom+++=monster,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
form ^nn++++=form
which ^whp+rel+obj++=which
only ^rb+down+++=only
a ^at++++=a
diseased ^jj+atrb+++=diseased
fancy ^nn++++=fancy
could ^md+pos+++=could
conceive ^vb+vprv+++=conceive.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
somewhat ^rb+down+++=somewhat
extravagant ^jj+atrb+++=extravagant
imagination ^nn+nom+++=imagination
yielded ^vbd+++xvbn+=yielded
simultaneous ^jj+atrb+++=simultaneous
pictures ^nns++++=pictures
of ^in++++=of
an ^at++++=an
octopus ^nn++++=octopus,
, ^zz++++=EXTRAWORD
a ^at++++=a
dragon ^nn++++=dragon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
human ^jj+atrb+++=human
caricature ^nn++++=caricature,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
be ^vb+be+vrb++=be
unfaithful ^jj+pred+++=unfaithful
to ^in++++=to
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
the ^ati++++=the
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
A ^at++++=A
pulpy ^jj++++=pulpy,
, ^zz++++=EXTRAWORD
tentacled ^j+++xvbn+=tentacled
head ^jjb++++=head
surmounted ^jj+++xvbn+=surmounted
a ^at++++=a
grotesque ^jj+atrb+++=grotesque
and ^cc+phrs+++=and
scaly ^jj+atrb+++=scaly
body ^nn++++=body
with ^in++++=with
