Sparrow ^np+++??+=SPARROW
good ^jj++++=good,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Yeah,
yeah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
great ^jj++++=great."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
found ^vbd+vprv++xvbn+=found
yourself ^ppl+pp2+++=yourself
in ^in++++=in
a ^at++++=a
car ^nn++++=car
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
riding ^vbg+++xvbgx+=riding
and ^cc++++=and
someone ^pn++++=someone
suggested ^vbd+vpub++xvbn+=suggested
rolling ^vbg+nom++xvbg+=rolling
down ^rp++++=down
a ^at++++=a
window ^nn++++=window,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
fresh ^jj+atrb+++=fresh
air ^nn++++=air."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Or ^cc++++=Or
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
pass ^vb++++=pass
a ^at++++=a
guy ^np++++=guy
riding ^vwbg+++xvbg+=riding
a ^at++++=a
horse ^nn++++=horse
and ^cc++++=and
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
horse ^nn++++=horse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
someone ^pn++++=someone,
, ^zz++++=EXTRAWORD
goading ^vbg+++xvbg+=goading
her ^pp$+pp3+++=her
slightly ^rb+cnj+++=slightly,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
like ^in++++=like
horses ^nns++++=horses?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
might ^md+pos+++=might
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
pretty ^rb+cnj+++=pretty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
that ^dt+dem+++=that
person ^nn++++=person,
, ^zz++++=EXTRAWORD
goading ^vbg+++xvbg+=goading
her ^pp$+pp3+++=her
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
if ^cs+cnd+++=if
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
someday ^rb++++=someday
own ^ap++++=own
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
that ^dt+dem+++=that
possibility ^nn+nom+++=possibility
was ^vbd+bedz+vrb++=was
so ^ql++++=so
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
question ^nn+nom+++=question
( ^zz++++=(she
she ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
much ^ap++++=much
at ^rb++++=at
the ^ati++++=the
store ^nn++++=store
and ^cc++++=and
rented ^vbd+++xvbn+=rented
half ^abn++++=half
a ^at++++=a
duplex ^nn+++??+=duplex),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
go ^vb++++=go
quiet ^jj++++=quiet
and ^cc++++=and
blink ^vb++++=blink,
, ^zz++++=EXTRAWORD
blink ^vb++++=blink,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
something ^pn++++=something
happening ^vbg+++xvbg+=happening
outside ^jjb++++=outside
her ^pp$+pp3+++=her
cage ^nn++++=cage
had ^vbd+hvd+aux++=had
startled ^vprf+++xvbnx+=startled
her ^pp$+pp3+++=her
into ^in++++=into
stillness ^nns+nom+++=stillness.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
in ^in++++=in
love ^nn++++=love.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
she ^pp3a+pp3+++=she
worked ^vbd+++xvbnx+=worked
with ^in++++=with
at ^in++++=at
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
now ^rn+tm+++=now
in ^in++++=in
the ^ati++++=the
brown ^jj+atrb+++=brown
apron ^nn++++=apron
they ^pp3a+pp3+++=they
gave ^vbd+++xvbnx+=gave
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
imagine ^vb+vprv+tht0++=imagine
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
her ^pp$+pp3+++=her
any ^dti++++=any
romantic ^jj+atrb+++=romantic
signals ^nns+nom+++=signals,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there
together ^nn+nom+++=together
every ^at++++=every
day ^nn++++=day
and ^cc++++=and
likely ^jj++++=likely
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
for ^in++++=for
her ^pp3o+pp3+++=her
the ^ati++++=the
sorts ^nns++++=sorts
of ^in++++=of
small ^jj+atrb+++=small
kindnesses ^nns+nom++??+=kindnesses
people ^nns++++=people
do ^vb+do+vrb++=do
for ^in++++=for
one ^cd1++++=one
another ^dt++++=another
when ^wrb+who+++=when
working ^nvbg+++xvbg+=working
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another
and ^cc++++=and
in ^in++++=in
time ^nn++++=time
she ^pp3a+pp3+++=she
decided ^vbd+vprv+tht0+xvbnx+=decided
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
one ^pn++++=one
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
started ^vbd+++xvbnx+=started
dropping ^vbg+++xvbg+=dropping
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
Randy ^np+++??+=Randy
thinks ^vbz+vprv+++=thinks
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
same ^ap++++=same
thing ^nn++++=thing
to ^in++++=to
Randy ^np+++??+=Randy
the ^ati++++=the
other ^ap++++=other
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
imagined ^vbd+vprv++xvbn+=imagined
that ^tht+vcmp+++=that
Randy ^np+++??+=Randy
thought ^vbd+++xvbn+=thought
about ^in++++=about
her ^pp$+pp3+++=her
the ^ati++++=the
way ^nn++++=way
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
early ^jj+atrb+++=early
days ^nns++++=days
of ^in++++=of
working ^xvbg+++xvbg+=working
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
waited ^vprf+++xvbnx+=waited
to ^to+vcmp+++=to
discover ^nn+nom+++=discover
what ^wdt+who+++=what
might ^md+pos+++=might
be ^vb+be+vrb++=be
special ^jj+pred+++=special
or ^cc+phrs+++=or
interesting ^jj++++=interesting
about ^rb++++=about
her ^pp3o+pp3+++=her
only ^rb+down+++=only
to ^to++++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
expression ^nn++++=expression
goes ^vbz++++=goes,
, ^zz++++=EXTRAWORD
much ^ap++++=much
to ^to++++=to
recommend ^vbi+vsua+++=recommend
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
always ^rb++++=always
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
reading ^vbg+++xvbgx+=reading
directly ^rb++++=directly
from ^in++++=from
a ^at++++=a
book ^nn++++=book
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
be ^vbi++vrb++=be
most ^ql+emph+++=most
common ^jj++++=common.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
those ^dt+dem+++=those
apples ^nns++++=apples
fresh ^jj++++=fresh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
someone ^pn++++=someone
would ^md+prd+++=would
ask ^vb++++=ask,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
pretty ^rb++++=pretty
fresh ^jj+pred+++=fresh."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
that ^dt+dem+++=that
an ^at++++=an
earthquake ^nn++++=earthquake
just ^rb+emph+++=just
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
someone ^pn++++=someone
would ^md+prd+++=would
ask ^vb++++=ask,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
on ^in++++=on
the ^ati++++=the
radio ^nn++++=radio."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
a ^at++++=a
change ^nn++++=change.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
fancied ^vbd+++xvbn+=fancied
herself ^ppl+pp3+++=herself
to ^to++++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
with ^in++++=with
Randy ^np+++??+=Randy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expect ^vb+vprv+++=expect,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
not ^xnot++not++=not
only ^rb+down+++=only
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
not ^xnot++not++=not
feel ^vb+vprv+++=feel
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
feel ^vb+vprv+++=feel
much ^ap++++=much
about ^in++++=about
her ^pp$+pp3+++=her
at ^in++++=at
all ^abn++++=all
( ^zz++++=(and
and ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
would ^md+prd+++=would
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
mentioned ^vbd+vpub++xvbn+=mentioned,
, ^zz++++=EXTRAWORD
experienced ^xvbn+++xvbn+=experienced
by ^in++++=by
most ^ql+emph+++=most
people ^nns++++=people
as ^ql++++=as
a ^at++++=a
slightly ^rb+down+++=slightly
puzzling ^jj+atrb++xvbg+=puzzling
blankness ^nns+nom+++=blankness),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
started ^vbd+++xvbnx+=started,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
to ^to++++=to
panic ^vbi++++=panic
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
to ^in++++=to
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
her ^pp$+pp3+++=her
life ^nn++++=life,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
natural ^jj+atrb+++=natural
way ^nn++++=way
of ^in++++=of
being ^xvbg+++xvbg+=being
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
interesting ^jj++++=interesting
enough ^qlp++++=enough
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
( ^zz++++=(much
much ^ap++++=EXTRAWORD
less ^rbr++++=less
delight ^nn++++=delight
or ^cc++++=or
captivate ^nn+nom+++=captivate)
) ^zz++++=EXTRAWORD
someone ^pn++++=someone
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
Randy ^np+++??+=Randy,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
font ^nn++++=font
of ^in++++=of
originality ^nn+nom+++=originality
himself ^ppl+pp3+++=himself
but ^cc++++=but
at ^rb++++=at
least ^rb"++++=least
had ^vb+hv+vrb++=had
a ^at++++=a
big ^jj+atrb+++=big
truck ^nn++++=truck
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
and ^cc++++=and
would ^md+prd+++=would
wash ^vb++++=wash
with ^in++++=with
pleasure ^nn++++=pleasure
every ^at++++=every
Friday ^nr++++=Friday
after ^cs+sub+++=after
his ^pp$+pp3+++=his
shift ^nn++++=shift
and ^cc++++=and
sometimes ^rb++++=sometimes
would ^md+prd+++=would
at ^rb++splt++=at
least ^rb"++++=least
make ^vb++++=make
a ^at++++=a
dirty ^jj+atrb+++=dirty
joke ^nn++++=joke
or ^cc++++=or
pick ^vb++++=pick
up ^rp++++=up
a ^at++++=a
strange ^jj++++=strange-looking
- ^zz++++=EXTRAWORD
looking ^xvbg+++xvbg+=EXTRAWORD
damaged ^vprf+++xvbn+=damaged
orange ^np++++=orange
and ^cc++++=and
do ^vb+do+vrb++=do
the ^ati++++=the
funny ^jj+atrb+++=funny
voice ^nn++++=voice
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
imagined ^vbd+vprv++xvbnx+=imagined
such ^abl++++=such
an ^at++++=an
orange ^nn++++=orange
might ^md+pos+++=might
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
passionate ^jj+atrb+++=passionate
advocate ^nn+nom+++=advocate
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
defender ^nn+nom+++=defender
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
a ^at++++=a
mean ^jj+atrb+++=mean
old ^jj+atrb+++=old
thing ^nn++++=thing
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
a ^ap++++=a
few ^ap"++++=few
houses ^nns++++=houses
down ^in++++=down
from ^in++++=from
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
a ^at++++=a
strongly ^rb+amp+++=strongly
self ^nn++++=self-certain
- ^zz++++=EXTRAWORD
certain ^jj+atrb+++=EXTRAWORD
lightning ^nn++++=lightning
bolt ^nn++++=bolt
of ^in++++=of
constant ^nn++++=constant
opining ^vwbg+++xvbg+=opining
who ^whp+who+++=who
presented ^vbd+++xvbn+=presented
as ^ql++++=as
a ^at++++=a
fierce ^jj+atrb+++=fierce
pair ^nn++++=pair
of ^in++++=of
black ^jj+atrb+++=black
men ^nns++++=men's
's ^$++++=EXTRAWORD
glasses ^nns++++=glasses
moving ^vwbg+++xvbg+=moving
around ^rp++++=around
on ^in++++=on
a ^at++++=a
tanned ^jj+atrb++xvbn+=tanned,
, ^zz++++=EXTRAWORD
agitated ^jj+atrb++xvbn+=agitated
face ^nn++++=face.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Randy ^np+++??+=Randy,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
his ^pp$+pp3+++=his
mother ^npt++++=mother
hung ^vbd+++xvbn+=hung
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
hung ^vbd+++xvbnx+=hung
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
mutual ^jj+atrb+++=mutual
admiration ^nn+nom+++=admiration
society ^nn++++=society.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
along ^in++++=along
nicely ^rb++++=nicely
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
along ^in++++=along
nicely ^rb++++=nicely
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Which ^wdt+who+whq++=Which
was ^vbd+bedz+aux++=was,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
all ^abn++++=all
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
reason ^nn++++=reason
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
married ^vprf+++xvbnx+=married,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
talking ^nn++++=talking
about ^in++++=about
such ^abl++++=such
things ^nns++++=things.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
we ^pp1a+pp1+++=we
called ^vbd+++xvbn+=called
Sparrow ^np+++??+=Sparrow
among ^in++++=among
ourselves ^ppls+pp1+++=ourselves
but ^cc+cls+++=but
whose ^whp+who+++=whose
real ^jj+atrb+++=real
name ^nn++++=name,
, ^zz++++=EXTRAWORD
funnily ^jj++++=funnily
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Gloria ^np++++=Gloria,
, ^zz++++=EXTRAWORD
noticed ^j+++xvbn+=noticed
this ^dt+dem+++=this
about ^in++++=about
Randy ^np+++??+=Randy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
with ^in++++=with
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
added ^vbd+vpub++xvbn+=added
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
growing ^jj+atrb++xvbg+=growing
list ^nn++++=list
of ^in++++=of
things ^nns++++=things
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
can ^md+pos+++=can
tell ^vb++++=tell
a ^at++++=a
lot ^nn++++=lot
about ^in++++=about
a ^at++++=a
man ^nn++++=man
by ^in++++=by
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
