Sir ^npt++++=SIR
uncertainty ^nn++++=uncertainty
is ^vbz+bez+aux++=is
soothed ^vpsv++agls+xvbnx+=soothed
and ^cc+phrs+++=and
cushioned ^vpsv++by+xvbn+=cushioned
by ^in++++=by
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
can ^md+pos+++=can
live ^vb++++=live
comfortably ^rb++++=comfortably
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
special ^jj+atrb+++=special
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
starts ^vbz++++=starts
up ^rp++++=up
wide ^jj++++=wide
awake ^jj++++=awake.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
perceive ^vb+vprv+++=perceive
how ^wrb+who+whcl++=how
delicately ^rb++++=delicately
our ^pp$+pp1+++=our
fortune ^nn++++=fortune
is ^vbz+bez+aux++=is
poised ^vpsv++agls+xvbnx+=poised
and ^cc+phrs+++=and
balanced ^vpsv++agls+xvbn+=balanced
on ^in++++=on
the ^ati++++=the
pivot ^nn++++=pivot
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
incident ^nn++++=incident.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
get ^vb++++=get
a ^at++++=a
peep ^nn++++=peep
at ^in++++=at
the ^ati++++=the
oscillating ^jj+atrb++xvbg+=oscillating
needle ^nn++++=needle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
happened ^vprf+++xvbnx+=happened
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
it ^pp3+it+++=it
tremble ^vb++++=tremble,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
call ^vb++++=call
our ^pp$+pp1+++=our
experience ^nn+nom+++=experience
a ^at++++=a
crisis ^nn++++=crisis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
meditative ^jj+atrb+++=meditative
angler ^nn++++=angler
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
exempt ^jj++++=exempt
from ^in++++=from
these ^dt+dem+++=these
sensational ^jj+atrb+++=sensational
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
times ^nns++++=times
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
uncertainty ^nn++++=uncertainty
of ^in++++=of
his ^pp$+pp3+++=his
chosen ^jj+atrb++xvbn+=chosen
pursuit ^nn++++=pursuit
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
condense ^vbi++++=condense
itself ^ppl++++=itself
into ^in++++=into
one ^cd1++++=one
big ^jj+atrb+++=big
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stand ^vb++++=stand
out ^rp+pl+++=out
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
salmon ^nn++++=salmon
on ^in++++=on
the ^ati++++=the
top ^jjb+atrb+++=top
wave ^nn++++=wave
of ^in++++=of
a ^at++++=a
rapid ^nn++++=rapid.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sees ^vbz+vprv+++=sees
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
luck ^nn++++=luck
hangs ^vbz++++=hangs
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
strand ^nn++++=strand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
tell ^vb++++=tell
whether ^cs+who+++=whether
it ^pp3+it+++=it
will ^md+prd+++=will
hold ^vb+vprv+++=hold
or ^cc++++=or
break ^nn++++=break.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
thrilling ^jj+atrb+++=thrilling
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
never ^rb++++=never
forgets ^vbz++++=forgets
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
autumn ^nn++++=autumn
of ^in++++=of
1894 ^cd+date+++=1894,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Unpronounceable ^jj+atrb+++=Unpronounceable
River ^nn++++=River,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Province ^nn++++=Province
of ^in++++=of
Quebec ^np++++=Quebec.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^rb++++=last
day ^nn++++=day,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
open ^jj+atrb+++=open
season ^nn++++=season
for ^in++++=for
ouananiche ^nn+++??+=ouananiche,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
our ^pp$+pp1+++=our
hearts ^nns++++=hearts
on ^in++++=on
catching ^xvbg+++xvbg+=catching
some ^dti++++=some
good ^jj+atrb+++=good
fish ^nn++++=fish
to ^to++++=to
take ^vbi++++=take
home ^nr++++=home
with ^in++++=with
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
walked ^vbd+++xvbn+=walked
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
four ^cd++++=four
preposterously ^jj++++=preposterously
long ^rb++++=long
and ^cc++++=and
rough ^jj+atrb+++=rough
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
famous ^jj++++=famous
fishing ^jj+++xvbg+=fishing-pool,
- ^zz++++=EXTRAWORD
pool ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="LA
la ^&fw++++=EXTRAWORD
Place ^nn++++=PLACE
De ^&fw++++=DE
Peche ^np+++??+=PECHE
A ^at++++=A
Boivin ^np+++??+=BOIVIN."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
noble ^jj+atrb+++=noble
day ^nn++++=day
for ^in++++=for
walking ^xvbg+++xvbg+=walking;
; ^zz++++=EXTRAWORD
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear
and ^cc+phrs+++=and
crisp ^jj++++=crisp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
hills ^nns++++=hills
around ^rp++++=around
us ^pp1o+pp1+++=us
were ^vbd+bed+aux++=were
glowing ^vbg+++xvbgx+=glowing
with ^in++++=with
the ^ati++++=the
crimson ^nn+++??+=crimson
foliage ^nn+nom+++=foliage
of ^in++++=of
those ^dt+dem+++=those
little ^jj+atrb+++=little
bushes ^nns++++=bushes
which ^whp+rel+obj++=which
God ^np++++=God
created ^vbd+++xvbn+=created
to ^to++++=to
make ^vbi++++=make
burned ^vbd+++xvbn+=burned
lands ^nns++++=lands
look ^vb++++=look
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trail ^nn++++=trail
ended ^vbd+++xvbn+=ended
in ^in++++=in
a ^at++++=a
precipitous ^jj+atrb+++=precipitous
gully ^nn++++=gully,
, ^zz++++=EXTRAWORD
down ^rp++++=down
which ^whp+who+++=which
we ^pp1a+pp1+++=we
scrambled ^vbd+++xvbn+=scrambled
with ^in++++=with
high ^jj+atrb+++=high
hopes ^nns++++=hopes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fishing ^nvbg+++xvbg+=fishing-rods
- ^zz++++=EXTRAWORD
rods ^nns++++=EXTRAWORD
unbroken ^jj++++=unbroken,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
to ^to++++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
the ^ati++++=the
river ^nn++++=river
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
condition ^nn+nom+++=condition
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
angling ^nvbg+++xvbg+=angling
absurd ^jj++++=absurd
if ^cs+cnd+++=if
not ^xnot++not++=not
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
cloud ^nn++++=cloud-burst
- ^zz++++=EXTRAWORD
burst ^vbd+++xvbn+=EXTRAWORD
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
water ^nn++++=water
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
down ^rp++++=down
in ^in++++=in
flood ^nn++++=flood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stream ^nn++++=stream
was ^vbd+bedz+vrb++=was
bank ^nn++++=bank-full,
- ^zz++++=EXTRAWORD
full ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gurgling ^nn+nom+++=gurgling
and ^cc++++=and
eddying ^vbg+++xvbg+=eddying
out ^rp+pl+++=out
among ^in++++=among
the ^ati++++=the
bushes ^nns++++=bushes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rushing ^vbg+++xvbg+=rushing
over ^in++++=over
the ^ati++++=the
shoal ^nn++++=shoal
where ^wrb+who+++=where
the ^ati++++=the
fish ^nns++++=fish
used ^md"++pmd"++=used
to ^to++++=to
lie ^vb++++=lie,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
brown ^jj+atrb+++=brown
torrent ^nn++++=torrent
ten ^cd++++=ten
feet ^nns++++=feet
deep ^jj++++=deep.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
last ^rb++++=last
day ^nn++++=day
with ^in++++=with
the ^ati++++=the
land ^nn++++=land-locked
- ^zz++++=EXTRAWORD
locked ^vbd+++xvbn+=EXTRAWORD
salmon ^nn++++=salmon
seemed ^vbd+seem++xvbn+=seemed
destined ^vbd+++xvbn+=destined
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
must ^md+nec+++=must
wait ^vb++++=wait
eight ^cd++++=eight
months ^nns++++=months
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
could ^md+pos+++=could
have ^vb+hv+vrb++=have
another ^dt++++=another.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
disappointment ^nn+nom+++=disappointment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
shared ^vbd+++xvbn+=shared
it ^pp3+it+++=it
according ^in+cmpx+++=according
to ^in"++++=to
our ^pp$+pp1+++=our
temperaments ^nns+nom+++=temperaments.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul
virtuously ^jj++++=virtuously
resolved ^jj+++xvbn+=resolved
not ^xnot++not++=not
to ^to++++=to
give ^vbi++++=give
up ^rb+phrv+++=up
while ^cs+sub+++=while
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
chance ^nn++++=chance
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wandered ^vbd+++xvbn+=wandered
down ^rp++++=down-stream
- ^zz++++=EXTRAWORD
stream ^nn++++=EXTRAWORD
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
an ^at++++=an
eddy ^nn++++=eddy
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
might ^md+pos+++=might
pick ^vb++++=pick
up ^rp++++=up
a ^at++++=a
small ^jj+atrb+++=small
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
Ferdinand ^np++++=Ferdinand,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
resigned ^j+++xvbn+=resigned
himself ^ppl+pp3+++=himself
without ^in++++=without
a ^at++++=a
sigh ^nn++++=sigh
to ^in++++=to
the ^ati++++=the
consolation ^nn+nom+++=consolation
of ^in++++=of
eating ^xvbg+++xvbg+=eating
blueberries ^nns++++=blueberries,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
always ^rb++++=always
did ^vbd+dod+vrb++=did
with ^in++++=with
great ^jj+atrb+++=great
cheerfulness ^nns+nom+++=cheerfulness.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
more ^rbr++++=more
cast ^vb+++xvbn+=cast
down ^rp++++=down
than ^in++++=than
either ^dtx++++=either
of ^in++++=of
my ^pp$+pp1+++=my
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
sought ^j+++xvbn+=sought
out ^rp+pl+++=out
a ^at++++=a
convenient ^jj+atrb+++=convenient
seat ^nn++++=seat
among ^in++++=among
the ^ati++++=the
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
adapting ^vbg+++xvbg+=adapting
my ^pp$+pp1+++=my
anatomy ^nn++++=anatomy
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
possible ^jj++++=possible
to ^to+jcmp+++=to
the ^ati++++=the
irregularities ^nns+nom+++=irregularities
of ^in++++=of
nature ^nn++++=nature's
's ^$++++=EXTRAWORD
upholstery ^nn+nom+++=upholstery,
, ^zz++++=EXTRAWORD
pulled ^j+++xvbn+=pulled
from ^in++++=from
my ^pp$+pp1+++=my
pocket ^nn++++=pocket
An ^at++++=AN
Amateur ^jjb++++=AMATEUR
Angler ^np++++=ANGLER'S
's ^$++++=EXTRAWORD
Days ^nns++++=DAYS
In ^in++++=IN
Dove ^np+++??+=DOVE
Dale ^nn++++=DALE,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
settled ^vbd+++xvbn+=settled
down ^rp++++=down
to ^to++++=to
read ^vbn+vprv++xvbn+=read
myself ^ppl+pp1+++=myself
into ^in++++=into
a ^at++++=a
Christian ^jj+atrb+++=Christian
frame ^nn++++=frame
of ^in++++=of
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
beginning ^xvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
roved ^vbd+++xvbn+=roved
sadly ^rb++++=sadly
over ^in++++=over
the ^ati++++=the
pool ^nn++++=pool
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
but ^cc++++=but
a ^at++++=a
casual ^jj+atrb+++=casual
glance ^nn++++=glance.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
lasted ^vbd+++xvbn+=lasted
only ^rb+down+++=only
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^cs+sub+++=in
that ^cs"++++=that
fortunate ^jj+atrb+++=fortunate
fragment ^nn+nom+++=fragment
of ^in++++=of
time ^nn++++=time
I ^pp1a+pp1+++=I
distinctly ^rb++++=distinctly
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
broad ^jj+atrb+++=broad
tail ^nn++++=tail
of ^in++++=of
a ^at++++=a
big ^jj+atrb+++=big
ouananiche ^nn+++??+=ouananiche
rise ^vb++++=rise
and ^cc+phrs+++=and
disappear ^vb+seem+++=disappear
in ^in++++=in
the ^ati++++=the
swift ^jj+atrb+++=swift
water ^nn++++=water
at ^in++++=at
the ^ati++++=the
very ^ql+amp+++=very
head ^jjb++++=head
of ^in++++=of
the ^ati++++=the
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
Immediately ^rb+tm+++=Immediately
the ^ati++++=the
whole ^jj+atrb+++=whole
aspect ^nn++++=aspect
of ^in++++=of
affairs ^nns++++=affairs
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed.
. ^zz++++=EXTRAWORD
Despondency ^nn++++=Despondency
vanished ^vbd+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
river ^nn++++=river
glittered ^vbd+++xvbn+=glittered
with ^in++++=with
the ^ati++++=the
beams ^nns++++=beams
of ^in++++=of
rising ^xvbg+++xvbg+=rising
hope ^nn++++=hope.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
is ^vbz+bez+vrb++=is
the ^ati++++=the
absurd ^jj+atrb+++=absurd
disposition ^nn+nom+++=disposition
of ^in++++=of
some ^dti++++=some
anglers ^nns+nom+++=anglers.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
never ^rb++++=never
see ^vb+vprv+++=see
a ^at++++=a
fish ^nn++++=fish
without ^in++++=without
believing ^vb+vprv++xvbg+=believing
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
can ^md+pos+++=can
catch ^vb++++=catch
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
see ^vb+vprv+++=see
no ^at++++=no
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
the ^ati++++=the
river ^nn++++=river
is ^vbz+bez+vrb++=is
empty ^jj+pred+++=empty
and ^cc++++=and
the ^ati++++=the
world ^nn++++=world
hollow ^nn++++=hollow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing
to ^in++++=to
my ^pp$+pp1+++=my
companions ^nns++++=companions.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
unkind ^jj++++=unkind
to ^to++++=to
disturb ^vbi++++=disturb
them ^pp3o+pp3+++=them
with ^in++++=with
expectations ^nns+nom+++=expectations
which ^whp+rel+subj++=which
might ^md+pos+++=might
never ^rb++++=never
be ^vb+be+aux++=be
realized ^vpsv++agls+xvbnx+=realized.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
immediate ^jj+atrb+++=immediate
duty ^nn++++=duty
was ^vbd+bedz+aux++=was
to ^to++++=to
get ^vbi++++=get
within ^in++++=within
casting ^xvbg+++xvbg+=casting
distance ^nn+nom+++=distance
of ^in++++=of
that ^dt+dem+++=that
salmon ^nn++++=salmon
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
possible ^nn++++=possible.
. ^zz++++=EXTRAWORD
The ^ati++++=The
way ^nn++++=way
along ^in++++=along
the ^ati++++=the
shore ^nn++++=shore
of ^in++++=of
the ^ati++++=the
pool ^nn++++=pool
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bank ^nn++++=bank
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
steep ^jj++++=steep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rocks ^nns++++=rocks
by ^in++++=by
the ^ati++++=the
river ^npl++++=river's
's ^$++++=EXTRAWORD
edge ^nn++++=edge
were ^vbd+bed+aux++=were
broken ^vpsv++agls+xvbnx+=broken
and ^cc++++=and
glibbery ^nn+nom+++=glibbery.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
a ^at++++=a
sheer ^jjb+atrb+++=sheer
wall ^nn++++=wall
of ^in++++=of
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
thirty ^cd++++=thirty
feet ^nns++++=feet
high ^jj++++=high,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
directly ^rb++++=directly
from ^in++++=from
the ^ati++++=the
deep ^jj+atrb+++=deep
water ^nn++++=water.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
tiny ^jj+atrb+++=tiny
ledge ^nn++++=ledge
or ^cc++++=or
crevice ^&fw++++=crevice
running ^jj+atrb++xvbg+=running
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
across ^in+pl+++=across
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
this ^dt+dem+++=this
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
this ^dt+dem+++=this
four ^cd++++=four-inch
- ^zz++++=EXTRAWORD
inch ^nn++++=EXTRAWORD
path ^nn++++=path
I ^pp1a+pp1+++=I
edged ^vbd+++xvbnx+=edged
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv+tht0+xvbg+=holding
my ^pp$+pp1+++=my
rod ^nn++++=rod
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clinging ^vbg+++xvbg+=clinging
affectionately ^rb++++=affectionately
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
to ^in++++=to
such ^abl++++=such
clumps ^nns++++=clumps
of ^in++++=of
grass ^nn++++=grass
and ^cc++++=and
little ^jj+atrb+++=little
bushes ^nns++++=bushes
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
find ^vb+vprv+++=find.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
small ^jj+atrb+++=small
huckleberry ^nn++++=huckleberry
plant ^nn++++=plant
to ^to++++=to
which ^whp+who+++=which
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
particular ^jj+atrb+++=particular
attachment ^nn+nom+++=attachment.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
fortunately ^rb++++=fortunately
a ^at++++=a
firm ^jj++++=firm
little ^ap++++=little
bush ^nn++++=bush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
held ^vbd+vprv++xvbnx+=held
fast ^rb++++=fast
to ^in++++=to
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
Tennyson ^np++++=Tennyson's
's ^$++++=EXTRAWORD
poem ^nn++++=poem
which ^whp+rel+subj++=which
begins ^vbz++++=begins
" ^zz++++="Flower
flower ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
crannied ^jj+atrb++xvbn+=crannied
wall ^nn++++=wall,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
reflected ^vbd+vprv++xvbn+=reflected
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
should ^md+nec+++=should
succeed ^vb++++=succeed
in ^in++++=in
plucking ^xvbg+++xvbg+=plucking
out ^rp+pl+++=out
this ^dt+dem+++=this
flower ^nn++++=flower,
, ^zz++++=EXTRAWORD
" ^zz++++="root
root ^nn++++=EXTRAWORD
and ^cc++++=and
all ^rb+cnj+++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
probably ^rb++++=probably
result ^nn++++=result
in ^in++++=in
an ^at++++=an
even ^rb++++=even
greater ^jjr+atrb+++=greater
increase ^nn++++=increase
of ^in++++=of
knowledge ^nn++++=knowledge
than ^in++++=than
the ^ati++++=the
poet ^nn++++=poet
contemplated ^vwbn+++xvbn+=contemplated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ledge ^nn++++=ledge
in ^in++++=in
the ^ati++++=the
rock ^nn++++=rock
now ^rn+tm+++=now
came ^vbd+++xvbn+=came
to ^in++++=to
an ^at++++=an
end ^nn++++=end.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
below ^rb++++=below
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
pool ^nn++++=pool
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sunken ^jj+atrb+++=sunken
reef ^nn++++=reef;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
this ^dt+dem+++=this
reef ^nn++++=reef
a ^at++++=a
long ^rb++++=long
log ^&fo++++=log
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
end ^nn++++=end
sticking ^vwbg+++xvbg+=sticking
out ^rp+pl+++=out
