Everybody ^pn++++=Everybody
Joyce ^np++++=Joyce
timidly ^jj++++=timidly.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
black ^jj+atrb+++=black
doll ^nn++++=doll.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
were ^vbd+bed+aux++=were
to ^to++++=to
see ^vbi+vprv+++=see
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
likely ^jj+atrb+++=likely
want ^nn++++=want
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
makes ^vbz++++=makes
a ^at++++=a
hobby ^nn++++=hobby
of ^in++++=of
collecting ^xvbg+++xvbg+=collecting
dolls ^nns++++=dolls
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
doubt ^nn++++=doubt
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
in ^in++++=in
her ^pp$+pp3+++=her
collection ^nn+nom+++=collection
a ^at++++=a
doll ^nn++++=doll
that ^tht+rel+++=that
served ^jj+++xvbn+=served
to ^to++++=to
amuse ^vbi++++=amuse
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
four ^cd++++=four
thousand ^cd++++=thousand
years ^nns++++=years
ago ^rb++++=ago
in ^in++++=in
the ^ati++++=the
court ^nn++++=court
of ^in++++=of
the ^ati++++=the
Pharaohs ^np+++??+=Pharaohs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
Joyce ^np++++=Joyce's
's ^$++++=EXTRAWORD
black ^jj+atrb+++=black
doll ^nn++++=doll
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
ugly ^jj++++=ugly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Chrissie ^np+++??+=Chrissie.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
wax ^nn++++=wax
doll ^nn++++=doll
with ^in++++=with
the ^ati++++=the
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair
is ^vbz+bez+vrb++=is
ever ^rb++++=ever
so ^ql++++=so
much ^ap++++=much
prettier ^jjr++++=prettier."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
black ^jj+atrb+++=black
doll ^nn++++=doll
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
ugly ^jj++++=ugly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Little ^jj+atrb+++=Little
Joyce ^np++++=Joyce
indignantly ^rb++++=indignantly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
endure ^vb++++=endure
to ^to++++=to
be ^vbi+vbi+aux++=be
called ^vpsv++agls+xvbnx+=called
ugly ^jj++++=ugly
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
have ^vbi++vrb++=have
her ^pp$+pp3+++=her
darling ^np+nom+++=darling
black ^jj+atrb+++=black
doll ^nn++++=doll
called ^vbd+++xvbn+=called
ugly ^jj++++=ugly.
. ^zz++++=EXTRAWORD
In ^in++++=In
her ^pp$+pp3+++=her
excitement ^nn+nom+++=excitement
she ^pp3a+pp3+++=she
upset ^vbd+++xvbnx+=upset
her ^pp3o+pp3+++=her
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea
over ^rp++++=over
the ^ati++++=the
tablecloth ^nn++++=tablecloth.
. ^zz++++=EXTRAWORD
Aunt ^nn++++=Aunt
Isabella ^np+++??+=Isabella
looked ^vbd+++xvbn+=looked
angry ^jj++++=angry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
said ^vbd+vpub++xvbn+=said
sharply ^rb++++=sharply:
: ^zz++++=EXTRAWORD
" ^zz++++="Joyce,
joyce ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
leave ^vb++++=leave
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
grow ^vb++++=grow
more ^rbr++++=more
awkward ^jj++++=awkward
and ^cc+phrs+++=and
careless ^jj++++=careless
every ^at++++=every
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
verge ^nn++++=verge
of ^in++++=of
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
crept ^j+++xvbn+=crept
away ^rp+pl+++=away
and ^cc++++=and
went ^vbd+++xvbn+=went
up ^rp++++=up
the ^ati++++=the
kitchen ^nn++++=kitchen
stairs ^nns++++=stairs
to ^in++++=to
Denise ^np+++??+=Denise
to ^to++++=to
be ^vbi+vbi+aux++=be
comforted ^vpsv++agls+xvbnx+=comforted.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Denise ^np+++??+=Denise
herself ^ppl+pp3+++=herself
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
crying ^vbg+++xvbgx+=crying.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lay ^vbd+++xvbnx+=lay
on ^rb+phrv+++=on
her ^pp$+pp3+++=her
little ^ap++++=little
bed ^nn++++=bed
by ^in++++=by
the ^ati++++=the
low ^jj+atrb+++=low
window ^nn++++=window,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
glow ^nn++++=glow
of ^in++++=of
the ^ati++++=the
sunset ^nn++++=sunset
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hollow ^jj+atrb+++=hollow
cheeks ^nns++++=cheeks
were ^vbd+bed+vrb++=were
scarlet ^jj+pred+++=scarlet
with ^in++++=with
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
so ^ql++++=so
much ^ap++++=much
to ^to++++=to
hear ^vbi+vprv+++=hear
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
sing ^vb++++=sing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
sobbed ^vbd+++xvbnx+=sobbed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
feel ^vb+vprv+++=feel
lak ^nn+++??+=lak
I ^pp1a+pp1+++=I
could ^md+pos+++=could
die ^vb++++=die
easier ^jjr++++=easier
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
hear ^vb+vprv+tht0++=hear
her ^pp3o+pp3+++=her
sing ^vb++++=sing
just ^rb+emph+++=just
one ^cd1++++=one
leetle ^nn+++??+=leetle
song ^nn++++=song.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
Frenchwoman ^nn+nom+++=Frenchwoman,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
sing ^vb++++=sing
all ^rb++++=all
de ^&fw++++=de
ole ^np++++=ole
French ^jj+atrb+++=French
songs ^nns++++=songs
de ^&fw++++=de
ole ^np++++=ole
songs ^nns++++=songs
my ^pp$+pp1+++=my
mudder ^jjr++++=mudder
sing ^vb++++=sing
long ^jj++++=long
' ^zz++++='go.
go ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
so ^ql++++=so
want ^vb++++=want
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
sing ^vb++++=sing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
ca ^np++++=can't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
Denise ^np+++??+=Denise,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Joyce ^np++++=Joyce
very ^ql+amp+++=very
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
stroking ^vbg+++xvbg+=stroking
Denise ^np++++=Denise's
's ^$++++=EXTRAWORD
hot ^jj+atrb+++=hot
forehead ^nn++++=forehead
with ^in++++=with
her ^pp$+pp3+++=her
cool ^vb++++=cool,
, ^zz++++=EXTRAWORD
slender ^jj+atrb+++=slender
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
had ^vb+hv+vrb++=had
very ^ql+amp+++=very
pretty ^rb++++=pretty
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
only ^ap+down+++=only
nobody ^pn++++=nobody
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
noticed ^vprf+++xvbnx+=noticed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
strong ^jj++++=strong
enough ^qlp++++=enough
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
concert ^nn++++=concert.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
sing ^vb++++=sing
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
like ^vb++++=like.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
sing ^vb++++=sing
very ^ql+amp+++=very
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
my ^pp$+pp1+++=my
best ^jjt++++=best."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
sing ^vb++++=sing
lak ^nn+++??+=lak
a ^at++++=a
sweet ^jj+atrb+++=sweet
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Denise ^np+++??+=Denise
restlessly ^rb++++=restlessly.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
de ^&fw++++=de
great ^jj+atrb+++=great
Madame ^npt++++=Madame
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear.
. ^zz++++=EXTRAWORD
