Violent ^jj+atrb+++=VIOLENT
disguise ^vb++++=disguise.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
fooled ^vprf+++xvbnx+=fooled
many ^ap++++=many
women ^nns++++=women,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
always ^rb++++=always
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
before ^cs+sub+++=before
the ^ati++++=the
disguise ^nn++++=disguise
slipped ^vbd+++xvbn+=slipped.
. ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
surveyed ^vwbn+++xvbn+=surveyed
the ^ati++++=the
huge ^jj++++=huge,
, ^zz++++=EXTRAWORD
decadently ^jj+atrb+++=decadently
ornate ^jj+atrb+++=ornate
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great,
, ^zz++++=EXTRAWORD
bloated ^jj+atrb++xvbn+=bloated
version ^nn++++=version
of ^in++++=of
his ^pp$+pp3+++=his
son ^nn++++=son
with ^in++++=with
a ^at++++=a
cloud ^nn++++=cloud-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
crew ^vb++++=crew
cut ^vbd+++xvbn+=cut.
. ^zz++++=EXTRAWORD
" ^zz++++="Judging
judging ^jj+++xvbg+=EXTRAWORD
by ^in++++=by
that ^dt+dem+++=that
crap ^nn++++=crap
on ^in++++=on
the ^ati++++=the
dressing ^jj+atrb++xvbg+=dressing
table ^nn++++=table,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
spending ^vbg+++xvbg+=spending
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Or
or ^cc++++=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew
how ^wrb+who+whcl++=how
to ^to++++=to
get ^vbi++++=get
some ^dti++++=some
guy ^np++++=guy
to ^to++++=to
spend ^vbi++++=spend
it ^pp3+it+++=it
for ^in++++=for
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
winked ^vbd+++xvbn+=winked
approvingly ^rb+cnj+++=approvingly,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
gave ^vbd+++xvbn+=gave
Jimmy ^np++++=Jimmy
a ^at++++=a
glow ^nn++++=glow,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
" ^zz++++="Black
black ^jj+atrb+++=EXTRAWORD
silk ^nn++++=silk
sheets ^nns++++=sheets.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
does ^vbz+doz+aux++=does
that ^dt+dem+++=that
tell ^nn++++=tell
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
should ^md+nec+++=should
jump ^vb++++=jump
to ^in++++=to
conclusions ^nns++++=conclusions,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
get ^vbi++++=get
to ^to+vcmp+++=to
my ^pp$+pp1+++=my
rank ^nn++++=rank,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
glow ^nn++++=glow
faded ^vbd+++xvbn+=faded.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
The ^ati++++=The
Welch ^np++++=Welch
living ^vwbg+++xvbg+=living
room ^nn++++=room
was ^vbd+bedz+aux++=was
expensively ^rb++splt++=expensively
furnished ^vpsv++agls+xvbnx+=furnished,
, ^zz++++=EXTRAWORD
spotlessly ^rb++++=spotlessly
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coldly ^rb++++=coldly
neat ^jj++++=neat.
. ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
wait ^vb++++=wait
to ^to+vcmp+++=to
leave ^vbi++++=leave
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
George ^np++++=George
Welch ^np++++=Welch
had ^vb+hv+vrb++=had
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
vinegary ^nn+nom+++=vinegary
face ^nn++++=face
and ^cc++++=and
rust ^nn++++=rust-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
parted ^j+++xvbn+=parted
down ^rp++++=down
the ^ati++++=the
middle ^nn++++=middle.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
understand ^vb+vprv+++=understand,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+aux++=were
divorced ^vpsv++agls+xvbnx+=divorced?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Separated,"
separated ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Welch ^np++++=Welch
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
about ^md"++pmd"++=about
to ^md+prd+++=to
have ^vbi++vrb++=have
the ^ati++++=the
lieutenant ^npt+nom+++=lieutenant
beheaded ^vwbn+++xvbn+=beheaded.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
were ^vbd+bed+aux++=were
happily ^rb++splt++=happily
married ^vpsv++agls+xvbnx+=married;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
having ^vbg+hvg++xvbg+=having
difficulties ^nns++++=difficulties,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
decided ^vbd+vprv++xvbn+=decided
to ^to+vcmp+++=to
spend ^vbi++++=spend
some ^dti++++=some
time ^nn++++=time
apart ^in+strn+++=apart."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
So ^ql++++=So
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened
tonight ^nr+tm+++=tonight?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
were ^vbd+bed+aux++=were
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
go ^vb++++=go
to ^in++++=to
dinner ^nn++++=dinner
and ^cc++++=and
that ^dt+dem+++=that
play ^nn++++=play
at ^rb++++=at
the ^ati++++=the
Birmingham ^np++++=Birmingham
Theater ^np+++??+=Theater.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
by ^in++++=by
to ^to++++=to
get ^vbi++++=get
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
her ^pp$+pp3+++=her
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
noted ^vbd+vprv++xvbn+=noted
Welch ^np++++=Welch's
's ^$++++=EXTRAWORD
granite ^nn++++=granite
formality ^nn+nom+++=formality.
. ^zz++++=EXTRAWORD
Indifference ^nn+nom+++=Indifference
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
death ^nn++++=death?
? ^zz++++=EXTRAWORD
Shock ^nn++++=Shock?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
something ^pn++++=something
else ^rb+cnj+++=else?
? ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton,
, ^zz++++=EXTRAWORD
" ^zz++++="notice
notice ^vb+vprv+tht0++=EXTRAWORD
anything ^pn++++=anything
unusual ^jj++++=unusual
as ^ql++++=as
you ^pp2+pp2+++=you
pulled ^vbd+++xvbn+=pulled
up ^rp++++=up?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Welch ^np++++=Welch
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sure?"
sure ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Okay.
okay ^rb+dspt+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
your ^pp$+pp2+++=your
wife ^nn++++=wife
have ^vb+hv+vrb++=have
any ^dti++++=any
enemies ^nns++++=enemies?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Like ^in++++=Like
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
cat ^nn++++=cat
and ^cc++++=and
the ^ati++++=the
question ^nn+nom+++=question
was ^vbd+bedz+vrb++=was
a ^at++++=a
nice ^jj++++=nice,
, ^zz++++=EXTRAWORD
juicy ^nn+++??+=juicy
mouse ^nn++++=mouse.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
recently ^rb+tm+++=recently
became ^vbd+++xvbn+=became
friendly ^jj++++=friendly--just
-- ^--+clp+++=EXTRAWORD
just ^rb+emph+++=EXTRAWORD
friendly ^jj++++=friendly--with
-- ^--+clp+++=EXTRAWORD
with ^in++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
named ^vbd+++xvbn+=named
Eric ^np++++=Eric
Dimke ^np+++??+=Dimke.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Lucy ^np++++=Lucy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
getting ^vb++++=getting
his ^pp$+pp3+++=his
way ^nn++++=way
with ^in++++=with
women ^nns++++=women;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
him ^pp3o+pp3+++=him
down ^rp++++=down,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
the ^ati++++=the
impression ^nn++++=impression
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
scared ^vpsv++agls+xvbnx+=scared
of ^in++++=of
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
this ^dt+dem+++=this
guy ^np++++=guy
lives ^vbz++++=lives?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
them ^pp3o+pp3+++=them
an ^at++++=an
address ^nns+nom+++=address
in ^in++++=in
Flat ^nn++++=Flat
Rock ^npl++++=Rock.
. ^zz++++=EXTRAWORD
" ^zz++++="Think
think ^vb+vprv+tht0++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
telling ^nvbg+++xvbg+=telling
the ^ati++++=the
truth ^nn++++=truth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Jimmy ^np++++=Jimmy
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
car ^nn++++=car.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
completely ^rb+amp+++=completely.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
about ^in++++=about
that ^dt+dem+++=that
trial ^nn++++=trial
separation ^nn+nom+++=separation;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
sure ^nn++++=sure.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
her ^pp$+pp3+++=her
hands ^nns++++=hands
on ^in++++=on
his ^pp$+pp3+++=his
money ^nn++++=money
and ^cc++++=and
that ^tht+vcmp+++=that
house ^npl++++=house,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
little ^ap++++=little
bitch ^nn++++=bitch
was ^vbd+bedz+vrb++=was
through ^in++++=through
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
all ^rb++++=all
you ^pp2+pp2+++=you
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
jump ^vb++++=jump
to ^in++++=to
conclusions ^nns++++=conclusions
about ^in++++=about
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
eyes ^nns++++=eyes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
address ^nns+nom+++=address
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
sparsely ^rb++++=sparsely
populated ^jj+atrb++xvbn+=populated
area ^nn++++=area.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
turned ^vbd+++xvbnx+=turned
into ^in++++=into
a ^at++++=a
driveway ^nn++++=driveway,
, ^zz++++=EXTRAWORD
the ^ati++++=the
headlights ^nns++++=headlights
revealing ^vwbg+++xvbg+=revealing
a ^at++++=a
bedraggled ^jj+++xvbn+=bedraggled
Oldsmobile ^np+++??+=Oldsmobile
parked ^vbd+++xvbn+=parked
so ^pn+emph+++=so
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
road ^nn++++=road
they ^pp3a+pp3+++=they
almost ^rb+hdg+++=almost
rear ^nn++++=rear-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
crossed ^vbd+++xvbnx+=crossed
what ^wdt+who+++=what
felt ^vbd+vprv++xvbn+=felt
to ^to+vcmp+++=to
Jimmy ^vb++++=Jimmy's
's ^$++++=EXTRAWORD
ankles ^nns++++=ankles
like ^in++++=like
a ^at++++=a
balding ^nvbg+++xvbg+=balding,
, ^zz++++=EXTRAWORD
unmowed ^jj+atrb++xvbn+=unmowed
lawn ^nn++++=lawn.
. ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
sidestepped ^vbd+++xvbn+=sidestepped
something ^pn++++=something.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
out ^rb+phrv+++=out
for ^in+ppvb+++=for
this ^dt+dem+++=this
junk ^nn++++=junk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
lone ^jjb+atrb+++=lone
streetlamp ^nn+++??+=streetlamp
and ^cc++++=and
the ^ati++++=the
light ^nn++++=light
from ^in++++=from
the ^ati++++=the
house ^nn++++=house
dimly ^rb++++=dimly
illuminating ^xvbg+++xvbg+=illuminating
scattered ^vprf+++xvbn+=scattered
auto ^nn++++=auto
innards ^nns++++=innards.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
" ^zz++++="Believe
believe ^vb+vprv+++=EXTRAWORD
what ^wdt+who+whcl++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
as ^rb++++=as
well ^rb++++=well
off ^in+pl+++=off
as ^ql++++=as
her ^pp$+pp3+++=her
would ^md+prd+++=would
take ^vb++++=take
up ^rb+phrv+++=up
with ^in+ppvb+++=with
anyone ^pn++++=anyone
who ^whp+who+++=who
lived ^vbd+++xvbn+=lived
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
who ^whp+who+++=who's
's ^vbz+bez+aux++0=EXTRAWORD
jumping ^vbg+++xvbgx+=jumping
to ^in++++=to
conclusions ^nns++++=conclusions?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
The ^ati++++=The
big ^jj+atrb+++=big,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
leather ^nn++++=leather
reclining ^vwbg+++xvbg+=reclining
chair ^nn++++=chair
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
piece ^nn++++=piece
of ^in++++=of
furniture ^nn++++=furniture
in ^cs+sub+++=in
that ^cs"++++=that
room ^nn++++=room
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
need ^vb++++=need
reupholstering ^vbg+++xvbg+=reupholstering,
, ^zz++++=EXTRAWORD
distinctive ^jj++++=distinctive
in ^in++++=in
a ^at++++=a
room ^nn++++=room
whose ^whp+rel+obj++=whose
walls ^nns++++=walls
bore ^vbd+++xvbn+=bore
cheap ^jj+atrb+++=cheap
prints ^nns++++=prints
of ^in++++=of
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
gleaming ^vbg+++xvbg+=gleaming
on ^in++++=on
an ^at++++=an
unshampooed ^jj+atrb++xvbn+=unshampooed
rug ^nn++++=rug;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
anyone ^pn++++=anyone
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
him ^pp3o+pp3+++=him
ten ^cd++++=ten
minutes ^nns++++=minutes
might ^md+pos+++=might
have ^vb+hv+aux++=have
expected ^vprf+++xvbnx+=expected,
, ^zz++++=EXTRAWORD
Eric ^np++++=Eric
Dimke ^np+++??+=Dimke
occupied ^vbd+++xvbn+=occupied
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
