As ^ql++++=As
annoyances ^nns+nom+++=annoyances,
, ^zz++++=EXTRAWORD
winding ^nvbg+++xvbg+=winding
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
resolute ^jj+atrb+++=resolute
persistency ^nn++++=persistency
of ^in++++=of
the ^ati++++=the
clerk ^nn++++=clerk
at ^rb++++=at
the ^ati++++=the
stage ^nn++++=stage
office ^nn++++=office
to ^to++++=to
enter ^vbi++++=enter
my ^pp$+pp1+++=my
name ^nn++++=name
misspelt ^vbd+++xvbn+=misspelt
on ^in++++=on
the ^ati++++=the
waybill ^nn+++??+=waybill,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
not ^xnot++not++=not
predisposed ^jj+++xvbn+=predisposed
me ^pp1o+pp1+++=me
to ^in++++=to
cheerfulness ^nns+nom+++=cheerfulness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inmates ^nns+nom+++=inmates
of ^in++++=of
the ^ati++++=the
Eureka ^np+++??+=Eureka
House ^nn++++=House,
, ^zz++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
social ^jj+atrb+++=social
viewpoint ^nn++++=viewpoint,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
attractive ^jj++++=attractive.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
prevailing ^jj+atrb++xvbg+=prevailing
opinion ^nn++++=opinion--so
-- ^--+clp+++=EXTRAWORD
so ^ql+emph+++=EXTRAWORD
common ^jj++++=common
to ^in++++=to
many ^ap++++=many
honest ^jj+atrb+++=honest
people ^nns++++=people--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
a ^at++++=a
serious ^jj+atrb+++=serious
style ^nn++++=style
of ^in++++=of
deportment ^nn+nom+++=deportment
and ^cc++++=and
conduct ^nn++++=conduct
toward ^in++++=toward
a ^at++++=a
stranger ^nn+nom+++=stranger
indicates ^nns+nom+++=indicates
high ^jj+atrb+++=high
gentility ^nn+nom+++=gentility
and ^cc++++=and
elevated ^vbd+++xvbn+=elevated
station ^npl+nom+++=station.
. ^zz++++=EXTRAWORD
Obeying ^vbg+++xvbg+=Obeying
this ^dt+dem+++=this
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
all ^abn++++=all
hilarity ^nn+nom+++=hilarity
ceased ^vbd+++xvbn+=ceased
on ^in++++=on
my ^pp$+pp1+++=my
entrance ^nn+nom+++=entrance
to ^in++++=to
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
general ^jj+atrb+++=general
remark ^nn++++=remark
merged ^vwbn+++xvbn+=merged
into ^in++++=into
the ^ati++++=the
safer ^jjr+atrb+++=safer
and ^cc+phrs+++=and
uncompromising ^jj+atrb+++=uncompromising
chronicle ^nn++++=chronicle
of ^in++++=of
several ^ap++++=several
bad ^jj+atrb+++=bad
cases ^nns++++=cases
of ^in++++=of
diphtheria ^nn++++=diphtheria,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
epidemic ^nn++++=epidemic
at ^in++++=at
Wingdam ^np+++??+=Wingdam.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
the ^ati++++=the
dining ^jj+++xvbg+=dining-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
odd ^nn++++=odd
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
supping ^vbg+++xvbgx+=supping
exclusively ^rb++++=exclusively
on ^in++++=on
mustard ^nn++++=mustard
and ^cc++++=and
tea ^nn++++=tea
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stopped ^vbd+++xvbnx+=stopped
a ^at++++=a
moment ^nn++++=moment
at ^in++++=at
the ^ati++++=the
parlor ^nn++++=parlor
door ^nn++++=door.
. ^zz++++=EXTRAWORD
A ^at++++=A
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
harmoniously ^rb++++=harmoniously
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
dinner ^nn++++=dinner
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
tinkled ^j+++xvbn+=tinkled
responsive ^jj++++=responsive
to ^in++++=to
a ^at++++=a
diffident ^jj+atrb+++=diffident
and ^cc+phrs+++=and
uncertain ^jj+atrb+++=uncertain
touch ^nn++++=touch.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
white ^jj+atrb+++=white
wall ^nn++++=wall
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
and ^cc+phrs+++=and
sharp ^jj+atrb+++=sharp
profile ^nn++++=profile
was ^vbd+bedz+aux++=was
bending ^vbg+++xvbgx+=bending
over ^in++++=over
several ^ap++++=several
symmetrical ^jj+atrb+++=symmetrical
and ^cc+phrs+++=and
shadowy ^jj+atrb+++=shadowy
curls ^nns++++=curls.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sez ^nn+++??+=sez
to ^in++++=to
Mariar ^np+++??+=Mariar,
, ^zz++++=EXTRAWORD
Mariar ^np+++??+=Mariar,
, ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='Praise
praise ^vb++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
face ^nn++++=face
is ^vbz+bez+vrb++=is
open ^jj+atrb+++=open
disgrace. ^nn+++??+=disgrace.'"
'" ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Dreading ^np+++??+=Dreading
some ^dti++++=some
susceptibility ^nn+nom+++=susceptibility
to ^in++++=to
sincere ^jj+atrb+++=sincere
expression ^nn++++=expression
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
female ^jj+atrb+++=female
loveliness ^nns+nom+++=loveliness,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
checking ^vbg+++xvbg+=checking
the ^ati++++=the
compliment ^nn+nom+++=compliment
that ^tht+rel+subj++=that
otherwise ^rb+cnj+++=otherwise
might ^md+pos+++=might
have ^vb+hv+aux++=have
risen ^vprf+++xvbn+=risen
unbidden ^jj++++=unbidden
to ^in++++=to
my ^pp$+pp1+++=my
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
brought ^vprf+++xvbnx+=brought
shame ^vb++++=shame
and ^cc++++=and
sorrow ^nn++++=sorrow
to ^in++++=to
the ^ati++++=the
household ^nn++++=household.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
with ^in++++=with
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
these ^dt+dem+++=these
experiences ^nns+nom+++=experiences
resting ^vwbg+++xvbg+=resting
heavily ^rb++++=heavily
upon ^in++++=upon
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
hesitatingly ^jj++++=hesitatingly
before ^in++++=before
the ^ati++++=the
stage ^nn++++=stage
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver,
, ^zz++++=EXTRAWORD
about ^md"++pmd"++=about
to ^md+prd+++=to
mount ^vb++++=mount,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
illuminated ^vwbn+++xvbn+=illuminated
by ^in++++=by
the ^ati++++=the
open ^jj+atrb+++=open
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
the ^ati++++=the
wearied ^vprf+++xvbn+=wearied
look ^nn++++=look
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
distinguishing ^jj+atrb++xvbg+=distinguishing
expression ^nn++++=expression
of ^in++++=of
Wingdam ^np+++??+=Wingdam.
. ^zz++++=EXTRAWORD
Satisfied ^j+++xvbn+=Satisfied
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
properly ^rb++splt++=properly
waybilled ^vpsv++agls+xvbnx+=waybilled
and ^cc+phrs+++=and
receipted ^vpsv++agls+xvbn+=receipted
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
no ^at++++=no
further ^jjb+atrb+++=further
notice ^nn++++=notice
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
longingly ^rb++++=longingly
at ^in++++=at
the ^ati++++=the
box ^nn++++=box
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
respond ^vb++++=respond
to ^in++++=to
the ^ati++++=the
appeal ^nn++++=appeal.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
flung ^vbd+++xvbnx+=flung
my ^pp$+pp1+++=my
carpetbag ^nn+++??+=carpetbag
into ^in++++=into
the ^ati++++=the
chasm ^nn++++=chasm,
, ^zz++++=EXTRAWORD
dived ^j+++xvbn+=dived
recklessly ^rb++++=recklessly
after ^in++++=after
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--before
-- ^--+clp+++=EXTRAWORD
before ^cs+sub+++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
fairly ^rb++splt++=fairly
seated ^vpsv++agls+xvbnx+=seated--with
-- ^--+clp+++=EXTRAWORD
with ^in++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
sigh ^nn++++=sigh,
, ^zz++++=EXTRAWORD
a ^at++++=a
creaking ^nn++++=creaking
of ^in++++=of
unwilling ^jj+atrb+++=unwilling
springs ^nns++++=springs,
, ^zz++++=EXTRAWORD
complaining ^vbg+vpub++xvbg+=complaining
bolts ^nns++++=bolts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
harshly ^rb++++=harshly
expostulating ^jj+atrb++xvbg+=expostulating
axle ^nn++++=axle,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
moved ^vbd+++xvbn+=moved
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
the ^ati++++=the
hotel ^nn++++=hotel
door ^nn++++=door
slipped ^vbd+++xvbn+=slipped
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
piano ^nn++++=piano
sank ^vbd+++xvbn+=sank
to ^in++++=to
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
night ^nn++++=night
and ^cc++++=and
its ^pp$+it+++=its
shadows ^nps++++=shadows
moved ^vbd+++xvbn+=moved
solemnly ^rb++++=solemnly
upon ^in++++=upon
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
To ^to++++=To
say ^vbi+vpub+tht0++=say
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dark ^jj++++=dark
expressed ^jj+++xvbn+=expressed
but ^cc++++=but
faintly ^rb++++=faintly
the ^ati++++=the
pitchy ^nn+++??+=pitchy
obscurity ^nn+nom+++=obscurity
that ^tht+rel+subj++=that
encompassed ^vbd+++xvbn+=encompassed
the ^ati++++=the
vehicle ^nn++++=vehicle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
roadside ^nn++++=roadside
trees ^nns++++=trees
were ^vbd+bed+vrb++=were
scarcely ^rb+down+++=scarcely
distinguishable ^jj+pred+++=distinguishable
as ^in++++=as
deeper ^jjr+atrb+++=deeper
masses ^nns++++=masses
of ^in++++=of
shadow ^nn++++=shadow;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
them ^pp3o+pp3+++=them
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
peculiar ^jj+atrb+++=peculiar
sodden ^jj+atrb+++=sodden
odor ^nn++++=odor
that ^tht+rel+++=that
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
sluggishly ^rb++++=sluggishly
flowed ^vbd+++xvbn+=flowed
in ^in++++=in
at ^in++++=at
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
as ^ql++++=as
we ^pp1a+pp1+++=we
rolled ^vpsv++by+xvbn+=rolled
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
proceeded ^vbd+++xvbn+=proceeded
slowly ^rb++++=slowly;
; ^zz++++=EXTRAWORD
so ^ql+emph+++=so
leisurely ^jj++++=leisurely
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
from ^in++++=from
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
more ^ql++++=more
than ^cs+sub+++=than
once ^cs+tm+++=once
detected ^vprf+++xvbn+=detected
the ^ati++++=the
fragrant ^jj+atrb+++=fragrant
sigh ^nn++++=sigh
of ^in++++=of
some ^dti++++=some
astonished ^jj+atrb++xvbn+=astonished
cow ^nn++++=cow,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
ruminating ^jj+atrb+++=ruminating
repose ^nn++++=repose
upon ^in++++=upon
the ^ati++++=the
highway ^nn++++=highway
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
ruthlessly ^rb++splt++=ruthlessly
disturbed ^vprf+++xvbnx+=disturbed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
our ^pp$+pp1+++=our
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
