Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wide ^jj+atrb+++=wide
region ^nn++++=region
of ^in++++=of
wild ^jj+atrb+++=wild
country ^nn++++=country
sprinkled ^vbd+++xvbn+=sprinkled
over ^in++++=over
with ^in++++=with
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
heroes ^nns++++=heroes,
, ^zz++++=EXTRAWORD
poets ^nns++++=poets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sages ^nn++++=sages
of ^in++++=of
antiquity ^nn+nom+++=antiquity,
, ^zz++++=EXTRAWORD
jumbled ^xvbn+++xvbn+=jumbled
into ^in++++=into
the ^ati++++=the
most ^ql+emph+++=most
whimsical ^jj+atrb+++=whimsical
juxtaposition ^nn+nom+++=juxtaposition.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
our ^pp$+pp1+++=our
political ^jj+atrb+++=political
god ^np++++=god-fathers;
- ^zz++++=EXTRAWORD
fathers ^nns+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
topographical ^jj+atrb+++=topographical
engineers ^nns+nom+++=engineers,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
persons ^nns++++=persons
employed ^vwbn+++xvbn+=employed
by ^in++++=by
government ^nn+nom+++=government
to ^in++++=to
survey ^nn++++=survey
and ^cc++++=and
lay ^jjb+++xvbn+=lay
out ^rp+pl+++=out
townships ^nns+nom+++=townships.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These,
, ^zz++++=EXTRAWORD
forsooth ^nn+++??+=forsooth,
, ^zz++++=EXTRAWORD
glorify ^vb++++=glorify
the ^ati++++=the
patrons ^nns++++=patrons
that ^tht+rel+subj++=that
give ^vb++++=give
them ^pp3o+pp3+++=them
bread ^nn++++=bread;
; ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
official ^jj+atrb+++=official
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
scattered ^vbd+++xvbn+=scattered
over ^in++++=over
the ^ati++++=the
land ^nn++++=land,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
the ^ati++++=the
real ^jj++++=real
" ^zz++++="salt
salt ^jj++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
seasoned ^jj+pred+++=seasoned.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
for ^in++++=for
us ^pp1o+pp1+++=us
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
these ^dt+dem+++=these
official ^jj+atrb+++=official
great ^jj+atrb+++=great
men ^nns++++=men
happen ^vb+++??+=happen
to ^to+vcmp+++=to
have ^vbi++vrb++=have
names ^nns++++=names
of ^in++++=of
fair ^jj+atrb+++=fair
acceptation ^nn+nom+++=acceptation;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
wo ^&fw++++=wo
unto ^in++++=unto
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
a ^at++++=a
Tubbs ^np+++??+=Tubbs
or ^cc++++=or
a ^at++++=a
Potts ^np+++??+=Potts
be ^vb+be+vrb++=be
in ^in++++=in
power ^nn++++=power:
: ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
Tubbsvilles ^np+++??+=Tubbsvilles
and ^cc++++=and
Pottsylvanias ^np+++??+=Pottsylvanias
springing ^vwbg+++xvbg+=springing
up ^rp++++=up
in ^in++++=in
every ^at++++=every
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
these ^dt+dem+++=these
melancholy ^jj+atrb+++=melancholy
dispensations ^nns+nom+++=dispensations
of ^in++++=of
taste ^nn++++=taste
and ^cc++++=and
loyalty ^nn++++=loyalty,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
with ^in++++=with
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
dawning ^xvbg+++xvbg+=dawning
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
lately ^rb+tm+splt++=lately
perceived ^vprf+++xvbnx+=perceived
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
persons ^nns++++=persons
of ^in++++=of
intelligence ^nn+nom+++=intelligence
beginning ^vwbg+++xvbg+=beginning
to ^to++++=to
be ^vbi+vbi+aux++=be
awakened ^vpsv++agls+xvbnx+=awakened
on ^in++++=on
this ^dt+dem+++=this
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+++=trust
if ^cs+cnd+++=if
the ^ati++++=the
matter ^nn++++=matter
should ^md+nec+++=should
once ^rb+tm+++=once
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
readily ^rb++splt++=readily
abandoned ^vpsv++agls+xvbnx+=abandoned.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
yet ^rb++++=yet
young ^jj+pred+++=young
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
country ^nn++++=country,
, ^zz++++=EXTRAWORD
to ^to++++=to
remedy ^vbi++++=remedy
and ^cc++++=and
reform ^nn++++=reform
much ^rb++++=much
of ^in++++=of
what ^wdt+who+++=what
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
release ^nn++++=release
many ^ap++++=many
of ^in++++=of
our ^pp$+pp1+++=our
rising ^jj+atrb++xvbg+=rising
towns ^nns++++=towns
and ^cc++++=and
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
noble ^jj+atrb+++=noble
streams ^nns++++=streams,
, ^zz++++=EXTRAWORD
from ^in++++=from
names ^nns++++=names
calculated ^vwbn+++xvbn+=calculated
to ^to++++=to
vulgarize ^vbi++++=vulgarize
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
former ^ap++++=former
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
suggested ^j+++xvbn+=suggested
the ^ati++++=the
expediency ^nn++++=expediency
of ^in++++=of
searching ^xvbg+++xvbg+=searching
out ^rp+pl+++=out
the ^ati++++=the
original ^nn+nom+++=original
Indian ^jj+atrb+++=Indian
names ^nns++++=names
of ^in++++=of
places ^nns++++=places,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wherever ^nn+nom+++=wherever
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
striking ^vbg+++xvbgx+=striking
and ^cc++++=and
euphonious ^jj++++=euphonious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
by ^in++++=by
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
superseded ^vpsv++agls+xvbnx+=superseded
are ^vb+ber+vrb++=are
glaringly ^jj++++=glaringly
objectionable ^jj++++=objectionable,
, ^zz++++=EXTRAWORD
to ^to++++=to
restore ^vbi++++=restore
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
have ^vb+hv+vrb++=have
the ^ati++++=the
merit ^nn++++=merit
of ^in++++=of
originality ^nn+nom+++=originality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
belonging ^nn++++=belonging
to ^in++++=to
the ^ati++++=the
country ^nn++++=country;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
would ^md+prd+++=would
remain ^vb++++=remain
as ^ql++++=as
reliques ^nns+++??+=reliques
of ^in++++=of
the ^ati++++=the
native ^jj+atrb+++=native
lords ^npt++++=lords
of ^in++++=of
the ^ati++++=the
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
every ^at++++=every
other ^ap++++=other
vestige ^nn+++??+=vestige
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
of ^in++++=of
these ^dt+dem+++=these
names ^nns++++=names
may ^md+pos+++=may
easily ^rb++++=easily
be ^vb+be+aux++=be
regained ^vpsv++agls+xvbnx+=regained,
, ^zz++++=EXTRAWORD
by ^in++++=by
reference ^nn+nom+++=reference
to ^in++++=to
old ^jj+atrb+++=old
title ^nn++++=title
deeds ^nns++++=deeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
archives ^nn++++=archives
of ^in++++=of
states ^np++++=states
and ^cc++++=and
counties ^nns++++=counties.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
own ^ap++++=own
case ^nn++++=case,
, ^zz++++=EXTRAWORD
by ^in++++=by
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
records ^nns++++=records
of ^in++++=of
the ^ati++++=the
county ^nn++++=county
clerk ^nn++++=clerk's
's ^$++++=EXTRAWORD
office ^nn++++=office,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
discovered ^vprf+++xvbnx+=discovered
the ^ati++++=the
Indian ^jj+atrb+++=Indian
names ^nns++++=names
of ^in++++=of
various ^jj+atrb+++=various
places ^nns++++=places
and ^cc++++=and
objects ^nns++++=objects
in ^in++++=in
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
them ^pp3o+pp3+++=them
infinitely ^rb++++=infinitely
superior ^jj++++=superior
to ^in++++=to
the ^ati++++=the
trite ^nn++++=trite,
, ^zz++++=EXTRAWORD
poverty ^nn++++=poverty-stricken
- ^zz++++=EXTRAWORD
stricken ^jj+atrb+++=EXTRAWORD
names ^nns++++=names
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++by+xvbnx+=given
by ^in++++=by
the ^ati++++=the
settlers ^nns+nom+++=settlers.
. ^zz++++=EXTRAWORD
A ^at++++=A
beautiful ^jj+atrb+++=beautiful
pastoral ^jj+atrb+++=pastoral
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
winds ^nns++++=winds
for ^in++++=for
many ^ap++++=many
a ^at++++=a
mile ^nn++++=mile
through ^in++++=through
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
loveliest ^jjt++++=loveliest
little ^ap++++=little
valleys ^nns++++=valleys
in ^in++++=in
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
been ^vprf+ben+aux+xvbnx+=been
known ^vpsv++by+xvbnx+=known
by ^in++++=by
the ^ati++++=the
common ^jj++++=common-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
" ^zz++++="Saw-mill
saw ^vbd+vprv++xvbn+=EXTRAWORD
- ^zz++++=EXTRAWORD
mill ^nn++++=EXTRAWORD
River ^nn++++=River."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
old ^jj+atrb+++=old
Indian ^jj+atrb+++=Indian
grants ^nns++++=grants,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
designated ^vpsv++agls+xvbnx+=designated
as ^ql++++=as
the ^ati++++=the
Neperan ^np+++??+=Neperan.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another,
, ^zz++++=EXTRAWORD
a ^at++++=a
perfectly ^rb+amp+++=perfectly
wizard ^nn++++=wizard
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
winds ^nns++++=winds
through ^in++++=through
the ^ati++++=the
wildest ^jjt+atrb+++=wildest
recesses ^nns+nom+++=recesses
of ^in++++=of
Sleepy ^jj+atrb+++=Sleepy
Hollow ^nn++++=Hollow,
, ^zz++++=EXTRAWORD
bears ^nns++++=bears
the ^ati++++=the
hum ^nn+++??+=hum-drum
- ^zz++++=EXTRAWORD
drum ^nn++++=EXTRAWORD
name ^nn++++=name
of ^in++++=of
Mill ^nn++++=Mill
Creek ^npl++++=Creek:
: ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Indian ^jj+atrb+++=Indian
grants ^nns++++=grants,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
sustains ^vbz++++=sustains
the ^ati++++=the
euphonious ^jj+atrb+++=euphonious
title ^nn++++=title
of ^in++++=of
the ^ati++++=the
Pocantico ^np+++??+=Pocantico.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
researches ^nns++++=researches
have ^vb+hv+aux++=have
released ^vprf+++xvbnx+=released
Long ^jj++++=Long-Island
- ^zz++++=EXTRAWORD
island ^nn++++=EXTRAWORD
from ^in++++=from
many ^ap++++=many
of ^in++++=of
those ^dt+dem+++=those
paltry ^jj+atrb+++=paltry
and ^cc+phrs+++=and
vulgar ^jj+atrb+++=vulgar
names ^nns++++=names
which ^whp+rel+subj++=which
fringed ^vwbn+++xvbn+=fringed
its ^pp$+it+++=its
beautiful ^jj+atrb+++=beautiful
shores ^nns++++=shores;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
Cow ^nn++++=Cow
Bays ^nns++++=Bays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cow ^nn++++=Cow
Necks ^nns++++=Necks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Oyster ^nn++++=Oyster
Ponds ^np+++??+=Ponds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mosquito ^np+++??+=Mosquito
Coves ^np+++??+=Coves,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
spread ^vb+++xvbn+=spread
a ^at++++=a
spell ^nn++++=spell
of ^in++++=of
vulgarity ^nn+nom+++=vulgarity
over ^in++++=over
the ^ati++++=the
whole ^jj+atrb+++=whole
island ^nn++++=island,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vbd+++xvbn+=kept
persons ^nns++++=persons
of ^in++++=of
taste ^nn++++=taste
and ^cc++++=and
fancy ^jj++++=fancy
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
an ^at++++=an
object ^nn++++=object
worthy ^jj++++=worthy
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
the ^ati++++=the
historical ^jj+atrb+++=historical
societies ^nns++++=societies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
springing ^vbg+++xvbgx+=springing
up ^rp++++=up
in ^in++++=in
various ^jj+atrb+++=various
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
Union ^nn++++=Union,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
maps ^nns++++=maps
executed ^vbd+++xvbn+=executed
of ^in++++=of
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
states ^nns++++=states
or ^cc++++=or
neighborhoods ^nns+nom+++=neighborhoods,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
all ^rb++++=all
the ^ati++++=the
Indian ^jj+atrb+++=Indian
local ^jj+atrb+++=local
names ^nns++++=names
should ^md+nec+++=should,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
restored ^vpsv++agls+xvbnx+=restored.
