Horrible ^jj++++=Horrible
burst ^nn+++xvbn+=burst
of ^in++++=of
fanatical ^jj+atrb+++=fanatical
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
now ^rn+tm+++=now
remained ^vbd+++xvbn+=remained
mostly ^rb++++=mostly
shut ^vbd+++xvbn+=shut
in ^rb+phrv+++=in
the ^ati++++=the
attic ^nn++++=attic
laboratory ^nn++++=laboratory
with ^in++++=with
that ^dt+dem+++=that
accursed ^jj+atrb+++=accursed
electrical ^jj+atrb+++=electrical
machine ^nn++++=machine,
, ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=eating
little ^ap++++=little
and ^cc++++=and
excluding ^vbg+++xvbg+=excluding
even ^rb++++=even
the ^ati++++=the
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
a ^at++++=a
brief ^jj+atrb+++=brief
period ^nn++++=period
of ^in++++=of
ten ^cd++++=ten
weeks ^nns++++=weeks
could ^md+pos+++=could
so ^ql++++=so
alter ^vb++++=alter
and ^cc++++=and
disfigure ^nn+++??+=disfigure
any ^dti++++=any
human ^jj+atrb+++=human
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
a ^at++++=a
stout ^jj+atrb+++=stout
man ^nn++++=man
suddenly ^rb++++=suddenly
grown ^vbd+++xvbn+=grown
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
even ^rb++++=even
worse ^jjr+pred+++=worse
when ^wrb+who+++=when
the ^ati++++=the
baggy ^jj+atrb+++=baggy
skin ^nn++++=skin
becomes ^vbz++++=becomes
yellowed ^jj+++xvbn+=yellowed
or ^cc+phrs+++=or
grayed ^jj+++xvbn+=grayed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eyes ^nns++++=eyes
sunken ^jj++++=sunken,
, ^zz++++=EXTRAWORD
circled ^j+++xvbn+=circled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uncannily ^jj+atrb+++=uncannily
glowing ^nvbg+++xvbg+=glowing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
forehead ^nn++++=forehead
veined ^jj++++=veined
and ^cc+phrs+++=and
corrugated ^jj++++=corrugated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hands ^nns++++=hands
tremulous ^jj++++=tremulous
and ^cc+phrs+++=and
twitching ^jj+++xvbg+=twitching.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
added ^vprf+++xvbn+=added
to ^in++++=to
this ^dt+dem+++=this
there ^ex+pex+++=there
be ^vb+be+vrb++=be
a ^at++++=a
repellent ^jj+atrb+++=repellent
unkemptness ^nns+nom+++=unkemptness,
, ^zz++++=EXTRAWORD
a ^at++++=a
wild ^jj+atrb+++=wild
disorder ^nn+nom+++=disorder
of ^in++++=of
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
a ^at++++=a
bushiness ^nns+nom+++=bushiness
of ^in++++=of
dark ^jj+atrb+++=dark
hair ^nn++++=hair
white ^jj++++=white
at ^rb++++=at
the ^ati++++=the
roots ^nns++++=roots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
unchecked ^jj+atrb+++=unchecked
growth ^nn++++=growth
of ^in++++=of
white ^jj+atrb+++=white
beard ^nn++++=beard
on ^in++++=on
a ^at++++=a
face ^nn++++=face
once ^rb+tm+++=once
clean ^jj++++=clean-shaven,
- ^zz++++=EXTRAWORD
shaven ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
cumulative ^jj+atrb+++=cumulative
effect ^nn++++=effect
is ^vbz+bez+vrb++=is
quite ^abl++++=quite
shocking ^nvbg+++xvbg+=shocking.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
such ^abl++++=such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
aspect ^nn++++=aspect
of ^in++++=of
Crawford ^np+++??+=Crawford
Tilllinghast ^np+++??+=Tilllinghast
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
his ^pp$+pp3+++=his
half ^nn++++=half
coherent ^jj+atrb+++=coherent
message ^nn+nom+++=message
brought ^vbd+++xvbn+=brought
me ^pp1o+pp1+++=me
to ^in++++=to
his ^pp$+pp3+++=his
door ^nn++++=door
after ^in++++=after
my ^pp$+pp1+++=my
weeks ^nns++++=weeks
of ^in++++=of
exile ^nn++++=exile;
; ^zz++++=EXTRAWORD
such ^abl++++=such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
specter ^jjr++++=specter
that ^dt+pdem+++=that
trembled ^vbd+++xvbn+=trembled
as ^ql++++=as
it ^pp3+it+++=it
admitted ^vbd+vpub++xvbn+=admitted
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
candle ^nn++++=candle
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glanced ^vbd+++xvbn+=glanced
furtively ^jj++++=furtively
over ^in++++=over
its ^pp$+it+++=its
shoulder ^nn+nom+++=shoulder
as ^cs+sub+++=as
if ^cs+cnd+++=if
fearful ^jj++++=fearful
of ^in++++=of
unseen ^jj+atrb+++=unseen
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
ancient ^jj+atrb+++=ancient,
, ^zz++++=EXTRAWORD
lonely ^jj+atrb+++=lonely
house ^npl++++=house
set ^vbd+++xvbn+=set
back ^rb+phrv+++=back
from ^in++++=from
Benevolent ^jj+atrb+++=Benevolent
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
Crawford ^np+++??+=Crawford
Tillinghast ^np+++??+=Tillinghast
should ^md+nec+++=should
ever ^rb++++=ever
have ^vb+hv+aux++=have
studied ^vprf+++xvbnx+=studied
science ^nn+nom+++=science
and ^cc++++=and
philosophy ^nn++++=philosophy
was ^vbd+bedz+vrb++=was
a ^at++++=a
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
things ^nns++++=things
should ^md+nec+++=should
be ^vb+be+aux++=be
left ^vpsv++agls+xvbnx+=left
to ^in++++=to
the ^ati++++=the
frigid ^jj+atrb+++=frigid
and ^cc+phrs+++=and
impersonal ^jj+atrb+++=impersonal
investigator ^nn++++=investigator
for ^in++++=for
they ^pp3a+pp3+++=they
offer ^vb++++=offer
two ^cd++++=two
equally ^rb++++=equally
tragic ^jj+atrb+++=tragic
alternatives ^nns++++=alternatives
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
of ^in++++=of
feeling ^xvbg+++xvbg+=feeling
and ^cc++++=and
action ^nn++++=action;
; ^zz++++=EXTRAWORD
despair ^vb++++=despair,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
fail ^vb++++=fail
in ^in++++=in
his ^pp$+pp3+++=his
quest ^nn++++=quest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terrors ^nns++++=terrors
unutterable ^jj++++=unutterable
and ^cc+phrs+++=and
unimaginable ^jj++++=unimaginable
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
succeed ^vb++++=succeed.
. ^zz++++=EXTRAWORD
Tillinghast ^np+++??+=Tillinghast
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
prey ^nn++++=prey
of ^in++++=of
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
solitary ^jj++++=solitary
and ^cc++++=and
melancholy ^nn++++=melancholy;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
with ^in++++=with
nauseating ^jj+atrb+++=nauseating
fears ^nns++++=fears
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
prey ^nn++++=prey
of ^in++++=of
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
indeed ^qlp++++=indeed
warned ^vbd+vpub++xvbn+=warned
him ^pp3o+pp3+++=him
ten ^cd++++=ten
weeks ^nns++++=weeks
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
burst ^vbd+++xvbnx+=burst
forth ^np++++=forth
with ^in++++=with
his ^pp$+pp3+++=his
tale ^nn++++=tale
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
himself ^ppl+pp3+++=himself
about ^md"++pmd"++=about
to ^md+prd+++=to
discover ^nn+nom+++=discover.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
flushed ^vpsv++agls+xvbnx+=flushed
and ^cc++++=and
excited ^jj+++xvbn+=excited
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
talking ^vbg+++xvbg+=talking
in ^in++++=in
a ^at++++=a
high ^jj++++=high
and ^cc+phrs+++=and
unnatural ^jj++++=unnatural,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
always ^rb++++=always
pedantic ^jj++++=pedantic,
, ^zz++++=EXTRAWORD
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="of
of ^in++++=EXTRAWORD
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
the ^ati++++=the
universe ^nn++++=universe
about ^rb++++=about
us ^pp1o+pp1+++=us?
? ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
means ^nn++++=means
of ^in++++=of
receiving ^xvbg+++xvbg+=receiving
impressions ^nns++++=impressions
are ^vb+ber+vrb++=are
absurdly ^rb++++=absurdly
few ^ap++++=few,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
notions ^nns+nom+++=notions
of ^in++++=of
surrounding ^xvbg+++xvbg+=surrounding
objects ^nns++++=objects
infinitely ^rb++++=infinitely
narrow ^jj++++=narrow.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
see ^vb+vprv+++=see
things ^nns++++=things
only ^rb+down+++=only
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
constructed ^vpsv++agls+xvbnx+=constructed
to ^to++++=to
see ^vbi+vprv+++=see
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
gain ^vb++++=gain
no ^at++++=no
idea ^nn++++=idea
of ^in++++=of
their ^pp$+pp3+++=their
absolute ^jj+atrb+++=absolute
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
With ^in++++=With
five ^cd++++=five
feeble ^jj+atrb+++=feeble
senses ^nns++++=senses
we ^pp1a+pp1+++=we
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
comprehend ^vb+++??+=comprehend
the ^ati++++=the
boundlessly ^jj+atrb+++=boundlessly
complex ^jj+atrb+++=complex
cosmos ^nn++++=cosmos,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
other ^ap++++=other
beings ^nns++++=beings
with ^in++++=with
wider ^jjr++++=wider,
, ^zz++++=EXTRAWORD
stronger ^jjr++++=stronger,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
different ^jj+atrb+++=different
range ^nn++++=range
of ^in++++=of
senses ^nns++++=senses
might ^md+pos+++=might
not ^xnot++not++=not
only ^rb+down+++=only
see ^vb+vprv+++=see
very ^ql+amp+++=very
differently ^rb++++=differently
the ^ati++++=the
things ^nns++++=things
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
might ^md+pos+++=might
see ^vb+vprv+++=see
and ^cc++++=and
study ^nn++++=study
whole ^jj+atrb+++=whole
worlds ^nns++++=worlds
of ^in++++=of
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
energy ^nn++++=energy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
life ^nn++++=life
which ^whp+rel+subj++=which
lie ^vb++++=lie
close ^jj++++=close
at ^rb++++=at
hand ^nn++++=hand
yet ^cc++++=yet
can ^md+pos+++=can
never ^rb++++=never
be ^vb+be+aux++=be
detected ^vpsv++agls+xvbnx+=detected
with ^in++++=with
the ^ati++++=the
senses ^nns++++=senses
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
believed ^vprf+++xvbnx+=believed
that ^tht+vcmp+++=that
such ^abl++++=such
strange ^jj+atrb+++=strange,
, ^zz++++=EXTRAWORD
inaccessible ^jj+atrb+++=inaccessible
worlds ^nns++++=worlds
exist ^vb++++=exist
at ^in++++=at
our ^pp$+pp1+++=our
very ^ql+amp+++=very
elbows ^nns++++=elbows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
a ^at++++=a
way ^nn++++=way
to ^to++++=to
break ^vbi++++=break
down ^in++++=down
the ^ati++++=the
barriers ^nns+nom+++=barriers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
joking ^vbg+++xvbg+=joking.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
hours ^nns++++=hours
that ^tht+rel+obj++=that
machine ^nn++++=machine
near ^in+pl+++=near
the ^ati++++=the
table ^nn++++=table
will ^md+prd+++=will
generate ^nn+nom+++=generate
waves ^nns++++=waves
acting ^vwbg+++xvbg+=acting
on ^in++++=on
unrecognized ^jj+atrb+++=unrecognized
sense ^nn++++=sense
organs ^nns++++=organs
that ^tht+rel+subj++=that
exist ^vb++++=exist
in ^in++++=in
us ^pp1o+pp1+++=us
as ^cs+sub+++=as
atrophied ^vbd+++xvbn+=atrophied
or ^cc++++=or
rudimentary ^jj+atrb+++=rudimentary
vestiges ^nns++++=vestiges.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
waves ^nns++++=waves
will ^md+prd+++=will
open ^vb++++=open
up ^in+cmpx+++=up
to ^in"++++=to
us ^pp1o+pp1+++=us
many ^ap++++=many
vistas ^nns++++=vistas
unknown ^jj++++=unknown
to ^in++++=to
man ^nn++++=man
and ^cc++++=and
several ^ap++++=several
unknown ^jj++++=unknown
to ^in++++=to
anything ^pn++++=anything
we ^pp1a+pp1+++=we
consider ^nn+nom+++=consider
organic ^jj+atrb+++=organic
life ^nn++++=life.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
at ^rb++++=at
which ^whp+who+++=which
dogs ^nns++++=dogs
howl ^nn++++=howl
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
at ^rb++++=at
which ^whp+who+++=which
cats ^nns++++=cats
prick ^nn+++??+=prick
up ^rp++++=up
their ^pp$+pp3+++=their
ears ^nns++++=ears
after ^in++++=after
midnight ^nn++++=midnight.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
see ^vb+vprv+++=see
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
things ^nns++++=things
which ^whp+rel+obj++=which
no ^at++++=no
breathing ^jj+atrb++xvbg+=breathing
creature ^nn++++=creature
has ^vbz+hvz+aux++=has
yet ^rb++splt++=yet
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
overleap ^vb+++??+=overleap
time ^nn++++=time,
, ^zz++++=EXTRAWORD
space ^nn++++=space,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
without ^in++++=without
bodily ^jj+atrb+++=bodily
motion ^nn++++=motion
peer ^nn++++=peer
to ^in++++=to
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
creation ^nn+nom+++=creation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Tillinghast ^np+++??+=Tillinghast
said ^vbd+vpub++xvbn+=said
these ^dt+dem+++=these
things ^nns++++=things
I ^pp1a+pp1+++=I
remonstrated ^vbd+++xvbnx+=remonstrated,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
him ^pp3o+pp3+++=him
well ^rb++++=well
enough ^qlp++++=enough
to ^to++++=to
be ^vbi+vbi+aux++=be
frightened ^vpsv++agls+xvbnx+=frightened
rather ^rb++++=rather
than ^in++++=than
amused ^vbd+++xvbn+=amused;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
fanatic ^nn++++=fanatic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vbd+++xvbn+=drove
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
less ^rbr++++=less
a ^at++++=a
fanatic ^nn++++=fanatic,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
desire ^nn++++=desire
to ^to+ncmp+++=to
speak ^vbi++++=speak
had ^vbd+hvd+aux++=had
conquered ^vprf+++xvbnx+=conquered
his ^pp$+pp3+++=his
resentment ^nn+nom+++=resentment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
me ^pp1o+pp1+++=me
imperatively ^rb++++=imperatively
in ^in++++=in
a ^at++++=a
hand ^nn++++=hand
I ^pp1a+pp1+++=I
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
recognize ^vb+vprv+++=recognize.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
abode ^nn++++=abode
of ^in++++=of
the ^ati++++=the
friend ^nn++++=friend
so ^rb++++=so
suddenly ^rb++++=suddenly
metamorphosed ^jj+++xvbn+=metamorphosed
to ^in++++=to
a ^at++++=a
shivering ^jj+atrb++xvbg+=shivering
gargoyle ^nn++++=gargoyle,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
infected ^vbd+++xvbn+=infected
with ^in++++=with
the ^ati++++=the
terror ^nn++++=terror
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
stalking ^jj+++xvbg+=stalking
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
shadows ^nps++++=shadows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
and ^cc++++=and
beliefs ^nns++++=beliefs
expressed ^vbd+vpub++xvbn+=expressed
ten ^cd++++=ten
weeks ^nns++++=weeks
before ^cs+sub+++=before
seemed ^vbd+seem++xvbn+=seemed
bodied ^jj+++xvbn+=bodied
forth ^np++++=forth
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
beyond ^in++++=beyond
the ^ati++++=the
small ^jj+atrb+++=small
circle ^nn++++=circle
of ^in++++=of
candle ^nn++++=candle
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
sickened ^vbd+++xvbnx+=sickened
at ^in++++=at
the ^ati++++=the
hollow ^nn++++=hollow,
, ^zz++++=EXTRAWORD
altered ^xvbn+++xvbn+=altered
voice ^nn++++=voice
of ^in++++=of
my ^pp$+pp1+++=my
host ^nn++++=host.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wished ^vbd+vprv+tht0+xvbnx+=wished
the ^ati++++=the
servants ^nns+nom+++=servants
were ^vbd+bed+vrb++=were
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
like ^vb++++=like
it ^pp3+it+++=it
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
all ^abn++++=all
left ^vwbn+++xvbn+=left
three ^cd++++=three
days ^nns++++=days
previously ^rb+tm+++=previously.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
strange ^jj+atrb+++=strange
that ^tht+jcmp+++=that
old ^jj+atrb+++=old
Gregory ^np++++=Gregory,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
desert ^vb++++=desert
his ^pp$+pp3+++=his
master ^nn++++=master
without ^in++++=without
telling ^xvbg+++xvbg+=telling
as ^cs+sub+++=as
tried ^jj+++xvbn+=tried
a ^at++++=a
friend ^nn++++=friend
as ^ql++++=as
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me
all ^abn++++=all
the ^ati++++=the
information ^nn+nom+++=information
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
of ^in++++=of
Tillinghast ^np+++??+=Tillinghast
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
repulsed ^vpsv++agls+xvbnx+=repulsed
in ^in++++=in
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
soon ^rb+tm+++=soon
subordinated ^vbd+++xvbn+=subordinated
all ^rb++++=all
my ^pp$+pp1+++=my
fears ^nns++++=fears
to ^in++++=to
my ^pp$+pp1+++=my
growing ^jj+atrb++xvbg+=growing
curiosity ^nn+nom+++=curiosity
and ^cc++++=and
fascination ^nn+nom+++=fascination.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
what ^wdt+who+++=what
Crawford ^np+++??+=Crawford
Tillinghast ^np+++??+=Tillinghast
now ^rn+tm+++=now
wished ^vbd+vprv++xvbn+=wished
of ^in++++=of
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
could ^md+pos+++=could
only ^rb+down+splt++=only
guess ^vb++++=guess,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
some ^dti++++=some
stupendous ^jj+atrb+++=stupendous
secret ^nn++++=secret
or ^cc++++=or
discovery ^nn+nom+++=discovery
to ^to++++=to
impart ^vbi++++=impart,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
doubt ^nn++++=doubt.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
protested ^vprf+++xvbnx+=protested
at ^rb++++=at
his ^pp$+pp3+++=his
unnatural ^jj+atrb+++=unnatural
pryings ^nns+++??+=pryings
into ^in++++=into
the ^ati++++=the
unthinkable ^jj++++=unthinkable;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
evidently ^rb++splt++=evidently
succeeded ^vprf+++xvbnx+=succeeded
to ^in++++=to
some ^dti++++=some
degree ^nn++++=degree
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
shared ^vbd+++xvbn+=shared
his ^pp$+pp3+++=his
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
terrible ^jj++++=terrible
though ^cs+sub+++=though
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
victory ^nn++++=victory
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
through ^in++++=through
the ^ati++++=the
dark ^jj+atrb+++=dark
emptiness ^nns+nom+++=emptiness
