Such ^abl++++=SUCH
Vinci ^np++++=Vinci,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Sandhills ^np+++??+=Sandhills
murder ^nn++++=murder,
, ^zz++++=EXTRAWORD
high ^jj+atrb+++=high
wages ^nns++++=wages
and ^cc++++=and
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
living ^xvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
take ^vb++++=take
what ^wdt+who+++=what
you ^pp2+pp2+++=you
like ^vb++++=like,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated,
, ^zz++++=EXTRAWORD
" ^zz++++="it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all
in ^in++++=in
the ^ati++++=the
Times ^nns++++=Times!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
with ^in++++=with
infinite ^jj+atrb+++=infinite
weariness ^nns+nom+++=weariness
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
her ^pp$+pp3+++=her
head ^jjb++++=head
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side
until ^in+strn+++=until,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
top ^nn++++=top
exhausted ^vbd+++xvbn+=exhausted
with ^in++++=with
spinning ^xvbg+++xvbg+=spinning,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
settled ^vbd+++xvbn+=settled
on ^in+ppvb+++=on
her ^pp$+pp3+++=her
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Times ^nns++++=Times
was ^vbd+bedz+vrb++=was
no ^at++++=no
protection ^nn+nom+++=protection
against ^in++++=against
such ^abl++++=such
sorrow ^nn++++=sorrow
as ^in++++=as
hers ^pp$$++++=hers.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
other ^ap++++=other
human ^jj+atrb+++=human
beings ^nns++++=beings
forbade ^vbd+++xvbn+=forbade
intercourse ^nn+++??+=intercourse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
best ^jjt+atrb+++=best
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do
against ^in++++=against
life ^nn++++=life
was ^vbd+bedz+vrb++=was
to ^in++++=to
fold ^nn++++=fold
the ^ati++++=the
paper ^nn++++=paper
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
made ^vbd+++xvbn+=made
a ^at++++=a
perfect ^jj+atrb+++=perfect
square ^nn++++=square,
, ^zz++++=EXTRAWORD
crisp ^jj++++=crisp,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick,
, ^zz++++=EXTRAWORD
impervious ^jj++++=impervious
even ^rb++++=even
to ^in++++=to
life ^nn++++=life.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
done ^vbd+++xvbn+=done,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
glanced ^vbd+++xvbnx+=glanced
up ^rp++++=up
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
armed ^j+++xvbn+=armed
with ^in++++=with
a ^at++++=a
shield ^nn++++=shield
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
pierced ^vbd+++xvbnx+=pierced
through ^in++++=through
my ^pp$+pp1+++=my
shield ^nn++++=shield;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gazed ^vbd+++xvbnx+=gazed
into ^in++++=into
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
as ^cs+sub+++=as
if ^cs+cnd+++=if
searching ^vbg+++xvbg+=searching
any ^dti++++=any
sediment ^nn+nom+++=sediment
of ^in++++=of
courage ^nn+nom+++=courage
at ^rb++++=at
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
them ^pp3o+pp3+++=them
and ^cc++++=and
damping ^nvbg+++xvbg+=damping
it ^pp3+it+++=it
to ^in++++=to
clay ^nn++++=clay.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
twitch ^vb++++=twitch
alone ^jj++++=alone
denied ^jj+++xvbn+=denied
all ^abn++++=all
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
discounted ^xvbn+++xvbn+=discounted
all ^abn++++=all
illusion ^nn++++=illusion.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
rattled ^vbd+++xvbn+=rattled
through ^in+ppvb+++=through
Surrey ^np++++=Surrey
and ^cc++++=and
across ^in+pl+++=across
the ^ati++++=the
border ^nn++++=border
into ^in++++=into
Sussex ^np++++=Sussex.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
with ^in++++=with
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
upon ^in++++=upon
life ^nn++++=life
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
other ^ap++++=other
travellers ^nns+nom+++=travellers
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left,
, ^zz++++=EXTRAWORD
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till,
, ^zz++++=EXTRAWORD
save ^vb++++=save
for ^in++++=for
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
read ^vb+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
alone ^rb++++=alone
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
Three ^cd++++=Three
Bridges ^nns++++=Bridges
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
drew ^vbd+++xvbn+=drew
slowly ^rb++++=slowly
down ^in++++=down
the ^ati++++=the
platform ^nn++++=platform
and ^cc++++=and
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+aux++=Was
he ^pp3a+pp3+++=he
going ^md"++pmd"++=going
to ^md+prd+++=to
leave ^vb++++=leave
us ^pp1o+pp1+++=us?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
prayed ^vbd+vsua++xvbnx+=prayed
both ^abx++++=both
waysi ^nn+++??+=waysI
prayed ^vbd+vsua++xvbn+=prayed
last ^rb++++=last
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
stay ^vb++++=stay.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
roused ^vbd+++xvbnx+=roused
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
crumpled ^j+++xvbn+=crumpled
his ^pp$+pp3+++=his
paper ^nn++++=paper
contemptuously ^rb+cnj+++=contemptuously,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
thing ^nn++++=thing
done ^vwbn+++xvbn+=done
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
burst ^j+++xvbn+=burst
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+++xvbn+=left
us ^pp1o+pp1+++=us
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
unhappy ^jj+atrb+++=unhappy
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
a ^rb++++=a
little ^rb"++++=little
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
palely ^rb++++=palely
and ^cc++++=and
colourlessly ^jj++++=colourlessly
addressed ^jj+++xvbn+=addressed
me ^pp1o+pp1+++=me
talked ^vbd+++xvbn+=talked
of ^in++++=of
stations ^nns+nom+++=stations
and ^cc++++=and
holidays ^nns++++=holidays,
, ^zz++++=EXTRAWORD
of ^in++++=of
brothers ^nns+nom+++=brothers
at ^rb++++=at
Eastbourne ^np++++=Eastbourne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
year ^nn++++=year,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forget ^vb+vprv+++=forget
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
early ^jj++++=early
or ^cc+phrs+++=or
late ^jj++++=late.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
last ^rb"++++=last
looking ^jj+++xvbg+=looking
from ^in++++=from
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
seeing ^jj+++xvbg+=seeing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
life ^nn++++=life,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
breathed ^vbd+++xvbnx+=breathed,
, ^zz++++=EXTRAWORD
" ^zz++++="Staying
staying ^vbg+++xvbg+=EXTRAWORD
away ^rp+pl+++=away
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
drawback ^nn++++=drawback
of ^in++++=of
it ^pp3+it+++=it"
" ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
we ^pp1a+pp1+++=we
approached ^vbd+++xvbn+=approached
the ^ati++++=the
catastrophe ^nn++++=catastrophe,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
sister ^nn++++=sister-in-law"
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
bitterness ^nns+nom+++=bitterness
of ^in++++=of
her ^pp$+pp3+++=her
tone ^nn++++=tone
was ^vbd+bedz+vrb++=was
like ^in++++=like
lemon ^nn++++=lemon
on ^in++++=on
cold ^jj+atrb+++=cold
steel ^nn++++=steel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
speaking ^nvbg+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
muttered ^vbd+++xvbnx+=muttered,
, ^zz++++=EXTRAWORD
" ^zz++++="nonsense,
nonsense ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
all ^rb++++=all
say ^vb+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
she ^pp3a+pp3+++=she
fidgeted ^vbd+++xvbnx+=fidgeted
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
skin ^nn++++=skin
on ^rp++++=on
her ^pp3o+pp3+++=her
back ^jjb++++=back
were ^vbd+bed+vrb++=were
as ^in++++=as
a ^at++++=a
plucked ^jj+atrb++xvbn+=plucked
fowl ^jj+atrb++??+=fowl's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
a ^at++++=a
poulterer ^jjr+atrb+++=poulterer's
's ^vbz+bez+vrb++0=EXTRAWORD
shop ^nn++++=shop-window.
- ^zz++++=EXTRAWORD
window ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
cow ^nn++++=cow!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
broke ^vbd+++xvbnx+=broke
off ^rb+phrv+++=off
nervously ^rb+cnj+++=nervously,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
great ^jj+atrb+++=great
wooden ^jj+atrb+++=wooden
cow ^nn++++=cow
in ^in++++=in
the ^ati++++=the
meadow ^nn++++=meadow
had ^vbd+hvd+aux++=had
shocked ^vprf+++xvbnx+=shocked
her ^pp$+pp3+++=her
and ^cc++++=and
saved ^vbd+++xvbn+=saved
her ^pp$+pp3+++=her
from ^in++++=from
some ^dti++++=some
indiscretion ^nn+nom+++=indiscretion.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
shuddered ^vbd+++xvbnx+=shuddered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
the ^ati++++=the
awkward ^jj+atrb+++=awkward,
, ^zz++++=EXTRAWORD
angular ^jj+atrb+++=angular
movement ^nn+nom+++=movement
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
spasm ^nn++++=spasm,
, ^zz++++=EXTRAWORD
some ^dti++++=some
spot ^nn++++=spot
between ^in++++=between
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
burnt ^vbd+++xvbn+=burnt
or ^cc+phrs+++=or
itched ^vbd+++xvbn+=itched.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
again ^rb+tm+++=again
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
the ^ati++++=the
most ^ql+emph+++=most
unhappy ^jj+atrb+++=unhappy
woman ^nn++++=woman
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
once ^rb+tm+++=once
more ^ql++++=more
reproached ^jj+++xvbn+=reproached
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
conviction ^nn+nom+++=conviction,
, ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
a ^at++++=a
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stigma ^nn++++=stigma
was ^vbd+bedz+aux++=was
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
life ^nn++++=life.
. ^zz++++=EXTRAWORD
" ^zz++++="Sisters-in-law,"
sisters ^nns+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
Her ^pp$+pp3+++=Her
lips ^nns++++=lips
pursed ^vbd+++xvbn+=pursed
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^in++++=to
spit ^nn++++=spit
venom ^nn++++=venom
at ^in++++=at
the ^ati++++=the
word ^nn++++=word;
; ^zz++++=EXTRAWORD
pursed ^j+++xvbn+=pursed
they ^pp3a+pp3+++=they
remained ^vbd+++xvbnx+=remained.
. ^zz++++=EXTRAWORD
All ^abn++++=All
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
was ^vbd+bedz+aux++=was
to ^to++++=to
take ^vbi++++=take
her ^pp$+pp3+++=her
glove ^nn++++=glove
and ^cc++++=and
