Those ^dt+dem+++=Those
. ^zz++++=EXTRAWORD
Takin ^np+++??+=Takin'
' ^zz++++=EXTRAWORD
chances ^nns+nom+++=chances?
? ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
believe ^vb+vprv+++=believe
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
Jim ^np++++=Jim's
's ^$++++=EXTRAWORD
plan ^vb++++=plan
commenced ^vbd+++xvbn+=commenced
to ^in++++=to
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
shine ^nn++++=shine
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
money ^nn++++=money
was ^vbd+bedz+vrb++=was
up ^rp++++=up
and ^cc++++=and
the ^ati++++=the
horses ^nns++++=horses
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
every ^at++++=every
Indian ^nn++++=Indian
would ^md+prd+++=would
be ^vb+be+vrb++=be
watchin ^nn+++??+=watchin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
race ^nn++++=race
and ^cc++++=and
yellin ^nn+++??+=yellin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
nags ^nns+++??+=nags,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
boys ^nns++++=boys
was ^vbd+bedz+aux++=was
to ^to++++=to
grab ^vb++++=grab
the ^ati++++=the
whole ^nn++++=whole
pot ^vb++++=pot,
, ^zz++++=EXTRAWORD
Indian ^np++++=Indian's
's ^$++++=EXTRAWORD
money ^nn++++=money
and ^cc++++=and
ours ^pp$$++++=ours
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we'd
'd ^md+prd+aux++0=EXTRAWORD
make ^vb++++=make
our ^pp$+pp1+++=our
get ^vb++++=get
away ^rb+phrv+++=away
across ^in+pl+++=across
the ^ati++++=the
river ^nn++++=river
back ^jjb++++=back
into ^in++++=into
Texas ^np++++=Texas.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
figured ^vbd+++xvbn+=figured
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
get ^vb++++=get
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
start ^nn++++=start
of ^in++++=of
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
horses ^nns++++=horses
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
under ^in++++=under
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
much ^rb++++=much
danger ^nn++++=danger
of ^in++++=of
their ^pp$+pp3+++=their
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
in ^in++++=in
range ^nn++++=range
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
crossed ^vbd+++xvbn+=crossed
back ^jjb++++=back
to ^to++++=to
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
follow ^vb+vprv+++=follow
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
see ^vb+vprv+tht0++=see
anything ^pn++++=anything
work ^vb++++=work
out ^rp+pl+++=out
like ^in++++=like
that ^dt+dem+++=that
scheme ^nn++++=scheme
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Them ^pp3o+pp3+++=Them
Crows ^np+++??+=Crows
was ^vbd+bedz+vrb++=was
dead ^jj++++=dead
anxious ^jj++++=anxious
to ^to+jcmp+++=to
run ^vbi++++=run
their ^pp$+pp3+++=their
ponies ^nns++++=ponies
and ^cc++++=and
seemed ^vbd+seem++xvbn+=seemed
skeered ^vbd+++xvbn+=skeered
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
them ^pp3o+pp3+++0='em
get ^vb++++=get
all ^abn++++=all
their ^pp$+pp3+++=their
money ^nn++++=money
up ^rp++++=up.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
eatin ^nn+++??+=eatin'
' ^zz++++=EXTRAWORD
supper ^nn++++=supper
the ^ati++++=the
night ^nn++++=night
before ^in++++=before
the ^ati++++=the
race ^nn++++=race,
, ^zz++++=EXTRAWORD
Donnelly ^np++++=Donnelly
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Boys,
boys ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sore ^jj+pred+++=sore
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
more ^rbr++++=more
coin ^nn++++=coin.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
worked ^vprf+++xvbnx+=worked
them ^pp3o+pp3+++0='em
right ^rb++++=right
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
give ^vb++++=give
us ^pp1o+pp1+++=us
odds ^nns++++=odds.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=could
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
got ^vbd+++xvbn+=got
five ^cd++++=five
to ^to++++=to
three ^cd++++=three
anyhow ^rb+cnj+++=anyhow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
maybe ^rb+hdg+++=maybe
more ^rbr++++=more."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
shore ^nn++++=shore
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
a ^at++++=a
heap ^nn++++=heap
of ^in++++=of
confidence ^nn+nom+++=confidence
in ^in++++=in
them ^pp3o+pp3+++=them
skates ^nns++++=skates
of ^in++++=of
their ^pp$+pp3+++=their'n,"
'n," ^nn+++??+=EXTRAWORD
says ^vbz+vpub+++=says
Kink ^np+++??+=Kink
Martin ^np++++=Martin.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
see ^vb+vprv+tht0++=see
anybody ^pn++++=anybody
so ^rb+emph+++=so
anxious ^jj++++=anxious
to ^to+jcmp+++=to
play ^vbi++++=play
a ^at++++=a
race ^nn++++=race
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
all ^abn++++=all
planned ^jj+++xvbn+=planned
out ^rp+pl+++=out
the ^ati++++=the
way ^nn++++=way
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
stick ^vbi++++=stick
and ^cc+phrs+++=and
see ^vb+vprv+++=see
which ^wdt+who+whcl++=which
hoss ^nns+++??+=hoss
is ^vbz+bez+vrb++=is
the ^ati++++=the
best ^nn++++=best.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
back ^jjb++++=back
Black ^np++++=Black
Hawk ^np+++??+=Hawk
agin ^nn+++??+=agin
any ^dti++++=any
hunk ^nn+++??+=hunk
of ^in++++=of
meat ^nn++++=meat
in ^in++++=in
the ^ati++++=the
Territory ^nn++++=Territory,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Kid ^nn++++=Kid
here ^rn+pl+++=here
in ^in++++=in
the ^ati++++=the
saddle ^nn++++=saddle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'd
'd ^vbd+hvd+aux++0=EXTRAWORD
ribbed ^vprf+++xvbnx+=ribbed
it ^pp3+it+++=it
up ^rp++++=up
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
ride ^vbi++++=ride
Martin ^np++++=Martin's
's ^$++++=EXTRAWORD
mare ^nn++++=mare,
, ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
Hawk ^np+++??+=Hawk,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^rb++++=a
little ^rb"++++=little
feller ^nn++++=feller
named ^vbd+++xvbn+=named
Hollis ^np++++=Hollis
rode ^vbd+++xvbn+=rode
his ^pp$+pp3+++=his
own ^ap++++=own
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Donnelly ^np++++=Donnelly's
's ^$++++=EXTRAWORD
part ^nn++++=part
was ^vbd+bedz+aux++=was
to ^to++++=to
stay ^vbi++++=stay
in ^in++++=in
the ^ati++++=the
saddle ^nn++++=saddle
and ^cc++++=and
keep ^vb++++=keep
the ^ati++++=the
other ^ap++++=other
horses ^nns++++=horses
close ^in+cmpx+++=close
to ^in++++=to
Barrett ^np+++??+=Barrett
and ^cc++++=and
Martin ^np++++=Martin.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
was ^vbd+bedz+aux++=was
to ^to++++=to
stick ^vbi++++=stick
next ^in+cmpx+++=next
to ^in"++++=to
the ^ati++++=the
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++0='em
do ^vb+do+vrb++=do
the ^ati++++=the
bearin ^nn+++??+=bearin'
' ^zz++++=EXTRAWORD
off ^in+pl+++=off
of ^in++++=of
the ^ati++++=the
booty ^nn++++=booty
while ^cs+sub+++=while
the ^ati++++=the
other ^ap++++=other
made ^vprf+++xvbn+=made
the ^ati++++=the
protection ^nn+nom+++=protection
play ^nn++++=play.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
hoped ^vbd+vprv++xvbn+=hoped
in ^in++++=in
the ^ati++++=the
excitement ^nn+nom+++=excitement
to ^to++++=to
get ^vbi++++=get
off ^rb+phrv+++=off
without ^in++++=without
harmin ^nn+++??+=harmin'
' ^zz++++=EXTRAWORD
any ^dti++++=any
of ^in++++=of
Uncle ^nn++++=Uncle
Sam ^np++++=Sam's
's ^$++++=EXTRAWORD
pets ^nns++++=pets,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
three ^cd++++=three
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
the ^ati++++=the
Rangers ^nns+nom+++=Rangers
and ^cc++++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
if ^cs+cnd+++=if
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^in++++=to
a ^at++++=a
show ^vb+vprv+++=show
down ^rp++++=down,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
hesitate ^nn+nom+++=hesitate
to ^to+vcmp+++=to
" ^zz++++="pot"
pot ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
in ^in++++=in
gittin ^nn+++??+=gittin'
' ^zz++++=EXTRAWORD
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
rode ^vbd+++xvbn+=rode
out ^rp+pl+++=out
from ^in++++=from
camp ^nn++++=camp
the ^ati++++=the
next ^ap++++=next
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
to ^to++++=to
where ^wrb+who+++=where
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
staked ^vprf+++xvbnx+=staked
out ^rp+pl+++=out
a ^at++++=a
mile ^nn++++=mile
track ^nn++++=track
on ^in++++=on
the ^ati++++=the
prairie ^nn++++=prairie
and ^cc++++=and
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
whole ^jj+atrb+++=whole
Crow ^nn++++=Crow
Nation ^nn++++=Nation
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nary ^nn++++=nary
a ^at++++=a
white ^jj++++=white
but ^cc++++=but
us ^pp1o+pp1+++=us
five ^cd++++=five.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'd
'd ^vbd+hvd+aux++0=EXTRAWORD
entered ^vprf+++xvbnx+=entered
two ^cd++++=two
pretty ^rb++++=pretty
good ^jj++++=good-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
horses ^nns++++=horses
and ^cc++++=and
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
jockeys ^nns++++=jockeys
stripped ^vbd+++xvbn+=stripped
down ^rp++++=down
to ^in++++=to
breech ^nn+++??+=breech-clouts,
- ^zz++++=EXTRAWORD
clouts ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Hollis ^np++++=Hollis
and ^cc++++=and
me ^pp1o+pp1+++=me
wore ^vbd+++xvbn+=wore
our ^pp$+pp1+++=our
whole ^jj+atrb+++=whole
outfits ^nns++++=outfits
on ^in++++=on
our ^pp$+pp1+++=our
backs ^nns++++=backs,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
exactly ^rb++++=exactly
figger ^jjr++++=figger
on ^in++++=on
dressin ^nn+++??+=dressin'
' ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
race ^nn++++=race,
, ^zz++++=EXTRAWORD
leastways ^rb+cnj+++=leastways,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
on ^in++++=on
that ^dt+dem+++=that
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
lined ^vbd+++xvbn+=lined
up ^rp++++=up,
, ^zz++++=EXTRAWORD
Jim ^np++++=Jim
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
-- ^--+clp+++=---all
- ^zz++++=EXTRAWORD
all ^abn++++=EXTRAWORD
ride ^vb++++=ride
like ^in+strn+++=like
-- ^--+clp+++=----,
-- ^--+clp+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
you ^pp2+pp2+++=you
git ^np++++=git
to ^in++++=to
the ^ati++++=the
far ^rb+pl+++=far
turn ^nn++++=turn
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
let ^vb+++xvbn+=let
the ^ati++++=the
guns ^nns++++=guns
loose ^jj++++=loose
and ^cc++++=and
stampede ^nn+++??+=stampede
the ^ati++++=the
crowd ^nn++++=crowd.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
jest ^rb++++=jest
leave ^vb++++=leave
the ^ati++++=the
track ^nn++++=track
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
break ^vb++++=break
fer ^&fw++++=fer
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
everybody ^pn++++=everybody
fer ^&fw++++=fer
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
all ^rb++splt++=all
meet ^vb++++=meet
at ^in++++=at
them ^pp3o+pp3+++=them
cottonwoods ^nns+++??+=cottonwoods
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
can ^md+pos+++=can
stand ^vb++++=stand
them ^pp3o+pp3+++0='em
off ^in+pl+++=off
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
try ^vb++++=try
to ^to+vcmp+++=to
swim ^vbi++++=swim
across ^in+pl+++=across
after ^in++++=after
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
sure ^jj++++=sure
enough ^qlp++++=enough
hot ^jj+atrb+++=hot
race ^nn++++=race
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
all ^rb++++=all
four ^cd++++=four
got ^vbd+++xvbn+=got
as ^ql++++=as
pretty ^rb++++=pretty
a ^at++++=a
start ^vb++++=start
as ^ql++++=as
I ^pp1a+pp1+++=I
ever ^rb++++=ever
see ^vb+vprv+++=see
and ^cc+phrs+++=and
went ^vpsv++agls+xvbn+=went
down ^in++++=down
the ^ati++++=the
line ^nn++++=line
all ^rb++++=all
together ^nn+nom+++=together
with ^in++++=with
a ^at++++=a-bangin'
- ^zz++++=EXTRAWORD
bangin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
of ^in++++=of
hoofs ^nns++++=hoofs
and ^cc++++=and
Indian ^jj+atrb+++=Indian
yells ^nns+++??+=yells
ringin ^nn+++??+=ringin'
' ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
work ^vbi++++=work
Black ^np++++=Black
Hawk ^np+++??+=Hawk
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
bunch ^nn++++=bunch
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
clear ^nn++++=clear
start ^vb++++=start
across ^in+pl+++=across
the ^ati++++=the
prairie ^nn++++=prairie
at ^in++++=at
the ^ati++++=the
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
the ^ati++++=the
guns ^nns++++=guns
begin ^vb++++=begin
snappin ^nn+++??+=snappin'
' ^zz++++=EXTRAWORD
like ^in++++=like
pop ^nn++++=pop-corn.
- ^zz++++=EXTRAWORD
corn ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="They've
they ^pp3a+pp3+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
started ^vprf+++xvbnx+=started
already ^rb+cnj+++=already,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
yelled ^vbd+++xvbn+=yelled
Hollis ^np++++=Hollis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
turned ^vbd+++xvbn+=turned
the ^ati++++=the
rearin ^nn+++??+=rearin'
' ^zz++++=EXTRAWORD
