Towards ^in++++=Towards
range ^nn++++=range
a ^at++++=a
good ^jj++++=good
while ^cs+sub+++=while,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Baugh ^np+++??+=Baugh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leader ^nn++++=leader
of ^in++++=of
this ^dt+dem+++=this
trio ^nn++++=trio,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
hereafter ^nn+nom+++=hereafter
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
not ^xnot++not++=not
ride ^vb++++=ride
my ^pp$+pp1+++=my
horses ^nns++++=horses
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
turning ^vbg+++xvbg+=turning
back ^rb+phrv+++=back
the ^ati++++=the
brand ^nn++++=brand
of ^in++++=of
any ^dti++++=any
hidebound ^jj+atrb+++=hidebound
cattle ^nns++++=cattle
company ^nn++++=company."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
save ^vb++++=save
you ^pp2+pp2+++=you
from ^in++++=from
getting ^xvbg+++xvbg+=getting
hit ^nn+++xvbn+=hit
with ^in++++=with
a ^at++++=a
cheque ^nn++++=cheque
for ^in++++=for
your ^pp$+pp2+++=your
time ^nn++++=time
when ^wrb+who+++=when
the ^ati++++=the
snow ^nn++++=snow
begins ^vbz++++=begins
to ^to++++=to
drift ^vbi++++=drift,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
commented ^vbn+vpub++xvbn+=commented
Stubb ^np+++??+=Stubb.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
we ^pp1a+pp1+++=we
make ^vb++++=make
our ^pp$+pp1+++=our
grand ^jj+atrb+++=grand
tour ^nn++++=tour
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
this ^dt+dem+++=this
winter ^nn++++=winter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
Arab ^jj++++=Arab
Ab ^&fo++++=Ab,
, ^zz++++=EXTRAWORD
" ^zz++++="we'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
that ^dt+dem+++=that
cheque ^nn++++=cheque
of ^in++++=of
Baugh ^np++++=Baugh's
's ^$++++=EXTRAWORD
cashed ^vbd+++xvbn+=cashed,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
our ^pp$+pp1+++=our
own ^ap++++=own.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
thing ^nn++++=thing
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
fret ^vb++++=fret
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
still ^rb++++=still
we ^pp1a+pp1+++=we
might ^md+pos+++=might
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
riding ^vbg+++xvbg+=riding
a ^at++++=a
chuck ^nn++++=chuck-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
would ^md+prd+++=would
beat ^vb+++xvbn+=beat
footing ^nn++++=footing
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
granger ^np++++=granger
country ^nn++++=country,
, ^zz++++=EXTRAWORD
broke ^j+++xvbn+=broke."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
broke ^vbd+++xvbn+=broke,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Baugh ^np+++??+=Baugh,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
the ^ati++++=the
leader ^nn++++=leader
in ^in++++=in
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
go ^vb++++=go
to ^in++++=to
Kansas ^np++++=Kansas
for ^in++++=for
the ^ati++++=the
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
when ^wrb+who+++=when
men ^nns++++=men
are ^vb+ber+aux++=are
wanted ^vpsv++agls+xvbnx+=wanted.
. ^zz++++=EXTRAWORD
So ^ql++++=So
when ^wrb+who+++=when
the ^ati++++=the
beef ^nn++++=beef
season ^nn++++=season
had ^vbd+hvd+aux++=had
ended ^vprf+++xvbnx+=ended,
, ^zz++++=EXTRAWORD
the ^ati++++=the
calves ^nns++++=calves
had ^vb+hv+aux++=had
all ^abn++++=all
been ^vb+jj+vrb+xvbn+=been
branded ^jj++++=branded
up ^rp++++=up
and ^cc++++=and
everything ^pn++++=everything
made ^vbd+++xvbn+=made
snug ^jj++++=snug
for ^in++++=for
the ^ati++++=the
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
the ^ati++++=the
foreman ^nn++++=foreman
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
the ^ati++++=the
boys ^nns++++=boys
at ^in++++=at
breakfast ^nn++++=breakfast
one ^cd1++++=one
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
lads ^nns++++=lads,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
kept ^vprf+++xvbnx+=kept
you ^pp2+pp2+++=you
on ^in++++=on
the ^ati++++=the
pay ^vb++++=pay-roll
- ^zz++++=EXTRAWORD
roll ^nn++++=EXTRAWORD
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
anything ^pn++++=anything
to ^to++++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
morning ^nn++++=morning
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
give ^vb++++=give
you ^pp2+pp2+++=you
your ^pp$+pp2+++=your
time ^nn++++=time.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
recent ^jj+atrb+++=recent
orders ^nns++++=orders
of ^in++++=of
mine ^nn++++=mine
are ^vb+ber+aux++=are
sweeping ^vbg+++xvbgx+=sweeping,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
me ^pp1o+pp1+++=me
down ^rp++++=down
to ^to++++=to
one ^cd1++++=one
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
do ^vbi++++=do
our ^pp$+pp1+++=our
own ^ap++++=own
cooking ^nvbg+++xvbg+=cooking.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^jj++++=sorry
that ^tht+jcmp+++=that
any ^dti++++=any
of ^in++++=of
you ^pp2+pp2+++=you
that ^dt+dem+++=that
care ^vb++++=care
to ^to+vcmp+++=to
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
spend ^vb++++=spend
the ^ati++++=the
winter ^nn++++=winter
with ^in++++=with
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
there ^rn+pl+++=there
that ^cs+sub+++=that
my ^pp$+pp1+++=my
orders ^nns++++=orders
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
distasteful ^jj++++=distasteful
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
to ^to++++=to
ride ^vbi++++=ride
a ^at++++=a
chuck ^nn++++=chuck-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
all ^rb++++=all
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
waste ^nn++++=waste
of ^in++++=of
affection ^nn+nom+++=affection
by ^in++++=by
this ^dt+dem+++=this
company ^nn++++=company
that ^tht+rel+subj++=that
keeps ^vbz++++=keeps
even ^rb++++=even
two ^cd++++=two
of ^in++++=of
us ^pp1o+pp1+++=us
on ^in++++=on
the ^ati++++=the
pay ^vb++++=pay-roll."
- ^zz++++=EXTRAWORD
roll ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
foreman ^nn++++=foreman
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
up ^rp++++=up
accounts ^nns++++=accounts
and ^cc++++=and
making ^vbg+++xvbg+=making
out ^rp+pl+++=out
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
each ^dt++++=each,
, ^zz++++=EXTRAWORD
Baugh ^np+++??+=Baugh
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
wagon ^nn++++=wagon
going ^vwbg+++xvbg+=going
in ^in++++=in
after ^cs+sub+++=after
the ^ati++++=the
winter ^nn++++=winter's
's ^$++++=EXTRAWORD
supplies ^vbz++++=supplies?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
foreman ^nn++++=foreman.
. ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Stubby ^np+++??+=Stubby,
, ^zz++++=EXTRAWORD
Arab ^jj++++=Arab,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
myself ^ppl+pp1+++=myself
want ^vb++++=want
to ^to+vcmp+++=to
leave ^vbi++++=leave
our ^pp$+pp1+++=our
saddles ^nns++++=saddles
and ^cc++++=and
private ^jj+atrb+++=private
horses ^nns++++=horses
here ^rn+pl+++=here
with ^in++++=with
you ^pp2+pp2+++=you
until ^cs+sub+++=until
spring ^vb++++=spring.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We're
're ^vb+ber+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
State ^nn++++=State
for ^in++++=for
the ^ati++++=the
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
will ^md+prd+++=will
wait ^vb++++=wait
and ^cc+phrs+++=and
go ^vb++++=go
in ^in++++=in
with ^in++++=with
the ^ati++++=the
wagon ^nn++++=wagon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
foreman ^nn++++=foreman.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
things ^nns++++=things
right ^jj+atrb+++=right
side ^nn++++=side
up ^rp++++=up
when ^wrb+who+++=when
you ^pp2+pp2+++=you
come ^vb++++=come
after ^in++++=after
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
job ^nn++++=job
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can
give ^vb++++=give
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
poor ^jj+atrb+++=poor
policy ^nn++++=policy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Stubb ^np+++??+=Stubb
of ^in++++=of
the ^ati++++=the
foreman ^nn++++=foreman,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
latter ^ap++++=latter
handed ^jj+++xvbn+=handed
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
time ^nn++++=time,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^to++++=EXTRAWORD
refuse ^vbi++++=refuse
the ^ati++++=the
men ^nns++++=men
a ^at++++=a
roof ^nn++++=roof
and ^cc++++=and
the ^ati++++=the
bite ^nn++++=bite
they ^pp3a+pp3+++=they
eat ^vb++++=eat
in ^in++++=in
winter ^nn++++=winter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
ask ^vb++++=ask
that ^tht+vcmp+++=that
question ^nn+nom+++=question
at ^in++++=at
headquarters ^nns+nom+++=headquarters,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
get ^vb++++=get
your ^pp$+pp2+++=your
time ^nn++++=time
cheque ^nn++++=cheque
cashed ^vbd+++xvbn+=cashed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
learned ^vprf+++xvbnx+=learned
not ^xnot++not++=not
to ^to++++=to
think ^vbi+vprv+++=think
contrary ^in+cmpx+++=contrary
to ^in"++++=to
my ^pp$+pp1+++=my
employers ^nns+nom+++=employers;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
anyhow ^rb+dspt+++=anyhow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Baugh ^np+++??+=Baugh;
; ^zz++++=EXTRAWORD
" ^zz++++="we're
we ^pp1a+pp1+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
take ^vb++++=take
in ^rb+phrv+++=in
the ^ati++++=the
State ^nn++++=State
for ^in++++=for
a ^at++++=a
change ^nn++++=change
of ^in++++=of
scenery ^nn+nom+++=scenery.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
good ^jj+atrb+++=good
time ^nn++++=time
and ^cc++++=and
plenty ^nn++++=plenty
of ^in++++=of
fun ^nn++++=fun
on ^in++++=on
the ^ati++++=the
side ^nn++++=side."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
snow ^np++++=snow-squall
- ^zz++++=EXTRAWORD
squall ^nn+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
season ^nn++++=season
came ^vbd+++xvbn+=came
that ^cs+sub+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wagon ^nn++++=wagon
could ^md+pos+++=could
not ^xnot++not++=not
go ^vb++++=go
in ^rb+phrv+++=in
for ^in+ppvb+++=for
several ^ap++++=several
days ^nns++++=days.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
weather ^nn++++=weather
moderated ^vbd+++xvbn+=moderated
the ^ati++++=the
three ^cd++++=three
bade ^vbd+++xvbn+=bade
the ^ati++++=the
foreman ^nn++++=foreman
a ^at++++=a
hearty ^jj++++=hearty
good ^jj++++=good-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
and ^cc++++=and
boarded ^vbd+++xvbn+=boarded
the ^ati++++=the
wagon ^nn++++=wagon
for ^in++++=for
town ^nn++++=town,
, ^zz++++=EXTRAWORD
forty ^cd++++=forty
miles ^nns++++=miles
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
little ^jj+atrb+++=little
village ^nn+nom+++=village
was ^vbd+bedz+vrb++=was
a ^at++++=a
supply ^nn++++=supply
point ^nn++++=point
for ^in++++=for
the ^ati++++=the
range ^nn++++=range
country ^nn++++=country
to ^in++++=to
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lacked ^vprf+++xvbn+=lacked
that ^dt+dem+++=that
diversity ^nn+nom+++=diversity
of ^in++++=of
entertainment ^nn+nom+++=entertainment
that ^tht+rel+obj++=that
the ^ati++++=the
trio ^nn++++=trio
desired ^vbd+++xvbn+=desired.
. ^zz++++=EXTRAWORD
So ^rb++++=So
to ^in++++=to
a ^at++++=a
larger ^jjr+atrb+++=larger
town ^nn++++=town
westward ^nn++++=westward,
, ^zz++++=EXTRAWORD
a ^at++++=a
county ^nn++++=county
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
hastened ^vbd+++xvbnx+=hastened
by ^in++++=by
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
hamlet ^nn++++=hamlet
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
in ^rb+phrv+++=in
by ^in++++=by
sections ^nns+nom+++=sections.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
the ^ati++++=the
games ^nns++++=games
running ^vwbg+++xvbg+=running
to ^to++++=to
suit ^vbi++++=suit
their ^pp$+pp3+++=their
tastes ^nns++++=tastes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
variety ^nn++++=variety
theatre ^nn++++=theatre
with ^in++++=with
its ^pp$+it+++=its
painted ^xvbn+++xvbn+=painted
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
handbills ^vbz+++??+=handbills
announced ^vbd+vpub++xvbn+=announced
that ^tht+vcmp+++=that
on ^rp++++=on
