Any ^dti++++=Any
was ^vbd+bedz+aux++=was
brushing ^vbg+++xvbgx+=brushing
her ^pp3o+pp3+++=her
hair ^nn++++=hair
for ^in++++=for
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
strokes ^nns+++??+=strokes
with ^in++++=with
a ^at++++=a
bristle ^nn++++=bristle
brush ^nn++++=brush.
. ^zz++++=EXTRAWORD
Anyone ^pn++++=Anyone
who ^whp+who+++=who
reads ^vbz++++=reads
the ^ati++++=the
beauty ^nn++++=beauty
column ^nn++++=column
in ^in++++=in
the ^ati++++=the
newspapers ^nns+nom+++=newspapers
knows ^vbz+vprv+tht0++=knows
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
heroic ^jj++++=heroic
in ^in++++=in
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
Gertie ^np+++??+=Gertie
brushing ^vwbg+++xvbg+=brushing
her ^pp3o+pp3+++=her
hair ^nn++++=hair
one ^cd1++++=one
hundred ^cd++++=hundred
strokes ^nns+++??+=strokes
before ^in++++=before
going ^nn++++=going
to ^in++++=to
bed ^nn++++=bed
at ^in++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
woman ^nn++++=woman
could ^md+pos+++=could
understand ^vb+vprv+tht0++=understand
her ^pp$+pp3+++=her
doing ^vbg+++xvbg+=doing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
clerked ^vbd+++xvbn+=clerked
downtown ^rn++++=downtown
on ^in++++=on
State ^nn++++=State
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
gents ^nns+++??+=gents'
' ^zz++++=EXTRAWORD
glove ^nn++++=glove
department ^nn+nom+++=department.
. ^zz++++=EXTRAWORD
A ^at++++=A
gents ^nns+++??+=gents'
' ^zz++++=EXTRAWORD
glove ^nn++++=glove
department ^nn+nom+++=department
requires ^vbz++++=requires
careful ^jj++++=careful
dressing ^jj+++xvbg+=dressing
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
its ^pp$+it+++=its
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
manager ^nn++++=manager,
, ^zz++++=EXTRAWORD
in ^in++++=in
selecting ^xvbg+++xvbg+=selecting
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
particular ^jj+pred+++=particular
about ^in++++=about
choosing ^xvbg+++xvbg+=choosing
" ^zz++++="lookers,"
lookers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
especial ^jj+atrb+++=especial
attention ^nn+nom+++=attention
to ^in++++=to
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finger ^nn++++=finger
nails ^nns++++=nails.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
was ^vbd+bedz+vrb++=was
a ^at++++=a
looker ^nn++++=looker.
. ^zz++++=EXTRAWORD
Providence ^np+nom++??+=Providence
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
care ^nn++++=care
of ^in++++=of
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
leave ^vb++++=leave
your ^pp$+pp2+++=your
hair ^nn++++=hair
and ^cc++++=and
finger ^nn++++=finger
nails ^nns++++=nails
to ^in++++=to
Providence ^np+nom++??+=Providence.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
demand ^vb++++=demand
coaxing ^nn++++=coaxing
with ^in++++=with
a ^at++++=a
bristle ^nn++++=bristle
brush ^nn++++=brush
and ^cc++++=and
an ^at++++=an
orangewood ^nn+++??+=orangewood
stick ^vb++++=stick.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
clerking ^nvbg+++xvbg+=clerking,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Gertie ^np+++??+=Gertie
would ^md+prd+++=would
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
fierce ^jj+pred+++=fierce
on ^in++++=on
the ^ati++++=the
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
your ^pp$+pp2+++=your
feet ^nns++++=feet
are ^vb+ber+aux++=are
tired ^vpsv++agls+xvbnx+=tired
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
tired ^vpsv++agls+xvbnx+=tired
all ^abn++++=all
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Gertie ^np++++=Gertie's
's ^$++++=EXTRAWORD
feet ^nns++++=feet
were ^vbd+bed+aux++=were
tired ^vpsv++agls+xvbnx+=tired
every ^at++++=every
night ^nn++++=night.
. ^zz++++=EXTRAWORD
About ^in++++=About
eight ^cd++++=eight-thirty
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
she ^pp3a+pp3+++=she
longed ^vbd+++xvbnx+=longed
to ^to+vcmp+++=to
peel ^vbi++++=peel
off ^rb+phrv+++=off
her ^pp3o+pp3+++=her
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
drop ^nn++++=drop
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
heap ^nn++++=heap
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tumble ^nn++++=tumble,
, ^zz++++=EXTRAWORD
unbrushed ^j+++xvbn+=unbrushed,
, ^zz++++=EXTRAWORD
unwashed ^jj++++=unwashed,
, ^zz++++=EXTRAWORD
unmanicured ^j+++xvbn+=unmanicured,
, ^zz++++=EXTRAWORD
into ^in++++=into
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
particularly ^rb++splt++=particularly
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
washing ^xvbg+++xvbg+=washing
out ^rp+pl+++=out
three ^cd++++=three
handkerchiefs ^nns+++??+=handkerchiefs
and ^cc++++=and
pasting ^jj+++xvbg+=pasting
them ^pp3o+pp3+++=them
with ^in++++=with
practised ^jj+atrb++xvbn+=practised
hand ^nn++++=hand
over ^in++++=over
the ^ati++++=the
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
off ^rb+phrv+++=off
her ^pp3o+pp3+++=her
shoes ^nns++++=shoes
and ^cc++++=and
discovered ^vbd+vprv++xvbn+=discovered
a ^at++++=a
hole ^nn++++=hole
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
a ^at++++=a
silver ^nn++++=silver
quarter ^nn++++=quarter
in ^in++++=in
the ^ati++++=the
heel ^nn++++=heel
of ^in++++=of
her ^pp$+pp3+++=her
left ^vbd+++xvbn+=left
stocking ^nn++++=stocking.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
had ^vb+hv+vrb++=had
a ^at++++=a
country ^nn++++=country-bred
- ^zz++++=EXTRAWORD
bred ^jj+atrb+++=EXTRAWORD
horror ^nn++++=horror
of ^in++++=of
holey ^nn+++??+=holey
stockings ^nns++++=stockings.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
darned ^rb++++=darned
the ^ati++++=the
hole ^nn++++=hole,
, ^zz++++=EXTRAWORD
yawning ^vbg+++xvbg+=yawning,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
aching ^vbg+++xvbg+=aching
feet ^nns++++=feet
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
cool ^vb++++=cool
leg ^nn++++=leg
of ^in++++=of
the ^ati++++=the
iron ^nn++++=iron
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
done ^vbd+++xvbn+=done,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
the ^ati++++=the
colossal ^jj+atrb+++=colossal
courage ^nn+nom+++=courage
to ^to++++=to
wash ^vbi++++=wash
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
slap ^nn++++=slap
cold ^jj+atrb+++=cold
cream ^nn++++=cream
on ^in++++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
push ^vb++++=push
back ^jjb++++=back
the ^ati++++=the
cuticle ^nn++++=cuticle
around ^rp++++=around
her ^pp3o+pp3+++=her
nails ^nns++++=nails.
. ^zz++++=EXTRAWORD
Seated ^j+++xvbn+=Seated
huddled ^jj+++xvbn+=huddled
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her
thin ^jj+atrb+++=thin
little ^jj+atrb+++=little
iron ^nn++++=iron
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
was ^vbd+bedz+aux++=was
brushing ^vbg+++xvbgx+=brushing
her ^pp3o+pp3+++=her
hair ^nn++++=hair
bravely ^rb+cnj+++=bravely,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting
the ^ati++++=the
strokes ^nns+++??+=strokes
somewhere ^rb++++=somewhere
in ^in++++=in
her ^pp$+pp3+++=her
sub ^nn++++=sub-conscious
- ^zz++++=EXTRAWORD
conscious ^jj+atrb+++=EXTRAWORD
mind ^nn++++=mind
and ^cc++++=and
thinking ^nvbg+++xvbg+=thinking
busily ^rb++++=busily
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
of ^in++++=of
something ^pn++++=something
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
brush ^nn++++=brush
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell,
, ^zz++++=EXTRAWORD
swept ^xvbn+++xvbn+=swept
downward ^jjb++++=downward,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell,
, ^zz++++=EXTRAWORD
rhythmically ^rb++++=rhythmically.
. ^zz++++=EXTRAWORD
" ^zz++++="Ninety-six,
ninety ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety
- ^zz++++=-Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
darn ^rb++++=darn
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Gertie ^np+++??+=Gertie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurled ^vbd+++xvbn+=hurled
the ^ati++++=the
brush ^nn++++=brush
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
a ^at++++=a
crack ^nn++++=crack.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
looking ^vbg+++xvbg+=looking
after ^in+ppvb+++=after
it ^pp3+it+++=it
with ^in++++=with
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
eyes ^nns++++=eyes
until ^cs+sub+++=until
the ^ati++++=the
brush ^nn++++=brush
blurred ^vbd+++xvbn+=blurred
in ^in++++=in
with ^in++++=with
the ^ati++++=the
faded ^jj+atrb++xvbn+=faded
red ^jj+atrb+++=red
roses ^nns++++=roses
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
doing ^vbg+++xvbg+=doing
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
up ^rp++++=up,
, ^zz++++=EXTRAWORD
wadded ^j+++xvbn+=wadded
her ^pp3o+pp3+++=her
hair ^nn++++=hair
viciously ^rb++++=viciously
into ^in++++=into
a ^at++++=a
hard ^jj+atrb+++=hard
bun ^nn++++=bun
in ^in++++=in
the ^ati++++=the
back ^jjb++++=back
instead ^rb+cnj+++=instead
of ^in++++=of
braiding ^xvbg+++xvbg+=braiding
it ^pp3+it+++=it
carefully ^rb++++=carefully
as ^in++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
room ^nn++++=room
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
much ^rb++++=much
of ^in++++=of
a ^at++++=a
trip ^nn++++=trip),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
picked ^j+++xvbn+=picked
up ^rp++++=up
the ^ati++++=the
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
looking ^vbg+++xvbg+=looking
down ^rp++++=down
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
under ^in++++=under
lip ^nn++++=lip
caught ^vbd+++xvbn+=caught
between ^in++++=between
her ^pp$+pp3+++=her
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
humiliating ^jj+atrb+++=humiliating
part ^nn++++=part
of ^in++++=of
losing ^xvbg+++xvbg+=losing
your ^pp$+pp2+++=your
temper ^nn++++=temper
and ^cc++++=and
throwing ^jj+atrb++xvbg+=throwing
things ^nns++++=things.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^md"++pmd"++=have
to ^md+nec+++=to
come ^vb++++=come
down ^rp++++=down
to ^to++++=to
picking ^vbi++++=picking
them ^pp3o+pp3+++=them
up ^rp++++=up,
, ^zz++++=EXTRAWORD
anyway ^rb+dspt+++=anyway.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
lip ^nn++++=lip
still ^rb++++=still
held ^vbd+vprv++xvbn+=held
prisoner ^nn+nom+++=prisoner,
, ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
tossed ^vbd+++xvbn+=tossed
the ^ati++++=the
brush ^nn++++=brush
on ^in++++=on
the ^ati++++=the
bureau ^nn++++=bureau,
, ^zz++++=EXTRAWORD
fastened ^j+++xvbn+=fastened
her ^pp$+pp3+++=her
nightgown ^nn++++=nightgown
at ^in++++=at
the ^ati++++=the
throat ^nn++++=throat
with ^in++++=with
a ^at++++=a
safety ^nn++++=safety
pin ^nn++++=pin,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
out ^rp+pl+++=out
the ^ati++++=the
gas ^nn++++=gas
and ^cc++++=and
crawled ^vprf+++xvbn+=crawled
into ^in++++=into
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
