This ^dt+pdem+++=This
old ^jj+atrb+++=old
days ^nns++++=days,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
gentry ^nn++++=gentry
of ^in++++=of
the ^ati++++=the
ring ^nn++++=ring
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
investing ^xvbg+++xvbg+=investing
their ^pp$+pp3+++=their
winnings ^nns++++=winnings
in ^in++++=in
solids ^nns++++=solids
instead ^rb+cnj+++=instead
of ^in++++=of
liquids ^nns++++=liquids,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
favorite ^jj+atrb+++=favorite
conundrum ^nn+++??+=conundrum:
: ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
is ^vbz+bez+aux++=is
a ^at++++=a
prize ^nn++++=prize-fighter
- ^zz++++=EXTRAWORD
fighter ^nn++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
prize ^nn++++=prize-fighter?
- ^zz++++=EXTRAWORD
fighter ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Chorus ^nn++++=Chorus:
: ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
tending ^vbg+++xvbgx+=tending
bar ^nn++++=bar.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rise ^vb++++=rise
to ^to++++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
Brothah ^np+++??+=Brothah
Fan ^nn++++=Fan,
, ^zz++++=EXTRAWORD
when ^wrb+who+whq++=when
is ^vbz+bez+aux++=is
a ^at++++=a
ball ^nn++++=ball
player ^nn++++=player
not ^xnot++not++=not
a ^at++++=a
ball ^nn++++=ball
player ^nn++++=player?
? ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
storm ^nn++++=storm
of ^in++++=of
facetious ^jj+atrb+++=facetious
replies ^nns++++=replies
I ^pp1a+pp1+++=I
shout ^vb++++=shout
the ^ati++++=the
answer ^nn++++=answer:
: ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
shoe ^nn++++=shoe
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
man ^nn++++=man
who ^whp+rel+subj++=who
can ^md+pos+++=can
look ^vb++++=look
handsome ^jj++++=handsome
in ^in++++=in
a ^at++++=a
dirty ^jj+atrb+++=dirty
baseball ^nn++++=baseball
suit ^nn++++=suit
is ^vbz+bez+vrb++=is
an ^at++++=an
Adonis ^np+++??+=Adonis.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
something ^pn++++=something
about ^in++++=about
the ^ati++++=the
baggy ^jj+atrb+++=baggy
pants ^nns++++=pants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Micawber ^np+nom+++=Micawber-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
skull ^nn++++=skull-fitting
- ^zz++++=EXTRAWORD
fitting ^jj+atrb++xvbg+=EXTRAWORD
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
foot ^nn++++=foot
or ^cc++++=or
so ^rb++++=so
of ^in++++=of
tan ^nn++++=tan,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pink ^jj+atrb+++=pink
undershirt ^nn+++??+=undershirt
sleeve ^nn++++=sleeve
sticking ^vwbg+++xvbg+=sticking
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
just ^rb+emph+++=just
naturally ^rb++++=naturally
kills ^vbz++++=kills
a ^at++++=a
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
best ^jjt+atrb+++=best
points ^nns++++=points.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
a ^at++++=a
baseball ^nn++++=baseball
suit ^nn++++=suit
requires ^vbz++++=requires
so ^ql++++=so
much ^ap++++=much
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
leg ^nn++++=leg.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
Rudie ^np+++??+=Rudie
Schlachweiler ^np+nom++??+=Schlachweiler
was ^vbd+bedz+vrb++=was
a ^at++++=a
dream ^nn++++=dream
even ^rb++++=even
in ^in++++=in
his ^pp$+pp3+++=his
baseball ^nn++++=baseball
uniform ^nn++++=uniform,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
dirty ^jj+atrb+++=dirty
brown ^jj+atrb+++=brown
streak ^nn++++=streak
right ^jj++++=right
up ^rp++++=up
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
pants ^nns++++=pants
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
slid ^vprf+++xvbnx+=slid
for ^in++++=for
base ^nn++++=base,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
girls ^nns++++=girls
camped ^vbd+++xvbn+=camped
on ^in++++=on
the ^ati++++=the
grounds ^nns++++=grounds
during ^in++++=during
the ^ati++++=the
season ^nn++++=season.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
summer ^nn++++=summer
months ^nns++++=months
our ^pp$+pp1+++=our
ball ^nn++++=ball
park ^npl++++=park
is ^vbz+bez+vrb++=is
to ^to++++=to
us ^pp1o+pp1+++=us
what ^wdt+who+++=what
the ^ati++++=the
Grand ^jj++++=Grand
Prix ^&fw++++=Prix
is ^vbz+bez+vrb++=is
to ^in++++=to
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Ascot ^np++++=Ascot
is ^vbz+bez+vrb++=is
to ^in++++=to
London ^np++++=London.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
care ^nn++++=care
we ^pp1a+pp1+++=we
that ^cs+sub+++=that
Evers ^np+++??+=Evers
gets ^vbz++++=gets
seven ^cd++++=seven
thousand ^cd++++=thousand
a ^at++++=a
year ^nn++++=year
( ^zz++++=(or
or ^cc++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
a ^at++++=a
month? ^nn+++??+=month?);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
Chicago ^np++++=Chicago's
's ^$++++=EXTRAWORD
new ^jj+atrb+++=new
South ^nr+pl+++=South-side
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
ball ^nn++++=ball
park ^npl++++=park
seats ^nns++++=seats
thirty ^cd++++=thirty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
thousand ^cd++++=thousand
( ^zz++++=(or
or ^cc++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
million? ^nn+++??+=million?).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
what ^wdt+who+++=what
interest ^nn++++=interest
are ^vb+ber+vrb++=are
such ^abl++++=such
meager ^jjr+atrb+++=meager
items ^nns++++=items
compared ^vbd+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
" ^zz++++="Pug"
pug ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
Coulan ^np+++??+=Coulan,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
plays ^nns++++=plays
short ^jj++++=short,
, ^zz++++=EXTRAWORD
goes ^vbz++++=goes
with ^in++++=with
Undine ^np+++??+=Undine
Meyers ^np+++??+=Meyers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
up ^rp++++=up
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
eighth ^od++++=eighth
row ^nn++++=row,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
pink ^jj+atrb+++=pink
dress ^nn++++=dress
and ^cc++++=and
the ^ati++++=the
red ^jj+atrb+++=red
roses ^nns++++=roses
on ^rp++++=on
her ^pp3o+pp3+++=her
hat ^nn++++=hat?
? ^zz++++=EXTRAWORD
When ^wrb+who+++=When
" ^zz++++="Pug"
pug ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
snatches ^nns++++=snatches
a ^at++++=a
high ^jj+atrb+++=high
one ^cd1++++=one
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
firmament ^nn+nom+++=firmament
we ^pp1a+pp1+++=we
yell ^vb++++=yell
with ^in++++=with
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
as ^ql++++=as
we ^pp1a+pp1+++=we
yell ^vb++++=yell
we ^pp1a+pp1+++=we
turn ^nn++++=turn
sideways ^jjb++++=sideways
to ^to++++=to
look ^vbi++++=look
up ^rp++++=up
and ^cc++++=and
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
Undine ^np+++??+=Undine
is ^vbz+bez+aux++=is
taking ^vbg+++xvbgx+=taking
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Undine ^np++++=Undine's
's ^vbz+bez+aux++0=EXTRAWORD
shining ^vbg+++xvbg+=shining
eyes ^nns++++=eyes
are ^vb+ber+aux++=are
fixed ^vpsv++agls+xvbnx+=fixed
on ^in++++=on
" ^zz++++="Pug,"
pug ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
knows ^vbz+vprv+tht0++=knows
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
stoops ^nns+++??+=stoops
to ^to++++=to
brush ^vbi++++=brush
the ^ati++++=the
dust ^nn++++=dust
off ^in+pl+++=off
his ^pp$+pp3+++=his
dirt ^nn++++=dirt-begrimed
- ^zz++++=EXTRAWORD
begrimed ^jj+atrb+++=EXTRAWORD
baseball ^nn++++=baseball
pants ^nns++++=pants,
, ^zz++++=EXTRAWORD
takes ^vbz++++=takes
an ^at++++=an
attitude ^nn++++=attitude
of ^in++++=of
careless ^jj+atrb+++=careless
grace ^nn++++=grace
and ^cc++++=and
misses ^vbz++++=misses
the ^ati++++=the
next ^ap++++=next
play ^nn++++=play.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
grand ^jj++++=grand-stand
- ^zz++++=EXTRAWORD
stand ^vb++++=EXTRAWORD
seats ^nns++++=seats
almost ^rb+hdg+++=almost
two ^cd++++=two
thousand ^cd++++=thousand,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting
the ^ati++++=the
boxes ^nns++++=boxes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
only ^rb+down+++=only
the ^ati++++=the
snobs ^nns+++??+=snobs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
girls ^nns++++=girls
with ^in++++=with
new ^jj+atrb+++=new
hats ^nns++++=hats,
, ^zz++++=EXTRAWORD
sit ^vb++++=sit
in ^in++++=in
the ^ati++++=the
boxes ^nns++++=boxes.
. ^zz++++=EXTRAWORD
Box ^nn++++=Box
seats ^nns++++=seats
are ^vb+ber+vrb++=are
comfortable ^jj+pred+++=comfortable,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
cost ^nn++++=cost
only ^rb+down+++=only
an ^at++++=an
additional ^jj++++=additional
ten ^cd++++=ten
cents ^nns++++=cents,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^to++++=to
consider ^nn+nom+++=consider
them ^pp3o+pp3+++=them
undemocratic ^nn++++=undemocratic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unworthy ^jj++++=unworthy
of ^in++++=of
true ^jj+atrb+++=true
fans ^nns++++=fans.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Freddy ^np++++=Freddy
Van ^&fw++++=Van
Dyne ^np+++??+=Dyne,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
spends ^vbz++++=spends
her ^pp$+pp3+++=her
winters ^nns+nom+++=winters
in ^in++++=in
Egypt ^np++++=Egypt
and ^cc++++=and
her ^pp$+pp3+++=her
summers ^nns+nom+++=summers
at ^in++++=at
the ^ati++++=the
ball ^nn++++=ball
park ^npl++++=park,
, ^zz++++=EXTRAWORD
comes ^vbz++++=comes
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
game ^nn++++=game
every ^at++++=every
afternoon ^nn++++=afternoon
in ^in++++=in
her ^pp$+pp3+++=her
automobile ^nn+++??+=automobile,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
never ^rb++++=never
occupies ^vbz++++=occupies
a ^at++++=a
box ^nn++++=box
seat ^nn++++=seat;
; ^zz++++=EXTRAWORD
so ^ql++++=so
why ^wrb+who+whq++=why
should ^md+nec+++=should
we ^pp1a+pp1+++=we?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
perches ^nns+++??+=perches
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
grand ^jj++++=grand-stand
- ^zz++++=EXTRAWORD
stand ^vb++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
enthusiasts ^nns++++=enthusiasts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Kelly ^np+++??+=Kelly
puts ^vbz++++=puts
one ^cd1++++=one
over ^rb++++=over
she ^pp3a+pp3+++=she
stands ^vbz++++=stands
up ^rp++++=up
and ^cc++++=and
clinches ^nns+++??+=clinches
her ^pp3o+pp3+++=her
fists ^nns++++=fists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waves ^nns++++=waves
her ^pp$+pp3+++=her
arms ^nns++++=arms
and ^cc++++=and
shouts ^nns++++=shouts
with ^in++++=with
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+aux++=has
even ^rb++splt++=even
been ^vprf+ben+aux+xvbnx+=been
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
cry ^vbi++++=cry,
, ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
eye ^nn++++=eye!
! ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
eye ^nn++++=eye!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
when ^wrb+who+++=when
things ^nns++++=things
were ^vbd+bed+vrb++=were
at ^in++++=at
fever ^nn++++=fever
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+down+++=only
really ^rb+emph+++=really
blase ^nn+++??+=blase
individual ^jj++++=individual
in ^in++++=in
the ^ati++++=the
ball ^nn++++=ball
park ^npl++++=park
is ^vbz+bez+vrb++=is
Willie ^np++++=Willie
Grimes ^np++++=Grimes,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
peddles ^vbz+++??+=peddles
ice ^nn++++=ice-cream
- ^zz++++=EXTRAWORD
cream ^nn++++=EXTRAWORD
cones ^nns+++??+=cones.
. ^zz++++=EXTRAWORD
For ^in++++=For
that ^dt+dem+++=that
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
once ^rb+tm+++=once
saw ^vbd+vprv++xvbn+=saw
Willie ^np++++=Willie
turn ^nn++++=turn
a ^at++++=a
languid ^jj+atrb+++=languid
head ^nn++++=head
to ^in++++=to
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
thin ^jj+atrb+++=thin
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="Give
give ^vb++++=EXTRAWORD
them ^pp3o+pp3+++0='em
a ^at++++=a
dark ^jj+atrb+++=dark
one ^pn++++=one,
, ^zz++++=EXTRAWORD
Dutch ^nn++++=Dutch!
! ^zz++++=EXTRAWORD
Give ^vb++++=Give
them ^pp3o+pp3+++0='em
a ^at++++=a
dark ^jj+atrb+++=dark
one ^pn++++=one!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
will ^md+prd+++=will
do ^vb+do+vrb++=do
for ^in++++=for
the ^ati++++=the
firsh ^nn+++??+=firsh
dash ^nn++++=dash
of ^in++++=of
local ^jj+atrb+++=local
color ^nn++++=color.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
for ^in++++=for
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Ivy ^nn++++=Ivy
Keller ^np+++??+=Keller
came ^vbd+++xvbn+=came
home ^nr++++=home
June ^nr++++=June
nineteenth ^od++++=nineteenth
from ^in++++=from
Miss ^npt++++=Miss
Shont ^np++++=Shont's
's ^$++++=EXTRAWORD
select ^jj+atrb+++=select
school ^nn++++=school
for ^in++++=for
young ^jj+atrb+++=young
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
By ^in++++=By
June ^nr++++=June
twenty ^cd++++=twenty-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
bored ^vpsv++agls+xvbnx+=bored
limp ^jj++++=limp.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
see ^vb+vprv+++=see
the ^ati++++=the
plaits ^nns++++=plaits
of ^in++++=of
her ^pp$+pp3+++=her
white ^jj+atrb+++=white
tailored ^jj+atrb++xvbn+=tailored
shirtwaist ^nn+nom+++=shirtwaist
for ^in++++=for
fraternity ^nn+nom+++=fraternity
pins ^nns++++=pins
and ^cc++++=and
secret ^jj+atrb+++=secret
society ^nn++++=society
emblems ^nns++++=emblems,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
bedroom ^nn++++=bedroom
was ^vbd+bedz+vrb++=was
ablaze ^nn+++??+=ablaze
with ^in++++=with
college ^nn++++=college
banners ^nns+nom+++=banners
and ^cc++++=and
pennants ^nns+nom+++=pennants
to ^in++++=to
such ^abl++++=such
an ^at++++=an
extent ^nn++++=extent
that ^tht+rel+obj++=that
the ^ati++++=the
maid ^nn++++=maid
gave ^vbd+++xvbn+=gave
notice ^nn++++=notice
every ^at++++=every
Thursday ^nr++++=Thursday--which
-- ^--+clp+++=EXTRAWORD
which ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
upstairs ^jjb+atrb+++=upstairs
cleaning ^jj+atrb++xvbg+=cleaning
day ^nn++++=day.
. ^zz++++=EXTRAWORD
For ^in++++=For
two ^cd++++=two
weeks ^nns++++=weeks
after ^cs+sub+++=after
her ^pp3o+pp3+++=her
return ^vb++++=return
Ivy ^nn++++=Ivy
spent ^vbd+++xvbn+=spent
most ^ql+emph+++=most
of ^in++++=of
her ^pp$+pp3+++=her
time ^nn++++=time
writing ^vwbg+++xvbg+=writing
letters ^nns+nom+++=letters
and ^cc++++=and
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reading ^nvbg+++xvbg+=reading
the ^ati++++=the
classics ^nns++++=classics
on ^in++++=on
the ^ati++++=the
front ^jjb+atrb+++=front
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
a ^at++++=a
middy ^nn+++??+=middy
blouse ^nn++++=blouse
and ^cc++++=and
a ^at++++=a
blue ^jj+atrb+++=blue
skirt ^nn++++=skirt,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
hair ^nn++++=hair
done ^vwbn+++xvbn+=done
in ^in++++=in
a ^at++++=a
curly ^jj+atrb+++=curly
Greek ^jj+atrb+++=Greek
effect ^nn++++=effect
like ^in++++=like
the ^ati++++=the
girls ^nns++++=girls
on ^in++++=on
the ^ati++++=the
covers ^nns++++=covers
of ^in++++=of
the ^ati++++=the
Ladies ^nns++++=Ladies'
' ^zz++++=EXTRAWORD
Magazine ^nn++++=Magazine.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
posed ^vbd+++xvbnx+=posed
against ^in++++=against
the ^ati++++=the
canvas ^nn++++=canvas
bosom ^nn++++=bosom
of ^in++++=of
the ^ati++++=the
porch ^nn++++=porch
chair ^nn++++=chair
with ^in++++=with
one ^cd1++++=one
foot ^nn++++=foot
under ^in++++=under
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
swinging ^jj+++xvbg+=swinging
free ^jj++++=free,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
a ^at++++=a
tempting ^jj+atrb++xvbg+=tempting
thing ^nn++++=thing
in ^in++++=in
beaded ^jj+atrb++xvbn+=beaded
slipper ^nn++++=slipper,
, ^zz++++=EXTRAWORD
silk ^nn++++=silk
stocking ^nn++++=stocking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
the ^ati++++=the
story ^nn++++=story
writers ^nns+nom+++=writers
call ^vb++++=call
" ^zz++++="slim
slim ^jj+atrb+++=EXTRAWORD
ankle ^nn++++=ankle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
second ^od++++=second
Saturday ^nr++++=Saturday
after ^cs+sub+++=after
her ^pp3o+pp3+++=her
return ^nn++++=return
her ^pp3o+pp3+++=her
father ^npt++++=father
came ^vbd+++xvbn+=came
home ^nr++++=home
for ^in++++=for
dinner ^nn++++=dinner
at ^in++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
her ^pp$+pp3+++=her
deep ^jj++++=deep
in ^in++++=in
Volume ^nn++++=Volume
Two ^cd++++=Two
of ^in++++=of
" ^zz++++="Les
les ^&fw++++=EXTRAWORD
Miserables ^np+++??+=Miserables."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Whew!
whew ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
scorcher ^nn+nom+++=scorcher!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dropped ^vbd+++xvbn+=dropped
down ^rp++++=down
on ^in++++=on
a ^at++++=a
wicker ^nn++++=wicker
chair ^nn++++=chair
next ^in+cmpx+++=next
to ^in++++=to
Ivy ^nn++++=Ivy.
. ^zz++++=EXTRAWORD
Ivy ^nn++++=Ivy
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
father ^npt++++=father
with ^in++++=with
languid ^jj+atrb+++=languid
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
