Kenelm ^np+++??+=Kenelm
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
the ^ati++++=the
waiter ^nn++++=waiter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
waiter ^nn++++=waiter
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
at ^rb++++=at
all ^abn++++=all
times ^nns++++=times
to ^to++++=to
conceal ^vbi++++=conceal
his ^pp$+pp3+++=his
ignorance ^nn+nom+++=ignorance
concerning ^in++++=concerning
items ^nns++++=items
of ^in++++=of
the ^ati++++=the
wine ^nn++++=wine-list
- ^zz++++=EXTRAWORD
list ^nn++++=EXTRAWORD
or ^cc++++=or
menu ^nn++++=menu;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
frankly ^rb++++=frankly
ignorant ^jj+pred+++=ignorant
as ^in++++=as
to ^in++++=to
the ^ati++++=the
specific ^jj+atrb+++=specific
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
roses ^nns++++=roses.
. ^zz++++=EXTRAWORD
" ^zz++++="Amy
amy ^nn+++??+=EXTRAWORD
Sylvester ^np+nom++??+=Sylvester
Partinglon ^np+++??+=Partinglon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
voice ^nn++++=voice
at ^in++++=at
Jerton ^np++++=Jerton's
's ^$++++=EXTRAWORD
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
a ^at++++=a
pleasant ^jj++++=pleasant-faced,
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-dressed
- ^zz++++=EXTRAWORD
dressed ^xvbn+++xvbn+=EXTRAWORD
young ^jj+atrb+++=young
woman ^nn++++=woman
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
at ^rb++++=at
a ^at++++=a
table ^nn++++=table
that ^tht+rel+subj++=that
almost ^rb+hdg+++=almost
touched ^xvbn+++xvbn+=touched
Jerton ^np+++??+=Jerton's.
's. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
thanked ^vbd+++xvbnx+=thanked
her ^pp$+pp3+++=her
hurriedly ^rb++++=hurriedly
and ^cc+phrs+++=and
nervously ^rb++++=nervously
for ^in++++=for
the ^ati++++=the
information ^nn+nom+++=information,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
some ^dti++++=some
inconsequent ^jj+atrb+++=inconsequent
remark ^nn++++=remark
about ^in++++=about
the ^ati++++=the
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
curious ^jj+atrb+++=curious
thing ^nn++++=thing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
young ^jj+atrb+++=young
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
those ^dt+dem+++=those
roses ^nns++++=roses
without ^in++++=without
an ^at++++=an
effort ^nn++++=effort
of ^in++++=of
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
to ^to++++=to
ask ^vbi++++=ask
me ^pp1o+pp1+++=me
my ^pp$+pp1+++=my
name ^nn++++=name
I ^pp1a+pp1+++=I
should ^md+nec+++=should
be ^vb+be+vrb++=be
utterly ^rb+amp+++=utterly
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
give ^vbi++++=give
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerton ^np+++??+=Jerton
had ^vb+hv+aux++=had
not ^xnot++not++=not
harboured ^vprf+++xvbn+=harboured
the ^ati++++=the
least ^rbt++++=least
intention ^nn+nom+++=intention
of ^in++++=of
extending ^xvbg+++xvbg+=extending
his ^pp$+pp3+++=his
thirst ^nn++++=thirst
for ^in++++=for
name ^nn++++=name-labels
- ^zz++++=EXTRAWORD
labels ^nns++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
neighbour ^nn++++=neighbour.
. ^zz++++=EXTRAWORD
After ^in++++=After
her ^pp3o+pp3+++=her
rather ^rb++++=rather
remarkable ^jj+atrb+++=remarkable
announcement ^nn+nom+++=announcement,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
say ^vbi+vpub+++=say
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
polite ^jj+atrb+++=polite
inquiry ^nn++++=inquiry.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
case ^nn++++=case
of ^in++++=of
partial ^jj+atrb+++=partial
loss ^nn++++=loss
of ^in++++=of
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
train ^nn++++=train
coming ^vwbg+++xvbg+=coming
down ^rp++++=down
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
ticket ^nn++++=ticket
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
Victoria ^np++++=Victoria
and ^cc++++=and
was ^vbd+bedz+aux++=was
bound ^vpsv++agls+xvbnx+=bound
for ^in++++=for
this ^dt+dem+++=this
place ^nn++++=place.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
five ^cd++++=five-pound
- ^zz++++=EXTRAWORD
pound ^nn++++=EXTRAWORD
notes ^nns++++=notes
and ^cc++++=and
a ^at++++=a
sovereign ^nn++++=sovereign
on ^rp++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
no ^at++++=no
visiting ^jj+atrb++xvbg+=visiting
cards ^nns++++=cards
or ^cc++++=or
any ^dti++++=any
other ^ap++++=other
means ^nn++++=means
of ^in++++=of
identification ^nn+nom+++=identification,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
idea ^nn++++=idea
as ^in++++=as
to ^in"++++=to
who ^whp+who+++=who
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
only ^rb+down+++=only
hazily ^jj++++=hazily
recollect ^vb+vprv+++=recollect
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
title ^nn++++=title;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Lady ^npt++++=Lady
Somebody ^pn++++=Somebody
beyond ^in++++=beyond
that ^dt+dem+++=that
my ^pp$+pp1+++=my
mind ^nn++++=mind
is ^vbz+bez+vrb++=is
a ^at++++=a
blank ^nn++++=blank."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hadn't
had ^vb+hv+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
any ^dti++++=any
luggage ^nn+nom+++=luggage
with ^in++++=with
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Jerton ^np+++??+=Jerton.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
this ^dt+dem+++=this
hotel ^nn++++=hotel
and ^cc++++=and
made ^vbd+++xvbn+=made
up ^rp++++=up
my ^pp$+pp1+++=my
mind ^nn++++=mind
to ^to++++=to
come ^vbi++++=come
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
hotel ^npl++++=hotel
porter ^nn++++=porter
who ^whp+rel+subj++=who
meets ^vbz++++=meets
the ^ati++++=the
trains ^nn++++=trains
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
any ^dti++++=any
luggage ^nn+nom+++=luggage
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
invent ^vb++++=invent
a ^at++++=a
dressing ^jj+++xvbg+=dressing-bag
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
and ^cc++++=and
dress ^nn++++=dress-basket;
- ^zz++++=EXTRAWORD
basket ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
always ^rb++splt++=always
pretend ^vb+vprv+++=pretend
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
astray ^rb++++=astray.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
he ^pp3a+pp3+++=he
emerged ^vbd+++xvbnx+=emerged
from ^in++++=from
a ^at++++=a
confused ^jj+atrb++xvbn+=confused
pile ^nn++++=pile
of ^in++++=of
luggage ^nn+nom+++=luggage
and ^cc++++=and
passengers ^nns+nom+++=passengers
with ^in++++=with
a ^at++++=a
dressingbag ^nn+++??+=dressingbag
and ^cc++++=and
dress ^nn++++=dress-basket
- ^zz++++=EXTRAWORD
basket ^nn++++=EXTRAWORD
labelled ^vwbn+++xvbn+=labelled
Kestrel ^np+++??+=Kestrel-Smith.
- ^zz++++=EXTRAWORD
smith ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
take ^vb++++=take
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
else ^rb+cnj+++=else
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerton ^np+++??+=Jerton
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
rather ^rb++++=rather
wondered ^vbd+vprv++xvbn+=wondered
what ^wdt+who+whcl++=what
the ^ati++++=the
lawful ^jj+atrb+++=lawful
owner ^nn++++=owner
of ^in++++=of
the ^ati++++=the
baggage ^nn+nom+++=baggage
would ^md+prd+++=would
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dreadful ^jj++++=dreadful
arriving ^jj+++xvbg+=arriving
at ^in++++=at
a ^at++++=a
strange ^jj+atrb+++=strange
hotel ^nn++++=hotel
with ^in++++=with
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Kestrel ^np+++??+=Kestrel-Smith,
- ^zz++++=EXTRAWORD
smith ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
worse ^jjr++++=worse
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
arrived ^vprf+++xvbnx+=arrived
without ^in++++=without
luggage ^nn+nom+++=luggage.
. ^zz++++=EXTRAWORD
Anyhow ^rb+cnj+++=Anyhow,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
causing ^vbg+++xvbg+=causing
trouble ^nn++++=trouble."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerton ^np+++??+=Jerton
had ^vb+hv+vrb++=had
visions ^nns++++=visions
of ^in++++=of
harassed ^jj+atrb++xvbn+=harassed
railway ^nn++++=railway
officials ^nns+nom+++=officials
and ^cc++++=and
distraught ^vbd+++xvbn+=distraught
Kestrel ^np+++??+=Kestrel-Smiths,
- ^zz++++=EXTRAWORD
smiths ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
no ^at++++=no
attempt ^nn++++=attempt
to ^to+ncmp+++=to
clothe ^vbi+++??+=clothe
his ^pp$+pp3+++=his
mental ^jj+atrb+++=mental
picture ^nn++++=picture
in ^in++++=in
words ^nns++++=words.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lady ^npt++++=lady
continued ^vbd+++xvbn+=continued
her ^pp$+pp3+++=her
story ^nn++++=story.
. ^zz++++=EXTRAWORD
" ^zz++++="Naturally,
naturally ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
my ^pp$+pp1+++=my
keys ^nns++++=keys
would ^md+prd+++=would
fit ^vb++++=fit
the ^ati++++=the
things ^nns++++=things,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
an ^at++++=an
intelligent ^jj+atrb+++=intelligent
page ^nn++++=page
boy ^nn++++=boy
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
my ^pp$+pp1+++=my
key ^nn++++=key-ring,
- ^zz++++=EXTRAWORD
ring ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
locks ^npl++++=locks
forced ^vwbn+++xvbn+=forced
in ^in++++=in
a ^at++++=a
twinkling ^nn++++=twinkling.
. ^zz++++=EXTRAWORD
Rather ^rb++++=Rather
too ^rb++++=too
intelligent ^jj++++=intelligent,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
boy ^nn++++=boy;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
probably ^rb++++=probably
end ^nn++++=end
in ^in++++=in
Dartmoor ^np+++??+=Dartmoor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kestrel ^np+++??+=Kestrel-Smith
- ^zz++++=EXTRAWORD
smith ^np++++=EXTRAWORD
toilet ^nn++++=toilet
tools ^nns++++=tools
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
up ^rp++++=up
to ^to++++=to
much ^ap++++=much,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
better ^jjr+pred+++=better
than ^in++++=than
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
sure ^jj++++=sure
that ^tht+jcmp+++=that
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
title ^nn++++=title,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jerton ^np+++??+=Jerton,
, ^zz++++=EXTRAWORD
" ^zz++++="
why ^wrb+who+++=why
not ^xnot++not++=not
get ^vb++++=get
hold ^nn++++=hold
of ^in++++=of
a ^at++++=a
peerage ^nn+nom+++=peerage
and ^cc++++=and
go ^vb++++=go
right ^jj++++=right
through ^in++++=through
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tried ^vbd+++xvbnx+=tried
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
skimmed ^vbd+++xvbnx+=skimmed
through ^in++++=through
the ^ati++++=the
list ^nn++++=list
of ^in++++=of
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
Lords ^nns++++=Lords
in ^in++++=in
' ^zz++++='Whitaker,'
whitaker ^np+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
but ^cc++++=but
a ^at++++=a
mere ^jjb+atrb+++=mere
printed ^jj+atrb++xvbn+=printed
string ^nn++++=string
of ^in++++=of
names ^nns++++=names
conveys ^vbz++++=conveys
awfully ^ql++++=awfully
little ^rb++++=little
to ^to++++=to
one ^pn++++=one,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
an ^at++++=an
army ^nn++++=army
officer ^nn++++=officer
and ^cc++++=and
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
your ^pp$+pp2+++=your
identity ^nn+nom+++=identity
you ^pp2+pp2+++=you
might ^md+pos+++=might
pore ^jj++++=pore
over ^in++++=over
the ^ati++++=the
Army ^nn++++=Army
List ^nn++++=List
for ^in++++=for
months ^nns++++=months
without ^in++++=without
finding ^xvbg+++xvbg+=finding
out ^rp+pl+++=out
who ^whp+who+++=who
your ^pp$+pp2+++=your
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
on ^in++++=on
another ^dt++++=another
tack ^nn++++=tack;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out
by ^in++++=by
various ^jj+atrb+++=various
little ^jj+atrb+++=little
tests ^nns++++=tests
who ^whp+rel+obj++=who
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
that ^dt+pdem+++=that
will ^md+prd+++=will
narrow ^vb++++=narrow
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
uncertainty ^nn++++=uncertainty
down ^in++++=down
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
have ^vb+hv+aux++=have
noticed ^vprf+++xvbnx+=noticed,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
lunching ^vbg+++xvbgx+=lunching
principally ^rb+down+++=principally
off ^in+pl+++=off
lobster ^nn+nom+++=lobster
Newburg ^np+++??+=Newburg."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerton ^np+++??+=Jerton
had ^vb+hv+aux++=had
not ^xnot++not++=not
ventured ^vprf+++xvbn+=ventured
to ^to+vcmp+++=to
notice ^vb++++=notice
anything ^pn++++=anything
of ^in++++=of
