Henry ^np++++=Henry
been ^vprf+ben+vrb+xvbnx+=been
desperately ^rb++++=desperately
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
not ^xnot++not++=not
minded ^vb+++xvbn+=minded
that ^tht+vcmp+++=that
except ^in++++=except
for ^in"++++=for
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
approved ^vprf+++xvbnx+=approved
of ^in++++=of
her ^pp$+pp3+++=her
giving ^vbg+++xvbg+=giving
up ^rb+phrv+++=up
every ^at++++=every
cent ^nnu"++++=cent
to ^to++++=to
meet ^vbi++++=meet
the ^ati++++=the
old ^jj+atrb+++=old
security ^nn+nom+++=security
debts ^nns++++=debts.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
him ^pp3o+pp3+++=him
off ^rp+pl+++=off
from ^in++++=from
his ^pp$+pp3+++=his
college ^nn++++=college
education ^nn+nom+++=education;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
better ^jjr+atrb+++=better
scholar ^nn++++=scholar
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
gone ^vbd+++xvbnx+=gone
to ^in++++=to
college ^npl++++=college.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
his ^pp$+pp3+++=his
mother ^nn++++=mother
comfortable ^jj++++=comfortable
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
up ^rb+phrv+++=up
a ^at++++=a
monument ^nn+nom+++=monument
over ^in++++=over
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
churchyard ^nn++++=churchyard,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
before ^in++++=before
to ^in++++=to
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
everyone ^pn++++=everyone
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
foolish ^jj+pred+++=foolish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
years ^nns++++=years
to ^to++++=to
pay ^vbi++++=pay
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
laid ^vprf+++xvbnx+=laid
up ^rp++++=up
the ^ati++++=the
money ^nn++++=money
and ^cc++++=and
got ^vbd+++xvbn+=got
a ^at++++=a
start ^nn++++=start,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
as ^ql++++=as
some ^dti++++=some
charitable ^jj+atrb+++=charitable
persons ^nns++++=persons
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
the ^ati++++=the
poor ^nn++++=poor.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
monuments ^nns+nom+++=monuments
were ^vbd+bed+aux++=were
put ^vpsv++agls+xvbnx+=put
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^rp++++=on
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
epitaphs ^nns+++??+=epitaphs
which ^whp+rel+subj++=which
recorded ^vbd+vpub++xvbn+=recorded
at ^rb++++=at
length ^rb"++++=length
the ^ati++++=the
virtues ^nns++++=virtues
of ^in++++=of
those ^dt+dem+++=those
to ^to++++=to
whom ^whp+wpor+++=whom
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
erected ^vpsv++agls+xvbnx+=erected,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
descent ^nn++++=descent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
Christians ^nn++++=Christians
and ^cc++++=and
Gentlepeople ^np+++??+=Gentlepeople.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^cd1++++=one
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
Floyd ^vb+++??+=Floyd
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+vrb++=have
shortened ^jj++++=shortened
the ^ati++++=the
epitaphs ^nns+++??+=epitaphs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
something ^pn++++=something.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
them ^pp3o+pp3+++=them
shortened ^jj++++=shortened,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
the ^ati++++=the
yoke ^nn++++=yoke
otherwise ^rb+cnj+++=otherwise
also ^rb++++=also.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
first ^od++++=first
things ^nns++++=things
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
after ^cs+sub+++=after
starting ^xvbg+++xvbg+=starting
in ^in++++=in
life ^nn++++=life
was ^vbd+bedz+vrb++=was
to ^in++++=to
fall ^nn++++=fall
in ^in++++=in
love ^nn++++=love
with ^in++++=with
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
beautiful ^jj++++=beautiful
and ^cc++++=and
a ^at++++=a
great ^jj+atrb+++=great
belle ^np++++=belle.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
sheer ^jjb+atrb+++=sheer
nonsense ^nn++++=nonsense
for ^in++++=for
Henry ^np++++=Henry
Floyd ^np+++??+=Floyd
to ^to++++=to
expect ^vbi+vprv+++=expect
her ^pp$+pp3+++=her
to ^to++++=to
marry ^vbi++++=marry
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
poor ^jj++++=poor
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
natural ^jj+pred+++=natural
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
led ^vbd+++xvbnx+=led
Floyd ^np+++??+=Floyd
to ^to++++=to
believe ^vbi+vprv+tht0++=believe
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
marry ^vb++++=marry
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
intend ^vb++++=intend
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
cost ^nn++++=cost
him ^pp3o+pp3+++=him
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
unhappiness ^nns+nom+++=unhappiness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
one ^cd1++++=one
word ^nn++++=word
against ^in++++=against
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
even ^rb++++=even
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
married ^vbd+++xvbnx+=married
a ^at++++=a
man ^nn++++=man
much ^ap++++=much
older ^jjr++++=older
than ^in++++=than
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
simply ^rb+cnj+++=simply,
, ^zz++++=EXTRAWORD
as ^ql++++=as
everyone ^pn++++=everyone
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
rich ^np++++=rich.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Floyd ^np+++??+=Floyd
ever ^rb++++=ever
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
treated ^vbd+++xvbnx+=treated
him ^pp3o+pp3+++=him
badly ^rb+cnj+++=badly,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
ever ^rb++++=ever
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
finally ^rb++++=finally
she ^pp3a+pp3+++=she
left ^vbd+++xvbnx+=left
her ^pp3o+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
ever ^rb++++=ever
ventured ^vbd+++xvbn+=ventured
to ^to+vcmp+++=to
discuss ^vbi++++=discuss
it ^pp3+it+++=it
before ^in++++=before
Floyd ^np+++??+=Floyd.
. ^zz++++=EXTRAWORD
Henry ^np++++=Henry
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered,
, ^zz++++=EXTRAWORD
- ^zz++++=-that
that ^dt+dem+++=EXTRAWORD
everyone ^pn++++=everyone
could ^md+pos+++=could
see ^vb+vprv+++=see
who ^whp+who+++=who
had ^vb+hv+vrb++=had
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
how ^wrb+who+whcl++=how
much ^rb++++=much.
. ^zz++++=EXTRAWORD
Generally ^rb+down+++=Generally
grave ^jj++++=grave
and ^cc+phrs+++=and
dreamy ^jj++++=dreamy;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
quiet ^nn++++=quiet
as ^ql++++=as
calm ^nn++++=calm
as ^ql++++=as
a ^at++++=a
dove ^nn++++=dove,
, ^zz++++=EXTRAWORD
as ^ql++++=as
fierce ^jj++++=fierce
as ^in++++=as
a ^at++++=a
hawk ^nn+++??+=hawk
when ^wrb+who+++=when
aroused ^vbd+++xvbn+=aroused;
; ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
always ^rb++++=always
in ^in++++=in
an ^at++++=an
eccentric ^jj+atrb+++=eccentric
orbit ^nn++++=orbit,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
few ^ap++++=few
understood ^vprf+++xvbn+=understood;
; ^zz++++=EXTRAWORD
flashing ^vbg+++xvbg+=flashing
out ^rp+pl+++=out
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
gleams ^nns++++=gleams
which ^whp+rel+obj++=which
some ^dti++++=some
said ^vbd+vpub++xvbn+=said
were ^vbd+bed+vrb++=were
sparks ^np++++=sparks
of ^in++++=of
genius ^nn++++=genius
but ^cc+cls+++=but
which ^whp+who+++=which
most ^ql+emph+++=most
people ^nns++++=people
said ^vbd+vpub++xvbn+=said
were ^vbd+bed+vrb++=were
mere ^jjb+atrb+++=mere
eccentricity ^nn+nom+++=eccentricity,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
sunk ^vprf+++xvbnx+=sunk
into ^in++++=into
a ^at++++=a
recluse ^nn++++=recluse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
this ^dt+dem+++=this
state ^nn++++=state
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
Her ^pp$+pp3+++=HER.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
afterward ^rb++++=afterward
referred ^vbd+++xvbn+=referred
to ^in++++=to
her ^pp$+pp3+++=her
so ^pn++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
at ^rb++++=at
a ^at++++=a
reception ^nn+nom+++=reception
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
upon ^in+ppvb+++=upon
her ^pp$+pp3+++=her
on ^in++++=on
a ^at++++=a
stairway ^nn++++=stairway.
. ^zz++++=EXTRAWORD
A ^at++++=A
casual ^jj+atrb+++=casual
word ^nn++++=word
about ^in++++=about
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
a ^at++++=a
smile ^nn++++=smile
flashed ^vbd+++xvbn+=flashed
from ^in++++=from
her ^pp$+pp3+++=her
large ^jj++++=large,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark,
, ^zz++++=EXTRAWORD
luminous ^jj+atrb+++=luminous
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
lighting ^nn++++=lighting
up ^rp++++=up
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Henry ^np++++=Henry
Floyd ^np+++??+=Floyd
awoke ^vbd+++xvbn+=awoke.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
case ^nn++++=case
of ^in++++=of
love ^nn++++=love
at ^rb++++=at
first ^rb"++++=first
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+dem+++=that
time ^nn++++=time
he ^pp3a+pp3+++=he
never ^rb++++=never
had ^vb+hv+vrb++=had
a ^at++++=a
thought ^nn+++xvbn+=thought
for ^in++++=for
anyone ^pn++++=anyone
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
least ^rbt++++=least
of ^in++++=of
all ^rb++++=all
for ^in++++=for
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
in ^in++++=in
her ^pp$+pp3+++=her
and ^cc++++=and
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blossomed ^vbd+++xvbnx+=blossomed
under ^in++++=under
her ^pp$+pp3+++=her
sympathy ^nn++++=sympathy
as ^in++++=as
a ^at++++=a
tree ^nn++++=tree
comes ^vbz++++=comes
out ^rp+pl+++=out
under ^in++++=under
the ^ati++++=the
sunshine ^nn++++=sunshine
and ^cc++++=and
soft ^jj+atrb+++=soft
breath ^nn++++=breath
of ^in++++=of
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
grew ^vbd+++xvbnx+=grew,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
broadened ^vbd+++xvbnx+=broadened.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
breath ^nn++++=breath
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
worshipped ^vbd+++xvbnx+=worshipped
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
one ^cd1++++=one
day ^nn++++=day
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died
- ^zz++++=-suddenly
suddenly ^rb++++=EXTRAWORD
- ^zz++++=-sank
sank ^vbd+++xvbn+=EXTRAWORD
down ^rp++++=down
and ^cc++++=and
died ^vbd+++xvbn+=died
as ^ql++++=as
a ^at++++=a
butterfly ^nn++++=butterfly
might ^md+pos+++=might
die ^vb++++=die,
, ^zz++++=EXTRAWORD
chilled ^xvbn+++xvbn+=chilled
by ^in++++=by
a ^at++++=a
blast ^nn++++=blast.
. ^zz++++=EXTRAWORD
With ^in++++=With
her ^pp$+pp3+++=her
Henry ^np++++=Henry
Floyd ^np+++??+=Floyd
buried ^vwbn+++xvbn+=buried
