As ^ql++++=As
care ^nn++++=care,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
not ^xnot++not++=not
so ^rb+emph+++=so
glad ^jj++++=glad
as ^ql++++=as
we ^pp1a+pp1+++=we
might ^md+pos+++=might
have ^vb+hv+aux++=have
anticipated ^vprf++tht0+xvbnx+=anticipated
we ^pp1a+pp1+++=we
should ^md+nec+++=should
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
rejoice ^vb++++=rejoice
secretly ^rb+cnj+++=secretly,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
unmanly ^jj+atrb+++=unmanly
weakness ^nns+nom+++=weakness
to ^to++++=to
admit ^vbi+vpub+tht0++=admit
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
even ^rb++++=even
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
Jane ^np++++=Jane
sing ^vb++++=sing
" ^zz++++="Daisy,"
daisy ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
fracture ^nn++++=fracture
of ^in++++=of
any ^dti++++=any
plate ^nn++++=plate
but ^cc++++=but
one ^pn++++=one
of ^in++++=of
Euphemia ^np++++=Euphemia's
's ^$++++=EXTRAWORD
best ^jjt++++=best
green ^jj+atrb+++=green
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
to ^to++++=to
learn ^vbi+vprv+++=learn
that ^tht+vcmp+++=that
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
brooding ^nn++++=brooding
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
to ^in++++=to
an ^at++++=an
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
longed ^vbd+++xvbn+=longed
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
Jane ^np++++=Jane's
's ^$++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
Jane ^np++++=Jane
was ^vbd+bedz+vrb++=was
always ^rb++++=always
very ^ql+amp+++=very
free ^jj++++=free
with ^in++++=with
her ^pp$+pp3+++=her
conversation ^nn+nom+++=conversation
to ^in++++=to
my ^pp$+pp1+++=my
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discoursed ^jj+++xvbn+=discoursed
admirably ^rb++++=admirably
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
on ^in++++=on
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
topics ^nns++++=topics--so
-- ^--+clp+++=EXTRAWORD
so ^ql++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
left ^vbd+++xvbn+=left
my ^pp$+pp1+++=my
study ^nn++++=study
door ^nn++++=door
open ^jj++++=open--our
-- ^--+clp+++=EXTRAWORD
our ^pp$+pp1+++=EXTRAWORD
house ^nn++++=house
is ^vbz+bez+vrb++=is
a ^at++++=a
small ^jj+atrb+++=small
one ^pn++++=one--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
partake ^vbi++++=partake
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^cs+sub+++=after
William ^np++++=William
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
always ^rb++++=always
William ^np++++=William,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
but ^cc++++=but
William ^np++++=William;
; ^zz++++=EXTRAWORD
William ^np++++=William
this ^dt+pdem+++=this
and ^cc++++=and
William ^np++++=William
that ^tht+rel+++=that;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
William ^np++++=William
was ^vbd+bedz+aux++=was
worked ^vpsv++agls+xvbnx+=worked
out ^rp+pl+++=out
and ^cc++++=and
exhausted ^jj+++xvbn+=exhausted
altogether ^nn+nom+++=altogether,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
William ^np++++=William
all ^abn++++=all
over ^in++++=over
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engagement ^nn+nom+++=engagement
lasted ^vbd+++xvbn+=lasted
altogether ^nn+nom+++=altogether
three ^cd++++=three
years ^nns++++=years;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
introduced ^vbd+++xvbn+=introduced
to ^in++++=to
William ^np++++=William,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
became ^vbd+++xvbn+=became
thus ^rb+cnj+++=thus
saturated ^jj+++xvbn+=saturated
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
secret ^nn++++=secret.
. ^zz++++=EXTRAWORD
For ^in++++=For
my ^pp$+pp1+++=my
part ^nn++++=part,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
street ^nn++++=street
corner ^npl++++=corner
where ^wrb+who+++=where
the ^ati++++=the
Rev ^np++++=Rev.
. ^zz++++=EXTRAWORD
Barnabas ^np+++??+=Barnabas
Baux ^np+++??+=Baux
used ^md"++pmd"++=used
to ^to++++=to
hold ^vb+vprv+++=hold
an ^at++++=an
open ^jj++++=open-air
- ^zz++++=EXTRAWORD
air ^nn++++=EXTRAWORD
service ^nn++++=service
after ^in++++=after
evensong ^nn++++=evensong
on ^in++++=on
Sundays ^nrs++++=Sundays.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Cupids ^np+++??+=Cupids
were ^vbd+bed+vrb++=were
wont ^nn++++=wont
to ^in++++=to
flit ^nn+++??+=flit
like ^in++++=like
moths ^nns++++=moths
round ^in++++=round
the ^ati++++=the
paraffin ^nn++++=paraffin
flare ^vb++++=flare
of ^in++++=of
that ^cs+sub+++=that
centre ^jjb++++=centre
of ^in++++=of
High ^jj+atrb+++=High
Church ^npl++++=Church
hymn ^nn++++=hymn-singing.
- ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fancy ^vb+vprv+tht0++=fancy
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
singing ^vbg+++xvbg+=singing
hymns ^nns++++=hymns
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
memory ^nn++++=memory
and ^cc++++=and
her ^pp$+pp3+++=her
imagination ^nn+nom+++=imagination,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
coming ^xvbg+++xvbg+=coming
home ^nr++++=home
to ^to++++=to
get ^vbi++++=get
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
William ^np++++=William
came ^vbd+++xvbn+=came
up ^rp++++=up
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Hello!"
hello ^rb+dspt+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hello
hello ^rb+dspt+++=EXTRAWORD
yourself ^ppl+pp2+++=yourself!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
etiquette ^nn+nom+++=etiquette
being ^xvbg+++xvbg+=being
satisfied ^vprf+++xvbn+=satisfied,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
proceeded ^vbd+++xvbnx+=proceeded
to ^to++++=to
talk ^vbi++++=talk
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Euphemia ^np+++??+=Euphemia
has ^vbz+hvz+vrb++=has
a ^at++++=a
reprehensible ^jj+atrb+++=reprehensible
way ^nn++++=way
of ^in++++=of
letting ^xvbg+++xvbg+=letting
her ^pp3o+pp3+++=her
servants ^nns+nom+++=servants
talk ^nn++++=talk
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
soon ^rb+tm+++=soon
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
_such_ ^nn+++??+=_such_
a ^at++++=a
respectable ^jj+atrb+++=respectable
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,"
'am," ^vb+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ignoring ^nvbg+++xvbg+=Ignoring
the ^ati++++=the
slur ^nn++++=slur
cast ^vbd+++xvbn+=cast
on ^in++++=on
her ^pp$+pp3+++=her
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
wife ^nn++++=wife
inquired ^vbd+++xvbn+=inquired
further ^jjb++++=further
about ^in++++=about
this ^dt+dem+++=this
William ^np++++=William.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
second ^od++++=second
porter ^nn++++=porter
at ^rb++++=at
Maynard ^np+++??+=Maynard's,
's, ^nn+++??+=EXTRAWORD
the ^ati++++=the
draper ^jjr+atrb+++=draper's,"
's," ^nn+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
gets ^vbz++++=gets
eighteen ^cd++++=eighteen
shillings ^nns+nom+++=shillings--nearly
-- ^--+clp+++=EXTRAWORD
nearly ^rb+down+++=EXTRAWORD
a ^at++++=a
pound ^nn++++=pound--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
week ^nn++++=week,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++0=m'm;
m ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
head ^jjb+atrb+++=head
porter ^nn++++=porter
leaves ^nns++++=leaves
he ^pp3a+pp3+++=he
will ^md+prd+++=will
be ^vb+be+vrb++=be
head ^jjb+atrb+++=head
porter ^nn++++=porter.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
relatives ^nns++++=relatives
are ^vb+ber+vrb++=are
quite ^rb++++=quite
superior ^jj+atrb+++=superior
people ^nns++++=people,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++0=m'm.
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
labouring ^vbg+++xvbg+=labouring
people ^nns++++=people
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
was ^vbd+bedz+vrb++=was
a ^at++++=a
greengrosher ^jjr++++=greengrosher,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++0=m'm,
m ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
churnor ^nn++++=churnor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
bankrup ^nn+++??+=bankrup'
' ^zz++++=EXTRAWORD
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
sisters ^nns+nom+++=sisters
is ^vbz+bez+vrb++=is
in ^in++++=in
a ^at++++=a
Home ^nr++++=Home
for ^in++++=for
the ^ati++++=the
Dying ^nvbg+++xvbg+=Dying.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
match ^nn++++=match
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++0=m'm,"
m ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane,
, ^zz++++=EXTRAWORD
" ^zz++++="me
me ^pp1o+pp1+++=EXTRAWORD
being ^vbg+beg++xvbg+=being
an ^at++++=an
orphan ^nn++++=orphan
girl ^nn++++=girl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
engaged ^vpsv++agls+xvbnx+=engaged
to ^in++++=to
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
my ^pp$+pp1+++=my
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
engaged ^vbd+++xvbn+=engaged,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am;
'am; ^nn+++??+=EXTRAWORD
but ^cc++++=but
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
saving ^vbg+++xvbgx+=saving
money ^nn++++=money
to ^to++++=to
buy ^vbi++++=buy
a ^at++++=a
ring ^nn++++=ring--hammyfist."
-- ^--+clp+++=EXTRAWORD
hammyfist ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Jane ^np++++=Jane,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
properly ^rb++splt++=properly
engaged ^vpsv++agls+xvbnx+=engaged
to ^in++++=to
him ^pp3o+pp3+++=him
you ^pp2+pp2+++=you
may ^md+pos+++=may
ask ^vb++++=ask
him ^pp3o+pp3+++=him
round ^in++++=round
here ^rn+pl+++=here
on ^in++++=on
Sunday ^nr++++=Sunday
afternoons ^nns++++=afternoons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
tea ^nn++++=tea
with ^in++++=with
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
for ^in++++=for
my ^pp$+pp1+++=my
Euphemia ^np+++??+=Euphemia
has ^vbz+hvz+vrb++=has
a ^at++++=a
motherly ^jj+atrb+++=motherly
conception ^nn+nom+++=conception
of ^in++++=of
her ^pp$+pp3+++=her
duty ^nn++++=duty
towards ^in++++=towards
her ^pp$+pp3+++=her
maid ^nn++++=maid-servants.
- ^zz++++=EXTRAWORD
servants ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
presently ^rb+tm+++=presently
the ^ati++++=the
amethystine ^nn+++??+=amethystine
ring ^nn++++=ring
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
worn ^xvbn+++xvbn+=worn
about ^in++++=about
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
even ^rb++++=even
with ^in++++=with
ostentation ^nn+nom+++=ostentation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jane ^np++++=Jane
developed ^vbd+++xvbn+=developed
a ^at++++=a
new ^jj+atrb+++=new
way ^nn++++=way
of ^in++++=of
bringing ^nn++++=bringing
in ^in++++=in
the ^ati++++=the
joint ^jjb++++=joint
so ^ql++++=so
that ^cs+sub+++=that
this ^dt+dem+++=this
gage ^nn++++=gage
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elder ^jjr++++=elder
Miss ^npt++++=Miss
Maitland ^np++++=Maitland
was ^vbd+bedz+aux++=was
aggrieved ^vpsv++by+xvbnx+=aggrieved
by ^in++++=by
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
my ^pp$+pp1+++=my
wife ^nn++++=wife
that ^tht+rel+obj++=that
servants ^nns+nom+++=servants
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
wear ^vbi++++=wear
rings ^nns++++=rings.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
wife ^nn++++=wife
looked ^vbd+++xvbn+=looked
it ^pp3+it+++=it
up ^rp++++=up
in ^in++++=in
_enquire ^nn+++??+=_Enquire
Within_ ^np+++??+=Within_
and ^cc++++=and
_mrs ^nns+++??+=_Mrs.
. ^zz++++=EXTRAWORD
Motherly ^np++++=Motherly's
's ^$++++=EXTRAWORD
Book ^nn++++=Book
of ^in++++=of
Household ^nn++++=Household
Management_ ^np+++??+=Management_,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
no ^at++++=no
prohibition ^nn+nom+++=prohibition.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Jane ^np++++=Jane
remained ^vbd+++xvbn+=remained
with ^in++++=with
this ^dt+dem+++=this
happiness ^nns+nom+++=happiness
added ^vbd+vpub++xvbn+=added
to ^in++++=to
her ^pp$+pp3+++=her
love ^nn++++=love.
. ^zz++++=EXTRAWORD
The ^ati++++=The
treasure ^nn++++=treasure
of ^in++++=of
Jane ^np++++=Jane's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
me ^vbi++++=me
to ^to++++=to
be ^vbi++vrb++=be
what ^wdt+who+++=what
respectable ^jj+atrb+++=respectable
people ^nns++++=people
call ^vb++++=call
a ^at++++=a
very ^ql+amp+++=very
deserving ^jj+atrb++xvbg+=deserving
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="William,
william ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,"
'am," ^vb+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane
one ^cd1++++=one
day ^nn++++=day
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
with ^in++++=with
ill ^jj++++=ill-concealed
- ^zz++++=EXTRAWORD
concealed ^jj+atrb++xvbn+=EXTRAWORD
complacency ^nn++++=complacency,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
counted ^vbd+++xvbnx+=counted
out ^rp+pl+++=out
the ^ati++++=the
beer ^nn++++=beer
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
" ^zz++++="William,
william ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,
'am, ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
teetotaller ^nn++++=teetotaller.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++0=m'm;
m ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
Smoking ^vbg+++xvbg+=Smoking,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,"
'am," ^vb+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
who ^whp+rel+subj++=who
reads ^vbz++++=reads
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
" ^zz++++="_do_
_do_ ^nn+++??+=EXTRAWORD
make ^vb++++=make
such ^abl++++=such
a ^at++++=a
dust ^nn++++=dust
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Beside ^in+pl+++=Beside
the ^ati++++=the
waste ^nn++++=waste
of ^in++++=of
money ^nn++++=money.
. ^zz++++=EXTRAWORD
_and_ ^nn+++??+=_And_
the ^ati++++=the
smell ^nn++++=smell.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it--some
-- ^--+clp+++=EXTRAWORD
some ^dti++++=EXTRAWORD
of ^in++++=of
them.. ^nn+++??+=them..."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
William ^np++++=William
was ^vbd+bedz+vrb++=was
at ^rb++++=at
first ^rb"++++=first
a ^at++++=a
rather ^rb++++=rather
shabby ^jj+atrb+++=shabby
young ^jj+atrb+++=young
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
ready ^jj++++=ready-made
- ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=EXTRAWORD
black ^np++++=black
coat ^nn++++=coat
school ^nn++++=school
of ^in++++=of
costume ^nn++++=costume.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
watery ^jj+atrb+++=watery
gray ^np++++=gray
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
complexion ^nn++++=complexion
appropriate ^jj++++=appropriate
to ^to+jcmp+++=to
the ^ati++++=the
brother ^nn++++=brother
of ^in++++=of
one ^pn++++=one
in ^in++++=in
a ^at++++=a
Home ^nr++++=Home
for ^in++++=for
the ^ati++++=the
Dying ^nvbg+++xvbg+=Dying.
. ^zz++++=EXTRAWORD
Euphemia ^np+++??+=Euphemia
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
fancy ^nn++++=fancy
him ^pp3o+pp3+++=him
very ^ql+amp+++=very
much ^ap++++=much,
, ^zz++++=EXTRAWORD
even ^rb++++=even
at ^rb++++=at
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eminent ^jj+atrb+++=eminent
respectability ^nn+nom+++=respectability
was ^vbd+bedz+aux++=was
vouched ^vpsv++agls+xvbnx+=vouched
for ^in++++=for
by ^in++++=by
an ^at++++=an
alpaca ^nn+++??+=alpaca
umbrella ^nn++++=umbrella,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
never ^rb++++=never
allowed ^vbd+++xvbn+=allowed
himself ^ppl+pp3+++=himself
to ^to++++=to
be ^vbi+vbi+aux++=be
parted ^vpsv++agls+xvbnx+=parted.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
goes ^vbz++++=goes
to ^in++++=to
chapel ^nn++++=chapel,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
papa ^npt++++=papa,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am----"
'am----" ^nn+++??+=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
_what_ ^nn+++??+=_what_,
, ^zz++++=EXTRAWORD
Jane ^np++++=Jane?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
papa ^npt++++=papa,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,
'am, ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
Church ^npl++++=Church:
