Hans ^np++++=Hans
windows ^nns++++=windows;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
panes ^nns++++=panes
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
horn ^nn++++=horn
or ^cc++++=or
bladder ^nn++++=bladder-skins,
- ^zz++++=EXTRAWORD
skins ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
glass ^nn++++=glass
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
too ^ql++++=too
dear ^uh++++=dear
to ^to++++=to
have ^vbi+vbi+aux++=have
glazed ^vprf+++xvbnx+=glazed
windows ^nns++++=windows
in ^in++++=in
every ^at++++=every
house ^nn++++=house.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
indeed ^qlp++++=indeed
that ^dt+dem+++=that
our ^pp$+pp1+++=our
grandfathers ^nns+nom+++=grandfathers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
great ^jj++++=great-grandfathers,
- ^zz++++=EXTRAWORD
grandfathers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
speak ^vb++++=speak
of ^in++++=of
those ^dt+dem+++=those
days ^nns++++=days
as ^in++++=as
" ^zz++++="olden
olden ^jj+atrb+++=EXTRAWORD
times ^nns++++=times;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
many ^ap++++=many
centuries ^nns++++=centuries
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
since ^in++++=since
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rich ^jj+atrb+++=rich
merchants ^nns+nom+++=merchants
in ^in++++=in
Bremen ^np+++??+=Bremen
and ^cc++++=and
Lubeck ^np+++??+=Lubeck,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
carried ^vbd+++xvbn+=carried
on ^in++++=on
trade ^nn++++=trade
in ^in++++=in
Copenhagen ^np++++=Copenhagen,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
reside ^vb++++=reside
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sent ^vbd+++xvbn+=sent
their ^pp$+pp3+++=their
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
dwelt ^vbd+++xvbn+=dwelt
in ^in++++=in
the ^ati++++=the
wooden ^jj+atrb+++=wooden
booths ^nns++++=booths
in ^in++++=in
the ^ati++++=the
Hauschen ^np+++??+=Hauschen
street ^nn++++=street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sold ^vbd+++xvbn+=sold
beer ^nn++++=beer
and ^cc++++=and
spices ^nns++++=spices.
. ^zz++++=EXTRAWORD
The ^ati++++=The
German ^jj+atrb+++=German
beer ^nn++++=beer
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
good ^jj++++=good,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
many ^ap++++=many
sorts ^nns++++=sorts
from ^in++++=from
Bremen ^np+++??+=Bremen,
, ^zz++++=EXTRAWORD
Prussia ^np++++=Prussia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brunswick ^np++++=Brunswick
and ^cc++++=and
quantities ^nns+nom+++=quantities
of ^in++++=of
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
spices ^nns++++=spices,
, ^zz++++=EXTRAWORD
saffron ^nn++++=saffron,
, ^zz++++=EXTRAWORD
aniseed ^nn++++=aniseed,
, ^zz++++=EXTRAWORD
ginger ^nn++++=ginger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
especially ^rb++++=especially
pepper ^nn++++=pepper;
; ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
pepper ^nn++++=pepper
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
the ^ati++++=the
chief ^jjb+atrb+++=chief
article ^nn++++=article
sold ^vwbn+++xvbn+=sold
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
at ^rb++++=at
last ^rb"++++=last
that ^cs+sub+++=that
the ^ati++++=the
German ^jj+atrb+++=German
clerks ^nns++++=clerks
in ^in++++=in
Denmark ^nn++++=Denmark
got ^vbd+++xvbn+=got
their ^pp$+pp3+++=their
nickname ^nn++++=nickname
of ^in++++=of
" ^zz++++="pepper
pepper ^nn++++=EXTRAWORD
gentry ^nn++++=gentry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
a ^at++++=a
condition ^nn+nom+++=condition
with ^in++++=with
these ^dt+dem+++=these
clerks ^nns++++=clerks
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
not ^xnot++not++=not
marry ^vb++++=marry;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
to ^to++++=to
be ^vbi+vbi+aux++=be
old ^jj+pred+++=old
had ^md"++pmd"++=had
to ^md+nec+++=to
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
to ^to++++=to
attend ^vbi++++=attend
to ^in++++=to
their ^pp$+pp3+++=their
own ^ap++++=own
comforts ^nns++++=comforts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
to ^in++++=to
light ^jj++++=light
their ^pp$+pp3+++=their
own ^ap++++=own
fires ^nns++++=fires,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
any ^dti++++=any
to ^in++++=to
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
aged ^jj++++=aged;
; ^zz++++=EXTRAWORD
lonely ^jj+atrb+++=lonely
old ^jj+atrb+++=old
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
with ^in++++=with
strange ^jj+atrb+++=strange
thoughts ^nns++++=thoughts
and ^cc++++=and
eccentric ^jj+atrb+++=eccentric
habits ^nns++++=habits.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
all ^abn++++=all
unmarried ^jj+atrb+++=unmarried
men ^nns++++=men,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
attained ^vprf+++xvbnx+=attained
a ^at++++=a
certain ^jj+atrb+++=certain
age ^nn++++=age,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
called ^vpsv++agls+xvbnx+=called,
, ^zz++++=EXTRAWORD
in ^in++++=in
Denmark ^np++++=Denmark,
, ^zz++++=EXTRAWORD
" ^zz++++="pepper
pepper ^nn++++=EXTRAWORD
gentry ^nn++++=gentry;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
this ^dt+pdem+++=this
must ^md+nec+++=must
be ^vb+be+aux++=be
remembered ^vpsv++by+xvbnx+=remembered
by ^in++++=by
all ^abn++++=all
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
" ^zz++++="pepper
pepper ^nn++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
called ^vpsv++agls+xvbnx+=called
in ^rb+phrv+++=in
England ^np++++=England,
, ^zz++++=EXTRAWORD
" ^zz++++="old
old ^jj+atrb+++=EXTRAWORD
bachelors ^nns++++=bachelors,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
often ^rb++splt++=often
made ^vpsv++agls+xvbnx+=made
a ^at++++=a
butt ^nn++++=butt
of ^in++++=of
ridicule ^nn++++=ridicule;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
told ^vpsv++agls+xvbnx+=told
to ^to+vcmp+++=to
put ^vbi++++=put
on ^rb+phrv+++=on
their ^pp$+pp3+++=their
nightcaps ^nns+++??+=nightcaps,
, ^zz++++=EXTRAWORD
draw ^vb++++=draw
them ^pp3o+pp3+++=them
over ^in++++=over
their ^pp$+pp3+++=their
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boys ^nns++++=boys
in ^in++++=in
Denmark ^np++++=Denmark
make ^vb++++=make
a ^at++++=a
song ^nn++++=song
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus:
: ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
sing ^vb++++=sing
about ^in++++=about
the ^ati++++=the
" ^zz++++="pepper
pepper ^nn++++=EXTRAWORD
gentleman ^nn+nom+++=gentleman;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
so ^ql++++=so
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
make ^vb++++=make
sport ^nn++++=sport
of ^in++++=of
the ^ati++++=the
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
bachelor ^nn++++=bachelor
and ^cc++++=and
his ^pp$+pp3+++=his
nightcap ^nn+++??+=nightcap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
really ^rb+emph+++=really
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
of ^in++++=of
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
cap ^nn++++=cap
that ^tht+rel+obj++=that
no ^at++++=no
one ^cd1++++=one
need ^nn++++=need
wish ^vb+vprv+++=wish
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
laugh ^nn++++=laugh
at ^rb++++=at.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+++=why
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
hear ^vb+vprv+++=hear
in ^in++++=in
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
In ^in++++=In
olden ^jj+atrb+++=olden
times ^nns++++=times,
, ^zz++++=EXTRAWORD
Hauschen ^np+++??+=Hauschen
Street ^nn++++=Street
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
paved ^jj+++xvbn+=paved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passengers ^nns+nom+++=passengers
would ^md+prd+++=would
stumble ^vb++++=stumble
out ^rp+pl+++=out
of ^in++++=of
one ^cd1++++=one
hole ^nn++++=hole
into ^in++++=into
another ^dt++++=another,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
generally ^rb+down+++=generally
do ^vb+do+vrb++=do
in ^in++++=in
unfrequented ^jj+atrb++xvbn+=unfrequented
highways ^nns++++=highways;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
street ^nn++++=street
was ^vbd+bedz+aux++=was
so ^ql++++=so
narrow ^vb++++=narrow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
booths ^nns++++=booths
leaning ^vwbg+++xvbg+=leaning
against ^in++++=against
each ^dt++++=each
other ^ap++++=other
were ^vbd+bed+aux++=were
so ^ql++++=so
close ^vb++++=close
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer
time ^nn++++=time
a ^at++++=a
sail ^nn++++=sail
would ^md+prd+++=would
be ^vb+be+aux++=be
stretched ^vpsv++agls+xvbnx+=stretched
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street
from ^in++++=from
one ^cd1++++=one
booth ^nn++++=booth
to ^in++++=to
another ^dt++++=another
opposite ^nn++++=opposite.
. ^zz++++=EXTRAWORD
At ^rb++++=At
these ^dt+dem+++=these
times ^nns++++=times
the ^ati++++=the
odor ^nn++++=odor
of ^in++++=of
the ^ati++++=the
pepper ^nn++++=pepper,
, ^zz++++=EXTRAWORD
saffron ^nn++++=saffron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ginger ^nn++++=ginger
became ^vbd+++xvbn+=became
more ^rbr++++=more
powerful ^jj++++=powerful
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
the ^ati++++=the
counter ^nn++++=counter,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
young ^jj+atrb+++=young
men ^nns++++=men.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clerks ^nns++++=clerks
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
all ^rb++++=all
old ^jj+atrb+++=old
boys ^nns++++=boys;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
dress ^nn++++=dress
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^to++++=to
see ^vbi+vprv+tht0++=see
old ^jj+atrb+++=old
men ^nns++++=men
represented ^vbd+++xvbn+=represented,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
wigs ^nns+++??+=wigs,
, ^zz++++=EXTRAWORD
nightcaps ^nns+++??+=nightcaps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knee ^nn++++=knee-breeches,
- ^zz++++=EXTRAWORD
breeches ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
coat ^nn++++=coat
and ^cc++++=and
waistcoat ^nn++++=waistcoat
buttoned ^vbd+++xvbn+=buttoned
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
portraits ^nns++++=portraits
of ^in++++=of
our ^pp$+pp1+++=our
great ^jj++++=great-grandfathers
- ^zz++++=EXTRAWORD
grandfathers ^nns+nom+++=EXTRAWORD
dressed ^vbd+++xvbn+=dressed
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
" ^zz++++="pepper
pepper ^nn++++=EXTRAWORD
gentlemen ^nns++++=gentlemen"
" ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
money ^nn++++=money
to ^to++++=to
spare ^vbi++++=spare
to ^to++++=to
have ^vbi++vrb++=have
their ^pp$+pp3+++=their
portraits ^nns++++=portraits
taken ^vwbn+++xvbn+=taken,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
a ^at++++=a
very ^ql+amp+++=very
interesting ^jj+atrb+++=interesting
picture ^nn++++=picture
for ^in++++=for
us ^pp1o+pp1+++=us
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
taken ^vprf+++xvbn+=taken
as ^ql++++=as
he ^pp3a+pp3+++=he
appeared ^vbd+seem++xvbnx+=appeared
standing ^vbg+++xvbg+=standing
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
counter ^nn++++=counter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
going ^vbg+++xvbg+=going
to ^in++++=to
church ^nn++++=church,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
on ^in++++=on
holidays ^nns++++=holidays.
. ^zz++++=EXTRAWORD
On ^in++++=On
these ^dt+dem+++=these
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
wore ^vbd+++xvbnx+=wore
high ^jj++++=high-crowned,
- ^zz++++=EXTRAWORD
crowned ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
broad ^jj++++=broad-brimmed
- ^zz++++=EXTRAWORD
brimmed ^jj+atrb++xvbn+=EXTRAWORD
hats ^nns++++=hats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
a ^at++++=a
younger ^jjr+atrb+++=younger
clerk ^nn++++=clerk
would ^md+prd+++=would
stick ^vb++++=stick
a ^at++++=a
feather ^nn++++=feather
in ^in++++=in
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woollen ^jj+atrb+++=woollen
shirt ^nn++++=shirt
was ^vbd+bedz+aux++=was
concealed ^vpsv++by+xvbnx+=concealed
by ^in++++=by
a ^at++++=a
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
linen ^nn++++=linen
collar ^nn++++=collar;
; ^zz++++=EXTRAWORD
the ^ati++++=the
close ^jj+atrb+++=close
jacket ^nn++++=jacket
was ^vbd+bedz+aux++=was
buttoned ^vpsv++agls+xvbnx+=buttoned
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cloak ^nn++++=cloak
hung ^vbd+++xvbn+=hung
loosely ^rb++++=loosely
over ^in++++=over
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
trousers ^nns+nom+++=trousers
were ^vbd+bed+aux++=were
tucked ^vpsv++agls+xvbnx+=tucked
into ^in++++=into
the ^ati++++=the
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
tipped ^xvbn+++xvbn+=tipped
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
clerks ^nns++++=clerks
wore ^vbd+++xvbn+=wore
no ^at++++=no
stockings ^nns++++=stockings.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
generally ^rb+down+++=generally
stuck ^vbd+++xvbn+=stuck
a ^at++++=a
table ^nn++++=table-knife
- ^zz++++=EXTRAWORD
knife ^nn++++=EXTRAWORD
and ^cc++++=and
spoon ^nn++++=spoon
in ^in++++=in
their ^pp$+pp3+++=their
girdles ^nns+++??+=girdles,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
a ^at++++=a
larger ^jjr+atrb+++=larger
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
protection ^nn+nom+++=protection
to ^in++++=to
themselves ^ppls+pp3+++=themselves;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
a ^at++++=a
weapon ^nn++++=weapon
was ^vbd+bedz+vrb++=was
often ^rb++++=often
very ^ql+amp+++=very
necessary ^jj++++=necessary.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
this ^dt+dem+++=this
fashion ^nn++++=fashion
was ^vbd+bedz+aux++=was
Anthony ^np++++=Anthony
dressed ^vbd+++xvbn+=dressed
on ^in++++=on
holidays ^nns++++=holidays
and ^cc++++=and
festivals ^nns+nom+++=festivals,
, ^zz++++=EXTRAWORD
excepting ^in++++=excepting
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
a ^at++++=a
high ^jj++++=high-crowned
- ^zz++++=EXTRAWORD
crowned ^vprf+++xvbn+=EXTRAWORD
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
bonnet ^nn++++=bonnet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
it ^pp3+it+++=it
a ^at++++=a
knitted ^jj+atrb++xvbn+=knitted
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
a ^at++++=a
regular ^jj+atrb+++=regular
nightcap ^nn+++??+=nightcap,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
so ^cs+sub+++=so
accustomed ^vprf+++xvbn+=accustomed
that ^dt+dem+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
always ^rb++++=always
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
two ^cd++++=two,
, ^zz++++=EXTRAWORD
nightcaps ^nns+++??+=nightcaps
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
Anthony ^np++++=Anthony
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
oldest ^nn++++=oldest
of ^in++++=of
the ^ati++++=the
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
the ^ati++++=the
subject ^nn++++=subject
for ^in++++=for
a ^at++++=a
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
as ^ql++++=as
thin ^jj++++=thin
as ^in++++=as
a ^at++++=a
lath ^nn+++??+=lath,
, ^zz++++=EXTRAWORD
wrinkled ^vwbn+++xvbn+=wrinkled
round ^rb++++=round
the ^ati++++=the
mouth ^nn++++=mouth
and ^cc++++=and
eyes ^nns++++=eyes,
