Rosicrucian ^np+++??+=Rosicrucian
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
a ^at++++=a
regiment ^nn+nom+++=regiment;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
do ^vbi++++=do
was ^vbd+bedz+aux++=was
to ^to++++=to
escape ^vbi++++=escape
from ^in++++=from
his ^pp$+pp3+++=his
regiment ^nn+nom+++=regiment
and ^cc++++=and
live ^vb++++=live
in ^in++++=in
Simla ^np+++??+=Simla
forever ^rb++++=forever
and ^cc+phrs+++=and
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
preference ^nn+nom+++=preference
for ^in++++=for
anything ^pn++++=anything
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
a ^at++++=a
good ^jj+atrb+++=good
horse ^nn++++=horse
and ^cc++++=and
a ^at++++=a
nice ^jj+atrb+++=nice
partner ^nn++++=partner.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
could ^md+pos+++=could
do ^vb+do+vrb++=do
everything ^pn++++=everything
well ^rb++++=well;
; ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
belief ^nn++++=belief
when ^wrb+who+++=when
you ^pp2+pp2+++=you
hold ^vb+vprv+++=hold
it ^pp3+it+++=it
with ^in++++=with
all ^abn++++=all
your ^pp$+pp2+++=your
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
clever ^jj+pred+++=clever
in ^in++++=in
many ^ap++++=many
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
good ^jj++++=good
to ^to+jcmp+++=to
look ^vbi++++=look
at ^rb+cnj+++=at,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
made ^xvbn+++xvbn+=made
people ^nns++++=people
round ^rp++++=round
him ^pp3o+pp3+++=him
comfortable ^jj++++=comfortable--even
-- ^--+clp+++=EXTRAWORD
even ^rb++++=EXTRAWORD
in ^in++++=in
Central ^jj+atrb+++=Central
India ^np++++=India.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
up ^in+cmpx+++=up
to ^in++++=to
Simla ^np+++??+=Simla,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
clever ^jj+pred+++=clever
and ^cc+phrs+++=and
amusing ^jj++++=amusing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gravitated ^vbd+++xvbnx+=gravitated
naturally ^rb++++=naturally
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
could ^md+pos+++=could
forgive ^vb++++=forgive
everything ^pn++++=everything
but ^cc++++=but
stupidity ^nn+nom+++=stupidity.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
great ^jj+atrb+++=great
service ^nn++++=service
by ^in++++=by
changing ^xvbg+++xvbg+=changing
the ^ati++++=the
date ^nn++++=date
on ^in++++=on
an ^at++++=an
invitation ^nn+nom+++=invitation-card
- ^zz++++=EXTRAWORD
card ^nn++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
big ^jj+atrb+++=big
dance ^nn++++=dance
which ^whp+rel+obj++=which
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
attend ^vbi++++=attend,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
quarrelled ^vprf+++xvbnx+=quarrelled
with ^in++++=with
the ^ati++++=the
A. ^np+++??+=A.-D.-C.,
- ^zz++++=EXTRAWORD
d. ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
care ^nn++++=care,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
mean ^jj+atrb+++=mean
man ^nn++++=man,
, ^zz++++=EXTRAWORD
to ^to++++=to
invite ^vbi++++=invite
her ^pp$+pp3+++=her
to ^in++++=to
a ^at++++=a
small ^jj+atrb+++=small
dance ^nn++++=dance
on ^in++++=on
the ^ati++++=the
6 ^zz++++=6
th ^zz++++=th
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
big ^jj+atrb+++=big
Ball ^nn++++=Ball
of ^in++++=of
the ^ati++++=the
26 ^cd++++=26
th ^zz++++=th.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
clever ^jj+atrb+++=clever
piece ^nn++++=piece
of ^in++++=of
forgery ^nn+nom+++=forgery;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
showed ^vbd+vprv++xvbn+=showed
the ^ati++++=the
A. ^np+++??+=A.-D.-C.
- ^zz++++=EXTRAWORD
d. ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
invitation ^nn+nom+++=invitation-card,
- ^zz++++=EXTRAWORD
card ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chaffed ^jj+++xvbn+=chaffed
him ^pp3o+pp3+++=him
mildly ^rb+down+++=mildly
for ^in++++=for
not ^xnot++not++=not
better ^jjr++++=better
managing ^jj+++xvbg+=managing
his ^pp$+pp3+++=his
vendettas ^nns+++??+=vendettas,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
thought ^nn+++xvbn+=thought
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
mistake ^nn++++=mistake;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and--which
-- ^--+clp+++=EXTRAWORD
which ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
wise ^jj+pred+++=wise--realized
-- ^--+clp+++=EXTRAWORD
realized ^nn+++xvbn+=EXTRAWORD
that ^tht+ncmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
use ^nn++++=use
to ^to++++=to
fight ^vbi++++=fight
with ^in++++=with
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
grateful ^jj+pred+++=grateful
to ^to+jcmp+++=to
Tarrion ^vb+++??+=Tarrion
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
could ^md+pos+++=could
do ^vb+do+vrb++=do
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
simply ^rb++++=simply:
: ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
Freelance ^np+nom++??+=Freelance
up ^rp++++=up
here ^rn+pl+++=here
on ^in++++=on
leave ^vb++++=leave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
lookout ^nn++++=lookout
for ^in++++=for
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
can ^md+pos+++=can
loot ^vb++++=loot.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
square ^jj+atrb+++=square
inch ^nn++++=inch
of ^in++++=of
interest ^nn++++=interest
in ^in++++=in
all ^abn++++=all
Simla ^np+++??+=Simla.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+aux++=isn't
n't ^xnot++not++0=EXTRAWORD
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
any ^dti++++=any
man ^nn++++=man
with ^in++++=with
an ^at++++=an
appointment ^nn+nom+++=appointment
in ^in++++=in
his ^pp$+pp3+++=his
gift ^nn++++=gift,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
want ^vb++++=want
an ^at++++=an
appointment ^nn+nom+++=appointment--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
good ^jj++++=good,
, ^zz++++=EXTRAWORD
sound ^jj+atrb+++=sound,
, ^zz++++=EXTRAWORD
pukka ^jj+atrb+++=pukka
one ^pn++++=one.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
anything ^pn++++=anything
you ^pp2+pp2+++=you
turn ^vb++++=turn
yourself ^ppl+pp2+++=yourself
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
help ^nn++++=help
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
thought ^vbd+++xvbn+=thought
for ^in++++=for
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vbd+++xvbn+=passed
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
her ^pp$+pp3+++=her
riding ^nvbg+++xvbg+=riding-whip
- ^zz++++=EXTRAWORD
whip ^nn++++=EXTRAWORD
through ^in++++=through
her ^pp$+pp3+++=her
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
custom ^nn++++=custom
when ^wrb+who+++=when
thinking ^nvbg+++xvbg+=thinking.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
sparkled ^vbd+++xvbn+=sparkled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
said: ^nn+++??+=said:--"I
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
shook ^vbd+++xvbnx+=shook
hands ^nns++++=hands
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Tarrion ^np+++??+=Tarrion,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
perfect ^jj+atrb+++=perfect
confidence ^nn+nom+++=confidence
in ^in++++=in
this ^dt+dem+++=this
great ^jj+atrb+++=great
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
no ^at++++=no
further ^jjb+atrb+++=further
thought ^nn+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
business ^nns+nom+++=business
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Except ^in++++=Except
to ^to++++=to
wonder ^vbi++++=wonder
what ^wdt+who+++=what
sort ^nn++++=sort
of ^in++++=of
an ^at++++=an
appointment ^nn+nom+++=appointment
he ^pp3a+pp3+++=he
would ^md+prd+++=would
win ^vb++++=win.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
began ^vbd+++xvbn+=began
calculating ^nvbg+++xvbg+=calculating
the ^ati++++=the
prices ^nns++++=prices
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
Heads ^nns++++=Heads
of ^in++++=of
Departments ^nns+nom+++=Departments
and ^cc++++=and
Members ^nns+nom+++=Members
of ^in++++=of
Council ^nn++++=Council
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^ql++++=more
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
the ^ati++++=the
more ^ql++++=more
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
her ^pp3o+pp3+++=her
heart ^nn++++=heart
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
game ^nn++++=game
and ^cc++++=and
it ^pp3+it+++=it
amused ^vbd+++xvbn+=amused
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
a ^at++++=a
Civil ^jj+atrb+++=Civil
List ^nn++++=List
and ^cc++++=and
ran ^vpsv++agls+xvbn+=ran
over ^rb+phrv+++=over
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
the ^ati++++=the
appointments ^nns+nom+++=appointments.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
some ^dti++++=some
beautiful ^jj+atrb+++=beautiful
appointments ^nns+nom+++=appointments
in ^in++++=in
the ^ati++++=the
Civil ^jj+atrb+++=Civil
List ^nn++++=List.
. ^zz++++=EXTRAWORD
Eventually ^rb+cnj+++=Eventually,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
decided ^vbd+vprv+tht0+xvbnx+=decided
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Tarrion ^np+++??+=Tarrion
was ^vbd+bedz+vrb++=was
too ^ql++++=too
good ^jj++++=good
for ^in++++=for
the ^ati++++=the
Political ^jj+atrb+++=Political
Department ^nn+nom+++=Department,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
better ^jjr++++=better
begin ^vb++++=begin
by ^in++++=by
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
him ^pp3o+pp3+++=him
in ^in++++=in
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
were ^vbd+bed+aux++=were
her ^pp$+pp3+++=her
own ^ap++++=own
plans ^nns++++=plans
to ^to+ncmp+++=to
this ^dt+dem+++=this
end ^nn++++=end,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
matter ^nn++++=matter
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
for ^in++++=for
Luck ^nn++++=Luck
or ^cc++++=or
Fate ^nn++++=Fate
played ^vbd+++xvbn+=played
into ^in++++=into
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
but ^cc++++=but
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
events ^nns++++=events
and ^cc++++=and
take ^vb++++=take
the ^ati++++=the
credit ^nn++++=credit
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
All ^abn++++=All
Viceroys ^np+++??+=Viceroys,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
first ^od++++=first
come ^vb++++=come
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
pass ^vb++++=pass
through ^in++++=through
the ^ati++++=the
" ^zz++++="Diplomatic
diplomatic ^jj+atrb+++=EXTRAWORD
Secrecy ^nn++++=Secrecy"
" ^zz++++=EXTRAWORD
craze ^nn++++=craze.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
wears ^vbz++++=wears
off ^rp+pl+++=off
in ^in++++=in
time ^nn++++=time;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
all ^abn++++=all
catch ^vb++++=catch
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
new ^jj+pred+++=new
to ^in++++=to
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
particular ^jj+atrb+++=particular
Viceroy ^npt++++=Viceroy
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
suffering ^vbg+++xvbgx+=suffering
from ^in++++=from
the ^ati++++=the
complaint ^nn++++=complaint
just ^rb+emph+++=just
then ^rn+tm+++=then--this
-- ^--+clp+++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
Lord ^npt++++=Lord
Dufferin ^np+++??+=Dufferin
ever ^rb++++=ever
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Lord ^npt++++=Lord
Ripon ^np+++??+=Ripon
from ^in++++=from
the ^ati++++=the
bosom ^nn++++=bosom
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
Church ^nn++++=Church--had
-- ^--+clp+++=EXTRAWORD
had ^vb+hv+vrb++=EXTRAWORD
it ^pp3+it+++=it
very ^ql+amp+++=very
badly ^rb++++=badly;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
result ^nn++++=result
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
men ^nns++++=men
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
new ^jj+pred+++=new
to ^to++++=to
keeping ^vbi++++=keeping
official ^jj+atrb+++=official
secrets ^nns++++=secrets
went ^vbd+++xvbn+=went
about ^in+ppvb+++=about
looking ^xvbg+++xvbg+=looking
unhappy ^jj++++=unhappy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Viceroy ^npt++++=Viceroy
plumed ^jj++++=plumed
himself ^ppl+pp3+++=himself
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
instilled ^vwbn+++xvbn+=instilled
notions ^nns+nom+++=notions
of ^in++++=of
reticence ^nn+nom+++=reticence
into ^in++++=into
his ^pp$+pp3+++=his
Staff ^nn++++=Staff.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Supreme ^jj+atrb+++=Supreme
Government ^nn+nom+++=Government
have ^vb+hv+vrb++=have
a ^at++++=a
careless ^jj+atrb+++=careless
custom ^nn++++=custom
of ^in++++=of
committing ^xvbg+++xvbg+=committing
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
to ^to++++=to
printed ^vbi++++=printed
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
papers ^nns++++=papers
deal ^nn++++=deal
with ^in++++=with
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
things ^nns++++=things--from
-- ^--+clp+++=EXTRAWORD
from ^in++++=EXTRAWORD
the ^ati++++=the
payment ^nn+nom+++=payment
of ^in++++=of
Rs ^np+++??+=Rs.
. ^zz++++=EXTRAWORD
200 ^cd++++=200
to ^in++++=to
a ^at++++=a
" ^zz++++="secret
secret ^nn++++=EXTRAWORD
service ^nn++++=service"
" ^zz++++=EXTRAWORD
native ^jj++++=native,
, ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
rebukes ^vbi++++=rebukes
administered ^xvbn+++xvbn+=administered
to ^in++++=to
Vakils ^np+++??+=Vakils
and ^cc++++=and
Motamids ^np+++??+=Motamids
of ^in++++=of
Native ^jj+atrb+++=Native
States ^nns++++=States,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rather ^rb++++=rather
brusque ^jj+atrb+++=brusque
letters ^nns+nom+++=letters
to ^in++++=to
Native ^jj+atrb+++=Native
Princes ^nns++++=Princes,
, ^zz++++=EXTRAWORD
telling ^jj+++xvbg+=telling
them ^pp3o+pp3+++=them
to ^to++++=to
put ^vbi++++=put
their ^pp$+pp3+++=their
houses ^nns++++=houses
in ^in++++=in
order ^nn++++=order,
, ^zz++++=EXTRAWORD
to ^to++++=to
refrain ^vbi++++=refrain
from ^in++++=from
kidnapping ^nn++++=kidnapping
women ^nns++++=women,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
filling ^nvbg+++xvbg+=filling
offenders ^nns+nom+++=offenders
with ^in++++=with
pounded ^vbd+++xvbn+=pounded
red ^jj+atrb+++=red
pepper ^nn++++=pepper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eccentricities ^nns+nom+++=eccentricities
of ^in++++=of
that ^dt+dem+++=that
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
things ^nns++++=things
could ^md+pos+++=could
never ^rb++++=never
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
public ^jj++++=public,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Native ^jj+atrb+++=Native
Princes ^nns++++=Princes
never ^rb++++=never
err ^vb++++=err
officially ^rb+cnj+++=officially,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
States ^nns++++=States
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
officially ^rb+cnj+++=officially,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
administered ^vbd+++xvbn+=administered
as ^ql++++=as
Our ^pp$+pp1+++=Our
territories ^nns++++=territories.
. ^zz++++=EXTRAWORD
