Old ^jj+atrb+++=OLD
respectfully ^rb++++=respectfully
solicits ^vbz+++??+=solicits
the ^ati++++=the
favour ^nn++++=favour
of ^in++++=of
your ^pp$+pp2+++=your
vote ^nn++++=vote
and ^cc++++=and
influence ^nn+nom+++=influence
at ^rb++++=at
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
election ^nn+nom+++=election
in ^in++++=in
the ^ati++++=the
Royal ^jj+atrb+++=Royal
Exchange ^nn++++=Exchange
Ward ^nn++++=Ward.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor
'connor ^nn+++??+=EXTRAWORD
'd ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
engaged ^vpsv++by+xvbnx+=engaged
by ^in++++=by
Tierney ^np++++=Tierney's
's ^$++++=EXTRAWORD
agent ^nn++++=agent
to ^in++++=to
canvass ^nns+++??+=canvass
one ^cd1++++=one
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
ward ^nn++++=ward
but ^cc++++=but,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
inclement ^nn+nom+++=inclement
and ^cc++++=and
his ^pp$+pp3+++=his
boots ^nns++++=boots
let ^vbd+++xvbn+=let
in ^rb+phrv+++=in
the ^ati++++=the
wet ^nn++++=wet,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spent ^vbd+++xvbnx+=spent
a ^at++++=a
great ^jj+atrb+++=great
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
sitting ^vwbg+++xvbg+=sitting
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire
in ^in++++=in
the ^ati++++=the
Committee ^nn+nom+++=Committee
Room ^nn++++=Room
in ^in++++=in
Wicklow ^np+++??+=Wicklow
Street ^nn++++=Street
with ^in++++=with
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
caretaker ^nn+nom+++=caretaker.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sitting ^vbg+++xvbgx+=sitting
thus ^rb+cnj+++=thus
since ^cs+sub+++=since
e ^zz++++=e
short ^jj+atrb+++=short
day ^nn++++=day
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
dark ^jj++++=dark.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sixth ^od++++=sixth
of ^in++++=of
October ^nr++++=October,
, ^zz++++=EXTRAWORD
dismal ^jj++++=dismal
and ^cc++++=and
cold ^nn++++=cold
out ^rp+pl+++=out
of ^in++++=of
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor
'connor ^nn+++??+=EXTRAWORD
tore ^vbd+++xvbn+=tore
a ^at++++=a
strip ^nn++++=strip
off ^in+pl+++=off
the ^ati++++=the
card ^nn++++=card
and ^cc++++=and,
, ^zz++++=EXTRAWORD
lighting ^nn++++=lighting
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
lit ^j+++xvbn+=lit
his ^pp$+pp3+++=his
cigarette ^nn+nom+++=cigarette.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^rb++++=so
the ^ati++++=the
flame ^nn++++=flame
lit ^vbd+++xvbn+=lit
up ^rp++++=up
a ^at++++=a
leaf ^nn++++=leaf
of ^in++++=of
dark ^jj+atrb+++=dark
glossy ^jj+atrb+++=glossy
ivy ^nn++++=ivy
the ^ati++++=the
lapel ^nn++++=lapel
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
attentively ^jj++++=attentively
and ^cc++++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
up ^rb+phrv+++=up
the ^ati++++=the
piece ^nn++++=piece
of ^in++++=of
cardboard ^nn++++=cardboard
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
fan ^vbi++++=fan
the ^ati++++=the
fire ^nn++++=fire
slowly ^rb++++=slowly
while ^cs+sub+++=while
his ^pp$+pp3+++=his
companion ^nn++++=companion
smoked ^vbd+++xvbn+=smoked.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
continuing ^vbg+++xvbg+=continuing,
, ^zz++++=EXTRAWORD
" ^zz++++="it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
hard ^jj++++=hard
to ^to+jcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
way ^nn++++=way
to ^to++++=to
bring ^vbi++++=bring
up ^rb+phrv+++=up
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
who ^whp+who+whq++=who'd
'd ^md+prd+aux++0=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
turn ^nn++++=turn
out ^rp+pl+++=out
like ^in++++=like
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sent ^vbd+++xvbnx+=sent
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
Christian ^jj+atrb+++=Christian
Brothers ^nns+nom+++=Brothers
and ^cc++++=and
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
could ^md+pos+++=could
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
boosing ^jj+++xvbg+=boosing
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
someway ^jj+++??+=someway
decent ^jj++++=decent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
replaced ^vbd+++xvbnx+=replaced
the ^ati++++=the
cardboard ^nn++++=cardboard
wearily ^rb++++=wearily.
. ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
now ^rn+tm+++=now
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
change ^nn++++=change
his ^pp$+pp3+++=his
tune ^nn++++=tune
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
stick ^nn++++=stick
to ^in++++=to
his ^pp$+pp3+++=his
back ^jjb++++=back
and ^cc++++=and
beat ^nn+++xvbn+=beat
him ^pp3o+pp3+++=him
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
could ^md+pos+++=could
stand ^vb++++=stand
over ^rp++++=over
him ^pp3o+pp3+++=him
- ^zz++++=-as
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
many ^ap++++=many
a ^at++++=a
time ^nn++++=time
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cocks ^nns++++=cocks
him ^pp3o+pp3+++=him
up ^rb+phrv+++=up
with ^in+ppvb+++=with
this ^dt+pdem+++=this
and ^cc++++=and
that... ^nn+++??+=that...."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
ruins ^nns++++=ruins
children ^nns++++=children,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor.
'connor. ^nn+++??+=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
be ^vbi++vrb++=be
sure ^jj+pred+++=sure
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
little ^ap++++=little
thanks ^rb+dspt+++=thanks
you ^pp2+pp2+++=you
get ^vb++++=get
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
impudence ^nn+nom+++=impudence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
takes ^vbz++++=takes
th ^zz++++=th'upper
'upper ^jjr+atrb+++0=EXTRAWORD
hand ^nn++++=hand
of ^in++++=of
me ^pp1o+pp1+++=me
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
sees ^vbz+vprv+tht0++=sees
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
a ^at++++=a
sup ^nn++++=sup
taken ^vwbn+++xvbn+=taken.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
world ^nn++++=world
coming ^vwbg+++xvbg+=coming
to ^to++++=to
when ^wrb+who+++=when
sons ^nns++++=sons
speaks ^vbz++++=speaks
that ^cs+sub+++=that
way ^nn++++=way
to ^in++++=to
their ^pp$+pp3+++=their
fathers ^nns+nom+++=fathers?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
age ^nn++++=age
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor.
'connor. ^nn+++??+=EXTRAWORD
" ^zz++++="Nineteen,"
nineteen ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
him ^pp3o+pp3+++=him
to ^in++++=to
something ^pn++++=something?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sure,
sure ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
am ^vb+bem+vrb++=amn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
done ^vprf+++xvbn+=done
at ^rb++++=at
the ^ati++++=the
drunken ^jj+atrb+++=drunken
bowsy ^nn+++??+=bowsy
ever ^rb++++=ever
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
school ^npl++++=school?
? ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
get ^vb++++=get
a ^at++++=a
job ^nn++++=job
for ^in++++=for
yourself ^ppl+pp2+++=yourself.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
worse ^jjr++++=worse
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
a ^at++++=a
job ^nn++++=job;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
drinks ^nns++++=drinks
it ^pp3+it+++=it
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor
'connor ^nn+++??+=EXTRAWORD
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head
in ^in++++=in
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
fell ^vbd+++xvbn+=fell
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
into ^in++++=into
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
called ^vbd+++xvbn+=called
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
" ^zz++++="Hello!
hello ^rb+dspt+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
a ^at++++=a
Freemason ^np++++=Freemason's
's ^$++++=EXTRAWORD
meeting ^nvbg+++xvbg+=meeting?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who's
who ^whp+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Hynes ^np+++??+=Hynes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor.
'connor. ^nn+++??+=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hynes ^np++++=Hynes.
. ^zz++++=EXTRAWORD
advancing ^vbg+++xvbg+=advancing
into ^in++++=into
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
slender ^jj+atrb+++=slender
young ^jj+atrb+++=young
man ^nn++++=man
with ^in++++=with
a ^at++++=a
light ^jj+atrb+++=light
brown ^jj+atrb+++=brown
moustache ^nn++++=moustache.
. ^zz++++=EXTRAWORD
Imminent ^jj++++=Imminent
little ^ap++++=little
drops ^nns++++=drops
of ^in++++=of
rain ^nn++++=rain
hung ^vbd+++xvbn+=hung
at ^rb++++=at
the ^ati++++=the
brim ^nn++++=brim
of ^in++++=of
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
the ^ati++++=the
collar ^nn++++=collar
of ^in++++=of
his ^pp$+pp3+++=his
jacket ^nn++++=jacket-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
turned ^vpsv++agls+xvbnx+=turned
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mat ^nn++++=Mat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Mr ^vb++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor,
'connor, ^nn+++??+=EXTRAWORD
" ^zz++++="how
how ^wrb+who+++=EXTRAWORD
goes ^vbz++++=goes
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor
'connor ^nn+++??+=EXTRAWORD
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
The ^ati++++=The
