I ^pp1a+pp1+++=I
loaned ^vprf+++xvbnx+=loaned
money ^nn++++=money
to ^in++++=to
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
preferred ^j+++xvbn+=preferred
this ^dt+dem+++=this
way ^nn++++=way
of ^in++++=of
repaying ^nn++++=repaying.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
man ^nn++++=man
of ^in++++=of
Colonel ^npt++++=Colonel
Sartoris ^np+++??+=Sartoris'
' ^zz++++=EXTRAWORD
generation ^nn+nom+++=generation
and ^cc++++=and
thought ^nn+++xvbn+=thought
could ^md+pos+++=could
have ^vb+hv+aux++=have
invented ^vprf+++xvbnx+=invented
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
a ^at++++=a
woman ^nn++++=woman
could ^md+pos+++=could
have ^vb+hv+aux++=have
believed ^vprf+++xvbnx+=believed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
next ^ap++++=next
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
more ^rbr++++=more
modern ^jj+atrb+++=modern
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
mayors ^npts++++=mayors
and ^cc++++=and
aldermen ^nns++++=aldermen,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
arrangement ^nn+nom+++=arrangement
created ^vbd+++xvbn+=created
some ^dti++++=some
little ^jj+atrb+++=little
dissatisfaction ^nn+nom+++=dissatisfaction.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
they ^pp3a+pp3+++=they
mailed ^vbd+++xvbnx+=mailed
her ^pp3o+pp3+++=her
a ^at++++=a
tax ^nn++++=tax
notice ^nn++++=notice.
. ^zz++++=EXTRAWORD
February ^nr+nom+++=February
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wrote ^vbd+vprv++xvbnx+=wrote
her ^pp3o+pp3+++=her
a ^at++++=a
formal ^jj+atrb+++=formal
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
asking ^jj+++xvbg+=asking
her ^pp3o+pp3+++=her
to ^to++++=to
call ^vbi++++=call
at ^in++++=at
the ^ati++++=the
sheriff ^nn++++=sheriff's
's ^$++++=EXTRAWORD
office ^nn++++=office
at ^rb++++=at
her ^pp3o+pp3+++=her
convenience ^nn+nom+++=convenience.
. ^zz++++=EXTRAWORD
A ^at++++=A
week ^nn++++=week
later ^rbr+tm+++=later
the ^ati++++=the
mayor ^nn++++=mayor
wrote ^vbd+vprv++xvbn+=wrote
her ^pp$+pp3+++=her
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
offering ^vbg+++xvbg+=offering
to ^to++++=to
call ^vbi++++=call
or ^cc++++=or
to ^to++++=to
send ^vbi++++=send
his ^pp$+pp3+++=his
car ^nn++++=car
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
received ^vpsv++agls+xvbn+=received
in ^in++++=in
reply ^nn++++=reply
a ^at++++=a
note ^nn++++=note
on ^in++++=on
paper ^nn++++=paper
of ^in++++=of
an ^at++++=an
archaic ^jj+atrb+++=archaic
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
flowing ^vbg+++xvbg+=flowing
calligraphy ^nn+++??+=calligraphy
in ^in++++=in
faded ^jj+atrb++xvbn+=faded
ink ^nn++++=ink,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
effect ^nn++++=effect
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
no ^at++++=no
longer ^rbr++++=longer
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tax ^nn++++=tax
notice ^nn++++=notice
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
enclosed ^vpsv++agls+xvbnx+=enclosed,
, ^zz++++=EXTRAWORD
without ^in++++=without
comment ^nn+nom+++=comment.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
called ^vbd+++xvbnx+=called
a ^at++++=a
special ^jj++++=special
meeting ^jj+++xvbg+=meeting
of ^in++++=of
the ^ati++++=the
Board ^nn++++=Board
of ^in++++=of
Aldermen ^nns++++=Aldermen.
. ^zz++++=EXTRAWORD
A ^at++++=A
deputation ^nn+nom+++=deputation
waited ^vbd+++xvbn+=waited
upon ^in++++=upon
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
knocked ^j+++xvbn+=knocked
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door
through ^in++++=through
which ^whp+rel+pied++=which
no ^at++++=no
visitor ^nn++++=visitor
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
since ^cs+sub+++=since
she ^pp3a+pp3+++=she
ceased ^vbd+++xvbnx+=ceased
giving ^vbg+++xvbg+=giving
china ^np++++=china-painting
- ^zz++++=EXTRAWORD
painting ^nvbg+++xvbg+=EXTRAWORD
lessons ^nns++++=lessons
eight ^cd++++=eight
or ^cc++++=or
ten ^cd++++=ten
years ^nns++++=years
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
admitted ^vpsv++by+xvbnx+=admitted
by ^in++++=by
the ^ati++++=the
old ^jj+atrb+++=old
Negro ^nn++++=Negro
into ^in++++=into
a ^at++++=a
dim ^jj+atrb+++=dim
hall ^nn++++=hall
from ^in++++=from
which ^whp+rel+pied++=which
a ^at++++=a
stairway ^nn++++=stairway
mounted ^vbd+++xvbn+=mounted
into ^in++++=into
still ^rb++++=still
more ^rbr++++=more
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
dust ^nn++++=dust
and ^cc++++=and
disuse ^nn+++??+=disuse--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
close ^nn++++=close,
, ^zz++++=EXTRAWORD
dank ^nn+++??+=dank
smell ^nn++++=smell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Negro ^nn++++=Negro
led ^vbd+++xvbn+=led
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
parlor ^nn++++=parlor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
furnished ^vpsv++agls+xvbnx+=furnished
in ^in++++=in
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
leather ^nn++++=leather-covered
- ^zz++++=EXTRAWORD
covered ^jj+atrb++xvbn+=EXTRAWORD
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Negro ^nn++++=Negro
opened ^vbd+++xvbn+=opened
the ^ati++++=the
blinds ^nns++++=blinds
of ^in++++=of
one ^cd1++++=one
window ^nn++++=window,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
leather ^nn++++=leather
was ^vbd+bedz+aux++=was
cracked ^vpsv++agls+xvbnx+=cracked;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
a ^at++++=a
faint ^jj+atrb+++=faint
dust ^nn++++=dust
rose ^vbd+++xvbn+=rose
sluggishly ^jj++++=sluggishly
about ^in++++=about
their ^pp$+pp3+++=their
thighs ^nns++++=thighs,
, ^zz++++=EXTRAWORD
spinning ^vbg+++xvbg+=spinning
with ^in++++=with
slow ^jj+atrb+++=slow
motes ^nns+++??+=motes
in ^in++++=in
the ^ati++++=the
single ^jj+atrb+++=single
sun ^nn++++=sun-ray.
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
a ^at++++=a
tarnished ^jj+atrb++xvbn+=tarnished
gilt ^jj+atrb+++=gilt
easel ^nn++++=easel
before ^cs+sub+++=before
the ^ati++++=the
fireplace ^nn++++=fireplace
stood ^vbd+++xvbn+=stood
a ^at++++=a
crayon ^nn+++??+=crayon
portrait ^nn++++=portrait
of ^in++++=of
Miss ^npt++++=Miss
Emily ^np++++=Emily's
's ^$++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rose ^vbd+++xvbnx+=rose
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
entered ^vbd+++xvbnx+=entered--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
small ^jj++++=small,
, ^zz++++=EXTRAWORD
fat ^nn++++=fat
woman ^nn++++=woman
in ^in++++=in
black ^nn++++=black,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
thin ^jj+atrb+++=thin
gold ^nn++++=gold
chain ^nn++++=chain
descending ^vwbg+++xvbg+=descending
to ^in++++=to
her ^pp$+pp3+++=her
waist ^nn++++=waist
and ^cc++++=and
vanishing ^jj+++xvbg+=vanishing
into ^in++++=into
her ^pp$+pp3+++=her
belt ^nn++++=belt,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
on ^in++++=on
an ^at++++=an
ebony ^nn++++=ebony
cane ^nn++++=cane
with ^in++++=with
a ^at++++=a
tarnished ^jj+atrb++xvbn+=tarnished
gold ^nn++++=gold
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
skeleton ^nn++++=skeleton
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small
and ^cc+phrs+++=and
spare ^jj++++=spare;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
why ^wrb+who+++=why
what ^wdt+who+++=what
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
merely ^rb+down+++=merely
plumpness ^nns+nom+++=plumpness
in ^in++++=in
another ^dt++++=another
was ^vbd+bedz+vrb++=was
obesity ^nn+nom+++=obesity
in ^in++++=in
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
bloated ^vbd+++xvbn+=bloated,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
body ^nn++++=body
long ^rb++++=long
submerged ^vbd+++xvbn+=submerged
in ^in++++=in
motionless ^jj+atrb+++=motionless
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
that ^dt+dem+++=that
pallid ^jj+atrb+++=pallid
hue ^nn++++=hue.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
in ^in++++=in
the ^ati++++=the
fatty ^jj+atrb+++=fatty
ridges ^nns++++=ridges
of ^in++++=of
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
like ^in++++=like
two ^cd++++=two
small ^jj+atrb+++=small
pieces ^nns++++=pieces
of ^in++++=of
coal ^nn++++=coal
pressed ^vbd+++xvbn+=pressed
into ^in++++=into
a ^at++++=a
lump ^nn++++=lump
of ^in++++=of
dough ^nn+++??+=dough
as ^ql++++=as
they ^pp3a+pp3+++=they
moved ^vbd+++xvbnx+=moved
from ^in++++=from
one ^cd1++++=one
face ^nn++++=face
to ^in++++=to
another ^dt++++=another
while ^cs+sub+++=while
the ^ati++++=the
visitors ^nns++++=visitors
stated ^vbd+vpub+tht0+xvbn+=stated
their ^pp$+pp3+++=their
errand ^nn++++=errand.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
them ^pp3o+pp3+++=them
to ^to++++=to
sit ^vbi++++=sit.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
just ^rb+emph+++=just
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
listened ^vbd+++xvbn+=listened
quietly ^rb++++=quietly
until ^cs+sub+++=until
the ^ati++++=the
spokesman ^nn+nom+++=spokesman
came ^vbd+++xvbn+=came
to ^in++++=to
a ^at++++=a
stumbling ^nn++++=stumbling
halt ^vb++++=halt.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
the ^ati++++=the
invisible ^nn++++=invisible
watch ^vb++++=watch
ticking ^nvbg+++xvbg+=ticking
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
gold ^nn++++=gold
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
dry ^jj+pred+++=dry
and ^cc++++=and
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
taxes ^nn++++=taxes
in ^in++++=in
Jefferson ^np++++=Jefferson.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Sartoris ^np+++??+=Sartoris
explained ^vbd+vpub+tht0+xvbn+=explained
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
one ^pn++++=one
of ^in++++=of
you ^pp2+pp2+++=you
can ^md+pos+++=can
gain ^vb++++=gain
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
records ^vbz+vpub+++=records
and ^cc+phrs+++=and
satisfy ^vb++++=satisfy
yourselves ^ppls+pp2+++=yourselves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
the ^ati++++=the
city ^nn++++=city
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Emily ^np++++=Emily.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
a ^at++++=a
notice ^nn++++=notice
from ^in++++=from
the ^ati++++=the
sheriff ^nn++++=sheriff,
, ^zz++++=EXTRAWORD
signed ^xvbn+++xvbn+=signed
by ^in++++=by
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
received ^vbd+++xvbnx+=received
a ^at++++=a
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Emily ^np++++=Emily
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
he ^pp3a+pp3+++=he
considers ^nns+nom+++=considers
himself ^ppl+pp3+++=himself
the ^ati++++=the
sheriff ^npt++++=sheriff
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
taxes ^nn++++=taxes
in ^in++++=in
Jefferson ^np++++=Jefferson."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
on ^in++++=on
the ^ati++++=the
books ^nns++++=books
to ^to++++=to
show ^vbi+vprv+tht0++=show
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
We ^pp1a+pp1+++=We
must ^md+nec+++=must
go ^vb++++=go
by ^in++++=by
the ^ati++++=the--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="See
see ^vb+vprv+++=EXTRAWORD
Colonel ^npt++++=Colonel
Sartoris ^np+++??+=Sartoris.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
taxes ^nn++++=taxes
in ^in++++=in
Jefferson ^np++++=Jefferson."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Emily ^np++++=Emily--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="See
see ^vb+vprv+++=EXTRAWORD
Colonel ^npt++++=Colonel
Sartoris ^np+++??+=Sartoris."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(Colonel
colonel ^npt++++=EXTRAWORD
Sartoris ^np+++??+=Sartoris
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dead ^jj++++=dead
almost ^rb+hdg+++=almost
ten ^cd++++=ten
years ^nns++++=years.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
taxes ^nn++++=taxes
in ^in++++=in
Jefferson ^np++++=Jefferson.
. ^zz++++=EXTRAWORD
Tobe ^np+++??+=Tobe!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Negro ^nn++++=Negro
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
" ^zz++++="Show
show ^vb+vprv+++=EXTRAWORD
these ^dt+dem+++=these
gentlemen ^nns++++=gentlemen
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ii ^np+++??+=II
So ^ql++++=So
She ^pp3a+pp3+++=SHE
vanquished ^vbd+++xvbnx+=vanquished
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
horse ^nn++++=horse
and ^cc++++=and
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
vanquished ^vprf+++xvbnx+=vanquished
their ^pp$+pp3+++=their
fathers ^nns+nom+++=fathers
thirty ^cd++++=thirty
years ^nns++++=years
before ^in++++=before
about ^in++++=about
the ^ati++++=the
smell ^nn++++=smell.
