[ ^zz++++=[The
doctor ^nn++++=doctor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
a ^at++++=a
number ^nn++++=number
of ^in++++=of
adventures ^nns++++=adventures
recounted ^vwbn+++xvbn+=recounted
by ^in++++=by
him ^pp3o+pp3+++=him
during ^in++++=during
his ^pp$+pp3+++=his
convalescence ^nn+nom+++=convalescence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it
from ^in++++=from
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather's
's ^$++++=EXTRAWORD
Mss ^np+++??+=MSS.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
am ^vb+bem+vrb++=am
not ^xnot++not++=not
able ^jj++++=able,
, ^zz++++=EXTRAWORD
at ^rb++++=at
this ^dt+dem+++=this
distance ^nn+nom+++=distance
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
to ^to++++=to
learn ^vbi+vprv+++=learn
how ^wrb+who+whcl++=how
closely ^rb++++=closely
it ^pp3+it+++=it
follows ^vbz+vprv+++=follows
the ^ati++++=the
actual ^jj+atrb+++=actual
words ^nns++++=words
of ^in++++=of
the ^ati++++=the
narrator ^nn++++=narrator.
. ^zz++++=EXTRAWORD
Smuggling ^np+nom++??+=Smuggling
in ^in++++=in
1841 ^cd+date+++=1841
was ^vbd+bedz+aux++=was
scotched ^vpsv++agls+xvbnx+=scotched,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
certainly ^rb++++=certainly
not ^xnot++not++=not
extinct ^jj++++=extinct,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
visit ^nn++++=visit
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Riel ^np+++??+=Riel
to ^in++++=to
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
customers ^nns+nom+++=customers
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
as ^ql++++=as
likely ^jj++++=likely
as ^ql++++=as
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
connected ^j+++xvbn+=connected
with ^in++++=with
business. ^nn+++??+=business.--Q.]
-- ^--+clp+++=EXTRAWORD
q ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
" ^zz++++="Item,
item ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Cognac ^nn++++=Cognac
25 ^cd++++=25
degrees ^nns+nom+++=degrees
above ^jjb+atrb+++=above
proof ^nn++++=proof,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
sample ^nn++++=sample
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
green ^nn++++=green
flask ^nn++++=flask,
, ^zz++++=EXTRAWORD
144 ^cd++++=144
ankers ^nn++++=ankers
at ^in++++=at
4 ^zz++++=4
gallons ^nns++++=gallons
per ^nnu++++=per
anker ^jjr++++=anker,
, ^zz++++=EXTRAWORD
at ^rb++++=at
5 ^zz++++=5
s ^zz++++=s.
. ^zz++++=EXTRAWORD
6 ^zz++++=6
d ^zz++++=d.
. ^zz++++=EXTRAWORD
per ^nnu++++=per
gallon ^nn++++=gallon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
said ^vbd+vpub++xvbn+=said
ankers ^nn++++=ankers
to ^to++++=to
be ^vbi+vbi+aux++=be
ready ^jj+pred+++=ready
slung ^vwbn+++xvbn+=slung
for ^in++++=for
horse ^nn++++=horse-carriage."
- ^zz++++=EXTRAWORD
carriage ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
may ^md+pos+++=may
the ^ati++++=the
mischief ^nn++++=mischief
fly ^nn++++=fly
away ^rp+pl+++=away
with ^in++++=with
these ^dt+dem+++=these
English ^nn++++=English!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
to ^to++++=to
whom ^whp+wpor+++=whom
my ^pp$+pp1+++=my
mother ^nn++++=mother
was ^vbd+bedz+aux++=was
reading ^vbg+++xvbgx+=reading
the ^ati++++=the
letter ^nn++++=letter
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
costs ^vbz++++=costs
a ^at++++=a
man ^nn++++=man
a ^at++++=a
working ^jj+atrb++xvbg+=working
day ^nn++++=day,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
gallons ^nns++++=gallons
and ^cc++++=and
sixpences ^nns+nom+++=sixpences,
, ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out
of ^in++++=of
how ^wrb+who+++=how
much ^rb++++=much
they ^pp3a+pp3+++=they
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
rob ^vbi++++=rob
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Item,
item ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2 ^zz++++=2
ankers ^nn++++=ankers
of ^in++++=of
colouring ^xvbg+++xvbg+=colouring
stuff ^nn++++=stuff
at ^rb++++=at
4 ^zz++++=4
gallons ^nns++++=gallons
per ^nnu++++=per
anker ^jjr++++=anker,
, ^zz++++=EXTRAWORD
price ^nn++++=price
as ^in++++=as
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
to ^to++++=to
be ^vbi++vrb++=be
as ^ql++++=as
before ^in++++=before,
, ^zz++++=EXTRAWORD
under ^in++++=under
Rope ^nn++++=Rope
Hauen ^np+++??+=Hauen,
, ^zz++++=EXTRAWORD
east ^np+pl+++=east
side ^nn++++=side
of ^in++++=of
Blackhead ^np+++??+=Blackhead,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
warned ^vbd+vpub++xvbn+=warned:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
straight ^rb++++=straight
run ^vwbn+++xvbn+=run.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
close ^jj++++=close
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
any ^dti++++=any
wind ^nn++++=wind
but ^cc++++=but
easterly ^jj++++=easterly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
load ^vb++++=load
up ^rp++++=up
horses ^nns++++=horses
alongside ^in+strn+++=alongside.
. ^zz++++=EXTRAWORD
March ^nr++++=March
24 ^cd++++=24
th ^zz++++=th
or ^cc++++=or
25 ^cd++++=25
th ^zz++++=th
will ^md+prd+++=will
be ^vb+be+vrb++=be
best ^jjt+pred+++=best,
, ^zz++++=EXTRAWORD
night ^nn++++=night
tides ^nns++++=tides
suiting ^vwbg+++xvbg+=suiting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
moon ^np++++=moon.
. ^zz++++=EXTRAWORD
Horses ^nns++++=Horses
will ^md+prd+++=will
be ^vb+be+vrb++=be
there ^rn+pl+++=there:
: ^zz++++=EXTRAWORD
two ^cd++++=two
fenced ^vbd+++xvbn+=fenced
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
pilchard ^nn+++??+=pilchard-store
- ^zz++++=EXTRAWORD
store ^nn++++=EXTRAWORD
and ^cc++++=and
beach ^nn++++=beach,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
S ^zz++++=S
1 ^zz++++=1/4
E ^zz++++=E
to ^in++++=to
E ^zz++++=E
S ^zz++++=S
E ^zz++++=E.
. ^zz++++=EXTRAWORD
Get ^vb++++=Get
them ^pp3o+pp3+++=them
in ^in++++=in
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Same ^ap++++=Same
pay ^nn++++=pay
for ^in++++=for
freighting ^xvbg+++xvbg+=freighting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crew ^nn++++=crew
17 ^cd++++=17
l ^zz++++=l.
. ^zz++++=EXTRAWORD
per ^nnu++++=per
man ^nn++++=man,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
straight ^rb++++=straight
run ^vwbn+++xvbn+=run,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
little ^ap++++=little
enough ^qlp++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
comment ^nn+nom+++=comment.
. ^zz++++=EXTRAWORD
" ^zz++++="Item,
item ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
15 ^cd++++=15
little ^jj+atrb+++=little
wooden ^jj+atrb+++=wooden
dolls ^nns++++=dolls,
, ^zz++++=EXTRAWORD
jointed ^j+++xvbn+=jointed
at ^rb++++=at
the ^ati++++=the
knees ^nns++++=knees
and ^cc++++=and
elbows ^nns++++=elbows,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
as ^ql++++=as
tante ^vb+++??+=tante
Yvonne ^np+++??+=Yvonne
used ^md"++pmd"++=used
to ^to++++=to
sell ^vb++++=sell
for ^in++++=for
two ^cd++++=two
sols ^&fw++++=sols
at ^rb++++=at
Saint ^nn++++=Saint
Pol ^np+++??+=Pol
de ^&fw++++=de
Leon ^np++++=Leon--."
-- ^--+clp+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Fifteen
' ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
little ^jj+atrb+++=little
wooden ^jj+atrb+++=wooden
dolls ^nns++++=dolls'!
'! ^nn+++??+=EXTRAWORD
' ^zz++++='Fifteen
fifteen ^cd++++=EXTRAWORD
little ^ap++++=little
woo-- ^nn+++??+=woo--'."
'." ^nn+++??+=EXTRAWORD
My ^pp$+pp1+++=My
father ^npt++++=father
dropped ^vbd+++xvbn+=dropped
into ^in++++=into
his ^pp$+pp3+++=his
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
speechless ^jj++++=speechless,
, ^zz++++=EXTRAWORD
opening ^nvbg+++xvbg+=opening
and ^cc++++=and
shutting ^nvbg+++xvbg+=shutting
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
like ^in++++=like
a ^at++++=a
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
here ^rn+pl+++=here
in ^in++++=in
black ^jj++++=black
and ^cc+phrs+++=and
white ^jj++++=white,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
years ^nns++++=years
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
kist ^nn++++=kist.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written,
, ^zz++++=EXTRAWORD
as ^ql++++=as
were ^vbd+bed+vrb++=were
all ^abn++++=all
the ^ati++++=the
letters ^nns+nom+++=letters
we ^pp1a+pp1+++=we
received ^vbd+++xvbn+=received
from ^in++++=from
this ^dt+dem+++=this
Cornish ^jj++++=Cornish
venturer ^jjr++++=venturer,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
small ^jj++++=small
and ^cc+phrs+++=and
delicate ^jj++++=delicate,
, ^zz++++=EXTRAWORD
with ^in++++=with
upstrokes ^nns+++??+=upstrokes
like ^in++++=like
spider ^nn++++=spider's
's ^$++++=EXTRAWORD
thread ^nn++++=thread;
; ^zz++++=EXTRAWORD
written ^j+++xvbn+=written
in ^in++++=in
French ^nn++++=French,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
easy ^jj++++=easy
and ^cc+phrs+++=and
careless ^jj++++=careless.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="'Fifteen
' ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
little ^jj+atrb+++=little
wooden ^jj+atrb+++=wooden
dolls, ^nn+++??+=dolls,'"
'" ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
repeated ^vbd+++xvbnx+=repeated,
, ^zz++++=EXTRAWORD
" ^zz++++="'jointed
' ^zz++++=EXTRAWORD
jointed ^jj+++xvbn+=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
knees ^nns++++=knees
and ^cc++++=and
elbows. ^nn+++??+=elbows.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
gone ^vprf+++xvbnx+=gone
to ^in++++=to
sea ^nn++++=sea
with ^in++++=with
all ^abn++++=all
sorts ^nns++++=sorts,
, ^zz++++=EXTRAWORD
from ^in++++=from
Admiral ^nn++++=Admiral
Brueys ^np+++??+=Brueys
upwards ^rb++++=upwards;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fifteen ^cd++++=fifteen
little ^jj+atrb+++=little
wooden ^jj+atrb+++=wooden
dolls ^nns++++=dolls--jointed--at--the--knees!"
-- ^--+clp+++=EXTRAWORD
jointed ^j+++xvbn+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
at ^in+strn+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
knees ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
the ^ati++++=the
sort ^nn++++=sort,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
in ^rb+phrv+++=in
from ^in++++=from
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
my ^pp$+pp1+++=my
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
me ^pp1o+pp1+++=me
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
bouillon ^nn+++??+=bouillon.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
get ^vb++++=get
as ^in++++=as
many ^ap++++=many
as ^ql++++=as
you ^pp2+pp2+++=you
like ^vb++++=like
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
next ^ap++++=next
street ^nn++++=street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
two ^cd++++=two
sols ^&fw++++=sols
apiece ^rb++++=apiece.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
look ^vb++++=look
to ^to+vcmp+++=to
that ^dt+dem+++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
cargo ^nn++++=cargo."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You,
you ^pp2+pp2+++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example?
? ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=."
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
since ^cs+sub+++=since
you ^pp2+pp2+++=you
promised ^vbd+++xvbn+=promised
to ^to+vcmp+++=to
take ^vbi++++=take
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
very ^ql+amp+++=very
next ^ap++++=next
voyage ^nn++++=voyage
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cs+sub+++=EXTRAWORD
that ^cs"++++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
a ^at++++=a
straight ^rb++++=straight
run ^vwbn+++xvbn+=run,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
call ^vb++++=call
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
mere ^jjb+atrb+++=mere
matter ^nn++++=matter
of ^in++++=of
sinking ^xvbg+++xvbg+=sinking
the ^ati++++=the
crop ^nn++++=crop."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
next ^ap++++=next
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
muttered ^vbd+++xvbnx+=muttered
bitterly ^rb+cnj+++=bitterly,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
at ^in++++=at
war ^nn++++=war
with ^in++++=with
England ^np++++=England
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
danger ^nn++++=danger
of ^in++++=of
privateers ^nns+nom+++=privateers--always
-- ^--+clp+++=EXTRAWORD
always ^rb++++=EXTRAWORD
one ^cd1++++=one
excuse ^nn++++=excuse
or ^cc++++=or
another ^ppls++++=another!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
sighed ^vbd+++xvbn+=sighed
as ^ql++++=as
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
out ^rp+pl+++=out
of ^in++++=of
window ^nn++++=window
towards ^in++++=towards
the ^ati++++=the
Isle ^nn++++=Isle
de ^&fw++++=de
Batz ^np+++??+=Batz.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
coaxing ^nn++++=coaxing
her ^pp$+pp3+++=her
half ^abn++++=half
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised
me ^pp1o+pp1+++=me
to ^to++++=to
say ^vbi+vpub+++=say
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
result ^nn++++=result
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father's
's ^vbz+bez+vrb++0=EXTRAWORD
lugger ^jjr++++=lugger
carried ^jj+++xvbn+=carried
twelve ^cd++++=twelve
hands ^nns++++=hands--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
counted ^vbd+++xvbnx+=counted
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indeed ^qlp++++=indeed
my ^pp$+pp1+++=my
father ^nn++++=father
did ^vbd+dod+vrb++=did
the ^ati++++=the
same ^ap++++=same
when ^wrb+who+++=when
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^to++++=to
charging ^vbi++++=charging
for ^in++++=for
the ^ati++++=the
crew ^nn++++=crew.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
twelve ^cd++++=twelve
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
an ^at++++=an
out ^rp+pl+++=out-of-the-way
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
number ^nn++++=number,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
in ^in++++=in
these ^dt+dem+++=these
chasse ^nn++++=chasse-marees
- ^zz++++=EXTRAWORD
marees ^nn++++=EXTRAWORD
one ^cd1++++=one
must ^md+nec+++=must
lower ^jjr++++=lower
and ^cc++++=and
rehoist ^nn+nom+++=rehoist
the ^ati++++=the
big ^jj+atrb+++=big
sails ^nns++++=sails
at ^rb++++=at
every ^at++++=every
fresh ^jj+atrb+++=fresh
tack ^nn++++=tack.
. ^zz++++=EXTRAWORD
As ^ql++++=As
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
fair ^jj+atrb+++=fair
wind ^nn++++=wind
right ^jj++++=right
across ^in+pl+++=across
from ^in++++=from
Roscoff ^np+++??+=Roscoff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
a ^at++++=a
good ^jj+atrb+++=good
landfall ^nn++++=landfall
of ^in++++=of
the ^ati++++=the
Dodman ^np+++??+=Dodman
at ^in++++=at
four ^cd++++=four
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
twenty ^cd++++=twenty
hours ^nns++++=hours
after ^in++++=after
starting ^xvbg+++xvbg+=starting.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
trifle ^nn++++=trifle
too ^ql++++=too
early ^jj++++=early
for ^in++++=for
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
dowsed ^vbd+++xvbn+=dowsed
sail ^vb++++=sail,
, ^zz++++=EXTRAWORD
to ^to++++=to
escape ^vbi++++=escape
notice ^nn++++=notice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vpsv++agls+xvbn+=waited
for ^in++++=for
nightfall ^nn+++??+=nightfall.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
it ^pp3+it+++=it
grew ^vbd+++xvbn+=grew
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
lowered ^vbd+++xvbn+=lowered
the ^ati++++=the
two ^cd++++=two
tub ^nn++++=tub-boats
- ^zz++++=EXTRAWORD
boats ^nns++++=EXTRAWORD
we ^pp1a+pp1+++=we
carried ^vbd+++xvbn+=carried--one
-- ^--+clp+++=EXTRAWORD
one ^pn++++=EXTRAWORD
on ^in++++=on
davits ^nns+++??+=davits
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
inboard ^rb++++=inboard--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
loaded ^jj+++xvbn+=loaded
them ^pp3o+pp3+++=them
up ^rp++++=up
and ^cc++++=and
started ^vbd+++xvbn+=started
to ^to++++=to
pull ^vbi++++=pull
for ^in++++=for
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
two ^cd++++=two
men ^nns++++=men
behind ^in+pl+++=behind
on ^in++++=on
the ^ati++++=the
