B.c ^rb++++=B.C.
excellent ^jj+atrb+++=excellent
sailors ^nns++++=sailors
and ^cc++++=and
great ^jj+atrb+++=great
merchants ^nns+nom+++=merchants
trading ^vwbg+++xvbg+=trading
with ^in++++=with
every ^at++++=every
known ^jj+atrb++xvbn+=known
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
living ^nvbg+++xvbg+=living
in ^in++++=in
great ^jj+atrb+++=great
riches ^nns++++=riches
and ^cc++++=and
splendor ^nn++++=splendor
at ^in++++=at
their ^pp$+pp3+++=their
grand ^jj+atrb+++=grand
city ^nn++++=city
on ^in++++=on
the ^ati++++=the
southern ^jj+atrb+++=southern
shore ^nn++++=shore
of ^in++++=of
the ^ati++++=the
Mediterranean ^np+nom+++=Mediterranean.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
a ^at++++=a
wicked ^jj+atrb+++=wicked
and ^cc+phrs+++=and
cruel ^jj+atrb+++=cruel
race ^nn++++=race
is ^vbz+bez+vrb++=is
also ^rb++++=also
certain ^jj+pred+++=certain;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Romans ^nn++++=Romans
used ^md"++pmd"++=used
to ^to++++=to
call ^vb++++=call
deceit ^nn++++=deceit
Punic ^np+++??+=Punic
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
Phoenician ^np+++??+=Phoenician
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
no ^at++++=no
doubt ^nn++++=doubt
Roman ^jj+atrb+++=Roman
writers ^nns+nom+++=writers
show ^nn++++=show
them ^pp3o+pp3+++=them
up ^rp++++=up
in ^in++++=in
their ^pp$+pp3+++=their
worst ^jjt+atrb+++=worst
colours ^nns++++=colours,
, ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
Hiram ^np+++??+=Hiram,
, ^zz++++=EXTRAWORD
Solomon ^np++++=Solomon's
's ^$++++=EXTRAWORD
ally ^nn++++=ally
at ^in++++=at
Tyre ^np+++??+=Tyre,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
plain ^nn++++=plain
from ^in++++=from
Holy ^jj+atrb+++=Holy
Scripture ^nn++++=Scripture
that ^tht+rel+obj++=that
their ^pp$+pp3+++=their
crimes ^nns++++=crimes
were ^vbd+bed+vrb++=were
great ^jj+pred+++=great.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
dispute ^vb++++=dispute
between ^in++++=between
Rome ^np++++=Rome
and ^cc++++=and
Carthage ^np+nom++??+=Carthage
was ^vbd+bedz+vrb++=was
about ^in++++=about
their ^pp$+pp3+++=their
possession ^nn++++=possession
in ^in++++=in
the ^ati++++=the
island ^nn++++=island
of ^in++++=of
Sicily ^np++++=Sicily;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
war ^nn++++=war
thus ^rb+cnj+++=thus
begun ^vwbn+++xvbn+=begun
had ^vbd+hvd+aux++=had
lasted ^vprf+++xvbnx+=lasted
eight ^cd++++=eight
years ^nns++++=years
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
resolved ^vpsv++agls+xvbnx+=resolved
to ^to+vcmp+++=to
send ^vbi++++=send
an ^at++++=an
army ^nn++++=army
to ^to++++=to
fight ^vbi++++=fight
the ^ati++++=the
Carthaginians ^np+++??+=Carthaginians
on ^in++++=on
their ^pp$+pp3+++=their
own ^ap++++=own
shores ^nns++++=shores.
. ^zz++++=EXTRAWORD
The ^ati++++=The
army ^nn++++=army
and ^cc++++=and
fleet ^nn++++=fleet
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
under ^in++++=under
the ^ati++++=the
command ^nn++++=command
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
consuls ^nns+++??+=consuls,
, ^zz++++=EXTRAWORD
Lucius ^np+++??+=Lucius
Manlius ^np+++??+=Manlius
and ^cc++++=and
Marcus ^np++++=Marcus
Attilius ^np+++??+=Attilius
Regulus ^nn++++=Regulus.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
sea ^nn++++=sea
fight ^nn++++=fight
with ^in++++=with
the ^ati++++=the
Carthaginian ^np+++??+=Carthaginian
fleet ^nn++++=fleet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
naval ^jj+atrb+++=naval
battle ^nn++++=battle
that ^tht+rel+obj++=that
the ^ati++++=the
Romans ^nn++++=Romans
ever ^rb++++=ever
gained ^vbd+++xvbn+=gained.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
made ^vbd+++xvbn+=made
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
Africa ^np++++=Africa
free ^jj++++=free;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
far ^rb+pl+++=far
from ^rb"++++=from
home ^nr++++=home
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
murmured ^j+++xvbn+=murmured,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
expected ^vbd+vprv++xvbnx+=expected
to ^to+vcmp+++=to
meet ^vbi++++=meet
not ^xnot++not++=not
only ^rb+down+++=only
human ^jj+atrb+++=human
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
monstrous ^jj+atrb+++=monstrous
serpents ^nns++++=serpents,
, ^zz++++=EXTRAWORD
lions ^nns++++=lions,
, ^zz++++=EXTRAWORD
elephants ^nns+nom+++=elephants,
, ^zz++++=EXTRAWORD
asses ^nns+++??+=asses
with ^in++++=with
horns ^nns++++=horns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dog ^nn++++=dog-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
monsters ^nns+nom+++=monsters,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
scorching ^jj+atrb+++=scorching
sun ^nn++++=sun
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
noisome ^nn+++??+=noisome
marsh ^npl++++=marsh
under ^in++++=under
their ^pp$+pp3+++=their
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Regulus ^nn++++=Regulus
sternly ^rb++++=sternly
put ^vb+++xvbn+=put
a ^at++++=a
stop ^nn++++=stop
to ^in++++=to
all ^abn++++=all
murmurs ^nns++++=murmurs,
, ^zz++++=EXTRAWORD
by ^in++++=by
making ^xvbg+++xvbg+=making
it ^pp3+it+++=it
known ^vbd+vprv++xvbn+=known
that ^tht+vcmp+++=that
disaffection ^nn+nom+++=disaffection
would ^md+prd+++=would
be ^vb+be+aux++=be
punished ^vpsv++by+xvbnx+=punished
by ^in++++=by
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
army ^nn++++=army
safely ^rb++++=safely
landed ^jj+++xvbn+=landed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
up ^rp++++=up
a ^at++++=a
fortification ^nn+nom+++=fortification
at ^in++++=at
Clypea ^np+++??+=Clypea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plundered ^vprf+++xvbn+=plundered
the ^ati++++=the
whole ^jj+atrb+++=whole
country ^nn++++=country
round ^nn++++=round.
. ^zz++++=EXTRAWORD
Orders ^nns++++=Orders
here ^rn+pl+++=here
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
Rome ^np++++=Rome
that ^tht+rel+obj++=that
Manlius ^np+++??+=Manlius
should ^md+nec+++=should
return ^vb++++=return
thither ^rb+cnj+++=thither,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
Regulus ^nn++++=Regulus
should ^md+nec+++=should
remain ^vb++++=remain
to ^to++++=to
carry ^vbi++++=carry
on ^in++++=on
the ^ati++++=the
war ^nn++++=war.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
grief ^nn++++=grief
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
poor ^jj+atrb+++=poor
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
nothing ^pn++++=nothing
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
but ^cc++++=but
a ^rb++++=a
little ^rb"++++=little
farm ^nn++++=farm
of ^in++++=of
seven ^cd++++=seven
acres ^nns++++=acres,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
person ^nn++++=person
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
employed ^vprf+++xvbnx+=employed
to ^to++++=to
cultivate ^nn+nom+++=cultivate
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
in ^in++++=in
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence;
; ^zz++++=EXTRAWORD
a ^at++++=a
hired ^jj+++xvbn+=hired
laborer ^jjr++++=laborer
had ^vbd+hvd+aux++=had
undertaken ^vprf+++xvbnx+=undertaken
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
unfaithful ^jj++++=unfaithful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
away ^rb+phrv+++=away
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
tools ^nns++++=tools
and ^cc++++=and
his ^pp$+pp3+++=his
cattle ^nns++++=cattle;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
he ^pp3a+pp3+++=he
could ^md+pos+++=could
return ^vb++++=return
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
children ^nns++++=children
would ^md+prd+++=would
starve ^vb++++=starve.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Senate ^np++++=Senate
engaged ^vwbn+++xvbn+=engaged
to ^to++++=to
provide ^vbi+vsua+++=provide
for ^in+ppvb+++=for
his ^pp$+pp3+++=his
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
expeditions ^nns+nom+++=expeditions
into ^in++++=into
the ^ati++++=the
country ^nn++++=country
round ^nn++++=round,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
which ^whp+rel+pied++=which
the ^ati++++=the
Romans ^nn++++=Romans
really ^rb+emph+++=really
did ^vbd+dod+vrb++=did
fall ^nn++++=fall
in ^in++++=in
with ^in++++=with
a ^at++++=a
serpent ^nn++++=serpent
as ^in++++=as
monstrous ^jj++++=monstrous
as ^ql++++=as
their ^pp$+pp3+++=their
imagination ^nn+nom+++=imagination
had ^vbd+hvd+aux++=had
depicted ^vprf+++xvbnx+=depicted.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
120 ^cd++++=120
feet ^nns++++=feet
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dwelt ^vpsv++agls+xvbn+=dwelt
upon ^in++++=upon
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
River ^nn++++=River
Bagrada ^np+++??+=Bagrada,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
used ^md"++pmd"++=used
to ^to++++=to
devour ^vb++++=devour
the ^ati++++=the
Roman ^jj+atrb+++=Roman
soldiers ^nns+nom+++=soldiers
as ^ql++++=as
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
to ^to++++=to
fetch ^vbi++++=fetch
water ^nn++++=water.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
such ^abl++++=such
tough ^jj+atrb+++=tough
scales ^nns++++=scales
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
attack ^vb++++=attack
it ^pp3+it+++=it
with ^in++++=with
their ^pp$+pp3+++=their
engines ^nns++++=engines
meant ^vbd+vprv++xvbn+=meant
for ^in++++=for
battering ^xvbg+++xvbg+=battering
city ^npl++++=city
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^ap+down+++=only
succeeded ^jj+++xvbn+=succeeded
with ^in++++=with
much ^ap++++=much
difficulty ^nn++++=difficulty
in ^in++++=in
destroying ^xvbg+++xvbg+=destroying
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
country ^nn++++=country
was ^vbd+bedz+vrb++=was
most ^ql+emph+++=most
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
covered ^j+++xvbn+=covered
with ^in++++=with
fertile ^jj+atrb+++=fertile
cornfields ^nns+++??+=cornfields
and ^cc++++=and
full ^jj++++=full
of ^in++++=of
rich ^jj+atrb+++=rich
fruit ^nn++++=fruit
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
rich ^jj+atrb+++=rich
Carthaginians ^np+++??+=Carthaginians
had ^vb+hv+vrb++=had
country ^nn++++=country
houses ^nns++++=houses
and ^cc++++=and
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
delicious ^jj++++=delicious
with ^in++++=with
fountains ^nns++++=fountains,
, ^zz++++=EXTRAWORD
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Roman ^jj+atrb+++=Roman
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
hardy ^np++++=hardy,
, ^zz++++=EXTRAWORD
fierce ^jj++++=fierce,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pitiless ^jj++++=pitiless,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
feared ^vpsv++agls+xvbnx+=feared,
, ^zz++++=EXTRAWORD
cruel ^jj+atrb+++=cruel
damage ^nn++++=damage
among ^in++++=among
these ^dt+dem+++=these
peaceful ^jj+atrb+++=peaceful
scenes ^nns++++=scenes;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
boasted ^vbd+vpub++xvbnx+=boasted
of ^in++++=of
having ^nn+nn+aux++=having
sacked ^vwbn+++xvbn+=sacked
300 ^cd++++=300
villages ^nns+nom+++=villages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mercy ^nn++++=mercy
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
yet ^rb++++=yet
known ^vwbn+vprv++xvbn+=known
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Carthaginian ^np+++??+=Carthaginian
army ^nn++++=army,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
strong ^jj++++=strong
in ^in++++=in
horsemen ^nns++++=horsemen
and ^cc++++=and
in ^in++++=in
elephants ^nns+nom+++=elephants,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
upon ^in++++=upon
the ^ati++++=the
hills ^nns++++=hills
and ^cc++++=and
did ^vbd+dod+vrb++=did
nothing ^pn++++=nothing
to ^to++++=to
save ^vbi++++=save
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wild ^jj+atrb+++=wild
desert ^nn++++=desert
tribes ^nns++++=tribes
of ^in++++=of
Numidians ^np+++??+=Numidians
came ^vbd+++xvbn+=came
rushing ^vbg+++xvbg+=rushing
in ^in++++=in
to ^in++++=to
plunder ^nn++++=plunder
what ^wdt+who+++=what
the ^ati++++=the
Romans ^nn++++=Romans
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Carthaginians ^np+++??+=Carthaginians
sent ^vbd+++xvbn+=sent
to ^to++++=to
offer ^vbi++++=offer
terms ^nns++++=terms
of ^in++++=of
peace ^nn++++=peace;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Regulus ^nn++++=Regulus,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
uplifted ^jj++++=uplifted
by ^in++++=by
his ^pp$+pp3+++=his
conquests ^nps++++=conquests,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
such ^abl++++=such
demands ^nns++++=demands
that ^tht+ncmp+obj++=that
the ^ati++++=the
messengers ^nns+nom+++=messengers
remonstrated ^vbd+++xvbn+=remonstrated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
' ^zz++++='Men
men ^nns++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
good ^jj+pred+++=good
for ^in++++=for
anything ^pn++++=anything
should ^md+nec+++=should
either ^dtx++++=either
conquer ^vb++++=conquer
or ^cc+phrs+++=or
submit ^vb+vpub+++=submit
to ^in++++=to
their ^pp$+pp3+++=their
betters ^nns+nom+++=betters;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
them ^pp3o+pp3+++=them
rudely ^rb++++=rudely
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
stern ^jj++++=stern
old ^jj++++=old
Roman ^jj++++=Roman
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
merit ^nn++++=merit
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
more ^rbr++++=more
mercy ^nn++++=mercy
on ^in++++=on
himself ^ppl+pp3+++=himself
than ^in++++=than
on ^rp++++=on
others ^aps++++=others.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Carthaginians ^np+++??+=Carthaginians
were ^vbd+bed+aux++=were
driven ^vpsv++agls+xvbnx+=driven
to ^to+vcmp+++=to
extremity ^nn+nom+++=extremity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
horrible ^jj+atrb+++=horrible
offerings ^nns++++=offerings
to ^in++++=to
Moloch ^np+++??+=Moloch,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
the ^ati++++=the
little ^jj+atrb+++=little
children ^nns++++=children
of ^in++++=of
the ^ati++++=the
noblest ^jjt+atrb+++=noblest
families ^nns++++=families
to ^to++++=to
be ^vbi+vbi+aux++=be
dropped ^vpsv++agls+xvbnx+=dropped
into ^in++++=into
the ^ati++++=the
fire ^nn++++=fire
between ^in++++=between
the ^ati++++=the
brazen ^vb++++=brazen
hands ^nns++++=hands
of ^in++++=of
his ^pp$+pp3+++=his
statue ^nn++++=statue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grownup ^nn+++??+=grownup
people ^nns++++=people
of ^in++++=of
the ^ati++++=the
noblest ^jjt+atrb+++=noblest
families ^nns++++=families
rushed ^vbd+++xvbn+=rushed
in ^in++++=in
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
accord ^nn++++=accord,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
thus ^rb+cnj+++=thus
to ^to++++=to
propitiate ^nn+nom+++=propitiate
their ^pp$+pp3+++=their
gods ^nns++++=gods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
obtain ^vb++++=obtain
safety ^nn++++=safety
for ^in++++=for
their ^pp$+pp3+++=their
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
time ^nn++++=time
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
yet ^rb++++=yet
fully ^rb+amp+++=fully
come ^vb++++=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
respite ^nn++++=respite
was ^vbd+bedz+aux++=was
granted ^vpsv++agls+xvbnx+=granted
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
to ^to++++=to
hire ^vbi++++=hire
soldiers ^nns+nom+++=soldiers
in ^in++++=in
Greece ^np++++=Greece,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
these ^dt+pdem+++=these
came ^vbd+++xvbn+=came
a ^at++++=a
Spartan ^np+++??+=Spartan,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Xanthippus ^np+++??+=Xanthippus,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
at ^rb++++=at
once ^rb"+tm+++=once
took ^vbd+++xvbn+=took
the ^ati++++=the
command ^nn++++=command,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
led ^vbd+++xvbn+=led
the ^ati++++=the
army ^nn++++=army
out ^rp+pl+++=out
to ^in++++=to
battle ^nn++++=battle,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
long ^jj+atrb+++=long
line ^nn++++=line
of ^in++++=of
elephants ^nns+nom+++=elephants
