Did ^vbd+dod+aux++=Did
Doris ^np++++=Doris
tore ^vbd+++xvbn+=tore
the ^ati++++=the
ribbon ^nn++++=ribbon
and ^cc++++=and
paper ^nn++++=paper
from ^in++++=from
the ^ati++++=the
square ^jj+atrb+++=square
package ^nn+nom+++=package
with ^in++++=with
her ^pp$+pp3+++=her
sharp ^jj+atrb+++=sharp
nails ^nns++++=nails,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
bosom ^nn++++=bosom
rising ^vwbg+++xvbg+=rising
and ^cc++++=and
falling ^vwbg+++xvbg+=falling.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
stood ^vbd+++xvbn+=stood
watching ^vbg+++xvbg+=watching
her ^pp$+pp3+++=her
as ^ql++++=as
she ^pp3a+pp3+++=she
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
lid ^nn++++=lid.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lit ^vbd+++xvbnx+=lit
a ^at++++=a
cigarette ^nn+nom+++=cigarette
and ^cc++++=and
leaned ^vpsv++agls+xvbn+=leaned
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
cuckoo ^nn++++=cuckoo
clock ^nn++++=clock!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Doris ^np++++=Doris
cried ^vbd+++xvbn+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
real ^rb+emph+++=real
old ^jj+atrb+++=old
cuckoo ^nn++++=cuckoo
clock ^nn++++=clock
like ^in++++=like
my ^pp$+pp1+++=my
mother ^nn++++=mother
had ^vb+hv+vrb++=had."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
clock ^nn++++=clock
over ^in++++=over
and ^cc++++=and
over ^rb++++=over.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
like ^in++++=like
my ^pp$+pp1+++=my
mother ^nn++++=mother
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Pete ^np++++=Pete
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
alive ^jj+pred+++=alive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes
sparkled ^vbd+++xvbn+=sparkled
with ^in++++=with
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
Germany ^np++++=Germany,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Larry ^np++++=Larry
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
moment ^nn++++=moment
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="Carl
carl ^np++++=EXTRAWORD
got ^vbd+++xvbn+=got
it ^pp3+it+++=it
for ^in++++=for
me ^pp1o+pp1+++=me
wholesale ^jjb++++=wholesale.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knows ^vbz+vprv+++=knows
some ^dti++++=some
guy ^np++++=guy
in ^in++++=in
the ^ati++++=the
clock ^nn++++=clock
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Otherwise ^rb+cnj+++=Otherwise
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
" ^zz++++="
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
made ^vbd+++xvbn+=made
a ^at++++=a
funny ^jj++++=funny
little ^ap++++=little
sound ^jj++++=sound.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
afford ^vb++++=afford
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
scowled ^vbd+++xvbnx+=scowled.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
your ^pp$+pp2+++=your
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Isn't
n't ^xnot++not++0=EXTRAWORD
that ^dt+pdem+++=that
what ^wdt+who+++=what
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Doris ^np++++=Doris
sat ^vbd+++xvbn+=sat
holding ^nvbg+++xvbg+=holding
onto ^in++++=onto
the ^ati++++=the
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
brown ^jj+atrb+++=brown
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Larry ^np++++=Larry
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="what's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
watched ^vbd+++xvbnx+=watched
in ^in++++=in
amazement ^nn+nom+++=amazement
as ^ql++++=as
she ^pp3a+pp3+++=she
leaped ^vbd+++xvbnx+=leaped
up ^rp++++=up
and ^cc++++=and
ran ^vpsv++agls+xvbn+=ran
from ^in++++=from
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
still ^rb++++=still
clutching ^vbg+++xvbg+=clutching
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
satisfied ^jj+++xvbn+=satisfied.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
all ^abn++++=all
that ^dt+dem+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
get ^vb++++=get
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
finished ^vbd+++xvbn+=finished
his ^pp$+pp3+++=his
meal ^nn++++=meal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cuckoo ^nn++++=cuckoo
clock ^nn++++=clock
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
very ^ql+amp+++=very
large ^jj++++=large.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
hand ^nn++++=hand-made,
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
countless ^jj+atrb+++=countless
frets ^nns+++??+=frets
on ^in++++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
little ^ap++++=little
indentations ^nns+nom+++=indentations
and ^cc++++=and
ornaments ^nns+nom+++=ornaments
scored ^vbd+++xvbn+=scored
in ^in++++=in
the ^ati++++=the
soft ^jj+atrb+++=soft
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
bed ^nn++++=bed
drying ^vwbg+++xvbg+=drying
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
winding ^nvbg+++xvbg+=winding
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
set ^vbd+++xvbnx+=set
the ^ati++++=the
hands ^nns++++=hands
by ^in++++=by
her ^pp$+pp3+++=her
wristwatch ^nn++++=wristwatch.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
she ^pp3a+pp3+++=she
carefully ^rb++++=carefully
moved ^vbd+++xvbn+=moved
the ^ati++++=the
hands ^nns++++=hands
to ^to++++=to
two ^cd++++=two
minutes ^nns++++=minutes
of ^in++++=of
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
carried ^vbd+++xvbnx+=carried
the ^ati++++=the
clock ^nn++++=clock
over ^in++++=over
to ^in++++=to
the ^ati++++=the
dresser ^nn++++=dresser
and ^cc++++=and
propped ^vbd+++xvbn+=propped
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
waiting ^nvbg+++xvbg+=waiting,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands
twisted ^vbd+++xvbn+=twisted
together ^nn+nom+++=together
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
cuckoo ^nn++++=cuckoo
to ^to++++=to
come ^vbi++++=come
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
hour ^nn++++=hour
to ^to++++=to
strike ^vbi++++=strike.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
about ^in++++=about
Larry ^np++++=Larry
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
matter ^nn++++=matter
not ^xnot++not++=not
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
be ^vb+be+aux++=be
blamed ^vpsv++agls+xvbnx+=blamed
for ^in++++=for
any ^dti++++=any
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
listening ^nvbg+++xvbg+=listening
to ^in++++=to
him ^pp3o+pp3+++=him
forever ^rb++++=forever
without ^in++++=without
defending ^xvbg+++xvbg+=defending
herself ^ppl+pp3+++=herself;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
blow ^vb++++=blow
your ^pp$+pp2+++=your
own ^ap++++=own
trumpet ^nn++++=trumpet
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
touched ^vbd+++xvbnx+=touched
her ^pp$+pp3+++=her
handkerchief ^nn++++=handkerchief
to ^in++++=to
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
have ^md"++pmd"++=have
to ^md+nec+++=to
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
about ^in++++=about
getting ^xvbg+++xvbg+=getting
it ^pp3+it+++=it
wholesale ^jjb++++=wholesale?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
have ^md"++pmd"++=have
to ^md+nec+++=to
spoil ^vb++++=spoil
it ^pp3+it+++=it
all ^rb++++=all?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
way ^nn++++=way
he ^pp3a+pp3+++=he
need ^nn++++=needn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
first ^od++++=first
place ^nn++++=place.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
clenched ^vbd+++xvbnx+=clenched
her ^pp3o+pp3+++=her
fists ^nns++++=fists.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
so ^ql++++=so
mean ^vb+vprv+++=mean,
, ^zz++++=EXTRAWORD
so ^ql++++=so
damn ^vb++++=damn
mean ^jj++++=mean.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
clock ^nn++++=clock
sitting ^vwbg+++xvbg+=sitting
there ^ex+pex+++=there
ticking ^vbg+++xvbg+=ticking
to ^in++++=to
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
funny ^jj+atrb+++=funny
grilled ^jj+atrb++xvbn+=grilled
edges ^nns++++=edges
and ^cc++++=and
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+vrb++=was
the ^ati++++=the
cuckoo ^nn++++=cuckoo,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
to ^to+vcmp+++=to
come ^vbi++++=come
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
he ^pp3a+pp3+++=he
listening ^nvbg+++xvbg+=listening,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
cocked ^jj+++xvbn+=cocked
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^to++++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
clock ^nn++++=clock
strike ^nn++++=strike
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
know ^vb+vprv+++=know
to ^to+vcmp+++=to
come ^vbi++++=come
out ^rp+pl+++=out?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Did
he ^pp3a+pp3+++=he
sleep ^nn++++=sleep
between ^in++++=between
hours ^nns++++=hours?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
soon ^rb+tm+splt++=soon
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
ask ^vb++++=ask
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
would ^md+prd+++=would
show ^vb+vprv+++=show
the ^ati++++=the
clock ^nn++++=clock
to ^in++++=to
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
love ^vb++++=love
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
Bob ^np++++=Bob
loved ^vbd+++xvbn+=loved
old ^jj+atrb+++=old
things ^nns++++=things,
, ^zz++++=EXTRAWORD
even ^rb++++=even
old ^jj+atrb+++=old
stamps ^nns++++=stamps
and ^cc++++=and
buttons ^nns++++=buttons.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
to ^to+vcmp+++=to
go ^vbi++++=go
with ^in++++=with
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
stores ^nns++++=stores.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
awkward ^jj++++=awkward,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Larry ^np++++=Larry
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
staying ^vbg+++xvbgx+=staying
at ^rb++++=at
the ^ati++++=the
office ^nn++++=office
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
helped ^vprf+++xvbn+=helped.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
only ^rb+down+++=only
Larry ^np++++=Larry
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
call ^vb++++=call
up ^rp++++=up
sometimes ^rb++++=sometimes
to ^to++++=to
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
whirr ^nn+++??+=whirr.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
shuddered ^vbd+++xvbn+=shuddered
and ^cc++++=and
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cuckoo ^nn++++=cuckoo
came ^vbd+++xvbn+=came
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
sliding ^jj+++xvbg+=sliding
swiftly ^rb++++=swiftly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
around ^rp++++=around
solemnly ^rb+cnj+++=solemnly,
, ^zz++++=EXTRAWORD
scrutinizing ^jj+++xvbg+=scrutinizing
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
the ^ati++++=the
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
realized ^vbd+vprv++xvbnx+=realized,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
to ^in++++=to
herself ^ppl+pp3+++=herself
in ^in++++=in
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
up ^rp++++=up,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
toward ^in++++=toward
him ^pp3o+pp3+++=him
shyly ^rb++++=shyly.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
waiting ^vbg+++xvbgx+=waiting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
cuckoo ^nn++++=cuckoo
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
whirred ^vbd+++xvbnx+=whirred
and ^cc+phrs+++=and
chirped ^vbd+++xvbn+=chirped,
, ^zz++++=EXTRAWORD
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
rhythmically ^rb++++=rhythmically.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
contemplation ^nn+nom+++=contemplation,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
retired ^vbd+++xvbnx+=retired.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
door ^nn++++=door
snapped ^vbd+++xvbn+=snapped
shut ^vbd+++xvbn+=shut.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
delighted ^vpsv++agls+xvbnx+=delighted.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
clapped ^vbd+++xvbnx+=clapped
her ^pp$+pp3+++=her
hands ^nns++++=hands
and ^cc++++=and
spun ^vpsv++agls+xvbn+=spun
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
marvelous ^jj+pred+++=marvelous,
, ^zz++++=EXTRAWORD
perfect ^jj++++=perfect!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
around ^rp++++=around,
, ^zz++++=EXTRAWORD
studying ^vbg+++xvbg+=studying
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
sizing ^jj+++xvbg+=sizing
her ^pp$+pp3+++=her
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
loved ^j+++xvbn+=loved
him ^pp3o+pp3+++=him
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
completely ^rb+amp+++=completely.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
hoped ^vprf+++xvbnx+=hoped
would ^md+prd+++=would
come ^vb++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
little ^jj+atrb+++=little
