Mr ^npt++++=Mr.
He ^pp3a+pp3+++=He
had ^md"++pmd"++=had
to ^md+nec+++=to
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
felt ^vprf++tht0+xvbnx+=felt
himself ^ppl+pp3+++=himself
go ^vb++++=go
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
rigour ^nn++++=rigour
had ^vbd+hvd+aux++=had
affected ^vprf+++xvbnx+=affected
his ^pp$+pp3+++=his
respiration ^nn+nom+++=respiration
as ^ql++++=as
he ^pp3a+pp3+++=he
delivered ^vbd+++xvbnx+=delivered
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sitting ^vbg+++xvbgx+=sitting
on ^in++++=on
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
chairs ^nns++++=chairs
by ^in++++=by
the ^ati++++=the
window ^nn++++=window--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
new ^jj+atrb+++=new
guest ^nn++++=guest
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
possession ^nn++++=possession
of ^in++++=of
the ^ati++++=the
arm ^nn++++=arm-chair.
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Sun
sun ^nn++++=EXTRAWORD
Day ^nn++++=Day!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
over ^in++++=over
the ^ati++++=the
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
warns ^vbz+vpub+++=warns.
. ^zz++++=EXTRAWORD
" ^zz++++="Sun
sun ^nn++++=EXTRAWORD
Day ^nn++++=Day!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
people ^nns++++=people
call ^vb++++=call
a ^at++++=a
" ^zz++++="nasty"
nasty ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
on ^rb+phrv+++=on
playing ^xvbg+++xvbg+=playing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
through ^in++++=through
some ^dti++++=some
music ^nn++++=music
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
piled ^vpsv++agls+xvbnx+=piled
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
stared ^vprf+++xvbnx+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+whq++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj++++=wrong
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
people ^nns++++=people
enjoy ^vb++++=enjoy
themselves ^ppls+pp3+++=themselves?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^vb+++??+=mind
rational ^jj++++=rational
' ^zz++++='njoyment,
njoyment ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
little ^ap++++=little
Coombes ^np+++??+=Coombes,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a-going
- ^zz++++=EXTRAWORD
going ^md"++pmd"++=EXTRAWORD
to ^md+prd+++=to
have ^vbi++vrb++=have
week ^nn++++=week-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
tunes ^nns++++=tunes
playing ^vwbg+++xvbg+=playing
on ^in++++=on
a ^at++++=a
Sunday ^nr++++=Sunday
in ^in++++=in
this ^dt+dem+++=this
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj++++=wrong
with ^in++++=with
my ^pp$+pp1+++=my
playing ^nvbg+++xvbg+=playing
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jennie ^np+++??+=Jennie,
, ^zz++++=EXTRAWORD
stopping ^vbg+++xvbg+=stopping
and ^cc+phrs+++=and
twirling ^vbg+nom++xvbg+=twirling
round ^rb++++=round
on ^in++++=on
the ^ati++++=the
music ^nn++++=music-stool
- ^zz++++=EXTRAWORD
stool ^nn++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
monstrous ^jj+atrb+++=monstrous
rustle ^nn++++=rustle
of ^in++++=of
flounces ^nns+++??+=flounces.
. ^zz++++=EXTRAWORD
Coombes ^np+++??+=Coombes
saw ^vbd+vprv+tht0+xvbn+=saw
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
row ^nn++++=row,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opened ^vbd+++xvbn+=opened
too ^ql++++=too
vigorously ^rb+cnj+++=vigorously,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
common ^jj+pred+++=common
with ^in++++=with
your ^pp$+pp2+++=your
timid ^jj+atrb+++=timid,
, ^zz++++=EXTRAWORD
nervous ^jj+atrb+++=nervous
men ^nns++++=men
all ^rb++++=all
the ^ati++++=the
world ^nn++++=world
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
" ^zz++++="Steady
steady ^jj++++=EXTRAWORD
on ^in++++=on
with ^in++++=with
that ^dt+dem+++=that
music ^nn++++=music-stool!"
- ^zz++++=EXTRAWORD
stool ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
made ^vpsv++agls+xvbn+=made
for ^in+ppvb+++=for
' ^zz++++='eavy-weights."
eavy ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
weights ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
mind ^nn++++=mind
about ^in++++=about
weights ^nns++++=weights,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jennie ^np+++??+=Jennie,
, ^zz++++=EXTRAWORD
incensed ^j+++xvbn+=incensed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
you ^pp2+pp2+++=you
saying ^vbg+++xvbg+=saying
behind ^in+pl+++=behind
my ^pp$+pp1+++=my
back ^jjb++++=back
about ^in++++=about
my ^pp$+pp1+++=my
playing ^nvbg+++xvbg+=playing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Surely
surely ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='old
old ^jj++++=EXTRAWORD
with ^in++++=with
not ^xnot++not++=not
having ^vbg+hvg++xvbg+=having
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
music ^nn++++=music
on ^in++++=on
a ^at++++=a
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
new ^jj+atrb+++=new
guest ^nn++++=guest,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
arm ^nn++++=arm-chair,
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
blowing ^vbg+++xvbg+=blowing
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
cigarette ^nn+nom+++=cigarette
smoke ^nn++++=smoke
and ^cc++++=and
smiling ^jj+++xvbg+=smiling
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
pitying ^vbg+++xvbg+=pitying
way ^nn++++=way.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
simultaneously ^rb+tm+++=simultaneously
his ^pp$+pp3+++=his
wife ^nn++++=wife
said ^vbd+vpub++xvbn+=said
something ^pn++++=something
to ^in++++=to
Jennie ^np+++??+=Jennie
about ^in++++=about
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^nn++++=mind
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
go ^vb++++=go
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Jinny ^np+++??+=Jinny."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
addressing ^vbg+++xvbg+=addressing
the ^ati++++=the
new ^jj+atrb+++=new
guest ^nn++++=guest.
. ^zz++++=EXTRAWORD
" ^zz++++="May
may ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
arst ^nn+++??+=arst
why ^wrb+who+++=why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
new ^jj+atrb+++=new
guest ^nn++++=guest,
, ^zz++++=EXTRAWORD
evidently ^rb++++=evidently
enjoying ^vbg+++xvbg+=enjoying
both ^abx++++=both
his ^pp$+pp3+++=his
cigarette ^nn+nom+++=cigarette
and ^cc++++=and
the ^ati++++=the
prospect ^nn++++=prospect
of ^in++++=of
an ^at++++=an
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
by ^in++++=by-the-by,
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
lank ^nn+++??+=lank
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
stylishly ^jj++++=stylishly
dressed ^jj+++xvbn+=dressed
in ^in++++=in
bright ^jj++++=bright
drab ^jj++++=drab,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
white ^jj+atrb+++=white
cravat ^nn++++=cravat
and ^cc++++=and
a ^at++++=a
pearl ^nn++++=pearl
and ^cc++++=and
silver ^nn++++=silver
pin ^np++++=pin.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
better ^jjr+atrb+++=better
taste ^nn++++=taste
to ^to++++=to
come ^vbi++++=come
in ^in++++=in
a ^at++++=a
black ^jj+atrb+++=black
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
thought ^vbd+++xvbn+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="Because,"
because ^cs+cos+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
suit ^nn++++=suit
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
business ^nns+nom+++=business
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
to ^in++++=to
study ^nn++++=study
my ^pp$+pp1+++=my
connection ^nn+nom+++=connection.
. ^zz++++=EXTRAWORD
Rational ^jj++++=Rational
' ^zz++++='njoyment--"
njoyment ^nn+nom+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
connection ^nn+nom+++=connection!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
scornfully ^rb++++=scornfully.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
always ^rb++++=always
a ^at++++=a-saying.
- ^zz++++=EXTRAWORD
