Not ^xnot++not++=Not
to ^to+vcmp+++=to
turn ^vbi++++=turn.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^rbr++++=more
the ^ati++++=the
woman ^nn++++=woman
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
set ^vbd+++xvbn+=set
him ^pp3o+pp3+++=him
upon ^in++++=upon
his ^pp$+pp3+++=his
feet ^nns++++=feet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
stooped ^vbd+++xvbnx+=stooped
over ^in++++=over
the ^ati++++=the
tiny ^jj+atrb+++=tiny
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
heard ^vbd+vprv+tht0+xvbnx+=heard
a ^at++++=a
small ^jj+atrb+++=small
voice ^nn++++=voice
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you
so ^ql++++=so
much ^ap++++=much
for ^in++++=for
saving ^xvbg+++xvbg+=saving
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Half ^abn++++=Half
frightened ^jj+++xvbn+=frightened
at ^rb++++=at
hearing ^vbg+vprv+tht0+xvbg+=hearing
a ^at++++=a
beetle ^nn++++=beetle
speak ^vb++++=speak
in ^in++++=in
her ^pp$+pp3+++=her
own ^ap++++=own
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
the ^ati++++=the
woman ^nn++++=woman
started ^vbd+++xvbn+=started
back ^jjb++++=back
and ^cc+phrs+++=and
exclaimed ^jj+++xvbn+=exclaimed:
: ^zz++++=EXTRAWORD
" ^zz++++="La
la ^&fw++++=EXTRAWORD
sakes ^nns++++=sakes!
! ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
talk ^nn++++=talk
like ^in++++=like
humans ^nns++++=humans!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
recovering ^vbg+++xvbg+=recovering
from ^in++++=from
her ^pp$+pp3+++=her
alarm ^vb++++=alarm,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
again ^rb+tm+++=again
bent ^xvbn+++xvbn+=bent
over ^in++++=over
the ^ati++++=the
beetle ^nn++++=beetle,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
answered ^vbd+vpub++xvbn+=answered
her ^pp$+pp3+++=her:
: ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
anything ^pn++++=anything
to ^to++++=to
say ^vbi+vpub+++=say?
? ^zz++++=EXTRAWORD
" ^zz++++="'Cause
' ^zz++++=EXTRAWORD
cause ^nn++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
bug ^nn++++=bug,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
saved ^vbd+++xvbn+=saved
my ^pp$+pp1+++=my
life ^nn++++=life--saved
-- ^--+clp+++=EXTRAWORD
saved ^xvbn+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
from ^in++++=from
my ^pp$+pp1+++=my
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sparrows ^nns++++=sparrows.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
second ^od++++=second
time ^nn++++=time
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^in++++=to
my ^pp$+pp1+++=my
assistance ^nn+nom+++=assistance,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
owe ^vb++++=owe
you ^pp2+pp2+++=you
a ^at++++=a
debt ^nn++++=debt
of ^in++++=of
gratitude ^nn++++=gratitude.
. ^zz++++=EXTRAWORD
Bugs ^np+++??+=Bugs
value ^nn++++=value
their ^pp$+pp3+++=their
lives ^nns++++=lives
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
human ^jj+atrb+++=human
beings ^nns++++=beings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
more ^rbr++++=more
important ^jj+atrb+++=important
creature ^nn++++=creature
than ^in++++=than
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
ignorance ^nn+nom+++=ignorance,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
suppose ^vb+vprv+++=suppose.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
come ^vprf+++xvbn+=come
each ^dt++++=each
day ^nn++++=day
to ^in++++=to
the ^ati++++=the
brook ^nn++++=brook?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
water ^nn++++=water,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
stupidly ^rb++++=stupidly
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
talking ^jj+atrb++xvbg+=talking
beetle ^nn++++=beetle.
. ^zz++++=EXTRAWORD
" ^zz++++="Isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
hard ^jj+atrb+++=hard
work ^nn++++=work?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
creature ^nn++++=creature
inquired ^vbd+++xvbn+=inquired.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
water ^nn++++=water
on ^in++++=on
the ^ati++++=the
hill ^nn++++=hill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
dig ^vb++++=dig
a ^at++++=a
well ^rb++++=well
and ^cc++++=and
put ^vb+++xvbn+=put
a ^at++++=a
pump ^nn++++=pump
in ^in++++=in
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
beetle ^nn++++=beetle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shook ^vbd+++xvbnx+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
man ^nn++++=man
tried ^vbd+++xvbn+=tried
it ^pp3+it+++=it
once ^cs+tm+++=once;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
water ^nn++++=water,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
sadly ^rb++++=sadly.
. ^zz++++=EXTRAWORD
" ^zz++++="Try
try ^vb++++=EXTRAWORD
it ^pp3+it+++=it
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
commanded ^vbd+vpub++xvbn+=commanded
the ^ati++++=the
beetle ^nn++++=beetle;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
your ^pp$+pp2+++=your
kindness ^nns+nom+++=kindness
to ^in++++=to
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
will ^md+prd+++=will
make ^vb++++=make
this ^dt+dem+++=this
promise ^nn++++=promise:
: ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
get ^vb++++=get
water ^nn++++=water
from ^in++++=from
the ^ati++++=the
well ^rb++++=well
you ^pp2+pp2+++=you
will ^md+prd+++=will
get ^vb++++=get
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
more ^rbr++++=more
precious ^jj+pred+++=precious
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
go ^vb++++=go
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
forget ^vb+vprv+++=forget.
. ^zz++++=EXTRAWORD
Dig ^vb++++=Dig
a ^at++++=a
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
without ^in++++=without
pausing ^xvbg+++xvbg+=pausing
to ^to++++=to
say ^vbi+vpub+++=say
good ^jj++++=good-by,
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
ran ^vbd+++xvbn+=ran
swiftly ^rb++++=swiftly
away ^rp+pl+++=away
and ^cc++++=and
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
among ^in++++=among
the ^ati++++=the
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
house ^npl++++=house
much ^ap++++=much
perplexed ^vpsv++by+xvbn+=perplexed
by ^in++++=by
what ^wdt+who+++=what
the ^ati++++=the
beetle ^nn++++=beetle
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
her ^pp$+pp3+++=her
husband ^nn++++=husband
came ^vbd+++xvbn+=came
in ^in++++=in
from ^in++++=from
his ^pp$+pp3+++=his
work ^nn++++=work
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
man ^nn++++=man
thought ^vbd+++xvbn+=thought
deeply ^rb++++=deeply
for ^in++++=for
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
declared ^vbd+vpub++xvbn+=declared:
: ^zz++++=EXTRAWORD
" ^zz++++="Wife,
wife ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
may ^md+pos+++=may
be ^vb+be+vrb++=be
truth ^nn++++=truth
in ^in++++=in
what ^wdt+who+++=what
the ^ati++++=the
bug ^nn++++=bug
told ^vbd+vpub++xvbn+=told
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
must ^md+nec+++=must
be ^vb+be+vrb++=be
magic ^jj+pred+++=magic
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
beetle ^nn++++=beetle
can ^md+pos+++=can
speak ^vb++++=speak;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
as ^ql++++=as
magic ^np++++=magic
we ^pp1a+pp1+++=we
may ^md+pos+++=may
get ^vb++++=get
water ^nn++++=water
from ^in++++=from
the ^ati++++=the
well ^rb++++=well.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pump ^nn++++=pump
I ^pp1a+pp1+++=I
bought ^vbd+++xvbnx+=bought
to ^to++++=to
use ^vbi++++=use
in ^in++++=in
the ^ati++++=the
well ^rb++++=well
which ^whp+who+++=which
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
dry ^jj+pred+++=dry
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
lying ^vbg+++xvbgx+=lying
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
only ^ap+down+++=only
expense ^nn++++=expense
in ^in++++=in
following ^xvbg+++xvbg+=following
the ^ati++++=the
talking ^jj+atrb++xvbg+=talking
bug ^nn++++=bug's
's ^$++++=EXTRAWORD
advice ^nn++++=advice
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
labor ^nn++++=labor
of ^in++++=of
digging ^xvbg+++xvbg+=digging
the ^ati++++=the
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
Labor ^np+++??+=Labor
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
used ^vpsv++++=used
to ^to++++=to;
; ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
will ^md+prd+++=will
dig ^vb++++=dig
the ^ati++++=the
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Next ^ap++++=Next
day ^nn++++=day
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
about ^in+ppvb+++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dug ^vwbn+++xvbn+=dug
so ^pn++++=so
far ^rb+pl+++=far
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
ground ^nn++++=ground
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
reach ^vb++++=reach
the ^ati++++=the
top ^jjb++++=top
to ^to++++=to
climb ^vbi++++=climb
out ^rp+pl+++=out
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
a ^at++++=a
drop ^nn++++=drop
of ^in++++=of
water ^nn++++=water
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
dig ^vb++++=dig
deep ^jj++++=deep
enough ^qlp++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
of ^in++++=of
his ^pp$+pp3+++=his
failure ^nn++++=failure.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
following ^jj+atrb++xvbg+=following
day ^nn++++=day
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
long ^jj+atrb+++=long
ladder ^nn++++=ladder,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
into ^in++++=into
the ^ati++++=the
hole ^nn++++=hole;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
dug ^vbd+++xvbnx+=dug,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dug ^vbd+++xvbn+=dug,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dug ^vbd+++xvbn+=dug,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
ladder ^nn++++=ladder
barely ^rb+down+++=barely
reached ^vbd+++xvbn+=reached
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
still ^rb++++=still
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
water ^nn++++=water.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
woman ^nn++++=woman
next ^rb++++=next
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
brook ^nn++++=brook
with ^in++++=with
her ^pp$+pp3+++=her
pail ^nn++++=pail
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
beetle ^nn++++=beetle
sitting ^vwbg+++xvbg+=sitting
upon ^in++++=upon
a ^at++++=a
stone ^nn++++=stone
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
path ^nn++++=path.
. ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
husband ^nn++++=husband
has ^vbz+hvz+aux++=has
dug ^vprf+++xvbnx+=dug
the ^ati++++=the
well ^rb++++=well;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
water ^nn++++=water."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
the ^ati++++=the
pump ^nn++++=pump
in ^in++++=in
the ^ati++++=the
well ^rb++++=well?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
beetle ^nn++++=beetle.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
