' ^zz++++='Way
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
it ^pp3+it+++=it
but ^cc++++=but
forty ^cd++++=forty-eight,"
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
fifty ^cd++++=fifty-one,"
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
put ^vbd+++xvbn+=put
much ^ap++++=much
dependence ^nn+nom+++=dependence
on ^in++++=on
my ^pp$+pp1+++=my
hearin ^nn+++??+=hearin'.
'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
hear ^vb+vprv+++=hear
a ^at++++=a
thing ^nn++++=thing
with ^in++++=with
my ^pp$+pp1+++=my
right ^jj+atrb+++=right
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
nohow ^nn+++??+=nohow.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
guess ^vb++++=guess
Ada ^np++++=Ada's
's ^$++++=EXTRAWORD
right ^jj++++=right
fast ^rb++++=fast
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
Angeline ^np+++??+=Angeline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
guess ^vb++++=guess
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
of ^in++++=of
anybody ^pn++++=anybody
else ^rb+cnj+++=else
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
Angeline ^np+++??+=Angeline
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
just ^rb+emph+++=just
about ^in++++=about
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+vrb++0=EXTRAWORD
two ^cd++++=two
years ^nns++++=years
older ^jjr++++=older
than ^in++++=than
Edward ^np++++=Edward
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
lived ^vprf+++xvbnx+=lived."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
stumping ^jj+++xvbg+=stumping
toward ^in++++=toward
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^rb++++=a
little ^rb"++++=little
limp ^jj++++=limp
in ^in++++=in
one ^cd1++++=one
knee ^nn++++=knee.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
count ^vb++++=count
but ^cc++++=but
forty ^cd++++=forty-eight."
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
fast ^rb++++=fast
enough ^qlp++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
stepping ^vbg+++xvbg+=stepping
carefully ^rb++++=carefully
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown
said ^vbd+vpub++xvbn+=said
yesterday ^nr+tm+++=yesterday
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
real ^rb+emph+++=real
low ^jj+pred+++=low,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
doctor ^nn++++=doctor
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
surprised ^vpsv++agls+xvbnx+=surprised
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
last ^rb++++=last
the ^ati++++=the
night ^nn++++=night
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
and ^cc++++=and
girl ^nn++++=girl
entered ^vbd+++xvbn+=entered
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
began ^vbd+++xvbn+=began
sawing ^nvbg+++xvbg+=sawing
some ^dti++++=some
wood ^nn++++=wood
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
piled ^vpsv++agls+xvbnx+=piled
up ^rp++++=up
beside ^in+pl+++=beside
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman
poked ^vbd+++xvbn+=poked
her ^pp$+pp3+++=her
head ^jjb++++=head
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Oliver,"
oliver ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Oliver!"
oliver ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
from ^in++++=from
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown's
's ^$++++=EXTRAWORD
team ^nn++++=team
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
just ^rb+emph+++=just
run ^vb+++xvbn+=run
out ^rp+pl+++=out
and ^cc++++=and
ask ^vb++++=ask
him ^pp3o+pp3+++=him
who ^whp+who+++=who
the ^ati++++=the
bell ^nn++++=bell
tolled ^vbd+++xvbn+=tolled
for ^in+strn+++=for."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
Lambert ^np++++=Lambert
limped ^vbd+++xvbn+=limped
slowly ^rb++++=slowly
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
yard ^nn++++=yard
and ^cc++++=and
waylaid ^vwbn+++xvbn+=waylaid
the ^ati++++=the
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
approaching ^jj+atrb++xvbg+=approaching
team ^nn++++=team.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
hastily ^rb++++=hastily
past ^jjb++++=past
the ^ati++++=the
house ^nn++++=house
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
" ^zz++++="Oliver,
oliver ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
called ^vbd+++xvbn+=called
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
say ^vb+vpub+tht0++=say
it ^pp3+it+++0='twas?"
was ^vbd+bedz+vrb++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
made ^vbd+++xvbn+=made
no ^at++++=no
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hurried ^vbd+++xvbnx+=hurried
along ^in++++=along
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Angeline ^np+++??+=Angeline
fast ^rb++++=fast
enough ^qlp++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
told ^vbd+vpub++xvbn+=told
Ada ^np+++??+=Ada.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
always ^rb++++=always
acts ^nns++++=acts
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
finds ^vbz+vprv+++=finds
out ^rp+pl+++=out
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
the ^ati++++=the
worst ^nn++++=worst
of ^in++++=of
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
took ^vpsv++agls+xvbnx+=took
awful ^jj++++=awful
hard ^jj++++=hard
of ^in++++=of
hearin ^nn+++??+=hearin'
' ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
a ^at++++=a
sudden ^nn++++=sudden."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
washing ^vbg+++xvbgx+=washing
the ^ati++++=the
breakfast ^nn++++=breakfast
dishes ^nns++++=dishes
at ^in++++=at
the ^ati++++=the
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
if ^cs+cnd+++=if
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
they ^pp3a+pp3+++=they
all ^rb++++=all
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dunno ^np++++=dunno
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
all ^rb++++=all
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
a ^ap++++=a
good ^ap"++++=good
many ^ap"++++=many
men ^nns++++=men
hate ^vb++++=hate
to ^to+vcmp+++=to
own ^ap++++=own
up ^rp++++=up
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
beat ^vpsv++agls+xvbnx+=beat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
most ^ap+emph+++=most
of ^in++++=of
them ^pp3o+pp3+++0='em
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
anything ^pn++++=anything
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
so ^ql++++=so,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
son ^nn++++=son.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
like ^in++++=like
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
boy ^nn++++=boy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lambert ^np++++=Lambert
was ^vbd+bedz+aux++=was
mopping ^vbg+++xvbgx+=mopping
the ^ati++++=the
kitchen ^nn++++=kitchen
floor ^nn++++=floor
with ^in++++=with
unsteady ^jj+atrb+++=unsteady
vigor ^nn++++=vigor.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
old ^jj+atrb+++=old
arms ^nns++++=arms
trembled ^vbd+++xvbn+=trembled
weakly ^rb+cnj+++=weakly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
them ^pp3o+pp3+++=them
no ^at++++=no
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
wrinkled ^vwbn+++xvbn+=wrinkled
face ^nn++++=face
lagged ^vprf+++xvbn+=lagged
loosely ^rb++++=loosely
about ^in++++=about
the ^ati++++=the
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
small ^jj+atrb+++=small
black ^jj+atrb+++=black
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
alert ^nn++++=alert
behind ^in+pl+++=behind
her ^pp$+pp3+++=her
spectacles ^nns++++=spectacles.
. ^zz++++=EXTRAWORD
" ^zz++++="Say,
say ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
grandma ^np++++=grandma,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
girl ^nn++++=girl
at ^in++++=at
the ^ati++++=the
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
blushes ^nns++++=blushes
rose ^vbd+++xvbn+=rose
softly ^rb++++=softly
on ^rp++++=on
her ^pp3o+pp3+++=her
pretty ^rb++++=pretty
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
about ^in++++=about
Angeline ^np+++??+=Angeline
Laurence ^np+nom++??+=Laurence
and ^cc++++=and
my ^pp$+pp1+++=my
father ^nn++++=father?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='twa'n't
wa' ^jj+++??+=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
nothin ^nn+++??+=nothin'.
'. ^nn+++??+=EXTRAWORD
They ^pp3a+pp3+++=They
just ^rb+emph+++=just
went ^vbd+++xvbn+=went
together ^nn+nom+++=together
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
once ^rb+tm+++=once."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
her ^pp3o+pp3+++=her
and ^cc++++=and
married ^vbd+++xvbn+=married
my ^pp$+pp1+++=my
mother ^nn++++=mother?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
came ^vbd+++xvbn+=came
he ^pp3a+pp3+++=he
to ^to++++=to?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
mother ^nn++++=mother
prettier ^jjr++++=prettier?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No;
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dunno ^np++++=dunno
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Angeline ^np+++??+=Angeline
was ^vbd+bedz+vrb++=was
