Moistening ^np+++??+=Moistening
an ^at++++=an
artist ^nn++++=artist
might ^md+pos+++=might.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
considered ^vwbn+vprv+tht0+xvbn+=considered
himself ^ppl+pp3+++=himself
an ^at++++=an
artist ^nn++++=artist.
. ^zz++++=EXTRAWORD
To ^in++++=To
him ^pp3o+pp3+++=him
the ^ati++++=the
art ^nn++++=art
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
steward ^nn++++=steward
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
as ^in++++=as
estimable ^nn++++=estimable
as ^in++++=as
the ^ati++++=the
art ^nn++++=art
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
poet ^nn++++=poet;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
Shelley ^np++++=Shelley
of ^in++++=of
the ^ati++++=the
dustpan ^nn++++=dustpan;
; ^zz++++=EXTRAWORD
a ^at++++=a
Keats ^np+++??+=Keats
of ^in++++=of
the ^ati++++=the
sheets ^nns++++=sheets.
. ^zz++++=EXTRAWORD
To ^in++++=To
him ^pp3o+pp3+++=him
the ^ati++++=the
making ^jj+++xvbg+=making
up ^rp++++=up
of ^in++++=of
a ^at++++=a
berth ^nn+++??+=berth
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
cabins ^nns++++=cabins
he ^pp3a+pp3+++=he
tended ^vbd+++xvbnx+=tended
was ^vbd+bedz+vrb++=was
a ^at++++=a
sonnet ^nn+++??+=sonnet;
; ^zz++++=EXTRAWORD
an ^at++++=an
orange ^np++++=orange
pip ^nn+++??+=pip
or ^cc++++=or
burnt ^jj+atrb++xvbn+=burnt
match ^nn++++=match
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
was ^vbd+bedz+vrb++=was
as ^ql++++=as
intolerable ^jj++++=intolerable
as ^in++++=as
a ^at++++=a
false ^jj+atrb+++=false
quantity ^nn+nom+++=quantity.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
poets ^nns++++=poets
took ^vbd+++xvbn+=took
as ^ql++++=as
much ^ap++++=much
pains ^nns++++=pains
with ^in++++=with
their ^pp$+pp3+++=their
pens ^nns++++=pens
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
with ^in++++=with
his ^pp$+pp3+++=his
whisk ^nn++++=whisk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
loved ^vbd+++xvbnx+=loved
his ^pp$+pp3+++=his
work ^nn++++=work
with ^in++++=with
a ^at++++=a
zeal ^nn++++=zeal
almost ^rb+hdg+++=almost
fanatical ^jj++++=fanatical.
. ^zz++++=EXTRAWORD
Lowering ^vbg+++xvbg+=Lowering
himself ^ppl+pp3+++=himself
to ^in++++=to
his ^pp$+pp3+++=his
plump ^jj+atrb+++=plump
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
swept ^vwbn+++xvbn+=swept
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
a ^at++++=a
busy ^jj+atrb+++=busy
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
humming ^jj+++xvbg+=humming
the ^ati++++=the
while ^cs+sub+++=while
a ^rb++++=a
little ^rb"++++=little
Provence ^np+nom+++=Provence
song ^nn++++=song:
: ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
mama ^nn++++=mama's
's ^vbz+bez+vrb++0=EXTRAWORD
at ^in++++=at
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
papa ^npt++++=papa's
's ^vbz+bez+vrb++0=EXTRAWORD
at ^in++++=at
Versailles ^np++++=Versailles,
, ^zz++++=EXTRAWORD
But ^cc+cls+++=But
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Sleeping ^nvbg+++xvbg+=Sleeping
in ^in++++=in
the ^ati++++=the
straw ^nn++++=straw.
. ^zz++++=EXTRAWORD
Chorus ^nn++++=CHORUS:
: ^zz++++=EXTRAWORD
" ^zz++++="Oo
oo ^uh++++=EXTRAWORD
la ^&fw++++=la
la ^&fw++++=la,
, ^zz++++=EXTRAWORD
Oo ^uh++++=Oo
la ^&fw++++=la
la ^&fw++++=la,
, ^zz++++=EXTRAWORD
Oo ^uh++++=Oo
la ^&fw++++=la,
, ^zz++++=EXTRAWORD
oo ^uh++++=oo
la ^&fw++++=la,
, ^zz++++=EXTRAWORD
Oo ^uh++++=Oo
la ^&fw++++=la
la ^&fw++++=la."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
the ^ati++++=the
series ^nn++++=series
of ^in++++=of
" ^zz++++="Oo
oo ^uh++++=EXTRAWORD
la ^&fw++++=la
las ^np++++=las"
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
time ^nn++++=time
with ^in++++=with
strokes ^nns+++??+=strokes
of ^in++++=of
his ^pp$+pp3+++=his
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
stroke ^nn++++=stroke
to ^in++++=to
each ^dt++++=each
" ^zz++++="la,"
la ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
until ^cs+sub+++=until
a ^at++++=a
microscope ^nn++++=microscope
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
detected ^vprf+++xvbnx+=detected
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
crumb ^nn++++=crumb
of ^in++++=of
foreign ^jj+atrb+++=foreign
matter ^nn++++=matter
on ^in++++=on
the ^ati++++=the
red ^jj+atrb+++=red
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
hoisted ^vbd+++xvbnx+=hoisted
himself ^ppl+pp3+++=himself
wheezily ^rb++++=wheezily
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
with ^in++++=with
critical ^jj+atrb+++=critical
eye ^nn++++=eye
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
perfection ^nn+nom+++=perfection.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^ql++++=more
he ^pp3a+pp3+++=he
sighed ^vbd+++xvbnx+=sighed
the ^ati++++=the
happy ^jj++++=happy
little ^ap++++=little
sigh ^nn++++=sigh
of ^in++++=of
work ^nn++++=work
well ^rb++++=well
done ^vwbn+++xvbn+=done;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
gathered ^vbd+++xvbnx+=gathered
up ^rp++++=up
his ^pp$+pp3+++=his
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
dustpan ^nn++++=dustpan
and ^cc++++=and
his ^pp$+pp3+++=his
collection ^nn+nom+++=collection
of ^in++++=of
little ^ap++++=little
cleaning ^jj+atrb++xvbg+=cleaning
rags ^nns++++=rags
and ^cc++++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
stateroom ^nn+++??+=stateroom
next ^ap++++=next
door ^nn++++=door,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
expertly ^rb++++=expertly
set ^vbd+++xvbn+=set
about ^in+ppvb+++=about
making ^xvbg+++xvbg+=making
things ^nns++++=things
tidy ^jj++++=tidy
to ^in++++=to
an ^at++++=an
accompaniment ^nn+nom+++=accompaniment
of ^in++++=of
" ^zz++++="Oo
oo ^uh++++=EXTRAWORD
la ^&fw++++=la
las ^np++++=las."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
a ^at++++=a
" ^zz++++="la
la ^&fw++++=EXTRAWORD
la ^&fw++++=la,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
off ^rb+cnj+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
wide ^jj+atrb+++=wide
brow ^nn++++=brow
puckered ^vbd+++xvbn+=puckered
as ^in++++=as
an ^at++++=an
outward ^nn++++=outward
sign ^nn++++=sign
that ^tht+ncmp+++=that
some ^dti++++=some
disquieting ^xvbg+++xvbg+=disquieting
thought ^vprf+++xvbn+=thought
was ^vbd+bedz+aux++=was
stirring ^vbg+++xvbgx+=stirring
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
buy ^vb++++=buy
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
son ^nn++++=son
Napoleon ^np++++=Napoleon
a ^at++++=a
violin ^nn++++=violin
this ^dt+dem+++=this
trip ^nn++++=trip
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
The ^ati++++=The
look ^nn++++=look
of ^in++++=of
contentment ^nn+nom+++=contentment
he ^pp3a+pp3+++=he
usually ^rb+down+++=usually
wore ^vbd+++xvbn+=wore
while ^cs+sub+++=while
doing ^vbg+++xvbg+=doing
the ^ati++++=the
work ^nn++++=work
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
gave ^vbd+++xvbn+=gave
way ^nn++++=way
to ^in++++=to
small ^jj+atrb+++=small
furrows ^nns+++??+=furrows
of ^in++++=of
worry ^nn++++=worry.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying
silently ^rb++++=silently
to ^in++++=to
himself ^ppl+pp3+++=himself:
: ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Alphonse ^np++++=Alphonse,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
violin ^nn++++=violin
situation ^nn+nom+++=situation
is ^vbz+bez+aux++=is
getting ^vbg+++xvbgx+=getting
serious ^jj++++=serious.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
little ^jj+atrb+++=little
Napoleon ^np++++=Napoleon
is ^vbz+bez+vrb++=is
thirteen ^cd++++=thirteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
at ^rb++++=at
that ^dt+dem+++=that
tender ^jj+atrb+++=tender
age ^nn++++=age
that ^tht+rel+obj++=that
virtuosos ^nns+++??+=virtuosos
begin ^vb++++=begin
to ^to++++=to
find ^vbi+vprv+++=find
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
a ^at++++=a
virtuoso ^nn++++=virtuoso
without ^in++++=without
a ^at++++=a
violin ^nn++++=violin?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
first ^od++++=first
class ^nn++++=class,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
turnip ^nn++++=turnip,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
each ^dt++++=each
trip ^nn++++=trip
you ^pp2+pp2+++=you
would ^md+prd+++=would
be ^vb+be+aux++=be
tipped ^vpsv++agls+xvbnx+=tipped
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
a ^at++++=a
violin ^nn++++=violin;
; ^zz++++=EXTRAWORD
on ^rp++++=on
second ^od++++=second-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
tips ^nns++++=tips
one ^cd1++++=one
cannot ^md+pos+not++=cannot
buy ^vb++++=buy
even ^rb++++=even
mouth ^nn++++=mouth
organs ^nns++++=organs.
. ^zz++++=EXTRAWORD
Alas ^uh++++=Alas!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Each ^dt++++=Each
trip ^nn++++=trip
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
for ^in++++=for
months ^nns++++=months,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
to ^to+vcmp+++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife
as ^ql++++=as
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
his ^pp$+pp3+++=his
tiny ^jj+atrb+++=tiny
flat ^nn++++=flat
in ^in++++=in
the ^ati++++=the
Rue ^nn++++=Rue
Dauphine ^np+++??+=Dauphine,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
time ^nn++++=time,
, ^zz++++=EXTRAWORD
Th ^zz++++=Th
r ^zz++++=r
se ^&fw++++=se,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
have ^vb+hv+vrb++=have
a ^at++++=a
millionaire ^nn++++=millionaire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
see ^vb+vprv+++=see
with ^in++++=with
what ^wdt+who+++=what
care ^nn++++=care
I ^pp1a+pp1+++=I
smooth ^vb++++=smooth
his ^pp$+pp3+++=his
sheets ^nns++++=sheets
and ^cc++++=and
pick ^vb++++=pick
the ^ati++++=the
banana ^nn+++??+=banana
skins ^nns++++=skins
from ^in++++=from
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
will ^md+prd+++=will
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='This
this ^dt+dem+++=EXTRAWORD
Pettipon ^np+++??+=Pettipon
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
such ^abl++++=such
a ^at++++=a
bad ^jj+atrb+++=bad
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
give ^vb++++=give
him ^pp3o+pp3+++=him
twenty ^cd++++=twenty
dollars ^nns++++=dollars.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Or ^cc++++=Or
he ^pp3a+pp3+++=he
will ^md+prd+++=will
write ^vb++++=write
to ^in++++=to
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Victor ^nn++++=Victor
Ronssoy ^np+++??+=Ronssoy
about ^rb++++=about
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Monsieur ^npt++++=Monsieur
Ronssoy ^np+++??+=Ronssoy
will ^md+prd+++=will
order ^to++++=order
the ^ati++++=the
captain ^npt++++=captain
to ^in++++=to
order ^to++++=order
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward
to ^to++++=to
make ^vbi++++=make
me ^pp1o+pp1+++=me
a ^at++++=a
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
first ^od++++=first
class ^nn++++=class,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
buy ^vb++++=buy
a ^at++++=a
violin ^nn++++=violin
the ^ati++++=the
most ^ql+emph+++=most
wonderful ^jj++++=wonderful
for ^in++++=for
our ^pp$+pp1+++=our
little ^jj+atrb+++=little
cabbage ^nn+nom+++=cabbage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^to++++=To
which ^whp+who+++=which
the ^ati++++=the
practical ^jj++++=practical
Th ^zz++++=Th
r ^zz++++=r
se ^&fw++++=se
would ^md+prd+++=would
reply ^vb++++=reply,
, ^zz++++=EXTRAWORD
" ^zz++++="Millionaires
millionaires ^nns++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
travel ^vb++++=travel
second ^od++++=second
class ^nn++++=class."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
would ^md+prd+++=would
smile ^vb++++=smile
hopefully ^rb++++=hopefully
and ^cc++++=and
say ^vb+vpub+++=say
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
can ^md+pos+++=can
tell ^vb++++=tell?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
perfectly ^rb+amp+++=perfectly
well ^rb++++=well
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Th ^zz++++=Th
r ^zz++++=r
se ^&fw++++=se
would ^md+prd+++=would
pick ^vb++++=pick
a ^at++++=a
nonexistent ^jj+atrb+++=nonexistent
hair ^nn++++=hair
from ^in++++=from
the ^ati++++=the
worn ^jj+atrb++xvbn+=worn
collar ^nn++++=collar
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat
and ^cc++++=and
remark ^nn++++=remark,
, ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
a ^at++++=a
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
first ^od++++=first
class ^nn++++=class,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
Alphonse ^np++++=Alphonse!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Patience,
patience ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^uh++++=dear
Th ^zz++++=Th
r ^zz++++=r
se ^&fw++++=se,
, ^zz++++=EXTRAWORD
patience ^nn+nom+++=patience,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
secretly ^rb++++=secretly
glowing ^jj+++xvbg+=glowing
as ^ql++++=as
men ^nns++++=men
do ^vb+do+vrb++=do
when ^wrb+who+++=when
their ^pp$+pp3+++=their
life ^nn++++=life
ambition ^nn+nom+++=ambition
is ^vbz+bez+aux++=is
touched ^vpsv++agls+xvbnx+=touched
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="Patience?
patience ^nn+nom+++=EXTRAWORD
? ^zz++++=EXTRAWORD
Patience ^nn+nom+++=Patience,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
exclaim ^vb++++=exclaim.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
crossed ^vbd+++xvbn+=crossed
on ^in++++=on
the ^ati++++=the
Voltaire ^np+++??+=Voltaire
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
times ^nns++++=times?
? ^zz++++=EXTRAWORD
Has ^vbz+hvz+vrb++=Has
a ^at++++=a
speck ^nn++++=speck
of ^in++++=of
dust ^nn++++=dust
ever ^rb++++=ever
been ^vprf+ben+aux+xvbn+=been
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
one ^pn++++=one
of ^in++++=of
your ^pp$+pp2+++=your
cabins ^nns++++=cabins?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
promoted ^vpsv++agls+xvbnx+=promoted
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
done ^vprf+++xvbn+=done
a ^at++++=a
dirtiness ^nns+nom+++=dirtiness,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
would ^md+prd+++=would
march ^vb++++=march
off ^in+pl+++=off
to ^in++++=to
his ^pp$+pp3+++=his
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
wagging ^jj++++=wagging
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
head ^nn++++=head.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
trip ^nn++++=trip,
, ^zz++++=EXTRAWORD
clearly ^rb+cnj+++=clearly,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
millionaire ^nn++++=millionaire.
. ^zz++++=EXTRAWORD
In ^in++++=In
C ^zz++++=C
341 ^cd++++=341
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
painter ^nn++++=painter
and ^cc++++=and
his ^pp$+pp3+++=his
bride ^nn++++=bride;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
tip ^nn++++=tip
would ^md+prd+++=would
be ^vb+be+vrb++=be
two ^cd++++=two
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
for ^in++++=for
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
not ^xnot++not++=not
a ^at++++=a
fellow ^jjb+atrb+++=fellow
artist ^nn++++=artist?
? ^zz++++=EXTRAWORD
In ^in++++=In
C ^zz++++=C
342 ^cd++++=342
were ^vbd+bed+vrb++=were
two ^cd++++=two
lingerie ^nn+++??+=lingerie
buyers ^nns++++=buyers
from ^in++++=from
New ^jj+atrb+++=New
York ^np++++=York;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
exact ^jj++++=exact
much ^ap++++=much
service ^nn++++=service,
, ^zz++++=EXTRAWORD
give ^vb++++=give
hints ^nns++++=hints
of ^in++++=of
much ^ap++++=much
reward ^nn++++=reward
and ^cc++++=and,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
looked ^vbd+++xvbn+=looked
sharp ^np++++=sharp,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
slip ^vb++++=slip
away ^rp+pl+++=away
without ^in++++=without
tipping ^nn++++=tipping
him ^pp3o+pp3+++=him
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
In ^in++++=In
C ^zz++++=C
343 ^cd++++=343
were ^vbd+bed+vrb++=were
school ^nn++++=school-teachers,
- ^zz++++=EXTRAWORD
teachers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two
to ^in++++=to
a ^at++++=a
berth ^nn+++??+=berth;
; ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
appraised ^vbd+++xvbn+=appraised
them ^pp3o+pp3+++=them
at ^in++++=at
five ^cd++++=five
dollars ^nns++++=dollars
for ^in++++=for
the ^ati++++=the
party ^nn++++=party;
