Sang ^vbd+++xvbn+=Sang
tsien ^jj+++xvbn+=tsien,
, ^zz++++=EXTRAWORD
the ^ati++++=the
legends ^nns++++=legends
of ^in++++=of
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
concerning ^in++++=concerning
her ^pp$+pp3+++=her
you ^pp2+pp2+++=you
may ^md+pos+++=may
also ^rb++splt++=also
find ^vb+vprv+++=find
in ^in++++=in
the ^ati++++=the
book ^nn++++=book
entitled ^vwbn+++xvbn+=entitled
" ^zz++++="Kin-Kou-Ki-Koan,"
kin ^nns++++=EXTRAWORD
- ^zz++++=EXTRAWORD
kou ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
ki ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
koan ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
signifies ^vbz++++=signifies
in ^in++++=in
our ^pp$+pp1+++=our
tongue ^nn++++=tongue:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Marvellous ^jj+atrb+++=Marvellous
Happenings ^nns++++=Happenings
of ^in++++=of
Ancient ^jj++++=Ancient
and ^cc++++=and
of ^in++++=of
Recent ^jj+atrb+++=Recent
Times ^nns++++=Times."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
perhaps ^rb++++=perhaps
of ^in++++=of
all ^abn++++=all
things ^nns++++=things
therein ^rb++++=therein
written ^jj+++xvbn+=written,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
marvellous ^jj++++=marvellous
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
memory ^nn++++=memory
of ^in++++=of
Si ^&fw++++=Si
- ^zz++++=-Thao:
thao ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Five ^cd++++=Five
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
the ^ati++++=the
Emperor ^nn++++=Emperor
Houng ^np+++??+=Houng-Wou,
- ^zz++++=EXTRAWORD
wou ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
dynasty ^nn++++=dynasty
was ^vbd+bedz+vrb++=was
Ming ^np+++??+=Ming,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
in ^in++++=in
the ^ati++++=the
City ^nn++++=City
of ^in++++=of
Genii ^np+++??+=Genii,
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Kwang ^np+++??+=Kwang-tchau-fu,
- ^zz++++=EXTRAWORD
tchau ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
fu ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
celebrated ^vbd+++xvbn+=celebrated
for ^in++++=for
his ^pp$+pp3+++=his
learning ^nvbg+++xvbg+=learning
and ^cc++++=and
for ^in++++=for
his ^pp$+pp3+++=his
piety ^nn++++=piety,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Tien ^np+++??+=Tien-Pelou.
- ^zz++++=EXTRAWORD
pelou ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Tien ^np+++??+=Tien-Pelou
- ^zz++++=EXTRAWORD
pelou ^nn+++??+=EXTRAWORD
had ^vb+hv+vrb++=had
one ^cd1++++=one
son ^nn++++=son,
, ^zz++++=EXTRAWORD
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
for ^in++++=for
scholarship ^nn+nom+++=scholarship
and ^cc++++=and
for ^in++++=for
bodily ^jj+atrb+++=bodily
grace ^nn++++=grace
and ^cc++++=and
for ^in++++=for
polite ^jj+atrb+++=polite
accomplishments ^nns+nom+++=accomplishments
had ^vb+hv+vrb++=had
no ^at++++=no
superior ^nn++++=superior
among ^in++++=among
the ^ati++++=the
youths ^nns++++=youths
of ^in++++=of
his ^pp$+pp3+++=his
age ^nn++++=age.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Ming ^np+++??+=Ming-Y.
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
when ^wrb+who+++=when
the ^ati++++=the
lad ^nn++++=lad
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
eighteenth ^od++++=eighteenth
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^to++++=to
pass ^vbi++++=pass
that ^cs+sub+++=that
Pelou ^np+++??+=Pelou,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
appointed ^vpsv++agls+xvbnx+=appointed
Inspector ^npt++++=Inspector
of ^in++++=of
Public ^jj+atrb+++=Public
Instruction ^nn+nom+++=Instruction
at ^in++++=at
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Tching ^np+++??+=Tching-tou;
- ^zz++++=EXTRAWORD
tou ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
accompanied ^vbd+++xvbn+=accompanied
his ^pp$+pp3+++=his
parents ^nns++++=parents
thither ^rb++++=thither.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Tching ^np+++??+=Tching-tou
- ^zz++++=EXTRAWORD
tou ^nn+++??+=EXTRAWORD
lived ^vbd+++xvbn+=lived
a ^at++++=a
rich ^jj+atrb+++=rich
man ^nn++++=man
of ^in++++=of
rank ^nn++++=rank,
, ^zz++++=EXTRAWORD
a ^at++++=a
high ^jj+atrb+++=high
commissioner ^nn+nom+++=commissioner
of ^in++++=of
the ^ati++++=the
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Tchang ^np+++??+=Tchang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
worthy ^jj+atrb+++=worthy
teacher ^nn++++=teacher
for ^in++++=for
his ^pp$+pp3+++=his
children ^nns++++=children.
. ^zz++++=EXTRAWORD
On ^in++++=On
hearing ^nn++++=hearing
of ^in++++=of
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
Inspector ^nn++++=Inspector
of ^in++++=of
Public ^jj+atrb+++=Public
Instruction ^nn+nom+++=Instruction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
noble ^jj+atrb+++=noble
Tchang ^np+++??+=Tchang
visited ^vbd+++xvbn+=visited
him ^pp3o+pp3+++=him
to ^to++++=to
obtain ^vbi++++=obtain
advice ^nn++++=advice
in ^in++++=in
this ^dt+dem+++=this
matter ^nn++++=matter;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
happening ^vb+++xvbg+=happening
to ^to+vcmp+++=to
meet ^vbi++++=meet
and ^cc++++=and
converse ^nn++++=converse
with ^in++++=with
Pelou ^np++++=Pelou's
's ^$++++=EXTRAWORD
accomplished ^vbd+++xvbn+=accomplished
son ^nn++++=son,
, ^zz++++=EXTRAWORD
immediately ^rb+tm+++=immediately
engaged ^xvbn+++xvbn+=engaged
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
private ^jj+atrb+++=private
tutor ^nn++++=tutor
for ^in++++=for
his ^pp$+pp3+++=his
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
as ^in++++=as
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
this ^dt+dem+++=this
Lord ^npt++++=Lord
Tchang ^np+++??+=Tchang
was ^vbd+bedz+aux++=was
situated ^vpsv++agls+xvbnx+=situated
several ^ap++++=several
miles ^nns++++=miles
from ^in++++=from
town ^nn++++=town,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
deemed ^vpsv++agls+xvbnx+=deemed
best ^jjt++++=best
that ^cs+sub+++=that
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
should ^md+nec+++=should
abide ^vb++++=abide
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
his ^pp$+pp3+++=his
employer ^nn+nom+++=employer.
. ^zz++++=EXTRAWORD
Accordingly ^rb++++=Accordingly
the ^ati++++=the
youth ^nn++++=youth
made ^vbd+++xvbn+=made
ready ^jj++++=ready
all ^abn++++=all
things ^nns++++=things
necessary ^jj++++=necessary
for ^in++++=for
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
sojourn ^nn++++=sojourn;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
bidding ^nvbg+++xvbg+=bidding
him ^pp3o+pp3+++=him
farewell ^nn++++=farewell,
, ^zz++++=EXTRAWORD
counselled ^j+++xvbn+=counselled
him ^pp3o+pp3+++=him
wisely ^rb+cnj+++=wisely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cited ^vpsv++agls+xvbn+=cited
to ^in++++=to
him ^pp3o+pp3+++=him
the ^ati++++=the
words ^nns++++=words
of ^in++++=of
Lao ^np++++=Lao-tseu
- ^zz++++=EXTRAWORD
tseu ^nn+++??+=EXTRAWORD
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
sages ^nn++++=sages:
: ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
face ^nn++++=face
the ^ati++++=the
world ^nn++++=world
is ^vbz+bez+aux++=is
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
love ^nn++++=love;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Heaven ^nn++++=Heaven
may ^md+pos+++=may
never ^rb++++=never
be ^vb+be+aux++=be
deceived ^vpsv++agls+xvbnx+=deceived
thereby ^rb++++=thereby.
. ^zz++++=EXTRAWORD
Shouldst ^np+++??+=Shouldst
thou ^pp2+pp2+++=thou
behold ^vb++++=behold
a ^at++++=a
woman ^nn++++=woman
coming ^vwbg+++xvbg+=coming
from ^in++++=from
the ^ati++++=the
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
look ^vb++++=look
thou ^pp2+pp2+++=thou
to ^in++++=to
the ^ati++++=the
West ^np+pl+++=West;
; ^zz++++=EXTRAWORD
shouldst ^nn+++??+=shouldst
thou ^pp2+pp2+++=thou
perceive ^vb+vprv+++=perceive
a ^at++++=a
maiden ^nn++++=maiden
approaching ^vwbg+++xvbg+=approaching
from ^in++++=from
the ^ati++++=the
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn
thine ^pp$+pp2+++=thine
eyes ^nns++++=eyes
to ^in++++=to
the ^ati++++=the
East ^np+pl+++=East."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
heed ^nn++++=heed
this ^dt+dem+++=this
counsel ^nn++++=counsel
in ^in++++=in
after ^in++++=after
days ^nns++++=days,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
because ^cs+cos+++=because
of ^in"++++=of
his ^pp$+pp3+++=his
youth ^nn++++=youth
and ^cc++++=and
the ^ati++++=the
thoughtlessness ^nns+nom+++=thoughtlessness
of ^in++++=of
a ^at++++=a
naturally ^rb++++=naturally
joyous ^jj+atrb+++=joyous
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
departed ^vbd+++xvbnx+=departed
to ^to++++=to
abide ^vbi++++=abide
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Lord ^npt++++=Lord
Tchang ^np+++??+=Tchang,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
autumn ^nn++++=autumn
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
winter ^nn++++=winter
also ^rb++++=also.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
second ^od++++=second
moon ^nn++++=moon
of ^in++++=of
spring ^nn++++=spring
was ^vbd+bedz+aux++=was
drawing ^vbg+++xvbgx+=drawing
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
happy ^jj+atrb+++=happy
day ^nn++++=day
which ^whp+rel+obj++=which
the ^ati++++=the
Chinese ^nn++++=Chinese
call ^vb++++=call
Hoa ^np+++??+=Hoa-tchao,
- ^zz++++=EXTRAWORD
tchao ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Birthday ^nn++++=Birthday
of ^in++++=of
a ^at++++=a
Hundred ^cd++++=Hundred
Flowers ^nns+nom+++=Flowers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
longing ^xvbg+++xvbg+=longing
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
his ^pp$+pp3+++=his
parents ^nns++++=parents;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
opened ^vbd+++xvbnx+=opened
his ^pp$+pp3+++=his
heart ^nn++++=heart
to ^in++++=to
the ^ati++++=the
good ^jj+atrb+++=good
Tchang ^np+++??+=Tchang,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
not ^xnot++not++=not
only ^rb+down+++=only
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
permission ^nn++++=permission
he ^pp3a+pp3+++=he
desired ^vbd+vsua++xvbnx+=desired,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
pressed ^vbd+++xvbn+=pressed
into ^in++++=into
his ^pp$+pp3+++=his
hand ^nn++++=hand
a ^at++++=a
silver ^nn++++=silver
gift ^nn++++=gift
of ^in++++=of
two ^cd++++=two
ounces ^nns++++=ounces,
, ^zz++++=EXTRAWORD
thinking ^vbg+vprv++xvbg+=thinking
that ^tht+vcmp+++=that
the ^ati++++=the
lad ^nn++++=lad
might ^md+pos+++=might
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
bring ^vbi++++=bring
some ^dti++++=some
little ^jj+atrb+++=little
memento ^nn++++=memento
to ^in++++=to
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
For ^in++++=For
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
custom ^nn++++=custom,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
feast ^nn++++=feast
of ^in++++=of
Hoa ^np+++??+=Hoa-tchao,
- ^zz++++=EXTRAWORD
tchao ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^in++++=to
make ^vbi++++=make
presents ^nns++++=presents
to ^in++++=to
friends ^nns++++=friends
and ^cc++++=and
relations ^nns+nom+++=relations.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
day ^nn++++=day
all ^abn++++=all
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
drowsy ^jj+pred+++=drowsy
with ^in++++=with
blossom ^vb++++=blossom
perfume ^nn++++=perfume,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vibrant ^jj++++=vibrant
with ^in++++=with
the ^ati++++=the
droning ^nn++++=droning
of ^in++++=of
bees ^nns++++=bees.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Ming ^vbi+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
that ^cs+sub+++=that
the ^ati++++=the
path ^nn++++=path
he ^pp3a+pp3+++=he
followed ^vbd+vprv++xvbnx+=followed
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
trodden ^vprf+++xvbn+=trodden
by ^in++++=by
any ^dti++++=any
other ^ap++++=other
for ^in++++=for
many ^ap++++=many
long ^jj+atrb+++=long
years ^nns++++=years;
; ^zz++++=EXTRAWORD
the ^ati++++=the
grass ^nn++++=grass
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
upon ^in++++=upon
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
vast ^jj+atrb+++=vast
trees ^nns++++=trees
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
interlocked ^vwbn+++xvbn+=interlocked
their ^pp$+pp3+++=their
mighty ^jj++++=mighty
and ^cc++++=and
moss ^np++++=moss-grown
- ^zz++++=EXTRAWORD
grown ^xvbn+++xvbn+=EXTRAWORD
arms ^nns++++=arms
above ^rb++++=above
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
beshadowing ^jj+++xvbg+=beshadowing
the ^ati++++=the
way ^nn++++=way;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
leafy ^jj+atrb+++=leafy
obscurities ^nns+nom+++=obscurities
quivered ^vbd+++xvbn+=quivered
with ^in++++=with
bird ^nn++++=bird-song,
- ^zz++++=EXTRAWORD
song ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
deep ^jj+atrb+++=deep
vistas ^nns++++=vistas
of ^in++++=of
the ^ati++++=the
wood ^nn++++=wood
were ^vbd+bed+aux++=were
glorified ^vpsv++by+xvbnx+=glorified
by ^in++++=by
vapors ^nns++++=vapors
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
odorous ^jj++++=odorous
with ^in++++=with
flower ^nn++++=flower-breathings
- ^zz++++=EXTRAWORD
breathings ^nns+++??+=EXTRAWORD
as ^ql++++=as
a ^at++++=a
temple ^nn++++=temple
with ^in++++=with
incense ^nn++++=incense.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dreamy ^jj+atrb+++=dreamy
joy ^nn++++=joy
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
entered ^vbd+++xvbn+=entered
into ^in+ppvb+++=into
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
Ming ^np+++??+=Ming-Y;
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
him ^pp3o+pp3+++=him
down ^rp++++=down
among ^in++++=among
the ^ati++++=the
young ^jj+atrb+++=young
blossoms ^nns+++??+=blossoms,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
branches ^nns++++=branches
swaying ^vwbg+++xvbg+=swaying
against ^in++++=against
the ^ati++++=the
violet ^jj+atrb+++=violet
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
to ^to++++=to
drink ^vbi++++=drink
in ^rb+phrv+++=in
the ^ati++++=the
perfume ^nn++++=perfume
and ^cc++++=and
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
enjoy ^vbi++++=enjoy
the ^ati++++=the
great ^jj++++=great
sweet ^jj++++=sweet
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
while ^cs+sub+++=while
thus ^rb+cnj+++=thus
reposing ^jj+++xvbg+=reposing,
, ^zz++++=EXTRAWORD
a ^at++++=a
sound ^nn++++=sound
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
turn ^vbi++++=turn
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
toward ^in++++=toward
a ^at++++=a
shady ^jj+atrb+++=shady
place ^nn++++=place
where ^wrb+who+++=where
wild ^jj+atrb+++=wild
peach ^nn++++=peach-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
were ^vbd+bed+vrb++=were
in ^in++++=in
bloom ^nn++++=bloom;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
beheld ^nn+++??+=beheld
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
beautiful ^jj++++=beautiful
as ^in++++=as
the ^ati++++=the
pinkening ^nn++++=pinkening
blossoms ^vbz+++??+=blossoms
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
hide ^vbi++++=hide
among ^in++++=among
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
avoid ^vb++++=avoid
discerning ^vbg+++xvbg+=discerning
the ^ati++++=the
loveliness ^nns+nom+++=loveliness
of ^in++++=of
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
the ^ati++++=the
golden ^jj+atrb+++=golden
purity ^nn++++=purity
of ^in++++=of
her ^pp$+pp3+++=her
complexion ^nn++++=complexion,
