General ^jj+atrb+++=General
wants ^nn++++=wants
of ^in++++=of
man ^nn++++=man
in ^in++++=in
a ^at++++=a
land ^nn++++=land
abounding ^jj++++=abounding
in ^in++++=in
wild ^jj+atrb+++=wild
fruits ^nns++++=fruits,
, ^zz++++=EXTRAWORD
" ^zz++++="herds
herds ^nns++++=EXTRAWORD
of ^in++++=of
deer ^nn++++=deer,
, ^zz++++=EXTRAWORD
elk ^nn++++=elk,
, ^zz++++=EXTRAWORD
buffalo ^nn+++??+=buffalo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bear ^nn++++=bear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
flocks ^nns++++=flocks
of ^in++++=of
" ^zz++++="turkeys,
turkeys ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
geese ^nns++++=geese,
, ^zz++++=EXTRAWORD
ducks ^nns++++=ducks,
, ^zz++++=EXTRAWORD
swans ^nn++++=swans,
, ^zz++++=EXTRAWORD
teal ^jj++++=teal,
, ^zz++++=EXTRAWORD
pheasants ^nns+nom+++=pheasants,
, ^zz++++=EXTRAWORD
partridges ^nns+++??+=partridges,
, ^zz++++=EXTRAWORD
etc.,. ^nn+++??+=etc.,...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
in ^in++++=in
greater ^jjr+atrb+++=greater
plenty ^nn++++=plenty
than ^in++++=than
the ^ati++++=the
tame ^jj+atrb+++=tame
poultry ^nn++++=poultry
are ^vb+ber+vrb++=are
in ^in++++=in
any ^dti++++=any
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
settlements ^nns+nom+++=settlements
of ^in++++=of
America ^np++++=America,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
rivers ^nns++++=rivers
" ^zz++++="stored
stored ^vbd+++xvbn+=EXTRAWORD
with ^in++++=with
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
catfish ^jj++++=catfish,
, ^zz++++=EXTRAWORD
the ^ati++++=the
largest ^jjt++++=largest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
a ^at++++=a
delicious ^jj+atrb+++=delicious
flavor ^nn++++=flavor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
" ^zz++++="weighs
weighs ^vbz++++=EXTRAWORD
from ^in++++=from
thirty ^cd++++=thirty
to ^to++++=to
eighty ^cd++++=eighty
pounds ^nns++++=pounds,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+aux++=be
easily ^rb++splt++=easily
supplied ^vpsv++by+xvbnx+=supplied
by ^in++++=by
art ^nn++++=art.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
advantages ^nns+nom+++=advantages
of ^in++++=of
every ^at++++=every
climate ^nn+nom+++=climate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Cutler ^np++++=Cutler
told ^vbd+vpub++xvbn+=told
his ^pp$+pp3+++=his
readers ^nns+nom+++=readers,
, ^zz++++=EXTRAWORD
" ^zz++++="are
are ^vb+ber+aux++=EXTRAWORD
here ^rn+pl+splt++=here
blended ^vpsv++agls+xvbnx+=blended
together ^nn+nom+++=together,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
rich ^jj+atrb+++=rich
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
everywhere ^rb++++=everywhere
underlain ^nn+++??+=underlain
with ^in++++=with
valuable ^jj+atrb+++=valuable
minerals ^nns+nom+++=minerals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
covered ^vpsv++agls+xvbn+=covered
with ^in++++=with
timber ^nn++++=timber
waiting ^vb+++xvbg+=waiting
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
built ^vpsv++agls+xvbnx+=built
into ^in++++=into
ships ^nns++++=ships
and ^cc++++=and
floated ^vpsv++agls+xvbn+=floated
down ^in++++=down
the ^ati++++=the
rivers ^nns++++=rivers
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
produce ^vb++++=produce
not ^xnot++not++=not
only ^rb+down+++=only
" ^zz++++="wheat,
wheat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rye ^nn++++=rye,
, ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=Indian
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
buckwheat ^nn+++??+=buckwheat,
, ^zz++++=EXTRAWORD
oats ^nns++++=oats,
, ^zz++++=EXTRAWORD
barley ^nn++++=barley,
, ^zz++++=EXTRAWORD
flax ^nn+++??+=flax,
, ^zz++++=EXTRAWORD
hemp ^nn+++??+=hemp,
, ^zz++++=EXTRAWORD
tobacco ^nn++++=tobacco,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
even ^rb++++=even
" ^zz++++="indigo,
indigo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cotton ^nn++++=cotton."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
no ^at++++=no
wonder ^vb++++=wonder
that ^dt+dem+++=that
the ^ati++++=the
Ohio ^np+++??+=Ohio
Company ^nn++++=Company
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
New ^jj+atrb+++=New
Englanders ^nns+nom++??+=Englanders
eager ^jj++++=eager
to ^to+jcmp+++=to
come ^vbi++++=come
out ^rp+pl+++=out
and ^cc++++=and
possess ^nns+nom+++=possess
this ^dt+dem+++=this
goodly ^jj+atrb+++=goodly
heritage ^nn+nom+++=heritage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
band ^nn++++=band
should ^md+nec+++=should
have ^vb+hv+aux++=have
started ^vprf+++xvbnx+=started
from ^in++++=from
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Cutler ^np++++=Cutler's
's ^$++++=EXTRAWORD
own ^ap++++=own
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
At ^rb++++=At
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
30 ^cd++++=30
th ^zz++++=th
of ^in++++=of
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
1787 ^cd+date+++=1787,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
paraded ^vbd+++xvbnx+=paraded
before ^in++++=before
his ^pp$+pp3+++=his
church ^nn++++=church
and ^cc++++=and
parsonage ^nn+nom+++=parsonage,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
men ^nns++++=men
with ^in++++=with
their ^pp$+pp3+++=their
families ^nns++++=families.
. ^zz++++=EXTRAWORD
After ^in++++=After
listening ^nn++++=listening
to ^in++++=to
a ^at++++=a
short ^jj+atrb+++=short
speech ^nn++++=speech
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
fired ^vbd+++xvbnx+=fired
a ^at++++=a
salute ^nn++++=salute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vpsv++agls+xvbn+=set
off ^rb+cnj+++=off,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
lettering ^nn++++=lettering
on ^in++++=on
their ^pp$+pp3+++=their
leading ^jj+atrb++xvbg+=leading
wagon ^nn++++=wagon
made ^vbd+++xvbn+=made
known ^vbd+vprv++xvbn+=known,
, ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
the ^ati++++=the
Ohio ^np+++??+=Ohio
Country ^nn++++=Country."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
eight ^cd++++=eight
weeks ^nns++++=weeks
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
headwaters ^nns+nom+++=headwaters
of ^in++++=of
the ^ati++++=the
Beautiful ^jj+atrb+++=Beautiful
River ^nn++++=River,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
build ^vbi++++=build
boats ^nns++++=boats
to ^to++++=to
float ^vbi++++=float
down ^in++++=down
its ^pp$+it+++=its
current ^nn++++=current
to ^in++++=to
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
the ^ati++++=the
Muskingum ^np+++??+=Muskingum.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
meantime ^nn++++=meantime,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
1 ^zz++++=1
st ^npt++++=st
of ^in++++=of
January ^nr+nom+++=January,
, ^zz++++=EXTRAWORD
1788 ^cd+date+++=1788,
, ^zz++++=EXTRAWORD
another ^dt++++=another
company ^nn++++=company
left ^vbd+++xvbn+=left
Hartford ^np++++=Hartford,
, ^zz++++=EXTRAWORD
Connecticut ^np+++??+=Connecticut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
four ^cd++++=four
weeks ^nns++++=weeks
joined ^vbd+++xvbn+=joined
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
could ^md+pos+++=could
not ^xnot++not++=not
embark ^vb++++=embark
on ^in+ppvb+++=on
their ^pp$+pp3+++=their
voyage ^nn++++=voyage
together ^nn+nom+++=together
until ^in++++=until
April ^nr++++=April
2 ^zz++++=2
d ^zz++++=d,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
five ^cd++++=five
days ^nns++++=days
they ^pp3a+pp3+++=they
arrived ^vbd+++xvbnx+=arrived
at ^rb++++=at
Fort ^nn++++=Fort
Harmar ^np+++??+=Harmar,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
the ^ati++++=the
Muskingum ^np+++??+=Muskingum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
at ^in++++=at
their ^pp$+pp3+++=their
journey ^nn++++=journey's
's ^$++++=EXTRAWORD
end ^nn++++=end.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
find ^vb+vprv+++=find
the ^ati++++=the
shores ^nns++++=shores
waving ^vwbg+++xvbg+=waving
with ^in++++=with
indigo ^nn+++??+=indigo,
, ^zz++++=EXTRAWORD
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cotton ^nn++++=cotton,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
soil ^nn++++=soil
could ^md+pos+++=could
produce ^vb++++=produce
almost ^rb+hdg+++=almost
any ^dti++++=any
crop ^nn++++=crop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
mild ^jj++++=mild
and ^cc+phrs+++=and
lovely ^jj++++=lovely
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
confirmed ^vpsv++agls+xvbnx+=confirmed
in ^in++++=in
their ^pp$+pp3+++=their
belief ^nn++++=belief
of ^in++++=of
all ^abn++++=all
that ^dt+dem+++=that
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Cutler ^np++++=Cutler
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
them ^pp3o+pp3+++=them
of ^in++++=of
the ^ati++++=the
climate ^nn+nom+++=climate.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Pipe ^nn++++=Pipe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Delaware ^np+++??+=Delaware
chief ^jjb++++=chief
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
Crawford ^np+++??+=Crawford
to ^in++++=to
his ^pp$+pp3+++=his
death ^nn++++=death
of ^in++++=of
cruel ^jj+atrb+++=cruel
torment ^nn+nom+++=torment
a ^ap++++=a
few ^ap"++++=few
years ^nns++++=years
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
encamped ^vpsv++agls+xvbnx+=encamped
for ^in++++=for
trade ^nn++++=trade
near ^in+pl+++=near
the ^ati++++=the
military ^jj+atrb+++=military
post ^nn++++=post,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
seventy ^cd++++=seventy
other ^ap++++=other
Indians ^nn++++=Indians
he ^pp3a+pp3+++=he
welcomed ^vbd+++xvbnx+=welcomed
the ^ati++++=the
newcomers ^nns+nom+++=newcomers
to ^in++++=to
the ^ati++++=the
Muskingum ^np+++??+=Muskingum,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
wisely ^rb++++=wisely
built ^vbd+++xvbn+=built
a ^at++++=a
stockade ^nn++++=stockade
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could
for ^in++++=for
defense ^nn+++??+=defense
against ^in++++=against
their ^pp$+pp3+++=their
red ^jj+atrb+++=red
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
settled ^vbd+++xvbnx+=settled
down ^rp++++=down
at ^rb++++=at
once ^rb"+tm+++=once
to ^in++++=to
hew ^nn+++??+=hew
their ^pp$+pp3+++=their
fields ^nns++++=fields
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
very ^ql+amp+++=very
next ^ap++++=next
year ^nn++++=year
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
a ^at++++=a
school ^nn++++=school
for ^in++++=for
their ^pp$+pp3+++=their
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Bathsheba ^np+++??+=Bathsheba
Rouse ^vb++++=Rouse
taught ^vbd+vsua++xvbn+=taught
this ^dt+dem+++=this
first ^rb++++=first
Ohio ^np+++??+=Ohio
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ohio ^np+++??+=Ohio
women ^nns++++=women
may ^md+pos+++=may
well ^rb++++=well
be ^vb+be+vrb++=be
proud ^jj+pred+++=proud
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
taught ^vbd+vsua+tht0+xvbnx+=taught
it ^pp3+it+++=it
a ^at++++=a
whole ^jj+atrb+++=whole
year ^nn++++=year
before ^cs+sub+++=before
a ^at++++=a
man ^nn++++=man
taught ^vwbn+vsua++xvbn+=taught
the ^ati++++=the
next ^ap++++=next
Ohio ^np+++??+=Ohio
school ^nn++++=school.
. ^zz++++=EXTRAWORD
The ^ati++++=The
settlers ^nns+nom+++=settlers
called ^vbd+++xvbn+=called
their ^pp$+pp3+++=their
town ^nn++++=town
Adelphia ^np+++??+=Adelphia,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
soon ^rb+tm+++=soon
changed ^vbd+++xvbn+=changed
its ^pp$+it+++=its
name ^nn++++=name
to ^in++++=to
Marietta ^np+++??+=Marietta,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
French ^jj+atrb+++=French
queen ^npt++++=queen
Marie ^np++++=Marie
Antoinette ^np+nom+++=Antoinette,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Marietta ^np+++??+=Marietta
was ^vbd+bedz+vrb++=was
a ^at++++=a
common ^jj++++=common
enough ^qlp++++=enough
name ^nn++++=name
in ^in++++=in
Italian ^jj++++=Italian
before ^in++++=before
their ^pp$+pp3+++=their
invention ^nn+nom+++=invention
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
built ^vbd+++xvbnx+=built
mills ^nns++++=mills
on ^in++++=on
the ^ati++++=the
streams ^nns++++=streams,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
streams ^nns++++=streams,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
current ^nn++++=current
turned ^vbd+++xvbn+=turned
their ^pp$+pp3+++=their
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
a ^at++++=a
first ^od++++=first
summer ^nn++++=summer
of ^in++++=of
rejoicing ^xvbg+++xvbg+=rejoicing
they ^pp3a+pp3+++=they
quieted ^vbd+++xvbnx+=quieted
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
serious ^jj+atrb+++=serious
business ^nns+nom+++=business
of ^in++++=of
clearing ^xvbg+++xvbg+=clearing
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
ague ^nn+++??+=ague,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saving ^nvbg+++xvbg+=saving
their ^pp$+pp3+++=their
scalps ^nns+++??+=scalps
from ^in++++=from
the ^ati++++=the
hospitable ^jj+atrb+++=hospitable
Delawares ^np+++??+=Delawares
and ^cc++++=and
their ^pp$+pp3+++=their
allies ^nns++++=allies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ap+amp+++=very
year ^nn++++=year
after ^in++++=after
their ^pp$+pp3+++=their
arrival ^nn++++=arrival
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
climate ^nn+nom+++=climate
behaved ^vbd+++xvbn+=behaved
so ^ql+emph+++=so
ungratefully ^jj++++=ungratefully
that ^dt+dem+++=that
the ^ati++++=the
corn ^nn++++=corn
crop ^nn++++=crop
was ^vbd+bedz+aux++=was
cut ^vpsv++agls+xvbnx+=cut
off ^rb+phrv+++=off
by ^in++++=by
an ^at++++=an
early ^jj+atrb+++=early
frost ^np++++=frost;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
like ^in++++=like
a ^at++++=a
famine ^nn++++=famine
followed ^vbd+vprv++xvbn+=followed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb++++=still
the ^ati++++=the
year ^nn++++=year
of ^in++++=of
the ^ati++++=the
settlement ^nn+nom+++=settlement
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
high ^jj+atrb+++=high
hopes ^nns++++=hopes
and ^cc++++=and
sober ^jj+atrb+++=sober
jollity ^nn+nom+++=jollity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pioneers ^nns+nom+++=pioneers
celebrated ^vbd+++xvbn+=celebrated
the ^ati++++=the
Fourth ^od++++=Fourth
of ^in++++=of
July ^nr++++=July,
, ^zz++++=EXTRAWORD
1788 ^cd+date+++=1788,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
grand ^jj+atrb+++=grand
banquet ^nn++++=banquet
of ^in++++=of
" ^zz++++="venison
venison ^nn++++=EXTRAWORD
barbecued ^jj++++=barbecued,
, ^zz++++=EXTRAWORD
buffalo ^nn+++??+=buffalo
steaks ^nns++++=steaks,
, ^zz++++=EXTRAWORD
bear ^vb+vprv+++=bear
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
wild ^jj+atrb+++=wild
fowl ^nn+++??+=fowl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
_pork_ ^jj+++??+=_pork_,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
choicest ^jjt+atrb+++=choicest
luxury ^nn++++=luxury
of ^in++++=of
all ^rb++++=all;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
at ^rb++++=at
least ^rb"++++=least
" ^zz++++="one
one ^cd1++++=EXTRAWORD
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
pike ^np++++=pike,
, ^zz++++=EXTRAWORD
weighing ^nvbg+++xvbg+=weighing
one ^cd1++++=one
hundred ^cd++++=hundred
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
six ^cd++++=six
feet ^nns++++=feet
long ^rb+cnj+++=long,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
could ^md+pos+++=could
easily ^rb++++=easily
be ^vb+be+vrb++=be
" ^zz++++="the
the ^ati++++=EXTRAWORD
largest ^jjt++++=largest
ever ^rb++++=ever
taken ^vpsv++by+xvbn+=taken
by ^in++++=by
white ^jj+atrb+++=white
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
waters ^nns++++=waters
of ^in++++=of
the ^ati++++=the
Muskingum ^np+++??+=Muskingum."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Several ^ap++++=Several
of ^in++++=of
the ^ati++++=the
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
always ^rb++++=always
ready ^jj+pred+++=ready
for ^in++++=for
eating ^xvbg+++xvbg+=eating
and ^cc++++=and
drinking ^xvbg+++xvbg+=drinking,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
celebration ^nn+nom+++=celebration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
settlers ^nns+nom+++=settlers
saw ^vbd+vprv++xvbn+=saw
with ^in++++=with
pleasure ^nn++++=pleasure
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
like ^in++++=like
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
cannon ^nn++++=cannon.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
all ^abn++++=all
" ^zz++++="kept
kept ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
up ^rp++++=up
till ^cs+sub+++=till
after ^in++++=after
twelve ^cd++++=twelve
o'clock ^rb++++=o'clock
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
home ^nr++++=home
and ^cc++++=and
slept ^vbd+++xvbn+=slept
till ^cs+sub+++=till
daylight ^nn++++=daylight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Marietta ^np+++??+=Marietta
people ^nns++++=people
knew ^vbd+vprv++xvbn+=knew
how ^wrb+who+whcl++=how
to ^to++++=to
enjoy ^vbi++++=enjoy
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
not ^xnot++not++=not
come ^vb++++=come
to ^in++++=to
Ohio ^np+++??+=Ohio
for ^in++++=for
pastime ^nn++++=pastime,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
soon ^rb+tm+++=soon
all ^abn++++=all
hard ^jj++++=hard
at ^rb++++=at
work ^nn++++=work
improving ^vwbg+++xvbg+=improving
themselves ^ppls+pp3+++=themselves
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
their ^pp$+pp3+++=their
lands ^nns++++=lands.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
not ^xnot++not++=not
only ^rb+down+++=only
had ^vb+hv+vrb++=had
the ^ati++++=the
first ^od++++=first
school ^npl++++=school
in ^in++++=in
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
first ^od++++=first
Sunday ^nr++++=Sunday
school ^nn++++=school.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
a ^at++++=a
public ^jj+atrb+++=public
library ^npl+nom+++=library
in ^in++++=in
1796 ^cd+date+++=1796,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preaching ^nvbg+++xvbg+=preaching
in ^in++++=in
the ^ati++++=the
blockhouse ^np++++=blockhouse
from ^in++++=from
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
