Sitting ^vbg+++xvbg+=Sitting
his ^pp$+pp3+++=his
vaqueros ^nns+++??+=vaqueros,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
tedious ^jj+atrb+++=tedious
drive ^nn++++=drive
of ^in++++=of
cattle ^nns++++=cattle
to ^in++++=to
San ^np++++=San
Francisco ^np++++=Francisco.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
gone ^vpsv++agls+xvbnx+=gone
but ^cc++++=but
a ^at++++=a
month ^nn++++=month;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
an ^at++++=an
interminable ^jj+atrb+++=interminable
absence ^nn+nom+++=absence
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
to ^in++++=to
a ^at++++=a
wife ^nn++++=wife
of ^in++++=of
a ^at++++=a
year ^nn++++=year!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
the ^ati++++=the
fading ^nn++++=fading
of ^in++++=of
the ^ati++++=the
wild ^jj+atrb+++=wild
golden ^jj+atrb+++=golden
poppies ^nns++++=poppies;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
busy ^jj+atrb+++=busy
workers ^nns+nom+++=workers
of ^in++++=of
the ^ati++++=the
bee ^nn++++=bee-hives
- ^zz++++=EXTRAWORD
hives ^nns++++=EXTRAWORD
laying ^vwbg+++xvbg+=laying
up ^rp++++=up
their ^pp$+pp3+++=their
stores ^nns++++=stores
of ^in++++=of
honey ^nn++++=honey
culled ^vbd+++xvbn+=culled
from ^in++++=from
the ^ati++++=the
myriads ^nns++++=myriads
of ^in++++=of
flowers ^nns+nom+++=flowers
which ^whp+rel+subj++=which
carpeted ^vbd+++xvbn+=carpeted
the ^ati++++=the
valley ^nn++++=valley;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
ridden ^vprf+++xvbnx+=ridden
over ^in++++=over
the ^ati++++=the
Gabilan ^np+++??+=Gabilan
Hills ^nns++++=Hills
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
thousands ^cds++++=thousands
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
cattle ^nns++++=cattle
which ^whp+rel+obj++=which
dotted ^jj+++xvbn+=dotted
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
respectful ^jj++++=respectful
of ^in++++=of
her ^pp$+pp3+++=her
housekeeping ^jj+atrb++xvbg+=housekeeping
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
directed ^vprf+++xvbnx+=directed
Alice ^np++++=Alice,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sewing ^nn++++=sewing-girl,
- ^zz++++=EXTRAWORD
girl ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
making ^jj+++xvbg+=making
of ^in++++=of
garments ^nns+nom+++=garments
for ^in++++=for
the ^ati++++=the
approaching ^jj+atrb++xvbg+=approaching
hot ^jj+atrb+++=hot
season ^nn++++=season.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
busy ^jj++++=busy
as ^ql++++=as
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
important ^jj++++=important
as ^ql++++=as
she ^pp3a+pp3+++=she
imagined ^vbd+vprv+tht0+xvbnx+=imagined
herself ^ppl+pp3+++=herself
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
management ^nn+nom+++=management
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
ranch ^nn++++=ranch,
, ^zz++++=EXTRAWORD
time ^nn++++=time
had ^vbd+hvd+aux++=had
dragged ^vprf+++xvbnx+=dragged
itself ^ppl++++=itself
by ^in++++=by
in ^in++++=in
manacles ^nns+++??+=manacles.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
the ^ati++++=the
cloud ^nn++++=cloud
of ^in++++=of
dust ^nn++++=dust
to ^to++++=to
lift ^vbi++++=lift
the ^ati++++=the
cloud ^nn++++=cloud
of ^in++++=of
loneliness ^nns+nom+++=loneliness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
ever ^rb++++=ever
a ^at++++=a
young ^jj+atrb+++=young
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
quickened ^vbd+++xvbn+=quickened
with ^in++++=with
gladness ^nns+nom+++=gladness,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
hers ^pp$$++++=hers.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
fine ^jj+atrb+++=fine
young ^jj+atrb+++=young
Scotchman ^np+nom++??+=Scotchman
leaped ^vbd+++xvbn+=leaped
from ^in++++=from
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
clasped ^j+++xvbn+=clasped
his ^pp$+pp3+++=his
wife ^nn++++=wife
in ^in++++=in
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
a ^ap++++=a
few ^ap"++++=few
hurried ^jj+atrb++xvbn+=hurried
questions ^nns+nom+++=questions
concerning ^in++++=concerning
her ^pp$+pp3+++=her
welfare ^nn++++=welfare
during ^in++++=during
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence,
, ^zz++++=EXTRAWORD
untied ^j+++xvbn+=untied
a ^at++++=a
small ^jj+atrb+++=small
buckskin ^nn+++??+=buckskin
bag ^nn++++=bag
which ^whp+rel+subj++=which
depended ^vbd+++xvbn+=depended
from ^in++++=from
the ^ati++++=the
pommel ^nn+++??+=pommel
of ^in++++=of
his ^pp$+pp3+++=his
saddle ^nn++++=saddle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
remarking ^jj+++xvbg+=remarking,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
might ^md+pos+++=might
need ^vb++++=need
some ^dti++++=some
spending ^jj+++xvbg+=spending-money,
- ^zz++++=EXTRAWORD
money ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Violante ^np+++??+=Violante,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
held ^vbd+vprv++xvbn+=held
up ^rp++++=up
the ^ati++++=the
bag ^nn++++=bag
containing ^vwbg+++xvbg+=containing
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
a ^at++++=a
hundred ^cd++++=hundred
times ^nns++++=times
more ^rbr++++=more
gold ^nn++++=gold
than ^cs+sub+++=than
her ^pp3o+pp3+++=her
simple ^jj+atrb+++=simple
tastes ^nns++++=tastes
and ^cc++++=and
restricted ^xvbn+++xvbn+=restricted
opportunities ^nns+nom+++=opportunities
would ^md+prd+++=would
permit ^vb++++=permit
her ^pp3o+pp3+++=her
to ^to++++=to
employ ^vbi++++=employ.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
her ^pp$+pp3+++=her
Robert ^np++++=Robert
the ^ati++++=the
most ^ql+emph+++=most
generous ^jj++++=generous
of ^in++++=of
men ^nns++++=men?
? ^zz++++=EXTRAWORD
Other ^ap++++=Other
eyes ^nns++++=eyes
than ^in++++=than
hers ^pp$$++++=hers
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it--those
-- ^--+clp+++=EXTRAWORD
those ^dt+dem+++=EXTRAWORD
of ^in++++=of
Basilio ^np++++=Basilio
Velasco ^np+++??+=Velasco,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
vaqueros ^nns+++??+=vaqueros;
; ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
swarthy ^jj+atrb+++=swarthy
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
blackest ^jjt++++=blackest
and ^cc+phrs+++=and
sharpest ^jjt++++=sharpest
of ^in++++=of
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
just ^rb+emph+++=just
then ^rn+tm+++=then
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange
glitter ^nn++++=glitter.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
handsome ^jj+atrb+++=handsome
couple ^nn++++=couple
were ^vbd+bed+vrb++=were
the ^ati++++=the
young ^jj+atrb+++=young
husband ^nn++++=husband
and ^cc++++=and
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as,
, ^zz++++=EXTRAWORD
arm ^nn++++=arm-in-arm,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
arm ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
house ^nn++++=house--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
so ^rb+emph+++=so
large ^jj++++=large,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
red ^jj++++=red,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
masculine ^jj++++=masculine;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
so ^ql+emph+++=so
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reliant ^np+nom+++=reliant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feminine ^jj++++=feminine!
! ^zz++++=EXTRAWORD
Beautiful ^jj+atrb+++=Beautiful
Spanish ^jj+atrb+++=Spanish
girls ^nns++++=girls
were ^vbd+bed+vrb++=were
plentiful ^jj+pred+++=plentiful
in ^in++++=in
those ^dt+dem+++=those
youthful ^jj+atrb+++=youthful
days ^nns++++=days
of ^in++++=of
California ^np++++=California;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Violante ^np+++??+=Violante
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
beautiful ^jj++++=beautiful
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
maidens ^nns++++=maidens
between ^in++++=between
the ^ati++++=the
Santa ^&fw++++=Santa
Barbara ^np++++=Barbara
Channel ^nn++++=Channel
and ^cc++++=and
the ^ati++++=the
Bay ^nn++++=Bay
of ^in++++=of
Monterey ^np+++??+=Monterey.
. ^zz++++=EXTRAWORD
Hard ^jj++++=Hard-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
fiery ^jj++++=fiery-tempered
- ^zz++++=EXTRAWORD
tempered ^vwbn+++xvbn+=EXTRAWORD
Scotch ^np++++=Scotch
Presbyterian ^jj++++=Presbyterian;
; ^zz++++=EXTRAWORD
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faithful ^jj++++=faithful
Catholic ^jj++++=Catholic;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
the ^ati++++=the
happiest ^jjt++++=happiest
and ^cc++++=and
most ^ql+emph+++=most
devoted ^jj+++xvbn+=devoted
of ^in++++=of
couples ^nns++++=couples.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
little ^ap++++=little
Violante ^np+++??+=Violante,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="take
take ^vb++++=EXTRAWORD
the ^ati++++=the
bag ^nn++++=bag
up ^in+cmpx+++=up
to ^in"++++=to
your ^pp$+pp2+++=your
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
us ^pp1o+pp1+++=us
dinner ^nn++++=dinner;
; ^zz++++=EXTRAWORD
for ^in++++=for
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
rest ^nn++++=rest
we ^pp1a+pp1+++=we
must ^md+nec+++=must
ride ^vb++++=ride
over ^in++++=over
to ^in++++=to
the ^ati++++=the
range ^nn++++=range
and ^cc++++=and
look ^vb++++=look
after ^in+ppvb+++=after
the ^ati++++=the
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
that ^dt+dem+++=that
you ^pp2+pp2+++=you
and ^cc++++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
a ^at++++=a
good ^jj++++=good,
, ^zz++++=EXTRAWORD
long ^rb++++=long
visit ^vb++++=visit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
These ^dt+dem+++=These
pleasant ^jj+atrb+++=pleasant
duties ^nns++++=duties
were ^vbd+bed+aux++=were
quickly ^rb++splt++=quickly
dispatched ^vpsv++agls+xvbnx+=dispatched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dusty ^jj+atrb+++=dusty
men ^nns++++=men,
, ^zz++++=EXTRAWORD
led ^xvbn+++xvbn+=led
by ^in++++=by
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
galloped ^j+++xvbn+=galloped
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
of ^in++++=of
her ^pp$+pp3+++=her
room ^nn++++=room
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
receding ^jj+atrb++xvbg+=receding
cloud ^nn++++=cloud
of ^in++++=of
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
at ^rb++++=at
that ^dt+dem+++=that
urgent ^jj+atrb+++=urgent
sense ^nn++++=sense
of ^in++++=of
duty ^nn++++=duty
which ^whp+rel+subj++=which
could ^md+pos+++=could
make ^vb++++=make
so ^rb+emph+++=so
fond ^jj++++=fond
a ^at++++=a
husband ^nn++++=husband
leave ^vb++++=leave
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
for ^in++++=for
a ^at++++=a
short ^jj+atrb+++=short
time ^nn++++=time,
, ^zz++++=EXTRAWORD
after ^in++++=after
so ^ql++++=so
long ^rb++++=long
a ^at++++=a
separation ^nn+nom+++=separation.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat,
, ^zz++++=EXTRAWORD
dreamily ^rb++++=dreamily
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
her ^pp$+pp3+++=her
great ^jj+atrb+++=great
happiness ^nns+nom+++=happiness
in ^in++++=in
having ^xvbg+++xvbg+=having
him ^pp3o+pp3+++=him
once ^rb+tm+++=once
again ^rb+tm+++=again
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drinking ^nvbg+++xvbg+=drinking
in ^in++++=in
the ^ati++++=the
rich ^jj+atrb+++=rich
perfume ^nn++++=perfume
of ^in++++=of
the ^ati++++=the
racemes ^nns+++??+=racemes
of ^in++++=of
wistaria ^nn++++=wistaria-blossoms
- ^zz++++=EXTRAWORD
blossoms ^nns+++??+=EXTRAWORD
which ^whp+rel+subj++=which
covered ^vbd+++xvbn+=covered
the ^ati++++=the
massive ^jj+atrb+++=massive
vine ^nn++++=vine
against ^in++++=against
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
old ^jj+atrb+++=old
vine ^nn++++=vine,
, ^zz++++=EXTRAWORD
springing ^vbg+++xvbg+=springing
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground
beneath ^in+pl+++=beneath
the ^ati++++=the
window ^nn++++=window
at ^in++++=at
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat,
, ^zz++++=EXTRAWORD
spread ^j+++xvbn+=spread
its ^pp$+it+++=its
long ^jj+atrb+++=long
arms ^nns++++=arms
almost ^rb+hdg+++=almost
completely ^rb+amp+++=completely
over ^in++++=over
that ^dt+dem+++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
for ^in++++=for
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hung ^vbd+++xvbn+=hung
gracefully ^rb++++=gracefully
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
eaves ^nns++++=eaves,
, ^zz++++=EXTRAWORD
embowering ^jj+++xvbg+=embowering
their ^pp$+pp3+++=their
lovely ^jj+atrb+++=lovely
owner ^nn++++=owner
in ^in++++=in
a ^at++++=a
tangled ^jj+atrb+++=tangled
mass ^nn++++=mass
of ^in++++=of
purple ^jj+atrb+++=purple
blossoms ^nns+++??+=blossoms.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
exquisite ^jj+atrb+++=exquisite
picture ^nn++++=picture--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
pretty ^jj+atrb+++=pretty
wife ^nn++++=wife
sitting ^vwbg+++xvbg+=sitting
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
whitest ^nn++++=whitest
of ^in++++=of
lawns ^nns++++=lawns,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
hills ^nns++++=hills
from ^in++++=from
this ^dt+dem+++=this
frame ^nn++++=frame
of ^in++++=of
gorgeous ^jj+atrb+++=gorgeous
flowers ^nns+nom+++=flowers--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
charming ^jj+++xvbg+=charming
from ^in++++=from
her ^pp$+pp3+++=her
unconsciousness ^nns+nom+++=unconsciousness
of ^in++++=of
its ^pp$+it+++=its
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
her ^pp$+pp3+++=her
maid ^np++++=maid,
, ^zz++++=EXTRAWORD
Alice ^np++++=Alice,
, ^zz++++=EXTRAWORD
sewing ^nn++++=sewing
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
senora ^nn++++=senora
looked ^vbd+++xvbn+=looked
dreamily ^rb++++=dreamily
over ^in++++=over
the ^ati++++=the
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
aware ^jj++++=aware
of ^in++++=of
the ^ati++++=the
peculiar ^jj+atrb+++=peculiar
actions ^nns+nom+++=actions
of ^in++++=of
a ^at++++=a
man ^nn++++=man
on ^in++++=on
horseback ^nn++++=horseback,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
approaching ^vbg+++xvbgx+=approaching
the ^ati++++=the
house ^nn++++=house
from ^in++++=from
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
her ^pp$+pp3+++=her
husband ^nn++++=husband
and ^cc++++=and
the ^ati++++=the
vaqueros ^nns+++??+=vaqueros
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
which ^whp+rel+subj++=which
summoned ^vbd+++xvbn+=summoned
her ^pp$+pp3+++=her
attention ^nn+nom+++=attention
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
man ^nn++++=man
was ^vbd+bedz+aux++=was
approaching ^vbg+++xvbgx+=approaching
by ^in++++=by
an ^at++++=an
irregular ^jj+atrb+++=irregular
route ^nn++++=route,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
no ^at++++=no
ordinary ^jj+atrb+++=ordinary
circumstance ^nn+nom+++=circumstance
would ^md+prd+++=would
have ^vb+hv+aux++=have
required ^vprf+++xvbnx+=required.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
such ^abl++++=such
a ^at++++=a
way ^nn++++=way
of ^in++++=of
keeping ^nn++++=keeping
behind ^in+pl+++=behind
the ^ati++++=the
trees ^nns++++=trees
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
determine ^vb++++=determine
his ^pp$+pp3+++=his
identity ^nn+nom+++=identity.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
looked ^vbd+++xvbn+=looked
strange ^jj++++=strange
and ^cc+phrs+++=and
mysterious ^jj++++=mysterious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
impelled ^vbd+++xvbn+=impelled
her ^pp$+pp3+++=her
to ^to++++=to
drop ^vbi++++=drop
the ^ati++++=the
lace ^nn++++=lace
curtain ^nn++++=curtain
over ^in++++=over
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
for ^in++++=for
behind ^in+pl+++=behind
it ^pp3+it+++=it
she ^pp3a+pp3+++=she
could ^md+pos+++=could
watch ^vb++++=watch
without ^in++++=without
danger ^nn++++=danger
of ^in++++=of
being ^nn+nn+aux++=being
seen ^vbd+vprv++xvbn+=seen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horseman ^nn+nom+++=horseman
disappeared ^vbd+seem++xvbn+=disappeared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
made ^vprf+++xvbn+=made
her ^pp$+pp3+++=her
uneasiness ^nns+nom+++=uneasiness
all ^rb++++=all
the ^ati++++=the
greater ^jjr++++=greater,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing
to ^in++++=to
Alice ^np++++=Alice.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed
the ^ati++++=the
man ^nn++++=man
on ^in++++=on
foot ^nn++++=foot
approaching ^vwbg+++xvbg+=approaching
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
watchful ^jj++++=watchful,
, ^zz++++=EXTRAWORD
skulking ^vbg+++xvbg+=skulking
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
slipping ^vbg+++xvbg+=slipping
from ^in++++=from
one ^cd1++++=one
tree ^nn++++=tree
or ^cc++++=or
one ^cd1++++=one
bit ^nn++++=bit
of ^in++++=of
shrubbery ^nn+nom+++=shrubbery
to ^in++++=to
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
swift ^nn++++=swift
run ^vbd+++xvbn+=run,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
stealthily ^rb++++=stealthily
and ^cc+phrs+++=and
noiselessly ^rb++++=noiselessly
as ^in++++=as
a ^at++++=a
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
ascend ^vbi+++??+=ascend
to ^in++++=to
her ^pp$+pp3+++=her
window ^nn++++=window
by ^in++++=by
clambering ^nn++++=clambering
up ^rp++++=up
the ^ati++++=the
