Apollo ^np++++=Apollo
their ^pp$+pp3+++=their
features ^nns++++=features
blend ^nn++++=blend
and ^cc++++=and
bleed ^vb++++=bleed
into ^in++++=into
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
even ^rb++++=even
smelled ^vwbn+++xvbn+=smelled
alike ^rb++++=alike
a ^at++++=a
menthol ^nn+++??+=menthol
scent ^nn++++=scent,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
green ^jj++++=green
vial ^jj++++=vial
of ^in++++=of
Vicks ^np+++??+=Vicks
Vaporub ^np+++??+=VapoRub
they ^pp3a+pp3+++=they
passed ^vbd+++xvbnx+=passed
to ^in++++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
carefully ^rb++++=carefully
rubbing ^nvbg+++xvbg+=rubbing
a ^rb++++=a
little ^rb"++++=little
in ^in++++=in
their ^pp$+pp3+++=their
nostrils ^nns++++=nostrils
and ^cc++++=and
on ^in++++=on
aching ^xvbg+++xvbg+=aching
joints ^nns++++=joints.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
arrived ^vbd+++xvbnx+=arrived,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
find ^vb+vprv+++=find
them ^pp3o+pp3+++=them
either ^dtx++++=either
sitting ^jj+++xvbg+=sitting
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
veranda ^nn++++=veranda
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
road ^nn++++=road
or ^cc++++=or
sunk ^vpsv++agls+xvbn+=sunk
into ^in++++=into
the ^ati++++=the
living ^jj+++xvbg+=living-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
sofa ^nn++++=sofa,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
Animal ^nn++++=Animal
Planet ^nn++++=Planet.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
a ^at++++=a
new ^jj+atrb+++=new,
, ^zz++++=EXTRAWORD
simple ^jj+atrb+++=simple
sense ^nn++++=sense
of ^in++++=of
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
marvelled ^vbd+++xvbnx+=marvelled
at ^in++++=at
the ^ati++++=the
wiliness ^nns+nom+++=wiliness
of ^in++++=of
wolves ^nps++++=wolves,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed
at ^in++++=at
the ^ati++++=the
cleverness ^nns+nom+++=cleverness
of ^in++++=of
apes ^nns+++??+=apes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
each ^ppls++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
" ^zz++++="Ifukwa?
ifukwa ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new,
, ^zz++++=EXTRAWORD
baffling ^jj+atrb+++=baffling
patience ^nn+nom+++=patience
for ^in++++=for
incredible ^jj+atrb+++=incredible
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^nn++++=mother
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
a ^at++++=a
sick ^jj+atrb+++=sick
neighbor ^nn++++=neighbor
in ^in++++=in
Abba ^np+++??+=Abba,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
ancestral ^jj+atrb+++=ancestral
home ^nr++++=home
town ^nn++++=town,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
vomited ^vprf+++xvbnx+=vomited
a ^at++++=a
grasshopper ^nn+nom+++=grasshopper
a ^at++++=a
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
writhing ^jj+atrb+++=writhing
insect ^nn++++=insect,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
proof ^nn++++=proof
that ^tht+ncmp+++=that
wicked ^jj+atrb+++=wicked
relatives ^nns++++=relatives
had ^vb+hv+vrb++=had
poisoned ^jj++++=poisoned
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Somebody
somebody ^pn++++=EXTRAWORD
texted ^vbd+++xvbn+=texted
us ^pp1o+pp1+++=us
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
grasshopper ^nn+nom+++=grasshopper,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^npt++++=father
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
always ^rb++++=always
supported ^vbd+++xvbn+=supported
each ^ppls++++=each
other's ^ppls++++=other's
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
my ^pp$+pp1+++=my
father ^nn++++=father
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
Chief ^jjb++++=Chief
Okeke ^np++++=Okeke's
's ^$++++=EXTRAWORD
young ^jj+atrb+++=young
house ^npl++++=house
help ^vb++++=help
had ^vb+hv+aux++=had
mysteriously ^rb++splt++=mysteriously
died ^vprf+++xvbnx+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
story ^nn++++=story
around ^in++++=around
town ^nn++++=town
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
chief ^jjb++++=chief
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
the ^ati++++=the
teen ^jjb++++=teen-ager
- ^zz++++=EXTRAWORD
ager ^jjr++++=EXTRAWORD
and ^cc+phrs+++=and
used ^jj+++xvbn+=used
her ^pp$+pp3+++=her
liver ^nn++++=liver
for ^in++++=for
moneymaking ^xvbg+++xvbg+=moneymaking
rituals ^nns+nom+++=rituals,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^npt++++=mother
added ^vbd+vpub++xvbn+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
used ^vbd+++xvbnx+=used
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fifteen ^cd++++=Fifteen
years ^nns++++=years
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
parents ^nns++++=parents
would ^md+prd+++=would
have ^vb+hv+aux++=have
scoffed ^vprf+++xvbnx+=scoffed
at ^in++++=at
these ^dt+dem+++=these
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
a ^at++++=a
professor ^nn++++=professor
of ^in++++=of
political ^jj+atrb+++=political
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
" ^zz++++="Nonsense"
nonsense ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
crisp ^jj+atrb+++=crisp
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
a ^at++++=a
professor ^nn++++=professor
of ^in++++=of
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
merely ^rb+down+++=merely
have ^vb+hv+aux++=have
snorted ^vprf+++xvbnx+=snorted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stories ^nns++++=stories
not ^xnot++not++=not
worth ^in++++=worth
the ^ati++++=the
effort ^nn++++=effort
of ^in++++=of
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
puzzled ^vbd+++xvbn+=puzzled
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
shed ^vprf+++xvbnx+=shed
those ^dt+dem+++=those
old ^jj+atrb+++=old
selves ^nns++++=selves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
become ^vb++++=become
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
Nigerians ^np+++??+=Nigerians
who ^whp+rel+subj++=who
told ^vbd+vpub++xvbn+=told
anecdotes ^nns++++=anecdotes
about ^in++++=about
diabetes ^nn++++=diabetes
cured ^vwbn+++xvbn+=cured
by ^in++++=by
drinking ^xvbg+++xvbg+=drinking
holy ^jj+atrb+++=holy
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
humored ^vbd+++xvbnx+=humored
them ^pp3o+pp3+++=them
and ^cc++++=and
half ^abn++++=half
listened ^jj+++xvbn+=listened
to ^in++++=to
their ^pp$+pp3+++=their
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
innocence ^nn+nom+++=innocence,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
new ^jj+atrb+++=new
childhood ^nn+nom+++=childhood
of ^in++++=of
old ^jj+atrb+++=old
age ^nn++++=age.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
slower ^jjr++++=slower
with ^in++++=with
the ^ati++++=the
passing ^jj+atrb++xvbg+=passing
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
faces ^vbz++++=faces
lit ^vbd+++xvbn+=lit
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
me ^pp1o+pp1+++=me
and ^cc++++=and
even ^rb++++=even
their ^pp$+pp3+++=their
prying ^jj+atrb+++=prying
questions ^nns+nom+++=questions
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
give ^vb++++=give
us ^pp1o+pp1+++=us
a ^at++++=a
grandchild ^nn+++??+=grandchild?
? ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
will ^md+prd+++=will
you ^pp2+pp2+++=you
bring ^vb++++=bring
a ^at++++=a
girl ^nn++++=girl
to ^to++++=to
introduce ^vbi++++=introduce
to ^in++++=to
us ^pp1o+pp1+++=us?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
as ^ql++++=as
tense ^jj++++=tense
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
time ^nn++++=time
I ^pp1a+pp1+++=I
drove ^vbd+++xvbnx+=drove
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
on ^in++++=on
Sunday ^nr++++=Sunday
afternoons ^nns++++=afternoons
after ^in++++=after
a ^at++++=a
big ^jj+atrb+++=big
lunch ^nn++++=lunch
of ^in++++=of
rice ^nn++++=rice
and ^cc++++=and
stew ^nn+++??+=stew,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
if ^cs+cnd+++=if
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
I ^pp1a+pp1+++=I
would ^md+prd+++=would
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
both ^abx++++=both
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
before ^cs+sub+++=before
my ^pp$+pp1+++=my
next ^ap++++=next
visit ^vb++++=visit
I ^pp1a+pp1+++=I
would ^md+prd+++=would
receive ^vb++++=receive
a ^at++++=a
phone ^nn++++=phone
call ^nn++++=call
from ^in++++=from
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
telling ^jj+++xvbg+=telling
me ^pp1o+pp1+++=me
to ^to++++=to
come ^vbi++++=come
right ^nn++++=right
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
filled ^vbd+++xvbn+=filled
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
nostalgic ^jj+atrb+++=nostalgic
sadness ^nns+nom+++=sadness
that ^tht+rel+subj++=that
stayed ^vprf+++xvbn+=stayed
with ^in++++=with
me ^pp1o+pp1+++=me
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
back ^rb+phrv+++=back
to ^in++++=to
Port ^nn++++=Port
Harcourt ^np+++??+=Harcourt.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb++++=yet
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
family ^nn++++=family,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
complain ^vb+vpub+++=complain
about ^in++++=about
rising ^xvbg+++xvbg+=rising
school ^nn++++=school
fees ^nns++++=fees
as ^in++++=as
the ^ati++++=the
children ^nns++++=children
of ^in++++=of
their ^pp$+pp3+++=their
friends ^nns++++=friends
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
visit ^nn++++=visit
them ^pp3o+pp3+++=them
so ^rb++++=so
regularly ^rb++++=regularly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
for ^in++++=for
which ^whp+rel+pied++=which
to ^in++++=to
make ^vbi++++=make
amends ^nns++++=amends.
. ^zz++++=EXTRAWORD
During ^in++++=During
a ^at++++=a
visit ^nn++++=visit
in ^in++++=in
November ^nr+nom+++=November,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
parents ^nns++++=parents
talked ^vbd+++xvbn+=talked
about ^in++++=about
the ^ati++++=the
increase ^nn++++=increase
in ^in++++=in
armed ^xvbn+++xvbn+=armed
robberies ^nns+nom+++=robberies
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
Thieves ^nns++++=Thieves,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
prepare ^vb++++=prepare
for ^in++++=for
Christmas ^np++++=Christmas.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
how ^wrb+who+++=how
a ^at++++=a
vigilante ^nn+++??+=vigilante
mob ^nn++++=mob
in ^in++++=in
Onitsha ^np+++??+=Onitsha
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
some ^dti++++=some
thieves ^nns++++=thieves,
, ^zz++++=EXTRAWORD
beaten ^j+++xvbn+=beaten
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
torn ^vpsv++agls+xvbn+=torn
off ^rb+phrv+++=off
their ^pp$+pp3+++=their
clothes ^nns++++=clothes
how ^wrb+who+++=how
old ^jj++++=old
tires ^vbz++++=tires
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
over ^in++++=over
their ^pp$+pp3+++=their
heads ^nns++++=heads
like ^in++++=like
necklaces ^nns+++??+=necklaces,
, ^zz++++=EXTRAWORD
amid ^in++++=amid
shouts ^nns++++=shouts
for ^in++++=for
petrol ^nn++++=petrol
and ^cc++++=and
matches ^nns++++=matches,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
police ^nns++++=police
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
fired ^jj+atrb++xvbn+=fired
shots ^nns++++=shots
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
to ^to++++=to
disperse ^vbi++++=disperse
the ^ati++++=the
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
the ^ati++++=the
robbers ^nns+nom+++=robbers
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
paused ^vbd+++xvbn+=paused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
for ^in++++=for
a ^at++++=a
supernatural ^jj+atrb+++=supernatural
detail ^nn++++=detail
that ^tht+rel+subj++=that
would ^md+prd+++=would
embellish ^vb++++=embellish
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Perhaps ^rb+cnj+++=Perhaps,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
they ^pp3a+pp3+++=they
arrived ^vbd+++xvbnx+=arrived
at ^rb++++=at
the ^ati++++=the
police ^nns++++=police
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thieves ^nns++++=thieves
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
into ^in++++=into
vultures ^nns+++??+=vultures
and ^cc++++=and
flown ^vbd+++xvbn+=flown
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="one
one ^pn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
armed ^jj+atrb++xvbn+=armed
robbers ^nns+nom+++=robbers,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact
the ^ati++++=the
ring ^nn++++=ring
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Raphael ^np++++=Raphael?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
houseboy ^nn++++=houseboy
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
remember ^nn+nom+++=remember
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
my ^pp$+pp1+++=my
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
" ^zz++++="Raphael?"
raphael ^np++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
surprising ^jj+++xvbg+=surprising
he ^pp3a+pp3+++=he
ended ^vbd+++xvbnx+=ended
like ^in++++=like
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^npt++++=father
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
start ^vb++++=start
well ^jj+pred+++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mind ^nn++++=mind
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
submerged ^vpsv++agls+xvbnx+=submerged
in ^in++++=in
the ^ati++++=the
foggy ^nn+++??+=foggy
lull ^vb++++=lull
of ^in++++=of
my ^pp$+pp1+++=my
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
storytelling ^nn+nom+++=storytelling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
struggled ^vbd+++xvbnx+=struggled
now ^rn+tm+++=now
with ^in++++=with
the ^ati++++=the
sharp ^jj+atrb+++=sharp
awakening ^nn++++=awakening
of ^in++++=of
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
said ^vbd+vpub++xvbn+=said
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
probably ^rb++++=probably
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
so ^ql++++=so
many ^ap++++=many
of ^in++++=of
those ^dt+dem+++=those
houseboys ^nns+++??+=houseboys.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=were
young ^jj+pred+++=young."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
Raphael ^np++++=Raphael.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
changed ^vbd+++xvbn+=changed
when ^wrb+who+++=when
Raphael ^np++++=Raphael
came ^vbd+++xvbn+=came
to ^to++++=to
live ^vbi++++=live
with ^in+ppvb+++=with
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
like ^in++++=like
all ^abn++++=all
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
an ^at++++=an
ordinary ^jj++++=ordinary-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
teen ^jjb++++=teen
from ^in++++=from
a ^at++++=a
nearby ^jjb+atrb+++=nearby
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
The ^ati++++=The
houseboy ^nn++++=houseboy
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Hyginus ^np+++??+=Hyginus,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++agls+xvbnx+=sent
home ^nr++++=home
for ^in++++=for
insulting ^jj++++=insulting
my ^pp$+pp1+++=my
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
Hyginus ^np+++??+=Hyginus
was ^vbd+bedz+vrb++=was
John ^np++++=John,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
sent ^vpsv++agls+xvbnx+=sent
away ^rb+phrv+++=away;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
a ^at++++=a
plate ^nn++++=plate
while ^cs+sub+++=while
washing ^nvbg+++xvbg+=washing
it ^pp3+it+++=it
and ^cc++++=and,
, ^zz++++=EXTRAWORD
fearing ^vbg+vprv+tht0+xvbg+=fearing
my ^pp$+pp1+++=my
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
packed ^vprf+++xvbnx+=packed
his ^pp$+pp3+++=his
things ^nns++++=things
and ^cc++++=and
fled ^vbd+++xvbn+=fled
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
