We ^pp1a+pp1+++=We,
pleasing ^jj+atrb++xvbg+=pleasing
figures ^nns++++=figures
of ^in++++=of
Lazarus ^np+++??+=Lazarus
in ^in++++=in
his ^pp$+pp3+++=his
grave ^jj++++=grave-clothes,
- ^zz++++=EXTRAWORD
clothes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Death ^nn++++=Death
on ^in++++=on
the ^ati++++=the
pale ^nn++++=pale
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
impress ^nns+nom+++=impress
us ^pp1o+pp1+++=us
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tombs ^nns++++=tombs
of ^in++++=of
Westminster ^np+nom+++=Westminster
Abbey ^nn++++=Abbey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
vaults ^nns++++=vaults
at ^rb++++=at
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul's,
's, ^nn+++??+=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
in ^in++++=in
armor ^nn++++=armor
at ^in++++=at
the ^ati++++=the
Tower ^nn++++=Tower,
, ^zz++++=EXTRAWORD
frowning ^vbg+++xvbg+=frowning
ferociously ^rb++++=ferociously
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
helmets ^nns++++=helmets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wielding ^vbg+++xvbg+=wielding
their ^pp$+pp3+++=their
dreadful ^jj+atrb+++=dreadful
swords ^nns++++=swords;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
superhuman ^jj+atrb+++=superhuman
Queen ^nn++++=Queen
Elizabeth ^np++++=Elizabeth
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
a ^at++++=a
livid ^jj+atrb+++=livid
sovereign ^nn++++=sovereign
with ^in++++=with
glass ^nn++++=glass
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
a ^at++++=a
ruff ^nn+++??+=ruff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
dirty ^jj+atrb+++=dirty
satin ^nn++++=satin
petticoat ^nn++++=petticoat,
, ^zz++++=EXTRAWORD
riding ^nvbg+++xvbg+=riding
a ^at++++=a
horse ^nn++++=horse
covered ^vbd+++xvbn+=covered
with ^in++++=with
steel ^nn++++=steel:
: ^zz++++=EXTRAWORD
who ^whp+who+whq++=who
does ^vbz+doz+aux++=does
not ^xnot++not++=not
remember ^nn+nom+++=remember
these ^dt+dem+++=these
sights ^nns++++=sights
in ^in++++=in
London ^np++++=London
in ^in++++=in
the ^ati++++=the
consulship ^nn+nom+++=consulship
of ^in++++=of
Plancus ^np+++??+=Plancus?
? ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wax ^nn++++=wax-work
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
in ^in++++=in
Fleet ^nn++++=Fleet
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
like ^in++++=like
that ^dt+dem+++=that
of ^in++++=of
Madame ^npt++++=Madame
Tussaud ^np+++??+=Tussaud's,
's, ^jj+++??+0=EXTRAWORD
whose ^whp+who+++=whose
chamber ^nn++++=chamber
of ^in++++=of
death ^nn++++=death
is ^vbz+bez+vrb++=is
gay ^jj+pred+++=gay
and ^cc+phrs+++=and
brilliant ^jj++++=brilliant;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
nice ^jj+atrb+++=nice
old ^jj+atrb+++=old
gloomy ^jj+atrb+++=gloomy
wax ^nn++++=wax-work,
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
murderers ^nns+nom+++=murderers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
a ^at++++=a
chief ^jjb+atrb+++=chief
attraction ^nn+nom+++=attraction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dead ^jj+atrb+++=Dead
Baby ^nn++++=Baby
and ^cc++++=and
the ^ati++++=the
Princess ^nns+nom+++=Princess
Charlotte ^np++++=Charlotte
lying ^vwbg+++xvbg+=lying
in ^in++++=in
state ^nn++++=state?
? ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
story ^nn++++=story-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
pictures ^nns++++=pictures
in ^in++++=in
them ^pp3o+pp3+++=them
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part.
. ^zz++++=EXTRAWORD
Frank ^np++++=Frank
( ^zz++++=(dear
dear ^jj++++=EXTRAWORD
old ^jj++++=old
Frank ^jj++++=Frank!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
none ^pn++++=none;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
" ^zz++++="Parent's
parent ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
Assistant ^nn+nom+++=Assistant;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
nor ^cc++neg++=nor
the ^ati++++=the
" ^zz++++="Evenings
evenings ^nns++++=EXTRAWORD
at ^in++++=at
Home ^nr++++=Home;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
nor ^cc++neg++=nor
our ^pp$+pp1+++=our
copy ^nn++++=copy
of ^in++++=of
the ^ati++++=the
" ^zz++++="Ami
ami ^&fw++++=EXTRAWORD
des ^&fw++++=des
Enfans ^np+++??+=Enfans:"
: ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
a ^ap++++=a
few ^ap"++++=few
just ^rb+emph+++=just
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Spelling ^nn+nom+++=Spelling-Book;
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
the ^ati++++=the
allegory ^nn++++=allegory
at ^in++++=at
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
of ^in++++=of
Education ^nn+nom+++=Education
leading ^vwbg+++xvbg+=leading
up ^rp++++=up
Youth ^nn++++=Youth
to ^in++++=to
the ^ati++++=the
temple ^nn++++=temple
of ^in++++=of
Industry ^nn++++=Industry,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Dilworth ^np++++=Dilworth
and ^cc++++=and
Professor ^npt++++=Professor
Walkinghame ^np+++??+=Walkinghame
stood ^vbd+++xvbn+=stood
with ^in++++=with
crowns ^nns++++=crowns
of ^in++++=of
laurel ^nn++++=laurel.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^ap++++=a
few ^ap"++++=few
pictures ^nns++++=pictures
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Spelling ^nn+nom+++=Spelling-Book,
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
little ^ap++++=little
oval ^jj+atrb+++=oval
gray ^np++++=gray
woodcuts ^nns++++=woodcuts
of ^in++++=of
Bewick ^np+++??+=Bewick's,
's, ^nn+++??+=EXTRAWORD
mostly ^rb++++=mostly
of ^in++++=of
the ^ati++++=the
Wolf ^nn++++=Wolf
and ^cc++++=and
the ^ati++++=the
Lamb ^nn++++=Lamb,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dog ^nn++++=Dog
and ^cc++++=and
the ^ati++++=the
Shadow ^nn++++=Shadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brown ^np++++=Brown,
, ^zz++++=EXTRAWORD
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Robinson ^np++++=Robinson
with ^in++++=with
long ^jj+atrb+++=long
ringlets ^nns+nom+++=ringlets
and ^cc++++=and
little ^jj+atrb+++=little
tights ^nns++++=tights;
; ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
so ^ql++++=so
to ^to++++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
had ^vb+hv+aux++=had
we ^pp1a+pp1+++=we?
? ^zz++++=EXTRAWORD
The ^ati++++=The
rough ^jj+atrb+++=rough
old ^jj+atrb+++=old
wood ^nn++++=wood-blocks
- ^zz++++=EXTRAWORD
blocks ^nns++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
harlequin ^nn+++??+=harlequin-backed
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
fairy ^nn++++=fairy-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
hundreds ^cds++++=hundreds
of ^in++++=of
years ^nns++++=years;
; ^zz++++=EXTRAWORD
before ^in++++=before
Our ^pp$+pp1+++=OUR
Plancus ^np+++??+=Plancus,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
Priscus ^np+++??+=Priscus
Plancus ^np+++??+=Plancus--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
Queen ^npt++++=Queen
Anne ^np++++=Anne's
's ^$++++=EXTRAWORD
time ^nn++++=time,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
knows ^vbz+vprv+++=knows?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
flogged ^vpsv++agls+xvbnx+=flogged
at ^rb++++=at
school ^nn++++=school;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
fifty ^cd++++=fifty
boys ^nns++++=boys
in ^in++++=in
our ^pp$+pp1+++=our
boarding ^nn++++=boarding-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^md"++pmd"++=had
to ^md+nec+++=to
wash ^vb++++=wash
in ^in++++=in
a ^at++++=a
leaden ^jj+atrb++xvbn+=leaden
trough ^nn++++=trough,
, ^zz++++=EXTRAWORD
under ^in++++=under
a ^at++++=a
cistern ^nn++++=cistern,
, ^zz++++=EXTRAWORD
with ^in++++=with
lumps ^nns++++=lumps
of ^in++++=of
fat ^nn++++=fat
yellow ^jj+atrb+++=yellow
soap ^nn++++=soap
floating ^vwbg+++xvbg+=floating
about ^rb++++=about
in ^in++++=in
the ^ati++++=the
ice ^nn++++=ice
and ^cc++++=and
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
Our ^pp$+pp1+++=OUR
sons ^nns++++=sons
ever ^rb++++=ever
flogged ^vbd+++xvbn+=flogged?
? ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
they ^pp3a+pp3+++=they
not ^xnot++not++=not
dressing ^nvbg+++xvbg+=dressing-rooms,
- ^zz++++=EXTRAWORD
rooms ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hair ^nn++++=hair-oil,
- ^zz++++=EXTRAWORD
oil ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hip ^nn++++=hip-baths,
- ^zz++++=EXTRAWORD
baths ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Baden ^np+++??+=Baden
towels ^nns++++=towels?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+++=what
picture ^nn++++=picture-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
villains ^nns+++??+=villains
have ^vb+hv+vrb++=have!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
have ^vb+hv+aux++=have
these ^dt+dem+++=these
children ^nns++++=children
done ^vwbn+++xvbn+=done
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
be ^vb+be+vrb++=be
so ^ql++++=so
much ^ap++++=much
happier ^jjr++++=happier
than ^in++++=than
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
the ^ati++++=the
" ^zz++++="Arabian
arabian ^jj+atrb+++=EXTRAWORD
Nights ^nns++++=Nights"
" ^zz++++=EXTRAWORD
and ^cc++++=and
Walter ^np++++=Walter
Scott ^np++++=Scott,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure.
. ^zz++++=EXTRAWORD
Smirke ^np++++=Smirke's
's ^$++++=EXTRAWORD
illustrations ^nns+nom+++=illustrations
to ^in++++=to
the ^ati++++=the
former ^ap++++=former
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
good ^jj++++=good
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
doubt ^nn++++=doubt
whether ^cs+who+++=whether
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
prefer ^vb+vprv+++=prefer
the ^ati++++=the
little ^jj++++=little
old ^jj++++=old
" ^zz++++="Miniature
miniature ^nn++++=EXTRAWORD
Library ^nn+nom+++=Library
Nights ^nns++++=Nights"
" ^zz++++=EXTRAWORD
with ^in++++=with
frontispieces ^nns+++??+=frontispieces
by ^in++++=by
Uwins ^np+++??+=Uwins;
; ^zz++++=EXTRAWORD
for ^in++++=for
These ^dt+dem+++=THESE
books ^nns++++=books
the ^ati++++=the
pictures ^nns++++=pictures
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
count ^vb++++=count.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
boy ^nn++++=boy
of ^in++++=of
imagination ^nn+nom+++=imagination
does ^vbz+doz+vrb++=does
his ^pp$+pp3+++=his
own ^ap++++=own
pictures ^nns++++=pictures
to ^in++++=to
Scott ^np++++=Scott
and ^cc++++=and
the ^ati++++=the
" ^zz++++="Arabian
arabian ^jj+atrb+++=EXTRAWORD
Nights ^nns++++=Nights"
" ^zz++++=EXTRAWORD
best ^jjt++++=best.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
funny ^jj+atrb+++=funny
pictures ^nns++++=pictures
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
none ^pn++++=none
especially ^rb++++=especially
intended ^vbd+vsua++xvbn+=intended
for ^in++++=for
us ^pp1o+pp1+++=us
children ^nns++++=children.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
Rowlandson ^np++++=Rowlandson's
's ^$++++=EXTRAWORD
" ^zz++++="Doctor
doctor ^nn++++=EXTRAWORD
Syntax ^nn++++=Syntax":
" ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Syntax ^nn++++=Syntax
in ^in++++=in
a ^at++++=a
fuzz ^nn+++??+=fuzz-wig,
- ^zz++++=EXTRAWORD
wig ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
horse ^nn++++=horse
with ^in++++=with
legs ^nns++++=legs
like ^in++++=like
sausages ^nns+nom+++=sausages,
, ^zz++++=EXTRAWORD
riding ^nvbg+++xvbg+=riding
races ^nns++++=races,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
love ^nn++++=love,
, ^zz++++=EXTRAWORD
frolicking ^jj+++xvbg+=frolicking
with ^in++++=with
rosy ^jj+atrb+++=rosy
exuberant ^jj+atrb+++=exuberant
damsels ^nns+++??+=damsels.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
pictures ^nns++++=pictures
