Translation ^nn+nom+++=Translation
But ^cc+cls+++=But
it ^pp3+it+++=it
tickles ^nns+++??+=tickles
at ^rb++++=at
the ^ati++++=the
heels ^nns++++=heels
of ^in++++=of
everyone ^pn++++=everyone
who ^whp+who+++=who
walks ^vbz++++=walks
here ^rn+pl+++=here
on ^in++++=on
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
small ^jj+atrb+++=small
chimpanzee ^nn+nom+++=chimpanzee
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
great ^jj+atrb+++=great
Achilles ^np+++??+=Achilles.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
narrowest ^jjt+atrb+++=narrowest
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
perhaps ^rb++splt++=perhaps
answer ^vb++++=answer
your ^pp$+pp2+++=your
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
nonetheless ^rb+cnj+++=nonetheless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indeed ^rb++++=indeed
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
so ^rb++++=so
with ^in++++=with
great ^jj+atrb+++=great
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
thing ^nn++++=thing
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
was ^vbd+bedz+aux++=was
to ^to++++=to
give ^vbi++++=give
a ^at++++=a
handshake ^nn++++=handshake.
. ^zz++++=EXTRAWORD
The ^ati++++=The
handshake ^nn++++=handshake
displays ^nns++++=displays
candour ^nn++++=candour.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
stand ^vb++++=stand
at ^rb++++=at
the ^ati++++=the
pinnacle ^nn++++=pinnacle
of ^in++++=of
my ^pp$+pp1+++=my
career ^nn++++=career,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
I ^pp1a+pp1+++=I
add ^vb+vpub+++=add
to ^in++++=to
that ^cs+sub+++=that
first ^od++++=first
handshake ^nn++++=handshake
also ^rb++++=also
my ^pp$+pp1+++=my
candid ^jj+atrb+++=candid
words ^nns++++=words.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
Academy ^nn++++=Academy
it ^pp3+it+++=it
will ^md+prd+++=will
not ^xnot++not++=not
provide ^vb+vsua+++=provide
anything ^pn++++=anything
essentially ^rb+down+++=essentially
new ^jj++++=new
and ^cc++++=and
will ^md+prd+++=will
fall ^vb++++=fall
far ^rb+pl+++=far
short ^jj++++=short
of ^in++++=of
what ^wdt+who+++=what
people ^nns++++=people
have ^vb+hv+aux++=have
asked ^vprf+++xvbnx+=asked
of ^in++++=of
me ^pp1o+pp1+++=me
and ^cc+cls+++=and
what ^wdt+who+++=what
with ^in++++=with
the ^ati++++=the
best ^nn++++=best
will ^md+prd+++=will
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
speak ^vb++++=speak
about ^in++++=about
but ^cc+cls+++=but
nonetheless ^rb+cnj+++=nonetheless
it ^pp3+it+++=it
should ^md+nec+++=should
demonstrate ^nn+nom+++=demonstrate
the ^ati++++=the
direct ^jj+atrb+++=direct
line ^nn++++=line
by ^in++++=by
which ^whp+rel+pied++=which
someone ^pn++++=someone
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
an ^at++++=an
ape ^nn++++=ape
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
into ^in++++=into
the ^ati++++=the
world ^nn++++=world
of ^in++++=of
men ^nns++++=men
and ^cc++++=and
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
continued ^vprf+++xvbnx+=continued
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
would ^md+prd+++=would
certainly ^rb++++=certainly
not ^xnot++not++=not
permit ^vb++++=permit
myself ^ppl+pp1+++=myself
to ^to++++=to
say ^vbi+vpub+++=say
even ^rb++++=even
the ^ati++++=the
trivial ^jj+atrb+++=trivial
things ^nns++++=things
which ^whp+rel+subj++=which
follow ^vb+vprv+++=follow
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
completely ^rb+amp+++=completely
sure ^jj++++=sure
of ^in++++=of
myself ^ppl+pp1+++=myself
and ^cc+cls+++=and
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
position ^nn+nom+++=position
on ^in++++=on
all ^abn++++=all
the ^ati++++=the
great ^jj+atrb+++=great
music ^nn++++=music
hall ^nn++++=hall
stages ^nns++++=stages
of ^in++++=of
the ^ati++++=the
civilized ^jj+atrb+++=civilized
world ^nn++++=world
had ^vb+hv+vrb++=had
not ^xnot++not++=not
established ^jj+++xvbn+=established
itself ^ppl++++=itself
unassailably ^rb++++=unassailably.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
come ^vb++++=come
from ^in+ppvb+++=from
the ^ati++++=the
Gold ^nn++++=Gold
Coast ^nn++++=Coast.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
account ^nn++++=account
of ^in++++=of
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
captured ^vpsv++agls+xvbnx+=captured
I ^pp1a+pp1+++=I
rely ^vb++++=rely
on ^in++++=on
the ^ati++++=the
reports ^nns++++=reports
of ^in++++=of
strangers ^nns+nom+++=strangers.
. ^zz++++=EXTRAWORD
A ^at++++=A
hunting ^jj+atrb++xvbg+=hunting
expedition ^nn+nom+++=expedition
from ^in++++=from
the ^ati++++=the
firm ^nn++++=firm
of ^in++++=of
Hagenback ^np+++??+=Hagenback
incidentally ^rb+cnj+++=incidentally,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
already ^rb++splt++=already
emptied ^vprf+++xvbnx+=emptied
a ^at++++=a
number ^nn++++=number
of ^in++++=of
bottles ^nns++++=bottles
of ^in++++=of
good ^jj+atrb+++=good
red ^jj+atrb+++=red
wine ^nn++++=wine
with ^in++++=with
the ^ati++++=the
leader ^nn++++=leader
of ^in++++=of
that ^dt+dem+++=that
expedition ^nn+nom+++=expedition
lay ^vbd+++xvbn+=lay
hidden ^vbd+++xvbn+=hidden
in ^in++++=in
the ^ati++++=the
bushes ^nns++++=bushes
by ^in++++=by
the ^ati++++=the
shore ^nn++++=shore
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
down ^rb+phrv+++=down
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
a ^at++++=a
band ^nn++++=band
of ^in++++=of
apes ^nns+++??+=apes
for ^in++++=for
a ^at++++=a
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
fired ^vbd+++xvbn+=fired
a ^at++++=a
shot ^nn+++xvbn+=shot.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
struck ^vprf+++xvbn+=struck.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
received ^vbd+++xvbnx+=received
two ^cd++++=two
hits ^nns++++=hits.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
cheek ^nn++++=cheek
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
superficial ^jj+pred+++=superficial.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
left ^vbd+++xvbn+=left
behind ^rb+phrv+++=behind
a ^at++++=a
large ^jj+atrb+++=large
hairless ^jj+atrb+++=hairless
red ^jj+atrb+++=red
scar ^nn++++=scar
which ^whp+rel+subj++=which
earned ^vbd+++xvbn+=earned
me ^pp1o+pp1+++=me
the ^ati++++=the
name ^nn++++=name
Red ^jj+atrb+++=Red
Peter ^np++++=Peter
a ^at++++=a
revolting ^jj+atrb++xvbg+=revolting
name ^nn++++=name,
, ^zz++++=EXTRAWORD
completely ^rb+amp+++=completely
inappropriate ^jj++++=inappropriate,
, ^zz++++=EXTRAWORD
presumably ^rb++++=presumably
something ^pn++++=something
invented ^vpsv++by+xvbn+=invented
by ^in++++=by
an ^at++++=an
ape ^nn++++=ape,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
only ^ap+down+++=only
difference ^nn+nom+++=difference
between ^in++++=between
me ^pp1o+pp1+++=me
and ^cc++++=and
the ^ati++++=the
recently ^rb+tm+++=recently
deceased ^jj+atrb+++=deceased
trained ^jj+atrb++xvbn+=trained
ape ^nn++++=ape
Peter ^np++++=Peter,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
well ^rb++++=well
known ^vbd+vprv++xvbn+=known
here ^rn+pl+++=here
and ^cc++++=and
there ^ex+pex+++=there,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
red ^jj+atrb+++=red
patch ^nn++++=patch
on ^in++++=on
my ^pp$+pp1+++=my
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
shot ^nn+++xvbn+=shot
hit ^vbd+++xvbn+=hit
me ^pp1o+pp1+++=me
below ^in+pl+++=below
the ^ati++++=the
hip ^nn++++=hip.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
serious ^jj+pred+++=serious.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
reason ^nn++++=reason
that ^tht+ncmp+++=that
today ^nr+tm+++=today
I ^pp1a+pp1+++=I
still ^rb+atrb+++=still
limp ^jj++++=limp
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
Recently ^rb+tm+++=Recently
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
in ^in++++=in
an ^at++++=an
article ^nn++++=article
by ^in++++=by
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
ten ^cd++++=ten
thousand ^cd++++=thousand
gossipers ^nns+nom+++=gossipers
who ^whp+rel+obj++=who
vent ^nn++++=vent
their ^pp$+pp3+++=their
opinions ^nns++++=opinions
about ^rb++++=about
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
newspapers ^nns+nom+++=newspapers
that ^tht+rel+obj++=that
my ^pp$+pp1+++=my
ape ^nn++++=ape
nature ^nn++++=nature
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
yet ^rb++++=yet
entirely ^rb+amp+++=entirely
repressed ^jj++++=repressed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proof ^nn++++=proof
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
when ^wrb+who+++=when
visitors ^nns++++=visitors
come ^vb++++=come
I ^pp1a+pp1+++=I
take ^vb++++=take
pleasure ^nn++++=pleasure
in ^in++++=in
pulling ^nn++++=pulling
off ^in+pl+++=off
my ^pp$+pp1+++=my
trousers ^nns+nom+++=trousers
to ^to++++=to
show ^vbi+vprv+tht0++=show
the ^ati++++=the
entry ^nn++++=entry
wound ^vbd+++xvbn+=wound
caused ^vpsv++by+xvbn+=caused
by ^in++++=by
this ^dt+dem+++=this
shot ^nn+++xvbn+=shot.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
fellow ^jjb++++=fellow
should ^md+nec+++=should
have ^vb+hv+vrb++=have
each ^dt++++=each
finger ^nn++++=finger
of ^in++++=of
his ^pp$+pp3+++=his
writing ^nvbg+++xvbg+=writing
hand ^nn++++=hand
shot ^vbd+++xvbn+=shot
off ^in+pl+++=off
one ^pn++++=one
by ^in++++=by
one ^pn++++=one.
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
pull ^vb++++=pull
my ^pp$+pp1+++=my
trousers ^nns+nom+++=trousers
down ^in++++=down
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
anyone ^pn++++=anyone
I ^pp1a+pp1+++=I
like ^vb++++=like.
. ^zz++++=EXTRAWORD
People ^nns++++=People
will ^md+prd+++=will
not ^xnot++not++=not
find ^vb+vprv+++=find
there ^rn+pl+++=there
anything ^pn++++=anything
other ^ap++++=other
than ^cs+sub+++=than
well ^rb++++=well
cared ^vbd+++xvbn+=cared
for ^in+ppvb+++=for
fur ^nn++++=fur
and ^cc++++=and
the ^ati++++=the
scar ^nn++++=scar
from ^in++++=from
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
select ^vb++++=select
here ^rn+pl+++=here
a ^at++++=a
precise ^jj+atrb+++=precise
word ^nn++++=word
for ^in++++=for
a ^at++++=a
precise ^jj+atrb+++=precise
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
something ^pn++++=something
that ^dt+pdem+++=that
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
misunderstood ^vprf+++xvbn+=misunderstood
the ^ati++++=the
scar ^nn++++=scar
from ^in++++=from
a ^at++++=a
wicked ^jj+atrb+++=wicked
shot ^nn+++xvbn+=shot.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
is ^vbz+bez+vrb++=is
perfectly ^rb+amp+++=perfectly
open ^jj+pred+++=open;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
to ^to++++=to
hide ^vbi++++=hide.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
comes ^vbz++++=comes
to ^in++++=to
a ^at++++=a
question ^nn+nom+++=question
of ^in++++=of
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
every ^at++++=every
great ^jj+atrb+++=great
mind ^nn++++=mind
discards ^nns+++??+=discards
the ^ati++++=the
most ^ql+emph+++=most
subtle ^jj+atrb+++=subtle
refinements ^nns+nom+++=refinements
of ^in++++=of
manners ^nns+nom+++=manners.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+dem+++=that
writer ^nn++++=writer
were ^vbd+bed+aux++=were
to ^to++++=to
pull ^vbi++++=pull
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
a ^at++++=a
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
would ^md+prd+++=would
certainly ^rb++splt++=certainly
produce ^vb++++=produce
a ^at++++=a
different ^jj+atrb+++=different
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
sign ^nn++++=sign
of ^in++++=of
reason ^nn++++=reason
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=does
not ^xnot++not++=not
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
should ^md+nec+++=should
not ^xnot++not++=not
bother ^nn++++=bother
me ^pp1o+pp1+++=me
with ^in++++=with
his ^pp$+pp3+++=his
delicate ^jj+atrb+++=delicate
sensibilities ^nns+nom+++=sensibilities.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
those ^dt+dem+++=those
shots ^nns++++=shots
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke
up ^rp++++=up
and ^cc+phrs+++=and
here ^rn+pl+++=here
my ^pp$+pp1+++=my
own ^ap++++=own
memory ^nn++++=memory
gradually ^rb++++=gradually
begins ^vbz++++=begins
in ^in++++=in
a ^at++++=a
cage ^nn++++=cage
between ^in++++=between
decks ^nns++++=decks
on ^in++++=on
the ^ati++++=the
Hagenbeck ^np+++??+=Hagenbeck
steamship ^nn+nom+++=steamship.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
no ^at++++=no
four ^cd++++=four-sided
- ^zz++++=EXTRAWORD
sided ^jj+atrb++xvbn+=EXTRAWORD
cage ^nn++++=cage
with ^in++++=with
bars ^nns++++=bars,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
three ^cd++++=three
walls ^nns++++=walls
fixed ^vbd+++xvbn+=fixed
to ^in++++=to
a ^at++++=a
