So ^ql++++=So
colored ^jj+atrb++xvbn+=colored
clay ^nn++++=clay
pipes ^nns++++=pipes
perfectly ^rb+amp+++=perfectly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
the ^ati++++=the
young ^jj+atrb+++=young
soldier ^nn++++=soldier
is ^vbz+bez+vrb++=is
the ^ati++++=the
best ^jj++++=best
to ^to+jcmp+++=to
work ^vb++++=work
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
" ^zz++++="on
on ^in++++=EXTRAWORD
account ^nn++++=account
av ^nn++++=av
the ^ati++++=the
surpassing ^jj+atrb+++=surpassing
innocinse ^nn+++??+=innocinse
av ^nn++++=av
the ^ati++++=the
child ^nn++++=child."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
listen ^vb++++=listen!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mulvaney ^np+++??+=Mulvaney,
, ^zz++++=EXTRAWORD
throwing ^vbg+++xvbg+=throwing
himself ^ppl+pp3+++=himself
full ^jj++++=full
length ^rb++++=length
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
a ^at++++=a
born ^vbd+++xvbn+=born
scutt ^nn+++??+=scutt
av ^nn++++=av
the ^ati++++=the
barrick ^nn+++??+=barrick-room!
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
The ^ati++++=The
Army ^np++++=Army's
's ^$++++=EXTRAWORD
mate ^nn++++=mate
and ^cc++++0=an'
dhrink ^nn+++??+=dhrink
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
bekaze ^nn+++??+=bekaze
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
wan ^jj+atrb+++=wan
av ^nn++++=av
the ^ati++++=the
few ^ap++++=few
that ^dt+pdem+++=that
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
quit ^vb++++=quit
ut ^&fw++++=ut.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
put ^vprf+++xvbnx+=put
in ^rb+phrv+++=in
sivinteen ^jj+atrb++xvbn+=sivinteen
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
pipeclay ^nn+++??+=pipeclay's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
the ^ati++++=the
marrow ^nn+++??+=marrow
av ^nn++++=av
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Av ^nn++++=Av
I ^pp1a+pp1+++=I
cud ^nn++++=cud
have ^vb+hv+aux++=have
kept ^vprf+++xvbnx+=kept
out ^rb+phrv+++=out
av ^nn++++=av
wan ^jj+atrb+++=wan
big ^jj+atrb+++=big
dhrink ^nn+++??+=dhrink
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wud ^nn+++??+=wud
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
Hon ^npt++++=Hon'ry
'ry ^nn+++??+=EXTRAWORD
Lift ^vb++++=Lift'nint
'nint ^vpsv++by+xvbn+0=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
nuisince ^nn+++??+=nuisince
to ^in++++=to
my ^pp$+pp1+++=my
betthers ^nns+nom+++=betthers,
, ^zz++++=EXTRAWORD
a ^at++++=a
laughin ^nn+++??+=laughin'-shtock
'-shtock ^nn+++??+=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
equils ^nns+++??+=equils,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
curse ^nn++++=curse
to ^in++++=to
meself ^nn+++??+=meself.
. ^zz++++=EXTRAWORD
Bein ^np+++??+=Bein'
' ^zz++++=EXTRAWORD
fwhat ^nn+++??+=fwhat
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
Privit ^np+++??+=Privit
Mulvaney ^np+++??+=Mulvaney,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
no ^at++++=no
good ^jj++++=good-conduc'
- ^zz++++=EXTRAWORD
conduc ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
pay ^nn++++=pay
and ^cc++++0=an'
a ^at++++=a
devourin ^nn+++??+=devourin'
' ^zz++++=EXTRAWORD
thirst ^nn++++=thirst.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
barrin ^nn+++??+=barrin'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
little ^ap++++=little
frind ^nn+++??+=frind
Bobs ^np+++??+=Bobs
Bahadur ^np+++??+=Bahadur,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
as ^ql++++=as
much ^ap++++=much
about ^in++++=about
the ^ati++++=the
Army ^nn++++=Army
as ^in++++=as
most ^ql+emph+++=most
men ^nns++++=men."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
something ^pn++++=something
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
" ^zz++++="Wolseley
wolseley ^np++++=EXTRAWORD
be ^vb+be+aux++=be
shot ^vpsv++agls+xvbnx+=shot!
! ^zz++++=EXTRAWORD
Betune ^np+++??+=Betune
you ^pp2+pp2+++=you
and ^cc++++0=an'
me ^pp1o+pp1+++=me
and ^cc++++0=an'
that ^dt+dem+++=that
butterfly ^nn++++=butterfly
net ^jjb++++=net,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
ramblin ^nn+++??+=ramblin',
', ^nn+++??+=EXTRAWORD
incoherint ^vbd+++xvbn+=incoherint
sort ^nn++++=sort
av ^nn++++=av
a ^at++++=a
divil ^nn+++??+=divil,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
wan ^jj++++=wan
oi ^uh++++=oi
on ^in++++=on
the ^ati++++=the
Quane ^np+++??+=Quane
and ^cc++++0=an'
the ^ati++++=the
Coort ^np+++??+=Coort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
other ^ap++++=other
on ^in++++=on
his ^pp$+pp3+++=his
blessed ^jj+atrb++xvbn+=blessed
silf--everlastin ^nn+++??+=silf--everlastin'ly
'ly ^jj+atrb+++0=EXTRAWORD
playing ^jj+++xvbg+=playing
Saysar ^np+++??+=Saysar
and ^cc++++0=an'
Alexandrier ^np+nom++??+=Alexandrier
rowled ^vbd+++xvbn+=rowled
into ^in++++=into
a ^at++++=a
lump ^nn++++=lump.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
Bobs ^np+++??+=Bobs
is ^vbz+bez+vrb++=is
a ^at++++=a
sinsible ^jj+atrb+++=sinsible
little ^jj+atrb+++=little
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Wid ^in++++=Wid
Bobs ^np+++??+=Bobs
and ^cc++++0=an'
a ^ap++++=a
few ^ap"++++=few
three ^cd++++=three-year-olds,
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
olds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
swape ^nn+++??+=swape
any ^dti++++=any
army ^nn++++=army
av ^nn++++=av
the ^ati++++=the
earth ^nn++++=earth
into ^in++++=into
a ^at++++=a
towel ^nn++++=towel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
throw ^vb++++=throw
it ^pp3+it+++=it
away ^rp+pl+++=away
aftherward ^rb++++=aftherward.
. ^zz++++=EXTRAWORD
Faith ^nn++++=Faith,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
jokin ^nn+++??+=jokin'!
'! ^nn+++??+=EXTRAWORD
Tis ^np+++??+=Tis
the ^ati++++=the
bhoys ^nns++++=bhoys--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
raw ^jj+atrb+++=raw
bhoys ^nns++++=bhoys--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
fwhat ^nn+++??+=fwhat
a ^at++++=a
bullut ^nn+++??+=bullut
manes ^nns+++??+=manes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
wud ^nn+++??+=wudn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
av ^nn++++=av
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
dhu ^nn+++??+=dhu
the ^ati++++=the
work ^nn++++=work.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+aux++0=EXTRAWORD
crammed ^vpsv++agls+xvbnx+=crammed
wid ^in++++=wid
bull ^nn++++=bull-mate
- ^zz++++=EXTRAWORD
mate ^nn++++=EXTRAWORD
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
fairly ^rb++++=fairly
_ramps_ ^nn+++??+=_ramps_
wid ^in++++=wid
good ^jj+atrb+++=good
livin ^nn+++??+=livin';
'; ^nn+++??+=EXTRAWORD
and ^cc++++=and
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
av ^nn++++=av
they ^pp3a+pp3+++=they
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
fight ^vb++++=fight,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
blow ^vb++++=blow
each ^ppls++++=each
other's ^ppls++++=other's
hids ^nns+++??+=hids
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
it ^pp3+it+++0='Tis
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
trut ^nn+++??+=trut'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
tellin ^nn+++??+=tellin'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
shud ^nn+++??+=shud
be ^vb+be+aux++=be
kept ^vpsv++agls+xvbnx+=kept
on ^rb+phrv+++=on
water ^nn++++=water
and ^cc++++0=an'
rice ^nn++++=rice
in ^in++++=in
the ^ati++++=the
hot ^jj+atrb+++=hot
weather ^nn++++=weather;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
mut ^nn+++??+=mut'ny
'ny ^nn+++??+=EXTRAWORD
av ^nn++++=av
it ^pp3+it+++0='twas
was ^vbd+bedz+aux++=EXTRAWORD
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
ye ^pp2+pp2+++=ye
iver ^jjr++++=iver
hear ^vb+vprv+++=hear
how ^wrb+who+whcl++=how
Privit ^np+++??+=Privit
Mulvaney ^np+++??+=Mulvaney
tuk ^nn+++??+=tuk
the ^ati++++=the
town ^nn++++=town
av ^nn++++=av
Lungtungpen ^np+++??+=Lungtungpen?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
not ^xnot++not++=not!
! ^zz++++=EXTRAWORD
it ^pp3+it+++0='Twas
was ^vbd+bedz+vrb++=EXTRAWORD
the ^ati++++=the
Lift ^nn++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
got ^vprf+++xvbn+=got
the ^ati++++=the
credit ^nn++++=credit;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++0='twas
was ^vbd+bedz+aux++=EXTRAWORD
me ^pp1o+pp1+++=me
planned ^vbd+++xvbn+=planned
the ^ati++++=the
schame ^nn+++??+=schame.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
inviladed ^vpsv++agls+xvbnx+=inviladed
from ^in++++=from
Burma ^np++++=Burma,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
and ^cc++++0=an'
four-an ^jj+atrb+++=four-an'-twenty
'-twenty ^nn+++??+=EXTRAWORD
young ^jj+atrb+++=young
wans ^nn++++=wans
undher ^jjr++++=undher
a ^at++++=a
Lift ^nn++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
Brazenose ^np+++??+=Brazenose,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
ruinin ^nn+++??+=ruinin'
' ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
dijeshins ^nns+++??+=dijeshins
thryin ^nn+++??+=thryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
catch ^vbi++++=catch
dacoits ^nns+++??+=dacoits.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
such ^abl++++=such
double ^jj++++=double-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
divils ^nns+++??+=divils
I ^pp1a+pp1+++=I
niver ^jjr++++=niver
knew ^vbd+vprv++xvbn+=knew!
! ^zz++++=EXTRAWORD
Tis ^np+++??+=Tis
only ^rb+down+++=only
a ^at++++=a
_dah_ ^nn+++??+=_dah_
and ^cc++++0=an'
a ^at++++=a
Snider ^np+++??+=Snider
that ^tht+rel+subj++=that
makes ^vbz++++=makes
a ^at++++=a
dacoit ^nn+++??+=dacoit,
, ^zz++++=EXTRAWORD
Widout ^np+++??+=Widout
thim ^nn+++??+=thim,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
paceful ^jj+atrb+++=paceful
cultivator ^nn++++=cultivator,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
felony ^nn+++??+=felony
for ^in++++=for
to ^to++++=to
shoot ^vbi++++=shoot.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
hunted ^vbd+++xvbn+=hunted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
we ^pp1a+pp1+++=we
hunted ^vbd+++xvbn+=hunted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
tuk ^jj+atrb++??+=tuk
fever ^nn++++=fever
and ^cc++++0=an'
elephints ^nns+++??+=elephints
now ^rn+tm+++=now
and ^cc+phrs+++0=an'
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
dacoits ^nns++++=dacoits,
, ^zz++++=EXTRAWORD
Evenshually ^np+++??+=Evenshually,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
_puckarowed_ ^nn+++??+=_puckarowed_
wan ^jj+atrb+++=wan
man ^nn++++=man,
, ^zz++++=EXTRAWORD
' ^zz++++='Trate
trate ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him
tinderly ^rb+cnj+++=tinderly,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
the ^ati++++=the
Lift ^nn++++=Lift'nint.
'nint. ^nn+++??+=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
tuk ^nn+++??+=tuk
him ^pp3o+pp3+++=him
away ^rp+pl+++=away
into ^in++++=into
the ^ati++++=the
jungle ^nn++++=jungle,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
the ^ati++++=the
Burmese ^nn+nom+++=Burmese
Interprut ^np+++??+=Interprut'r
'r ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
my ^pp$+pp1+++=my
clanin ^nn+++??+=clanin'-rod.
'-rod. ^nn+++??+=EXTRAWORD
Sez ^np+++??+=Sez
I ^pp1a+pp1+++=I
to ^in++++=to
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
' ^zz++++='My
my ^pp$+pp1+++=EXTRAWORD
paceful ^jj++++=paceful
squireen ^jj+++xvbn+=squireen,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
shquot ^nn+++??+=shquot
on ^in++++=on
your ^pp$+pp2+++=your
hunkers ^nns+nom+++=hunkers
and ^cc++++0=an'
dimonstrate ^nn+nom+++=dimonstrate
to ^in++++=to
_my_ ^nn+++??+=_my_
frind ^nn+++??+=frind
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
_your_ ^nn+++??+=_your_
frinds ^nns+++??+=frinds
are ^vb+ber+vrb++=are
whin ^nn+++??+=whin
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
at ^rb++++=at
home ^nr++++=home?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Wid ^in++++=Wid
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
introjuced ^vbd+++xvbnx+=introjuced
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
clanin ^nn+++??+=clanin'-rod,
'-rod, ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
he ^pp3a+pp3+++=he
comminst ^nn+++??+=comminst
to ^in++++=to
jabber ^jjr++++=jabber;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Interprut ^np+++??+=Interprut'r
'r ^nn+++??+=EXTRAWORD
interprutin ^nn+++??+=interprutin'
' ^zz++++=EXTRAWORD
in ^in++++=in
betweens ^nns+++??+=betweens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
me ^pp1o+pp1+++=me
helpin ^nn+++??+=helpin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
Intilligince ^np+++??+=Intilligince
Departmint ^np+++??+=Departmint
wid ^in++++=wid
my ^pp$+pp1+++=my
clanin ^nn+++??+=clanin'-rod
'-rod ^nn+++??+=EXTRAWORD
whin ^nn+++??+=whin
the ^ati++++=the
man ^nn++++=man
misremimbered ^vbd+++xvbn+=misremimbered.
. ^zz++++=EXTRAWORD
" ^zz++++="Prisintly,
prisintly ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learn ^vb+vprv+tht0++=learn
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
acrost ^nn+++??+=acrost
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
about ^in++++=about
nine ^cd++++=nine
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
town ^nn++++=town
just ^rb+emph+++=just
dhrippin ^nn+++??+=dhrippin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
dahs ^nns+++??+=dahs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
bohs ^nns+++??+=bohs
and ^cc++++0=an'
arrows ^nns++++=arrows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dacoits ^nns+++??+=dacoits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elephints ^nns+++??+=elephints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
_jingles_ ^nn+++??+=_jingles_.
. ^zz++++=EXTRAWORD
' ^zz++++='Good!'
good ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
' ^zz++++='this
this ^dt+dem+++=EXTRAWORD
office ^nn++++=office
will ^md+prd+++=will
now ^rn+tm+++=now
close ^jj++++=close!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
Lift ^nn++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
and ^cc+phrs+++0=an'
communicates ^nns+nom+++=communicates
my ^pp$+pp1+++=my
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
thought ^nn+++xvbn+=thought
much ^ap++++=much
of ^in++++=of
Lift ^nn++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
Brazenose ^np+++??+=Brazenose
till ^cs+sub+++=till
that ^dt+dem+++=that
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
shtiff ^nn+++??+=shtiff
wid ^in++++=wid
books ^nns++++=books
and ^cc++++0=an'
theouries ^nns++++=theouries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
all ^rb++++=all
manner ^nn++++=manner
av ^nn++++=av
thrimmin ^nn+++??+=thrimmin's
's ^$++++=EXTRAWORD
no ^at++++=no
manner ^nn++++=manner
av ^nn++++=av
use ^nn++++=use.
. ^zz++++=EXTRAWORD
' ^zz++++='Town
town ^nn++++=EXTRAWORD
did ^vbd+dod+aux++=did
ye ^pp2+pp2+++=ye
say ^vb+vpub+++=say?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='Accordin'
accordin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
theouries ^nns++++=theouries
av ^nn++++=av
War ^nn++++=War,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shud ^nn+++??+=shud
wait ^vb++++=wait
for ^in++++=for
reinforcemints. ^nn+++??+=reinforcemints.'--'Faith!'
'--'faith!' ^nn+++??+=EXTRAWORD
thinks ^vbz+vprv+tht0++=thinks
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='we'd
we ^pp1a+pp1+++=EXTRAWORD
'd ^md+prd+aux++0=EXTRAWORD
betther ^jjr++++=betther
dig ^vb++++=dig
our ^pp$+pp1+++=our
graves ^nns++++=graves
thin ^jj++++=thin;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
throops ^nns+++??+=throops
was ^vbd+bedz+vrb++=was
up ^in+cmpx+++=up
to ^in"++++=to
their ^pp$+pp3+++=their
shtocks ^nns+++??+=shtocks
in ^in++++=in
the ^ati++++=the
marshes ^nns++++=marshes
out ^rp+pl+++=out
Mimbu ^np+++??+=Mimbu
way ^nn++++=way.
. ^zz++++=EXTRAWORD
' ^zz++++='But,'
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Lift ^nn++++=Lift'nint,
'nint, ^nn+++??+=EXTRAWORD
' ^zz++++='since
since ^cs+sub+++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
speshil ^nn+++??+=speshil
case ^nn++++=case,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
an ^at++++=an
excepshin ^nn+++??+=excepshin.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
visit ^vb++++=visit
this ^dt+dem+++=this
Lungtungpen ^np+++??+=Lungtungpen
to ^to++++=to-night.'
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
bhoys ^nns++++=bhoys
was ^vbd+bedz+vrb++=was
fairly ^rb++++=fairly
woild ^nn+++??+=woild
wid ^in++++=wid
deloight ^nn+++??+=deloight
whin ^nn+++??+=whin
I ^pp1a+pp1+++=I
