Poor ^jj+atrb+++=POOR
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="of
of ^in++++=EXTRAWORD
this ^dt+dem+++=this
sort ^nn++++=sort
of ^in++++=of
damp ^nn++++=damp
fare ^vb++++=fare,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shaking ^jj+++xvbg+=shaking
another ^dt++++=another
shower ^nn++++=shower
of ^in++++=of
the ^ati++++=the
damp ^jj+atrb+++=damp
flakes ^nns++++=flakes
from ^in++++=from
my ^pp$+pp1+++=my
person ^nn++++=person.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
warm ^jj++++=warm
spring ^vb++++=spring
snow ^nn++++=snow
may ^md+pos+++=may
answer ^vb++++=answer
very ^ql+amp+++=very
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
say ^vb+vpub+++=say;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
how ^wrb+who+whq++=how
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
cold ^jj+atrb+++=cold
snows ^nps++++=snows
of ^in++++=of
the ^ati++++=the
long ^jj++++=long,
, ^zz++++=EXTRAWORD
long ^rb++++=long
winters ^nns+nom+++=winters
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
not ^xnot++not++=not
remember ^nn+nom+++=remember
the ^ati++++=the
words ^nns++++=words
of ^in++++=of
the ^ati++++=the
Psalmist ^np+nom++??+=Psalmist?
? ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
Lord ^npt++++=Lord
giveth ^vbz++++=giveth
snow ^nn++++=snow
like ^in++++=like
wool ^nn++++=wool';
'; ^nn+++??+=EXTRAWORD
meaning ^vwbg+++xvbg+=meaning
not ^xnot++not++=not
only ^rb+down+++=only
that ^dt+dem+++=that
snow ^nn++++=snow
is ^vbz+bez+vrb++=is
white ^jj+pred+++=white
as ^ql++++=as
wool ^nn++++=wool,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
as ^in++++=as
wool ^nn++++=wool.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
only ^ap+down+++=only
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
wool ^nn++++=wool
is ^vbz+bez+vrb++=is
comfortable ^jj+pred+++=comfortable,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
air ^nn++++=air
is ^vbz+bez+aux++=is
entangled ^vpsv++agls+xvbnx+=entangled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
warmed ^vbd+++xvbn+=warmed
among ^in++++=among
its ^pp$+it+++=its
fibres ^nns++++=fibres.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
temperature ^nn++++=temperature
of ^in++++=of
a ^at++++=a
December ^nr+nom+++=December
field ^nn++++=field
when ^wrb+who+++=when
covered ^vwbn+++xvbn+=covered
with ^in++++=with
this ^dt+dem+++=this
snow ^np++++=snow-fleece,
- ^zz++++=EXTRAWORD
fleece ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
no ^at++++=no
doubt ^nn++++=doubt
find ^vb+vprv+++=find
it ^pp3+it+++=it
several ^ap++++=several
degrees ^nns+nom+++=degrees
above ^jjb++++=above
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
So ^rb++++=So.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
the ^ati++++=the
winter ^nn++++=winter's
's ^$++++=EXTRAWORD
snow ^nn++++=snow
itself ^ppl++++=itself
is ^vbz+bez+vrb++=is
beneficent ^jj+pred+++=beneficent:
: ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
pretense ^nn+++??+=pretense
of ^in++++=of
frost ^nn++++=frost
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
gruff ^jj+atrb+++=gruff
philanthropist ^nn+nom+++=philanthropist
actually ^rb+amp+++=actually
wanming ^vbg+++xvbg+=wanming
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
which ^whp+who+++=which
afterward ^rb++++=afterward
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
fertilizingly ^jj+pred+++=fertilizingly
moistened ^vpsv++by+xvbn+=moistened
by ^in++++=by
the ^ati++++=the
gentle ^jj+atrb+++=gentle
flakes ^nns++++=flakes
of ^in++++=of
March ^nn++++=March."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
hear ^vbi+vprv+tht0++=hear
you ^pp2+pp2+++=you
talk ^vb++++=talk,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
Blandmour ^np+++??+=Blandmour;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
guided ^vpsv++by+xvbn+=guided
by ^in++++=by
your ^pp$+pp2+++=your
benevolent ^jj+atrb+++=benevolent
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
only ^rb+down+splt++=only
wish ^vb+vprv+++=wish
to ^in+vcmp+++=to
poor ^jj+atrb+++=poor
Coulter ^np+++??+=Coulter
plenty ^nn++++=plenty
of ^in++++=of
this ^dt+dem+++=this
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Manure ^nn++++=Manure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cs+sub+++=EXTRAWORD
that ^cs"++++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
all ^rb+cnj+++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Blandmour ^np+++??+=Blandmour,
, ^zz++++=EXTRAWORD
eagerly ^rb++++=eagerly.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
never ^rb++++=never
hear ^vb+vprv+++=hear
of ^in++++=of
the ^ati++++=the
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Eye ^nn++++=Eye-water?"
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never."
never ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
this ^dt+dem+++=this
soft ^jj+atrb+++=soft
March ^nr++++=March
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
melt ^vb++++=melt
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bottle ^nn++++=bottle
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
keeps ^vbz++++=keeps
pure ^jj++++=pure
as ^in++++=as
alcohol ^nn++++=alcohol.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
best ^jjt+atrb+++=best
thing ^nn++++=thing
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
for ^in++++=for
weak ^jj+atrb+++=weak
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
whole ^jj+atrb+++=whole
demijohn ^nn+++??+=demijohn
of ^in++++=of
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
poorest ^jjt+atrb+++=poorest
man ^nn++++=man,
, ^zz++++=EXTRAWORD
afflicted ^j+++xvbn+=afflicted
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
freely ^rb++splt++=freely
help ^vb++++=help
himself ^ppl+pp3+++=himself
to ^in++++=to
this ^dt+dem+++=this
same ^ap++++=same
all ^abn++++=all-bountiful
- ^zz++++=EXTRAWORD
bountiful ^jj++++=EXTRAWORD
remedy ^vb++++=remedy.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now.
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
kind ^nn++++=kind
provision ^nn++++=provision
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Manure ^nn++++=Manure'
' ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Eye ^nn++++=Eye-water'
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
too ^ql++++=too?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Exactly.
exactly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
could ^md+pos+++=could
be ^vb+be+vrb++=be
more ^rbr++++=more
economically ^rb++++=economically
contrived ^jj+++xvbn+=contrived?
? ^zz++++=EXTRAWORD
One ^cd1++++=One
thing ^nn++++=thing
answering ^vwbg+++xvbg+=answering
two ^cd++++=two
ends ^nns++++=ends
ends ^nns++++=ends
so ^ql++++=so
very ^ql+amp+++=very
distinct ^jj++++=distinct."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
distinct ^jj++++=distinct,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Making ^vbg+++xvbg+=Making
sport ^nn++++=sport
of ^in++++=of
earnest ^nn++++=earnest.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
never ^rb++++=never
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
of ^in++++=of
snow ^nn++++=snow;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
common ^jj+atrb+++=common
rain ^nn++++=rain-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
falls ^vbz++++=falls
all ^rb++++=all
the ^ati++++=the
year ^nn++++=year
round ^nn++++=round
is ^vbz+bez+vrb++=is
still ^rb++++=still
more ^rbr++++=more
kindly ^rb++++=kindly.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
its ^pp$+it+++=its
known ^jj+atrb++xvbn+=known
fertilizing ^nn++++=fertilizing
quality ^nn+nom+++=quality
as ^in++++=as
to ^in++++=to
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
consider ^nn+nom+++=consider
it ^pp3+it+++=it
in ^in++++=in
one ^pn++++=one
of ^in++++=of
its ^pp$+it+++=its
minor ^jj+atrb+++=minor
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
Pray ^vb+vsua+++=Pray,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
ever ^rb++++=ever
hear ^vb+vprv+++=hear
of ^in++++=of
a ^at++++=a
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Egg ^nn++++=Egg'?"
'?" ^nn+++??+=EXTRAWORD
" ^zz++++="Never.
never ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
making ^xvbg+++xvbg+=making
some ^dti++++=some
culinary ^jj+atrb+++=culinary
preparations ^nns+nom+++=preparations
of ^in++++=of
meal ^nn++++=meal
and ^cc++++=and
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
eggs ^nns++++=eggs
are ^vb+ber+aux++=are
recommended ^vpsv++agls+xvbnx+=recommended
in ^in++++=in
the ^ati++++=the
receipt ^nn++++=receipt-book,
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
substitute ^nn++++=substitute
for ^in++++=for
the ^ati++++=the
eggs ^nns++++=eggs
may ^md+pos+++=may
be ^vb+be+aux++=be
had ^vb+hv+vrb++=had
in ^in++++=in
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
cold ^jj+atrb+++=cold
rain ^nn++++=rain-water,
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
acts ^nns++++=acts
as ^ql++++=as
leaven ^vb++++=leaven.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb++++=so
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
cold ^jj+atrb+++=cold
rainwater ^nn+nom+++=rainwater
thus ^rb+cnj+++=thus
used ^vbd+++xvbn+=used
is ^vbz+bez+aux++=is
called ^vpsv++by+xvbnx+=called
by ^in++++=by
housewives ^nns++++=housewives
a ^at++++=a
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Egg ^nn++++=Egg.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
many ^ap++++=many
rich ^jj+atrb+++=rich
men ^nns++++=men's
's ^$++++=EXTRAWORD
housekeepers ^nns+nom+++=housekeepers
sometimes ^rb++++=sometimes
use ^vb++++=use
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
only ^rb+down+++=only
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
out ^rp+pl+++=out
of ^in++++=of
hen ^nn++++=hen's
's ^$++++=EXTRAWORD
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
presume ^vb+vprv+++=presume,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
Blandmour ^np+++??+=Blandmour.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
your ^pp$+pp2+++=your
talk ^nn++++=talk
is ^vbz+bez+aux++=is
I ^pp1a+pp1+++=I
sincerely ^rb++++=sincerely
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
most ^ql+emph+++=most
agreeable ^jj++++=agreeable
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Talk ^nn++++=Talk
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Plaster ^nn+nom+++=Plaster'
' ^zz++++=EXTRAWORD
for ^in++++=for
wounds ^nns++++=wounds
and ^cc++++=and
other ^ap++++=other
bodily ^jj+atrb+++=bodily
harms ^nns+++??+=harms
; ^zz++++=;
an ^at++++=an
alleviative ^jj++++=alleviative
and ^cc+phrs+++=and
curative ^jj++++=curative,
, ^zz++++=EXTRAWORD
compounded ^xvbn+++xvbn+=compounded
of ^in++++=of
simple ^jj+atrb+++=simple,
, ^zz++++=EXTRAWORD
natural ^jj+atrb+++=natural
things ^nns++++=things
; ^zz++++=;
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
very ^ql+amp+++=very
cheap ^jj++++=cheap,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
accessible ^jj+pred+++=accessible
to ^in++++=to
the ^ati++++=the
poorest ^jjt+atrb+++=poorest
sufferers ^nns+nom+++=sufferers.
. ^zz++++=EXTRAWORD
Rich ^jj+atrb+++=Rich
men ^nns++++=men
often ^rb++++=often
use ^nn++++=use
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Plaster ^nn+nom+++=Plaster'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
not ^xnot++not++=not
without ^in++++=without
the ^ati++++=the
judicious ^jj+atrb+++=judicious
advice ^nn++++=advice
of ^in++++=of
a ^at++++=a
fee ^nn++++=fee'd
'd ^md+prd+vrb++0=EXTRAWORD
physician ^nn++++=physician,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
Blandmour ^np+++??+=Blandmour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Doubtless,
doubtless ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
first ^od++++=first
consult ^vb++++=consult
the ^ati++++=the
physician ^nn++++=physician
; ^zz++++=;
but ^cs+sub+++=but
that ^cs"++++=that
may ^md+pos+++=may
be ^vb+be+vrb++=be
an ^at++++=an
unnecessary ^jj+atrb+++=unnecessary
precaution ^nn+nom+++=precaution."
