Of ^in++++=Of
great ^jj+atrb+++=great
adventure ^nn++++=adventure.
. ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
long ^rb++++=long
and ^cc+phrs+++=and
seriously ^rb++++=seriously
agitated ^vbd+++xvbn+=agitated
the ^ati++++=the
frequenters ^nns+nom+++=frequenters
of ^in++++=of
the ^ati++++=the
Nuremberg ^np++++=Nuremberg
was ^vbd+bedz+vrb++=was
whether ^cs+who+++=whether
this ^dt+dem+++=this
gooseboy ^nn+++??+=gooseboy
migrant ^jj++++=migrant
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
a ^at++++=a
soul ^nn++++=soul-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
genius ^nn++++=genius,
, ^zz++++=EXTRAWORD
spreading ^vbg+++xvbg+=spreading
his ^pp$+pp3+++=his
wings ^nns++++=wings
to ^in++++=to
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
merely ^rb+down+++=merely
an ^at++++=an
enterprising ^jj+atrb+++=enterprising
young ^jj+atrb+++=young
man ^nn++++=man
who ^whp+rel+subj++=who
fancied ^vbd+++xvbn+=fancied
he ^pp3a+pp3+++=he
could ^md+pos+++=could
paint ^vb++++=paint
and ^cc++++=and
was ^vbd+bedz+vrb++=was
pardonably ^jj++++=pardonably
anxious ^jj++++=anxious
to ^to+jcmp+++=to
escape ^vbi++++=escape
from ^in++++=from
the ^ati++++=the
monotony ^nn++++=monotony
of ^in++++=of
rye ^nn++++=rye
bread ^nn++++=bread
diet ^nn++++=diet
and ^cc++++=and
the ^ati++++=the
sandy ^jj++++=sandy,
, ^zz++++=EXTRAWORD
swine ^nns++++=swine-bestrewn
- ^zz++++=EXTRAWORD
bestrewn ^vbd+++xvbn+=EXTRAWORD
plains ^npls++++=plains
of ^in++++=of
Pomerania ^np+++??+=Pomerania.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
reasonable ^jj+atrb+++=reasonable
ground ^nn++++=ground
for ^in++++=for
doubt ^nn++++=doubt
and ^cc++++=and
caution ^nn+nom+++=caution;
; ^zz++++=EXTRAWORD
the ^ati++++=the
artistic ^jj+atrb+++=artistic
groups ^nns++++=groups
that ^tht+rel+subj++=that
foregathered ^vprf+++xvbn+=foregathered
at ^rb++++=at
the ^ati++++=the
little ^jj+atrb+++=little
restaurant ^nn+nom+++=restaurant
contained ^vbd+++xvbn+=contained
so ^pn++++=so
many ^ap++++=many
young ^jj+atrb+++=young
women ^nns++++=women
with ^in++++=with
short ^jj+atrb+++=short
hair ^nn++++=hair
and ^cc++++=and
so ^rb++++=so
many ^ap++++=many
young ^jj+atrb+++=young
men ^nns++++=men
with ^in++++=with
long ^jj+atrb+++=long
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
supposed ^vbd+vprv++xvbn+=supposed
themselves ^ppls+pp3+++=themselves
to ^to++++=to
be ^vbi++vrb++=be
abnormally ^rb++++=abnormally
gifted ^jj+pred+++=gifted
in ^in++++=in
the ^ati++++=the
domain ^nn++++=domain
of ^in++++=of
music ^nn++++=music,
, ^zz++++=EXTRAWORD
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
painting ^nvbg+++xvbg+=painting,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
stagecraft ^nn+++??+=stagecraft,
, ^zz++++=EXTRAWORD
with ^in++++=with
little ^jj++++=little
or ^cc++++=or
nothing ^pn++++=nothing
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
supposition ^nn+nom+++=supposition,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
self ^nn++++=self-announced
- ^zz++++=EXTRAWORD
announced ^vbd+vpub++xvbn+=EXTRAWORD
genius ^nn++++=genius
of ^in++++=of
any ^dti++++=any
sort ^nn++++=sort
in ^in++++=in
their ^pp$+pp3+++=their
midst ^nn++++=midst
was ^vbd+bedz+vrb++=was
inevitably ^rb++++=inevitably
suspect ^jj+pred+++=suspect.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
ever ^rb++++=ever-imminent
- ^zz++++=EXTRAWORD
imminent ^jj+atrb+++=EXTRAWORD
danger ^nn++++=danger
of ^in++++=of
entertaining ^xvbg+++xvbg+=entertaining,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
snubbing ^vbg+++xvbg+=snubbing,
, ^zz++++=EXTRAWORD
an ^at++++=an
angel ^nn++++=angel
unawares ^rb++++=unawares.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
lamentable ^jj+atrb+++=lamentable
case ^nn++++=case
of ^in++++=of
Sledonti ^np+++??+=Sledonti,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dramatic ^jj+atrb+++=dramatic
poet ^nn++++=poet,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
belittled ^vpsv++agls+xvbnx+=belittled
and ^cc++++=and
cold ^jj++++=cold-shouldered
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Owl ^np+++??+=Owl
Street ^nn++++=Street
hall ^npl++++=hall
of ^in++++=of
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
afterwards ^rb+tm+splt++=afterwards
hailed ^vpsv++agls+xvbn+=hailed
as ^ql++++=as
a ^at++++=a
master ^nn++++=master
singer ^nn++++=singer
by ^in++++=by
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Duke ^nn++++=Duke
Constantine ^np++++=Constantine
Constantinovitch ^np+++??+=Constantinovitch
" ^zz++++="the
the ^ati++++=EXTRAWORD
most ^ql+emph+++=most
educated ^jj+++xvbn+=educated
of ^in++++=of
the ^ati++++=the
Romanoffs ^np+++??+=Romanoffs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Sylvia ^np++++=Sylvia
Strubble ^np+++??+=Strubble,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
spoke ^vbd+++xvbn+=spoke
rather ^rb++++=rather
as ^ql++++=as
one ^cd1++++=one
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
every ^at++++=every
individual ^jj+atrb+++=individual
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
Russian ^jj+atrb+++=Russian
imperial ^jj+atrb+++=imperial
family ^nn++++=family;
; ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
newspaper ^nn+nom+++=newspaper
correspondent ^nn++++=correspondent,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
who ^whp+rel+subj++=who
ate ^vbd+++xvbn+=ate
bortsch ^nn+++??+=bortsch
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
having ^nn+nn+aux++=having
invented ^vbd+++xvbn+=invented
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Sledonti ^np++++=Sledonti's
's ^$++++=EXTRAWORD
" ^zz++++="Poems
poems ^nns++++=EXTRAWORD
of ^in++++=of
Death ^nn++++=Death
and ^cc++++=and
Passion ^nn++++=Passion"
" ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
now ^rn+tm+++=now
being ^xvbg+++xvbg+=being
sold ^vpsv++by+xvbn+=sold
by ^in++++=by
the ^ati++++=the
thousand ^cd++++=thousand
in ^in++++=in
seven ^cd++++=seven
European ^jj+atrb+++=European
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
about ^md"++pmd"++=about
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
translated ^vbd+++xvbn+=translated
into ^in++++=into
Syrian ^np+++??+=Syrian,
, ^zz++++=EXTRAWORD
a ^at++++=a
circumstance ^nn+nom+++=circumstance
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
the ^ati++++=the
discerning ^jj+atrb++xvbg+=discerning
critics ^nns++++=critics
of ^in++++=of
the ^ati++++=the
Nuremberg ^np++++=Nuremberg
rather ^rb++++=rather
shy ^jj++++=shy
of ^in++++=of
maturing ^xvbg+++xvbg+=maturing
their ^pp$+pp3+++=their
future ^jjb+atrb+++=future
judgments ^nns+nom+++=judgments
too ^rb++++=too
rapidly ^rb++++=rapidly
and ^cc++++=and
too ^ql++++=too
irrevocably ^jj++++=irrevocably.
. ^zz++++=EXTRAWORD
As ^in++++=As
regards ^in"++++=regards
Knopfschrank ^np++++=Knopfschrank's
's ^$++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
lack ^nn++++=lack
opportunity ^nn+nom+++=opportunity
for ^in++++=for
inspecting ^xvbg+++xvbg+=inspecting
and ^cc++++=and
appraising ^xvbg+++xvbg+=appraising
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However
resolutely ^rb++++=resolutely
he ^pp3a+pp3+++=he
might ^md+pos+++=might
hold ^vb+vprv+tht0++=hold
himself ^ppl+pp3+++=himself
aloof ^rb++++=aloof
from ^in++++=from
the ^ati++++=the
social ^jj+atrb+++=social
life ^nn++++=life
of ^in++++=of
his ^pp$+pp3+++=his
restaurant ^nn+nom+++=restaurant
acquaintances ^nns+nom+++=acquaintances,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
minded ^jj+++xvbn+=minded
to ^to++++=to
hide ^vbi++++=hide
his ^pp$+pp3+++=his
artistic ^jj+atrb+++=artistic
performances ^nns+nom+++=performances
from ^in++++=from
their ^pp$+pp3+++=their
inquiring ^jj+atrb+++=inquiring
gaze ^nn++++=gaze.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nearly ^rb+down+++=nearly
every ^at++++=every
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
at ^rb++++=at
about ^in++++=about
seven ^cd++++=seven
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
make ^vb++++=make
his ^pp$+pp3+++=his
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
sit ^vb++++=sit
himself ^ppl+pp3+++=himself
down ^rp++++=down
at ^rb++++=at
his ^pp$+pp3+++=his
accustomed ^vbd+++xvbn+=accustomed
table ^nn++++=table,
, ^zz++++=EXTRAWORD
throw ^vb++++=throw
a ^at++++=a
bulky ^jj+atrb+++=bulky
black ^jj+atrb+++=black
portfolio ^nn++++=portfolio
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
chair ^nn++++=chair
opposite ^jj++++=opposite
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
nod ^nn++++=nod
round ^in++++=round
indiscriminately ^jj++++=indiscriminately
at ^rb++++=at
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow-guests,
- ^zz++++=EXTRAWORD
guests ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commence ^nn+nom+++=commence
the ^ati++++=the
serious ^jj+atrb+++=serious
business ^nns+nom+++=business
of ^in++++=of
eating ^xvbg+++xvbg+=eating
and ^cc++++=and
drinking ^xvbg+++xvbg+=drinking.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
coffee ^nn++++=coffee
stage ^nn++++=stage
was ^vbd+bedz+aux++=was
reached ^vpsv++agls+xvbnx+=reached
he ^pp3a+pp3+++=he
would ^md+prd+++=would
light ^vb++++=light
a ^at++++=a
cigarette ^nn+nom+++=cigarette,
, ^zz++++=EXTRAWORD
draw ^vb++++=draw
the ^ati++++=the
portfolio ^nn++++=portfolio
over ^in++++=over
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begin ^vb++++=begin
to ^to++++=to
rummage ^nn+nom+++=rummage
among ^in++++=among
its ^pp$+it+++=its
contents ^nns++++=contents.
. ^zz++++=EXTRAWORD
With ^in++++=With
slow ^jj+atrb+++=slow
deliberation ^nn+nom+++=deliberation
he ^pp3a+pp3+++=he
would ^md+prd+++=would
select ^vb++++=select
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
his ^pp$+pp3+++=his
more ^rbr++++=more
recent ^jj+atrb+++=recent
studies ^nns++++=studies
and ^cc++++=and
sketches ^nns++++=sketches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
silently ^rb++++=silently
pass ^nn++++=pass
them ^pp3o+pp3+++=them
round ^nn++++=round
from ^in++++=from
table ^nn++++=table
to ^in++++=to
table ^nn++++=table,
, ^zz++++=EXTRAWORD
paying ^vbg+++xvbg+=paying
especial ^jj+atrb+++=especial
attention ^nn+nom+++=attention
to ^in++++=to
any ^dti++++=any
new ^jj+atrb+++=new
diners ^nns++++=diners
who ^whp+rel+subj++=who
might ^md+pos+++=might
be ^vb+be+aux++=be
present ^vb++++=present.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
each ^dt++++=each
sketch ^nn++++=sketch
was ^vbd+bedz+aux++=was
marked ^vpsv++agls+xvbnx+=marked
in ^in++++=in
plain ^jj+atrb+++=plain
figures ^nns++++=figures
the ^ati++++=the
announcement ^nn+nom+++=announcement
" ^zz++++="Price
price ^nn++++=EXTRAWORD
ten ^cd++++=ten
shillings ^nns+nom+++=shillings."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
his ^pp$+pp3+++=his
work ^nn++++=work
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
obviously ^rb+amp+++=obviously
stamped ^vbd+++xvbn+=stamped
with ^in++++=with
the ^ati++++=the
hallmark ^nn++++=hallmark
of ^in++++=of
genius ^nn++++=genius,
, ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
remarkable ^jj+pred+++=remarkable
for ^in++++=for
its ^pp$+it+++=its
choice ^nn++++=choice
of ^in++++=of
an ^at++++=an
unusual ^jj+atrb+++=unusual
and ^cc+phrs+++=and
unvarying ^jj+atrb++xvbg+=unvarying
theme ^nn++++=theme.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
pictures ^nns++++=pictures
always ^rb++++=always
represented ^vbd+++xvbn+=represented
some ^dti++++=some
well ^rb++++=well-known
- ^zz++++=EXTRAWORD
known ^vbd+vprv++xvbn+=EXTRAWORD
street ^npl++++=street
or ^cc++++=or
public ^jj+atrb+++=public
place ^nn++++=place
in ^in++++=in
London ^np++++=London,
, ^zz++++=EXTRAWORD
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
decay ^nn++++=decay
and ^cc++++=and
denuded ^vpsv++agls+xvbn+=denuded
of ^in++++=of
its ^pp$+it+++=its
human ^jj+atrb+++=human
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
which ^whp+rel+pied++=which
there ^ex+pex+++=there
roamed ^vprf+++xvbn+=roamed
a ^at++++=a
wild ^jj+atrb+++=wild
fauna ^nn++++=fauna,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
from ^in++++=from
its ^pp$+it+++=its
wealth ^nn++++=wealth
of ^in++++=of
exotic ^jj+atrb+++=exotic
species ^nns++++=species,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
originally ^rb+tm+splt++=originally
escaped ^vprf+++xvbnx+=escaped
from ^in++++=from
Zoological ^np+++??+=Zoological
Gardens ^nns++++=Gardens
and ^cc++++=and
travelling ^nvbg+++xvbg+=travelling
beast ^nn++++=beast
shows ^nns++++=shows.
. ^zz++++=EXTRAWORD
" ^zz++++="Giraffes
giraffes ^nns+++??+=EXTRAWORD
drinking ^vwbg+++xvbg+=drinking
at ^rb++++=at
the ^ati++++=the
fountain ^nn++++=fountain
pools ^nns++++=pools,
, ^zz++++=EXTRAWORD
Trafalgar ^np+++??+=Trafalgar
Square ^nn++++=Square,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
notable ^jj++++=notable
and ^cc++++=and
characteristic ^nn++++=characteristic
of ^in++++=of
his ^pp$+pp3+++=his
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
even ^rb++++=even
more ^rbr++++=more
sensational ^jj++++=sensational
was ^vbd+bedz+vrb++=was
the ^ati++++=the
gruesome ^jj+atrb+++=gruesome
picture ^nn++++=picture
of ^in++++=of
" ^zz++++="Vultures
vultures ^nns+++??+=EXTRAWORD
attacking ^xvbg+++xvbg+=attacking
dying ^vbg+++xvbg+=dying
camel ^nn++++=camel
in ^in++++=in
Upper ^jjb++++=Upper
Berkeley ^np++++=Berkeley
Street ^nn++++=Street."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
also ^rb++++=also
photographs ^nns++++=photographs
of ^in++++=of
the ^ati++++=the
large ^jj+atrb+++=large
canvas ^nn++++=canvas
on ^in++++=on
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
engaged ^vpsv++agls+xvbnx+=engaged
for ^in++++=for
some ^dti++++=some
months ^nns++++=months,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
endeavouring ^vbg+++xvbgx+=endeavouring
to ^to++++=to
sell ^vbi++++=sell
to ^in++++=to
some ^dti++++=some
enterprising ^jj+atrb+++=enterprising
dealer ^nn++++=dealer
or ^cc++++=or
adventurous ^jj+atrb+++=adventurous
amateur ^nn++++=amateur.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subject ^nn++++=subject
was ^vbd+bedz+vrb++=was
" ^zz++++="Hyaenas
hyaenas ^nns+++??+=EXTRAWORD
asleep ^jj++++=asleep
in ^in++++=in
Euston ^np+++??+=Euston
Station ^nn+nom+++=Station,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
composition ^nn+nom+++=composition
that ^tht+rel+subj++=that
left ^vwbn+++xvbn+=left
nothing ^pn++++=nothing
to ^to++++=to
be ^vbi+vbi+aux++=be
desired ^vpsv++agls+xvbnx+=desired
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
suggesting ^nn++++=suggesting
unfathomed ^vbd+++xvbn+=unfathomed
depths ^nns++++=depths
of ^in++++=of
desolation ^nn+nom+++=desolation.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
immensely ^rb++++=immensely
clever ^jj+pred+++=clever,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
something ^pn++++=something
epoch ^nn++++=epoch-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
realm ^nn++++=realm
of ^in++++=of
art ^nn++++=art,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sylvia ^np++++=Sylvia
Strubble ^np+++??+=Strubble
to ^in++++=to
her ^pp$+pp3+++=her
own ^ap++++=own
particular ^jj+atrb+++=particular
circle ^nn++++=circle
of ^in++++=of
listeners ^nns+nom+++=listeners,
