They ^pp3a+pp3+++=They
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Vera ^np++++=Vera.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
wonders ^nns+nom+++=wonders
of ^in++++=of
the ^ati++++=the
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Charlie ^np++++=Charlie,
, ^zz++++=EXTRAWORD
chuckling ^nn+nom+++=chuckling
characteristically ^rb++++=characteristically.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
philosopher ^nn+nom+++=philosopher.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
Stephen ^np++++=Stephen
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
fast ^rb++++=fast
friends ^nns++++=friends
from ^in++++=from
infancy ^nn++++=infancy.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
just ^rb+emph+++=just
better ^jjr++++=better
skate ^vb++++=skate
downstairs ^jjb++++=downstairs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Stephen ^np++++=Stephen.
. ^zz++++=EXTRAWORD
( ^zz++++=(No
no ^at++++=EXTRAWORD
romance ^nn+nom+++=romance
in ^in++++=in
Stephen ^np++++=Stephen!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
netting ^nn++++=netting
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
thousand ^cd++++=thousand
a ^at++++=a
year ^nn++++=year
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
manufacture ^nn++++=manufacture
of ^in++++=of
toilet ^nn++++=toilet-sets,
- ^zz++++=EXTRAWORD
sets ^vbz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
that ^dt+dem+++=that
smoke ^nn++++=smoke
to ^in++++=to
the ^ati++++=the
north ^np+pl+++=north.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
you ^pp2+pp2+++=you
expect ^vb+vprv+++=expect
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi++vrb++=be
romantic ^jj+pred+++=romantic?)
? ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
" ^zz++++="Charlie
charlie ^np++++=EXTRAWORD
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying
how ^wrb+who+++=how
nice ^jj++++=nice
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
have ^vbi++vrb++=have
a ^at++++=a
French ^jj+atrb+++=French
window ^nn++++=window
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
marble ^nn++++=marble
balcony ^nn++++=balcony,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Vera ^np++++=Vera
remarked ^vbd+vpub++xvbn+=remarked.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
not ^xnot++not++=not
taken ^vbd+++xvbn+=taken
her ^pp$+pp3+++=her
long ^vb++++=long
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
of ^in++++=of
marble ^nn++++=marble.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
do ^vb+do+vrb++=do
it ^pp3+it+++=it
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Steve ^np++++=Steve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bosh!"
bosh ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Stephen ^np++++=Stephen.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
like ^in++++=like
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Charlie ^np++++=Charlie.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
an ^at++++=an
ass ^nn++++=ass
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
must ^md+nec+++=must!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Vera ^np++++=Vera,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
tone ^nn++++=tone
which ^whp+rel+subj++=which
meant ^vbd+vprv++xvbn+=meant
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
also ^rb++++=also
meant ^vbd+vprv++xvbn+=meant
trouble ^nn++++=trouble
for ^in++++=for
Stephen ^np++++=Stephen.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
come ^vb++++=come,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen
announced ^vbd+vpub++xvbn+=announced
curtly ^rb+cnj+++=curtly,
, ^zz++++=EXTRAWORD
determined ^j+++xvbn+=determined
to ^to+jcmp+++=to
put ^vbi++++=put
trouble ^nn++++=trouble
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
she ^pp3a+pp3+++=she?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Vera ^np++++=Vera.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
would ^md+prd+++=wouldn't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
hesitated ^vbd+++xvbnx+=hesitated,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come
after ^in++++=after
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
fun ^nn++++=fun!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Vera ^np++++=Vera
murmured ^vbd+++xvbn+=murmured.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
ran ^vbd+++xvbn+=ran
off ^rb+phrv+++=off
downstairs ^jjb++++=downstairs
back ^jjb++++=back
again ^rb+tm+++=again
into ^in++++=into
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
black ^jj+atrb+++=black
coats ^nns++++=coats
and ^cc++++=and
the ^ati++++=the
white ^jj+atrb+++=white
toilettes ^nns+nom++??+=toilettes
and ^cc++++=and
the ^ati++++=the
holly ^nn++++=holly-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
electricity ^nn+nom+++=electricity
of ^in++++=of
her ^pp$+pp3+++=her
Christmas ^np++++=Christmas
gathering ^vwbg+++xvbg+=gathering.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
The ^ati++++=The
news ^nn++++=news
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
was ^vbd+bedz+vrb++=was
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
noisy ^jj+atrb+++=noisy
house ^nn++++=house
in ^in++++=in
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
the ^ati++++=the
astonishing ^jj+atrb+++=astonishing
effect ^nn++++=effect
of ^in++++=of
producing ^xvbg+++xvbg+=producing
what ^wdt+who+++=what
might ^md+pos+++=might
roughly ^rb+down+++=roughly
be ^vb+be+aux++=be
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
a ^at++++=a
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stopped ^vbd+++xvbn+=stopped
the ^ati++++=the
reckless ^jj++++=reckless
waltzing ^jj+++xvbg+=waltzing
of ^in++++=of
the ^ati++++=the
piano ^nn++++=piano
in ^in++++=in
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room;
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
stopped ^vbd+++xvbn+=stopped
the ^ati++++=the
cackle ^nn++++=cackle
incident ^nn++++=incident
to ^in++++=to
cork ^nn++++=cork-pool
- ^zz++++=EXTRAWORD
pool ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
billiard ^nn++++=billiard-room;
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
even ^cs+sub+++=even
stopped ^vprf+++xvbn+=stopped
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
the ^ati++++=the
whispering ^jj+++xvbg+=whispering
under ^in++++=under
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
lanterns ^nns++++=lanterns
beneath ^in+pl+++=beneath
the ^ati++++=the
stairs ^nns++++=stairs
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
alcove ^nn++++=alcove
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stop ^vb++++=stop
was ^vbd+bedz+vrb++=was
the ^ati++++=the
consumption ^nn+nom+++=consumption
of ^in++++=of
mince ^nn++++=mince-pies
- ^zz++++=EXTRAWORD
pies ^nns++++=EXTRAWORD
and ^cc++++=and
claret ^nn+++??+=claret-cup
- ^zz++++=EXTRAWORD
cup ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
small ^jj+atrb+++=small
breakfast ^nn++++=breakfast-room;
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
people ^nns++++=people
mumbled ^vbd+++xvbn+=mumbled
about ^in++++=about
her ^pp$+pp3+++=her
between ^in++++=between
munches ^nns+++??+=munches.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
sustained ^vpsv++agls+xvbnx+=sustained
with ^in++++=with
turkey ^nn++++=turkey
and ^cc++++=and
beer ^nn++++=beer
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
led ^vpsv++by+xvbnx+=led
by ^in++++=by
the ^ati++++=the
backstairs ^nns+++??+=backstairs
up ^in+cmpx+++=up
to ^in++++=to
Vera ^np++++=Vera's
's ^$++++=EXTRAWORD
very ^ap+amp+++=very
boudoir ^nn++++=boudoir,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
being ^jj+++xvbg+=being
the ^ati++++=the
only ^rb+down+++=only
suitable ^jj+atrb+++=suitable
room ^nn++++=room.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^rn+pl+++=there
she ^pp3a+pp3+++=she
waited ^vbd+++xvbnx+=waited.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman
of ^in++++=of
about ^in++++=about
forty ^cd++++=forty-five;
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
unfair ^jj++++=unfair
( ^zz++++=(in
in ^in++++=EXTRAWORD
the ^ati++++=the
physical ^jj+atrb+++=physical
sense ^nn++++=sense),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
untidy ^jj++++=untidy.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
her ^pp$+pp3+++=her
hands ^nns++++=hands
the ^ati++++=the
less ^ql++++=less
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
better ^nn++++=better.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
probably ^rb++splt++=probably
never ^rb++++=never
visited ^vbd+++xvbn+=visited
a ^at++++=a
professional ^jj+atrb+++=professional
coiffeur ^nn+++??+=coiffeur
in ^in++++=in
her ^pp$+pp3+++=her
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
form ^nn++++=form
was ^vbd+bedz+vrb++=was
straitly ^jj++++=straitly
confined ^jj+++xvbn+=confined
in ^in++++=in
an ^at++++=an
atrocious ^jj+atrb+++=atrocious
dress ^nn++++=dress
of ^in++++=of
linsey ^nn+++??+=linsey-woolsey,
- ^zz++++=EXTRAWORD
woolsey ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
an ^at++++=an
