Within ^in++++=Within
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
tans ^nn++++=tans
of ^in++++=of
various ^jj+atrb+++=various
hues ^nns++++=hues,
, ^zz++++=EXTRAWORD
tennis ^nn++++=tennis
shoes ^nns++++=shoes
and ^cc++++=and
flowered ^jj+atrb+++=flowered
slippers ^nns+nom+++=slippers,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sought ^vbd+++xvbnx+=sought
out ^rp+pl+++=out
Johnny ^np++++=Johnny
to ^to++++=to
be ^vbi+vbi+aux++=be
prompted ^vpsv++agls+xvbnx+=prompted
as ^in++++=as
to ^in++++=to
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
other ^ap++++=other
kinds ^nns++++=kinds
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
inquire ^vb++++=inquire
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
English ^jj++++=English-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
residents ^nns++++=residents
also ^rb++++=also
played ^vbd+++xvbn+=played
their ^pp$+pp3+++=their
parts ^nns++++=parts
nobly ^rb++++=nobly
by ^in++++=by
buying ^xvbg+++xvbg+=buying
often ^rb++++=often
and ^cc+phrs+++=and
liberally ^rb++++=liberally.
. ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
was ^vbd+bedz+vrb++=was
grand ^jj+atrb+++=grand
marshal ^npt++++=marshal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vwbn+++xvbn+=made
them ^pp3o+pp3+++=them
distribute ^vb++++=distribute
their ^pp$+pp3+++=their
patronage ^nn+nom+++=patronage,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
keeping ^vbg+++xvbg+=keeping
up ^rb+phrv+++=up
a ^at++++=a
fair ^nn++++=fair
run ^vbd+++xvbn+=run
of ^in++++=of
custom ^nn++++=custom
for ^in++++=for
several ^ap++++=several
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
was ^vbd+bedz+aux++=was
gratified ^vpsv++by+xvbnx+=gratified
by ^in++++=by
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
business ^nns+nom+++=business
done ^vwbn+++xvbn+=done
thus ^rb+cnj+++=thus
far ^rb+pl+++=far;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
expressed ^vbd+vpub++xvbn+=expressed
surprise ^nn++++=surprise
that ^tht+ncmp+++=that
the ^ati++++=the
natives ^nns++++=natives
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
backward ^jj++++=backward
with ^in++++=with
their ^pp$+pp3+++=their
custom ^nn++++=custom.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
awfully ^ql++++=awfully
shy ^jj++++=shy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Johnny ^np++++=Johnny,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
wiped ^vbd+++xvbnx+=wiped
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
nervously ^rb++++=nervously.
. ^zz++++=EXTRAWORD
" ^zz++++="They'll
they ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
the ^ati++++=the
habit ^nn++++=habit
pretty ^rb++++=pretty
soon ^rb+tm+++=soon.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
with ^in++++=with
a ^at++++=a
rush ^nn++++=rush
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
come ^vb++++=come."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
Keogh ^np+++??+=Keogh
dropped ^vbd+++xvbn+=dropped
into ^in++++=into
the ^ati++++=the
consul ^np++++=consul's
's ^$++++=EXTRAWORD
office ^nn++++=office,
, ^zz++++=EXTRAWORD
chewing ^vbg+++xvbg+=chewing
an ^at++++=an
unlighted ^jj+atrb+++=unlighted
cigar ^nn++++=cigar
thoughtfully ^rb++++=thoughtfully.
. ^zz++++=EXTRAWORD
" ^zz++++="Got
got ^vbd+++xvbn+=EXTRAWORD
anything ^pn++++=anything
up ^rp++++=up
your ^pp$+pp2+++=your
sleeve ^nn++++=sleeve?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
inquired ^vbd+++xvbnx+=inquired
of ^in++++=of
Johnny ^np++++=Johnny.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
time ^nn++++=time
to ^to++++=to
show ^vbi+vprv+tht0++=show
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
can ^md+pos+++=can
borrow ^vb++++=borrow
some ^dti++++=some
gent ^nn++++=gent's
's ^$++++=EXTRAWORD
hat ^nn++++=hat
in ^in++++=in
the ^ati++++=the
audience ^nn+nom+++=audience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
customers ^nns+nom+++=customers
for ^in++++=for
an ^at++++=an
idle ^jj+atrb+++=idle
stock ^nn++++=stock
of ^in++++=of
shoes ^nns++++=shoes
come ^vb++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
it ^pp3+it+++=it
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md+atrb+md++=better
spiel ^vb+++??+=spiel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boys ^nns++++=boys
have ^vb+hv+aux++=have
all ^abn++++=all
laid ^vwbn+++xvbn+=laid
in ^in++++=in
enough ^dt++++=enough
footwear ^nn++++=footwear
to ^in++++=to
last ^ap++++=last
them ^pp3o+pp3+++0='em
ten ^cd++++=ten
years ^nns++++=years;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there's
's ^vbz+bez+aux++0=EXTRAWORD
nothing ^pn++++=nothing
doing ^vbg+++xvbg+=doing
in ^in++++=in
the ^ati++++=the
shoe ^nn++++=shoe
store ^nn++++=store
but ^cc++++=but
dolcy ^nn+++??+=dolcy
far ^rb+pl+++=far
nienty ^nn+++??+=nienty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
came ^vpsv++by+xvbn+=came
by ^in++++=by
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
venerable ^jj+atrb+++=venerable
victim ^nn++++=victim
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
in ^in++++=in
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
through ^in++++=through
his ^pp$+pp3+++=his
specs ^nns+++??+=specs
at ^rb++++=at
the ^ati++++=the
bare ^jj+atrb+++=bare
toes ^nns++++=toes
passing ^vwbg+++xvbg+=passing
by ^in++++=by
his ^pp$+pp3+++=his
emporium ^nn+++??+=emporium.
. ^zz++++=EXTRAWORD
The ^ati++++=The
natives ^nns++++=natives
here ^rn+pl+++=here
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
the ^ati++++=the
true ^jj+atrb+++=true
artistic ^jj+atrb+++=artistic
temperament ^nn+nom+++=temperament.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
and ^cc++++=and
Clancy ^np+++??+=Clancy
took ^vbd+++xvbn+=took
eighteen ^cd++++=eighteen
tintypes ^nns+++??+=tintypes
this ^dt+dem+++=this
morning ^nn++++=morning
in ^in++++=in
two ^cd++++=two
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
but ^cc++++=but
one ^cd1++++=one
pair ^nn++++=pair
of ^in++++=of
shoes ^nns++++=shoes
sold ^vwbn+++xvbn+=sold
all ^abn++++=all
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Blanchard ^np++++=Blanchard
went ^vbd+++xvbn+=went
in ^in++++=in
and ^cc++++=and
bought ^vbd+++xvbn+=bought
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
furlined ^jj+atrb++xvbn+=furlined
house ^nn++++=house-slippers
- ^zz++++=EXTRAWORD
slippers ^nns+nom+++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
Miss ^npt++++=Miss
Hemstetter ^np+nom+++=Hemstetter
go ^vb++++=go
into ^in++++=into
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
him ^pp3o+pp3+++=him
throw ^vb++++=throw
the ^ati++++=the
slippers ^nns+nom+++=slippers
into ^in++++=into
the ^ati++++=the
lagoon ^nn++++=lagoon
afterwards ^rb+tm+++=afterwards."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
Mobile ^jj+atrb+++=Mobile
fruit ^nn++++=fruit
steamer ^np++++=steamer
coming ^vwbg+++xvbg+=coming
in ^in++++=in
tomorrow ^nr+tm+++=tomorrow
or ^cc++++=or
next ^ap++++=next
day ^nn++++=day,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Johnny ^np++++=Johnny.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
anything ^pn++++=anything
until ^in++++=until
then ^rn+tm+++=then."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do--try
-- ^--+clp+++=EXTRAWORD
try ^vb++++=EXTRAWORD
to ^to+vcmp+++=to
create ^vbi++++=create
a ^at++++=a
demand ^nn++++=demand?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Political
political ^jj+atrb+++=EXTRAWORD
economy ^nn++++=economy
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
your ^pp$+pp2+++=your
strong ^jj+atrb+++=strong
point ^nn++++=point,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
consul ^np++++=consul,
, ^zz++++=EXTRAWORD
impudently ^rb++++=impudently.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
create ^vb++++=create
a ^at++++=a
demand ^nn++++=demand.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
can ^md+pos+++=can
create ^vb++++=create
a ^at++++=a
necessity ^nn+nom+++=necessity
for ^in++++=for
a ^at++++=a
demand ^nn++++=demand.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Two ^cd++++=Two
weeks ^nns++++=weeks
after ^cs+sub+++=after
the ^ati++++=the
consul ^np++++=consul
sent ^vbd+++xvbn+=sent
his ^pp$+pp3+++=his
cable ^nn++++=cable,
, ^zz++++=EXTRAWORD
a ^at++++=a
fruit ^nn++++=fruit
steamer ^np++++=steamer
brought ^vbd+++xvbn+=brought
him ^pp3o+pp3+++=him
a ^at++++=a
huge ^jj++++=huge,
, ^zz++++=EXTRAWORD
mysterious ^jj+atrb+++=mysterious
brown ^jj+atrb+++=brown
bale ^nn+++??+=bale
of ^in++++=of
some ^dti++++=some
unknown ^jj+atrb+++=unknown
commodity ^nn+nom+++=commodity.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
influence ^nn+nom+++=influence
with ^in++++=with
the ^ati++++=the
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
people ^nns++++=people
was ^vbd+bedz+vrb++=was
sufficiently ^rb++++=sufficiently
strong ^jj+pred+++=strong
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
goods ^nns++++=goods
turned ^vbd+++xvbn+=turned
over ^in++++=over
to ^in++++=to
him ^pp3o+pp3+++=him
without ^in++++=without
the ^ati++++=the
usual ^jj+atrb+++=usual
inspection ^nn+nom+++=inspection.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
the ^ati++++=the
bale ^nn++++=bale
taken ^vwbn+++xvbn+=taken
to ^to+vcmp+++=to
the ^ati++++=the
consulate ^nn+nom+++=consulate
and ^cc++++=and
snugly ^rb++++=snugly
stowed ^xvbn+++xvbn+=stowed
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
room ^nn++++=room.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
he ^pp3a+pp3+++=he
ripped ^vbd+++xvbnx+=ripped
open ^jj++++=open
a ^at++++=a
corner ^nn++++=corner
of ^in++++=of
it ^pp3+it+++=it
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
the ^ati++++=the
cockleburrs ^nns+++??+=cockleburrs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
examined ^vbd+++xvbnx+=examined
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
care ^nn++++=care
with ^in++++=with
which ^whp+rel+pied++=which
a ^at++++=a
warrior ^nn++++=warrior
examines ^vbz++++=examines
his ^pp$+pp3+++=his
arms ^nns++++=arms
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
forth ^rp++++=forth
to ^in++++=to
battle ^nn++++=battle
for ^in++++=for
his ^pp$+pp3+++=his
lady ^npt++++=lady-love
- ^zz++++=EXTRAWORD
love ^nn++++=EXTRAWORD
and ^cc++++=and
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
burrs ^nns+++??+=burrs
were ^vbd+bed+vrb++=were
the ^ati++++=the
ripe ^jj+atrb+++=ripe
August ^nr++++=August
product ^nn++++=product,
, ^zz++++=EXTRAWORD
as ^ql++++=as
hard ^jj++++=hard
as ^ql++++=as
filberts ^nns+++??+=filberts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bristling ^jj++++=bristling
with ^in++++=with
spines ^nns++++=spines
as ^in++++=as
tough ^jj++++=tough
and ^cc+phrs+++=and
sharp ^jj++++=sharp
as ^ql++++=as
needles ^nps++++=needles.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
whistled ^vbd+++xvbn+=whistled
softly ^rb++++=softly
a ^rb++++=a
little ^rb"++++=little
tune ^nn++++=tune,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
to ^to++++=to
find ^vbi+vprv+++=find
Billy ^np++++=Billy
Keogh ^np+++??+=Keogh.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Coralio ^np+++??+=Coralio
was ^vbd+bedz+aux++=was
steeped ^vpsv++agls+xvbnx+=steeped
in ^in++++=in
slumber ^jjr++++=slumber,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
and ^cc++++=and
Billy ^np++++=Billy
went ^vbd+++xvbn+=went
forth ^rp++++=forth
into ^in++++=into
the ^ati++++=the
deserted ^jj+atrb++xvbn+=deserted
streets ^nns++++=streets
with ^in++++=with
their ^pp$+pp3+++=their
coats ^nns++++=coats
bulging ^vwbg+++xvbg+=bulging
like ^in++++=like
balloons ^nns+++??+=balloons.
. ^zz++++=EXTRAWORD
All ^abn++++=All
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
Calle ^np+++??+=Calle
Grande ^&fw++++=Grande
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
sowing ^nn++++=sowing
the ^ati++++=the
sharp ^jj+atrb+++=sharp
burrs ^nns+++??+=burrs
carefully ^rb++++=carefully
in ^in++++=in
the ^ati++++=the
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
narrow ^jj+atrb+++=narrow
sidewalks ^nns+++??+=sidewalks,
, ^zz++++=EXTRAWORD
in ^in++++=in
every ^at++++=every
foot ^nn++++=foot
of ^in++++=of
grass ^nn++++=grass
between ^in++++=between
the ^ati++++=the
silent ^jj+atrb+++=silent
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
the ^ati++++=the
side ^nn++++=side
streets ^nns++++=streets
and ^cc++++=and
byways ^rb+cnj+++=byways,
, ^zz++++=EXTRAWORD
missing ^jj+++xvbg+=missing
none ^pn++++=none.
. ^zz++++=EXTRAWORD
No ^at++++=No
place ^nn++++=place
where ^wrb+who+++=where
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
man ^nn++++=man,
, ^zz++++=EXTRAWORD
woman ^nn++++=woman
or ^cc++++=or
child ^nn++++=child
might ^md+pos+++=might
fall ^vb++++=fall
was ^vbd+bedz+aux++=was
slighted ^vpsv++agls+xvbnx+=slighted.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
trips ^nns++++=trips
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
to ^to+vcmp+++=to
and ^cc++++=and
from ^in++++=from
the ^ati++++=the
prickly ^jj+atrb+++=prickly
hoard ^nn+++??+=hoard.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
at ^in++++=at
the ^ati++++=the
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
laid ^vbd+++xvbnx+=laid
themselves ^ppls+pp3+++=themselves
down ^rp++++=down
to ^in++++=to
rest ^nn++++=rest
calmly ^rb+cnj+++=calmly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
great ^np++++=great
generals ^nns+nom+++=generals
do ^vb+do+vrb++=do
after ^in++++=after
planning ^xvbg+++xvbg+=planning
a ^at++++=a
victory ^nn++++=victory
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
revised ^jj+atrb++xvbn+=revised
tactics ^nns++++=tactics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slept ^vbd+++xvbn+=slept,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
sowed ^vprf+++xvbnx+=sowed
with ^in++++=with
the ^ati++++=the
accuracy ^nn+nom+++=accuracy
of ^in++++=of
Satan ^np++++=Satan
sowing ^nn++++=sowing
tares ^nns++++=tares
and ^cc++++=and
the ^ati++++=the
perseverance ^nn+nom+++=perseverance
of ^in++++=of
Paul ^np++++=Paul
planting ^vwbg+++xvbg+=planting.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
sun ^nn++++=sun
came ^vbd+++xvbn+=came
the ^ati++++=the
purveyors ^nns++++=purveyors
of ^in++++=of
fruits ^nns++++=fruits
and ^cc++++=and
meats ^nns++++=meats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arranged ^vbd+vsua+tht0+xvbn+=arranged
their ^pp$+pp3+++=their
wares ^nns++++=wares
in ^in++++=in
and ^cc++++=and
around ^in++++=around
the ^ati++++=the
little ^jj+atrb+++=little
market ^nn++++=market-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
near ^in+pl+++=near
the ^ati++++=the
seashore ^nn+++??+=seashore
the ^ati++++=the
market ^nn++++=market-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
stood ^vbd+++xvbn+=stood;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sowing ^nn++++=sowing
of ^in++++=of
the ^ati++++=the
burrs ^nns+++??+=burrs
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
carried ^vpsv++agls+xvbnx+=carried
that ^dt+pdem+++=that
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dealers ^nns+nom+++=dealers
waited ^vbd+++xvbn+=waited
long ^rb++++=long
past ^jjb++++=past
the ^ati++++=the
hour ^nn++++=hour
when ^wrb+who+++=when
their ^pp$+pp3+++=their
sales ^nns++++=sales
usually ^rb+down+++=usually
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
None ^pn++++=None
came ^vbd+++xvbn+=came
to ^to++++=to
buy ^vbi++++=buy.
. ^zz++++=EXTRAWORD
" ^zz++++="!Que
! ^zz++++=EXTRAWORD
que ^&fw++++=EXTRAWORD
hay ^nn++++=hay?
? ^zz++++=EXTRAWORD
" ^zz++++="
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
exclaim ^vbi++++=exclaim,
, ^zz++++=EXTRAWORD
one ^pn++++=one
to ^in++++=to
another ^dt++++=another.
. ^zz++++=EXTRAWORD
At ^in++++=At
their ^pp$+pp3+++=their
accustomed ^vbd+++xvbn+=accustomed
time ^nn++++=time,
, ^zz++++=EXTRAWORD
from ^in++++=from
every ^at++++=every
' ^zz++++='dobe
dobe ^nn+++??+=EXTRAWORD
and ^cc++++=and
palm ^nn++++=palm
hut ^nn++++=hut
and ^cc++++=and
grassthatched ^jj+atrb++xvbn+=grassthatched
shack ^nn++++=shack
and ^cc++++=and
dim ^jj+atrb+++=dim
patio ^nn+++??+=patio
glided ^vbd+++xvbn+=glided
women ^nns++++=women--black
-- ^--+clp+++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
women ^nns++++=women,
, ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
women ^nns++++=women,
, ^zz++++=EXTRAWORD
lemon ^nn++++=lemon-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
women ^nns++++=women,
, ^zz++++=EXTRAWORD
women ^nns++++=women
dun ^jj++++=dun
and ^cc+phrs+++=and
yellow ^jj++++=yellow
and ^cc+phrs+++=and
tawny ^jj++++=tawny.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
the ^ati++++=the
marketers ^nns+nom+++=marketers
starting ^vwbg+++xvbg+=starting
to ^in++++=to
purchase ^nn++++=purchase
the ^ati++++=the
family ^nn++++=family
supply ^nn++++=supply
of ^in++++=of
cassava ^nn+++??+=cassava,
, ^zz++++=EXTRAWORD
plantains ^nns+++??+=plantains,
, ^zz++++=EXTRAWORD
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
fowls ^nns++++=fowls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tortillas ^nns+++??+=tortillas.
. ^zz++++=EXTRAWORD
Decollete ^np+++??+=Decollete
