Half ^abn++++=Half
secure ^vbi++++=secure
his ^pp$+pp3+++=his
scalp ^nn++++=scalp,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
proceeded ^vbd+++xvbnx+=proceeded
to ^in++++=to
work ^nn++++=work
their ^pp$+pp3+++=their
will ^md+prd+++=will
on ^in++++=on
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
Ungque ^np+++??+=Ungque,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
gained ^vprf+++xvbnx+=gained
ground ^nn++++=ground
rapidly ^rb++++=rapidly
by ^in++++=by
his ^pp$+pp3+++=his
late ^jj+atrb+++=late
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
once ^rb+tm+splt++=once
more ^rbr++++=more
commissioned ^vbd+++xvbn+=commissioned
to ^in++++=to
state ^nn++++=state
to ^in++++=to
the ^ati++++=the
captive ^nn++++=captive
the ^ati++++=the
intentions ^nns+nom+++=intentions
of ^in++++=of
his ^pp$+pp3+++=his
captors ^nns++++=captors.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,"
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
commenced ^vbd+++xvbn+=commenced
The ^ati++++=The
Weasel ^nn++++=Weasel,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
himself ^ppl+pp3+++=himself
directly ^rb++++=directly
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
about ^md"++pmd"++=about
to ^md+prd+++=to
speak ^vb++++=speak
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
A ^at++++=A
wise ^jj+atrb+++=wise
warrior ^nn++++=warrior
opens ^vbz++++=opens
his ^pp$+pp3+++=his
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
hears ^vbz+vprv+++=hears
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
his ^pp$+pp3+++=his
enemy ^nn++++=enemy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
learn ^vb+vprv+tht0++=learn
something ^pn++++=something
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
good ^jj+pred+++=good
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
know ^vbi+vprv+++=know.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
good ^jj+pred+++=good
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
about ^md"++pmd"++=about
to ^md+prd+++=to
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
pale ^jj++++=pale-face,
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
Injins ^np+++??+=Injins.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
get ^vbi++++=get
our ^pp$+pp1+++=our
hunting ^nvbg+++xvbg+=hunting-grounds,
- ^zz++++=EXTRAWORD
grounds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
keep ^vbi++++=keep
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
To ^to++++=To
keep ^vbi++++=keep
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
necessary ^jj++++=necessary
to ^to+jcmp+++=to
take ^vbi++++=take
your ^pp$+pp2+++=your
scalp ^nn++++=scalp.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
let ^vbi++++=let
us ^pp1o+pp1+++=us
have ^vb+hv+vrb++=have
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
corporal ^npt+nom+++=corporal
had ^vb+hv+vrb++=had
but ^cc++++=but
an ^at++++=an
indifferent ^jj+atrb+++=indifferent
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
Indian ^jj+atrb+++=Indian
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
comprehended ^vbd+++xvbnx+=comprehended
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
uttered ^vpsv++agls+xvbnx+=uttered
on ^in++++=on
this ^dt+dem+++=this
occasion ^nn++++=occasion.
. ^zz++++=EXTRAWORD
Interest ^nn++++=Interest
quickened ^vbd+++xvbn+=quickened
his ^pp$+pp3+++=his
faculties ^nns++++=faculties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
part ^nn++++=part
of ^in++++=of
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
deliberate ^jj+atrb+++=deliberate
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
The ^ati++++=The
Weasel ^nn++++=Weasel
delivered ^vwbn+++xvbn+=delivered
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
contributed ^j+++xvbn+=contributed
to ^in++++=to
his ^pp$+pp3+++=his
means ^nn++++=means
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
fortunately ^rb++splt++=fortunately
prepared ^vpsv++agls+xvbnx+=prepared
for ^in++++=for
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
announcement ^nn+nom+++=announcement
of ^in++++=of
his ^pp$+pp3+++=his
approaching ^jj+atrb++xvbg+=approaching
fate ^nn++++=fate
did ^vbd+dod+aux++=did
not ^xnot++not++=not
disturb ^vb++++=disturb
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
betraying ^xvbg+++xvbg+=betraying
weakness ^nns+nom+++=weakness.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
last ^rb++++=last
was ^vbd+bedz+vrb++=was
a ^at++++=a
triumph ^nn++++=triumph
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Indians ^nn++++=Indians
delighted ^vbd+++xvbn+=delighted,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
ever ^rb++++=ever
showed ^vbd+vprv++xvbn+=showed
the ^ati++++=the
most ^ql+emph+++=most
profound ^jj+atrb+++=profound
respect ^nn++++=respect
for ^in++++=for
such ^abl++++=such
of ^in++++=of
their ^pp$+pp3+++=their
victims ^nns++++=victims
as ^cs+sub+++=as
manifested ^vbd+++xvbn+=manifested
a ^at++++=a
manly ^jj+atrb+++=manly
fortitude ^nn++++=fortitude.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
reply ^vb++++=reply,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
corporal ^nn+nom+++=corporal
did ^vbd+dod+vrb++=did
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
that ^tht+vcmp+++=that
several ^ap++++=several
present ^nn++++=present
could ^md+pos+++=could
interpret ^vb++++=interpret
his ^pp$+pp3+++=his
words ^nns++++=words.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
view ^nn++++=view
to ^to++++=to
render ^vbi++++=render
this ^dt+dem+++=this
the ^ati++++=the
more ^rbr++++=more
easy ^jj++++=easy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
in ^in++++=in
fragments ^nns+nom+++=fragments
of ^in++++=of
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
great ^jj+atrb+++=great
deliberation ^nn+nom+++=deliberation.
. ^zz++++=EXTRAWORD
" ^zz++++="Injins,"
injins ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
surrounded ^vbd+++xvbn+=surrounded
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
prisoner ^nn+nom+++=prisoner
had ^vb+hv+aux++=had
there ^ex+pex+++=there
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
platoon ^nn++++=platoon
on ^in++++=on
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=mightn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
out ^rp+pl+++=out
quite ^abl++++=quite
so ^ql++++=so
well ^rb++++=well.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
great ^jj+atrb+++=great
victory ^nn++++=victory
for ^in++++=for
three ^cd++++=three
hundred ^cd++++=hundred
warriors ^nns++++=warriors
to ^to++++=to
overcome ^vbi++++=overcome
a ^at++++=a
single ^jj+atrb+++=single
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
count ^npt++++=count
Parson ^nn++++=Parson
Amen ^uh++++=Amen
as ^in++++=as
worse ^nn++++=worse
than ^in++++=than
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
to ^to+vcmp+++=to
neither ^dtx++neg++=neither
rear ^jjb++++=rear
nor ^cc++neg++=nor
flank ^nn++++=flank.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+vrb++=have
half ^rb++++=half
an ^at++++=an
hour ^nn++++=hour's
's ^$++++=EXTRAWORD
work ^nn++++=work
upon ^in++++=upon
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^ap+down+++=only
half ^abn++++=half
of ^in++++=of
our ^pp$+pp1+++=our
late ^jj+atrb+++=late
company ^nn++++=company,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
we ^pp1a+pp1+++=we
should ^md+nec+++=should
lower ^jjr++++=lower
your ^pp$+pp2+++=your
conceit ^nn++++=conceit.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
you ^pp2+pp2+++=you
may ^md+pos+++=may
do ^vb+do+vrb++=do
just ^rb+emph+++=just
what ^wdt+who+++=what
you ^pp2+pp2+++=you
please ^uh++++=please
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask
no ^at++++=no
favors ^nns++++=favors."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
this ^dt+dem+++=this
answer ^nn++++=answer
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
imperfectly ^rb++++=imperfectly
translated ^vbd+++xvbn+=translated,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
awakened ^vbd+++xvbn+=awakened
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
admiration ^nn+nom+++=admiration.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
who ^whp+rel+subj++=who
could ^md+pos+++=could
look ^vb++++=look
death ^nn++++=death
so ^rb++++=so
closely ^rb++++=closely
in ^in++++=in
the ^ati++++=the
face ^nn++++=face,
, ^zz++++=EXTRAWORD
with ^in++++=with
so ^ql++++=so
much ^ap++++=much
steadiness ^nns+nom+++=steadiness,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
hero ^nn++++=hero
in ^in++++=in
Indian ^jj+atrb+++=Indian
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
North ^nr+pl+++=North
American ^jj++++=American
savage ^jj++++=savage,
, ^zz++++=EXTRAWORD
fortitude ^nn++++=fortitude
is ^vbz+bez+vrb++=is
a ^at++++=a
virtue ^nn++++=virtue
not ^xnot++not++=not
inferior ^jj++++=inferior
to ^in++++=to
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
Murmurs ^nns++++=Murmurs
of ^in++++=of
approbation ^nn+nom+++=approbation
were ^vbd+bed+aux++=were
heard ^vpsv++agls+xvbnx+=heard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ungque ^np+++??+=Ungque
was ^vbd+bedz+aux++=was
privately ^rb++splt++=privately
requested ^vpsv++agls+xvbnx+=requested
to ^to+vcmp+++=to
urge ^vbi+vsua+++=urge
the ^ati++++=the
captive ^jj++++=captive
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
far ^rb+pl+++=far
present ^jj+atrb+++=present
appearances ^nns+nom+++=appearances
were ^vbd+bed+vrb++=were
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
maintained ^vpsv++agls+xvbnx+=maintained.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
Injins ^np+++??+=Injins,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
resumed ^vbd+++xvbn+=resumed
The ^ati++++=The
Weasel ^nn++++=Weasel,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
air ^nn++++=air
so ^rb+emph+++=so
humble ^jj++++=humble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
voice ^nn++++=voice
so ^rb+emph+++=so
meek ^jj++++=meek,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
stranger ^nn+nom+++=stranger
might ^md+pos+++=might
have ^vb+hv+aux++=have
supposed ^vprf+++xvbnx+=supposed
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
consoling ^nn+nom+++=consoling,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
endeavoring ^vb+++xvbg+=endeavoring
to ^to+vcmp+++=to
intimidate ^nn+nom+++=intimidate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
nothing ^pn++++=nothing
but ^cc++++=but
poor ^jj+atrb+++=poor,
, ^zz++++=EXTRAWORD
ignorant ^jj+atrb+++=ignorant
Injins ^np+++??+=Injins.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
only ^rb+down+++=only
torment ^nn+nom+++=torment
our ^pp$+pp1+++=our
prisoners ^nns+nom+++=prisoners
after ^in++++=after
Injin ^np+++??+=Injin
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
pale ^jj+pred+++=pale-faces,
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
might ^md+pos+++=might
do ^vb+do+vrb++=do
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=did
not ^xnot++not++=not
torment ^nn+nom+++=torment
the ^ati++++=the
medicine ^nn++++=medicine-priest.
- ^zz++++=EXTRAWORD
priest ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
afraid ^jj+pred+++=afraid
he ^pp3a+pp3+++=he
would ^md+prd+++=would
laugh ^vb++++=laugh
at ^rb++++=at
our ^pp$+pp1+++=our
mistakes ^nns++++=mistakes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
know ^vb+vprv+++=know
but ^cc++++=but
little ^jj++++=little.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
do ^vb+do+vrb++=do
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Injins ^np+++??+=Injins
do ^vb+do+vrb++=do
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
they ^pp3a+pp3+++=they
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how,
, ^zz++++=EXTRAWORD
a ^at++++=a
warrior ^nn++++=warrior
should ^md+nec+++=should
forget ^vb+vprv+tht0++=forget
their ^pp$+pp3+++=their
mistakes ^nns++++=mistakes.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
torment ^nn+nom+++=torment
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
way ^nn++++=way
to ^to++++=to
prove ^vbi+vprv+++=prove
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
all ^abn++++=all
over ^in++++=over
man ^nn++++=man.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wish ^vb+vprv+++=wish
so ^ql++++=so
to ^to++++=to
torment ^nn+nom+++=torment
you ^pp2+pp2+++=you
that ^cs+sub+++=that
you ^pp2+pp2+++=you
will ^md+prd+++=will
stand ^vb++++=stand
up ^rp++++=up
under ^in++++=under
the ^ati++++=the
pain ^nn++++=pain
in ^in++++=in
such ^abl++++=such
a ^at++++=a
way ^nn++++=way
that ^tht+rel+obj++=that
it ^pp3+it+++=it
will ^md+prd+++=will
make ^vb++++=make
our ^pp$+pp1+++=our
young ^jj+atrb+++=young
men ^nns++++=men
think ^vb+vprv+tht0++=think
your ^pp$+pp2+++=your
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
squaw ^nn+++??+=squaw
that ^tht+rel+obj++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
woman ^nn++++=woman
in ^in++++=in
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
do ^vb+do+vrb++=do
this ^dt+dem+++=this
for ^in++++=for
our ^pp$+pp1+++=our
own ^ap++++=own
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
for ^in++++=for
yours ^pp$$++++=yours.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
an ^at++++=an
honor ^nn++++=honor
to ^in++++=to
us ^pp1o+pp1+++=us
to ^to++++=to
have ^vbi++vrb++=have
such ^abl++++=such
a ^at++++=a
captive ^nn++++=captive;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
an ^at++++=an
honor ^nn++++=honor
to ^in++++=to
you ^pp2+pp2+++=you
to ^to++++=to
be ^vbi++vrb++=be
such ^abl++++=such
a ^at++++=a
captive ^nn++++=captive.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
do ^vb+do+vrb++=do
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
most ^ap+emph+++=most
time ^nn++++=time
to ^to++++=to
begin ^vbi++++=begin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tormenting ^nn++++=tormenting
will ^md+prd+++=will
last ^rb++++=last
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
not ^xnot++not++=not
let ^vb+++xvbn+=let
the ^ati++++=the
medicine ^nn++++=medicine-priest
- ^zz++++=EXTRAWORD
priest ^nn++++=EXTRAWORD
get ^vb++++=get
too ^ql++++=too
great ^np++++=great
a ^at++++=a
start ^nn++++=start
on ^in++++=on
the ^ati++++=the
path ^nn++++=path
to ^in++++=to
the ^ati++++=the
happy ^jj++++=happy
hunting ^jj+++xvbg+=hunting-grounds
- ^zz++++=EXTRAWORD
grounds ^nns++++=EXTRAWORD
of ^in++++=of
your ^pp$+pp2+++=your
" ^zz++++="
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
a ^at++++=a
most ^ql+emph+++=most
unexpected ^jj+atrb+++=unexpected
interruption ^nn+nom+++=interruption
occurred ^vbd+++xvbn+=occurred,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
effectually ^rb++++=effectually
put ^vb+++xvbn+=put
a ^at++++=a
stop ^nn++++=stop
to ^in++++=to
the ^ati++++=the
eloquence ^nn+nom+++=eloquence
of ^in++++=of
Ungque ^np+++??+=Ungque.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
desire ^nn++++=desire
to ^to+ncmp+++=to
make ^vbi++++=make
an ^at++++=an
impression ^nn++++=impression,
, ^zz++++=EXTRAWORD
the ^ati++++=the
savage ^nn++++=savage
approached ^vbd+++xvbn+=approached
within ^in++++=within
reach ^nn++++=reach
of ^in++++=of
the ^ati++++=the
captive ^jj+atrb+++=captive's
's ^vbz+bez+vrb++0=EXTRAWORD
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
own ^ap++++=own
mind ^nn++++=mind
was ^vbd+bedz+vrb++=was
