Many ^ap++++=Many
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
held ^vprf+++xvbnx+=held
a ^at++++=a
desultory ^jj+atrb+++=desultory
correspondence ^nn+nom+++=correspondence
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
long ^rb++splt++=long
ceased ^vprf+++xvbnx+=ceased,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
correspondence ^nn+nom+++=correspondence
between ^in++++=between
men ^nns++++=men.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
have ^vb+hv+aux++=have
observed ^vprf+++xvbnx+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
indisposition ^nn+nom+++=indisposition
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
merely ^rb+down+++=merely
social ^jj+atrb+++=social
letter ^nn++++=letter
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
ratio ^nn++++=ratio
of ^in++++=of
the ^ati++++=the
square ^nn++++=square
of ^in++++=of
the ^ati++++=the
distance ^nn+nom+++=distance
between ^in++++=between
you ^pp2+pp2+++=you
and ^cc++++=and
your ^pp$+pp2+++=your
correspondent ^nn++++=correspondent.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
law ^nn++++=law.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
Dampier ^np+++??+=Dampier
as ^in++++=as
a ^at++++=a
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
strong ^jj++++=strong
young ^jj++++=young
fellow ^jjb++++=fellow
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
tastes ^nns++++=tastes,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
aversion ^nn++++=aversion
to ^in++++=to
work ^nn++++=work
and ^cc++++=and
a ^at++++=a
marked ^jj+atrb++xvbn+=marked
indifference ^nn+nom+++=indifference
to ^in++++=to
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+obj++=that
the ^ati++++=the
world ^nn++++=world
cares ^vbz++++=cares
for ^in+ppvb+++=for,
, ^zz++++=EXTRAWORD
including ^in++++=including
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
inherited ^vprf+++xvbnx+=inherited
enough ^qlp++++=enough
to ^to++++=to
put ^vbi++++=put
him ^pp3o+pp3+++=him
beyond ^in++++=beyond
the ^ati++++=the
reach ^nn++++=reach
of ^in++++=of
want ^nn++++=want.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
family ^nn++++=family,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
oldest ^jjt++++=oldest
and ^cc++++=and
most ^ql+emph+++=most
aristocratic ^jj++++=aristocratic
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
pride ^nn++++=pride
that ^tht+rel+obj++=that
no ^at++++=no
member ^nn++++=member
of ^in++++=of
it ^pp3+it+++=it
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
trade ^nn++++=trade
nor ^cc++neg++=nor
politics ^nn++++=politics,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
suffered ^vbd+++xvbn+=suffered
any ^dti++++=any
kind ^rb++++=kind
of ^rb"++++=of
distinction ^nn+nom+++=distinction.
. ^zz++++=EXTRAWORD
Mohan ^np+++??+=Mohan
was ^vbd+bedz+vrb++=was
a ^at++++=a
trifle ^nn++++=trifle
sentimental ^jj++++=sentimental,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
in ^in++++=in
him ^pp3o+pp3+++=him
a ^at++++=a
singular ^jj+atrb+++=singular
element ^nn+nom+++=element
of ^in++++=of
superstition ^nn+nom+++=superstition,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
led ^vbd+++xvbn+=led
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
all ^abn++++=all
manner ^nn++++=manner
of ^in++++=of
occult ^jj+atrb++xvbn+=occult
subjects ^nns++++=subjects,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
his ^pp$+pp3+++=his
sane ^jj+atrb+++=sane
mental ^jj+atrb+++=mental
health ^nn++++=health
safeguarded ^vwbn+++xvbn+=safeguarded
him ^pp3o+pp3+++=him
against ^in++++=against
fantastic ^jj+atrb+++=fantastic
and ^cc+phrs+++=and
perilous ^jj+atrb+++=perilous
faiths ^nns++++=faiths.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
daring ^jj+atrb++xvbg+=daring
incursions ^nns++++=incursions
into ^in++++=into
the ^ati++++=the
realm ^nn++++=realm
of ^in++++=of
the ^ati++++=the
unreal ^nn++++=unreal
without ^in++++=without
renouncing ^xvbg+++xvbg+=renouncing
his ^pp$+pp3+++=his
residence ^nn+nom+++=residence
in ^in++++=in
the ^ati++++=the
partly ^rb+down+++=partly
surveyed ^vbd+++xvbn+=surveyed
and ^cc+phrs+++=and
charted ^vbd+++xvbn+=charted
region ^nn++++=region
of ^in++++=of
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
pleased ^jj++agls+xvbnx+=pleased
to ^to+jcmp+++=to
call ^vbi++++=call
certitude ^nn+++??+=certitude.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
of ^in++++=of
my ^pp$+pp1+++=my
visit ^nn++++=visit
to ^in++++=to
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
stormy ^jj+pred+++=stormy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Californian ^jj+atrb+++=Californian
winter ^nn++++=winter
was ^vbd+bedz+vrb++=was
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
incessant ^jj+atrb+++=incessant
rain ^nn++++=rain
splashed ^vbd+++xvbn+=splashed
in ^in++++=in
the ^ati++++=the
deserted ^jj+atrb++xvbn+=deserted
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
lifted ^xvbn+++xvbn+=lifted
by ^in++++=by
irregular ^jj+atrb+++=irregular
gusts ^nns++++=gusts
of ^in++++=of
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
hurled ^vpsv++agls+xvbnx+=hurled
against ^in++++=against
the ^ati++++=the
houses ^nns++++=houses
with ^in++++=with
incredible ^jj+atrb+++=incredible
fury ^nn++++=fury.
. ^zz++++=EXTRAWORD
With ^in++++=With
no ^at++++=no
small ^jj+atrb+++=small
difficulty ^nn++++=difficulty
my ^pp$+pp1+++=my
cabman ^jj++++=cabman
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
right ^jj+atrb+++=right
place ^nn++++=place,
, ^zz++++=EXTRAWORD
away ^rp+pl+++=away
out ^rp+pl+++=out
toward ^in++++=toward
the ^ati++++=the
ocean ^nn++++=ocean
beach ^npl++++=beach,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
sparsely ^rb++++=sparsely
populated ^jj+atrb++xvbn+=populated
suburb ^nn++++=suburb.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dwelling ^nvbg+++xvbg+=dwelling,
, ^zz++++=EXTRAWORD
a ^at++++=a
rather ^rb++++=rather
ugly ^jj+atrb+++=ugly
one ^pn++++=one,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
its ^pp$+it+++=its
grounds ^nns++++=grounds,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
as ^in++++=as
nearly ^rb+down+++=nearly
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
gloom ^nn++++=gloom
were ^vbd+bed+vrb++=were
destitute ^jj+pred+++=destitute
of ^in++++=of
either ^dtx++++=either
flowers ^nns+nom+++=flowers
or ^cc++++=or
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
or ^cc++++=or
four ^cd++++=four
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
writhing ^jj++++=writhing
and ^cc+phrs+++=and
moaning ^jj+++xvbg+=moaning
in ^in++++=in
the ^ati++++=the
torment ^nn+nom+++=torment
of ^in++++=of
the ^ati++++=the
tempest ^nn++++=tempest,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
escape ^vbi++++=escape
from ^in++++=from
their ^pp$+pp3+++=their
dismal ^jj+atrb+++=dismal
environment ^nn+nom+++=environment
and ^cc++++=and
take ^vb++++=take
the ^ati++++=the
chance ^nn++++=chance
of ^in++++=of
finding ^xvbg+++xvbg+=finding
a ^at++++=a
better ^jjr+atrb+++=better
one ^cd1++++=one
out ^rp+pl+++=out
at ^rb++++=at
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
was ^vbd+bedz+vrb++=was
a ^at++++=a
two ^cd++++=two-story
- ^zz++++=EXTRAWORD
story ^nn++++=EXTRAWORD
brick ^nn++++=brick
structure ^nn++++=structure
with ^in++++=with
a ^at++++=a
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
a ^at++++=a
story ^nn++++=story
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
at ^rb++++=at
one ^cd1++++=one
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
window ^nn++++=window
of ^in++++=of
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
visible ^jj+atrb+++=visible
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
in ^in++++=in
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
the ^ati++++=the
place ^nn++++=place
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
shudder ^vb++++=shudder,
, ^zz++++=EXTRAWORD
a ^at++++=a
performance ^nn+nom+++=performance
that ^tht+rel+obj++=that
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
assisted ^vpsv++by+xvbnx+=assisted
by ^in++++=by
a ^at++++=a
rill ^nn+++??+=rill
of ^in++++=of
rainwater ^nn+nom+++=rainwater
down ^in++++=down
my ^pp$+pp1+++=my
back ^rp++++=back
as ^ql++++=as
I ^pp1a+pp1+++=I
scuttled ^vbd+++xvbnx+=scuttled
to ^to++++=to
cover ^vbi++++=cover
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway.
. ^zz++++=EXTRAWORD
In ^in++++=In
answer ^nn++++=answer
to ^in++++=to
my ^pp$+pp1+++=my
note ^nn++++=note
apprising ^vwbg+++xvbg+=apprising
him ^pp3o+pp3+++=him
of ^in++++=of
my ^pp$+pp1+++=my
wish ^nn++++=wish
to ^to+ncmp+++=to
call ^vbi++++=call,
, ^zz++++=EXTRAWORD
Dampier ^np+++??+=Dampier
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written,
, ^zz++++=EXTRAWORD
' ^zz++++='Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
ring ^nn++++=ring
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
come ^vb++++=come
up ^rp++++=up.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
so ^rb++++=so.
. ^zz++++=EXTRAWORD
The ^ati++++=The
staircase ^nn++++=staircase
was ^vbd+bedz+aux++=was
dimly ^rb++splt++=dimly
lighted ^vpsv++by+xvbnx+=lighted
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
gas ^nn++++=gas-jet
- ^zz++++=EXTRAWORD
jet ^nn++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
second ^od++++=second
flight ^nn++++=flight.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
managed ^vbd+++xvbnx+=managed
to ^to+vcmp+++=to
reach ^vbi++++=reach
the ^ati++++=the
landing ^jj+++xvbg+=landing
without ^in++++=without
disaster ^nn+nom+++=disaster
and ^cc++++=and
entered ^vpsv++by+xvbn+=entered
by ^in++++=by
an ^at++++=an
open ^jj+atrb+++=open
door ^nn++++=door
into ^in++++=into
the ^ati++++=the
lighted ^jj+++xvbn+=lighted
square ^npl++++=square
room ^nn++++=room
of ^in++++=of
the ^ati++++=the
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
Dampier ^np+++??+=Dampier
came ^vbd+++xvbn+=came
forward ^rb++++=forward
in ^in++++=in
gown ^nn++++=gown
and ^cc++++=and
slippers ^nns+nom+++=slippers
to ^to++++=to
receive ^vbi++++=receive
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
giving ^jj+++xvbg+=giving
me ^pp1o+pp1+++=me
the ^ati++++=the
greeting ^jj+++xvbg+=greeting
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
wished ^vbd+vprv++xvbnx+=wished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
held ^vprf+++xvbnx+=held
a ^at++++=a
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
more ^rbr++++=more
fitly ^rb++++=fitly
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
accorded ^vpsv++agls+xvbnx+=accorded
me ^pp1o+pp1+++=me
at ^in++++=at
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
the ^ati++++=the
first ^od++++=first
look ^vb++++=look
at ^rb++++=at
him ^pp3o+pp3+++=him
dispelled ^vbd+++xvbn+=dispelled
any ^dti++++=any
sense ^nn++++=sense
of ^in++++=of
his ^pp$+pp3+++=his
inhospitality ^nn+nom+++=inhospitality.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
Hardly ^rb+down+++=Hardly
past ^nn++++=past
middle ^jjb+atrb+++=middle
age ^nn++++=age,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
gray ^np++++=gray
and ^cc++++=and
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
a ^at++++=a
pronounced ^jj+atrb++xvbn+=pronounced
stoop ^nn+++??+=stoop.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
figure ^nn++++=figure
was ^vbd+bedz+vrb++=was
thin ^jj+pred+++=thin
and ^cc+phrs+++=and
angular ^jj++++=angular,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
deeply ^rb++++=deeply
lined ^jj+++xvbn+=lined,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
complexion ^nn++++=complexion
dead ^jj++++=dead-white,
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
without ^in++++=without
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
color ^nn++++=color.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
unnaturally ^rb++++=unnaturally
large ^jj++++=large,
, ^zz++++=EXTRAWORD
glowed ^j+++xvbn+=glowed
with ^in++++=with
a ^at++++=a
fire ^nn++++=fire
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
uncanny ^jj+pred+++=uncanny.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seated ^vbd+++xvbnx+=seated
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
proffered ^j+++xvbn+=proffered
a ^at++++=a
cigar ^nn++++=cigar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
grave ^nn++++=grave
and ^cc++++=and
obvious ^jj+atrb+++=obvious
sincerity ^nn+nom+++=sincerity
assured ^vwbn+vpub++xvbn+=assured
me ^pp1o+pp1+++=me
of ^in++++=of
the ^ati++++=the
pleasure ^nn++++=pleasure
that ^tht+rel+obj++=that
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
to ^to++++=to
meet ^vbi++++=meet
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
unimportant ^jj+atrb+++=unimportant
conversation ^nn+nom+++=conversation
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
dominated ^vpsv++by+xvbnx+=dominated
by ^in++++=by
a ^at++++=a
melancholy ^jj+atrb+++=melancholy
sense ^nn++++=sense
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
change ^nn++++=change
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
perceived ^vprf+++xvbnx+=perceived,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
said ^vbd+vpub++xvbn+=said
with ^in++++=with
a ^at++++=a
bright ^jj++++=bright
enough ^qlp++++=enough
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
disappointed ^vpsv++agls+xvbnx+=disappointed
in ^in++++=in
me ^pp1o+pp1+++=me
non ^&fw++++=non
sum ^nn++++=sum
qualis ^nns+++??+=qualis
eram ^nn+++??+=eram.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hardly ^rb+down+++=hardly
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
to ^in++++=to
reply ^nn++++=reply,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
managed ^vbd+++xvbn+=managed
to ^to+vcmp+++=to
say ^vbi+vpub+++=say:
: ^zz++++=EXTRAWORD
' ^zz++++='Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know:
: ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
Latin ^nn++++=Latin
is ^vbz+bez+vrb++=is
about ^in++++=about
the ^ati++++=the
same ^ap++++=same.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brightened ^vbd+++xvbnx+=brightened
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
' ^zz++++='No,'
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='being
being ^vbg+beg++xvbg+=EXTRAWORD
a ^at++++=a
dead ^jj+atrb+++=dead
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
grows ^vbz++++=grows
in ^in++++=in
appropriateness ^nns+nom+++=appropriateness.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
please ^uh++++=please
have ^vb+hv+vrb++=have
the ^ati++++=the
patience ^nn+nom+++=patience
to ^to++++=to
wait ^vbi++++=wait:
: ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
perhaps ^rb++++=perhaps
a ^at++++=a
better ^jjr+atrb+++=better
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
care ^vb++++=care
to ^to+vcmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
message ^nn+nom+++=message
in ^in++++=in
it ^pp3+it+++=it?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
smile ^nn++++=smile
faded ^vbd+++xvbn+=faded
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
concluded ^vbd+vprv+tht0+xvbnx+=concluded
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
with ^in++++=with
a ^at++++=a
gravity ^nn+nom+++=gravity
that ^tht+rel+++=that
distressed ^jj+++xvbn+=distressed
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
surrender ^nn+nom+++=surrender
myself ^ppl+pp1+++=myself
to ^in++++=to
his ^pp$+pp3+++=his
mood ^nn++++=mood,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
permit ^nn++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
deeply ^rb++++=deeply
his ^pp$+pp3+++=his
prescience ^nn+nom+++=prescience
of ^in++++=of
death ^nn++++=death
affected ^vwbn+++xvbn+=affected
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
fancy ^vb++++=fancy
that ^tht+vcmp+++=that
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
long ^rb+cnj+++=long,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='before
before ^cs+sub+++=EXTRAWORD
human ^jj+atrb+++=human
speech ^nn++++=speech
will ^md+prd+++=will
cease ^vb++++=cease
to ^to++++=to
serve ^vbi++++=serve
our ^pp$+pp1+++=our
need ^nn++++=need;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
need ^nn++++=need,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
possibilities ^nns+nom+++=possibilities
of ^in++++=of
service ^nn++++=service,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
no ^at++++=no
reply ^nn++++=reply,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
too ^ql++++=too
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
talk ^nn++++=talk
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
dispiriting ^jj+atrb++xvbg+=dispiriting
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
not ^xnot++not++=not
how ^wrb+who+++=how
to ^to++++=to
give ^vbi++++=give
it ^pp3+it+++=it
a ^at++++=a
more ^rbr++++=more
