Than ^in++++=Than
waggery ^nn+nom+++=waggery,
, ^zz++++=EXTRAWORD
meant ^j+++xvbn+=meant
for ^in++++=for
nothing ^pn++++=nothing
but ^cc++++=but
to ^to++++=to
make ^vbi++++=make
fools ^nns++++=fools
of ^in++++=of
us ^pp1o+pp1+++=us?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
so ^ql++++=so,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
the ^ati++++=the
joke ^nn++++=joke
all ^abn++++=all
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
dumb ^jj+atrb+++=dumb
devil ^nn++++=devil
which ^whp+rel+subj++=which
possesses ^nns+nom+++=possesses
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
persuaded ^vpsv++agls+xvbnx+=persuaded,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sole ^jjb+atrb+++=sole
reason ^nn++++=reason
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=does
not ^xnot++not++=not
make ^vb++++=make
me ^pp1o+pp1+++=me
the ^ati++++=the
most ^ql+emph+++=most
flattering ^jj+atrb+++=flattering
protestations ^nns+nom+++=protestations
of ^in++++=of
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
In ^in++++=In
many ^ap++++=many
particulars ^nns++++=particulars
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in"++++=to
all ^abn++++=all
his ^pp$+pp3+++=his
cognizable ^jj++++=cognizable
and ^cc++++=and
not ^xnot++not++=not
preternatural ^jj+atrb+++=preternatural
points ^nns++++=points,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
that ^cs"++++=that,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
great ^jj++++=great
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
speak ^vb++++=speak
a ^at++++=a
word ^nn++++=word
or ^cc++++=or
two ^cd++++=two
there ^ex+pex+++=there
exists ^vbz++++=exists
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
apparent ^jj+atrb+++=apparent
sympathy ^nn++++=sympathy
between ^in++++=between
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
confidence ^nn+nom+++=confidence
in ^in++++=in
my ^pp$+pp1+++=my
taste ^nn++++=taste
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
astray ^rb++++=astray
from ^in++++=from
the ^ati++++=the
general ^jj+atrb+++=general
fashion ^nn++++=fashion
and ^cc++++=and
copies ^nns++++=copies
all ^rb++++=all
his ^pp$+pp3+++=his
dresses ^nns+nom+++=dresses
after ^in++++=after
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
try ^vb++++=try
on ^in++++=on
a ^at++++=a
new ^jj+atrb+++=new
garment ^nn+nom+++=garment
without ^in++++=without
expecting ^vb+vprv++xvbg+=expecting
to ^to+vcmp+++=to
meet ^vbi++++=meet,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
duplicates ^nns+nom+++=duplicates
of ^in++++=of
all ^abn++++=all
my ^pp$+pp1+++=my
waistcoats ^nns+++??+=waistcoats
and ^cc++++=and
cravats ^nns+++??+=cravats,
, ^zz++++=EXTRAWORD
shirt ^nn++++=shirt-bosoms
- ^zz++++=EXTRAWORD
bosoms ^nns++++=EXTRAWORD
of ^in++++=of
precisely ^rb++++=precisely
a ^at++++=a
similar ^jj+atrb+++=similar
plait ^nn+++??+=plait,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
old ^jj+atrb+++=old
coat ^nn++++=coat
for ^in++++=for
private ^jj+atrb+++=private
wear ^nn++++=wear,
, ^zz++++=EXTRAWORD
manufactured ^j+++xvbn+=manufactured,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suspect ^vb+vprv+++=suspect,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
Chinese ^jj+atrb+++=Chinese
tailor ^nn++++=tailor,
, ^zz++++=EXTRAWORD
in ^in++++=in
exact ^jj+atrb+++=exact
imitation ^nn+nom+++=imitation
of ^in++++=of
a ^at++++=a
beloved ^jj+atrb+++=beloved
old ^jj+atrb+++=old
coat ^nn++++=coat
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
facsimile ^nn+++??+=facsimile,
, ^zz++++=EXTRAWORD
stitch ^nn++++=stitch
by ^in++++=by
stitch ^nn++++=stitch,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
patch ^nn++++=patch
upon ^in++++=upon
the ^ati++++=the
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
In ^in++++=In
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
singular ^nn++++=singular
and ^cc++++=and
minute ^nn++++=minute
coincidences ^nns+nom+++=coincidences
that ^tht+rel+subj++=that
occur ^vb++++=occur,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
accidents ^nns++++=accidents
of ^in++++=of
the ^ati++++=the
passing ^jj+atrb++xvbg+=passing
day ^nn++++=day
and ^cc++++=and
the ^ati++++=the
serious ^jj+atrb+++=serious
events ^nns++++=events
of ^in++++=of
our ^pp$+pp1+++=our
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
remind ^vb++++=remind
me ^pp1o+pp1+++=me
of ^in++++=of
those ^dt+dem+++=those
doubtful ^jj+atrb+++=doubtful
legends ^nns++++=legends
of ^in++++=of
lovers ^nns++++=lovers,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
twin ^nn++++=twin
children ^nns++++=children,
, ^zz++++=EXTRAWORD
twins ^nns++++=twins
of ^in++++=of
fate ^nn++++=fate,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
enjoyed ^j+++xvbn+=enjoyed,
, ^zz++++=EXTRAWORD
suffered ^j+++xvbn+=suffered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
died ^vpsv++agls+xvbn+=died
in ^in++++=in
unison ^nn++++=unison,
, ^zz++++=EXTRAWORD
each ^dt++++=each
faithfully ^rb++++=faithfully
repeating ^vbg+vpub++xvbg+=repeating
the ^ati++++=the
last ^jj+atrb+++=last
tremor ^nn++++=tremor
of ^in++++=of
the ^ati++++=the
other's ^ap$++++=other's
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
separated ^vpsv++by+xvbn+=separated
by ^in++++=by
vast ^jj+atrb+++=vast
tracts ^nns++++=tracts
of ^in++++=of
sea ^nn++++=sea
and ^cc++++=and
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Strange ^jj++++=Strange
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
incommodities ^nns+nom+++=incommodities
belong ^vb++++=belong
equally ^rb++++=equally
to ^in++++=to
my ^pp$+pp1+++=my
companion ^nn++++=companion,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
burden ^nn++++=burden
is ^vbz+bez+aux++=is
nowise ^rb++splt++=nowise
alleviated ^vpsv++by+xvbnx+=alleviated
by ^in++++=by
his ^pp$+pp3+++=his
participation ^nn+nom+++=participation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
night ^nn++++=night
of ^in++++=of
torment ^nn+nom+++=torment
from ^in++++=from
the ^ati++++=the
toothache ^nn++++=toothache,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
with ^in++++=with
such ^abl++++=such
a ^at++++=a
swollen ^jj+atrb+++=swollen
anguish ^nn++++=anguish
in ^in++++=in
his ^pp$+pp3+++=his
cheek ^nn++++=cheek
that ^tht+rel+obj++=that
my ^pp$+pp1+++=my
own ^ap++++=own
pangs ^nns++++=pangs
were ^vbd+bed+aux++=were
redoubled ^vpsv++agls+xvbnx+=redoubled,
, ^zz++++=EXTRAWORD
as ^ql++++=as
were ^vbd+bed+vrb++=were
also ^rb++++=also
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
might ^md+pos+++=might
judge ^vb++++=judge
by ^in++++=by
a ^at++++=a
fresh ^jj+atrb+++=fresh
contortion ^nn+nom+++=contortion
of ^in++++=of
his ^pp$+pp3+++=his
visage ^nn++++=visage.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
inequalities ^nns+nom+++=inequalities
of ^in++++=of
my ^pp$+pp1+++=my
spirits ^nns++++=spirits
are ^vb+ber+aux++=are
communicated ^vpsv++agls+xvbnx+=communicated
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
the ^ati++++=the
