Towards ^in++++=Towards
his ^pp$+pp3+++=his
steed ^nn++++=steed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+vrb++=did
my ^pp$+pp1+++=my
best ^jjt++++=best,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
others ^aps++++=others
stared ^jj+++xvbn+=stared
again ^rb+tm+++=again
across ^in+pl+++=across
the ^ati++++=the
valley ^nn++++=valley
for ^in++++=for
a ^at++++=a
space ^nn++++=space.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man
passed ^vbd+++xvbn+=passed
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
hand ^nn++++=hand
across ^in+pl+++=across
the ^ati++++=the
scarred ^jj+atrb++xvbn+=scarred
lip ^nn++++=lip.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
up ^rp++++=up!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
owned ^vbd+++xvbn+=owned
the ^ati++++=the
silver ^nn++++=silver
bridle ^nn++++=bridle,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
man ^nn++++=man
started ^vbd+++xvbn+=started
and ^cc+phrs+++=and
jerked ^vbd+++xvbn+=jerked
his ^pp$+pp3+++=his
rein ^nn++++=rein,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
horse ^nn++++=horse
hoofs ^nns++++=hoofs
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
made ^vprf+++xvbn+=made
a ^at++++=a
multitudinous ^jj++++=multitudinous
faint ^jj++++=faint
pattering ^jj+++xvbg+=pattering
upon ^in++++=upon
the ^ati++++=the
withered ^jj+atrb++xvbn+=withered
grass ^nn++++=grass
as ^ql++++=as
they ^pp3a+pp3+++=they
turned ^vbd+++xvbnx+=turned
back ^rb+phrv+++=back
towards ^in++++=towards
the ^ati++++=the
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
They ^pp3a+pp3+++=They
rode ^vbd+++xvbnx+=rode
cautiously ^rb++++=cautiously
down ^in++++=down
the ^ati++++=the
long ^jj+atrb+++=long
slope ^nn++++=slope
before ^in++++=before
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
came ^vbd+++xvbn+=came
through ^in++++=through
a ^at++++=a
waste ^nn++++=waste
of ^in++++=of
prickly ^jj+atrb+++=prickly,
, ^zz++++=EXTRAWORD
twisted ^jj+atrb++xvbn+=twisted
bushes ^nns++++=bushes
and ^cc++++=and
strange ^jj+atrb+++=strange
dry ^jj+atrb+++=dry
shapes ^nns++++=shapes
of ^in++++=of
horny ^nn+++??+=horny
branches ^nns++++=branches
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
amongst ^in++++=amongst
the ^ati++++=the
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
levels ^nns++++=levels
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^rn+pl+++=there
the ^ati++++=the
trail ^nn++++=trail
grew ^vbd+++xvbn+=grew
faint ^jj++++=faint,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
soil ^nn++++=soil
was ^vbd+bedz+vrb++=was
scanty ^jj+pred+++=scanty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
only ^ap+down+++=only
herbage ^nn+nom+++=herbage
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
scorched ^jj+atrb++xvbn+=scorched
dead ^jj+atrb+++=dead
straw ^nn++++=straw
that ^tht+rel+++=that
lay ^jjb+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
by ^in++++=by
hard ^nn++++=hard
scanning ^vwbg+++xvbg+=scanning,
, ^zz++++=EXTRAWORD
by ^in++++=by
leaning ^nn++++=leaning
beside ^in+pl+++=beside
the ^ati++++=the
horses ^nns++++=horses'
' ^zz++++=EXTRAWORD
necks ^nns++++=necks
and ^cc++++=and
pausing ^vbg+++xvbg+=pausing
ever ^rb++++=ever
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
even ^rb++++=even
these ^dt+dem+++=these
white ^jj+atrb+++=white
men ^nns++++=men
could ^md+pos+++=could
contrive ^vb++++=contrive
to ^to++++=to
follow ^vbi+vprv+++=follow
after ^in++++=after
their ^pp$+pp3+++=their
prey ^nn++++=prey.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
trodden ^vprf+++xvbn+=trodden
places ^nns++++=places,
, ^zz++++=EXTRAWORD
bent ^jj+atrb++xvbn+=bent
and ^cc+phrs+++=and
broken ^jj+atrb++xvbn+=broken
blades ^nns++++=blades
of ^in++++=of
the ^ati++++=the
coarse ^jj+atrb+++=coarse
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ever ^rb++++=ever
and ^cc+phrs+++=and
again ^rb+tm+++=again
the ^ati++++=the
sufficient ^jj+atrb+++=sufficient
intimation ^nn+nom+++=intimation
of ^in++++=of
a ^at++++=a
footmark ^nn+++??+=footmark.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
once ^rb+tm+++=once
the ^ati++++=the
leader ^nn++++=leader
saw ^vbd+vprv+tht0+xvbn+=saw
a ^at++++=a
brown ^np++++=brown
smear ^vb++++=smear
of ^in++++=of
blood ^nn++++=blood
where ^wrb+who+++=where
the ^ati++++=the
half ^abn++++=half-caste
- ^zz++++=EXTRAWORD
caste ^nn++++=EXTRAWORD
girl ^nn++++=girl
may ^md+pos+++=may
have ^vb+hv+aux++=have
trod ^vprf+++xvbnx+=trod.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^rb++++=at
that ^dt+dem+++=that
under ^in++++=under
his ^pp$+pp3+++=his
breath ^nn++++=breath
he ^pp3a+pp3+++=he
cursed ^vbd+++xvbnx+=cursed
her ^pp$+pp3+++=her
for ^in++++=for
a ^at++++=a
fool ^nn++++=fool.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man
checked ^vwbn+++xvbn+=checked
his ^pp$+pp3+++=his
leader ^nn++++=leader's
's ^vbz+bez+aux++0=EXTRAWORD
tracking ^vbg+++xvbgx+=tracking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
white ^jj+atrb+++=white
horse ^nn++++=horse
rode ^vbd+++xvbn+=rode
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
lost ^vbd+++xvbn+=lost
in ^in++++=in
a ^at++++=a
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rode ^vbd+++xvbnx+=rode
one ^cd1++++=one
after ^in++++=after
another ^ppls++++=another,
, ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver
bridle ^nn++++=bridle
led ^vbd+++xvbn+=led
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
spoke ^vbd+++xvbnx+=spoke
never ^rb++++=never
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
time ^nn++++=time
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
white ^jj+atrb+++=white
horse ^nn++++=horse
that ^tht+rel+obj++=that
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
still ^rb++++=still.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
started ^vbd+++xvbnx+=started
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
the ^ati++++=the
little ^jj+atrb+++=little
noises ^nns++++=noises
of ^in++++=of
their ^pp$+pp3+++=their
horses ^nns++++=horses
and ^cc++++=and
equipment ^nn+nom+++=equipment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
great ^jj+atrb+++=great
valley ^npl++++=valley
kept ^vbd+++xvbn+=kept
the ^ati++++=the
brooding ^nn++++=brooding
quiet ^nn++++=quiet
of ^in++++=of
a ^at++++=a
painted ^jj+atrb++xvbn+=painted
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
him ^pp3o+pp3+++=him
went ^vbd+++xvbn+=went
his ^pp$+pp3+++=his
master ^nn++++=master
and ^cc++++=and
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
each ^dt++++=each
intently ^rb++++=intently
leaning ^vbg+++xvbg+=leaning
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
each ^dt++++=each
impassively ^jj++++=impassively
moving ^jj+++xvbg+=moving
with ^in++++=with
the ^ati++++=the
paces ^nns++++=paces
of ^in++++=of
his ^pp$+pp3+++=his
horse ^nn++++=horse;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
shadows ^nps++++=shadows
went ^vbd+++xvbn+=went
before ^in++++=before
them ^pp3o+pp3+++=them--still,
-- ^--+clp+++=EXTRAWORD
still ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
noiseless ^jj++++=noiseless,
, ^zz++++=EXTRAWORD
tapering ^vbg+++xvbg+=tapering
attendants ^nns+nom+++=attendants;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nearer ^rbr++++=nearer
a ^at++++=a
crouched ^nn++++=crouched
cool ^vb++++=cool
shape ^nn++++=shape
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
reverberation ^nn+nom+++=reverberation
from ^in++++=from
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
gorge ^nn+++??+=gorge
and ^cc++++=and
the ^ati++++=the
perpetual ^jj+atrb+++=perpetual
accompaniment ^nn+nom+++=accompaniment
of ^in++++=of
shifting ^xvbg+++xvbg+=shifting,
, ^zz++++=EXTRAWORD
jostling ^vbg+nom++xvbg+=jostling
pebbles ^nns++++=pebbles.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover--?
-- ^--+clp+++=EXTRAWORD
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
breeze ^nn++++=breeze.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
vast ^jj++++=vast,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
place ^nn++++=place
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
a ^at++++=a
monotonous ^jj+atrb+++=monotonous
afternoon ^nn++++=afternoon
slumber ^jjr++++=slumber.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
sky ^nn++++=sky
open ^nn++++=open
and ^cc++++=and
blank ^jj++++=blank,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
a ^at++++=a
sombre ^jj+atrb+++=sombre
veil ^nn++++=veil
of ^in++++=of
haze ^nn++++=haze
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
in ^in++++=in
the ^ati++++=the
upper ^jjb+atrb+++=upper
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
straightened ^vbd+++xvbnx+=straightened
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
fretted ^j+++xvbn+=fretted
with ^in++++=with
his ^pp$+pp3+++=his
bridle ^nn++++=bridle,
, ^zz++++=EXTRAWORD
puckered ^j+++xvbn+=puckered
his ^pp$+pp3+++=his
lips ^nns++++=lips
to ^in++++=to
whistle ^nn++++=whistle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
simply ^rb++++=simply
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
in ^rb+phrv+++=in
his ^pp$+pp3+++=his
saddle ^nn++++=saddle
for ^in++++=for
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
throat ^nn++++=throat
of ^in++++=of
the ^ati++++=the
mountain ^nn++++=mountain
gorge ^nn+++??+=gorge
out ^rp+pl+++=out
of ^in++++=of
which ^whp+rel+pied++=which
