An ^at++++=An
of ^in++++=of
its ^pp$+it+++=its
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
termination ^nn+nom+++=termination
of ^in++++=of
the ^ati++++=the
grove ^np++++=grove
proper ^jj++++=proper,
, ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
river ^nn++++=river
or ^cc++++=or
to ^in++++=to
the ^ati++++=the
eastward ^rb+cnj+++=eastward,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
sand ^nn++++=sand
dune ^nn+++??+=dune
bottom ^jjb++++=bottom
of ^in++++=of
several ^ap++++=several
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
covered ^xvbn+++xvbn+=covered
by ^in++++=by
wild ^jj+atrb+++=wild
plum ^jj+atrb+++=plum
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
terminating ^jj+++xvbg+=terminating
in ^in++++=in
a ^at++++=a
perfect ^jj+atrb+++=perfect
horseshoe ^nn+++??+=horseshoe
a ^at++++=a
thousand ^cd++++=thousand
acres ^nns++++=acres
in ^in++++=in
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
entrance ^nn+nom+++=entrance
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+vrb++=was
about ^in++++=about
a ^at++++=a
mile ^nn++++=mile
wide ^jj++++=wide.
. ^zz++++=EXTRAWORD
After ^in++++=After
passing ^xvbg+++xvbg+=passing
the ^ati++++=the
grove ^np++++=grove,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
plum ^nn++++=plum-brush
- ^zz++++=EXTRAWORD
brush ^nn++++=EXTRAWORD
country ^nn++++=country
could ^md+pos+++=could
be ^vb+be+aux++=be
covered ^vpsv++by+xvbnx+=covered
by ^in++++=by
men ^nns++++=men
on ^in++++=on
horseback ^nn++++=horseback,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
chaparral ^jj+atrb+++=chaparral
undergrowth ^nn++++=undergrowth
of ^in++++=of
the ^ati++++=the
grove ^np++++=grove
made ^vbd+++xvbn+=made
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
horses ^nns++++=horses
impracticable ^jj++++=impracticable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Cimarron ^np+++??+=Cimarron
River ^nn++++=River,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
surrounds ^vbz++++=surrounds
this ^dt+dem+++=this
horseshoe ^nn+++??+=horseshoe
on ^in++++=on
all ^abn++++=all
sides ^nns++++=sides
but ^cc++++=but
the ^ati++++=the
entrance ^nn+nom+++=entrance,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
probably ^rb++++=probably
two ^cd++++=two
hundred ^cd++++=hundred
yards ^nns++++=yards
wide ^jj++++=wide
at ^in++++=at
an ^at++++=an
average ^jj+atrb+++=average
winter ^nn++++=winter
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
deep ^jj++++=deep
enough ^qlp++++=enough
to ^to++++=to
swim ^vbi++++=swim
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cold ^jj++++=cold
and ^cc+phrs+++=and
rolling ^jj+++xvbg+=rolling.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
opposite ^jj++++=opposite
this ^dt+dem+++=this
horseshoe ^nn+++??+=horseshoe,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
a ^at++++=a
cut ^vbd+++xvbn+=cut-bank
- ^zz++++=EXTRAWORD
bank ^nn++++=EXTRAWORD
twenty ^cd++++=twenty
feet ^nns++++=feet
high ^jj++++=high
in ^in++++=in
places ^nns++++=places,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
an ^at++++=an
occasional ^jj+atrb+++=occasional
cattle ^nns++++=cattle
trail ^nn++++=trail
leading ^vwbg+++xvbg+=leading
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
cut ^vbd+++xvbn+=cut-bank
- ^zz++++=EXTRAWORD
bank ^npl++++=EXTRAWORD
formed ^vbd+++xvbn+=formed
the ^ati++++=the
second ^od++++=second
bottom ^jjb++++=bottom
on ^in++++=on
that ^dt+dem+++=that
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
alkaline ^jj++++=alkaline
plain ^jj++++=plain--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
first ^od++++=first
bottom ^nn++++=bottom--ended
-- ^--+clp+++=EXTRAWORD
ended ^j+++xvbn+=EXTRAWORD
a ^at++++=a
mile ^nn++++=mile
or ^cc++++=or
more ^rbr++++=more
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
ideal ^jj+atrb+++=ideal
situation ^nn+nom+++=situation
for ^in++++=for
a ^at++++=a
drive ^nn++++=drive-hunt,
- ^zz++++=EXTRAWORD
hunt ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
legend ^nn++++=legend,
, ^zz++++=EXTRAWORD
corroborated ^xvbn+++xvbn+=corroborated
by ^in++++=by
evidences ^nns+nom+++=evidences,
, ^zz++++=EXTRAWORD
said ^vb+++xvbn+=said
that ^tht+vcmp+++=that
the ^ati++++=the
Cherokees ^nns+nom++??+=Cherokees,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
used ^vbd+++xvbnx+=used
this ^dt+dem+++=this
outlet ^nn++++=outlet
as ^in++++=as
a ^at++++=a
hunting ^jj+++xvbg+=hunting-ground
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
after ^in++++=after
their ^pp$+pp3+++=their
enforced ^jj+atrb++xvbn+=enforced
emigration ^nn+nom+++=emigration
from ^in++++=from
Georgia ^np+++??+=Georgia,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
held ^vprf+++xvbnx+=held
numerous ^jj+atrb+++=numerous
circle ^nn++++=circle
hunts ^np++++=hunts
over ^in++++=over
the ^ati++++=the
same ^ap++++=same
ground ^nn++++=ground
after ^in++++=after
buffalo ^nn+++??+=buffalo,
, ^zz++++=EXTRAWORD
deer ^nns++++=deer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elk ^nn++++=elk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rendezvous ^nn++++=rendezvous
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
at ^rb++++=at
ten ^cd++++=ten
o'clock ^rb++++=o'clock
on ^in++++=on
Encampment ^nn+nom+++=Encampment
Butte ^np+++??+=Butte,
, ^zz++++=EXTRAWORD
a ^at++++=a
plateau ^nn++++=plateau
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
entire ^jjb++++=entire
hunting ^jj+++xvbg+=hunting-field
- ^zz++++=EXTRAWORD
field ^nn++++=EXTRAWORD
and ^cc++++=and
visible ^jj++++=visible
for ^in++++=for
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
An ^at++++=An
hour ^nn++++=hour
before ^cs+sub+++=before
the ^ati++++=the
appointed ^jj+atrb++xvbn+=appointed
time ^nn++++=time
the ^ati++++=the
clans ^nns++++=clans
began ^vbd+++xvbn+=began
to ^to++++=to
gather ^vbi+vprv+++=gather.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
camps ^nns++++=camps
within ^in++++=within
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
entertaining ^vbg+++xvbgx+=entertaining
participants ^nns+nom+++=participants
of ^in++++=of
the ^ati++++=the
hunt ^nn++++=hunt,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
in ^in++++=in
a ^at++++=a
prompt ^jj+atrb+++=prompt
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
Word ^nn++++=Word
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
early ^jj++++=early
that ^dt+dem+++=that
morning ^nn++++=morning
that ^tht+rel+obj++=that
a ^at++++=a
contingent ^nn++++=contingent
from ^in++++=from
the ^ati++++=the
Eagle ^nn++++=Eagle
Chief ^jjb++++=Chief
would ^md+prd+++=would
be ^vb+be+vrb++=be
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begged ^vbd+++xvbn+=begged
that ^cs+sub+++=that
the ^ati++++=the
start ^nn++++=start
be ^vb+be+aux++=be
delayed ^vpsv++agls+xvbnx+=delayed
till ^cs+sub+++=till
their ^pp$+pp3+++=their
arrival ^nn++++=arrival.
. ^zz++++=EXTRAWORD
A ^at++++=A
number ^nn++++=number
of ^in++++=of
old ^jj+atrb+++=old
cowmen ^nns++++=cowmen
were ^vbd+bed+aux++=were
present ^vb++++=present,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
delegated ^vpsv++agls+xvbnx+=delegated
the ^ati++++=the
duty ^nn++++=duty
of ^in++++=of
appointing ^xvbg+++xvbg+=appointing
the ^ati++++=the
officers ^nns+nom+++=officers
of ^in++++=of
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Miller ^np++++=Miller,
, ^zz++++=EXTRAWORD
a ^at++++=a
foreman ^nn++++=foreman
on ^in++++=on
the ^ati++++=the
Coldwater ^np+nom++??+=Coldwater
Pool ^nn++++=Pool,
, ^zz++++=EXTRAWORD
an ^at++++=an
adjoining ^jj+atrb++xvbg+=adjoining
range ^nn++++=range,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
appointed ^vpsv++agls+xvbnx+=appointed
as ^ql++++=as
first ^rb++++=first
captain ^npt++++=captain.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
also ^rb++++=also
several ^ap++++=several
captains ^nns++++=captains
over ^in++++=over
divisions ^nns++++=divisions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
acting ^jj+++xvbg+=acting
captain ^npt++++=captain
placed ^vwbn+++xvbn+=placed
over ^in++++=over
every ^at++++=every
ten ^cd++++=ten
men ^nns++++=men,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
be ^vb+be+aux++=be
held ^vpsv++agls+xvbnx+=held
accountable ^jj++++=accountable
for ^in++++=for
any ^dti++++=any
disorder ^nn+nom+++=disorder
allowed ^vwbn+++xvbn+=allowed
along ^in++++=along
the ^ati++++=the
line ^nn++++=line
under ^in++++=under
his ^pp$+pp3+++=his
special ^jj+atrb+++=special
charge ^nn++++=charge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question
of ^in++++=of
forbidding ^xvbg+++xvbg+=forbidding
the ^ati++++=the
promiscuous ^jj++++=promiscuous
carrying ^jj+++xvbg+=carrying
of ^in++++=of
firearms ^nns++++=firearms
met ^vbd+++xvbn+=met
with ^in+ppvb+++=with
decided ^jj+atrb++xvbn+=decided
opposition ^nn+nom+++=opposition.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
element ^nn+nom+++=element
of ^in++++=of
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
deprive ^vbi++++=deprive
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
of ^in++++=of
arms ^nns++++=arms
on ^in++++=on
what ^wdt+who+++=what
promised ^vbd+vpub++xvbn+=promised
an ^at++++=an
exciting ^jj+atrb+++=exciting
day ^nn++++=day's
's ^$++++=EXTRAWORD
sport ^nn++++=sport
was ^vbd+bedz+vrb++=was
contrary ^in+cmpx+++=contrary
to ^in"++++=to
their ^pp$+pp3+++=their
creed ^nn++++=creed
and ^cc++++=and
occupation ^nn+nom+++=occupation;
; ^zz++++=EXTRAWORD
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
judicious ^jj+atrb+++=judicious
use ^nn++++=use
would ^md+prd+++=would
be ^vb+be+vrb++=be
an ^at++++=an
essential ^jj+atrb+++=essential
and ^cc+phrs+++=and
valuable ^jj+atrb+++=valuable
assistance ^nn+nom+++=assistance.
. ^zz++++=EXTRAWORD
To ^to++++=To
deny ^vbi+vpub+++=deny
one ^cd1++++=one
the ^ati++++=the
right ^nn++++=right
and ^cc++++=and
permit ^vb++++=permit
another ^dt++++=another,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
to ^to++++=to
divide ^vbi++++=divide
their ^pp$+pp3+++=their
forces ^nns++++=forces
against ^in++++=against
a ^at++++=a
common ^jj+atrb+++=common
enemy ^nn++++=enemy;
; ^zz++++=EXTRAWORD
so ^rb++++=so
in ^in++++=in
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
harmony ^nn++++=harmony
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
finally ^rb++splt++=finally
concluded ^vpsv++agls+xvbnx+=concluded
to ^to++++=to
assign ^vbi++++=assign
an ^at++++=an
acting ^jj+++xvbg+=acting
captain ^npt++++=captain
over ^in++++=over
every ^at++++=every
ten ^cd++++=ten
men ^nns++++=men.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
perfectly ^rb+amp+++=perfectly
responsible ^jj+pred+++=responsible
for ^in++++=for
any ^dti++++=any
of ^in++++=of
my ^pp$+pp1+++=my
men ^nns++++=men,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reese ^np+++??+=Reese,
, ^zz++++=EXTRAWORD
a ^at++++=a
red ^jj++++=red-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
Welsh ^jj+atrb+++=Welsh
cowman ^nn++++=cowman
from ^in++++=from
over ^in++++=over
on ^in++++=on
Black ^nn++++=Black
Bear ^vb+vprv+++=Bear.
. ^zz++++=EXTRAWORD
" ^zz++++="Let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
just ^rb+emph+++=just
turn ^vb++++=turn
our ^pp$+pp1+++=our
wild ^jj+atrb+++=wild
selves ^nns++++=selves
loose ^jj++++=loose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
wolves ^nps++++=wolves
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
any ^dti++++=any
more ^ql++++=more
show ^vb+vprv+++=show
than ^in++++=than
a ^at++++=a
coon ^nn+++??+=coon
in ^in++++=in
a ^at++++=a
bear ^vb+vprv+++=bear
dance ^nn++++=dance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
fine ^jj+atrb+++=fine
satisfaction ^nn+nom+++=satisfaction
to ^to++++=to
be ^vbi+vbi+aux++=be
shot ^vpsv++by+xvbnx+=shot
by ^in++++=by
a ^at++++=a
responsible ^jj+atrb+++=responsible
man ^nn++++=man
like ^in++++=like
you ^pp2+pp2+++=you
or ^cc++++=or
any ^dti++++=any
of ^in++++=of
your ^pp$+pp2+++=your
outfit ^nn++++=outfit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Hollycott ^np+++??+=Hollycott,
, ^zz++++=EXTRAWORD
superintendent ^nn++++=superintendent
of ^in++++=of
the ^ati++++=the
" ^zz++++="LX."
lx ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^vb++++=hope
another ^ppls++++=another
Christmas ^np++++=Christmas
Day ^nn++++=Day
to ^to++++=to
help ^vbi++++=help
eat ^vb++++=eat
a ^at++++=a
plum ^nn++++=plum
pudding ^nn++++=pudding
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Dee ^np++++=Dee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
carrying ^vbg+++xvbgx+=carrying
any ^dti++++=any
of ^in++++=of
your ^pp$+pp2+++=your
stray ^vb++++=stray
lead ^nn++++=lead
in ^in++++=in
my ^pp$+pp1+++=my
carcass ^nns+++??+=carcass
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
egg ^nn++++=egg-nog
- ^zz++++=EXTRAWORD
nog ^nn+++??+=EXTRAWORD
at ^rb++++=at
our ^pp$+pp1+++=our
camp ^nn++++=camp
to ^to++++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
boys ^nns++++=boys
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
told ^vbd+vpub++xvbn+=told
off ^in+pl+++=off
in ^in++++=in
squads ^nns++++=squads
of ^in++++=of
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
suppressed ^nn++++=suppressed
shout ^vb++++=shout
of ^in++++=of
welcome ^nn++++=welcome
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
cavalcade ^nn+++??+=cavalcade
of ^in++++=of
horsemen ^nns++++=horsemen
was ^vbd+bedz+aux++=was
sighted ^vpsv++agls+xvbnx+=sighted
coming ^vbg+++xvbg+=coming
over ^in++++=over
the ^ati++++=the
divide ^vb++++=divide
several ^ap++++=several
miles ^nns++++=miles
distant ^jj++++=distant.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
men ^nns++++=men
were ^vbd+bed+aux++=were
allotted ^vpsv++agls+xvbnx+=allotted
and ^cc++++=and
their ^pp$+pp3+++=their
captains ^nns++++=captains
appointed ^vwbn+++xvbn+=appointed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^ap++++=last
expected ^jj+atrb++xvbn+=expected
squad ^nn++++=squad
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
horses ^nns++++=horses
frosty ^nn+++??+=frosty
and ^cc++++=and
sweaty ^jj++++=sweaty.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
all ^abn++++=all
well ^rb++++=well
known ^vbn+vprv++xvbn+=known
west ^nr+pl+++=west
end ^nn++++=end
Strippers ^nns+nom++??+=Strippers,
, ^zz++++=EXTRAWORD
numbering ^nn++++=numbering
fifty ^cd++++=fifty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
having ^xvbg+++xvbg+=having
ridden ^xvbn+++xvbn+=ridden
from ^in++++=from
the ^ati++++=the
Eagle ^nn++++=Eagle
Chief ^jjb++++=Chief,
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
starting ^nvbg+++xvbg+=starting
two ^cd++++=two
hours ^nns++++=hours
before ^in++++=before
daybreak ^nn+++??+=daybreak.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
this ^dt+dem+++=this
detachment ^nn+nom+++=detachment,
, ^zz++++=EXTRAWORD
Miller ^np++++=Miller
gave ^vbd+++xvbn+=gave
his ^pp$+pp3+++=his
orders ^nns++++=orders
for ^in++++=for
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Cave ^nn++++=Cave
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
two ^cd++++=two
hundred ^cd++++=hundred
men ^nns++++=men
and ^cc++++=and
sent ^vpsv++agls+xvbn+=sent
to ^in++++=to
the ^ati++++=the
upper ^jjb+atrb+++=upper
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
grove ^np++++=grove,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
to ^to++++=to
dismount ^vbi++++=dismount,
, ^zz++++=EXTRAWORD
form ^nn++++=form
in ^in++++=in
a ^at++++=a
half ^nn++++=half
