Philo ^np+++??+=Philo
Hopeless ^jj+atrb+++=Hopeless
Gold ^nn++++=Gold-Mine
- ^zz++++=EXTRAWORD
mine ^nn++++=EXTRAWORD
Stock ^nn++++=Stock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
the ^ati++++=the
further ^jjb+atrb+++=further
payment ^nn+nom+++=payment
of ^in++++=of
seventy ^cd++++=seventy-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
cents ^nns++++=cents--half
-- ^--+clp+++=EXTRAWORD
half ^abn++++=EXTRAWORD
its ^pp$+it+++=its
cost ^nn++++=cost--Mr.
-- ^--+clp+++=EXTRAWORD
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
telegram ^nn++++=telegram
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
from ^in++++=from
Syrilla ^np+++??+=Syrilla.
. ^zz++++=EXTRAWORD
The ^ati++++=The
telegram ^nn++++=telegram
was ^vbd+bedz+vrb++=was
as ^in++++=as
follows: ^nn+++??+=follows:-Rapidly
- ^zz++++=EXTRAWORD
rapidly ^rb++++=EXTRAWORD
shrinking ^vbg+++xvbg+=shrinking.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
given ^vprf+++xvbnx+=given
up ^rb+phrv+++=up
all ^abn++++=all
soups ^nns++++=soups,
, ^zz++++=EXTRAWORD
including ^in++++=including
tomato ^nn++++=tomato
soup ^nn++++=soup,
, ^zz++++=EXTRAWORD
chicken ^nn++++=chicken
soup ^nn++++=soup,
, ^zz++++=EXTRAWORD
mulligatawny ^nn+++??+=mulligatawny,
, ^zz++++=EXTRAWORD
mock ^vb++++=mock
turtle ^nn+++??+=turtle,
, ^zz++++=EXTRAWORD
green ^nn++++=green
pea ^nn++++=pea,
, ^zz++++=EXTRAWORD
vegetable ^nn++++=vegetable,
, ^zz++++=EXTRAWORD
gumbo ^nn+++??+=gumbo,
, ^zz++++=EXTRAWORD
lentil ^nn+++??+=lentil,
, ^zz++++=EXTRAWORD
consomme ^nn+++??+=consomme,
, ^zz++++=EXTRAWORD
bouillon ^nn+++??+=bouillon
and ^cc++++=and
clam ^jj+atrb++??+=clam
broth ^nn++++=broth.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
weigh ^vb++++=weigh
only ^rb+down+++=only
nine ^cd++++=nine
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
pounds ^nns++++=pounds.
. ^zz++++=EXTRAWORD
Wire ^nn++++=Wire
at ^rb++++=at
once ^rb"+tm+++=once
whether ^cs+who+++=whether
clam ^nn+++??+=clam
chowder ^jjr++++=chowder
is ^vbz+bez+vrb++=is
a ^at++++=a
soup ^nn++++=soup
or ^cc++++=or
a ^at++++=a
food ^nn++++=food.
. ^zz++++=EXTRAWORD
Fond ^jj+atrb+++=Fond
remembrances ^nns+nom++??+=remembrances
to ^in++++=to
Gubby ^np+++??+=Gubby.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
this ^dt+dem+++=this
telegram ^nn++++=telegram
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
toward ^in++++=toward
his ^pp$+pp3+++=his
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
ahead ^rb+pl+++=ahead
of ^in++++=of
him ^pp3o+pp3+++=him
a ^at++++=a
short ^jj+atrb+++=short
lane ^nn++++=lane
led ^vbd+++xvbn+=led,
, ^zz++++=EXTRAWORD
between ^in++++=between
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith's
's ^$++++=EXTRAWORD
house ^npl++++=house
and ^cc++++=and
the ^ati++++=the
Cherry ^np++++=Cherry
Street ^nn++++=Street
Methodist ^jj+atrb+++=Methodist
Chapel ^nn++++=Chapel,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
brick ^nn++++=brick-yard.
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith's
's ^$++++=EXTRAWORD
chicken ^nn++++=chicken
coop ^nn+++??+=coop
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
fence ^nn++++=fence
line ^nn++++=line
between ^in++++=between
her ^pp$+pp3+++=her
property ^nn++++=property
and ^cc++++=and
the ^ati++++=the
brick ^nn++++=brick-yard!
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++="DETECKATING
deteckating ^jj+++xvbg+=EXTRAWORD
Is ^vbz+bez+vrb++=IS
My ^pp$+pp1+++=MY
Aim ^nn++++=AIM
And ^cc++++=AND
My ^pp$+pp1+++=MY
Profession ^nn++++=PROFESSION"
" ^zz++++=EXTRAWORD
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith's
's ^$++++=EXTRAWORD
front ^jjb+atrb+++=front
gate ^nn++++=gate
when ^wrb+who+++=when
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
waddled ^vbd+++xvbn+=waddled
to ^in++++=to
her ^pp$+pp3+++=her
fence ^nn++++=fence
and ^cc++++=and
hailed ^vbd+++xvbn+=hailed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
panted ^vbd+++xvbnx+=panted.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
excuse ^vb++++=excuse
me ^pp1o+pp1+++=me
for ^in++++=for
speakin ^nn+++??+=speakin'
' ^zz++++=EXTRAWORD
to ^in++++=to
you ^pp2+pp2+++=you
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Miffin ^np++++=Miffin
says ^vbz+vpub+tht0++=says
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
detective ^nn++++=detective."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Deteckating
deteckating ^jj+++xvbg+=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
aim ^nn++++=aim
and ^cc++++=and
my ^pp$+pp1+++=my
profession ^nn++++=profession,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
ask ^vbi++++=ask
a ^at++++=a
word ^nn++++=word
of ^in++++=of
you ^pp2+pp2+++=you
about ^in++++=about
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
a ^at++++=a
chicken ^nn++++=chicken
stole ^vbd+++xvbn+=stole."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Chicken-stealing
chicken ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
stealing ^nvbg+++xvbg+=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
crime ^nn++++=crime
if ^cs+cnd+++=if
ever ^rb++++=ever
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
seriously ^rb++++=seriously.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
the ^ati++++=the
chicken ^nn++++=chicken
worth ^in+strn+++=worth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Forty
forty ^cd++++=EXTRAWORD
cents ^nns++++=cents,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
hardly ^rb+down+++=hardly
pay ^nn++++=pay
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
much ^rb+cnj+++=much,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
admitted ^vwbn+vpub++xvbn+=admitted
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
ai ^vb+be+++=ain't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb.
. ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
this ^dt+dem+++=this
a ^at++++=a
rooster ^nn+nom+++=rooster
or ^cc++++=or
a ^at++++=a
hen ^nn++++=hen?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
hen ^nn++++=hen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
was ^vbd+bedz+aux++=was
to ^to++++=to
offer ^vb++++=offer
a ^at++++=a
reward ^nn++++=reward
of ^in++++=of
a ^at++++=a
hundred ^cd++++=hundred
dollars ^nns++++=dollars
for ^in++++=for
the ^ati++++=the
capture ^nn++++=capture
of ^in++++=of
the ^ati++++=the
thief ^nn++++=thief--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
land ^nn++++=land!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
cheaper ^jjr+pred+++=cheaper
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
pay ^vbi++++=pay
somebody ^pn++++=somebody
five ^cd++++=five
dollars ^nns++++=dollars
to ^to++++=to
come ^vbi++++=come
and ^cc+phrs+++=and
steal ^vb++++=steal
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
chickens ^nns++++=chickens.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
make ^vb++++=make
the ^ati++++=the
thief ^nn++++=thief
pay ^nn++++=pay.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
that ^dt+pdem+++=that
did ^vbd+dod+vrb++=did
the ^ati++++=the
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
right ^jj++++=right
that ^tht+jcmp+++=that
a ^at++++=a
thief ^nn++++=thief
should ^md+nec+++=should
pay ^vb++++=pay
for ^in++++=for
the ^ati++++=the
time ^nn++++=time
and ^cc++++=and
trouble ^nn++++=trouble
he ^pp3a+pp3+++=he
puts ^vbz++++=puts
you ^pp2+pp2+++=you
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
before ^cs+sub+++=before
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it
that ^dt+dem+++=that
way ^nn++++=way,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
thoughtfully ^rb+cnj+++=thoughtfully,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
stands ^vbz++++=stands
to ^to+vcmp+++=to
reason ^vb++++=reason."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
catch ^vb++++=catch
that ^dt+dem+++=that
thief ^nn++++=thief
and ^cc++++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can
offer ^vb++++=offer
yourself ^ppl+pp2+++=yourself
a ^at++++=a
million ^cd++++=million
dollars ^nns++++=dollars
reward ^nn++++=reward
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
none ^rb++++=none
of ^in++++=of
my ^pp$+pp1+++=my
business ^nns+nom+++=business."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
up ^rp++++=up
his ^pp$+pp3+++=his
paste ^nn++++=paste-pail,
- ^zz++++=EXTRAWORD
pail ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
if ^cs+cnd+++=if
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
important ^jj+atrb+++=important
murders ^nns+nom+++=murders
or ^cc++++=or
things ^nns++++=things
turn ^vb++++=turn
up ^rb+phrv+++=up
by ^in++++=by
seven ^cd++++=seven
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
start ^vb++++=start
in ^in++++=in
to ^in++++=to
work ^nn++++=work
for ^in++++=for
that ^dt+dem+++=that
reward ^nn++++=reward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask
more ^rbr++++=more
than ^in++++=than
five ^cd++++=five
dollars ^nns++++=dollars
reward ^nn++++=reward."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
seven ^cd++++=seven
the ^ati++++=the
evening ^nn++++=evening
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
light ^jj+pred+++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb,
, ^zz++++=EXTRAWORD
to ^to++++=to
cover ^vbi++++=cover
his ^pp$+pp3+++=his
intentions ^nns+nom+++=intentions
and ^cc++++=and
avert ^vb++++=avert
suspicion ^nn++++=suspicion
in ^in++++=in
case ^nn++++=case
his ^pp$+pp3+++=his
interview ^nn++++=interview
with ^in++++=with
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++by+xvbnx+=observed
by ^in++++=by
the ^ati++++=the
thief ^nn++++=thief,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
a ^at++++=a
false ^jj+atrb+++=false
beard ^nn++++=beard
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
and ^cc++++=and
a ^at++++=a
revolver ^nn+nom+++=revolver
beside ^in+pl+++=beside
it ^pp3+it+++=it
and ^cc++++=and
left ^vbd+++xvbn+=left
his ^pp$+pp3+++=his
office ^nn++++=office
in ^in++++=in
the ^ati++++=the
Opera ^nn++++=Opera
House ^npl++++=House
Block ^nn++++=Block
cautiously ^rb++++=cautiously.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slipped ^vbd+++xvbnx+=slipped
into ^in++++=into
the ^ati++++=the
alley ^nn++++=alley
and ^cc++++=and
glided ^xvbn+++xvbn+=glided
down ^rp++++=down
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
stables ^nns++++=stables.
. ^zz++++=EXTRAWORD
A ^at++++=A
detective ^nn++++=detective
must ^md+nec+++=must
be ^vb+be+vrb++=be
cautious ^jj+pred+++=cautious.
. ^zz++++=EXTRAWORD
The ^ati++++=The
abandoned ^jj+atrb++xvbn+=abandoned
brick ^nn++++=brick-kilns
- ^zz++++=EXTRAWORD
kilns ^nns++++=EXTRAWORD
offered ^vbd+++xvbn+=offered
admirable ^jj+atrb+++=admirable
seclusion ^nn++++=seclusion.
. ^zz++++=EXTRAWORD
A ^at++++=A
brick ^nn++++=brick-kiln
- ^zz++++=EXTRAWORD
kiln ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
built ^vpsv++agls+xvbnx+=built
entirely ^rb+cnj+++=entirely,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
almost ^rb+hdg+++=almost
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
brick ^nn++++=brick
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
burned ^vpsv++agls+xvbnx+=burned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
kilns ^nns++++=kilns
are ^vb+ber+aux++=are
torn ^vpsv++agls+xvbnx+=torn
down ^rb+phrv+++=down
and ^cc++++=and
carted ^vbd+++xvbn+=carted
away ^rp+pl+++=away
as ^in++++=as
the ^ati++++=the
brick ^nn++++=brick
are ^vb+ber+aux++=are
sold ^vpsv++agls+xvbnx+=sold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
over ^in++++=over-structure
- ^zz++++=EXTRAWORD
structure ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
kilns ^nns++++=kilns
was ^vbd+bedz+vrb++=was
a ^at++++=a
mere ^jjb+atrb+++=mere
roof ^nn++++=roof
of ^in++++=of
half ^abn++++=half-inch
- ^zz++++=EXTRAWORD
inch ^nn++++=EXTRAWORD
planks ^nns++++=planks
laid ^vbd+++xvbn+=laid
on ^rb+phrv+++=on
timbers ^nns+nom+++=timbers
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
upheld ^nn+++??+=upheld
by ^in++++=by
poles ^nn++++=poles.
. ^zz++++=EXTRAWORD
A ^at++++=A
ladder ^nn++++=ladder
leaning ^vwbg+++xvbg+=leaning
against ^in++++=against
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
poles ^nn++++=poles
gave ^vbd+++xvbn+=gave
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
darkness ^nns+nom+++=darkness
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
for ^in++++=for
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
to ^to++++=to
find ^vbi+vprv+++=find
a ^at++++=a
finger ^nn++++=finger-print
- ^zz++++=EXTRAWORD
print ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
culprit ^nn++++=culprit
on ^in++++=on
the ^ati++++=the
kilns ^nns++++=kilns,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
for ^in++++=for
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
even ^rb++++=even
find ^vb+vprv+++=find
the ^ati++++=the
usual ^jj++++=usual
and ^cc++++=and
highly ^rb+amp+++=highly
helpful ^jj+atrb+++=helpful
button ^nn++++=button,
, ^zz++++=EXTRAWORD
torn ^j+++xvbn+=torn
from ^in++++=from
its ^pp$+it+++=its
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
criminal ^jj+atrb+++=criminal's
's ^vbz+bez+vrb++0=EXTRAWORD
eagerness ^nns+nom+++=eagerness
to ^to++++=to
depart ^vbi++++=depart.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
only ^rb+down+++=only
an ^at++++=an
old ^jj+atrb+++=old
horseshoe ^nn+++??+=horseshoe
and ^cc++++=and
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
tobacco ^nn++++=tobacco
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
As ^ql++++=As
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
evidences ^nns+nom+++=evidences
that ^tht+rel+obj++=that
the ^ati++++=the
pipe ^nn++++=pipe
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
abandoned ^vpsv++agls+xvbnx+=abandoned
on ^in++++=on
that ^dt+dem+++=that
spot ^nn++++=spot
several ^ap++++=several
years ^nns++++=years
