As ^ql++++=As
bullets ^nns+nom+++=bullets.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget
to ^to+vcmp+++=to
take ^vbi++++=take
a ^at++++=a
brown ^jj+atrb+++=brown
cloak ^nn++++=cloak
with ^in++++=with
a ^at++++=a
hood ^nn++++=hood,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
does ^vbz+doz+vrb++=does
duty ^nn++++=duty
for ^in++++=for
blanket ^nn++++=blanket
and ^cc++++=and
mattress ^nns+nom+++=mattress.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shepherds ^nns++++=shepherds
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
cheese ^nn++++=cheese
and ^cc++++=and
chestnuts ^nns++++=chestnuts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
to ^to++++=to
fear ^vbi++++=fear
from ^in++++=from
the ^ati++++=the
law ^nn++++=law
or ^cc++++=or
from ^in++++=from
the ^ati++++=the
dead ^jj+atrb+++=dead
man ^nn++++=man's
's ^$++++=EXTRAWORD
relatives ^nns++++=relatives,
, ^zz++++=EXTRAWORD
except ^in++++=except
when ^wrb+who+++=when
you ^pp2+pp2+++=you
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
town ^nn++++=town
to ^to++++=to
replenish ^vbi++++=replenish
your ^pp$+pp2+++=your
ammunition ^nn+nom+++=ammunition.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
Corsica ^np++++=Corsica
in ^in++++=in
18 ^cd++++=18-,
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mateo ^np+++??+=Mateo
Falcone ^np+++??+=Falcone
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
home ^nr++++=home
half ^abn++++=half
a ^at++++=a
league ^nn++++=league
from ^in++++=from
the ^ati++++=the
maquis ^nn++++=maquis.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
some ^dti++++=some
means ^nn++++=means
for ^in++++=for
that ^dt+dem+++=that
district ^nn++++=district,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
nobly ^rb++++=nobly-that
- ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
without ^in++++=without
working ^xvbg+++xvbg+=working-from
- ^zz++++=EXTRAWORD
from ^in++++=EXTRAWORD
the ^ati++++=the
produce ^nn++++=produce
of ^in++++=of
his ^pp$+pp3+++=his
flocks ^nns++++=flocks
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
driven ^vpsv++agls+xvbnx+=driven
to ^to+vcmp+++=to
pasture ^vbi++++=pasture
on ^in++++=on
the ^ati++++=the
mountains ^npl++++=mountains
round ^in++++=round
and ^cc++++=and
about ^rb++++=about
by ^in++++=by
shepherds ^nns++++=shepherds
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
like ^in++++=like
nomads ^nns++++=nomads.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
two ^cd++++=two
years ^nns++++=years
after ^cs+sub+++=after
the ^ati++++=the
event ^nn++++=event
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
about ^md"++pmd"++=about
to ^md+prd+++=to
relate ^vb++++=relate,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
50 ^cd++++=50
years ^nns++++=years
old ^jj++++=old
at ^rb++++=at
most ^ql+emph+++=most.
. ^zz++++=EXTRAWORD
Picture ^nn++++=Picture
to ^in++++=to
yourself ^ppl+pp2+++=yourself
a ^at++++=a
small ^jj+atrb+++=small
but ^cc+phrs+++=but
robust ^jj+atrb+++=robust
man ^nn++++=man
with ^in++++=with
tightly ^rb++++=tightly
curled ^jj+++xvbn+=curled,
, ^zz++++=EXTRAWORD
jet ^nn++++=jet-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
an ^at++++=an
aquiline ^nn+++??+=aquiline
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
thin ^jj+atrb+++=thin
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
large ^jj+atrb+++=large
bright ^jj+atrb+++=bright
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
complexion ^nn++++=complexion
tanned ^vbd+++xvbn+=tanned
like ^in++++=like
cappuccino ^np++++=cappuccino
with ^in++++=with
cream ^nn++++=cream.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
skill ^nn++++=skill
with ^in++++=with
a ^at++++=a
rifle ^nn++++=rifle
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
extraordinary ^jj+pred+++=extraordinary,
, ^zz++++=EXTRAWORD
even ^rb++++=even
for ^in++++=for
Corsica ^np++++=Corsica,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
so ^ql++++=so
many ^ap++++=many
good ^jj+atrb+++=good
shots ^nns++++=shots.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
Mateo ^np+++??+=Mateo
would ^md+prd+++=would
never ^rb++++=never
have ^vb+hv+aux++=have
shot ^vprf+++xvbnx+=shot
a ^at++++=a
wild ^jj+atrb+++=wild
sheep ^nn++++=sheep
with ^in++++=with
buckshot ^nn+++??+=buckshot,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
would ^md+prd+++=would
kill ^vb++++=kill
it ^pp3+it+++=it
at ^in++++=at
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty
paces ^nns++++=paces
with ^in++++=with
a ^at++++=a
bullet ^nn++++=bullet
in ^in++++=in
the ^ati++++=the
head ^nn++++=head
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
mood ^nn++++=mood
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^vbd+++xvbnx+=used
his ^pp$+pp3+++=his
weapons ^nns++++=weapons
with ^in++++=with
as ^ql++++=as
much ^ap++++=much
ease ^nn++++=ease
by ^in++++=by
night ^nn++++=night
as ^in++++=as
by ^in++++=by
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
of ^in++++=of
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
feats ^nns++++=feats
of ^in++++=of
skill ^nn++++=skill
which ^whp+rel+subj++=which
may ^md+pos+++=may
perhaps ^rb++splt++=perhaps
seem ^vb+seem+++=seem
incredible ^jj++++=incredible
to ^in++++=to
anyone ^pn++++=anyone
who ^whp+who+++=who
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
travelled ^vprf+++xvbnx+=travelled
in ^in++++=in
Corsica ^np++++=Corsica.
. ^zz++++=EXTRAWORD
At ^rb++++=At
eighty ^cd++++=eighty
paces ^nns++++=paces,
, ^zz++++=EXTRAWORD
a ^at++++=a
lighted ^jj+atrb++xvbn+=lighted
candle ^nn++++=candle
would ^md+prd+++=would
be ^vb+be+aux++=be
placed ^vpsv++agls+xvbnx+=placed
behind ^in+pl+++=behind
a ^at++++=a
transparent ^jj+atrb+++=transparent
sheet ^nn++++=sheet
of ^in++++=of
paper ^nn++++=paper
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
a ^at++++=a
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
take ^vb++++=take
aim ^nn++++=aim,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
candle ^nn++++=candle
would ^md+prd+++=would
be ^vb+be+aux++=be
extinguished ^vpsv++agls+xvbnx+=extinguished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
minute ^nn++++=minute
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
in ^in++++=in
total ^jj+atrb+++=total
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
fire ^vb++++=fire,
, ^zz++++=EXTRAWORD
piercing ^jj+++xvbg+=piercing
the ^ati++++=the
paper ^nn++++=paper
three ^cd++++=three
times ^nns++++=times
out ^rp+pl+++=out
of ^in++++=of
four ^cd++++=four.
. ^zz++++=EXTRAWORD
With ^in++++=With
such ^abl++++=such
an ^at++++=an
extra ^jj++++=extra-ordinary
- ^zz++++=EXTRAWORD
ordinary ^jj+atrb+++=EXTRAWORD
talent ^nn++++=talent,
, ^zz++++=EXTRAWORD
Mateo ^np+++??+=Mateo
Falcone ^np+++??+=Falcone
had ^vbd+hvd+aux++=had
earned ^vprf+++xvbnx+=earned
himself ^ppl+pp3+++=himself
a ^at++++=a
great ^jj+atrb+++=great
reputation ^nn+nom+++=reputation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
both ^abx++++=both
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
enemy ^nn++++=enemy
and ^cc++++=and
a ^at++++=a
staunch ^jj+atrb+++=staunch
friend ^nn++++=friend;
; ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
always ^rb++++=always
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
do ^vbi++++=do
his ^pp$+pp3+++=his
moral ^jj+atrb+++=moral
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
gave ^jj+atrb++xvbn+=gave
alms ^nns+++??+=alms
to ^in++++=to
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vpsv++agls+xvbn+=lived
on ^in++++=on
good ^jj+atrb+++=good
terms ^nns++++=terms
with ^in++++=with
everyone ^pn++++=everyone
in ^in++++=in
the ^ati++++=the
district ^nn++++=district
of ^in++++=of
Porto ^np+++??+=Porto-Vecchio.
- ^zz++++=EXTRAWORD
vecchio ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
rumor ^nn++++=rumor
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
that ^cs+sub+++=that
in ^in++++=in
Corte ^np+++??+=Corte,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
disposed ^vprf+++xvbnx+=disposed
most ^ql+emph+++=most
effectively ^rb++++=effectively
of ^in++++=of
a ^at++++=a
rival ^jjb++++=rival,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
as ^ql++++=as
formidable ^jj++++=formidable
in ^in++++=in
war ^nn++++=war
as ^in++++=as
in ^in"++++=in
love ^nn++++=love:
: ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
Mateo ^np+++??+=Mateo
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
credit ^nn++++=credit
for ^in++++=for
a ^at++++=a
rifle ^nn++++=rifle-shot
- ^zz++++=EXTRAWORD
shot ^nn+++xvbn+=EXTRAWORD
which ^whp+rel+subj++=which
caught ^vbd+++xvbn+=caught
the ^ati++++=the
rival ^nn++++=rival
off ^in+pl+++=off
his ^pp$+pp3+++=his
guard ^nn++++=guard
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
shaving ^nvbg+++xvbg+=shaving
at ^rb++++=at
a ^at++++=a
small ^jj+atrb+++=small
mirror ^nn++++=mirror
hanging ^vwbg+++xvbg+=hanging
in ^in++++=in
his ^pp$+pp3+++=his
window ^nn++++=window.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
affair ^nn++++=affair
had ^vbd+hvd+aux++=had
blown ^vprf+++xvbnx+=blown
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
Mateo ^np+++??+=Mateo
married ^vbd+++xvbn+=married.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
Giuseppa ^np+++??+=Giuseppa
first ^od++++=first
bore ^nn+++xvbn+=bore
him ^pp3o+pp3+++=him
three ^cd++++=three
daughters ^nns+nom+++=daughters
( ^zz++++=(to
to ^in++++=EXTRAWORD
his ^pp$+pp3+++=his
fury ^nn++++=fury),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
finally ^rb++++=finally
a ^at++++=a
son ^nn++++=son,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
named ^vbd+++xvbnx+=named
Fortunato ^np+++??+=Fortunato.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hope ^nn++++=hope
of ^in++++=of
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heir ^nn++++=heir
to ^in++++=to
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
name ^nn++++=name.
. ^zz++++=EXTRAWORD
The ^ati++++=The
daughters ^nns+nom+++=daughters
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married
well ^jj+pred+++=well:
: ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
father ^nn++++=father
could ^md+pos+++=could
count ^vb++++=count
on ^in++++=on
the ^ati++++=the
daggers ^nns+nom+++=daggers
and ^cc++++=and
rifles ^nns++++=rifles
of ^in++++=of
his ^pp$+pp3+++=his
sons ^nns++++=sons-in-law
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
need ^nn++++=need
arose ^vbd+++xvbn+=arose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
son ^nn++++=son
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
10 ^cd++++=10
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
already ^rb++++=already
showed ^vbd+vprv++xvbn+=showed
great ^jj+atrb+++=great
promise ^nn++++=promise.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
autumn ^nn++++=autumn
day ^nn++++=day
Mateo ^np+++??+=Mateo
set ^vbd+++xvbn+=set
out ^rb+phrv+++=out
early ^jj++++=early
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^to++++=to
go ^vbi++++=go
and ^cc+phrs+++=and
inspect ^vb++++=inspect
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
flocks ^nns++++=flocks
in ^in++++=in
a ^at++++=a
clearing ^jj+++xvbg+=clearing
within ^in++++=within
the ^ati++++=the
maquis ^nn++++=maquis.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Fortunato ^np+++??+=Fortunato
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
go ^vbi++++=go
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
clearing ^nvbg+++xvbg+=clearing
was ^vbd+bedz+vrb++=was
too ^ql++++=too
far ^rb+pl+++=far
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
someone ^pn++++=someone
had ^md"++pmd"++=had
to ^md+nec+++=to
stay ^vb++++=stay
behind ^rp+pl+++=behind
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
the ^ati++++=the
house ^nn++++=house;
; ^zz++++=EXTRAWORD
so ^ql++++=so
his ^pp$+pp3+++=his
father ^npt++++=father
refused ^vbd+++xvbn+=refused
his ^pp$+pp3+++=his
request ^vb++++=request
to ^to+vcmp+++=to
accompany ^vbi++++=accompany
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
cause ^vb++++=cause
to ^to+vcmp+++=to
regret ^vbi++++=regret
his ^pp$+pp3+++=his
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
away ^rp+pl+++=away
for ^in++++=for
several ^ap++++=several
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
Fortunato ^np+++??+=Fortunato
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
quietly ^rb++++=quietly
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
at ^in++++=at
the ^ati++++=the
blue ^jj+atrb+++=blue
mountains ^npl++++=mountains
and ^cc++++=and
thinking ^nvbg+++xvbg+=thinking
about ^in++++=about
the ^ati++++=the
following ^jj+atrb++xvbg+=following
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
lunch ^nn++++=lunch
in ^in++++=in
town ^nn++++=town
with ^in++++=with
his ^pp$+pp3+++=his
uncle ^nn++++=uncle
the ^ati++++=the
caporal ^nn++++=caporal
when ^wrb+who+++=when
his ^pp$+pp3+++=his
meditations ^nns+nom+++=meditations
were ^vbd+bed+aux++=were
suddenly ^rb++splt++=suddenly
interrupted ^vpsv++by+xvbnx+=interrupted
by ^in++++=by
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
a ^at++++=a
gunshot ^nn++++=gunshot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
