Heavy ^jj+atrb+++=Heavy
story ^nn++++=story
of ^in++++=of
Gorkv ^np++++=Gorkv's
's ^$++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
explained ^vpsv++agls+xvbnx+=explained
that ^tht+vcmp+++=that
among ^in++++=among
ancient ^jj+atrb+++=ancient
Russian ^jj+atrb+++=Russian
folk ^nns++++=folk-customs,
- ^zz++++=EXTRAWORD
customs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
young ^jj+atrb+++=young
peasants ^nns+nom+++=peasants
were ^vbd+bed+aux++=were
married ^vpsv++agls+xvbnx+=married
at ^rb++++=at
a ^at++++=a
very ^ql+amp+++=very
early ^jj+atrb+++=early
age ^nn++++=age,
, ^zz++++=EXTRAWORD
the ^ati++++=the
father ^nn++++=father
of ^in++++=of
the ^ati++++=the
bridegroom ^nn++++=bridegroom
considered ^vwbn+vprv+tht0+xvbn+=considered
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
rights ^nns++++=rights
over ^in++++=over
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter-in-law.
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
later ^rbr+tm+++=later
times ^nns++++=times,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
custom ^nn++++=custom
although ^cs+con+++=although
occasionally ^rb++++=occasionally
continued ^jj+++xvbn+=continued,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
in ^in++++=in
disrepute ^nn++++=disrepute
among ^in++++=among
the ^ati++++=the
peasantry ^nn++++=peasantry;
; ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
entirely ^rb+amp+++=entirely
died ^vbd+++xvbn+=died
out ^rp+pl+++=out
is ^vbz+bez+aux++=is
proved ^vpsv++by+xvbnx+=proved
by ^in++++=by
the ^ati++++=the
little ^jj+atrb+++=little
drama ^nn++++=drama
sketched ^vbd+++xvbn+=sketched
in ^in++++=in
by ^in++++=by
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
a ^at++++=a
genius ^nn++++=genius
in ^in++++=in
" ^zz++++="On
on ^in++++=EXTRAWORD
a ^at++++=a
Raft ^nn++++=Raft."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Two ^cd++++=Two
men ^nns++++=men
are ^vb+ber+aux++=are
standing ^vbg+++xvbgx+=standing
aft ^jjb++++=aft,
, ^zz++++=EXTRAWORD
grasping ^vbg+++xvbg+=grasping
each ^dt++++=each
a ^at++++=a
long ^rb++++=long
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
propel ^nn+++??+=propel
the ^ati++++=the
raft ^nn++++=raft
and ^cc++++=and
act ^nn++++=act
as ^ql++++=as
rudders ^nns+nom+++=rudders;
; ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
the ^ati++++=the
owner ^nn++++=owner,
, ^zz++++=EXTRAWORD
a ^at++++=a
fair ^nn++++=fair,
, ^zz++++=EXTRAWORD
weak ^jj++++=weak,
, ^zz++++=EXTRAWORD
melancholy ^jj++++=melancholy-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
lad ^nn++++=lad
of ^in++++=of
twenty ^cd++++=twenty-two;
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
a ^at++++=a
peasant ^nn+nom+++=peasant,
, ^zz++++=EXTRAWORD
hired ^j+++xvbn+=hired
to ^to++++=to
help ^vbi++++=help
in ^in++++=in
the ^ati++++=the
work ^nn++++=work
on ^in++++=on
board ^nn++++=board
the ^ati++++=the
raft ^nn++++=raft,
, ^zz++++=EXTRAWORD
a ^at++++=a
bluff ^nn++++=bluff,
, ^zz++++=EXTRAWORD
healthy ^jj++++=healthy,
, ^zz++++=EXTRAWORD
red ^jj++++=red-bearded
- ^zz++++=EXTRAWORD
bearded ^jj++++=EXTRAWORD
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
upper ^jjb+atrb+++=upper
lip ^nn++++=lip,
, ^zz++++=EXTRAWORD
raised ^j+++xvbn+=raised
with ^in++++=with
a ^at++++=a
mocking ^nn++++=mocking
sneer ^vb++++=sneer,
, ^zz++++=EXTRAWORD
discloses ^vbz++++=discloses
a ^at++++=a
mouth ^nn++++=mouth
filled ^vbd+++xvbn+=filled
with ^in++++=with
large ^jj+atrb+++=large,
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
" ^zz++++="Starboard!"
starboard ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
cry ^nn++++=cry
vibrates ^nns+nom+++=vibrates
through ^in++++=through
the ^ati++++=the
darkness ^nns+nom+++=darkness
ahead ^rb+pl+++=ahead
of ^in++++=of
the ^ati++++=the
rafts ^nns++++=rafts.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
shouting ^nvbg+++xvbg+=shouting
for ^in+strn+++=for;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
know ^vb+vprv+tht0++=know
our ^pp$+pp1+++=our
business ^nns+nom+++=business!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei
growls ^nns++++=growls
raspingly ^rb++++=raspingly;
; ^zz++++=EXTRAWORD
pressing ^vbg+++xvbg+=pressing
his ^pp$+pp3+++=his
expanded ^jj+atrb++xvbn+=expanded
chest ^nn++++=chest
against ^in++++=against
the ^ati++++=the
pole ^nn++++=pole.
. ^zz++++=EXTRAWORD
" ^zz++++="Ouch!
ouch ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Pull ^vb++++=Pull
harder ^jjr++++=harder,
, ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia
pushes ^nns++++=pushes
with ^in++++=with
his ^pp$+pp3+++=his
feet ^nns++++=feet
against ^in++++=against
the ^ati++++=the
damp ^jj+atrb+++=damp
planks ^nns++++=planks
that ^tht+rel+obj++=that
form ^nn++++=form
the ^ati++++=the
raft ^nn++++=raft,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
his ^pp$+pp3+++=his
thin ^jj+atrb+++=thin
hands ^nns++++=hands
draws ^vbz++++=draws
toward ^in++++=toward
him ^pp3o+pp3+++=him
the ^ati++++=the
heavy ^jj+atrb+++=heavy
steering ^jj+atrb++xvbg+=steering
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
coughing ^nn++++=coughing
hoarsely ^rb++++=hoarsely
the ^ati++++=the
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
" ^zz++++="Harder,
harder ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^in++++=to
starboard ^nn++++=starboard!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cursed ^vbd+++xvbn+=cursed
loafers ^nns+nom+++=loafers!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
master ^nn++++=master
cries ^nns++++=cries
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
anger ^nn++++=anger
and ^cc++++=and
anxiety ^nn++++=anxiety
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Shout
shout ^vb++++=EXTRAWORD
away ^rp+pl+++=away!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
mutters ^nns+nom+++=mutters
Sergei ^np+++??+=Sergei.
. ^zz++++=EXTRAWORD
" ^zz++++="Here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
miserable ^jj+atrb+++=miserable
devil ^nn++++=devil
of ^in++++=of
a ^at++++=a
son ^nn++++=son,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
break ^vb++++=break
a ^at++++=a
straw ^nn++++=straw
across ^in+pl+++=across
his ^pp$+pp3+++=his
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
him ^pp3o+pp3+++=him
to ^to++++=to
steer ^vbi++++=steer
a ^at++++=a
raft ^nn++++=raft;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you
yell ^vb++++=yell
so ^ql++++=so
that ^cs+sub+++=that
all ^abn++++=all
the ^ati++++=the
river ^nn++++=river
hears ^vbz+vprv+++=hears
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+aux++=were
mean ^vb+vprv+++=mean
enough ^qlp++++=enough
not ^xnot++not++=not
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
second ^od++++=second
steersman ^nn+nom+++=steersman;
; ^zz++++=EXTRAWORD
so ^ql++++=so
now ^rn+tm+++=now
you ^pp2+pp2+++=you
may ^md+pos+++=may
tear ^vb++++=tear
your ^pp$+pp2+++=your
throat ^nn++++=throat
to ^in++++=to
pieces ^nns++++=pieces
shouting ^vwbg+++xvbg+=shouting!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
These ^dt+dem+++=These
last ^jj+atrb+++=last
words ^nns++++=words
were ^vbd+bed+aux++=were
growled ^vpsv++agls+xvbnx+=growled
out ^rp+pl+++=out
loud ^jj++++=loud
enough ^qlp++++=enough
to ^to++++=to
be ^vbi+vbi+aux++=be
heard ^vpsv++agls+xvbnx+=heard
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^cs+sub+++=as
if ^cs+cnd+++=if
Sergei ^np+++??+=Sergei
wished ^vbd+vprv+tht0+xvbn+=wished
they ^pp3a+pp3+++=they
should ^md+nec+++=should
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
steamer ^np++++=steamer
passed ^vbd+++xvbn+=passed
rapidly ^rb++++=rapidly
alongside ^in+pl+++=alongside
the ^ati++++=the
raft ^nn++++=raft
sweeping ^vwbg+++xvbg+=sweeping
the ^ati++++=the
frothing ^jj+atrb++xvbg+=frothing
water ^nn++++=water
from ^in++++=from
under ^in++++=under
her ^pp$+pp3+++=her
paddle ^vb++++=paddle
wheels ^nns++++=wheels.
. ^zz++++=EXTRAWORD
The ^ati++++=The
planks ^nns++++=planks
tossed ^vbd+++xvbn+=tossed
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
wash ^nn++++=wash,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
osier ^jjr+atrb+++=osier
branches ^nns++++=branches
fastening ^nn++++=fastening
them ^pp3o+pp3+++=them
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
groaned ^j+++xvbn+=groaned
and ^cc+phrs+++=and
scraped ^jj+++xvbn+=scraped
with ^in++++=with
a ^at++++=a
moist ^jj+atrb+++=moist,
, ^zz++++=EXTRAWORD
plaintive ^jj+atrb+++=plaintive
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lit ^rb+++xvbn+=lit-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
portholes ^nns++++=portholes
of ^in++++=of
the ^ati++++=the
steamer ^nn++++=steamer
seem ^vb+seem+++=seem
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
to ^in++++=to
rake ^nn++++=rake
the ^ati++++=the
raft ^nn++++=raft
and ^cc++++=and
the ^ati++++=the
river ^nn++++=river
with ^in++++=with
fiery ^jj+atrb+++=fiery
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
reflected ^j+++xvbn+=reflected
in ^in++++=in
the ^ati++++=the
seething ^jj+atrb+++=seething
water ^nn++++=water,
, ^zz++++=EXTRAWORD
like ^in++++=like
luminous ^jj++++=luminous
trembling ^xvbg+++xvbg+=trembling
spots ^vbz++++=spots.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
all ^rb++++=all
disappears ^vbz+seem+++=disappears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wash ^nn++++=wash
of ^in++++=of
the ^ati++++=the
steamer ^np++++=steamer
sweeps ^vbz++++=sweeps
backward ^jj++++=backward
and ^cc++++=and
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
raft ^nn++++=raft;
; ^zz++++=EXTRAWORD
the ^ati++++=the
planks ^nns++++=planks
dance ^vb++++=dance
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia,
, ^zz++++=EXTRAWORD
swaying ^vbg+++xvbg+=swaying
with ^in++++=with
the ^ati++++=the
movements ^nns+nom+++=movements
of ^in++++=of
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
clutches ^nns++++=clutches
convulsively ^rb++++=convulsively
the ^ati++++=the
steering ^jj+atrb++xvbg+=steering
pole ^nn++++=pole
to ^to++++=to
save ^vbi++++=save
himself ^ppl+pp3+++=himself
from ^in++++=from
falling ^xvbg+++xvbg+=falling.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
dance ^vbi++++=dance!
! ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father
will ^md+prd+++=will
start ^vb++++=start
yelling ^vbg+nom++xvbg+=yelling
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
perhaps ^rb++splt++=perhaps
come ^vb++++=come
and ^cc+phrs+++=and
give ^vb++++=give
you ^pp2+pp2+++=you
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
in ^in++++=in
the ^ati++++=the
ribs ^nns++++=ribs;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
dance ^vb++++=dance
to ^in++++=to
another ^dt++++=another
tune ^nn++++=tune!
! ^zz++++=EXTRAWORD
Port ^npl++++=Port
side ^nn++++=side
now ^rn+tm+++=now!
! ^zz++++=EXTRAWORD
Ouch ^uh++++=Ouch!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
with ^in++++=with
his ^pp$+pp3+++=his
muscles ^nns++++=muscles
strung ^vwbn+++xvbn+=strung
like ^in++++=like
steel ^nn++++=steel
springs ^nns++++=springs,
, ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei
gives ^vbz++++=gives
a ^at++++=a
powerful ^jj+atrb+++=powerful
push ^nn++++=push
to ^in++++=to
his ^pp$+pp3+++=his
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
forcing ^vbg+++xvbg+=forcing
it ^pp3+it+++=it
deep ^jj++++=deep
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Energetic ^jj++++=Energetic,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
mocking ^jj+++xvbg+=mocking
and ^cc++++=and
rather ^rb++++=rather
malicious ^jj++++=malicious,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stands ^vbz++++=stands
bare ^jj++++=bare-footed,
- ^zz++++=EXTRAWORD
footed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
rigid ^jj++++=rigid,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
part ^nn++++=part
