According ^in+cmpx+++=According
as ^ql++++=as
strong ^jj++++=strong
as ^in++++=as
life ^nn++++=life,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
was ^vbd+bedz+aux++=was
firmly ^rb++splt++=firmly
convinced ^jj++agls+xvbnx+=convinced
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^in++++=to
have ^vbi+vbi+aux++=have
discovered ^vprf+++xvbnx+=discovered
the ^ati++++=the
method ^nn++++=method
of ^in++++=of
loving ^xvbg+++xvbg+=loving
so ^ql++++=so
intensely ^rb+cnj+++=intensely,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
unrestrainedly ^jj++++=unrestrainedly,
, ^zz++++=EXTRAWORD
so ^ql++++=so
passionately ^rb+cnj+++=passionately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
with ^in++++=with
contempt ^nn++++=contempt
all ^abn++++=all
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
convinced ^jj++agls+xvbnx+=convinced
that ^tht+jcmp+++=that
even ^rb++++=even
after ^cs+sub+++=after
him ^pp3o+pp3+++=him
no ^at++++=no
one ^cd1++++=one
would ^md+prd+++=would
love ^vb++++=love
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
sorry ^jj++++=sorry
that ^tht+jcmp+++=that
with ^in++++=with
his ^pp$+pp3+++=his
death ^nn++++=death
the ^ati++++=the
secret ^nn++++=secret
of ^in++++=of
true ^jj+atrb+++=true
love ^nn++++=love
would ^md+prd+++=would
be ^vb+be+aux++=be
lost ^vpsv++agls+xvbnx+=lost
to ^in++++=to
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
modest ^jj+atrb+++=modest
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
attributed ^vbd+++xvbnx+=attributed
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
achievement ^nn+nom+++=achievement
to ^in++++=to
her ^pp$+pp3+++=her--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
his ^pp$+pp3+++=his
beloved ^jj++++=beloved.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
perfection ^nn+nom+++=perfection
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
very ^ql+amp+++=very
close ^in+cmpx+++=close
to ^in"++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^ql++++=as
close ^vb++++=close
as ^ql++++=as
an ^at++++=an
ideal ^nn++++=ideal
can ^md+pos+++=can
come ^vb++++=come
to ^in++++=to
reality ^nn+nom+++=reality.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
prettier ^jjr+atrb+++=prettier
women ^nns++++=women
than ^cs+sub+++=than
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
wiser ^jjr+atrb+++=wiser
women ^nns++++=women,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
ever ^rb++++=ever
a ^at++++=a
better ^jjr+atrb+++=better
woman ^nn++++=woman?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
there ^rn+pl+++=there
ever ^rb++++=ever
exist ^vb++++=exist
a ^at++++=a
woman ^nn++++=woman
on ^rp++++=on
whose ^whp+who+++=whose
face ^nn++++=face
was ^vbd+bedz+vrb++=was
so ^ql++++=so
clearly ^rb++++=clearly
and ^cc+phrs+++=and
distinctly ^rb++++=distinctly
written ^vprf+++xvbn+=written
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
alone ^rb++++=alone
was ^vbd+bedz+vrb++=was
worthy ^jj+pred+++=worthy
of ^in++++=of
love ^nn++++=love--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
infinite ^jj++++=infinite,
, ^zz++++=EXTRAWORD
pure ^jj++++=pure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
devoted ^jj+atrb++xvbn+=devoted
love ^nn++++=love?
? ^zz++++=EXTRAWORD
Max ^np++++=Max
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
there ^ex+pex+++=there
never ^rb++++=never
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
there ^rn+pl+++=there
never ^rb++++=never
would ^md+prd+++=would
be ^vb+be+vrb++=be
such ^abl++++=such
women ^nns++++=women.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
respect ^nn++++=respect,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
special ^jj+atrb+++=special
peculiarities ^nns+nom+++=peculiarities,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
Adam ^np++++=Adam
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Beginning ^vbg+++xvbg+=Beginning
with ^in++++=with
Grandmother ^nn+nom+++=Grandmother
Eve ^nn++++=Eve
and ^cc++++=and
ending ^nvbg+++xvbg+=ending
with ^in++++=with
the ^ati++++=the
woman ^nn++++=woman
upon ^in++++=upon
whom ^whp+rel+pied++=whom
your ^pp$+pp2+++=your
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
directed ^vpsv++agls+xvbnx+=directed--before
-- ^--+clp+++=EXTRAWORD
before ^cs+sub+++=EXTRAWORD
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read
these ^dt+dem+++=these
lines ^nns++++=lines--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
same ^ap++++=same
inscription ^nn+nom+++=inscription
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi++vrb++=be
clearly ^rb++++=clearly
and ^cc+phrs+++=and
distinctly ^rb++++=distinctly
read ^vb+vprv++xvbn+=read
on ^in++++=on
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
every ^at++++=every
woman ^nn++++=woman
at ^in++++=at
a ^at++++=a
certain ^jj+atrb+++=certain
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difference ^nn+nom+++=difference
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
the ^ati++++=the
ink ^nn++++=ink.
. ^zz++++=EXTRAWORD
A ^at++++=A
very ^ql+amp+++=very
nasty ^jj+atrb+++=nasty
day ^nn++++=day
set ^vbd+++xvbn+=set
in ^in+strn+++=in--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Monday ^nr++++=Monday
or ^cc++++=or
Tuesday ^nr++++=Tuesday--when
-- ^--+clp+++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
Max ^np++++=Max
noticed ^vbd+vprv++xvbn+=noticed
with ^in++++=with
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
great ^jj+atrb+++=great
terror ^nn++++=terror
that ^tht+rel+obj++=that
the ^ati++++=the
inscription ^nn+nom+++=inscription
upon ^in++++=upon
the ^ati++++=the
dear ^uh++++=dear
face ^nn++++=face
was ^vbd+bedz+aux++=was
fading ^vbg+++xvbgx+=fading.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
first ^od++++=first
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
from ^in++++=from
all ^abn++++=all
sides ^nns++++=sides;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
fact ^nn++++=fact
was ^vbd+bedz+vrb++=was
undeniable ^jj+pred+++=undeniable--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
inscription ^nn+nom+++=inscription
was ^vbd+bedz+aux++=was
fading ^vbg+++xvbgx+=fading.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
the ^ati++++=the
last ^jj+atrb+++=last
letter ^nn++++=letter
also ^rb++++=also
disappeared ^vbd+seem++xvbn+=disappeared--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white
like ^in++++=like
the ^ati++++=the
recently ^rb+tm+++=recently
whitewashed ^vbd+++xvbn+=whitewashed
wall ^nn++++=wall
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
house ^npl++++=house.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
convinced ^jj++agls+xvbnx+=convinced
that ^tht+jcmp+++=that
the ^ati++++=the
inscription ^nn+nom+++=inscription
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared
not ^xnot++not++=not
of ^in++++=of
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
some ^dti++++=some
one ^cd1++++=one
had ^vbd+hvd+aux++=had
wiped ^vprf+++xvbnx+=wiped
it ^pp3+it+++=it
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who?
? ^zz++++=EXTRAWORD
Max ^np++++=Max
went ^vbd+++xvbn+=went
to ^in++++=to
his ^pp$+pp3+++=his
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
John ^np++++=John
N ^zz++++=N.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
and ^cc++++=and
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
sure ^jj++++=sure
that ^tht+jcmp+++=that
such ^abl++++=such
a ^at++++=a
true ^jj++++=true,
, ^zz++++=EXTRAWORD
disinterested ^jj++++=disinterested,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
honest ^jj+atrb+++=honest
friend ^nn++++=friend
there ^rn+pl+++=there
never ^rb++++=never
was ^vbd+bedz+aux++=was
and ^cc++++=and
never ^rb++++=never
would ^md+prd+++=would
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
this ^dt+dem+++=this
respect ^nn++++=respect,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Max ^np++++=Max
had ^vb+hv+vrb++=had
no ^at++++=no
special ^jj+atrb+++=special
peculiarities ^nns+nom+++=peculiarities.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^in++++=to
his ^pp$+pp3+++=his
friend ^nn++++=friend
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
taking ^xvbg+++xvbg+=taking
his ^pp$+pp3+++=his
advice ^nn++++=advice
concerning ^in++++=concerning
the ^ati++++=the
mysterious ^jj+atrb+++=mysterious
disappearance ^nn+nom+++=disappearance
of ^in++++=of
the ^ati++++=the
inscription ^nn+nom+++=inscription,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
John ^np++++=John
N ^zz++++=N.
. ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
at ^in++++=at
the ^ati++++=the
moment ^nn++++=moment
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
wiping ^vbg+++xvbgx+=wiping
away ^rb+phrv+++=away
that ^dt+dem+++=that
inscription ^nn+nom+++=inscription
by ^in++++=by
his ^pp$+pp3+++=his
kisses ^nns++++=kisses.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
that ^cs+sub+++=that
the ^ati++++=the
records ^nns++++=records
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
occurrences ^nns+nom+++=occurrences
were ^vbd+bed+aux++=were
enriched ^vpsv++by+xvbnx+=enriched
by ^in++++=by
another ^dt++++=another
unfortunate ^jj+atrb+++=unfortunate
incident ^nn++++=incident,
, ^zz++++=EXTRAWORD
entitled ^xvbn+++xvbn+=entitled
" ^zz++++="An
an ^at++++=EXTRAWORD
Attempt ^nn++++=Attempt
at ^rb++++=at
Suicide ^nn++++=Suicide."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
death ^nn++++=death
always ^rb++++=always
comes ^vbz++++=comes
in ^in++++=in
due ^jj+atrb+++=due
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Evidently ^rb+cnj+++=Evidently,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
time ^nn++++=time
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
arrived ^vbd+++xvbn+=arrived
for ^in++++=for
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
alive ^jj++++=alive--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate,
, ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank,
, ^zz++++=EXTRAWORD
walked ^jj+atrb++xvbn+=walked,
, ^zz++++=EXTRAWORD
borrowed ^jj+atrb++xvbn+=borrowed
money ^nn++++=money
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
return ^vb++++=return
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
altogether ^nn+nom+++=altogether
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
by ^in++++=by
a ^at++++=a
series ^nn++++=series
of ^in++++=of
psycho ^nn+++??+=psycho-physiological
- ^zz++++=EXTRAWORD
physiological ^jj+atrb+++=EXTRAWORD
acts ^nns++++=acts
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
living ^nn++++=living
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
possessing ^jj+++xvbg+=possessing
a ^at++++=a
stomach ^nn++++=stomach,
, ^zz++++=EXTRAWORD
a ^at++++=a
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
mind ^nn++++=mind--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
his ^pp$+pp3+++=his
soul ^nn++++=soul
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
more ^rbr++++=more
exact ^jj+pred+++=exact,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
absorbed ^vpsv++agls+xvbnx+=absorbed
in ^in++++=in
lethargic ^jj+atrb+++=lethargic
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
of ^in++++=of
human ^jj+atrb+++=human
speech ^nn++++=speech
reached ^vbd+++xvbn+=reached
his ^pp$+pp3+++=his
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
saw ^vbd+vprv++xvbn+=saw
tears ^nns++++=tears
and ^cc++++=and
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^abn++++=all
that ^dt+pdem+++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stir ^vb++++=stir
a ^at++++=a
single ^jj+atrb+++=single
echo ^nn++++=echo,
, ^zz++++=EXTRAWORD
a ^at++++=a
single ^jj+atrb+++=single
emotion ^nn+nom+++=emotion
in ^in++++=in
his ^pp$+pp3+++=his
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
space ^nn++++=space
of ^in++++=of
time ^nn++++=time
had ^vbd+hvd+aux++=had
elapsed ^vwbn+++xvbn+=elapsed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
one ^cd1++++=one
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
ten ^cd++++=ten
years ^nns++++=years,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
such ^abl++++=such
intermissions ^nns+++??+=intermissions
in ^in++++=in
life ^nn++++=life
depends ^vbz++++=depends
on ^in++++=on
how ^wrb+who+++=how
quickly ^rb++++=quickly
the ^ati++++=the
actor ^nn++++=actor
succeeds ^vbz++++=succeeds
in ^in++++=in
changing ^xvbg+++xvbg+=changing
his ^pp$+pp3+++=his
costume ^nn++++=costume.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
beautiful ^jj+atrb+++=beautiful
day ^nn++++=day--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Wednesday ^nr++++=Wednesday
or ^cc++++=or
Thursday ^nr++++=Thursday--Max
-- ^--+clp+++=EXTRAWORD
max ^np++++=EXTRAWORD
awakened ^vbd+++xvbn+=awakened
completely ^rb+amp+++=completely.
. ^zz++++=EXTRAWORD
A ^at++++=A
careful ^jj+atrb+++=careful
and ^cc+phrs+++=and
guarded ^jj+atrb++xvbn+=guarded
liquidation ^nn+nom+++=liquidation
of ^in++++=of
his ^pp$+pp3+++=his
spiritual ^jj+atrb+++=spiritual
property ^nn++++=property
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
clear ^jj++++=clear
that ^tht+jcmp+++=that
a ^at++++=a
fair ^jj+atrb+++=fair
piece ^nn++++=piece
of ^in++++=of
Max ^np++++=Max's
's ^$++++=EXTRAWORD
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
the ^ati++++=the
part ^nn++++=part
which ^whp+rel+subj++=which
contained ^vbd+++xvbn+=contained
his ^pp$+pp3+++=his
love ^nn++++=love
for ^in++++=for
woman ^nn++++=woman
and ^cc++++=and
for ^in++++=for
his ^pp$+pp3+++=his
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
paralysis ^nn++++=paralysis-stricken
- ^zz++++=EXTRAWORD
stricken ^jj+atrb+++=EXTRAWORD
hand ^nn++++=hand
or ^cc++++=or
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
remained ^vbd+++xvbn+=remained
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
enough ^qlp++++=enough
for ^in++++=for
life ^nn++++=life.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
love ^nn++++=love
for ^in++++=for
and ^cc++++=and
faith ^nn++++=faith
in ^in++++=in
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
renounced ^vprf+++xvbn+=renounced
personal ^jj+atrb+++=personal
happiness ^nns+nom+++=happiness,
, ^zz++++=EXTRAWORD
started ^j+++xvbn+=started
to ^in++++=to
work ^nn++++=work
for ^in++++=for
the ^ati++++=the
happiness ^nns+nom+++=happiness
of ^in++++=of
others ^aps++++=others.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
a ^at++++=a
new ^jj+atrb+++=new
phase ^nn++++=phase--he
