Solomon ^np++++=SOLOMON
bad ^jj+atrb+++=bad
luck ^nn++++=luck
that ^tht+rel+subj++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
there ^ex+pex+++=there
be ^vb+be+aux++=be
to ^to++++=to
look ^vbi++++=look
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Every ^at++++=Every
word ^nn++++=word
that ^tht+rel+subj++=that
fell ^vbd+++xvbn+=fell
from ^in++++=from
her ^pp$+pp3+++=her
lips ^nns++++=lips
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
like ^in++++=like
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
Diotima ^np+++??+=Diotima.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
right ^jj+pred+++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried;
; ^zz++++=EXTRAWORD
" ^zz++++="Portia
portia ^np++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
hold ^vb+vprv+++=hold
a ^at++++=a
candle ^nn++++=candle
to ^in++++=to
you ^pp2+pp2+++=you
for ^in++++=for
clear ^jj+atrb+++=clear
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
suppose ^vb+vprv+++=suppose
two ^cd++++=two
people ^nns++++=people
are ^vb+ber+vrb++=are
imprudent ^jj+pred+++=imprudent
enough ^qlp++++=enough
to ^to++++=to
get ^vbi++++=get
married ^vbd+++xvbn+=married
in ^in++++=in
the ^ati++++=the
first ^od++++=first
week ^nn++++=week
of ^in++++=of
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
becomes ^vbz++++=becomes
of ^in++++=of
the ^ati++++=the
chronological ^jj+atrb+++=chronological
honeymoon ^nn++++=honeymoon
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
fishing ^jj+++xvbg+=fishing
in ^in++++=in
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
rivers ^nns++++=rivers
of ^in++++=of
Paradise ^nn++++=Paradise,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
in ^in++++=in
our ^pp$+pp1+++=our
latitude ^nn++++=latitude,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
frozen ^vpsv++agls+xvbnx+=frozen
up ^rp++++=up.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
discover ^nn+nom+++=discover
our ^pp$+pp1+++=our
month ^nn++++=month
of ^in++++=of
honey ^nn++++=honey
by ^in++++=by
the ^ati++++=the
empirical ^jj+atrb+++=empirical
method ^nn++++=method.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
year ^nn++++=year
we ^pp1a+pp1+++=we
will ^md+prd+++=will
set ^vb+++xvbn+=set
out ^rb+phrv+++=out
together ^nn+nom+++=together
to ^to++++=to
seek ^vbi++++=seek
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
solitude ^nn++++=solitude
for ^in++++=for
two ^cd++++=two;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
will ^md+prd+++=will
compare ^vb++++=compare
notes ^nns++++=notes
on ^in++++=on
moons ^nns++++=moons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strike ^nn++++=strike
the ^ati++++=the
final ^jj+atrb+++=final
balance ^nn+nom+++=balance
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
our ^pp$+pp1+++=our
happiest ^jjt+atrb+++=happiest
experiment ^nn+nom+++=experiment
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
completed ^vpsv++agls+xvbnx+=completed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
not ^xnot++not++=not
sure ^jj++++=sure
of ^in++++=of
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
even ^rb++++=even
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
still ^rb++splt++=still
engaged ^vpsv++agls+xvbnx+=engaged,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
committee ^nn+nom+++=committee
of ^in++++=of
two ^cd++++=two,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
philosophical ^jj+atrb+++=philosophical
investigation ^nn+nom+++=investigation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
decline ^vb++++=decline
to ^to+vcmp+++=to
make ^vbi++++=make
anything ^rb++++=anything
but ^rb"++++=but
a ^at++++=a
report ^nn++++=report
of ^in++++=of
progress ^nns+nom+++=progress.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
know ^vb+vprv+++=know
more ^ql++++=more
now ^rn+tm+++=now
than ^cs+sub+++=than
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
first ^rb++++=first
went ^vbd+++xvbn+=went
honeymooning ^nvbg+++xvbg+=honeymooning
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Washington ^np++++=Washington.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
certain ^jj+pred+++=certain
that ^tht+jcmp+++=that
not ^xnot++not++=not
even ^rb++++=even
the ^ati++++=the
far ^rb+pl+++=far-famed
- ^zz++++=EXTRAWORD
famed ^jj+atrb+++=EXTRAWORD
rosemary ^np+nom+++=rosemary-fields
- ^zz++++=EXTRAWORD
fields ^nns++++=EXTRAWORD
of ^in++++=of
Narbonne ^np+++??+=Narbonne,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
fragrant ^jj+atrb+++=fragrant
hillsides ^nns++++=hillsides
of ^in++++=of
the ^ati++++=the
Corbieres ^nns+nom++??+=Corbieres,
, ^zz++++=EXTRAWORD
yield ^vb++++=yield
a ^at++++=a
sweeter ^jjr+atrb+++=sweeter
harvest ^nn++++=harvest
to ^in++++=to
the ^ati++++=the
busy ^jj++++=busy-ness
- ^zz++++=EXTRAWORD
ness ^np++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
bees ^nns++++=bees
than ^in++++=than
the ^ati++++=the
Norwegian ^jj+atrb+++=Norwegian
meadows ^nns++++=meadows
and ^cc++++=and
mountain ^nn++++=mountain-slopes
- ^zz++++=EXTRAWORD
slopes ^nns++++=EXTRAWORD
yielded ^vbd+++xvbn+=yielded
to ^in++++=to
our ^pp$+pp1+++=our
idleness ^nns+nom+++=idleness
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer
of ^in++++=of
1888 ^cd+date+++=1888.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
The ^ati++++=The
rural ^jj+atrb+++=rural
landscape ^nn++++=landscape
of ^in++++=of
Norway ^np++++=Norway,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
long ^rb++++=long
easterly ^jj+atrb+++=easterly
slope ^nn++++=slope
that ^tht+rel+subj++=that
leads ^vbz++++=leads
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
watershed ^nn++++=watershed
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains
of ^in++++=of
the ^ati++++=the
western ^jj+atrb+++=western
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
unlike ^in++++=unlike
that ^dt+dem+++=that
of ^in++++=of
Vermont ^np+++??+=Vermont
or ^cc++++=or
New ^jj+atrb+++=New
Hampshire ^np++++=Hampshire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
railway ^nn++++=railway
from ^in++++=from
Christiania ^np+++??+=Christiania
to ^in++++=to
the ^ati++++=the
Randsfjord ^np+++??+=Randsfjord
carried ^vbd+++xvbn+=carried
us ^pp1o+pp1+++=us
through ^in++++=through
a ^at++++=a
hilly ^jj+atrb+++=hilly
country ^nn++++=country
of ^in++++=of
scattered ^xvbn+++xvbn+=scattered
farms ^nns++++=farms
and ^cc++++=and
villages ^nns+nom+++=villages.
. ^zz++++=EXTRAWORD
Wood ^npl++++=Wood
played ^vbd+++xvbn+=played
a ^at++++=a
prominent ^jj+atrb+++=prominent
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
scenery ^nn+nom+++=scenery.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
dark ^jj+pred+++=dark
stretches ^vbz++++=stretches
of ^in++++=of
forest ^nn++++=forest
on ^in++++=on
the ^ati++++=the
hilltops ^nns+++??+=hilltops
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
valleys ^nns++++=valleys;
; ^zz++++=EXTRAWORD
rivers ^nns++++=rivers
filled ^vbd+++xvbn+=filled
with ^in++++=with
floating ^xvbg+++xvbg+=floating
logs ^nns++++=logs;
; ^zz++++=EXTRAWORD
sawmills ^nns+++??+=sawmills
beside ^in+pl+++=beside
the ^ati++++=the
waterfalls ^nns++++=waterfalls;
; ^zz++++=EXTRAWORD
wooden ^jj+atrb+++=wooden
farmhouses ^nns++++=farmhouses
painted ^vbd+++xvbn+=painted
white ^np++++=white;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rail ^nn++++=rail-fences
- ^zz++++=EXTRAWORD
fences ^nns++++=EXTRAWORD
around ^in++++=around
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nns++++=people
seemed ^vbd+seem++xvbn+=seemed
sturdy ^jj++++=sturdy,
, ^zz++++=EXTRAWORD
prosperous ^jj++++=prosperous,
, ^zz++++=EXTRAWORD
independent ^jj++++=independent.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
the ^ati++++=the
familiar ^jj+atrb+++=familiar
habit ^nn++++=habit
of ^in++++=of
coming ^xvbg+++xvbg+=coming
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station
to ^to++++=to
see ^vbi+vprv+tht0++=see
the ^ati++++=the
train ^nn++++=train
arrive ^vb++++=arrive
and ^cc+phrs+++=and
depart ^vb++++=depart.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
might ^md+pos+++=might
have ^vb+hv+aux++=have
fancied ^vprf+++xvbnx+=fancied
ourselves ^ppls+pp1+++=ourselves
on ^in++++=on
a ^at++++=a
journey ^nn++++=journey
through ^in++++=through
the ^ati++++=the
Connecticut ^np+++??+=Connecticut
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
the ^ati++++=the
soft ^nn++++=soft
sing ^vb++++=sing-song
- ^zz++++=EXTRAWORD
song ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Norwegian ^jj+atrb+++=Norwegian
speech ^nn++++=speech
and ^cc++++=and
the ^ati++++=the
uniform ^jj+atrb+++=uniform
politeness ^nns+nom+++=politeness
of ^in++++=of
the ^ati++++=the
railway ^nn++++=railway
officials ^nns+nom+++=officials.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
room ^nn++++=room
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
inn ^npl++++=inn
at ^rb++++=at
Randsfjord ^np+++??+=Randsfjord
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
spent ^vbd+++xvbn+=spent
our ^pp$+pp1+++=our
first ^od++++=first
night ^nn++++=night
out ^rp+pl+++=out!
! ^zz++++=EXTRAWORD
Vast ^jj++++=Vast,
, ^zz++++=EXTRAWORD
bare ^jj++++=bare,
, ^zz++++=EXTRAWORD
primitive ^jj++++=primitive,
, ^zz++++=EXTRAWORD
with ^in++++=with
eight ^cd++++=eight
windows ^nns++++=windows
to ^to++++=to
admit ^vbi+vpub+++=admit
the ^ati++++=the
persistent ^jj+atrb+++=persistent
nocturnal ^nn+nom+++=nocturnal
twilight ^nn++++=twilight;
; ^zz++++=EXTRAWORD
a ^at++++=a
sea ^nn++++=sea-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
floor ^nn++++=floor
of ^in++++=of
blue ^jj++++=blue-painted
- ^zz++++=EXTRAWORD
painted ^xvbn+++xvbn+=EXTRAWORD
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
unbroken ^jj++++=unbroken
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
island ^nn++++=island
of ^in++++=of
carpet ^nn++++=carpet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
castellated ^jj+atrb++xvbn+=castellated
stove ^nn++++=stove
in ^in++++=in
one ^cd1++++=one
corner ^nn++++=corner:
: ^zz++++=EXTRAWORD
an ^at++++=an
apartment ^nn+nom+++=apartment
for ^in++++=for
giants ^nns++++=giants,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
little ^ap++++=little
beds ^nns++++=beds
for ^in++++=for
dwarfs ^nns+++??+=dwarfs
on ^in++++=on
opposite ^jj+atrb+++=opposite
shores ^nns++++=shores
of ^in++++=of
the ^ati++++=the
ocean ^nn++++=ocean.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
telephone ^nn++++=telephone;
; ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
arranged ^vbd+vsua++xvbn+=arranged
a ^at++++=a
system ^nn++++=system
of ^in++++=of
communication ^nn+nom+++=communication
with ^in++++=with
a ^at++++=a
fishing ^jj+++xvbg+=fishing-line,
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure
that ^tht+jcmp+++=that
the ^ati++++=the
sleepy ^jj+atrb+++=sleepy
partner ^nn++++=partner
should ^md+nec+++=should
be ^vb+be+vrb++=be
awake ^jj+pred+++=awake
in ^in++++=in
time ^nn++++=time
for ^in++++=for
the ^ati++++=the
early ^jj+atrb+++=early
boat ^nn++++=boat
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
journey ^nn++++=journey
up ^rp++++=up
the ^ati++++=the
lake ^nn++++=lake
took ^vbd+++xvbn+=took
seven ^cd++++=seven
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reminded ^vbd+vsua++xvbn+=reminded
us ^pp1o+pp1+++=us
of ^in++++=of
a ^at++++=a
voyage ^nn++++=voyage
on ^rp++++=on
Lake ^npl++++=Lake
George ^np++++=George;
; ^zz++++=EXTRAWORD
placid ^jj++++=placid,
, ^zz++++=EXTRAWORD
picturesque ^jj++++=picturesque,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pervaded ^vpsv++by+xvbn+=pervaded
by ^in++++=by
summer ^nn++++=summer
boarders ^nns+nom+++=boarders.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
lunch ^vb++++=lunch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
well ^rb++++=well
fortified ^xvbn+++xvbn+=fortified
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
road ^nn++++=road
when ^wrb+who+++=when
the ^ati++++=the
steamboat ^nn+++??+=steamboat
landed ^vbd+++xvbn+=landed
us ^pp1o+pp1+++=us
at ^in++++=at
Odnaes ^np+++??+=Odnaes,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
about ^in++++=about
two ^cd++++=two
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
