Before ^cs+sub+++=Before
looking ^vbg+++xvbg+=EXTRAWORD
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
follow ^vb+vprv+++=follow
her ^pp$+pp3+++=her
dumbly ^rb++++=dumbly
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
stopping ^vbg+++xvbg+=stopping
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
to ^to++++=to
admire ^vbi++++=admire
a ^at++++=a
cheap ^jj+atrb+++=cheap
comb ^nn++++=comb
or ^cc++++=or
a ^at++++=a
chain ^nn++++=chain
set ^vbd+++xvbn+=set
with ^in++++=with
flashy ^nn+++??+=flashy
imitation ^nn+nom+++=imitation
stones ^nns++++=stones--or,
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
, ^zz++++=EXTRAWORD
queerly ^rb++++=queerly
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
a ^at++++=a
doll ^nn++++=doll
with ^in++++=with
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair
and ^cc++++=and
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
and ^cc++++=and
very ^ql+amp+++=very
pink ^np++++=pink
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
or ^cc++++=or
in ^in++++=in
company ^nn++++=company,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
appearance ^nn+nom+++=appearance
in ^in++++=in
the ^ati++++=the
stores ^nns++++=stores
of ^in++++=of
our ^pp$+pp1+++=our
town ^nn++++=town
was ^vbd+bedz+vrb++=was
the ^ati++++=the
signal ^nn++++=signal
for ^in++++=for
a ^at++++=a
sudden ^jj+atrb+++=sudden
jump ^nn++++=jump
in ^in++++=in
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
living ^xvbg+++xvbg+=living.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storekeepers ^nns+nom+++=storekeepers
mulcted ^vbd+++xvbn+=mulcted
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
and ^cc++++=and
paid ^vpsv++agls+xvbn+=paid
in ^in++++=in
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
class ^nn++++=class
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
no ^at++++=no
redress ^nns+nom+++=redress.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
owned ^vbd+++xvbnx+=owned
the ^ati++++=the
House ^nn++++=House
with ^in++++=with
the ^ati++++=the
Closed ^jj+atrb++xvbn+=Closed
Shutters ^nns+nom+++=Shutters,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
freight ^nn++++=freight
depot ^nn++++=depot--did
-- ^--+clp+++=EXTRAWORD
did ^vbd+dod+vrb++=EXTRAWORD
Blanche ^np++++=Blanche
Devine ^np+++??+=Devine.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
larger ^jjr+atrb+++=larger
town ^nn++++=town
than ^in++++=than
ours ^pp$$++++=ours
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
unnoticed ^jj++++=unnoticed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
like ^in++++=like
a ^at++++=a
bad ^jj+atrb+++=bad
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
she ^pp3a+pp3+++=she
used ^vbd+++xvbnx+=used
too ^ql++++=too
much ^ap++++=much
make ^vb++++=make-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
she ^pp3a+pp3+++=she
passed ^vbd+++xvbnx+=passed
you ^pp2+pp2+++=you
caught ^vbd+++xvbn+=caught
the ^ati++++=the
oversweet ^nn+++??+=oversweet
breath ^nn++++=breath
of ^in++++=of
a ^at++++=a
certain ^jj+atrb+++=certain
heavy ^jj+atrb+++=heavy
scent ^nn++++=scent.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
diamond ^nn++++=diamond
eardrops ^nns+++??+=eardrops
would ^md+prd+++=would
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
any ^dti++++=any
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
features ^nns++++=features
look ^vb++++=look
hard ^jj++++=hard;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
plump ^jj+atrb+++=plump
face ^nn++++=face,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
its ^pp$+it+++=its
heaviness ^nns+nom+++=heaviness,
, ^zz++++=EXTRAWORD
wore ^j+++xvbn+=wore
an ^at++++=an
expression ^nn++++=expression
of ^in++++=of
good ^jj++++=good-humored
- ^zz++++=EXTRAWORD
humored ^jj+atrb++xvbn+=EXTRAWORD
intelligence ^nn+nom+++=intelligence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
eyeglasses ^vbz+++??+=eyeglasses
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
somehow ^rb++++=somehow
a ^at++++=a
look ^nn++++=look
of ^in++++=of
respectability ^nn+nom+++=respectability.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
do ^vb+do+aux++=do
not ^xnot++not++=not
associate ^nn+nom+++=associate
vice ^in++++=vice
with ^in++++=with
eyeglasses ^nns+++??+=eyeglasses.
. ^zz++++=EXTRAWORD
So ^rb++++=So
in ^in++++=in
a ^at++++=a
large ^jj+atrb+++=large
city ^nn++++=city
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
for ^in++++=for
a ^at++++=a
well ^rb++++=well-dressed,
- ^zz++++=EXTRAWORD
dressed ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
prosperous ^jj+atrb+++=prosperous,
, ^zz++++=EXTRAWORD
comfortable ^jj+atrb+++=comfortable
wife ^nn++++=wife
and ^cc++++=and
mother ^nn++++=mother
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
in ^in++++=in
danger ^nn++++=danger
of ^in++++=of
losing ^xvbg+++xvbg+=losing
her ^pp3o+pp3+++=her
figure ^nn++++=figure
from ^in++++=from
an ^at++++=an
overabundance ^nn+nom+++=overabundance
of ^in++++=of
good ^jj+atrb+++=good
living ^nvbg+++xvbg+=living;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
us ^pp1o+pp1+++=us
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
town ^nn++++=town
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
like ^in++++=like
Old ^jj+atrb+++=Old
Man ^nn++++=Man
Givins ^np+++??+=Givins,
, ^zz++++=EXTRAWORD
the ^ati++++=the
drunkard ^nn++++=drunkard,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
weak ^jj++++=weak-minded
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
Binns ^np+++??+=Binns
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
drugstore ^nn++++=drugstore
corner ^npl++++=corner
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
sniggering ^jj+++xvbg+=sniggering
among ^in++++=among
the ^ati++++=the
vacant ^jj++++=vacant-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
loafers ^nns+nom+++=loafers
idling ^nn++++=idling
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
would ^md+prd+++=would
leer ^vb++++=leer
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
jest ^nn++++=jest
in ^in++++=in
undertones ^nns++++=undertones.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
Blanche ^np++++=Blanche
Devine ^np+++??+=Devine
as ^ql++++=as
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
something ^pn++++=something
resembling ^vbg+nom++xvbg+=resembling
a ^at++++=a
riot ^nn++++=riot
in ^in++++=in
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
most ^ap+emph+++=most
respectable ^jj+atrb+++=respectable
neighborhoods ^nns+nom+++=neighborhoods
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
learned ^vpsv++agls+xvbnx+=learned
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
up ^rb+phrv+++=up
her ^pp$+pp3+++=her
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
near ^in+pl+++=near
the ^ati++++=the
freight ^nn++++=freight
depot ^nn++++=depot
and ^cc++++=and
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
settle ^vb++++=settle
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
white ^jj+atrb+++=white
cottage ^nn+nom+++=cottage
on ^in++++=on
the ^ati++++=the
corner ^nn++++=corner
and ^cc++++=and
be ^vb+be+vrb++=be
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
husbands ^nns++++=husbands
in ^in++++=in
the ^ati++++=the
block ^nn++++=block,
, ^zz++++=EXTRAWORD
urged ^j+++xvbn+=urged
on ^in++++=on
by ^in++++=by
righteously ^jj+atrb+++=righteously
indignant ^jj+atrb+++=indignant
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
dropped ^j+++xvbn+=dropped
in ^in++++=in
on ^in++++=on
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
after ^cs+sub+++=after
supper ^nn++++=supper
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
the ^ati++++=the
thing ^nn++++=thing
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
stopped ^vpsv++agls+xvbnx+=stopped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fourth ^od++++=fourth
of ^in++++=of
the ^ati++++=the
protesting ^jj+atrb++xvbg+=protesting
husbands ^nns++++=husbands
to ^to++++=to
arrive ^vbi++++=arrive
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
next ^ap++++=next
door ^nn++++=door
to ^in++++=to
the ^ati++++=the
corner ^npl++++=corner
cottage ^nn+nom+++=cottage
that ^tht+rel+obj++=that
Blanche ^np++++=Blanche
Devine ^np+++??+=Devine
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
had ^vb+hv+vrb++=had
a ^at++++=a
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Wife ^nn++++=Wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
the ^ati++++=the
joint ^jjb+atrb+++=joint
owners ^nns++++=owners
of ^in++++=of
Snooky ^np+++??+=Snooky.
. ^zz++++=EXTRAWORD
Snooky ^np+++??+=Snooky
was ^vbd+bedz+vrb++=was
three ^cd++++=three-goingon-four,
- ^zz++++=EXTRAWORD
goingon ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^xvbn+++xvbn+=looked
something ^pn++++=something
like ^in++++=like
an ^at++++=an
angel ^nn++++=angel--only
-- ^--+clp+++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
healthier ^jjr++++=healthier
and ^cc++++=and
with ^in++++=with
grimier ^jjr+atrb+++=grimier
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
neighborhood ^nn+nom+++=neighborhood
borrowed ^vbd+++xvbn+=borrowed
her ^pp3o+pp3+++=her
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
spoil ^vbi++++=spoil
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Snooky ^np+++??+=Snooky
would ^md+prd+++=would
not ^xnot++not++=not
spoil ^vb++++=spoil.
. ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
was ^vbd+bedz+vrb++=was
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
cellar ^nn++++=cellar,
, ^zz++++=EXTRAWORD
fooling ^vbg+nom++xvbg+=fooling
with ^in++++=with
the ^ati++++=the
furnace ^nn++++=furnace.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
furnace ^nn++++=furnace
overalls ^nns++++=overalls;
; ^zz++++=EXTRAWORD
a ^at++++=a
short ^jj+atrb+++=short
black ^jj+atrb+++=black
pipe ^nn++++=pipe
in ^in++++=in
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
protesting ^vbg+++xvbg+=protesting
husbands ^nns++++=husbands
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mooney ^np++++=Mooney's
's ^$++++=EXTRAWORD
directions ^nns+nom+++=directions,
, ^zz++++=EXTRAWORD
descended ^j+++xvbn+=descended
the ^ati++++=the
cellar ^nn++++=cellar
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
looked ^vbd+++xvbn+=looked
up ^rp++++=up
from ^in++++=from
his ^pp$+pp3+++=his
tinkering ^vbg+++xvbg+=tinkering.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
peered ^vbd+++xvbnx+=peered
through ^in++++=through
a ^at++++=a
haze ^nn++++=haze
of ^in++++=of
pipe ^nn++++=pipe
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello!"
hello ^rb+dspt+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waved ^vbd+++xvbn+=waved
the ^ati++++=the
haze ^nn++++=haze
away ^rp+pl+++=away
with ^in++++=with
his ^pp$+pp3+++=his
open ^jj+atrb+++=open
palm ^np++++=palm.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
on ^in++++=on
down ^in+strn+++=down!
! ^zz++++=EXTRAWORD
Been ^j+j+aux+xvbn+=Been
tinkering ^vbg+++xvbgx+=tinkering
with ^in++++=with
this ^dt+dem+++=this
blamed ^jj+atrb++xvbn+=blamed
furnace ^nn++++=furnace
since ^in++++=since
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
draw ^vb++++=draw
like ^in++++=like
she ^pp3a+pp3+++=she
ought ^md+nec+++=ought.
. ^zz++++=EXTRAWORD
' ^zz++++='Long
long ^rb++++=EXTRAWORD
toward ^in++++=toward
spring ^nn++++=spring
a ^at++++=a
furnace ^nn++++=furnace
always ^rb++++=always
gets ^vbz++++=gets
balky ^nn+++??+=balky.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
tons ^nns++++=tons
you ^pp2+pp2+++=you
used ^vbd+++xvbn+=used
this ^dt+dem+++=this
winter ^nn++++=winter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh-five,"
oh ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
shortly ^rb+tm+++=shortly.
. ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
considered ^vwbn+vprv++xvbn+=considered
it ^pp3+it+++=it
thoughtfully ^rb++++=thoughtfully.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
leaned ^vbd+++xvbn+=leaned
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
water ^nn++++=water
tank ^nn++++=tank,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
in ^in++++=in
his ^pp$+pp3+++=his
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
" ^zz++++="Say,
say ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mooney ^np+++??+=Mooney,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
right ^jj++++=right
about ^in++++=about
Blanche ^np++++=Blanche
Devine ^np++++=Devine's
's ^$++++=EXTRAWORD
having ^xvbg+++xvbg+=having
bought ^vprf+++xvbn+=bought
the ^ati++++=the
house ^npl++++=house
on ^in++++=on
the ^ati++++=the
corner ^nn++++=corner?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
the ^ati++++=the
fourth ^od++++=fourth
man ^nn++++=man
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
in ^in++++=in
to ^to++++=to
ask ^vbi++++=ask
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
this ^dt+dem+++=this
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
expecting ^vbg+vprv++xvbgx+=expecting
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
block ^nn++++=block
before ^in++++=before
bedtime ^nn++++=bedtime.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bought ^vbd+++xvbnx+=bought
it ^pp3+it+++=it
all ^abn++++=all
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
flushed ^vbd+++xvbn+=flushed
and ^cc+phrs+++=and
kicked ^vbd+++xvbn+=kicked
at ^rb++++=at
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
coal ^nn++++=coal
with ^in++++=with
the ^ati++++=the
toe ^nn++++=toe
of ^in++++=of
his ^pp$+pp3+++=his
boot ^nn++++=boot.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
darned ^rb++++=darned
shame ^vb++++=shame!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
hotly ^rb++++=hotly.
. ^zz++++=EXTRAWORD
" ^zz++++="Jen
jen ^vb+++xvbn+=EXTRAWORD
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
cry ^vbi++++=cry
at ^in++++=at
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
fine ^jj+atrb+++=fine
neighborhood ^nn+nom+++=neighborhood
for ^in++++=for
Snooky ^np+++??+=Snooky
to ^to++++=to
grow ^vbi++++=grow
up ^rp++++=up
in ^in+strn+++=in!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
like ^in++++=like
that ^dt+dem+++=that
want ^vb++++=want
to ^to+vcmp+++=to
come ^vbi++++=come
into ^in+ppvb+++=into
a ^at++++=a
respectable ^jj+atrb+++=respectable
street ^nn++++=street
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
anyway ^rb+dspt+++=anyway?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
own ^ap++++=own
my ^pp$+pp1+++=my
home ^nr++++=home
and ^cc++++=and
pay ^vb++++=pay
my ^pp$+pp1+++=my
taxes ^nns++++=taxes--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
looked ^vbd+++xvbn+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
does ^vbz+doz+vrb++=does
she ^pp3a+pp3+++=she,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
interrupted ^vbd+++xvbnx+=interrupted.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
improve ^vb++++=improve
the ^ati++++=the
place ^nn++++=place--paint
-- ^--+clp+++=EXTRAWORD
paint ^nn++++=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vpsv++agls+xvbn+=put
in ^rb+phrv+++=in
a ^at++++=a
cellar ^nn++++=cellar
and ^cc++++=and
a ^at++++=a
furnace ^nn++++=furnace,
