Along ^in++++=Along
good ^jj+atrb+++=good
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Anyhow ^rb+cnj+++=Anyhow,
, ^zz++++=EXTRAWORD
Gray ^np++++=Gray
got ^vbd+++xvbn+=got
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
his ^pp$+pp3+++=his
friends ^nns++++=friends
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
gathered ^j+++xvbn+=gathered
his ^pp$+pp3+++=his
horses ^nns++++=horses
without ^in++++=without
attracting ^vbg+++xvbg+=attracting
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
within ^in++++=within
a ^at++++=a
day ^nn++++=day's
's ^$++++=EXTRAWORD
drive ^vb++++=drive
crossed ^vbd+++xvbn+=crossed
into ^in++++=into
the ^ati++++=the
Indian ^jj+atrb+++=Indian
Territory ^nn++++=Territory,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
could ^md+pos+++=could
defy ^vb++++=defy
all ^rb++++=all
the ^ati++++=the
sheriffs ^nns++++=sheriffs
in ^in++++=in
Texas ^np++++=Texas.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
this ^dt+dem+++=this
cold ^jj+atrb+++=cold
fact ^nn++++=fact
first ^od++++=first
dawned ^vprf+++xvbn+=dawned
on ^in+ppvb+++=on
Sheriff ^npt++++=Sheriff
Ninde ^np+++??+=Ninde,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hardly ^rb+down+++=hardly
control ^nn++++=control
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
brand ^nn++++=brand
of ^in++++=of
horses ^nns++++=horses
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
days ^nns++++=days
ahead ^rb+pl+++=ahead
of ^in++++=of
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
worried ^jj+++xvbn+=worried.
. ^zz++++=EXTRAWORD
The ^ati++++=The
effrontery ^nn+nom+++=effrontery
of ^in++++=of
any ^dti++++=any
man ^nn++++=man
to ^to++++=to
deny ^vbi+vpub+tht0++=deny
his ^pp$+pp3+++=his
authority ^nn+nom+++=authority--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
authority ^nn+nom+++=authority
of ^in++++=of
a ^at++++=a
duly ^rb++++=duly
elected ^vbd+++xvbn+=elected
sheriff ^nn++++=sheriff--was
-- ^--+clp+++=EXTRAWORD
was ^vbd+bedz+vrb++=EXTRAWORD
a ^at++++=a
reflection ^nn+nom+++=reflection
on ^in++++=on
his ^pp$+pp3+++=his
record ^nn++++=record.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
bondsmen ^jj+++xvbn+=bondsmen
began ^vbd+++xvbn+=began
to ^to++++=to
inquire ^vbi++++=inquire
into ^in++++=into
the ^ati++++=the
situation ^nn+nom+++=situation;
; ^zz++++=EXTRAWORD
in ^in++++=in
case ^nn++++=case
the ^ati++++=the
property ^nn++++=property
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
recovered ^vpsv++agls+xvbnx+=recovered,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they
liable ^jj++++=liable
as ^cs+sub+++=as
bondsmen ^vbd+++xvbn+=bondsmen?
? ^zz++++=EXTRAWORD
Things ^nns++++=Things
looked ^vbd+++xvbn+=looked
bad ^jj++++=bad
for ^in++++=for
the ^ati++++=the
sheriff ^nn++++=sheriff.
. ^zz++++=EXTRAWORD
The ^ati++++=The
local ^jj+atrb+++=local
papers ^nns++++=papers
in ^in++++=in
supporting ^xvbg+++xvbg+=supporting
his ^pp$+pp3+++=his
candidacy ^nn+nom+++=candidacy
for ^in++++=for
this ^dt+dem+++=this
office ^nn++++=office
had ^vb+hv+aux++=had
often ^rb++splt++=often
spoken ^vprf+++xvbnx+=spoken
of ^in++++=of
him ^pp3o+pp3+++=him
and ^cc++++=and
his ^pp$+pp3+++=his
chief ^jjb+atrb+++=chief
deputy ^nn++++=deputy
as ^in++++=as
human ^jj+atrb+++=human
bloodhounds, ^nn+++??+=bloodhounds,--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
terror ^nn++++=terror
to ^in++++=to
evil ^jj+atrb+++=evil
doers ^nns++++=doers.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
election ^nn+nom+++=election,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
maintained ^vbd+vpub++xvbnx+=maintained,
, ^zz++++=EXTRAWORD
meant ^j+++xvbn+=meant
a ^at++++=a
strict ^jj+atrb+++=strict
enforcement ^nn+nom+++=enforcement
of ^in++++=of
the ^ati++++=the
laws ^nns++++=laws,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assured ^vbd+vpub++xvbn+=assured
the ^ati++++=the
community ^nn+nom+++=community
that ^tht+rel+obj++=that
a ^at++++=a
better ^jjr+atrb+++=better
era ^nn++++=era
would ^md+prd+++=would
dawn ^vb++++=dawn
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
peace ^nn++++=peace
and ^cc++++=and
security ^nn+nom+++=security
of ^in++++=of
life ^nn++++=life
and ^cc++++=and
property ^nn++++=property.
. ^zz++++=EXTRAWORD
Ninde ^np+++??+=Ninde
was ^vbd+bedz+vrb++=was
resourceful ^jj+pred+++=resourceful
if ^cs+cnd+++=if
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
overtake ^vb++++=overtake
those ^dt+dem+++=those
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
overpower ^jjr++++=overpower
the ^ati++++=the
men ^nns++++=men
if ^cs+cnd+++=if
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bring ^vb++++=bring
back ^rb+phrv+++=back
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
bailiwick ^nn+++??+=bailiwick
that ^tht+rel+++=that
brand ^nn++++=brand
of ^in++++=of
horse ^nn++++=horse-stock.
- ^zz++++=EXTRAWORD
stock ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
plan ^nn++++=plan.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
Gray ^np++++=Gray
might ^md+pos+++=might
object ^vb++++=object,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
secondary ^jj+atrb+++=secondary
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
Sheriff ^npt++++=Sheriff
Ninde ^np+++??+=Ninde
would ^md+prd+++=would
take ^vb++++=take
time ^nn++++=time
to ^to++++=to
do ^vbi++++=do
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
made ^vprf+++xvbn+=made
one ^cd1++++=one
mistake ^nn++++=mistake,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
make ^vb++++=make
another ^dt++++=another
to ^in++++=to
right ^jj++++=right
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray
had ^vb+hv+vrb++=had
a ^at++++=a
brother ^nn++++=brother
living ^vwbg+++xvbg+=living
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
border ^nn++++=border
towns ^nns++++=towns
of ^in++++=of
Kansas ^np++++=Kansas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
thought ^vpsv++agls+xvbnx+=thought
he ^pp3a+pp3+++=he
would ^md+prd+++=would
head ^jjb++++=head
for ^in++++=for
this ^dt+dem+++=this
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
he ^pp3a+pp3+++=he
take ^vb++++=take
the ^ati++++=the
horses ^nns++++=horses
into ^in++++=into
the ^ati++++=the
State ^nn++++=State,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could
invoke ^vb++++=invoke
the ^ati++++=the
courts ^nns++++=courts
of ^in++++=of
another ^dt++++=another
State ^nn++++=State
and ^cc++++=and
get ^vb++++=get
other ^ap++++=other
sheriffs ^nns++++=sheriffs
to ^to++++=to
help ^vbi++++=help.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty
years ^nns++++=years
of ^in++++=of
experience ^nn+nom+++=experience
with ^in++++=with
an ^at++++=an
uncharitable ^jj+atrb+++=uncharitable
world ^nn++++=world
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
Gray ^np++++=Gray
distrustful ^jj++++=distrustful
of ^in++++=of
his ^pp$+pp3+++=his
fellow ^jjb+atrb+++=fellow
man ^nn++++=man,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
be ^vbi++vrb++=be
so ^rb++++=so.
. ^zz++++=EXTRAWORD
So ^ql++++=So
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
his ^pp$+pp3+++=his
brother ^nn++++=brother
in ^in++++=in
Kansas ^np++++=Kansas
without ^in++++=without
molestation ^nn+nom+++=molestation,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exercised ^vbd+++xvbnx+=exercised
caution ^nn+nom+++=caution
enough ^dt++++=enough
to ^to++++=to
leave ^vbi++++=leave
the ^ati++++=the
herd ^nn++++=herd
of ^in++++=of
horses ^nns++++=horses
in ^in++++=in
the ^ati++++=the
territory ^nn++++=territory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
courts ^nns++++=courts
of ^in++++=of
this ^dt+dem+++=this
neutral ^jj++++=neutral
strip ^vb++++=strip
were ^vbd+bed+vrb++=were
Federal ^jj+pred+++=Federal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
located ^vbd+++xvbn+=located
at ^rb++++=at
points ^nns++++=points
in ^in++++=in
adjoining ^xvbg+++xvbg+=adjoining
States ^nns++++=States,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
appeal ^nn++++=appeal
to ^in++++=to
them ^pp3o+pp3+++=them
in ^in++++=in
civil ^jj+atrb+++=civil
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
United ^np++++=United
States ^nns++++=States
marshals ^nns+nom+++=marshals
looked ^vbd+++xvbn+=looked
after ^in+ppvb+++=after
the ^ati++++=the
violators ^nns++++=violators
of ^in++++=of
law ^nn++++=law
against ^in++++=against
the ^ati++++=the
government ^nn+nom+++=government.
. ^zz++++=EXTRAWORD
Sheriff ^npt++++=Sheriff
Ninde ^np+++??+=Ninde
sent ^vbd+++xvbn+=sent
his ^pp$+pp3+++=his
deputy ^nn++++=deputy
to ^to++++=to
do ^vbi++++=do
the ^ati++++=the
Sherlock ^np++++=Sherlock
act ^nn++++=act
for ^in++++=for
him ^pp3o+pp3+++=him
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
horses ^nns++++=horses
were ^vbd+bed+aux++=were
located ^vpsv++agls+xvbnx+=located.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
the ^ati++++=the
deputy ^nn++++=deputy
had ^vb+hv+vrb++=had
no ^at++++=no
trouble ^nn++++=trouble
in ^in++++=in
doing ^xvbg+++xvbg+=doing,
