That ^dt+pdem+++=That
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
could ^md+pos+++=could
more ^rbr++splt++=more
easily ^rb++++=easily
imagine ^vb+vprv+++=imagine
Hell ^nn++++=Hell
without ^in++++=without
Satan ^np++++=Satan
than ^in++++=than
France ^np++++=France
without ^in++++=without
her ^pp$+pp3+++=her
valorous ^jj++++=valorous,
, ^zz++++=EXTRAWORD
glorious ^jj++++=glorious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jovial ^jj+atrb+++=jovial
kings ^nns++++=kings.
. ^zz++++=EXTRAWORD
So ^ql++++=So
you ^pp2+pp2+++=you
can ^md+pos+++=can
laugh ^vb++++=laugh
as ^ql++++=as
loudly ^rb++++=loudly
at ^in++++=at
those ^dt+dem+++=those
muckworms ^nns+++??+=muckworms
of ^in++++=of
philosophy ^nn++++=philosophy
who ^whp+rel+subj++=who
go ^vb++++=go
about ^in+ppvb+++=about
saying ^xvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
fathers ^nns+nom+++=fathers
were ^vbd+bed+vrb++=were
better ^jjr+pred+++=better,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
at ^rb++++=at
the ^ati++++=the
good ^jj++++=good,
, ^zz++++=EXTRAWORD
philanthropical ^jj+atrb+++=philanthropical
old ^jj+atrb+++=old
bunglers ^nns+nom+++=bunglers
who ^whp+rel+subj++=who
pretend ^vb+vprv+++=pretend
that ^tht+vcmp+++=that
mankind ^nn++++=mankind
is ^vbz+bez+vrb++=is
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
road ^npl++++=road
to ^in++++=to
perfection ^nn+nom+++=perfection.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
old ^jj+atrb+++=old
blind ^jj+atrb+++=blind
bats ^nns++++=bats,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
observe ^vb+vprv+++=observe
neither ^rb++neg++=neither
the ^ati++++=the
plumage ^nn+nom+++=plumage
of ^in++++=of
oysters ^nns+nom+++=oysters
nor ^cc++neg++=nor
the ^ati++++=the
shells ^nps++++=shells
of ^in++++=of
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
change ^nn++++=change
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
our ^pp$+pp1+++=our
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
Hip ^nn++++=Hip,
, ^zz++++=EXTRAWORD
hip ^nn++++=hip,
, ^zz++++=EXTRAWORD
huzzah ^nn+++??+=huzzah!
! ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
make ^vb++++=make
merry ^jj++++=merry
while ^cs+sub+++=while
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
young ^jj+pred+++=young.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
your ^pp$+pp2+++=your
throats ^nns++++=throats
wet ^jj++++=wet
and ^cc++++=and
your ^pp$+pp2+++=your
eyes ^nns++++=eyes
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
a ^at++++=a
hundredweight ^nn++++=hundredweight
of ^in++++=of
melancholy ^nn++++=melancholy
is ^vbz+bez+vrb++=is
worth ^in++++=worth
less ^rbr++++=less
than ^in++++=than
an ^at++++=an
ounce ^nn++++=ounce
of ^in++++=of
jollity ^nn+nom+++=jollity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wrong ^jj+atrb+++=wrong
doings ^nns++++=doings
of ^in++++=of
this ^dt+dem+++=this
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
lover ^nn++++=lover
of ^in++++=of
Queen ^npt++++=Queen
Isabella ^np+++??+=Isabella,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
doted ^vbd+++xvbnx+=doted
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
brought ^j+++xvbn+=brought
about ^in++++=about
pleasant ^jj+atrb+++=pleasant
adventures ^nns++++=adventures,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
wit ^nn++++=wit,
, ^zz++++=EXTRAWORD
of ^in++++=of
Alcibaidescal ^np+nom++??+=Alcibaidescal
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
chip ^nn++++=chip
off ^in+pl+++=off
the ^ati++++=the
old ^jj+atrb+++=old
block ^nn++++=block.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
who ^whp+who+++=who
first ^od++++=first
conceived ^vbd+++xvbn+=conceived
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
a ^at++++=a
relay ^nn++++=relay
of ^in++++=of
sweethearts ^nns+++??+=sweethearts,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
from ^in++++=from
Paris ^np++++=Paris
to ^in++++=to
Bordeaux ^np++++=Bordeaux,
, ^zz++++=EXTRAWORD
every ^at++++=every
time ^nn++++=time
he ^pp3a+pp3+++=he
unsettled ^jj++++=unsettled
his ^pp$+pp3+++=his
nag ^vb++++=nag
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
ready ^jj++++=ready
for ^in++++=for
him ^pp3o+pp3+++=him
a ^at++++=a
good ^jj+atrb+++=good
meal ^nn++++=meal
and ^cc++++=and
a ^at++++=a
bed ^nn++++=bed
with ^in++++=with
as ^ql++++=as
much ^ap++++=much
lace ^nn++++=lace
inside ^jjb++++=inside
as ^in++++=as
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince!
! ^zz++++=EXTRAWORD
who ^whp+who+++=who
died ^vbd+++xvbn+=died
on ^in++++=on
horseback ^nn++++=horseback,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
always ^rb++++=always
across ^in+pl+++=across
something ^pn++++=something
in ^in++++=in-doors
- ^zz++++=EXTRAWORD
doors ^nns++++=EXTRAWORD
and ^cc++++=and
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
his ^pp$+pp3+++=his
comical ^jj+atrb+++=comical
jokes ^nns++++=jokes
our ^pp$+pp1+++=our
most ^ap+emph+++=most
excellent ^jj+atrb+++=excellent
King ^nn++++=King
Louis ^np++++=Louis
the ^ati++++=the
Eleventh ^od++++=Eleventh
has ^vbz+hvz+aux++=has
given ^vprf+++xvbnx+=given
a ^at++++=a
splendid ^jj+atrb+++=splendid
sample ^nn++++=sample
in ^in++++=in
the ^ati++++=the
book ^nn++++=book
of ^in++++=of
" ^zz++++="Cent
cent ^nnu"++++=EXTRAWORD
Nouvelles ^np+++??+=Nouvelles
Nouvelles ^np+++??+=Nouvelles,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
written ^xvbn+++xvbn+=written
under ^in++++=under
his ^pp$+pp3+++=his
superintendence ^nn+nom+++=superintendence
during ^in++++=during
his ^pp$+pp3+++=his
exile ^nn++++=exile,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
Court ^nn++++=Court
of ^in++++=of
Burgundy ^np++++=Burgundy,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
long ^jj+atrb+++=long
evenings ^nns++++=evenings,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
amuse ^vb++++=amuse
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
and ^cc++++=and
his ^pp$+pp3+++=his
cousin ^nn++++=cousin
Charolois ^np+++??+=Charolois
would ^md+prd+++=would
relate ^vb++++=relate
to ^in++++=to
each ^dt++++=each
other ^ap++++=other
the ^ati++++=the
good ^jj+atrb+++=good
tricks ^nns++++=tricks
and ^cc++++=and
jokes ^nns++++=jokes
of ^in++++=of
the ^ati++++=the
period ^nn++++=period;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
hard ^jj+pred+++=hard
up ^rp++++=up
for ^in++++=for
true ^jj+atrb+++=true
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
courtiers ^nns+nom+++=courtiers
tried ^vbd+++xvbn+=tried
who ^whp+who+++=who
could ^md+pos+++=could
invent ^vb++++=invent
the ^ati++++=the
best ^jjt+atrb+++=best
one ^pn++++=one.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
out ^rp+pl+++=out
of ^in++++=of
respect ^nn++++=respect
for ^in++++=for
the ^ati++++=the
royal ^jj+atrb+++=royal
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dauphin ^np+++??+=Dauphin
has ^vbz+hvz+aux++=has
credited ^vprf+++xvbnx+=credited
a ^at++++=a
townsman ^nn+nom+++=townsman
with ^in++++=with
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
the ^ati++++=the
Lady ^nn++++=Lady
of ^in++++=of
Cany ^np+++??+=Cany.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
given ^vpsv++agls+xvbnx+=given
under ^in++++=under
the ^ati++++=the
title ^nn++++=title
of ^in++++=of
" ^zz++++="La
la ^&fw++++=EXTRAWORD
Medaille ^np+++??+=Medaille
a ^at++++=a
revers ^nn++++=revers",
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
collection ^nn+nom+++=collection
of ^in++++=of
which ^whp+rel+pied++=which
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
brightest ^jjt+atrb+++=brightest
jewels ^nns++++=jewels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commences ^nns+nom+++=commences
the ^ati++++=the
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
for ^in++++=for
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Duc ^np+++??+=Duc
d ^zz++++=d'Orleans
'orleans ^nns+nom+++0=EXTRAWORD
'd ^md+prd+vrb++=had
in ^in++++=in
his ^pp$+pp3+++=his
suite ^nn++++=suite
a ^at++++=a
lord ^npt++++=lord
of ^in++++=of
the ^ati++++=the
province ^nn++++=province
of ^in++++=of
Picardy ^np+++??+=Picardy,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Raoul ^np++++=Raoul
d ^zz++++=d'Hocquetonville,
'hocquetonville, ^nn+++??+=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
for ^in++++=for
a ^at++++=a
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
future ^jjb+atrb+++=future
trouble ^nn++++=trouble
of ^in++++=of
the ^ati++++=the
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
lady ^npt++++=lady
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Burgundy ^np++++=Burgundy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rich ^jj++++=rich
in ^in++++=in
domains ^nns++++=domains.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
an ^at++++=an
exception ^nn+nom+++=exception
to ^in++++=to
the ^ati++++=the
general ^nn++++=general
run ^vbd+++xvbn+=run
of ^in++++=of
heiresses ^nns+nom++??+=heiresses,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
of ^in++++=of
so ^ql+emph+++=so
dazzling ^jj+++xvbg+=dazzling
a ^at++++=a
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
all ^abn++++=all
the ^ati++++=the
ladies ^nns++++=ladies
of ^in++++=of
the ^ati++++=the
court ^nn++++=court,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
Queen ^nn++++=Queen
and ^cc++++=and
Madame ^npt++++=Madame
Valentine ^np++++=Valentine,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
the ^ati++++=the
shade ^nn++++=shade;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
as ^ql++++=as
nothing ^pn++++=nothing
in ^in++++=in
the ^ati++++=the
lady ^nn++++=lady
of ^in++++=of
Hocquetonville ^np+++??+=Hocquetonville,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
with ^in++++=with
her ^pp$+pp3+++=her
Burgundian ^np+++??+=Burgundian
consanguinity ^nn+nom+++=consanguinity,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
inheritances ^nns+nom++??+=inheritances,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
prettiness ^nns+nom+++=prettiness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gentle ^jj+atrb+++=gentle
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
these ^dt+dem+++=these
rare ^jj+atrb+++=rare
advantages ^nns+nom+++=advantages
received ^vbd+++xvbn+=received
a ^at++++=a
religious ^jj+atrb+++=religious
lustre ^nn++++=lustre
from ^in++++=from
her ^pp3o+pp3+++=her
supreme ^npt++++=supreme
innocence ^nn+nom+++=innocence,
, ^zz++++=EXTRAWORD
sweet ^jj+atrb+++=sweet
modesty ^nn++++=modesty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chaste ^jj+atrb+++=chaste
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Duke ^nn++++=Duke
had ^vb+hv+aux++=had
not ^xnot++not++=not
long ^rb++++=long
gazed ^vbd+++xvbn+=gazed
upon ^in++++=upon
this ^dt+dem+++=this
heaven ^nn++++=heaven-sent
- ^zz++++=EXTRAWORD
sent ^vwbn+++xvbn+=EXTRAWORD
flower ^nn++++=flower
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
seized ^vpsv++agls+xvbnx+=seized
with ^in++++=with
the ^ati++++=the
fever ^nn++++=fever
of ^in++++=of
love ^nn++++=love.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
into ^in+ppvb+++=into
a ^at++++=a
state ^nn++++=state
of ^in++++=of
melancholy ^nn++++=melancholy,
, ^zz++++=EXTRAWORD
frequented ^xvbn+++xvbn+=frequented
no ^at++++=no
bad ^jj+atrb+++=bad
places ^nns++++=places,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
with ^in++++=with
regret ^nn++++=regret
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
take ^vb++++=take
a ^at++++=a
bite ^vb++++=bite
at ^rb++++=at
his ^pp$+pp3+++=his
royal ^jj++++=royal
and ^cc+phrs+++=and
dainty ^jj+atrb+++=dainty
German ^jj+atrb+++=German
morsel ^nn+++??+=morsel
Isabella ^np+++??+=Isabella.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
passionate ^jj++++=passionate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swore ^vbd+vpub++xvbn+=swore
either ^dtx++++=either
by ^in++++=by
sorcery ^nn+nom+++=sorcery,
, ^zz++++=EXTRAWORD
by ^in++++=by
force ^nn++++=force,
, ^zz++++=EXTRAWORD
by ^in++++=by
trickery ^nn+nom+++=trickery,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
with ^in++++=with
her ^pp$+pp3+++=her
consent ^nn++++=consent,
, ^zz++++=EXTRAWORD
to ^to++++=to
enjoy ^vbi++++=enjoy
the ^ati++++=the
flavours ^nns++++=flavours
of ^in++++=of
this ^dt+dem+++=this
gentle ^jj+atrb+++=gentle
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
her ^pp$+pp3+++=her
sweet ^jj+atrb+++=sweet
body ^nn++++=body,
, ^zz++++=EXTRAWORD
forced ^xvbn+++xvbn+=forced
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
last ^jj+atrb+++=last
extremity ^nn+nom+++=extremity,
, ^zz++++=EXTRAWORD
during ^in++++=during
his ^pp$+pp3+++=his
now ^rn+tm+++=now
long ^jj+atrb+++=long
and ^cc+phrs+++=and
weary ^jj+atrb+++=weary
nights ^nns++++=nights.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pursued ^vbd+++xvbnx+=pursued
her ^pp$+pp3+++=her
with ^in++++=with
honied ^jj+atrb++xvbn+=honied
words ^nns++++=words,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
soon ^rb+tm+++=soon
knew ^vpsv++by+xvbn+=knew
by ^in++++=by
her ^pp$+pp3+++=her
untroubled ^vbd+++xvbn+=untroubled
air ^nn++++=air
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
remain ^vbi++++=remain
virtuous ^jj++++=virtuous,
, ^zz++++=EXTRAWORD
for ^in++++=for
without ^in++++=without
appearing ^nn++++=appearing
astonished ^vbd+++xvbn+=astonished
at ^rb++++=at
his ^pp$+pp3+++=his
proceedings ^nns++++=proceedings,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
getting ^vbg+++xvbg+=getting
angry ^jj++++=angry
like ^in++++=like
certain ^jj++++=certain
other ^ap++++=other
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
inform ^vb++++=inform
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not
desire ^nn++++=desire
to ^to+ncmp+++=to
trouble ^vb++++=trouble
myself ^ppl+pp1+++=myself
with ^in++++=with
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
other ^ap++++=other
persons ^nns++++=persons,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
despise ^vb++++=despise
the ^ati++++=the
joys ^nns++++=joys
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
therein ^rb++++=therein
to ^to++++=to
be ^vbi+vbi+aux++=be
experienced ^vpsv++agls+xvbnx+=experienced
( ^zz++++=(as
as ^in++++=EXTRAWORD
supreme ^npt++++=supreme
they ^pp3a+pp3+++=they
must ^md+nec+++=must
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
so ^ql++++=so
many ^ap++++=many
ladies ^nns++++=ladies
cast ^vbd+++xvbn+=cast
into ^in++++=into
the ^ati++++=the
abyss ^nn++++=abyss
of ^in++++=of
love ^nn++++=love
their ^pp$+pp3+++=their
homes ^nrs++++=homes,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
the ^ati++++=the
love ^nn++++=love
I ^pp1a+pp1+++=I
bear ^vb+vprv+tht0++=bear
my ^pp$+pp1+++=my
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
would ^md+prd+++=would
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
a ^at++++=a
blush ^nn++++=blush
upon ^in++++=upon
their ^pp$+pp3+++=their
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
this ^dt+dem+++=this
idea ^nn++++=idea
will ^md+prd+++=will
I ^pp1a+pp1+++=I
bring ^vb++++=bring
up ^rb+phrv+++=up
my ^pp$+pp1+++=my
daughters ^nns+nom+++=daughters--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
in ^in++++=in
virtue ^nn++++=virtue
alone ^rb++++=alone
is ^vbz+bez+vrb++=is
happiness ^nns+nom+++=happiness
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
our ^pp$+pp1+++=our
old ^jj+atrb+++=old
age ^nn++++=age
are ^vb+ber+vrb++=are
more ^rbr++++=more
numerous ^jj+pred+++=numerous
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
our ^pp$+pp1+++=our
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them
must ^md+nec+++=must
we ^pp1a+pp1+++=we
think ^vb+vprv+++=think.
. ^zz++++=EXTRAWORD
From ^in++++=From
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
brought ^vbd+++xvbn+=brought
me ^pp1o+pp1+++=me
up ^rp++++=up
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
to ^to+vcmp+++=to
properly ^rb++splt++=properly
estimate ^nn+nom+++=estimate
this ^dt+dem+++=this
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
everything ^pn++++=everything
therein ^rb++++=therein
is ^vbz+bez+vrb++=is
transitory ^jj+pred+++=transitory,
, ^zz++++=EXTRAWORD
except ^in++++=except
the ^ati++++=the
security ^nn+nom+++=security
of ^in++++=of
the ^ati++++=the
natural ^jj+atrb+++=natural
affections ^nns+nom+++=affections.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
for ^in++++=for
the ^ati++++=the
esteem ^nn++++=esteem
of ^in++++=of
everyone ^pn++++=everyone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^rb++++=above
all ^abn++++=all
that ^dt+dem+++=that
of ^in++++=of
my ^pp$+pp1+++=my
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
desire ^nn++++=desire
to ^to+ncmp+++=to
appear ^vbi+seem+++=appear
honest ^jj++++=honest
in ^in++++=in
his ^pp$+pp3+++=his
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
finished ^vprf+++xvbnx+=finished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
entreat ^nn+++??+=entreat
you ^pp2+pp2+++=you
to ^to++++=to
