For ^in++++=FOR
's ^$++++=EXTRAWORD
retirement ^nn+nom+++=retirement.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
attacked ^vbd+++xvbnx+=attacked
heaven ^nn++++=heaven
and ^cc++++=and
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
went ^vbd+++xvbn+=went
a ^at++++=a
step ^nn++++=step
higher ^jjr++++=higher--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
the ^ati++++=the
Viceroy ^npt++++=Viceroy.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
vice ^nn++++=vice-regal
- ^zz++++=EXTRAWORD
regal ^np++++=EXTRAWORD
ball ^nn++++=ball
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
the ^ati++++=the
curtains ^nns++++=curtains
of ^in++++=of
a ^at++++=a
window ^nn++++=window,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
rolling ^vbg+nom++xvbg+=rolling
violet ^np++++=violet-blue
- ^zz++++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
eyes ^nns++++=eyes
with ^in++++=with
a ^at++++=a
singular ^jj+atrb+++=singular
glitter ^nn++++=glitter
in ^in++++=in
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
reflection ^nn+nom+++=reflection
of ^in++++=of
the ^ati++++=the
Viceroy ^np++++=Viceroy's
's ^$++++=EXTRAWORD
star ^nn++++=star,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
his ^pp$+pp3+++=his
Excellency ^nn++++=Excellency
was ^vbd+bedz+aux++=was
hidden ^vpsv++agls+xvbnx+=hidden
in ^in++++=in
the ^ati++++=the
curtain ^nn++++=curtain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
him ^pp3o+pp3+++=him
saying ^nvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
now ^rn+tm+++=now!
! ^zz++++=EXTRAWORD
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
reply ^nn++++=reply
to ^in++++=to
her ^pp$+pp3+++=her
cooing ^nn++++=cooing
questioning ^vwbg+++xvbg+=questioning.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
a ^at++++=a
dash ^nn++++=dash
at ^in++++=at
me ^pp1o+pp1+++=me
and ^cc++++=and
captured ^vbd+++xvbn+=captured
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing
nothing ^pn++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
like ^in++++=like
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
men ^nns++++=men--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
silly ^jj+atrb+++=silly
boy ^nn++++=boy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out
something ^pn++++=something
about ^in++++=about
Sparkley ^np+++??+=Sparkley.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
will ^md+prd+++=will
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
out ^rp+pl+++=out
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
clinching ^vbg+++xvbg+=clinching
her ^pp$+pp3+++=her
thin ^jj+atrb+++=thin
little ^jj+atrb+++=little
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
more ^rbr++++=more,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
turning ^vbg+++xvbg+=turning
on ^rb+phrv+++=on
me ^pp1o+pp1+++=me
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
" ^zz++++="YOU
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall
help ^vb++++=help
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I?"
i ^pp1a+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
pretend ^vb+vprv+++=pretend!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
poutingly ^jj++++=poutingly.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
too ^ql++++=too
clever ^jj++++=clever
to ^to++++=to
believe ^vbi+vprv+tht0++=believe
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
cut ^vpsv++agls+xvbnx+=cut
up ^rb+phrv+++=up
over ^in++++=over
the ^ati++++=the
Millikens ^np+++??+=Millikens.
. ^zz++++=EXTRAWORD
No--it ^np++++=No--it's
's ^$++++=EXTRAWORD
something ^pn++++=something
awful ^jj++++=awful
or ^cc++++=or-another
- ^zz++++=EXTRAWORD
another ^dt++++=EXTRAWORD
woman ^nn++++=woman!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
as ^ql++++=as
much ^ap++++=much
of ^in++++=of
India ^np++++=India
as ^ql++++=as
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
go ^vb++++=go
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
liked--i ^nn+++??+=liked--I'd
'd ^md+prd+aux++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
Bungloore ^np+++??+=Bungloore
and ^cc++++=and
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
his ^pp$+pp3+++=his
address ^nns+nom+++=address?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Certainly!
certainly ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
expect ^vb+vprv+tht0++=expect
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
behind ^in+pl+++=behind
the ^ati++++=the
curtain ^nn++++=curtain
with ^in++++=with
the ^ati++++=the
Viceroy ^npt++++=Viceroy
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
opening ^nvbg+++xvbg+=opening
her ^pp3o+pp3+++=her
violet ^jj+atrb+++=violet
eyes ^nns++++=eyes
innocently ^rb++++=innocently.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Bungloore ^np+++??+=Bungloore--First
-- ^--+clp+++=EXTRAWORD
first ^rb++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning
to ^in++++=to
the ^ati++++=the
Right ^jj++++=Right--At
-- ^--+clp+++=EXTRAWORD
at ^rb++++=EXTRAWORD
the ^ati++++=the
End ^nn++++=End
of ^in++++=of
the ^ati++++=the
passage ^nn+nom+++=passage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bungloore ^np+++??+=Bungloore--near
-- ^--+clp+++=EXTRAWORD
near ^in+pl+++=EXTRAWORD
Ghouli ^np+++??+=Ghouli
Pass ^vb++++=Pass--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
the ^ati++++=the
Jungle ^nn++++=Jungle!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
a ^at++++=a
spot ^nn++++=spot
of ^in++++=of
dank ^nn+++??+=dank
pestilence ^nn+nom+++=pestilence
and ^cc++++=and
mystery ^nn+nom+++=mystery.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
never ^rb++++=never
could ^md+pos+++=could
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
What ^wdt+who+whcl++=WHAT
I ^pp1a+pp1+++=I
could ^md+pos+++=could
do ^vb+do+vrb++=do
for ^in++++=for
a ^at++++=a
Friend ^nn++++=FRIEND,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
sweetly ^rb+cnj+++=sweetly,
, ^zz++++=EXTRAWORD
veiling ^nn+nom+++=veiling
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
in ^in++++=in
demure ^jj+atrb+++=demure
significance ^nn+nom+++=significance.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
off ^in+pl+++=off
the ^ati++++=the
roof ^nn++++=roof!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
bluntly ^rb++++=bluntly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
be ^vb+be+vrb++=be
obedient ^jj+pred+++=obedient
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
without ^in++++=without
her ^pp$+pp3+++=her
revenge ^nn++++=revenge.
. ^zz++++=EXTRAWORD
" ^zz++++="Try
try ^vb++++=EXTRAWORD
to ^to+vcmp+++=to
remember ^nn+nom+++=remember
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
at ^rb++++=at
school ^vb++++=school
with ^in++++=with
the ^ati++++=the
Stalkies ^np+++??+=Stalkies,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
Bungloore, ^np+++??+=Bungloore,--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
on ^rp++++=on
her ^pp3o+pp3+++=her
account ^nn++++=account,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
India ^np++++=India,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
Bungloore ^np+++??+=Bungloore.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
that ^dt+pdem+++=that
and ^cc++++=and
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
An ^at++++=An
egg ^nn++++=egg
dropped ^vwbn+++xvbn+=dropped
by ^in++++=by
a ^at++++=a
vulture ^nn+++??+=vulture,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
upon ^in++++=upon
and ^cc++++=and
addled ^vpsv++by+xvbn+=addled
by ^in++++=by
the ^ati++++=the
Department ^nn+nom+++=Department.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
walked ^vbd+++xvbn+=walked
boldly ^rb++++=boldly
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
A ^at++++=A
lion ^nn++++=lion
walked ^vbd+++xvbn+=walked
out ^rp+pl+++=out
of ^in++++=of
one ^cd1++++=one
door ^nn++++=door
as ^ql++++=as
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
in ^in++++=in
at ^rb++++=at
another ^dt++++=another.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
times ^nns++++=times-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
amusing ^jj++++=amusing.
. ^zz++++=EXTRAWORD
A ^at++++=A
large ^jj+atrb+++=large
cobra ^nn+++??+=cobra
in ^in++++=in
the ^ati++++=the
hall ^npl++++=hall
rose ^vbd+++xvbn+=rose
up ^rp++++=up,
, ^zz++++=EXTRAWORD
bowed ^j+++xvbn+=bowed
as ^ql++++=as
I ^pp1a+pp1+++=I
passed ^vbd+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respectfully ^rb++++=respectfully
removed ^vbd+++xvbn+=removed
his ^pp$+pp3+++=his
hood ^nn++++=hood.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
boy ^nn++++=boy
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
passage ^nn+nom+++=passage
between ^in++++=between
Calais ^np++++=Calais
and ^cc++++=and
Dover, ^np+++??+=Dover,--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
so ^pn++++=so
green ^npl++++=green,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
limp ^jj++++=limp
and ^cc+phrs+++=and
dejected ^jj++++=dejected.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
affected ^vbd+++xvbnx+=affected
not ^xnot++not++=not
to ^in++++=to
notice ^nn++++=notice
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
threw ^vbd+++xvbn+=threw
myself ^ppl+pp1+++=myself
in ^in++++=in
a ^at++++=a
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gazed ^vbd+++xvbnx+=gazed
at ^rb++++=at
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
then ^rn+tm+++=then
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
what ^wdt+who+whcl++=what
the ^ati++++=the
chair ^nn++++=chair
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
bamboo ^nn+++??+=bamboo
armchair ^nn++++=armchair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
creaked ^vprf+++xvbnx+=creaked
after ^in++++=after
the ^ati++++=the
usual ^jj+atrb+++=usual
fashion ^nn++++=fashion
of ^in++++=of
bamboo ^nn+++??+=bamboo
chairs ^nns++++=chairs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
so ^ql++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
cast ^vbd+++xvbnx+=cast
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
to ^in++++=to
the ^ati++++=the
ceiling ^nn+nom+++=ceiling.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
calls ^nns++++=calls
it ^pp3+it+++=it
' ^zz++++='creaking,'"
creaking, ^nn+++??+=EXTRAWORD
'" ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
murmured ^vbd+++xvbnx+=murmured.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
matter ^nn++++=matter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
" ^zz++++="its
its ^pp$+it+++=EXTRAWORD
remark ^nn++++=remark
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
of ^in++++=of
a ^at++++=a
complimentary ^jj+atrb+++=complimentary
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
difficult ^jj++++=difficult
