Possibly ^rb++++=Possibly
on ^in++++=on
the ^ati++++=the
highroad ^nn++++=highroad
to ^in++++=to
recovery ^nn+nom+++=recovery.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
after ^in++++=after
an ^at++++=an
absence ^nn+nom+++=absence
of ^in++++=of
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
all ^abn++++=all
told ^vbd+vpub++xvbn+=told,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
turned ^vbd+++xvbn+=turned
the ^ati++++=the
Reindeer ^np+nom+++=Reindeer's
's ^$++++=EXTRAWORD
nose ^nn++++=nose
toward ^in++++=toward
Benicia ^np+++??+=Benicia.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
cat ^nn++++=cat's
's ^$++++=EXTRAWORD
away ^rp+pl+++=away
the ^ati++++=the
mice ^nns++++=mice
will ^md+prd+++=will
play ^vb++++=play,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
these ^dt+dem+++=these
four ^cd++++=four
weeks ^nns++++=weeks
the ^ati++++=the
fishermen ^nns++++=fishermen
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
very ^ql+amp+++=very
bold ^np++++=bold
in ^in++++=in
violating ^xvbg+++xvbg+=violating
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
passed ^vbd+++xvbn+=passed
Point ^nn++++=Point
Pedro ^np++++=Pedro
we ^pp1a+pp1+++=we
noticed ^vbd+vprv++xvbn+=noticed
many ^ap++++=many
signs ^nns++++=signs
of ^in++++=of
activity ^nn+nom+++=activity
among ^in++++=among
the ^ati++++=the
shrimp ^nn+++??+=shrimp-catchers,
- ^zz++++=EXTRAWORD
catchers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
into ^in++++=into
San ^np++++=San
Pablo ^np+++??+=Pablo
Bay ^nn++++=Bay,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
a ^at++++=a
widely ^rb++++=widely
scattered ^xvbn+++xvbn+=scattered
fleet ^np++++=fleet
of ^in++++=of
Upper ^jjb++++=Upper
Bay ^npl++++=Bay
fishing ^vwbg+++xvbg+=fishing-boats
- ^zz++++=EXTRAWORD
boats ^nns++++=EXTRAWORD
hastily ^rb++++=hastily
pulling ^jj+++xvbg+=pulling
in ^in++++=in
their ^pp$+pp3+++=their
nets ^nns++++=nets
and ^cc++++=and
getting ^vbg+++xvbg+=getting
up ^rp++++=up
sail ^nn++++=sail.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
suspicious ^jj+pred+++=suspicious
enough ^dt++++=enough
to ^in++++=to
warrant ^nn+nom+++=warrant
investigation ^nn+nom+++=investigation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^od++++=first
and ^cc++++=and
only ^rb+down+++=only
boat ^nn++++=boat
we ^pp1a+pp1+++=we
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
boarding ^nn++++=boarding
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
have ^vbi++vrb++=have
an ^at++++=an
illegal ^jj++++=illegal
net ^jjb++++=net.
. ^zz++++=EXTRAWORD
The ^ati++++=The
law ^nn++++=law
permitted ^vbd+++xvbn+=permitted
no ^at++++=no
smaller ^jjr+atrb+++=smaller
mesh ^nn++++=mesh
for ^in++++=for
catching ^xvbg+++xvbg+=catching
shad ^nn++++=shad
than ^in++++=than
one ^cd1++++=one
that ^dt+pdem+++=that
measured ^vbd+++xvbn+=measured
seven ^cd++++=seven
and ^cc++++=and
one ^cd1++++=one-half
- ^zz++++=EXTRAWORD
half ^abn++++=EXTRAWORD
inches ^nns++++=inches
inside ^jjb++++=inside
the ^ati++++=the
knots ^nns++++=knots,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
mesh ^nn++++=mesh
of ^in++++=of
this ^dt+dem+++=this
particular ^jj++++=particular
net ^jjb++++=net
measured ^jj+++xvbn+=measured
only ^rb+down+++=only
three ^cd++++=three
inches ^nns++++=inches.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
flagrant ^jj+atrb+++=flagrant
breach ^nn++++=breach
of ^in++++=of
the ^ati++++=the
rules ^nns++++=rules,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
fishermen ^nns++++=fishermen
were ^vbd+bed+aux++=were
forthwith ^rb++splt++=forthwith
put ^vpsv++agls+xvbnx+=put
under ^in++++=under
arrest ^nn++++=arrest.
. ^zz++++=EXTRAWORD
Neil ^np++++=Neil
Partington ^np+++??+=Partington
took ^vbd+++xvbn+=took
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
with ^in++++=with
him ^pp3o+pp3+++=him
to ^to++++=to
help ^vbi++++=help
manage ^vb++++=manage
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Charley ^np++++=Charley
and ^cc++++=and
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
on ^in++++=on
ahead ^rb+pl+++=ahead
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
in ^in++++=in
the ^ati++++=the
captured ^jj+atrb++xvbn+=captured
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
shad ^nn++++=shad
fleet ^nn++++=fleet
had ^vbd+hvd+aux++=had
headed ^vprf+++xvbnx+=headed
over ^in++++=over
toward ^in++++=toward
the ^ati++++=the
Petaluma ^np+++??+=Petaluma
shore ^nn++++=shore
in ^in++++=in
wild ^jj+atrb+++=wild
flight ^nn++++=flight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
run ^nn++++=run
through ^in++++=through
San ^np++++=San
Pablo ^np+++??+=Pablo
Bay ^nn++++=Bay
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
no ^at++++=no
more ^ql++++=more
fishermen ^nns++++=fishermen
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
prisoner ^nn+nom+++=prisoner,
, ^zz++++=EXTRAWORD
a ^at++++=a
bronzed ^jj+atrb++xvbn+=bronzed
and ^cc+phrs+++=and
bearded ^jj+atrb+++=bearded
Greek ^nn++++=Greek,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
sullenly ^rb++++=sullenly
on ^in++++=on
his ^pp$+pp3+++=his
net ^jjb++++=net
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
sailed ^vbd+++xvbn+=sailed
his ^pp$+pp3+++=his
craft ^nn++++=craft.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
new ^jj+atrb+++=new
Columbia ^np++++=Columbia
River ^nn++++=River
salmon ^nn++++=salmon
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
evidently ^rb++++=evidently
on ^in++++=on
its ^pp$+it+++=its
first ^rb++++=first
trip ^nn++++=trip,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
handled ^vbd+++xvbn+=handled
splendidly ^rb++++=splendidly.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
Charley ^np++++=Charley
praised ^vbd+++xvbn+=praised
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
prisoner ^nn+nom+++=prisoner
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
speak ^vbi++++=speak
or ^cc++++=or
to ^in++++=to
notice ^nn++++=notice
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
soon ^rb+tm+++=soon
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
up ^rp++++=up
as ^in++++=as
a ^at++++=a
most ^ql+emph+++=most
unsociable ^jj++++=unsociable
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ran ^vbd+++xvbn+=ran
up ^rp++++=up
the ^ati++++=the
Carquinez ^np+++??+=Carquinez
Straits ^nns++++=Straits
and ^cc++++=and
edged ^vpsv++agls+xvbn+=edged
into ^in++++=into
the ^ati++++=the
bight ^nn+++??+=bight
at ^rb++++=at
Turner ^np++++=Turner's
's ^$++++=EXTRAWORD
Shipyard ^nn++++=Shipyard
for ^in++++=for
smoother ^jjr+atrb+++=smoother
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
were ^vbd+bed+aux++=were
lying ^vbg+++xvbgx+=lying
several ^ap++++=several
English ^jj+atrb+++=English
steel ^nn++++=steel
sailing ^vwbg+++xvbg+=sailing
ships ^nns++++=ships,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
wheat ^nn++++=wheat
harvest ^nn++++=harvest;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
unexpectedly ^rb+cnj+++=unexpectedly,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
precise ^jj+atrb+++=precise
place ^nn++++=place
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
captured ^vprf+++xvbnx+=captured
Big ^jj+atrb+++=Big
Alec ^np++++=Alec,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
two ^cd++++=two
Italians ^nn++++=Italians
in ^in++++=in
a ^at++++=a
skiff ^nn+++??+=skiff
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
loaded ^vpsv++agls+xvbnx+=loaded
with ^in++++=with
a ^at++++=a
complete ^jj++++=complete
" ^zz++++="Chinese"
chinese ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sturgeon ^nn++++=sturgeon
line ^nn++++=line.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surprise ^nn++++=surprise
was ^vbd+bedz+vrb++=was
mutual ^jj+pred+++=mutual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
on ^in++++=on
top ^nn++++=top
of ^in++++=of
them ^pp3o+pp3+++=them
before ^cs+sub+++=before
either ^dtx++++=either
they ^pp3a+pp3+++=they
or ^cc++++=or
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
aware ^jj+pred+++=aware.
. ^zz++++=EXTRAWORD
Charley ^np++++=Charley
had ^vb+hv+vrb++=had
barely ^rb+down+++=barely
time ^nn++++=time
to ^in++++=to
luff ^nn+++??+=luff
into ^in++++=into
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
run ^vb+++xvbn+=run
up ^in+cmpx+++=up
to ^in"++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
forward ^rb++++=forward
and ^cc++++=and
tossed ^vbd+++xvbn+=tossed
them ^pp3o+pp3+++=them
a ^at++++=a
line ^nn++++=line
with ^in++++=with
orders ^vb++++=orders
to ^to+vcmp+++=to
make ^vbi++++=make
it ^pp3+it+++=it
fast ^jj++++=fast.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
Italians ^nn++++=Italians
took ^vbd+++xvbn+=took
a ^at++++=a
turn ^nn++++=turn
with ^in++++=with
it ^pp3+it+++=it
over ^in++++=over
a ^at++++=a
cleat ^nn+++??+=cleat,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
hastened ^vbd+++xvbnx+=hastened
to ^in++++=to
lower ^jjr++++=lower
our ^pp$+pp1+++=our
big ^jj+atrb+++=big
spritsail ^nn+++??+=spritsail.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
accomplished ^jj+++xvbn+=accomplished,
, ^zz++++=EXTRAWORD
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat
dropped ^vbd+++xvbn+=dropped
astern ^rb+cnj+++=astern,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
heavily ^rb++++=heavily
on ^in++++=on
the ^ati++++=the
skiff ^nn+++??+=skiff.
. ^zz++++=EXTRAWORD
Charley ^np++++=Charley
came ^vbd+++xvbn+=came
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
board ^nn++++=board
the ^ati++++=the
prize ^nn++++=prize,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
proceeded ^vbd+++xvbnx+=proceeded
to ^to++++=to
haul ^vbi++++=haul
alongside ^in+pl+++=alongside
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
the ^ati++++=the
line ^nn++++=line,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Italians ^nn++++=Italians
cast ^vbd+++xvbn+=cast
it ^pp3+it+++=it
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
at ^rb++++=at
once ^rb"+tm+++=once
began ^vbd+++xvbn+=began
drifting ^jj+++xvbg+=drifting
to ^in++++=to
leeward ^rb+cnj+++=leeward,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
out ^rb+phrv+++=out
two ^cd++++=two
pairs ^nns++++=pairs
of ^in++++=of
oars ^nns+++??+=oars
and ^cc++++=and
rowed ^vbd+++xvbn+=rowed
their ^pp$+pp3+++=their
light ^jj+atrb+++=light
craft ^nn++++=craft
directly ^rb++++=directly
into ^in++++=into
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
manoeuvre ^nn++++=manoeuvre
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment
disconcerted ^vbd+++xvbn+=disconcerted
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
our ^pp$+pp1+++=our
large ^jj++++=large
and ^cc++++=and
heavily ^rb++++=heavily
loaded ^jj+atrb++xvbn+=loaded
boat ^nn++++=boat
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
hope ^vb++++=hope
to ^to+vcmp+++=to
catch ^vbi++++=catch
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
oars ^nns+++??+=oars.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
our ^pp$+pp1+++=our
prisoner ^nn+nom+++=prisoner
came ^vbd+++xvbn+=came
unexpectedly ^rb++++=unexpectedly
to ^in++++=to
our ^pp$+pp1+++=our
aid ^nn++++=aid.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
black ^jj+atrb+++=black
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
flashing ^vbg+++xvbgx+=flashing
eagerly ^rb+cnj+++=eagerly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+aux++=was
flushed ^vpsv++agls+xvbnx+=flushed
with ^in++++=with
suppressed ^jj+atrb++xvbn+=suppressed
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
the ^ati++++=the
centre ^nn++++=centre-board,
- ^zz++++=EXTRAWORD
board ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sprang ^j+++xvbn+=sprang
forward ^rb++++=forward
with ^in++++=with
a ^at++++=a
single ^jj+atrb+++=single
leap ^nn++++=leap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
up ^rb+phrv+++=up
the ^ati++++=the
sail ^nn++++=sail.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
always ^rb++splt++=always
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
Greeks ^nn++++=Greeks
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
Italians ^nn++++=Italians,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Charley ^np++++=Charley
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
aft ^jjb++++=aft
to ^in++++=to
the ^ati++++=the
tiller ^nn++++=tiller.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
never ^rb++++=never
in ^in++++=in
my ^pp$+pp1+++=my
experience ^nn+nom+++=experience
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
seen ^vbd+vprv++xvbnx+=seen
a ^at++++=a
man ^nn++++=man
so ^rb+emph+++=so
anxious ^jj++++=anxious
for ^in++++=for
the ^ati++++=the
capture ^nn++++=capture
of ^in++++=of
another ^dt++++=another
as ^ql++++=as
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
prisoner ^nn+nom+++=prisoner
in ^in++++=in
the ^ati++++=the
chase ^nn++++=chase
that ^tht+rel+++=that
followed ^jj+++xvbn+=followed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
fairly ^rb++++=fairly
snapped ^vbd+++xvbn+=snapped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
nostrils ^nns++++=nostrils
quivered ^vbd+++xvbn+=quivered
and ^cc+phrs+++=and
dilated ^vbd+++xvbn+=dilated
in ^in++++=in
a ^at++++=a
most ^ql+emph+++=most
extraordinary ^jj+atrb+++=extraordinary
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Charley ^np++++=Charley
steered ^vbd+++xvbn+=steered
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
tended ^vbd+++xvbnx+=tended
the ^ati++++=the
sheet ^nn++++=sheet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
Charley ^np++++=Charley
was ^vbd+bedz+vrb++=was
as ^ql++++=as
quick ^jj++++=quick
and ^cc++++=and
alert ^nn++++=alert
as ^ql++++=as
a ^at++++=a
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Greek ^nn++++=Greek
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
control ^vb++++=control
his ^pp$+pp3+++=his
impatience ^nn+nom+++=impatience.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Italians ^nn++++=Italians
were ^vbd+bed+aux++=were
cut ^vpsv++agls+xvbnx+=cut
off ^rb+phrv+++=off
from ^in++++=from
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
fully ^rb+amp+++=fully
a ^at++++=a
mile ^nn++++=mile
away ^rp+pl+++=away
at ^in++++=at
its ^pp$+it+++=its
nearest ^jjt+atrb+++=nearest
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
they ^pp3a+pp3+++=they
attempt ^vb++++=attempt
to ^to+vcmp+++=to
make ^vbi++++=make
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
haul ^vb++++=haul
after ^in++++=after
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
wind ^nn++++=wind
abeam ^nn+++??+=abeam,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
overtake ^vb++++=overtake
them ^pp3o+pp3+++=them
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
covered ^vprf+++xvbnx+=covered
an ^at++++=an
eighth ^od++++=eighth
of ^in++++=of
the ^ati++++=the
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
too ^ql++++=too
wise ^jj++++=wise
to ^to+jcmp+++=to
attempt ^vb++++=attempt
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
contenting ^jj+++xvbg+=contenting
themselves ^ppls+pp3+++=themselves
with ^in++++=with
rowing ^xvbg+++xvbg+=rowing
lustily ^rb++++=lustily
to ^in++++=to
windward ^jjb++++=windward
along ^in++++=along
the ^ati++++=the
starboard ^nn++++=starboard
side ^nn++++=side
of ^in++++=of
a ^at++++=a
big ^jj+atrb+++=big
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
beyond ^in++++=beyond
the ^ati++++=the
ship ^nn++++=ship
lay ^vbd+++xvbn+=lay
an ^at++++=an
open ^jj+atrb+++=open
stretch ^nn++++=stretch
of ^in++++=of
fully ^rb+amp+++=fully
two ^cd++++=two
miles ^nns++++=miles
to ^in++++=to
the ^ati++++=the
shore ^nn++++=shore
in ^cs+sub+++=in
that ^cs"++++=that
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
dared ^vb+vbd+vrb+xvbnx+=dared
not ^xnot++not++=not
attempt ^nn++++=attempt,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
catch ^vbi++++=catch
them ^pp3o+pp3+++=them
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
could ^md+pos+++=could
cover ^vb++++=cover
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
bow ^nn++++=bow
of ^in++++=of
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
remained ^vbd+++xvbn+=remained
but ^cc++++=but
to ^to++++=to
pass ^vbi++++=pass
around ^in++++=around
and ^cc++++=and
row ^nn++++=row
down ^rp++++=down
her ^pp3o+pp3+++=her
port ^npl++++=port
side ^nn++++=side
toward ^in++++=toward
the ^ati++++=the
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
meant ^vbd+vprv++xvbn+=meant
rowing ^nvbg+++xvbg+=rowing
to ^in++++=to
leeward ^rb++++=leeward
and ^cc++++=and
giving ^jj+++xvbg+=giving
us ^pp1o+pp1+++=us
the ^ati++++=the
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
in ^in++++=in
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
sailing ^nvbg+++xvbg+=sailing
close ^jj++++=close
on ^in++++=on
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
tacked ^j+++xvbn+=tacked
about ^in++++=about
and ^cc++++=and
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Charley ^np++++=Charley
put ^vbd+++xvbn+=put
up ^rb+phrv+++=up
the ^ati++++=the
tiller ^nn++++=tiller
and ^cc++++=and
headed ^vbd+++xvbn+=headed
down ^rp++++=down
the ^ati++++=the
port ^nn++++=port
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Greek ^nn++++=Greek
letting ^vwbg+++xvbg+=letting
out ^rp+pl+++=out
the ^ati++++=the
sheet ^nn++++=sheet
and ^cc++++=and
grinning ^jj+++xvbg+=grinning
with ^in++++=with
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Italians ^nn++++=Italians
were ^vbd+bed+vrb++=were
already ^rb++++=already
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
down ^in++++=down
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
length ^nn++++=length;
