Our ^pp$+pp1+++=Our
dismembered ^jj+atrb++xvbn+=dismembered
empire ^nn++++=empire
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
to ^in++++=to
God ^np++++=God,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
hardly ^rb+down+++=hardly
repressing ^vbg+++xvbg+=repressing
his ^pp$+pp3+++=his
tears ^nns++++=tears
of ^in++++=of
rage ^nn++++=rage,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
the ^ati++++=the
rebels ^nns++++=rebels
were ^vbd+bed+vrb++=were
even ^rb++++=even
now ^rn+tm+++=now
at ^in++++=at
the ^ati++++=the
doorstep ^nn++++=doorstep!
! ^zz++++=EXTRAWORD
A ^at++++=A
blood ^nn++++=blood-stain
- ^zz++++=EXTRAWORD
stain ^nn++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor
should ^md+nec+++=should
then ^rn+tm+splt++=then
bear ^vb+vprv+++=bear
testimony ^nn++++=testimony
that ^tht+rel+obj++=that
the ^ati++++=the
last ^ap++++=last
British ^jj+atrb+++=British
ruler ^nn++++=ruler
was ^vbd+bedz+vrb++=was
faithful ^jj+pred+++=faithful
to ^in++++=to
his ^pp$+pp3+++=his
trust ^nn++++=trust."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
tremulous ^jj+atrb+++=tremulous
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
replied ^vbd+vpub++xvbn+=replied
to ^in++++=to
his ^pp$+pp3+++=his
exclamation ^nn+nom+++=exclamation.
. ^zz++++=EXTRAWORD
" ^zz++++="Heaven's
heaven ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
cause ^nn++++=cause
and ^cc++++=and
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
are ^vb+ber+vrb++=are
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
William ^np++++=William
Howe ^np++++=Howe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trust ^nn++++=trust
in ^in++++=in
Heaven ^nn++++=Heaven
to ^to++++=to
bring ^vbi++++=bring
back ^rb+phrv+++=back
a ^at++++=a
Royal ^jj+atrb+++=Royal
Governor ^nn++++=Governor
in ^in++++=in
triumph ^nn++++=triumph."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Subduing ^np+++??+=Subduing,
, ^zz++++=EXTRAWORD
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
the ^ati++++=the
passion ^nn++++=passion
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
yielded ^vprf+++xvbnx+=yielded
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
faith ^nn++++=faith
that ^tht+rel+obj++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
unwitnessed ^vpsv++agls+xvbnx+=unwitnessed,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
William ^np++++=William
Howe ^np++++=Howe
became ^vbd+++xvbn+=became
conscious ^jj++++=conscious
that ^tht+jcmp+++=that
an ^at++++=an
aged ^jj+atrb+++=aged
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
on ^in++++=on
a ^at++++=a
gold ^nn++++=gold-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
staff ^nn++++=staff,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
betwixt ^nn+++??+=betwixt
him ^pp3o+pp3+++=him
and ^cc++++=and
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
old ^jj+atrb+++=old
Esther ^np++++=Esther
Dudley ^np++++=Dudley,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
dwelt ^vprf+++xvbnx+=dwelt
almost ^rb+hdg+++=almost
immemorial ^jj+atrb+++=immemorial
years ^nns++++=years
in ^in++++=in
this ^dt+dem+++=this
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
her ^pp3o+pp3+++=her
presence ^nn+nom+++=presence
seemed ^vbd+seem++xvbn+=seemed
as ^ql++++=as
inseparable ^jj++++=inseparable
from ^in++++=from
it ^pp3+it+++=it
as ^in++++=as
the ^ati++++=the
recollections ^nns+nom+++=recollections
of ^in++++=of
its ^pp$+it+++=its
history ^nn++++=history.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
an ^at++++=an
ancient ^jj++++=ancient
and ^cc++++=and
once ^rb+tm+++=once
eminent ^jj+atrb+++=eminent
family ^nn++++=family,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
poverty ^nn++++=poverty
and ^cc++++=and
decay ^nn++++=decay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vbd+++xvbn+=left
its ^pp$+it+++=its
last ^jj+atrb+++=last
descendant ^nn+nom+++=descendant
no ^at++++=no
resource ^nn++++=resource
save ^in++++=save
the ^ati++++=the
bounty ^nn++++=bounty
of ^in++++=of
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
any ^dti++++=any
shelter ^nn++++=shelter
except ^in++++=except
within ^in++++=within
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House.
. ^zz++++=EXTRAWORD
An ^at++++=An
office ^nn++++=office
in ^in++++=in
the ^ati++++=the
household ^nn++++=household,
, ^zz++++=EXTRAWORD
with ^in++++=with
merely ^rb+down+++=merely
nominal ^jj+atrb+++=nominal
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
her ^pp$+pp3+++=her
as ^in++++=as
a ^at++++=a
pretext ^nn++++=pretext
for ^in++++=for
the ^ati++++=the
payment ^nn+nom+++=payment
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
pension ^nn++++=pension,
, ^zz++++=EXTRAWORD
the ^ati++++=the
greater ^jjr+atrb+++=greater
part ^nn++++=part
of ^in++++=of
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
expended ^vwbn+++xvbn+=expended
in ^in++++=in
adorning ^xvbg+++xvbg+=adorning
herself ^ppl+pp3+++=herself
with ^in++++=with
an ^at++++=an
antique ^jj+atrb+++=antique
magnificence ^nn+nom+++=magnificence
of ^in++++=of
attire ^nn++++=attire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
claims ^nns++++=claims
of ^in++++=of
Esther ^np++++=Esther
Dudley ^np++++=Dudley's
's ^$++++=EXTRAWORD
gentle ^jj+atrb+++=gentle
blood ^nn++++=blood
were ^vbd+bed+aux++=were
acknowledged ^vpsv++by+xvbnx+=acknowledged
by ^in++++=by
all ^abn++++=all
the ^ati++++=the
successive ^jj+atrb+++=successive
Governors ^npts++++=Governors;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
treated ^vbd+++xvbnx+=treated
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
punctilious ^jj+atrb+++=punctilious
courtesy ^nn++++=courtesy
which ^whp+rel+obj++=which
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
foible ^nn++++=foible
to ^in++++=to
demand ^nn++++=demand,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
always ^rb++++=always
with ^in++++=with
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
neglectful ^jj+atrb+++=neglectful
world ^nn++++=world.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+down+++=only
actual ^jj+atrb+++=actual
share ^nn++++=share
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
assumed ^vbd+vprv++xvbnx+=assumed
in ^in++++=in
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
the ^ati++++=the
mansion ^nn++++=mansion
was ^vbd+bedz+aux++=was
to ^to++++=to
glide ^vbi++++=glide
through ^in++++=through
its ^pp$+it+++=its
passages ^nns+nom+++=passages
and ^cc++++=and
public ^jj+atrb+++=public
chambers ^nns+nom+++=chambers,
, ^zz++++=EXTRAWORD
late ^jj++++=late
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
servants ^nns+nom+++=servants
had ^vbd+hvd+aux++=had
dropped ^vprf+++xvbnx+=dropped
no ^at++++=no
fire ^nn++++=fire
from ^in++++=from
their ^pp$+pp3+++=their
flaring ^jj+atrb+++=flaring
torches ^nns++++=torches,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
left ^jj+atrb++xvbn+=left
embers ^nns++++=embers
crackling ^nn+nom+++=crackling
and ^cc++++=and
blazing ^jj++++=blazing
on ^in++++=on
the ^ati++++=the
hearths ^nns++++=hearths.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
invariable ^jj+atrb+++=invariable
custom ^nn++++=custom
of ^in++++=of
walking ^xvbg+++xvbg+=walking
her ^pp3o+pp3+++=her
rounds ^nns++++=rounds
in ^in++++=in
