Mrs ^npt++++=Mrs.
he ^pp3a+pp3+++=he
happen ^vb+++??+=happen
to ^to+vcmp+++=to
be ^vbi++vrb++=be
aware ^jj+pred+++=aware
that ^tht+jcmp+++=that
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
money ^nn++++=money
was ^vbd+bedz+vrb++=was
all ^abn++++=all
in ^in++++=in
the ^ati++++=the
house ^nn++++=house?
? ^zz++++=EXTRAWORD
Evidently ^rb++++=Evidently
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
else ^rb+cnj+++=else
could ^md+pos+++=could
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
that ^dt+dem+++=that
money ^nn++++=money
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken,
, ^zz++++=EXTRAWORD
nobody ^pn++++=nobody
would ^md+prd+++=would
believe ^vb+vprv+++=believe
the ^ati++++=the
story ^nn++++=story;
; ^zz++++=EXTRAWORD
Tom ^np++++=Tom
would ^md+prd+++=would
be ^vb+be+aux++=be
cashiered ^vpsv++agls+xvbnx+=cashiered;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
could ^md+pos+++=could
live ^vb++++=live
through ^in++++=through
the ^ati++++=the
disgrace ^nn+++??+=disgrace;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
die ^vb++++=die
of ^in++++=of
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
of ^in++++=of
another ^dt++++=another.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
out ^rp+pl+++=out
to ^in++++=to
this ^dt+dem+++=this
remote ^jj+atrb+++=remote
and ^cc+phrs+++=and
lonesome ^jj+atrb+++=lonesome
country ^nn++++=country
to ^to++++=to
build ^vbi++++=build
up ^rp++++=up
a ^at++++=a
home ^nr++++=home
and ^cc++++=and
a ^at++++=a
fortune ^nn++++=fortune;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
many ^ap++++=many
people ^nns++++=people
would ^md+prd+++=would
be ^vb+be+vrb++=be
stricken ^jj+pred+++=stricken
with ^in++++=with
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
mischance ^nn+nom+++=mischance
for ^in++++=for
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left
with ^in++++=with
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
in ^in++++=in
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
little ^ap++++=little,
, ^zz++++=EXTRAWORD
weak ^jj+atrb+++=weak,
, ^zz++++=EXTRAWORD
trembling ^jj+atrb++xvbg+=trembling
hands ^nns++++=hands
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
good ^jj+atrb+++=good
name ^nn++++=name
and ^cc++++=and
his ^pp$+pp3+++=his
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
the ^ati++++=the
welfare ^nn++++=welfare
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
family ^nn++++=family,
, ^zz++++=EXTRAWORD
the ^ati++++=the
livelihood ^nn+nom+++=livelihood
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
the ^ati++++=the
safety ^nn++++=safety
of ^in++++=of
the ^ati++++=the
enterprise ^nn++++=enterprise!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
made ^xvbn+++xvbn+=made
Tom ^np++++=Tom
risk ^nn++++=risk
things ^nns++++=things
so ^ql++++=so!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
in ^in++++=in
such ^abl++++=such
jeopardy ^nn++++=jeopardy?
? ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
the ^ati++++=the
dogs ^nns++++=dogs
would ^md+prd+++=would
be ^vb+be+aux++=be
safeguard ^vb++++=safeguard
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
scouring ^vbg+++xvbg+=scouring
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=hadn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
could ^md+pos+++=could
dogs ^vb++++=dogs
help ^vb++++=help
her ^pp$+pp3+++=her
with ^in++++=with
a ^at++++=a
man ^nn++++=man
under ^in++++=under
the ^ati++++=the
bed ^nn++++=bed?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
worse ^jjr+pred+++=worse
than ^in++++=than
any ^dti++++=any
loss ^nn++++=loss
of ^in++++=of
money ^nn++++=money
to ^in++++=to
have ^vbi++vrb++=have
such ^abl++++=such
a ^at++++=a
wretch ^nn++++=wretch
as ^in++++=as
this ^dt+dem+++=this
so ^pn++++=so
near ^rb++++=near
one ^pn++++=one,
, ^zz++++=EXTRAWORD
so ^ql++++=so
shudderingly ^rb+cnj+++=shudderingly,
, ^zz++++=EXTRAWORD
so ^ql++++=so
awfully ^ql++++=awfully
near ^jj++++=near,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
so ^ql++++=so
close ^vb++++=close
as ^ql++++=as
this ^dt+dem+++=this
to ^in++++=to
the ^ati++++=the
bottomless ^jj+atrb+++=bottomless
pit ^nn++++=pit
itself ^ppl++++=itself!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
she ^pp3a+pp3+++=she
to ^to++++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
Escape ^vb++++=Escape?
? ^zz++++=EXTRAWORD
The ^ati++++=The
possibility ^nn+nom+++=possibility
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
cross ^jj++++=cross
her ^pp3o+pp3+++=her
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
once ^rb+tm+++=once
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
think ^vb+vprv+++=think
of ^in++++=of
letting ^xvbg+++xvbg+=letting
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
money ^nn++++=money
go ^vb++++=go.
. ^zz++++=EXTRAWORD
All ^abn++++=All
but ^cc++++=but
