From ^in++++=FROM
not ^xnot++not++=not
impossible ^jj++++=impossible
that ^tht+jcmp+++=that
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
individual ^nn+nom+++=individual,
, ^zz++++=EXTRAWORD
under ^in++++=under
certain ^jj++++=certain
unusual ^jj++++=unusual
and ^cc++++=and
highly ^rb+amp+++=highly
fortuitous ^jj+atrb+++=fortuitous
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy.
. ^zz++++=EXTRAWORD
With ^in++++=With
opinions ^nns++++=opinions
such ^abl++++=such
as ^ql++++=as
these ^dt+dem+++=these
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
fully ^rb+amp+splt++=fully
imbued ^vpsv++agls+xvbnx+=imbued,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
worthy ^jj+pred+++=worthy
of ^in++++=of
observation ^nn+nom+++=observation
that ^tht+ncmp+++=that
the ^ati++++=the
uninterrupted ^jj+atrb+++=uninterrupted
enjoyment ^nn+nom+++=enjoyment
which ^whp+rel+subj++=which
distinguished ^vbd+++xvbn+=distinguished
his ^pp$+pp3+++=his
life ^nn++++=life
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
great ^nn++++=great
measure ^vb++++=measure,
, ^zz++++=EXTRAWORD
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
preconcert ^nn+++??+=preconcert.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
indeed ^qlp++++=indeed
evident ^jj++++=evident
that ^tht+jcmp+++=that
with ^in++++=with
less ^rbr++++=less
of ^in++++=of
the ^ati++++=the
instinctive ^jj+atrb+++=instinctive
philosophy ^nn++++=philosophy
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
stands ^vbz++++=stands
so ^ql++++=so
well ^rb++++=well
in ^in++++=in
the ^ati++++=the
stead ^nn++++=stead
of ^in++++=of
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ellison ^np++++=Ellison
would ^md+prd+++=would
have ^vb+hv+aux++=have
found ^vprf++tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
precipitated ^vbd+++xvbn+=precipitated,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
very ^ql+amp+++=very
extraordinary ^jj+atrb+++=extraordinary
success ^nns+nom+++=success
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
common ^jj+atrb+++=common
vortex ^nn++++=vortex
of ^in++++=of
unhappiness ^nns+nom+++=unhappiness
which ^whp+rel+subj++=which
yawns ^vbz++++=yawns
for ^in++++=for
those ^dt+dem+++=those
of ^in++++=of
pre ^nn+++??+=pre-eminent
- ^zz++++=EXTRAWORD
eminent ^jj+atrb+++=EXTRAWORD
endowments ^nns+nom+++=endowments.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
by ^in++++=by
no ^at++++=no
means ^nns++++=means
my ^pp$+pp1+++=my
object ^nn++++=object
to ^in++++=to
pen ^nn++++=pen
an ^at++++=an
essay ^nn++++=essay
on ^in++++=on
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ideas ^nns++++=ideas
of ^in++++=of
my ^pp$+pp1+++=my
friend ^nn++++=friend
may ^md+pos+++=may
be ^vb+be+aux++=be
summed ^vpsv++agls+xvbnx+=summed
up ^rp++++=up
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
words ^nns++++=words.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
admitted ^vbd+vpub++xvbnx+=admitted
but ^cc++++=but
four ^cd++++=four
elementary ^jj+atrb+++=elementary
principles ^nns++++=principles,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
more ^rbr++++=more
strictly ^rb+cnj+++=strictly,
, ^zz++++=EXTRAWORD
conditions ^nns+nom+++=conditions
of ^in++++=of
bliss ^nn++++=bliss.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
considered ^vbd+vprv++xvbnx+=considered
chief ^jjb++++=chief
was ^vbd+bedz+vrb++=was
( ^zz++++=(strange
strange ^jj++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
simple ^jj++++=simple
and ^cc++++=and
purely ^rb++++=purely
physical ^jj+atrb+++=physical
one ^pn++++=one
of ^in++++=of
free ^jj+atrb+++=free
exercise ^nn++++=exercise
in ^in++++=in
the ^ati++++=the
open ^jj+atrb+++=open
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
health ^nn++++=health,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="attainable
attainable ^jj++++=EXTRAWORD
by ^in++++=by
other ^ap++++=other
means ^nns++++=means
is ^vbz+bez+vrb++=is
scarcely ^rb+down+++=scarcely
worth ^in++++=worth
the ^ati++++=the
name ^nn++++=name."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
instanced ^vbd+++xvbnx+=instanced
the ^ati++++=the
ecstasies ^nns++++=ecstasies
of ^in++++=of
the ^ati++++=the
fox ^nn++++=fox-hunter,
- ^zz++++=EXTRAWORD
hunter ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pointed ^vpsv++agls+xvbn+=pointed
to ^in++++=to
the ^ati++++=the
tillers ^nns+nom+++=tillers
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
people ^nns++++=people
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
class ^nn++++=class,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
fairly ^rb++splt++=fairly
considered ^vpsv++agls+xvbnx+=considered
happier ^jjr++++=happier
than ^in++++=than
others ^aps++++=others.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
second ^od++++=second
condition ^nn+nom+++=condition
was ^vbd+bedz+vrb++=was
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
third ^nn++++=third,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ql+emph+++=most
difficult ^jj++++=difficult
of ^in++++=of
realization ^nn+nom+++=realization,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
contempt ^nn++++=contempt
of ^in++++=of
ambition ^nn+nom+++=ambition.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fourth ^od++++=fourth
was ^vbd+bedz+vrb++=was
an ^at++++=an
object ^nn++++=object
of ^in++++=of
unceasing ^jj+atrb+++=unceasing
pursuit ^nn++++=pursuit;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
held ^vbd+vprv+tht0+xvbnx+=held
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
other ^ap++++=other
things ^nns++++=things
being ^vwbg+beg++xvbg+=being
equal ^jj++++=equal,
, ^zz++++=EXTRAWORD
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
attainable ^jj+atrb+++=attainable
happiness ^nns+nom+++=happiness
was ^vbd+bedz+vrb++=was
in ^in++++=in
proportion ^nn+nom+++=proportion
to ^in++++=to
the ^ati++++=the
spirituality ^nn+nom+++=spirituality
of ^in++++=of
this ^dt+dem+++=this
object ^nn++++=object.
. ^zz++++=EXTRAWORD
Ellison ^np++++=Ellison
was ^vbd+bedz+vrb++=was
remarkable ^jj+pred+++=remarkable
in ^in++++=in
the ^ati++++=the
continuous ^jj+atrb+++=continuous
profusion ^nn++++=profusion
of ^in++++=of
good ^jj+atrb+++=good
gifts ^nns++++=gifts
lavished ^vbd+++xvbn+=lavished
upon ^in++++=upon
him ^pp3o+pp3+++=him
by ^in++++=by
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
In ^in++++=In
personal ^jj+atrb+++=personal
grace ^nn++++=grace
and ^cc++++=and
beauty ^nn++++=beauty
he ^pp3a+pp3+++=he
exceeded ^vbd+++xvbnx+=exceeded
all ^abn++++=all
men ^nns++++=men.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
intellect ^nn++++=intellect
was ^vbd+bedz+vrb++=was
of ^in++++=of
that ^dt+dem+++=that
order ^vb++++=order
to ^to+vcmp+++=to
which ^whp+who+++=which
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
knowledge ^nn++++=knowledge
is ^vbz+bez+vrb++=is
less ^rbr++++=less
a ^at++++=a
labor ^nn++++=labor
than ^in++++=than
an ^at++++=an
intuition ^nn+nom+++=intuition
and ^cc++++=and
a ^at++++=a
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
family ^nn++++=family
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
illustrious ^jj++++=illustrious
of ^in++++=of
the ^ati++++=the
empire ^nn++++=empire.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
bride ^nn++++=bride
was ^vbd+bedz+vrb++=was
the ^ati++++=the
loveliest ^jjt++++=loveliest
and ^cc++++=and
most ^ql+emph+++=most
devoted ^jj+++xvbn+=devoted
of ^in++++=of
women ^nns++++=women.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
possessions ^nns++++=possessions
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
always ^rb++++=always
ample ^jj++++=ample;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
the ^ati++++=the
attainment ^nn+nom+++=attainment
of ^in++++=of
his ^pp$+pp3+++=his
majority ^nn+nom+++=majority,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered
that ^tht+vcmp+++=that
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
extraordinary ^jj+atrb+++=extraordinary
freaks ^nns+++??+=freaks
of ^in++++=of
fate ^nn++++=fate
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
played ^vpsv++agls+xvbnx+=played
in ^in++++=in
his ^pp$+pp3+++=his
behalf ^nn++++=behalf
which ^whp+rel+obj++=which
startle ^nn+++??+=startle
the ^ati++++=the
whole ^jj+atrb+++=whole
social ^jj+atrb+++=social
world ^nn++++=world
amid ^in++++=amid
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
occur ^vb++++=occur,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seldom ^rb++++=seldom
fail ^vb++++=fail
radically ^rb++++=radically
to ^to++++=to
alter ^vbi++++=alter
the ^ati++++=the
moral ^jj+atrb+++=moral
constitution ^nn+nom+++=constitution
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
their ^pp$+pp3+++=their
objects ^nns++++=objects.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appears ^vbz+seem+++=appears
that ^tht+vcmp+++=that
about ^rp++++=about
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years
before ^in++++=before
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ellison ^np++++=Ellison's
's ^vbz+bez+aux++0=EXTRAWORD
coming ^vbg+++xvbg+=coming
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
remote ^jj+atrb+++=remote
province ^nn++++=province,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Seabright ^np++++=Seabright
Ellison ^np++++=Ellison.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
gentleman ^nn+nom+++=gentleman
had ^vbd+hvd+aux++=had
amassed ^vprf+++xvbn+=amassed
a ^at++++=a
princely ^jj+atrb+++=princely
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
no ^at++++=no
immediate ^jj+atrb+++=immediate
connections ^nns+nom+++=connections,
, ^zz++++=EXTRAWORD
conceived ^j+++xvbn+=conceived
the ^ati++++=the
whim ^nn+++??+=whim
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering
his ^pp$+pp3+++=his
wealth ^nn++++=wealth
to ^to++++=to
accumulate ^nn+nom+++=accumulate
for ^in++++=for
a ^at++++=a
century ^nn++++=century
after ^in++++=after
his ^pp$+pp3+++=his
decease ^nn++++=decease.
. ^zz++++=EXTRAWORD
Minutely ^np+++??+=Minutely
and ^cc++++=and
sagaciously ^jj++++=sagaciously
directing ^jj+++xvbg+=directing
the ^ati++++=the
various ^jj+atrb+++=various
modes ^nns++++=modes
of ^in++++=of
investment ^nn+nom+++=investment,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bequeathed ^vbd+++xvbnx+=bequeathed
the ^ati++++=the
aggregate ^nn+nom+++=aggregate
amount ^nn++++=amount
to ^in++++=to
the ^ati++++=the
nearest ^nn++++=nearest
of ^in++++=of
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Ellison ^np++++=Ellison,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
should ^md+nec+++=should
be ^vb+be+vrb++=be
alive ^jj+pred+++=alive
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
hundred ^cd++++=hundred
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
attempts ^nns++++=attempts
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
set ^vbi++++=set
aside ^rb+phrv+++=aside
this ^dt+dem+++=this
singular ^jj++++=singular
bequest ^jjt++++=bequest;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
ex ^jjb+atrb+++=ex
post ^nn++++=post
facto ^rb++++=facto
character ^nn+nom+++=character
rendered ^vbd+++xvbn+=rendered
them ^pp3o+pp3+++=them
abortive ^jj++++=abortive;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
a ^at++++=a
jealous ^jj+atrb+++=jealous
government ^nn+nom+++=government
was ^vbd+bedz+aux++=was
aroused ^vpsv++agls+xvbnx+=aroused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
legislative ^jj+atrb+++=legislative
act ^nn++++=act
finally ^rb++++=finally
obtained ^vbd+++xvbn+=obtained,
, ^zz++++=EXTRAWORD
forbidding ^vbg+++xvbg+=forbidding
all ^abn++++=all
similar ^jj+atrb+++=similar
accumulations ^nns+nom+++=accumulations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
act ^nn++++=act,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
prevent ^vb++++=prevent
young ^jj+atrb+++=young
Ellison ^np++++=Ellison
from ^in++++=from
entering ^xvbg+++xvbg+=entering
into ^in++++=into
possession ^nn++++=possession,
, ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
twenty ^cd++++=twenty-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
heir ^nn++++=heir
of ^in++++=of
his ^pp$+pp3+++=his
ancestor ^nn++++=ancestor
Seabright ^np+++??+=Seabright,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
fortune ^nn++++=fortune
of ^in++++=of
four ^cd++++=four
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
millions ^cds++++=millions
of ^in++++=of
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
known ^vprf+++xvbn+=known
that ^tht+vcmp+++=that
such ^abl++++=such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
enormous ^jj+atrb+++=enormous
wealth ^nn++++=wealth
inherited ^vbd+++xvbn+=inherited,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
many ^ap++++=many
speculations ^nns+nom+++=speculations
as ^in++++=as
to ^in++++=to
the ^ati++++=the
mode ^nn++++=mode
of ^in++++=of
its ^pp$+it+++=its
disposal ^nn+nom+++=disposal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
magnitude ^nn++++=magnitude
and ^cc++++=and
the ^ati++++=the
immediate ^jj+atrb+++=immediate
availability ^nn+nom+++=availability
of ^in++++=of
the ^ati++++=the
sum ^nn++++=sum
bewildered ^vbd+++xvbn+=bewildered
all ^abn++++=all
who ^whp+who+++=who
thought ^nn+++xvbn+=thought
on ^in++++=on
the ^ati++++=the
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
possessor ^nn++++=possessor
of ^in++++=of
any ^dti++++=any
appreciable ^jj+atrb+++=appreciable
amount ^nn++++=amount
of ^in++++=of
money ^nn++++=money
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
imagined ^vpsv++agls+xvbnx+=imagined
to ^to+vcmp+++=to
perform ^vbi++++=perform
any ^dti++++=any
one ^pn++++=one
of ^in++++=of
a ^at++++=a
thousand ^cd++++=thousand
things ^nns++++=things.
. ^zz++++=EXTRAWORD
With ^in++++=With
riches ^nns++++=riches
merely ^rb+down+++=merely
surpassing ^jj++++=surpassing
those ^dt+dem+++=those
of ^in++++=of
any ^dti++++=any
citizen ^nn++++=citizen,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
easy ^jj++++=easy
to ^to+jcmp+++=to
suppose ^vbi+vprv+tht0++=suppose
him ^pp3o+pp3+++=him
engaging ^vbg+++xvbg+=engaging
to ^in++++=to
supreme ^jj+atrb+++=supreme
excess ^nn++++=excess
in ^in++++=in
the ^ati++++=the
fashionable ^jj+atrb+++=fashionable
extravagances ^nns+nom++??+=extravagances
of ^in++++=of
his ^pp$+pp3+++=his
time ^nn++++=time
- ^zz++++=-or
or ^cc++++=EXTRAWORD
busying ^nvbg+++xvbg+=busying
himself ^ppl+pp3+++=himself
with ^in++++=with
political ^jj+atrb+++=political
intrigue ^nn++++=intrigue
- ^zz++++=-or
or ^cc++++=EXTRAWORD
aiming ^np+++xvbg+=aiming
at ^rb++++=at
ministerial ^jj+atrb+++=ministerial
power ^nn++++=power
- ^zz++++=-or
or ^cc++++=EXTRAWORD
purchasing ^nvbg+++xvbg+=purchasing
increase ^nn++++=increase
of ^in++++=of
nobility ^nn+nom+++=nobility
- ^zz++++=-or
or ^cc++++=EXTRAWORD
collecting ^jj+atrb++xvbg+=collecting
large ^jj+atrb+++=large
museums ^nns++++=museums
of ^in++++=of
virtu ^nn+++??+=virtu
- ^zz++++=-or
or ^cc++++=EXTRAWORD
playing ^nvbg+++xvbg+=playing
the ^ati++++=the
munificent ^jj+atrb+++=munificent
patron ^nn++++=patron
of ^in++++=of
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
of ^in++++=of
art ^nn++++=art
- ^zz++++=-or
or ^cc++++=EXTRAWORD
endowing ^nvbg+++xvbg+=endowing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bestowing ^vbg+++xvbg+=bestowing
his ^pp$+pp3+++=his
name ^nn++++=name
upon ^in++++=upon
extensive ^jj+atrb+++=extensive
institutions ^nns+nom+++=institutions
of ^in++++=of
charity ^nn+nom+++=charity.
. ^zz++++=EXTRAWORD
But ^in++++=But
for ^in"++++=for
the ^ati++++=the
inconceivable ^jj+atrb+++=inconceivable
wealth ^nn++++=wealth
in ^in++++=in
the ^ati++++=the
actual ^jj+atrb+++=actual
possession ^nn++++=possession
of ^in++++=of
the ^ati++++=the
heir ^nn++++=heir,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
objects ^nns++++=objects
and ^cc++++=and
all ^rb++++=all
ordinary ^jj+atrb+++=ordinary
objects ^nns++++=objects
were ^vbd+bed+aux++=were
felt ^vpsv++agls+xvbnx+=felt
to ^to+vcmp+++=to
afford ^vbi++++=afford
too ^ql++++=too
limited ^jj+++xvbn+=limited
a ^at++++=a
field ^nn++++=field.
. ^zz++++=EXTRAWORD
Recourse ^nn++++=Recourse
was ^vbd+bedz+aux++=was
had ^vb+hv+vrb++=had
to ^in++++=to
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
but ^cc++++=but
sufficed ^jj+++xvbn+=sufficed
to ^to++++=to
confound ^vbi++++=confound.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
seen ^vpsv++tht0+xvbnx+=seen
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
even ^rb++++=even
at ^rb++++=at
three ^cd++++=three
