Towards ^in++++=Towards
returned ^vbd+++xvbn+=returned
her ^pp$+pp3+++=her
passion ^nn++++=passion
with ^in++++=with
equal ^jj+atrb+++=equal
ardour ^nn++++=ardour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
parents ^nns++++=parents
of ^in++++=of
his ^pp$+pp3+++=his
beloved ^jj+atrb+++=beloved
one ^pn++++=one,
, ^zz++++=EXTRAWORD
observing ^vbg+vprv++xvbg+=observing
their ^pp$+pp3+++=their
mutual ^jj+atrb+++=mutual
inclination ^nn+nom+++=inclination,
, ^zz++++=EXTRAWORD
forbade ^j+++xvbn+=forbade
their ^pp$+pp3+++=their
daughter ^nn+nom+++=daughter
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
received ^vbd+++xvbn+=received
him ^pp3o+pp3+++=him
worse ^jjr++++=worse
than ^in++++=than
a ^at++++=a
discharged ^jj+atrb++xvbn+=discharged
assessor ^nn++++=assessor.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
lovers ^nns++++=lovers
corresponded ^vbd+++xvbn+=corresponded
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another
and ^cc++++=and
daily ^rb++++=daily
saw ^vbd+vprv++xvbn+=saw
each ^dt++++=each
other ^ap++++=other
alone ^jj++++=alone
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
pine ^nn++++=pine
wood ^nn++++=wood
or ^cc++++=or
near ^in+pl+++=near
the ^ati++++=the
old ^jj+atrb+++=old
chapel ^nn++++=chapel.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
they ^pp3a+pp3+++=they
exchanged ^vbd+++xvbnx+=exchanged
vows ^nns+++??+=vows
of ^in++++=of
eternal ^jj+atrb+++=eternal
love ^nn++++=love,
, ^zz++++=EXTRAWORD
lamented ^xvbn+++xvbn+=lamented
their ^pp$+pp3+++=their
cruel ^jj+atrb+++=cruel
fate ^nn++++=fate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
formed ^jj+atrb++xvbn+=formed
various ^jj+atrb+++=various
plans ^nns++++=plans.
. ^zz++++=EXTRAWORD
Corresponding ^jj+++xvbg+=Corresponding
and ^cc+phrs+++=and
conversing ^jj+++xvbg+=conversing
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
arrived ^vbd+++xvbnx+=arrived
quite ^rb++++=quite
naturally ^rb++++=naturally
at ^in++++=at
the ^ati++++=the
following ^jj+atrb++xvbg+=following
conclusion ^nn++++=conclusion:
: ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
exist ^vb++++=exist
without ^in++++=without
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
will ^nn++++=will
of ^in++++=of
hard ^jj++++=hard-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
parents ^nns++++=parents
stands ^vbz++++=stands
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
our ^pp$+pp1+++=our
happiness ^nns+nom+++=happiness,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
cannot ^md+pos+not++=cannot
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
without ^in++++=without
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
Needless ^vb++++=Needless
to ^to+vcmp+++=to
mention ^nn+nom+++=mention
that ^tht+vcmp+++=that
this ^dt+dem+++=this
happy ^jj+atrb+++=happy
idea ^nn++++=idea
originated ^vbd+++xvbn+=originated
in ^in++++=in
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
congenial ^jj++++=congenial
to ^in++++=to
the ^ati++++=the
romantic ^jj+atrb+++=romantic
imagination ^nn+nom+++=imagination
of ^in++++=of
Maria ^&fw++++=Maria
Gavrilovna ^np+++??+=Gavrilovna.
. ^zz++++=EXTRAWORD
The ^ati++++=The
winter ^nn++++=winter
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
put ^vbd+++xvbn+=put
a ^at++++=a
stop ^nn++++=stop
to ^in++++=to
their ^pp$+pp3+++=their
meetings ^nns++++=meetings,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
correspondence ^nn+nom+++=correspondence
became ^vbd+++xvbn+=became
all ^rb++++=all
the ^ati++++=the
more ^rbr++++=more
active ^jj++++=active.
. ^zz++++=EXTRAWORD
Vladimir ^np+++??+=Vladimir
Nikolaievitch ^np+++??+=Nikolaievitch
in ^in++++=in
every ^at++++=every
letter ^nn++++=letter
implored ^vbd+++xvbn+=implored
her ^pp$+pp3+++=her
to ^to++++=to
give ^vbi++++=give
herself ^ppl+pp3+++=herself
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
married ^vbd+++xvbn+=married
secretly ^rb+cnj+++=secretly,
, ^zz++++=EXTRAWORD
to ^to++++=to
hide ^vbi++++=hide
for ^in++++=for
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
throw ^vb++++=throw
themselves ^ppls+pp3+++=themselves
at ^in++++=at
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
their ^pp$+pp3+++=their
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
touched ^vpsv++agls+xvbnx+=touched
at ^rb++++=at
last ^rb"++++=last
by ^in++++=by
the ^ati++++=the
heroic ^jj+atrb+++=heroic
constancy ^nn++++=constancy
and ^cc++++=and
unhappiness ^nns+nom+++=unhappiness
of ^in++++=of
the ^ati++++=the
lovers ^nns++++=lovers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
infallibly ^rb++splt++=infallibly
say ^vb+vpub+++=say
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
" ^zz++++="Children,
children ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
our ^pp$+pp1+++=our
arms ^nns++++=arms!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maria ^np++++=Maria
Gavrilovna ^np+++??+=Gavrilovna
hesitated ^vbd+++xvbn+=hesitated
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
plans ^nns++++=plans
for ^in++++=for
a ^at++++=a
flight ^nn++++=flight
were ^vbd+bed+aux++=were
rejected ^vpsv++agls+xvbnx+=rejected.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
she ^pp3a+pp3+++=she
consented ^vbd+++xvbnx+=consented:
: ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
appointed ^jj+++xvbn+=appointed
day ^np++++=day
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
take ^vbi++++=take
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+aux++=was
to ^to++++=to
retire ^vbi++++=retire
to ^in++++=to
her ^pp$+pp3+++=her
room ^nn++++=room
under ^in++++=under
the ^ati++++=the
pretext ^nn++++=pretext
of ^in++++=of
a ^at++++=a
headache ^nn++++=headache.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
maid ^np++++=maid
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
plot ^nn++++=plot;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
both ^abx++++=both
to ^to++++=to
go ^vbi++++=go
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden
by ^in++++=by
the ^ati++++=the
back ^jjb+atrb+++=back
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behind ^in+pl+++=behind
the ^ati++++=the
garden ^nn++++=garden
they ^pp3a+pp3+++=they
would ^md+prd+++=would
find ^vb+vprv+++=find
ready ^jj++++=ready
a ^at++++=a
sledge ^nn+++??+=sledge,
, ^zz++++=EXTRAWORD
into ^in++++=into
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
to ^to++++=to
get ^vbi++++=get,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
drive ^nn++++=drive
straight ^jj++++=straight
to ^in++++=to
the ^ati++++=the
church ^nn++++=church
of ^in++++=of
Jadrino ^np+++??+=Jadrino,
, ^zz++++=EXTRAWORD
a ^at++++=a
village ^nn+nom+++=village
about ^in++++=about
five ^cd++++=five
versts ^nns+++??+=versts
from ^in++++=from
Nenaradova ^np+++??+=Nenaradova,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Vladimir ^np+++??+=Vladimir
would ^md+prd+++=would
be ^vb+be+aux++=be
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
eve ^nn++++=eve
of ^in++++=of
the ^ati++++=the
decisive ^jj+atrb+++=decisive
day ^nn++++=day,
, ^zz++++=EXTRAWORD
Maria ^np++++=Maria
Gavrilovna ^np+++??+=Gavrilovna
did ^vbd+dod+aux++=did
not ^xnot++not++=not
sleep ^vb++++=sleep
the ^ati++++=the
whole ^jj+atrb+++=whole
night ^nn++++=night;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
packed ^vbd+++xvbnx+=packed
and ^cc+phrs+++=and
tied ^vbd+++xvbn+=tied
up ^rp++++=up
her ^pp$+pp3+++=her
linen ^nn++++=linen
and ^cc++++=and
other ^ap++++=other
articles ^nns++++=articles
of ^in++++=of
apparel ^nn+++??+=apparel,
, ^zz++++=EXTRAWORD
wrote ^j+++xvbn+=wrote
a ^at++++=a
long ^jj+atrb+++=long
letter ^nn++++=letter
to ^in++++=to
a ^at++++=a
sentimental ^jj+atrb+++=sentimental
young ^jj+atrb+++=young
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
a ^at++++=a
friend ^nn++++=friend
of ^in++++=of
hers ^pp$$++++=hers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
to ^in++++=to
her ^pp$+pp3+++=her
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
leave ^nn++++=leave
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
touching ^jj+atrb++xvbg+=touching
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
urged ^j+++xvbn+=urged
the ^ati++++=the
invincible ^jj+atrb+++=invincible
strength ^nn++++=strength
of ^in++++=of
passion ^nn++++=passion
as ^in++++=as
an ^at++++=an
excuse ^nn++++=excuse
for ^in++++=for
the ^ati++++=the
step ^nn++++=step
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wound ^nn+++xvbn+=wound
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
assurance ^nn+nom+++=assurance
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
should ^md+nec+++=should
consider ^nn+nom+++=consider
it ^pp3+it+++=it
the ^ati++++=the
happiest ^jjt+atrb+++=happiest
moment ^nn++++=moment
of ^in++++=of
her ^pp$+pp3+++=her
life ^nn++++=life,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
should ^md+nec+++=should
be ^vb+be+aux++=be
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
throw ^vb++++=throw
herself ^ppl+pp3+++=herself
at ^in++++=at
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
her ^pp$+pp3+++=her
dear ^uh++++=dear
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
having ^nn+nn+aux++=having
sealed ^vwbn+++xvbn+=sealed
both ^abx++++=both
letters ^nns+nom+++=letters
with ^in++++=with
a ^at++++=a
Toula ^np+++??+=Toula
seal ^nn++++=seal,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
which ^whp+rel+pied++=which
were ^vbd+bed+aux++=were
engraved ^vpsv++agls+xvbnx+=engraved
two ^cd++++=two
flaming ^jj+atrb+++=flaming
hearts ^nns++++=hearts
with ^in++++=with
a ^at++++=a
suitable ^jj+atrb+++=suitable
inscription ^nn+nom+++=inscription,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
threw ^vbd+++xvbnx+=threw
herself ^ppl+pp3+++=herself
upon ^in++++=upon
her ^pp$+pp3+++=her
bed ^nn++++=bed
just ^rb+emph+++=just
before ^in++++=before
daybreak ^nn+++??+=daybreak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dozed ^vbd+++xvbn+=dozed
off ^rp+pl+++=off:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
constantly ^rb++++=constantly
being ^xvbg+++xvbg+=being
awakened ^vpsv++by+xvbn+=awakened
by ^in++++=by
terrible ^jj+atrb+++=terrible
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
First ^od++++=First
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
that ^cs+sub+++=that
at ^rb++++=at
the ^ati++++=the
very ^ap+amp+++=very
moment ^nn++++=moment
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
seated ^vbd+++xvbnx+=seated
herself ^ppl+pp3+++=herself
in ^in++++=in
the ^ati++++=the
sledge ^nn+++??+=sledge,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
go ^vb++++=go
and ^cc+phrs+++=and
get ^vb++++=get
married ^jj+++xvbn+=married,
, ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
father ^npt++++=father
stopped ^vbd+++xvbn+=stopped
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
dragged ^j+++xvbn+=dragged
her ^pp$+pp3+++=her
over ^in++++=over
the ^ati++++=the
snow ^nn++++=snow
with ^in++++=with
fearful ^jj+atrb+++=fearful
rapidity ^nn+nom+++=rapidity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
threw ^vbd+++xvbn+=threw
her ^pp$+pp3+++=her
into ^in++++=into
a ^at++++=a
dark ^jj+atrb+++=dark
bottomless ^jj+atrb+++=bottomless
abyss ^nn++++=abyss,
, ^zz++++=EXTRAWORD
down ^rp++++=down
which ^whp+who+++=which
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
headlong ^jjb++++=headlong
with ^in++++=with
an ^at++++=an
indescribable ^jj++++=indescribable
sinking ^jj+++xvbg+=sinking
of ^in++++=of
the ^ati++++=the
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
Vladimir ^np+++??+=Vladimir
lying ^vwbg+++xvbg+=lying
on ^in++++=on
the ^ati++++=the
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
and ^cc++++=and
bloodstained ^jj++++=bloodstained.
. ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
dying ^nvbg+++xvbg+=dying
breath ^nn++++=breath
he ^pp3a+pp3+++=he
implored ^vbd+++xvbnx+=implored
her ^pp$+pp3+++=her
in ^in++++=in
a ^at++++=a
piercing ^jj+atrb++xvbg+=piercing
voice ^nn++++=voice
to ^to++++=to
make ^vbi++++=make
haste ^nn++++=haste
and ^cc++++=and
marry ^vb++++=marry
him.. ^nn+++??+=him....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
fantastic ^jj+atrb+++=fantastic
and ^cc+phrs+++=and
senseless ^jj+atrb+++=senseless
visions ^nns++++=visions
floated ^vbd+++xvbn+=floated
before ^in++++=before
her ^pp$+pp3+++=her
one ^cd1++++=one
after ^in++++=after
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
she ^pp3a+pp3+++=she
arose ^vbd+++xvbnx+=arose,
, ^zz++++=EXTRAWORD
paler ^jjr++++=paler
than ^in++++=than
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
an ^at++++=an
unfeigned ^jj+atrb++xvbn+=unfeigned
headache ^nn++++=headache.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
and ^cc++++=and
mother ^npt++++=mother
observed ^vbd+vprv++xvbn+=observed
her ^pp$+pp3+++=her
uneasiness ^nns+nom+++=uneasiness;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
tender ^jj+atrb+++=tender
solicitude ^nn+++??+=solicitude
and ^cc++++=and
incessant ^jj+atrb+++=incessant
inquiries ^nns++++=inquiries:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Masha ^np+++??+=Masha?
? ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
ill ^rb+cnj+++=ill,
, ^zz++++=EXTRAWORD
Masha ^np+++??+=Masha?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cut ^nn+++xvbn+=cut
her ^pp3o+pp3+++=her
to ^in++++=to
the ^ati++++=the
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
reassure ^vbi++++=reassure
them ^pp3o+pp3+++=them
and ^cc++++=and
to ^to++++=to
appear ^vbi+seem+++=appear
cheerful ^jj++++=cheerful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evening ^nn++++=evening
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^rb++++=last
day ^nn++++=day
she ^pp3a+pp3+++=she
would ^md+prd+++=would
pass ^vb++++=pass
in ^in++++=in
the ^ati++++=the
bosom ^nn++++=bosom
of ^in++++=of
her ^pp$+pp3+++=her
family ^nn++++=family,
, ^zz++++=EXTRAWORD
weighed ^j+++xvbn+=weighed
upon ^in++++=upon
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
dead ^jj+pred+++=dead
than ^in++++=than
alive ^nn++++=alive.
. ^zz++++=EXTRAWORD
In ^in++++=In
secret ^nn++++=secret
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
leave ^nn++++=leave
of ^in++++=of
everybody ^pn++++=everybody,
, ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
objects ^nns++++=objects
that ^tht+rel+++=that
surrounded ^jj+++xvbn+=surrounded
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Supper ^nn++++=Supper
was ^vbd+bedz+aux++=was
served ^vpsv++agls+xvbnx+=served;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
heart ^nn++++=heart
began ^vbd+++xvbn+=began
to ^to++++=to
beat ^vbi++++=beat
violently ^rb++++=violently.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
voice ^nn++++=voice
she ^pp3a+pp3+++=she
declared ^vbd+vpub++xvbnx+=declared
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
any ^dti++++=any
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
took ^vbd+++xvbn+=took
leave ^nn++++=leave
of ^in++++=of
her ^pp3o+pp3+++=her
father ^npt++++=father
and ^cc++++=and
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her
and ^cc++++=and
blessed ^jj+++xvbn+=blessed
her ^pp$+pp3+++=her
as ^in++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
restrain ^vb++++=restrain
herself ^ppl+pp3+++=herself
from ^in++++=from
weeping ^nn++++=weeping.
. ^zz++++=EXTRAWORD
On ^in++++=On
reaching ^xvbg+++xvbg+=reaching
her ^pp$+pp3+++=her
own ^ap++++=own
room ^nn++++=room,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
threw ^vbd+++xvbnx+=threw
herself ^ppl+pp3+++=herself
into ^in++++=into
a ^at++++=a
chair ^nn++++=chair
and ^cc++++=and
burst ^vpsv++agls+xvbn+=burst
into ^in+ppvb+++=into
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
maid ^np++++=maid
urged ^vbd+vsua+tht0+xvbn+=urged
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
calm ^nn++++=calm
and ^cc++++=and
to ^to++++=to
take ^vbi++++=take
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready.
. ^zz++++=EXTRAWORD
In ^in++++=In
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour
Masha ^np+++??+=Masha
would ^md+prd+++=would
leave ^vb++++=leave
for ^rb++++=for
ever ^rb"++++=ever
her ^pp$+pp3+++=her
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
