She ^pp3a+pp3+++=She
would ^md+prd+++=would
espy ^vb+++??+=espy
some ^dti++++=some
shadow ^nn++++=shadow
moving ^vwbg+++xvbg+=moving
behind ^in+pl+++=behind
the ^ati++++=the
veil ^nn++++=veil.
. ^zz++++=EXTRAWORD
A ^at++++=A
tinkling ^jj+atrb++xvbg+=tinkling
sound ^nn++++=sound
would ^md+prd+++=would
come ^vb++++=come
to ^in++++=to
his ^pp$+pp3+++=his
car ^nn++++=car
from ^in++++=from
afar ^rb+cnj+++=afar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
set ^vb+++xvbn+=set
him ^pp3o+pp3+++=him
dreaming ^vbg+++xvbg+=dreaming
of ^in++++=of
the ^ati++++=the
ankles ^nns++++=ankles
whose ^whp+rel+obj++=whose
tiny ^jj+atrb+++=tiny
golden ^jj+atrb+++=golden
bells ^nns++++=bells
sang ^vbd+++xvbn+=sang
at ^rb++++=at
each ^dt++++=each
step ^vb++++=step.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rosy ^jj+atrb+++=rosy
red ^jj+atrb+++=red
tender ^jj+atrb+++=tender
feet ^nns++++=feet
that ^tht+rel+subj++=that
walked ^vprf+++xvbn+=walked
the ^ati++++=the
dust ^nn++++=dust
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth
like ^in++++=like
God ^np++++=God's
's ^$++++=EXTRAWORD
mercy ^nn++++=mercy
on ^in++++=on
the ^ati++++=the
fallen ^vprf+++xvbn+=fallen!
! ^zz++++=EXTRAWORD
The ^ati++++=The
poet ^nn++++=poet
had ^vbd+hvd+aux++=had
placed ^vprf+++xvbnx+=placed
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
altar ^nn++++=altar
of ^in++++=of
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
wove ^nn+++??+=wove
his ^pp$+pp3+++=his
songs ^nns++++=songs
to ^in++++=to
the ^ati++++=the
tune ^nn++++=tune
of ^in++++=of
those ^dt+dem+++=those
golden ^jj+atrb+++=golden
bells ^nns++++=bells.
. ^zz++++=EXTRAWORD
Doubt ^nn++++=Doubt
never ^rb++++=never
arose ^vbd+++xvbn+=arose
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
as ^in++++=as
to ^in"++++=to
whose ^whp+who+++=whose
shadow ^nn++++=shadow
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
that ^cs+sub+++=that
moved ^vprf+++xvbn+=moved
behind ^in+pl+++=behind
the ^ati++++=the
screen ^nn++++=screen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
anklets ^nns+nom+++=anklets
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
that ^dt+dem+++=that
sang ^nc+++xvbn+=sang
to ^in++++=to
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
his ^pp$+pp3+++=his
beating ^jj+atrb++xvbg+=beating
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Manjari ^np+++??+=Manjari,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maid ^nn++++=maid
of ^in++++=of
the ^ati++++=the
princess ^nns+nom+++=princess,
, ^zz++++=EXTRAWORD
passed ^xvbn+++xvbn+=passed
by ^in++++=by
the ^ati++++=the
poet ^nn++++=poet's
's ^$++++=EXTRAWORD
house ^npl++++=house
on ^in++++=on
her ^pp$+pp3+++=her
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
never ^rb++++=never
missed ^vbd+++xvbn+=missed
a ^at++++=a
day ^nn++++=day
to ^in++++=to
have ^vbi++vrb++=have
a ^ap++++=a
few ^ap"++++=few
words ^nns++++=words
with ^in++++=with
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
sly ^nn++++=sly.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
the ^ati++++=the
road ^npl++++=road
deserted ^vbd+++xvbn+=deserted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
dusk ^nn++++=dusk
on ^in++++=on
the ^ati++++=the
land ^nn++++=land,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
boldly ^rb++splt++=boldly
enter ^vb++++=enter
his ^pp$+pp3+++=his
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sit ^vb++++=sit
at ^in++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
his ^pp$+pp3+++=his
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
suspicion ^nn++++=suspicion
of ^in++++=of
an ^at++++=an
added ^jj+atrb++xvbn+=added
care ^nn++++=care
in ^in++++=in
the ^ati++++=the
choice ^nn++++=choice
of ^in++++=of
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
her ^pp$+pp3+++=her
veil ^nn++++=veil,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
setting ^jj+++xvbg+=setting
of ^in++++=of
the ^ati++++=the
flower ^nn++++=flower
in ^in++++=in
her ^pp$+pp3+++=her
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
People ^nns++++=People
smiled ^vbd+++xvbn+=smiled
and ^cc+phrs+++=and
whispered ^vbd+vpub++xvbn+=whispered
at ^rb++++=at
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
to ^to++++=to
blame ^vbi++++=blame.
. ^zz++++=EXTRAWORD
For ^in++++=For
Shekhar ^np+++??+=Shekhar
the ^ati++++=the
poet ^nn++++=poet
never ^rb++++=never
took ^vbd+++xvbn+=took
the ^ati++++=the
trouble ^nn++++=trouble
to ^to++++=to
hide ^vbi++++=hide
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
these ^dt+dem+++=these
meetings ^nns++++=meetings
were ^vbd+bed+vrb++=were
a ^at++++=a
pure ^jj+atrb+++=pure
joy ^nn++++=joy
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
meaning ^jj+++xvbg+=meaning
of ^in++++=of
her ^pp$+pp3+++=her
name ^nn++++=name
was ^vbd+bedz+vrb++=was
the ^ati++++=the
spray ^nn++++=spray
of ^in++++=of
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
must ^md+nec+++=must
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
for ^in++++=for
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
mortal ^nn++++=mortal
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
sufficient ^jj+pred+++=sufficient
in ^in++++=in
its ^pp$+it+++=its
sweetness ^nns+nom+++=sweetness.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Shekhar ^np+++??+=Shekhar
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
own ^ap++++=own
addition ^nn+nom+++=addition
to ^in++++=to
this ^dt+dem+++=this
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^jj+++xvbn+=called
her ^pp3o+pp3+++=her
the ^ati++++=the
Spray ^nn++++=Spray
of ^in++++=of
Spring ^nn++++=Spring
Flowers ^nns+nom+++=Flowers.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
ordinary ^jj+atrb+++=ordinary
mortals ^nns+nom+++=mortals
shook ^vbd+++xvbn+=shook
their ^pp$+pp3+++=their
heads ^nns++++=heads
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
spring ^nn++++=spring
songs ^nns++++=songs
that ^tht+rel+obj++=that
the ^ati++++=the
poet ^nn++++=poet
sang ^vbd+++xvbn+=sang
the ^ati++++=the
praise ^nn++++=praise
of ^in++++=of
the ^ati++++=the
spray ^nn++++=spray
of ^in++++=of
spring ^nn++++=spring
flowers ^nns+nom+++=flowers
was ^vbd+bedz+aux++=was
conspicuously ^rb++splt++=conspicuously
reiterated ^vpsv++agls+xvbnx+=reiterated;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
king ^nn++++=king
winked ^vbd+++xvbn+=winked
and ^cc+phrs+++=and
smiled ^vbd+++xvbn+=smiled
at ^in++++=at
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
poet ^nn++++=poet
smiled ^vbd+++xvbn+=smiled
in ^in++++=in
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
king ^nn++++=king
would ^md+prd+++=would
put ^vb+++xvbn+=put
him ^pp3o+pp3+++=him
the ^ati++++=the
question ^nn+nom+++=question;
; ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
the ^ati++++=the
bee ^nn++++=bee
merely ^rb+down+++=merely
to ^in++++=to
hum ^nn+++??+=hum
in ^in++++=in
the ^ati++++=the
court ^nn++++=court
of ^in++++=of
the ^ati++++=the
spring ^nn++++=spring?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
poet ^nn++++=poet
would ^md+prd+++=would
answer ^vb++++=answer;
; ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
to ^to++++=to
sip ^vbi++++=sip
the ^ati++++=the
honey ^nn++++=honey
of ^in++++=of
the ^ati++++=the
spray ^nn++++=spray
of ^in++++=of
spring ^nn++++=spring
flowers ^nns+nom+++=flowers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
they ^pp3a+pp3+++=they
all ^rb++++=all
laughed ^vbd+++xvbn+=laughed
in ^in++++=in
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
rumoured ^jj+pred+++=rumoured
that ^cs+sub+++=that
the ^ati++++=the
Princess ^nns+nom+++=Princess
Akita ^np+++??+=Akita
also ^rb++++=also
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
her ^pp3o+pp3+++=her
maid ^np++++=maid's
's ^vbz+bez+aux++0=EXTRAWORD
accepting ^vbg+vprv++xvbgx+=accepting
the ^ati++++=the
poet ^nn++++=poet's
's ^$++++=EXTRAWORD
name ^nn++++=name
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Manjari ^np+++??+=Manjari
felt ^vbd+vprv++xvbn+=felt
glad ^jj++++=glad
in ^in++++=in
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
truth ^nn++++=truth
and ^cc++++=and
falsehood ^nn+nom+++=falsehood
mingle ^nn+++??+=mingle
in ^in++++=in
life ^nn++++=life
and ^cc++++=and
to ^to++++=to
what ^wdt+who+++=what
God ^nn++++=God
builds ^vbz++++=builds
man ^nn++++=man
adds ^vbz+vpub+++=adds
his ^pp$+pp3+++=his
own ^ap++++=own
decoration ^nn+nom+++=decoration.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
those ^dt+pdem+++=those
were ^vbd+bed+vrb++=were
pure ^jj+atrb+++=pure
truths ^nns++++=truths
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
sung ^vpsv++by+xvbnx+=sung
by ^in++++=by
the ^ati++++=the
poet ^nn++++=poet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
theme ^nn++++=theme
was ^vbd+bedz+vrb++=was
Krishna ^np+++??+=Krishna,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lover ^nn++++=lover
god ^np++++=god,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Radha ^np+++??+=Radha,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beloved ^jj++++=beloved,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Eternal ^jj+atrb+++=Eternal
Man ^nn++++=Man
and ^cc++++=and
the ^ati++++=the
Eternal ^jj+atrb+++=Eternal
Woman ^nn++++=Woman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sorrow ^nn++++=sorrow
that ^tht+rel+subj++=that
comes ^vbz++++=comes
from ^in+ppvb+++=from
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
joy ^nn++++=joy
without ^in++++=without
end ^nn++++=end.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
of ^in++++=of
these ^dt+dem+++=these
songs ^nns++++=songs
was ^vbd+bedz+aux++=was
tested ^vpsv++agls+xvbnx+=tested
in ^in++++=in
his ^pp$+pp3+++=his
inmost ^nn+++??+=inmost
heart ^nn++++=heart
by ^in++++=by
everybody ^pn++++=everybody
from ^in++++=from
the ^ati++++=the
beggar ^nn++++=beggar
to ^in++++=to
the ^ati++++=the
king ^nn++++=king
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poet ^nn++++=poet's
's ^$++++=EXTRAWORD
songs ^nns++++=songs
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
lips ^nns++++=lips
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
merest ^jjt+atrb+++=merest
glimmer ^nn++++=glimmer
of ^in++++=of
the ^ati++++=the
moon ^nn++++=moon
and ^cc++++=and
the ^ati++++=the
faintest ^nn++++=faintest
whisper ^vb+vpub+++=whisper
of ^in++++=of
the ^ati++++=the
summer ^nn++++=summer
breeze ^nn++++=breeze
his ^pp$+pp3+++=his
songs ^nns++++=songs
would ^md+prd+++=would
break ^vb++++=break
forth ^np++++=forth
in ^in++++=in
the ^ati++++=the
land ^nn++++=land
from ^in++++=from
windows ^nns++++=windows
and ^cc++++=and
courtyards ^nns+++??+=courtyards,
, ^zz++++=EXTRAWORD
from ^in++++=from
sailing ^xvbg+++xvbg+=sailing-boats,
- ^zz++++=EXTRAWORD
boats ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
from ^in++++=from
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
wayside ^nn++++=wayside
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
in ^in++++=in
numberless ^jj+atrb+++=numberless
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
passed ^vbd+++xvbn+=passed
the ^ati++++=the
days ^nns++++=days
happily ^rb++++=happily.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poet ^nn++++=poet
recited ^vbd+++xvbn+=recited,
, ^zz++++=EXTRAWORD
the ^ati++++=the
king ^npt++++=king
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hearers ^nns+nom+++=hearers
applauded ^vwbn+++xvbn+=applauded,
, ^zz++++=EXTRAWORD
Manjari ^np+++??+=Manjari
passed ^vbd+++xvbn+=passed
and ^cc+phrs+++=and
repassed ^vbd+++xvbn+=repassed
by ^in++++=by
the ^ati++++=the
poet ^nn++++=poet's
's ^$++++=EXTRAWORD
room ^nn++++=room
on ^rp++++=on
her ^pp3o+pp3+++=her
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
river ^nn++++=river
the ^ati++++=the
shadow ^nn++++=shadow
flitted ^vbd+++xvbn+=flitted
behind ^in+pl+++=behind
the ^ati++++=the
screened ^jj+atrb++xvbn+=screened
balcony ^nn++++=balcony,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tiny ^jj+atrb+++=tiny
golden ^jj+atrb+++=golden
bells ^nns++++=bells
tinkled ^vbd+++xvbn+=tinkled
from ^in++++=from
afar ^rb++++=afar.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
set ^xvbn+++xvbn+=set
forth ^rb+phrv+++=forth
from ^in++++=from
his ^pp$+pp3+++=his
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
south ^np+pl+++=south
a ^at++++=a
poet ^nn++++=poet
on ^in++++=on
his ^pp$+pp3+++=his
path ^nn++++=path
of ^in++++=of
conquest ^nn++++=conquest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
to ^in++++=to
King ^npt++++=King
Narayan ^np+++??+=Narayan,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
kingdom ^nn+nom+++=kingdom
of ^in++++=of
Amarapur ^np+++??+=Amarapur.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
before ^in++++=before
the ^ati++++=the
throne ^nn++++=throne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uttered ^vbd+++xvbn+=uttered
a ^at++++=a
verse ^nn++++=verse
in ^in++++=in
praise ^nn++++=praise
of ^in++++=of
the ^ati++++=the
king ^nn++++=king.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
challenged ^vprf+++xvbnx+=challenged
all ^abn++++=all
the ^ati++++=the
court ^nn++++=court
poets ^nns++++=poets
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
career ^nn++++=career
of ^in++++=of
victory ^nn++++=victory
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
unbroken ^jj++++=unbroken.
. ^zz++++=EXTRAWORD
The ^ati++++=The
king ^npt++++=king
received ^vbd+++xvbn+=received
him ^pp3o+pp3+++=him
with ^in++++=with
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Poet,
poet ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offer ^vb++++=offer
you ^pp2+pp2+++=you
welcome ^vb++++=welcome."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pundarik ^np+++??+=Pundarik,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poet ^nn++++=poet,
, ^zz++++=EXTRAWORD
proudly ^rb++++=proudly
replied ^vbd+vpub++xvbn+=replied:
: ^zz++++=EXTRAWORD
" ^zz++++="Sire,
sire ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask
for ^in+ppvb+++=for
war ^nn++++=war."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Shekhar ^np+++??+=Shekhar,
, ^zz++++=EXTRAWORD
the ^ati++++=the
court ^nn++++=court
poet ^nn++++=poet
of ^in++++=of
the ^ati++++=the
king ^nn++++=king
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
the ^ati++++=the
battle ^nn++++=battle
of ^in++++=of
the ^ati++++=the
muse ^nn++++=muse
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
waged ^vpsv++agls+xvbnx+=waged.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
sleep ^nn++++=sleep
at ^rb++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mighty ^jj+atrb+++=mighty
figure ^nn++++=figure
of ^in++++=of
the ^ati++++=the
famous ^jj+atrb+++=famous
Pundarik ^np+++??+=Pundarik,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
sharp ^jj+atrb+++=sharp
nose ^nn++++=nose
curved ^jj++++=curved
like ^in++++=like
a ^at++++=a
scimitar ^nn+++??+=scimitar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
proud ^jj++++=proud
head ^jjb++++=head
tilted ^jj+++xvbn+=tilted
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
haunted ^j+++xvbn+=haunted
the ^ati++++=the
poet ^nn++++=poet's
's ^$++++=EXTRAWORD
vision ^nn++++=vision
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
heart ^nn++++=heart
Shekhar ^np+++??+=Shekhar
entered ^vbd+++xvbn+=entered
the ^ati++++=the
arena ^nn++++=arena
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
theatre ^nn++++=theatre
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
the ^ati++++=the
crowd ^nn++++=crowd.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poet ^nn++++=poet
greeted ^vbd+++xvbn+=greeted
his ^pp$+pp3+++=his
rival ^jjb++++=rival
with ^in++++=with
a ^at++++=a
smile ^nn++++=smile
and ^cc++++=and
a ^at++++=a
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
Pundarik ^np+++??+=Pundarik
returned ^vbd+++xvbn+=returned
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
slight ^jj+atrb+++=slight
toss ^nn++++=toss
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
face ^nn++++=face
towards ^in++++=towards
his ^pp$+pp3+++=his
circle ^nn++++=circle
of ^in++++=of
adoring ^jj+atrb+++=adoring
followers ^nns+nom+++=followers
with ^in++++=with
a ^at++++=a
meaning ^jj+atrb++xvbg+=meaning
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
Shekhar ^np+++??+=Shekhar
cast ^vbd+++xvbn+=cast
his ^pp$+pp3+++=his
glance ^nn++++=glance
towards ^in++++=towards
the ^ati++++=the
screened ^jj+atrb++xvbn+=screened
balcony ^nn++++=balcony
high ^jj++++=high
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saluted ^vbd+++xvbn+=saluted
his ^pp$+pp3+++=his
lady ^nn++++=lady
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying!
! ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
the ^ati++++=the
winner ^nn++++=winner
at ^in++++=at
the ^ati++++=the
combat ^nn++++=combat
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
victorious ^jj+atrb+++=victorious
name ^nn++++=name
shall ^md+prd+++=shall
be ^vb+be+aux++=be
glorified ^vpsv++agls+xvbnx+=glorified."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
trumpet ^nn++++=trumpet
sounded ^vbd+++xvbn+=sounded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
crowd ^nn++++=crowd
stood ^vbd+++xvbn+=stood
up ^rp++++=up,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting
victory ^nn++++=victory
to ^in++++=to
the ^ati++++=the
king ^nn++++=king.
. ^zz++++=EXTRAWORD
The ^ati++++=The
king ^nn++++=king,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
an ^at++++=an
ample ^jj+atrb+++=ample
robe ^nn++++=robe
of ^in++++=of
white ^jj++++=white,
, ^zz++++=EXTRAWORD
slowly ^rb++++=slowly
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
hall ^npl++++=hall
like ^in++++=like
a ^at++++=a
floating ^jj+atrb++xvbg+=floating
cloud ^nn++++=cloud
of ^in++++=of
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
