Tom ^np++++=Tom
of ^in++++=of
his ^pp$+pp3+++=his
resources ^nns++++=resources;
; ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless--unless
-- ^--+clp+++=EXTRAWORD
unless ^cs+cnd+++=EXTRAWORD
fortune ^nn++++=fortune
favored ^vbd+++xvbn+=favored
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
few ^ap++++=few
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
every ^at++++=every
newspaper ^nn+nom+++=newspaper
office ^nn++++=office
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
with ^in++++=with
disheartening ^jj+atrb+++=disheartening
results ^nns++++=results;
; ^zz++++=EXTRAWORD
every ^at++++=every
office ^nn++++=office
save ^in++++=save
this ^dt+dem+++=this
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reread ^vb++++=reread,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
for ^in++++=for
the ^ati++++=the
twentieth ^od++++=twentieth
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
letter ^nn++++=letter
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
back ^jjb++++=back
in ^in++++=in
its ^pp$+it+++=its
envelope ^nn++++=envelope
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
sounded ^vbd+++xvbn+=sounded
so ^ql++++=so
empty ^vb++++=empty
and ^cc++++=and
perfunctory ^jj++++=perfunctory,
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
was ^vbd+bedz+vrb++=was
such ^abl++++=such
a ^at++++=a
big ^jj+atrb+++=big
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
own ^ap++++=own
ignorance ^nn+nom+++=ignorance
was ^vbd+bedz+vrb++=was
so ^ql++++=so
great ^np++++=great,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
discouraged ^vpsv++agls+xvbnx+=discouraged.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However-He
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
thrust ^vbd+++xvbnx+=thrust
the ^ati++++=the
letter ^nn++++=letter
back ^jjb++++=back
into ^in++++=into
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
jammed ^j+++xvbn+=jammed
his ^pp$+pp3+++=his
cap ^nn++++=cap
resolutely ^rb++++=resolutely
onto ^in++++=onto
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strode ^vbd+++xvbn+=strode
determinedly ^rb++++=determinedly
to ^in++++=to
the ^ati++++=the
elevator ^nn++++=elevator.
. ^zz++++=EXTRAWORD
" ^zz++++="City
city ^nn++++=EXTRAWORD
editor ^nn++++=editor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
announced ^vbd+vpub++xvbnx+=announced
gruffly ^jj++++=gruffly.
. ^zz++++=EXTRAWORD
Room ^nn++++=Room
36 ^cd++++=36
seemed ^vbd+seem++xvbn+=seemed
acres ^nns++++=acres
big ^jj++++=big
to ^in++++=to
Tom ^np++++=Tom
as ^ql++++=as
he ^pp3a+pp3+++=he
closed ^vbd+++xvbnx+=closed
the ^ati++++=the
door ^nn++++=door
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
dozen ^cd++++=dozen
men ^nns++++=men
and ^cc++++=and
youths ^nns++++=youths
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
apartments ^nns+nom+++=apartments
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
nearest ^nn++++=nearest
of ^in++++=of
these ^dt+dem+++=these
Tom ^np++++=Tom
applied ^vwbn+++xvbn+=applied.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
much ^ap++++=much
over ^in++++=over
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
age ^nn++++=age
and ^cc++++=and
was ^vbd+bedz+aux++=was
busily ^rb++splt++=busily
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
cutting ^xvbg+++xvbg+=cutting
a ^at++++=a
newspaper ^nn+nom+++=newspaper
into ^in++++=into
shreds ^nns+++??+=shreds
with ^in++++=with
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
extraordinarily ^rb++++=extraordinarily
large ^jj+atrb+++=large
shears ^nns+++??+=shears.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
interrupted ^jj+++xvbn+=interrupted
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
carelessly ^rb++++=carelessly
but ^cc++++=but
good ^jj++++=good
naturedly ^jj++++=naturedly
and ^cc+phrs+++=and
pointed ^jj+++xvbn+=pointed
to ^in++++=to
a ^at++++=a
far ^rb+pl+++=far
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
ed ^np++++=ed;
; ^zz++++=EXTRAWORD
the ^ati++++=the
fellow ^nn++++=fellow
with ^in++++=with
the ^ati++++=the
glasses ^nns++++=glasses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
thanked ^vbd+++xvbn+=thanked
him ^pp3o+pp3+++=him
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
glasses ^nns++++=glasses
took ^vbd+++xvbn+=took
no ^at++++=no
notice ^nn++++=notice
of ^in++++=of
his ^pp$+pp3+++=his
approach ^nn++++=approach
but ^cc++++=but
continued ^vbd+++xvbn+=continued
his ^pp$+pp3+++=his
writing ^nvbg+++xvbg+=writing,
, ^zz++++=EXTRAWORD
puffing ^vbg+++xvbg+=puffing
the ^ati++++=the
while ^cs+sub+++=while
on ^in++++=on
a ^at++++=a
very ^ql+amp+++=very
black ^np++++=black
briar ^nn++++=briar
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
apparently ^rb++++=apparently
about ^in++++=about
thirty ^cd++++=thirty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
fierce ^jj+atrb+++=fierce
and ^cc+phrs+++=and
bristling ^jj+atrb+++=bristling
mustache ^nn+++??+=mustache,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rushed ^vbd+++xvbn+=rushed
his ^pp$+pp3+++=his
pencil ^nn++++=pencil
vindictively ^jj++++=vindictively
across ^in+pl+++=across
the ^ati++++=the
copy ^nn++++=copy
paper ^nn++++=paper
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
writing ^vbg+++xvbgx+=writing
the ^ati++++=the
death ^nn++++=death
sentence ^nn+nom+++=sentence
of ^in++++=of
his ^pp$+pp3+++=his
worst ^jjt+atrb+++=worst
enemy ^nn++++=enemy.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
started ^vbd+++xvbn+=started.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
as ^ql++++=as
savage ^jj++++=savage
as ^ql++++=as
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
sank ^vbd+++xvbn+=sank
within ^in++++=within
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
editor ^nn++++=editor's
's ^$++++=EXTRAWORD
forehead ^nn++++=forehead
was ^vbd+bedz+vrb++=was
a ^at++++=a
mass ^nn++++=mass
of ^in++++=of
wrinkles ^nns++++=wrinkles
and ^cc++++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
glared ^vbd+++xvbn+=glared
threateningly ^rb++++=threateningly
from ^in++++=from
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
glasses ^nns++++=glasses.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
found ^vbd+vprv++xvbn+=found
his ^pp$+pp3+++=his
voice ^nn++++=voice
and ^cc++++=and
laid ^vbd+++xvbn+=laid
the ^ati++++=the
letter ^nn++++=letter
on ^in++++=on
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
" ^zz++++="Humph,"
humph ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
editor ^nn++++=editor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
short ^jj+atrb+++=short
message ^nn+nom+++=message
and ^cc++++=and
tossed ^vbd+++xvbn+=tossed
it ^pp3+it+++=it
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
" ^zz++++="Ever
ever ^rb++++=EXTRAWORD
done ^vbd+++xvbn+=done
newspaper ^nn+nom+++=newspaper
work ^nn++++=work?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
what ^wdt+who+++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
begin ^vbi++++=begin
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
make ^vbi++++=make
a ^at++++=a
living ^nvbg+++xvbg+=living."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,"
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sneered ^vbd+++xvbn+=sneered
the ^ati++++=the
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
" ^zz++++="thought
thought ^nn+++xvbn+=EXTRAWORD
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
elevate ^nn+nom+++=elevate
the ^ati++++=the
press ^nn++++=press.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
college ^npl++++=college
graduate ^nn+nom+++=graduate,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbnx+=went
to ^in++++=to
college ^nn++++=college
for ^in++++=for
a ^at++++=a
year ^nn++++=year
and ^cc++++=and
a ^at++++=a
half ^nn++++=half,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
leave ^vb++++=leave
then ^rn+tm+++=then."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
editor ^nn++++=editor's
's ^$++++=EXTRAWORD
face ^nn++++=face
brightened ^vbd+++xvbn+=brightened.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
throw ^vb++++=throw
you ^pp2+pp2+++=you
out ^rp+pl+++=out?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
money ^nn++++=money
left ^vbd+++xvbn+=left;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^npt++++=father
died ^vbd+++xvbn+=died
very ^ql+amp+++=very
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
leave ^vb++++=leave."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
bad ^jj++++=bad;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
fired ^vpsv++agls+xvbnx+=fired
there ^ex+pex+++=there
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
some ^dti++++=some
hope ^nn++++=hope
for ^in++++=for
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
detect ^vbi++++=detect
a ^at++++=a
smile ^nn++++=smile
somewhere ^rb++++=somewhere
on ^in++++=on
the ^ati++++=the
frowning ^jj+atrb++xvbg+=frowning
face ^nn++++=face;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
none ^pn++++=none.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
newspaper ^nn+nom+++=newspaper
reporting ^vwbg+++xvbg+=reporting,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
found ^vbd+vprv++xvbn+=found
a ^at++++=a
college ^nn++++=college
boy ^nn++++=boy
yet ^rb++++=yet
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
plumb ^jj+++??+=plumb
sure ^jj++++=sure
he ^pp3a+pp3+++=he
could ^md+pos+++=could
start ^vb++++=start
right ^jj++++=right
in ^in++++=in
on ^in++++=on
fifteen ^cd++++=fifteen
minutes ^nns++++=minutes'
' ^zz++++=EXTRAWORD
notice ^vb+vprv+++=notice
and ^cc++++=and
beat ^nn+++xvbn+=beat
Horace ^np++++=Horace
Greeley ^np+++??+=Greeley
or ^cc++++=or
old ^jj+atrb+++=old
man ^nn++++=man
Dana ^np+++??+=Dana.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql+emph+++=so
easy ^jj++++=easy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
could ^md+pos+++=could
do ^vb+do+aux++=do
reporting ^vbg+++xvbg+=reporting-after
- ^zz++++=EXTRAWORD
after ^in++++=EXTRAWORD
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
ignorant ^jj+pred+++=ignorant
as ^in++++=as
to ^in++++=to
the ^ati++++=the
exact ^jj+atrb+++=exact
duties ^nns++++=duties
of ^in++++=of
a ^at++++=a
reporter ^nn+nom+++=reporter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can
learn ^vb+vprv+++=learn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
write ^vb++++=write
English ^nn++++=English."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
out ^rp+pl+++=out
what ^wdt+who+++=what
other ^ap++++=other
reporters ^nns+nom+++=reporters
ca ^np++++=can't?
n't ^xnot++not++0=EXTRAWORD
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
interview ^vb++++=interview
the ^ati++++=the
last ^rb++++=last
new ^jj+atrb+++=new
senator ^npt++++=senator
in ^in++++=in
town ^nn++++=town
and ^cc++++=and
make ^vb++++=make
him ^pp3o+pp3+++=him
tell ^vb++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
printed ^vprf+++xvbnx+=printed
for ^in++++=for
a ^at++++=a
year ^nn++++=year's
's ^$++++=EXTRAWORD
salary ^nn++++=salary?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
hesitated ^vbd+++xvbn+=hesitated;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
gaining ^vbg+++xvbgx+=gaining
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other's ^ppls++++=other's
gibes ^vbz+++??+=gibes
were ^vbd+bed+aux++=were
slowly ^rb++splt++=slowly
arousing ^vbg+++xvbgx+=arousing
his ^pp$+pp3+++=his
resentment ^nn+nom+++=resentment.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
those ^dt+dem+++=those
things ^nns++++=things
can ^md+pos+++=can
be ^vb+be+aux++=be
done ^vpsv++by+xvbnx+=done
by ^in++++=by
other ^ap++++=other
fellows ^nns++++=fellows,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
confidence ^nn+nom+++=confidence,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
acknowledged ^vbd+vpub++xvbn+=acknowledged
the ^ati++++=the
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
grudgingly ^rb++++=grudgingly.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
break ^vb++++=break
new ^jj+atrb+++=new
men ^nns++++=men
in ^in++++=in
here ^rn+pl+++=here
on ^in++++=on
the ^ati++++=the
World ^nn++++=World;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wait ^vb++++=wait
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
offer ^nn++++=offer
them ^pp3o+pp3+++=them
a ^at++++=a
better ^jjr+atrb+++=better
salary ^nn++++=salary;
; ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
our ^pp$+pp1+++=our
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
go ^vb++++=go
to ^in++++=to
work ^nn++++=work
on ^in++++=on
the ^ati++++=the
Despatch ^nn++++=Despatch
or ^cc++++=or
the ^ati++++=the
Star ^nn++++=Star,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
somewhere ^rb+cnj+++=somewhere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
you ^pp2+pp2+++=you
prove ^vb+vprv+++=prove
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
as ^in++++=as
good ^jj+atrb+++=good
work ^nn++++=work
as ^ql++++=as
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
men ^nns++++=men
on ^in++++=on
our ^pp$+pp1+++=our
staff ^nn++++=staff
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
hear ^vb+vprv+++=hear
from ^in++++=from
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
city ^nn++++=city
editor ^nn++++=editor
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
pencil ^nn++++=pencil.
. ^zz++++=EXTRAWORD
Plainly ^rb++++=Plainly
the ^ati++++=the
interview ^nn++++=interview
was ^vbd+bedz+vrb++=was
at ^rb++++=at
an ^at++++=an
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
