John ^np++++=John
says ^vbz+vpub+++=EXTRAWORD
a ^at++++=a
citizen ^nn++++=citizen
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
wants ^vbz++++=wants
some ^dti++++=some
facts ^nns++++=facts
and ^cc++++=and
advice ^nn++++=advice
from ^in++++=from
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Says ^vbz+vpub+tht0++=Says
the ^ati++++=the
citizen ^nn++++=citizen
has ^vbz+hvz+vrb++=has
an ^at++++=an
idea ^nn++++=idea
in ^in++++=in
his ^pp$+pp3+++=his
head ^nn++++=head
of ^in++++=of
coming ^xvbg+++xvbg+=coming
down ^rp++++=down
where ^wrb+who+++=where
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
and ^cc++++=and
opening ^nvbg+++xvbg+=opening
a ^at++++=a
shoe ^nn++++=shoe
store ^nn++++=store.
. ^zz++++=EXTRAWORD
Wants ^vbz++++=Wants
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
the ^ati++++=the
business ^nns+nom+++=business
would ^md+prd+++=would
pay ^vb++++=pay.
. ^zz++++=EXTRAWORD
Says ^vbz+vpub+tht0++=Says
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
heard ^vpsv++agls+xvbnx+=heard
of ^in++++=of
the ^ati++++=the
boom ^nn++++=boom
along ^in++++=along
this ^dt+dem+++=this
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wants ^vbz++++=wants
to ^to+vcmp+++=to
get ^vbi++++=get
in ^rb+phrv+++=in
on ^in+ppvb+++=on
the ^ati++++=the
ground ^nn++++=ground
floor ^nn++++=floor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
heat ^nn++++=heat
and ^cc++++=and
his ^pp$+pp3+++=his
bad ^jj+atrb+++=bad
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
hammock ^vb+++??+=hammock
swayed ^vbd+++xvbn+=swayed
with ^in++++=with
his ^pp$+pp3+++=his
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
laughed ^vbd+++xvbn+=laughed
too ^ql++++=too;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pet ^nn++++=pet
monkey ^nn++++=monkey
on ^in++++=on
the ^ati++++=the
top ^jjb+atrb+++=top
shelf ^nn++++=shelf
of ^in++++=of
the ^ati++++=the
bookcase ^nn++++=bookcase
chattered ^vbd+++xvbn+=chattered
in ^in++++=in
shrill ^jj+atrb+++=shrill
sympathy ^nn++++=sympathy
with ^in++++=with
the ^ati++++=the
ironical ^jj+atrb+++=ironical
reception ^nn+nom+++=reception
of ^in++++=of
the ^ati++++=the
letter ^nn++++=letter
from ^in++++=from
Dalesburg ^np+++??+=Dalesburg.
. ^zz++++=EXTRAWORD
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
bunions ^nns+++??+=bunions!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
consul ^np++++=consul.
. ^zz++++=EXTRAWORD
" ^zz++++="Shoe
shoe ^nn++++=EXTRAWORD
store ^nn++++=store!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What'll
'll ^md+prd+++0=EXTRAWORD
they ^pp3a+pp3+++=they
ask ^vb++++=ask
about ^in++++=about
next ^ap++++=next,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder?
? ^zz++++=EXTRAWORD
Overcoat ^nn++++=Overcoat
factory ^nn++++=factory,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
our ^pp$+pp1+++=our
3,000 ^cd++++=3,000
citizens ^nns++++=citizens,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose
ever ^rb++++=ever
had ^vb+hv+vrb++=had
on ^in++++=on
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
shoes ^nns++++=shoes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
reflected ^vbd+vprv++xvbn+=reflected
judicially ^rb++++=judicially.
. ^zz++++=EXTRAWORD
" ^zz++++="Let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
see--there ^jj+atrb++??+=see--there's
's ^vbz+bez+vrb++0=EXTRAWORD
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me
and ^cc++++=and--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Johnny ^np++++=Johnny,
, ^zz++++=EXTRAWORD
promptly ^rb++++=promptly
and ^cc+phrs+++=and
incorrectly ^rb+cnj+++=incorrectly,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
up ^rp++++=up
a ^at++++=a
foot ^nn++++=foot
encased ^vbd+++xvbn+=encased
in ^in++++=in
a ^at++++=a
disreputable ^jj+atrb+++=disreputable
deerskin ^nn+++??+=deerskin
zapato ^nn+++??+=zapato
. ^zz++++=.
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
victim ^nn++++=victim
to ^in++++=to
shoes ^nns++++=shoes
in ^in++++=in
months ^nns++++=months."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in++++=on
Keogh ^np+++??+=Keogh.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
Goodwin ^np++++=Goodwin
and ^cc++++=and
Blanchard ^np++++=Blanchard
and ^cc++++=and
Geddie ^np+++??+=Geddie
and ^cc++++=and
old ^jj+atrb+++=old
Lutz ^np+++??+=Lutz
and ^cc++++=and
Doc ^np++++=Doc
Gregg ^np+++??+=Gregg
and ^cc++++=and
that ^dt+dem+++=that
Italian ^jj++++=Italian
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
agent ^nn++++=agent
for ^in++++=for
the ^ati++++=the
banana ^nn+++??+=banana
company ^nn++++=company,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
old ^jj+atrb+++=old
Delgado ^np+++??+=Delgado--no;
-- ^--+clp+++=EXTRAWORD
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wears ^vbz++++=wears
sandals ^nns+nom+++=sandals.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
Madama ^np+++??+=Madama
Ortiz ^np++++=Ortiz,
, ^zz++++=EXTRAWORD
' ^zz++++='what
what ^wdt+who+++=EXTRAWORD
kapes ^nns+++??+=kapes
the ^ati++++=the
hotel ^npl++++=hotel'--she
'--she ^nn+++??+=EXTRAWORD
'd ^md+prd+vrb++=had
on ^in++++=on
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
red ^jj+atrb+++=red
kid ^nn++++=kid
slippers ^nns+nom+++=slippers
at ^in++++=at
the ^ati++++=the
baile ^nn+++??+=baile
the ^ati++++=the
other ^ap++++=other
night ^nn++++=night.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Miss ^npt++++=Miss
Pasa ^np++++=Pasa,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
went ^vbd+++xvbn+=went
to ^in++++=to
school ^nn++++=school
in ^in++++=in
the ^ati++++=the
States ^np++++=States
-- ^--+clp+++=--she
she ^pp3a+pp3+++=EXTRAWORD
brought ^vbd+++xvbnx+=brought
back ^rb+phrv+++=back
some ^dti++++=some
civilized ^jj+atrb+++=civilized
notions ^nns+nom+++=notions
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
footgear ^nn+++??+=footgear.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
comandante ^nn+++??+=comandante's
's ^$++++=EXTRAWORD
sister ^nn++++=sister
that ^tht+rel+obj++=that
dresses ^nns+nom+++=dresses
up ^rp++++=up
her ^pp$+pp3+++=her
feet ^nns++++=feet
on ^in++++=on
feastdays ^nns+++??+=feastdays--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Geddie ^np++++=Geddie,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
wears ^vbz++++=wears
a ^at++++=a
two ^cd++++=two
with ^in++++=with
a ^at++++=a
Castilian ^jj+atrb+++=Castilian
instep ^nn+++??+=instep--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
all ^abn++++=all
the ^ati++++=the
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
Let ^vb++++0=Let's
us ^pp1o+pp1+++=EXTRAWORD
see--do ^nn+++??+=see--don't
n't ^xnot++not++0=EXTRAWORD
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
at ^in++++=at
the ^ati++++=the
cuartel ^nn+++??+=cuartel
-- ^--+clp+++=--no:
no ^at++++=EXTRAWORD
: ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql++++=so;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
allowed ^vpsv++agls+xvbnx+=allowed
shoes ^nns++++=shoes
only ^rb+down+++=only
when ^wrb+who+++=when
on ^in++++=on
the ^ati++++=the
march ^nn++++=march.
. ^zz++++=EXTRAWORD
In ^in++++=In
barracks ^nns++++=barracks
they ^pp3a+pp3+++=they
turn ^vb++++=turn
their ^pp$+pp3+++=their
little ^ap++++=little
toeses ^nns+++??+=toeses
out ^rp+pl+++=out
to ^in++++=to
grass ^nn++++=grass."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Bout
' ^zz++++=EXTRAWORD
bout ^nn++++=EXTRAWORD
right ^nn++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
agreed ^vbd+vpub++xvbn+=agreed
the ^ati++++=the
consul ^np++++=consul.
. ^zz++++=EXTRAWORD
