( ^zz++++=(After
begun ^vprf+++xvbnx+=begun
to ^to++++=to
quicken ^vbi++++=quicken
the ^ati++++=the
workings ^nns++++=workings
of ^in++++=of
his ^pp$+pp3+++=his
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
addressed ^vbd+++xvbnx+=addressed
his ^pp$+pp3+++=his
slave ^nn++++=slave
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
door ^nn++++=door:
: ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
wretched ^jj+atrb+++=wretched
slave ^nn++++=slave,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
God ^nn++++=God,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
immediately ^rb+tm+++=immediately
drew ^vbd+++xvbn+=drew
from ^in++++=from
under ^in++++=under
his ^pp$+pp3+++=his
girdle ^nn+++??+=girdle
a ^at++++=a
small ^jj+atrb+++=small
idol ^nn++++=idol
of ^in++++=of
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
" ^zz++++="There,"
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
God ^nn++++=God
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
guarded ^vprf+++xvbnx+=guarded
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
my ^pp$+pp1+++=my
birth ^nn++++=birth.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^pn++++=one
in ^in++++=in
our ^pp$+pp1+++=our
country ^nn++++=country
worships ^nns+nom+++=worships
the ^ati++++=the
fetish ^jj+atrb+++=fetish
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
wood ^nn++++=wood
of ^in++++=of
which ^whp+rel+pied++=which
this ^dt+dem+++=this
God ^nn++++=God
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
conversation ^nn+nom+++=conversation
between ^in++++=between
the ^ati++++=the
theologian ^nn++++=theologian
and ^cc++++=and
his ^pp$+pp3+++=his
slave ^nn++++=slave
was ^vbd+bedz+aux++=was
listened ^vpsv++agls+xvbnx+=listened
to ^in++++=to
with ^in++++=with
surprise ^nn++++=surprise
by ^in++++=by
the ^ati++++=the
other ^ap++++=other
guests ^nns++++=guests
in ^in++++=in
the ^ati++++=the
coffee ^nn++++=coffee-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
astonished ^vpsv++agls+xvbnx+=astonished
at ^rb++++=at
the ^ati++++=the
master ^nn++++=master's
's ^$++++=EXTRAWORD
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
more ^rbr++++=more
so ^ql++++=so
at ^rb++++=at
the ^ati++++=the
slave ^nn++++=slave's
's ^$++++=EXTRAWORD
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
a ^at++++=a
Brahmin ^np+++??+=Brahmin,
, ^zz++++=EXTRAWORD
on ^in++++=on
hearing ^xvbg+++xvbg+=hearing
the ^ati++++=the
words ^nns++++=words
spoken ^vwbn+++xvbn+=spoken
by ^in++++=by
the ^ati++++=the
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Miserable
miserable ^jj++++=EXTRAWORD
fool ^jjb++++=fool!
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
possible ^jj++++=possible
you ^pp2+pp2+++=you
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
God ^np++++=God
can ^md+pos+++=can
be ^vb+be+aux++=be
carried ^vpsv++agls+xvbnx+=carried
under ^in++++=under
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
girdle ^nn+++??+=girdle?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
one ^cd1++++=one
God ^np++++=God--Brahma,
-- ^--+clp+++=EXTRAWORD
brahma ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
greater ^jjr+pred+++=greater
than ^in++++=than
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
created ^vbd+++xvbnx+=created
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Brahma ^np+++??+=Brahma
is ^vbz+bez+vrb++=is
the ^ati++++=the
One ^pn++++=One,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mighty ^ql++++=mighty
God ^np++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
His ^pp$+pp3+++=His
honour ^nn++++=honour
are ^vb+ber+aux++=are
built ^vpsv++agls+xvbnx+=built
the ^ati++++=the
temples ^nns++++=temples
on ^in++++=on
the ^ati++++=the
Ganges ^np++++=Ganges'
' ^zz++++=EXTRAWORD
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
true ^jj+atrb+++=true
priests ^nns++++=priests,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Brahmins ^np+++??+=Brahmins,
, ^zz++++=EXTRAWORD
worship ^nn+nom+++=worship
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
know ^vb+vprv+++=know
the ^ati++++=the
true ^jj+atrb+++=true
God ^nn++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb++++=none
but ^cc++++=but
they ^pp3a+pp3+++=they.
. ^zz++++=EXTRAWORD
A ^at++++=A
thousand ^cd++++=thousand
score ^nn++++=score
of ^in++++=of
years ^nns++++=years
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
through ^in++++=through
revolution ^nn+nom+++=revolution
after ^cs+sub+++=after
revolution ^nn+nom+++=revolution
these ^dt+dem+++=these
priests ^nns++++=priests
have ^vb+hv+aux++=have
held ^vprf+++xvbnx+=held
their ^pp$+pp3+++=their
sway ^nn++++=sway,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Brahma ^np+++??+=Brahma,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
true ^jj+atrb+++=true
God ^nn++++=God,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
protected ^vprf+++xvbnx+=protected
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
spoke ^vbd+++xvbn+=spoke
the ^ati++++=the
Brahmin ^np+++??+=Brahmin,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
to ^to++++=to
convince ^vbi++++=convince
every ^at++++=every
one ^pn++++=one;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
Jewish ^jj+atrb+++=Jewish
broker ^nn++++=broker
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
present ^nn++++=present
replied ^vbd+vpub++xvbn+=replied
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
the ^ati++++=the
temple ^nn++++=temple
of ^in++++=of
the ^ati++++=the
true ^jj+atrb+++=true
God ^nn++++=God
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
in ^in++++=in
India ^np++++=India.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
does ^vbz+doz+aux++=does
God ^np++++=God
protect ^vb++++=protect
the ^ati++++=the
Brahmin ^np+++??+=Brahmin
caste ^nn++++=caste.
. ^zz++++=EXTRAWORD
The ^ati++++=The
true ^jj+atrb+++=true
God ^nn++++=God
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
God ^nn++++=God
of ^in++++=of
the ^ati++++=the
Brahmins ^np+++??+=Brahmins,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
Abraham ^np++++=Abraham,
, ^zz++++=EXTRAWORD
Isaac ^np++++=Isaac,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jacob ^np++++=Jacob.
. ^zz++++=EXTRAWORD
None ^pn++++=None
does ^vbz+doz+aux++=does
He ^pp3a+pp3+++=He
protect ^vb++++=protect
but ^cc++++=but
His ^pp$+pp3+++=His
chosen ^xvbn+++xvbn+=chosen
people ^nns++++=people,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Israelites ^np+++??+=Israelites.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
commencement ^nn+nom+++=commencement
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
nation ^nn++++=nation
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
beloved ^jj++++=beloved
of ^in++++=of
Him ^pp3o+pp3+++=Him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ours ^pp$$++++=ours
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
now ^rn+tm+splt++=now
scattered ^vpsv++agls+xvbnx+=scattered
over ^in++++=over
the ^ati++++=the
whole ^jj+atrb+++=whole
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
but ^cc++++=but
to ^to++++=to
try ^vbi++++=try
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
for ^in++++=for
God ^np++++=God
has ^vbz+hvz+aux++=has
promised ^vprf+++xvbnx+=promised
that ^tht+vcmp+++=that
He ^pp3a+pp3+++=He
will ^md+prd+++=will
one ^cd1++++=one
day ^nn++++=day
gather ^vb+vprv+tht0++=gather
His ^pp$+pp3+++=His
people ^nns++++=people
together ^nn+nom+++=together
in ^in++++=in
Jerusalem ^np++++=Jerusalem.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Temple ^nn++++=Temple
of ^in++++=of
Jerusalem ^np++++=Jerusalem--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
wonder ^nn++++=wonder
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
world ^nn++++=world--restored
-- ^--+clp+++=EXTRAWORD
restored ^xvbn+++xvbn+=EXTRAWORD
to ^in++++=to
its ^pp$+it+++=its
splendor ^nn++++=splendor,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
Israel ^vb++++=Israel
be ^vb+be+aux++=be
established ^vpsv++agls+xvbnx+=established
a ^at++++=a
ruler ^nn++++=ruler
over ^in++++=over
all ^abn++++=all
nations ^nns+nom+++=nations."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
spoke ^vbd+++xvbn+=spoke
the ^ati++++=the
Jew ^nn++++=Jew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
burst ^vpsv++agls+xvbn+=burst
into ^in+ppvb+++=into
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
Italian ^jj+atrb+++=Italian
missionary ^nn+nom+++=missionary
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
interrupted ^jj+++xvbn+=interrupted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
saying ^vbg+++xvbgx+=saying
is ^vbz+bez+vrb++=is
untrue ^jj+pred+++=untrue,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
to ^in++++=to
the ^ati++++=the
Jew ^nn++++=Jew.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
attribute ^vb++++=attribute
injustice ^nn++++=injustice
to ^in++++=to
God ^np++++=God.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
cannot ^md+pos+not++=cannot
love ^vb++++=love
your ^pp$+pp2+++=your
nation ^nn++++=nation
above ^in+pl+++=above
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
it ^pp3+it+++=it
be ^vb+be+vrb++=be
true ^jj+pred+++=true
that ^tht+jcmp+++=that
of ^in++++=of
old ^jj++++=old
He ^pp3a+pp3+++=He
favored ^vbd+++xvbnx+=favored
the ^ati++++=the
Israelites ^np+++??+=Israelites,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
nineteen ^cd++++=nineteen
hundred ^cd++++=hundred
years ^nns++++=years
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
angered ^vbd+++xvbnx+=angered
Him ^pp3o+pp3+++=Him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
caused ^vbd+++xvbn+=caused
Him ^pp3o+pp3+++=Him
to ^to++++=to
destroy ^vbi++++=destroy
their ^pp$+pp3+++=their
nation ^nn++++=nation
and ^cc++++=and
scatter ^nn++++=scatter
them ^pp3o+pp3+++=them
over ^in++++=over
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
their ^pp$+pp3+++=their
faith ^nn++++=faith
makes ^vbz++++=makes
no ^at++++=no
converts ^nns++++=converts
and ^cc++++=and
has ^vbz+hvz+aux++=has
died ^vprf+++xvbnx+=died
out ^rp+pl+++=out
except ^in++++=except
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
God ^np++++=God
shows ^vbz+vprv+++=shows
preference ^nn+nom+++=preference
to ^to+vcmp+++=to
no ^ati++neg++=no
nation ^nn++++=nation,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
calls ^nns++++=calls
all ^abn++++=all
who ^whp+who+++=who
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
saved ^vpsv++agls+xvbnx+=saved
to ^in++++=to
the ^ati++++=the
bosom ^nn++++=bosom
of ^in++++=of
the ^ati++++=the
Catholic ^jj+atrb+++=Catholic
Church ^npl++++=Church
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
outside ^jjb++++=outside
whose ^whp+who+++=whose
borders ^nns+nom+++=borders
no ^at++++=no
salvation ^nn+nom+++=salvation
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
spoke ^vbd+++xvbn+=spoke
the ^ati++++=the
Italian ^nn++++=Italian.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
Protestant ^nn+nom+++=Protestant
minister ^npt+nom+++=minister,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
present ^vb++++=present,
, ^zz++++=EXTRAWORD
growing ^vbg+++xvbg+=growing
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
Catholic ^jj+atrb+++=Catholic
missionary ^nn+nom+++=missionary
and ^cc++++=and
exclaimed ^vbd+++xvbn+=exclaimed:
: ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
salvation ^nn+nom+++=salvation
belongs ^vbz++++=belongs
to ^in++++=to
your ^pp$+pp2+++=your
religion ^nn++++=religion?
? ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
only ^rb+down+++=only
will ^md+prd+++=will
be ^vb+be+aux++=be
saved ^vpsv++agls+xvbnx+=saved,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
serve ^vb++++=serve
God ^nn++++=God
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
Gospel ^nn++++=Gospel,
, ^zz++++=EXTRAWORD
in ^in++++=in
spirit ^nn++++=spirit
and ^cc++++=and
in ^in++++=in
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
as ^in++++=as
bidden ^nn++++=bidden
by ^in++++=by
the ^ati++++=the
word ^nn++++=word
of ^in++++=of
Christ ^np++++=Christ."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
Turk ^np+++??+=Turk,
, ^zz++++=EXTRAWORD
an ^at++++=an
office ^nn++++=office-holder
- ^zz++++=EXTRAWORD
holder ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
at ^rb++++=at
Surat ^np+++??+=Surat,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
in ^in++++=in
the ^ati++++=the
coffee ^nn++++=coffee-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
smoking ^vwbg+++xvbg+=smoking
a ^at++++=a
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
superiority ^nn+nom+++=superiority
to ^in++++=to
both ^abx++++=both
the ^ati++++=the
Christians ^nn++++=Christians.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
belief ^nn++++=belief
in ^in++++=in
your ^pp$+pp2+++=your
Roman ^jj+atrb+++=Roman
religion ^nn++++=religion
is ^vbz+bez+vrb++=is
vain ^jj+pred+++=vain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
superseded ^vpsv++agls+xvbnx+=superseded
twelve ^cd++++=twelve
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb++++=ago
by ^in++++=by
the ^ati++++=the
