Children ^nns++++=Children,
Christmas ^np++++=Christmas
dinner ^nn++++=dinner
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Kitty ^np++++=Kitty
and ^cc++++=and
Harry ^np++++=Harry
Tracy ^np+++??+=Tracy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
not ^xnot++not++=not
lived ^vbd+++xvbn+=lived
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
see ^vbi+vprv+++=see
many ^ap++++=many
wars ^nns++++=wars,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
imagine ^vb+vprv+++=imagine
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
as ^ql++++=as
Christmas ^np++++=Christmas
without ^in++++=without
their ^pp$+pp3+++=their
father ^nn++++=father,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
busied ^vprf+++xvbnx+=busied
themselves ^ppls+pp3+++=themselves
for ^in++++=for
weeks ^nns++++=weeks
in ^in++++=in
making ^xvbg+++xvbg+=making
everything ^pn++++=everything
ready ^jj++++=ready
to ^to+jcmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
merry ^jj+atrb+++=merry
time ^nn++++=time
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
loved ^vbd+++xvbn+=loved
to ^to+vcmp+++=to
play ^vbi++++=play
quite ^abl++++=quite
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
any ^dti++++=any
frolicsome ^nn+++??+=frolicsome
Kitty ^np++++=Kitty
of ^in++++=of
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
all ^abn++++=all
her ^pp3o+pp3+++=her
spare ^vb++++=spare
time ^nn++++=time
in ^in++++=in
knitting ^xvbg+++xvbg+=knitting
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
thick ^jj+atrb+++=thick
woollen ^jj+atrb+++=woollen
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
feat ^nn++++=feat
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
only ^rb+down+++=only
eight ^cd++++=eight
years ^nns++++=years
old ^jj++++=old
to ^to++++=to
perform ^vbi++++=perform!
! ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
not ^xnot++not++=not
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
sitting ^vbg+++xvbg+=sitting
by ^in++++=by
the ^ati++++=the
great ^jj+atrb+++=great
chimney ^nn++++=chimney-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
with ^in++++=with
its ^pp$+it+++=its
roaring ^nvbg+++xvbg+=roaring,
, ^zz++++=EXTRAWORD
crackling ^nn+nom+++=crackling
logs ^nns++++=logs,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
quaint ^jj++++=quaint,
, ^zz++++=EXTRAWORD
short ^jj++++=short-waisted
- ^zz++++=EXTRAWORD
waisted ^jj+atrb++xvbn+=EXTRAWORD
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
knitting ^nvbg+++xvbg+=knitting
away ^rp+pl+++=away
steadily ^rb+cnj+++=steadily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
puckering ^nvbg+++xvbg+=puckering
up ^rp++++=up
her ^pp$+pp3+++=her
rosy ^jj+atrb+++=rosy,
, ^zz++++=EXTRAWORD
dimpled ^jj+atrb++xvbn+=dimpled
face ^nn++++=face
over ^in++++=over
the ^ati++++=the
strange ^jj+atrb+++=strange
twists ^nns++++=twists
and ^cc++++=and
turns ^nns++++=turns
of ^in++++=of
that ^dt+dem+++=that
old ^jj+atrb+++=old
stocking ^nn++++=stocking?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
also ^rb++splt++=also
hear ^vb+vprv+tht0++=hear
her ^pp$+pp3+++=her
sweet ^jj+atrb+++=sweet
voice ^nn++++=voice
as ^ql++++=as
she ^pp3a+pp3+++=she
chatters ^nns+nom+++=chatters
away ^rp+pl+++=away
to ^in++++=to
her ^pp3o+pp3+++=her
mother ^npt++++=mother
about ^in++++=about
" ^zz++++="how
how ^wrb+who+++=EXTRAWORD
' ^zz++++='sprised
sprised ^vwbn+++xvbn+=EXTRAWORD
papa ^npt++++=papa
will ^md+prd+++=will
be ^vb+be+aux++=be
to ^to++++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
girl ^nn++++=girl
can ^md+pos+++=can
knit ^vb+++??+=knit
like ^in++++=like
a ^at++++=a
grown ^vprf+++xvbn+=grown-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
woman ^nn++++=woman,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Harry ^np++++=Harry
spreads ^vbz++++=spreads
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
hearth ^nn++++=hearth
a ^at++++=a
goodly ^jj+atrb+++=goodly
store ^nn++++=store
of ^in++++=of
shellbarks ^nns+++??+=shellbarks
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
gathered ^vprf+++xvbnx+=gathered
and ^cc++++=and
is ^vbz+bez+aux++=is
keeping ^vbg+++xvbgx+=keeping
for ^in++++=for
his ^pp$+pp3+++=his
share ^nn++++=share
of ^in++++=of
the ^ati++++=the
' ^zz++++='sprise.
sprise ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asks ^vbz++++=asks
Harry ^np++++=Harry,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come!
! ^zz++++=EXTRAWORD
Papa ^npt++++=Papa
never ^rb++++=never
stays ^vbz++++=stays
away ^rp+pl+++=away
on ^in++++=on
Christmas ^np++++=Christmas,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^rp++++=up
into ^in++++=into
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
face ^nn++++=face
for ^in++++=for
an ^at++++=an
echo ^nn++++=echo
to ^in++++=to
her ^pp$+pp3+++=her
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
she ^pp3a+pp3+++=she
sees ^vbz+vprv+tht0++=sees
something ^pn++++=something
very ^ql+amp+++=very
like ^vb++++=like
tears ^nns++++=tears
in ^in++++=in
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
come ^vprf+++xvbn+=come
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
possibly ^rb++++=possibly
can ^md+pos+++=can,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracy ^np++++=Tracy;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
keep ^vb++++=keep
Christmas ^np++++=Christmas
whenever ^nn+nom+++=whenever
dear ^jj+atrb+++=dear
papa ^npt++++=papa
does ^vbz+doz+aux++=does
come ^vb++++=come
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
half ^abn++++=half
so ^pn+emph+++=so
nice ^jj++++=nice,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
" ^zz++++="nothing's
nothing ^pn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
so ^pn+emph+++=so
nice ^jj++++=nice
as ^in++++=as
Really ^rb+emph+++=REALLY
Christmas ^np++++=Christmas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how's
's ^vbz+bez+vrb++0=EXTRAWORD
Kriss ^np+++??+=Kriss
Kringle ^np+++??+=Kringle
going ^md"++pmd"++=going
to ^md+prd+++=to
know ^vb+vprv+++=know
about ^in++++=about
it ^pp3+it+++=it
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
change ^nn++++=change
the ^ati++++=the
day ^nn++++=day?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
come ^vprf+++xvbn+=come
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
brings ^vbz++++=brings
anything ^pn++++=anything
for ^in++++=for
papa ^npt++++=papa
we ^pp1a+pp1+++=we
can ^md+pos+++=can
put ^vb+++xvbn+=put
it ^pp3+it+++=it
away ^rp+pl+++=away
for ^in++++=for
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
plan ^nn++++=plan,
, ^zz++++=EXTRAWORD
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
a ^at++++=a
poor ^jj+atrb+++=poor
one ^pn++++=one
to ^in++++=to
Miss ^npt++++=Miss
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
to ^in++++=to
her ^pp$+pp3+++=her
bed ^nn++++=bed
in ^in++++=in
a ^at++++=a
sober ^jj+atrb+++=sober
mood ^nn++++=mood
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
telling ^vbg+nom++xvbg+=telling
her ^pp$+pp3+++=her
dear ^uh++++=dear
dollie ^nn+++??+=dollie,
, ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha
Washington ^np++++=Washington,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
" ^zz++++="wars
wars ^nns++++=EXTRAWORD
were ^vbd+bed+vrb++=were
mis ^npt++++=mis'able,
'able, ^nn+++??+=EXTRAWORD
and ^cc++++=and
that ^dt+pdem+++=that
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
married ^vbd+++xvbnx+=married
she ^pp3a+pp3+++=she
should ^md+nec+++=should
have ^vb+hv+vrb++=have
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
a ^at++++=a
candy ^nn++++=candy-shop
- ^zz++++=EXTRAWORD
shop ^nn++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
soldier ^nn++++=soldier
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
even ^cs+sub+++=even
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
as ^in++++=as
nice ^jj++++=nice
as ^ql++++=as
papa ^npt++++=papa!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
Martha ^np+++??+=Martha
made ^vbd+++xvbn+=made
no ^at++++=no
objection ^nn+nom+++=objection
to ^in++++=to
this ^dt+dem+++=this
little ^jj+atrb+++=little
arrangement ^nn+nom+++=arrangement,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
an ^at++++=an
obedient ^jj+atrb+++=obedient
child ^nn++++=child,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
both ^abx++++=both
soon ^rb+tm+++=soon
fast ^jj++++=fast
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
The ^ati++++=The
days ^nns++++=days
of ^in++++=of
that ^dt+dem+++=that
cold ^jj+atrb+++=cold
winter ^nn++++=winter
of ^in++++=of
1776 ^cd+date+++=1776
wore ^vbd+++xvbn+=wore
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
so ^ql+emph+++=so
cold ^jj++++=cold
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
sufferings ^nns++++=sufferings
of ^in++++=of
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
were ^vbd+bed+vrb++=were
great ^jj+pred+++=great,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
bleeding ^nvbg+++xvbg+=bleeding
feet ^nns++++=feet
often ^rb++++=often
leaving ^vbg+++xvbg+=leaving
marks ^nns++++=marks
on ^in++++=on
the ^ati++++=the
pure ^jj+atrb+++=pure
white ^jj+atrb+++=white
snow ^nn++++=snow
over ^in++++=over
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
marched ^vbd+++xvbnx+=marched.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Christmas ^np++++=Christmas
drew ^vbd+++xvbn+=drew
near ^rb++++=near
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
feeling ^jj+++xvbg+=feeling
among ^in++++=among
the ^ati++++=the
patriots ^nns++++=patriots
that ^tht+rel+obj++=that
some ^dti++++=some
blow ^nn++++=blow
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
struck ^vprf+++xvbn+=struck;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
whence ^wrb+who+++=whence
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew
not ^xnot++not++=not;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
better ^jjr++++=better
than ^in++++=than
all ^abn++++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
British ^jj++++=British
had ^vb+hv+vrb++=had
no ^at++++=no
idea ^nn++++=idea
that ^tht+ncmp+++=that
any ^dti++++=any
strong ^jj+atrb+++=strong
blow ^nn++++=blow
could ^md+pos+++=could
come ^vb++++=come
from ^in+ppvb+++=from
Washington ^np++++=Washington's
's ^$++++=EXTRAWORD
army ^nn++++=army,
, ^zz++++=EXTRAWORD
weak ^jj++++=weak
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
being ^nn+nn+aux++=being
chased ^vbd+++xvbn+=chased
through ^in++++=through
Jersey ^np++++=Jersey
by ^in++++=by
Cornwallis ^np+++??+=Cornwallis.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracy ^np++++=Tracy
looked ^vbd+++xvbn+=looked
anxiously ^rb++++=anxiously
each ^ppls++++=each
day ^np++++=day
for ^in++++=for
news ^nn++++=news
of ^in++++=of
the ^ati++++=the
husband ^nn++++=husband
and ^cc++++=and
father ^nn++++=father
only ^rb+down+++=only
a ^ap++++=a
few ^ap"++++=few
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
so ^ql++++=so
separated ^vpsv++by+xvbn+=separated
by ^in++++=by
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
the ^ati++++=the
enemy ^nn++++=enemy's
's ^$++++=EXTRAWORD
troops ^nns++++=troops
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
like ^in++++=like
a ^at++++=a
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
Christmas ^np++++=Christmas
Eve ^nn++++=Eve
came ^vbd+++xvbn+=came,
